PERSONNAGES de la Comedie.	PERSONNAGES de la Comédie.
Ils t’annoncent tous par ma voix, La gloire & les grandeurs, que par ce digne choix Ils feront pour jamais entrer dans ta famille, De tes difficultez termine donc le cours;	Ils t'annoncent tous par ma voix, La gloire et les grandeurs, que par ce digne choix Ils feront pour jamais entrer dans ta famille, De tes difficultés termine donc le cours;
Et penſe à donner ta Fiſle A qui ſauvera tes jours.	Et pense à donner ta Fîle A qui sauvera tes jours.
ARISTIONE.	ARISTIONE.
Ma Fille, les Dieux impoſent ſilence à tous nos raiſonnemens.	Ma Fille, les Dieux imposent silence à tous nos raisonnements.
Aprés cela nous n’avons plus rien à faire, qu’à recevoir ce qu’ils s’appreſtent à nous donner, & vous venez d’entendre diſtinctement leur volonté.	Après cela nous n'avons plus rien à faire, qu'à recevoir ce qu'ils s'apprêtent à nous donner, et vous venez d'entendre distinctement leur volonté.
Allons dans le premier Temple les aſlurer de nôtre obeiſſance, & leur rendre grace de leurs bontez.	Allons dans le premier Temple les aslurer de notre obéissance, et leur rendre grâce de leurs bontés.
SCENE III.	SCÈNE III.
ANAXARQUE, CLEON.	ANAXARQUE, CLEON.
CLEON.	CLEON.
J Oiſà la Princeſſe qui s’en va, ne voulez-vous pas luy parler?	 Jisà la Princesse qui s'en va, ne voulez-vous pas lui parler?
ANAXARQUE.	ANAXARQUE.
Attendons que ſa Fille ſoit ſeparée d’elle, c’eſt un eſprit que je redoute, & qui n’eſt pas de trempe à ſe laiſſer mener, ainſi que celuy de ſa Mere.	Attendons que sa Fille soit séparée d'elle, c'est un esprit que je redoute, et qui n'est pas de trempe à se laisser mener, ainsi que celui de sa Mère.
Enfin, mon fils, comme nous venons de voir par cette ouverture, le ſtratagéme a reüſſi, nôtre Venus a fait des merveilles, & l’admirable Ingenieur qui s’eſt employé à cet artifice, a ſi bien diſpoſé tout, à coupé avec tant d’adreſſe le plancher de cette Grotte, ſi bien caché ſes fils de fer, & tous ſes relſorts, ſi bien ajuſté ſes lumieres, & habille ſes Perſonnages, ſonnages, qu’il y a peu dé gens qui n’y euſſent eſté trompés.	Enfin, mon fils, comme nous venons de voir par cette ouverture, le stratagème a réussi, notre Venus a fait des merveilles, et l'admirable Ingénieur qui s'est employé à cet artifice, a si bien disposé tout, à coupé avec tant d'adresse le plancher de cette Grotte, si bien caché ses fils de fer, et tous ses relsorts, si bien ajusté ses lumières, et habille ses Personnages, sonnages, qu'il y a pu de gens qui n'y eussent été trompés.
Et comme la Princeſſe Ariſtione eſt fort ſuperſtitieuſe, il ne faut point douter qu’elle ne donne à pleine teſte dans cette tromperie.	Et comme la Princesse Aristione est fort superstitieuse, il ne faut point douter qu'elle ne donne à pleine tête dans cette tromperie.
Il y a long temps, mon ſils que je prepare cette machine, & me voilà tantoſt au but de mes pretentions.	Il y a long temps, mon sils que je prépare cette machine, et me voilà tantôt au but de mes prétentions.
CLEON.	CLEON.
mui pour lequer den detia Pimneen au moins dreſſez vous tout cet artifice?	mui pour lequer den détia Pimneen au moins dressez -vous tout cet artifice?
ANAXARQUE.	ANAXARQUE.
Tous deux ont recherché mon aſſiſtance, & je leur promets à tous deux la faveur de mon art :	Tous deux ont recherché mon assistance, et je leur promets à tous deux la faveur de mon art :
mais les preſens du Prince Iphicrate, & les promeſ.	mais les présents du Prince Iphicrate, et les promes.
ſes qu’il m’a faites, l’emportent de beaucoup ſur tout ce qu’a pû faire l’autre.	ses qu'il m'a faites, l'emportent de beaucoup sur tout ce qu'a pu faire l'autre.
Ainſi ce ſera luy qui recevra les effets favorables de tous les reſſorts que je fais joüer;	Ainsi ce sera Seigneur qui recevra les effets favorables de tous les ressorts que je fais jouer;
& comme ſon ambition me devra toute choſe, voilà mon fils nôtre fortune faite.	et comme son ambition me devra toute chose, voilà mon fils notre fortune faite.
Je vay prendre mon temps pour affermir dans ſon erreur l’eſprit de la Princeſſe, pour la mieux prevenir encore par le rapport que je luy feray voir adroite.	Je vais prendre mon temps pour affermir dans son erreur l'esprit de la Princesse, pour la mieux prévenir encore par le rapport que je lui ferai voir adroite.
ment des paroles de Venus, avec les predictions des figures Celeſtes, que je luy dis que j’ay jettées.	ment des paroles de Venus, avec les prédictions des figures Célestes, que je était dis que j'ai jetées.
Va-t-en tenir la main au reſte de l’ouvrage, preparer nos ſix hommes à ſe bien cacher dans leur barque derriere le Rocher;	Va-t-en tenir la main au reste de l'ouvrage, préparer nos six hommes à se bien cacher dans leur barque derrière le Rocher;
à poſement attefdre le temps que la Princeſſe Ariſtione vient tous lés ſoirs ſe promener ſeule ſur le rivage, à ſe jetter bien à propos ſur elle, ainſi que des Corſaires, & donner lieu au Prince Iphicrate de luy apporter ce ſecours, qui ſur les paroles du Ciel doit mettre entre ſes mains la Princeſſe Eriphile.	à posément attefdre le temps que la Princesse Aristione vient tous lés soirs se promener seule sur le rivage, à se jeter bien à propos sur elle, ainsi que des Corsaires, et donner lieu au Prince Iphicrate de Seigneur apporter ce secours, qui sur les paroles du Ciel doit mettre entre ses mains la Princesse Ériphile.
Ce Prince eſt averty par moy, & ſur la foy de ma prediction il doit ſe tenir dans ce petit Bois qui borde le rivage.	Ce Prince est averti par moi, et sur la foi de ma prédiction il doit se tenir dans ce petit Bois qui borde le rivage.
Mais ſortons de cette Grotte, je te diray en marchant toutes les choſes qu’il faut bien obſerver.	Mais sortons de cette Grotte, je te dirai en marchant toutes les choses qu'il faut bien observer.
Voilà la Princeſſe Eriphile, évitons ſa rencontre.	Voilà la Princesse Ériphile, évitons sa rencontre.
SCENE IV.	SCÈNE IV.
ERIPHILE, CLEONICE, SOSTRATE	ERIPHILE, CLÉONICE, SOSTRATE
ERIPHILE.	ERIPHILE.
J Elas!	 Jlas!
quelle eſt ma deſtinée, & qu’ay je fait aux Dleux pour ineiſter les loins qu’ils veulent prendre de moy?	quelle est ma destinée, et qu'ai je fait aux Dleux pour inéister les loins qu'ils veulent prendre de moi?
LEONICE.	LEONICE.
Le voicy, Madame, que j’ay trouvé, & à vos premiers ordres il n’a pas manqué de me ſuivre.	Le voici, Madame, que j'ai trouvé, et à vos premiers ordres il n'a pas manqué de me suivre.
ERIPHTLE.	ERIPHTLE.
Qu’il approche, Cleonice, & qu’on nous laiſſe ſeuls un moment.	Qu'il approche, Cléonice, et qu'on nous laisse seuls un moment.
Soſtrate, vous m’aimez?	Sostrate, vous m'aimez?
OSTRATE.	OSTRATE.
Moy, Madame?	Moi, Madame?
ERIPHILE.	ERIPHILE.
Laiſſons cela, Soſtrate, je le ſçay, je l’approuve, & vous permets de me le dire.	Laissons cela, Sostrate, je le sais, je l'approuve, et vous permets de me le dire.
Vôtre paſſion à paru à mes yeux, accompagnée de tout le merite qui me la pouvoit rendre agreable.	Votre passion à paru à mes yeux, accompagnée de tout le mérite qui me la pouvait rendre agréable.
Si ce n’eſtoit le rang où le Ciel m’a fait naître, je puis vous dire que cette paſſion n’auroit pas eſté mal-heureuſe, & que cent ſois je luy ay ſoûhaite l’appuy d’une fortune, qui puſt mettre pour elle en pleine liberté Ies ſecrets ſentimens de mon ame.	Si ce n'était le rang où le Ciel m'a fait naître, je puis vous dire que cette passion n'aurait pas été malheureuse, et que cent sois je lui ai souhaite l'appui d'une fortune, qui pût mettre pour elle en pleine liberté Jes secrets sentiments de mon âme.
Ce n’eſt pas, Soſtrate, que le merite ſeul n’ait à mes yeux tout le prix qu’il doit avoir, & que dans mon cœur je ne prefere les vertus qui ſont en vous, à tous les titres magnifiques, dont les autres ſont reveſtus.	Ce n'est pas, Sostrate, que le mérite seul n'ait à mes yeux tout le prix qu'il doit avoir, et que dans mon cœur je ne préfère les vertus qui sont en vous, à tous les titres magnifiques, dont les autres sont revêtus.
Ce n’eſt pas meſme que la Princeſſe ma Mere ne m’ait aſſez laiſſé la diſpoſition de mes vœux, & je ne doute point, je vous l’avouë, que mes prieres n’euſſent pû tourner ſon conſentement du côté que j’aurois voulu;	Ce n'est pas même que la Princesse ma Mère ne m'ait assez laissé la disposition de mes vœux, et je ne doute point, je vous l'avoue, que mes prières n'eussent pu tourner son consentement du côté que j'aurais voulue;
mais ireſt desbitats;	mais irest débitats;
contiute, ou il il n’eſt pas honeſte de vouloir tout ce qu’on peut faire.	contivte, ou il il n'est pas honnête de vouloir tout ce qu'on peut faire.
Il y a des chagrins à ſe mettre au deſſus de toutes choſes, & les bruits fâcheux de la renommée vous font trop acheter le plaiſir que l’on trouve à contenter ſon inclination;	Il y a des chagrins à se mettre au dessus de toutes choses, et les bruits fâcheux de la renommée vous font trop acheter le plaisir que l'on trouve à contenter son inclination;
c’eſt à quoy, Soſtrate, je ne me ſerois jamais reſoluë, & j’ay creu faire aſſez de fuïr l’engagement dont j’eſtois ſollicitée.	c'est à quoi, Sostrate, je ne me serais jamais résolue, et j'ai cru faire assez de fuir l'engagement dont j'étais sollicitée.
Mais enfin, les Dieux veulent prendre le ſoin euxmeſmes de me donner un époux;	Mais enfin, les Dieux veulent prendre le soin euxmesmes de me donner un époux;
& tous ces longs délais avec léſquels j’ay reculé mon mariage, & que les bontez de la Princeſſe ma Mere ont accordez à mes deſirs, ces délais, dy-je, ne me ſontplus permis, & il me faut reſoudre à ſubir cet arreſt du Ciel.	et tous ces longs délais avec lésquels j'ai reculé mon mariage, et que les bontés de la Princesse ma Mère ont accordés à mes désirs, ces délais, -je, ne me sontplus permis, et il me faut résoudre à subir cet arrêt du Ciel.
Soyez ſeur, Soſtrate, que c’eſt avec toutes les repugnances du monde que je m’abandonne à cet Hymenée, & que ſi j’avois pû eſtre maiſtreſſe de moy, ou j’aurois eſté à vous, ouje n’aurois eſté à perſonne.	Soyez sûr, Sostrate, que c'est avec toutes les répugnances du monde que je m'abandonne à cet Hyménée, et que si j'avais pu être maîtresse de moi, ou j'aurais été à vous, ouje n'aurais été à personne.
Voilà, Soſtiute, cequej avos à vous dire, voilà ce que j’ay creu devoir à votre merite, & la conſolation que toute ma tendreſſe peut donner à vôtre flâme.	Voilà, Sôtiute, cequej avos à vous dire, voilà ce que j'ai cru devoir à votre mérite, et la consolation que toute ma tendresse peut donner à votre flamme.
OSTRATE.	OSTRATE.
Ah!	Ah!
Madame, ç’en eſt trop pour un mal-heureux, je ne m’eſtois pas preparé à mourir avec tant de gloire, & je ceſſe dans ce moment de me plaindre des deſtinées.	Madame, ç'en est trop pour un malheureux, je ne m'étais pas préparé à mourir avec tant de gloire, et je cesse dans ce moment de me plaindre des destinées.
Si elles m’ont fait naiſtre dans un rang beaucoup moins élevé que mes deſirs, elles m’ont fait naiſtre aſſez heureux pour attirer quelque pitié du cœur d’une grande Princeſſe;	Si elles m'ont fait naître dans un rang beaucoup moins élevé que mes désirs, elles m'ont fait naître assez heureux pour attirer quelque pitié du cœur d'une grande Princesse;
& cette pitié glorieuſe vaut des Sceptres & des Couronnes, vaut la fortune des plus grands Princes de la terre.	et cette pitié glorieuse vaut des Sceptres et des Couronnes, vaut la fortune des plus grands Princes de la terre.
Oüy, Madame, dés que j’ay oſé vous aimer;	Oui, Madame, dès que j'ai osé vous aimer;
c’eſt vous, Mauaile, qui voulez bien que je me ſerve de ce mot temeraire;	c'est vous, Mavaile, qui voulez bien que je me serve de ce mot téméraire;
dés que i’ay, di-je, oſé vous aimer, j’ai condamné d’abord l’orgueil de mes deſirs, je me ſuis fait moymeſme la deſtinée que je devois attendre.	dès que j'ai, di-je, osé vous aimer, j'ai condamné d'abord l'orgueil de mes désirs, je me suis fait moymesme la destinée que je devais attendre.
Le coupde mon trépas, Madame, n’aura rien qui me ſurprenne, puiſque je m’y eſtois preparé;	Le coupde mon trépas, Madame, n'aura rien qui me surprenne, puisque je m'y étais préparé;
mais vos bontez le comblent d’un honneur que mon amour jamais n’euſt oſé eſperer, & je m’en vais mourir aprés cela, le plus content & le plus glorieux de tous les hommes.	mais vos bontés le comblent d'un honneur que mon amour jamais n'eût osé espérer, et je m'en vais mourir après cela, le plus content et le plus glorieux de tous les hommes.
Si je puis encore ſouhaiter quelque choſe, ce ſont deux graces, Madame, que je prends la hardieſſe de vous demander à genoux;	Si je puis encore souhaiter quelque chose, ce sont deux grâces, Madame, que je prends la hardiesse de vous demander à genoux;
de vouloir ſouffrir ma preſence juſqu’à cet heureux Hymenée, qui doit mettre fin à ma vie;	de vouloir souffrir ma présence jusqu'à cet heureux Hyménée, qui doit mettre fin à ma vie;
& parmy cette grande gloire, & ces longues proſperitez que le Ciel promet à vôtre union, de vous ſouvenir quelquefois de l’amoureux Soſtrate.	et parmi cette grande gloire, et ces longues prospérités que le Ciel promet à votre union, de vous souvenir quelquefois de l'amoureux Sostrate.
Puis-je, divine Princeſſe, me promettre de vous cette precieuſe faveur?	Puis-je, divine Princesse, me promettre de vous cette précieuse faveur?
ERIPHILE.	ERIPHILE.
mAnez, soſtfâte, iortez d’icy, ce n’eſt pas aymer mon repos, que de me demander que je me ſouvienne de vous.	mAnez, sostfâte, jortez d'ici, ce n'est pas aimer mon repos, que de me demander que je me souvienne de vous.
STRATE.	STRATE.
Ah!	Ah!
Madame, ſi vôtre repos.	Madame, si votre repos.
ERIPHILE.	ERIPHILE.
Oſtez vous, vous dy-je, Soſtrate, épargnez ma foibleſſe, & ne m’expoſez point à plus que je n’ay reſolu.	Ôtez -vous, vous dis-je, Sostrate, épargnez ma faiblesse, et ne m'exposez point à plus que je n'ai résolu.
SCENE V.	SCÈNE V.
CLEONICE, ERIPHILE.	CLÉONICE, ERIPHILE.
N CLEONICE.	 NLÉONICE.
Adame, je vous voy l’eſprit tout chagrin, vous plaiſt-il que vos danceurs, qui expriment.	Adame, je vous vois l'esprit tout chagrin, vous plaît-il que vos danceurs, qui expriment.
ſi bien toutes les paſſions, vous donnent maintenant quelque épreuve de leur adreſſe?	si bien toutes les passions, vous donnent maintenant quelque épreuve de leur adresse?
ERIPHILE.	ERIPHILE.
Oüy, Cleonice, qu’ils faſſent tout ce qu’ils voudront, pourveu qu’ils me laillent a mespemees,	Oui, Cléonice, qu'ils fassent tout ce qu'ils voudront, pourvu qu'ils me laillent à mespemees,
CIN	CIN
CINQUIE’ME INTERMEDE.	CINQUIE'ME INTERMÈDE.
Uatre Pantomimes, pour épreuve de leur adreſſe, ajuſtent leurs geſtes & leurs pas aux inquietudes de la jeune Princeſſe Eriphile.	Uatre Pantomimes, pour épreuve de leur adresse, ajustent leurs gestes et leurs pas aux inquiétudes de la jeune Princesse Eriphile.
ENTRE’E DE BALLET	ENTRE DE BALLET
ACTE V.	ACTE V.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CLITIDAS ARAPHIHE.	CLITIDAS ARAPHIHÉE.
CLITIDAS.	CLITIDAS.
E quel coſté porter mes pâs?	E quel côté porter mes pâls?
où m’aviſeray-je d’aller, & en quel lieu puis-je croire que je trouveray maintenant la Princeſſe Eriphile?	où m'aviserai-je d'aller, et en quel lieu puis-je croire que je trouverai maintenant la Princesse Ériphile?
Ce n’eſt pas un petit avantage que denle le premer a porter une nouvene.	Ce n'est pas un petit avantage que denle le près a porter une nouvène.
Ah!	Ah!
la voilà.	la voilà.
Madame, je vous annonce que le Ciel vient de vous donner l’époux qu’il vous deſtihoit.	Madame, je vous annonce que le Ciel vient de vous donner l'époux qu'il vous destihait.
ERIPHILE.	ERIPHILE.
Eh, laiſſe moy, Clitidas, dans ma ſombre mélancolie.	Eh, laisse -moi, Clitidas, dans ma sombre mélancolie.
LITIDAS.	LITIDAS.
Madanie, je vous demande pardon, je penſois faire bien de vous venir dire que le Ciel vient de vous donner Soſtrate pour époux, mais puiſque cela vous incommode, je rengaine ma nouvelle, & m’en retourne droit comme je ſuis venu.	Madanie, je vous demande pardon, je pensais faire bien de vous venir dire que le Ciel vient de vous donner Sostrate pour époux, mais puisque cela vous incommode, je rengaine ma nouvelle, et m'en retourne droit comme je suis venu.
ERIPHILE.	ERIPHILE.
Clitidas, holà, Clitidas.	Clitidas, holà, Clitidas.
T IDAS.	 TDAS.
Je vous laiſſe, Madame, dans vôtre ſombre mélancelie.	Je vous laisse, Madame, dans votre sombre mélancelie.
IPHILE.	IPHILE.
Arreſte, te dy-je, approche.	Arrête, te dis-je, approche.
Que viens-tu me OIIt.	Que viens-tu me OIt.
LITIDAS.	LITIDAS.
Rien, Madame, on a parfois des empreſſemens de venir dire aux Grands des certaines choſes, dont ils ne ſe ſoucient pas, & je vous prie de m’excuſer.	Rien, Madame, on a parfois des empressements de venir dire aux Grands des certaines choses, dont ils ne se soucient pas, et je vous prie de m'excuser.
EL.	ÉL.
AHAAMCE H LI Que tu es cruel!	AHAAMCE H LI Que tu es cruel!
LITIDAS.	LITIDAS.
Une autre fois j’auray la diſcretion de ne vous pas venir interrompre.	Une autre fois j'aurai la discrétion de ne vous pas venir interrompre.
ERIFHILE.	ERIFHILE.
Ne me tiens point dans l’inquietude, qu’eſtce que tu viens m’annoncer?	Ne me tiens point dans l'inquiétude, qu'estce que tu viens m'annoncer?
*LITIDAS.	*LITIDAS.
C’eſt une bagatelle de Soſtrate, Madame, que je vous diray une autre fois, quand vous ne ſerez point embaraſſée.	C'est une bagatelle de Sostrate, Madame, que je vous dirai une autre fois, quand vous ne serez point embarrassée.
ERIPMILE.	ERIPMILE.
Ne me fais point languir davantage, te dis-je, & m’apprens cette nouvelle.	Ne me fais point languir davantage, te dis-je, et m'apprends cette nouvelle.
L TIDAS.	 LIDAS.
Vous la voulez ſçavoir, Madame?	Vous la voulez savoir, Madame?
PHILE.	PHILE.
Oüy, dépeſche.	Oui, dépêche.
Qu’as-tu à me dire de Soſtrate?	Qu'as-tu à me dire de Sostrate?
TIDAS.	TIDAS.
Une avanture merveilleuſe, où perſonne ne s’attendoit.	Une aventure merveilleuse, où personne ne s'attendait.
ERIPHILE.	ERIPHILE.
Dy moy viſte ce que c’eſt.	Dis -moi vite ce que c'est.
CLI	CLI
LITIDAS.	LITIDAS.
Cela ne troublera t’il point, Madame, vôtre fombre mélancolie?	Cela ne troublera -t-il point, Madame, votre fombre mélancolie?
ERIPHILE.	ERIPHILE.
Ah!	Ah!
parle promptement.	parle promptement.
LITIDAS.	LITIDAS.
J’ay donc à vous dire, Madame, que la Princeſſe vôtre Mere paſſoit preſque ſeule dans la Foreſt, par ces petites routes qui ſont ſi agreables, lors qu’un Sanglier hideux, (ces vilains Sangliers- là font toûjours du deſordre, & l’on devroit les bannir des Foreſts bien policées;	J'ai donc à vous dire, Madame, que la Princesse votre Mère passait presque seule dans la Forêt, par ces petites routes qui sont si agréables, lors qu'un Sanglier hideux, (ces vilains Sangliers- là font toujours du désordre, et l'on devrait les bannir des Forêts bien policées;
lors, dy-je, qu’un Sanglier hideux, pouſſé je croy par des Chaſſeurs, eſt venu traverſer la route où nous eſtions.	lors, dis-je, qu'un Sanglier hideux, poussé je crois par des Chasseurs, est venu traverser la route où nous étions.
Je devrois vous faire peut-eſtre, pour orner mon recit, une deſcription étenduë du Sanglierdont je parle, mais vous vous en paſſerez s’il vous plaiſt, & je me contenteray de vous dire que c’eſtoit un fort vilain animal.	Je devrais vous faire peut-être, pour orner mon récit, une description étendue du Sanglierdont je parle, mais vous vous en passerez s'il vous plaît, et je me contenterai de vous dire que c'était un fort vil animal.
Il paſſoit ſon chemin, & il eſtoit bon de ne luy rien dire, & de ne point chercher de noiſe avec luy, mais la Princeſſe a voulu égayer ſa dexterité, & de ſon dard qu’elle luy a lancé un peu mal à propos, ne luy en déplaiſe, luy a fait au deſſus de l’oreille une aſſez petite bleſſure.	Il passait son chemin, et il était bon de ne lui rien dire, et de ne point chercher de noise avec lui, mais la Princesse a voulu égayer sa dextérité, et de son dard qu'elle tu a lancé un peu mal à propos, ne lu en déplaise, tu a fait au dessus de l'oreille une assez petite blessure.
Le Sanglier mal moriginé, s’eſt impertinemment détourné contre nous;	Le Sanglier mal moriginé, s'est impertinemment détourné contre nous;
nous eſtions là deux, ou tfois miſerables qui avons pâly de frayeur, chacun gagnoit IomHibre, & la rrineene faus defence démeuroit expoſée à la furie de la beſte, lors que Soſtrate aparu, comme ſi les Dieux l’euſſent envoyé.	nous étions là deux, ou tfois misérables qui avons pâli de frayeur, chacun gagnait JomHibre, et la rrineène faus défense démeuroit exposée à la furie de la bête, lors que Sostrate apparu, comme si les Dieux l'eussent envoyé.
ERIPHILE.	ERIPHILE.
Hé, bien, Clitidas.	Hé, bien, Clitidas.
LITIDAS.	LITIDAS.
Si mon recit vous ennuye, Madame, je remettray le reſte à une autre fois.	Si mon récit vous ennuie, Madame, je remettrai le reste à une autre fois.
ERIPHILE.	ERIPHILE.
Acheve promptement.	Acheve promptement.
LITIDAS.	LITIDAS.
Ma foy, c’eſt promptement de vray que j’acheveray, car un peu de poltronnerie m’a empeſché de voir tout le détail de ce combat, & tout ce que je puis vous dire, c’eſt que retournant ſur la place, nous avons veu le Sanglier mort, tout veautré dans ſon ſang, & la Princeſſe pleine de joye, nommant Soſtrate ſon liberateur, & l'époux digne & fortuné que les Dieux luy marquoient pour vous.	Ma foi, c'est promptement de vrai que j'achèverai, car un peu de poltronnerie m'a empêché de voir tout le détail de ce combat, et tout ce que je puis vous dire, c'est que retournant sur la place, nous avons vu le Sanglier mort, tout veautré dans son sang, et la Princesse pleine de joie, nommant Sostrate son libérateur, et l'époux digne et fortuné que les Dieux lui marquaient pour vous.
A ces paroles j’ay creu que j’en avois aſſez entendu, & je me ſuis haſté de vous en venir, avant tous, apporter la nouvelle.	À ces paroles j'ai cru que j'en avais assez entendu, et je me suis hâté de vous en venir, avant tous, apporter la nouvelle.
ERIPHILE.	ERIPHILE.
Ah!	Ah!
Clitidas, pouvois tu m’en donner une qui me puſt eſtre plus agreable?	Clitidas, pouvais tu m'en donner une qui me pût être plus agréable?
RIDAS.	RIDAS.
Voilà qu’on vient vous trouver.	Voilà qu'on vient vous trouver.
ARIS SCENE II.	ARIS SCÈNE II.
TIONE, SOSTRATE.	TIONE, SOSTRATE.
ERIPHILE, CLITIDAS.	ERIPHILE, CLITIDAS.
ARISTIONE.	ARISTIONE.
E voy, ma Fille, que vous ſçavez déja tout J ce que nous pourrions vous dire.	E vois, ma Fille, que vous savez déjà tout ce que nous pourrions vous dire.
Vous voyez que les Dieux ſe ſont expliquez bien plûtoſt que nous n’euſſions penſe;	Vous voyez que les Dieux se sont expliquez bien tôt que nous n'eussions pense;
mon peril n’a gueres tardé à nous marquer leurs volontez, & l’on connoiſt aſſez que ce ſont eux qui ſe ſont meſlez de ce choix, puiſque le merite tout ſeul brille dans cette preference.	mon péril n'a guère tardé à nous marquer leurs volontés, et l'on connaît assez que ce sont eux qui se sont mêlez de ce choix, puisque le mérite tout seul brille dans cette préférence.
Aurez-vous quelque repugnance à recompenſer de vôtre cœur, celuy à qui je dois la vie, & refuſerez-vous Soſtrate pour époux?	Auriez-vous quelque répugnance à récompenser de votre cœur, celui à qui je dois la vie, et refuserez-vous Sostrate pour époux?
ERIPHILE.	ERIPHILE.
Et de la main des Dieux, & de la vôtre, Madame, je ne puis rien recevoir qui ne me ſoit fort agreable.	Et de la main des Dieux, et de la vôtre, Madame, je ne puis rien recevoir qui ne me soit fort agréable.
TRATE.	TRATE.
Ciel!	Ciel!
n’eſt-ce point icy quelque ſonge tout plein de gloire, dont les Dieux me veuillent flater, & quelque réveil mal-heureux ne me replongera t-il point dans la baſſeſſe de ma fortune?	n'est-ce point ici quelque songe tout plein de gloire, dont les Dieux me veuillent flatter, et quelque rèveil malheureux ne me replongera t-il point dans la bassesse de ma fortune?
SCENE III.	SCÈNE III.
CELONIEE, ARISTIONE, SOSTRATE, ERIPHILE, CLITIDAS.	CELONIE, ARISTIONE, SOSTRATE, ERIPHILE, CLITIDAS.
EONICE.	EONICE.
Adame, je viens vous dire qu’Anaxarque a juſqu’icy abuſé l’un & l’autre Prince, par I’eſperance de ce choix qu’ils pourſuivent depuis Iong temps, & qu’au bruit qui s’eſt répandu de vôtre avanture, ils ont faitéclater tous deux leur reſſentiment contre luy, juſques-là, que de paroles en paroles, les choſes ſe ſont échauffées, & il en a reçeu quelques bleſſures, dont on ne ſçait pas bien ce qui arrivera.	Adame, je viens vous dire qu'Anaxarque a jusqu'ici abusé l'un et l'autre Prince, par J'espérance de ce choix qu'ils poursuivent depuis Jong temps, et qu'au bruit qui s'est répandu de votre aventure, ils ont faitéclater tous deux leur ressentiment contrefois, jusque-là, que de paroles en paroles, les choses se sont échauffées, et il en a reçu quelques blessures, dont on ne sait pas bien ce qui arrivera.
Mais les voicy.	Mais les voici.
SCENE IV.	SCÈNE IV.
IPHICRATE, TIMOCLES, CLEONICE, AR TIONE, SOSTRATE, ERIPHILE, CLITIDAS.	IPHICRATE, TIMOCLES, CLEONICE, AR TIONE, SOSTRATE, ERIPHILE, CLITIDAS.
ARISTIONE.	ARISTIONE.
D Rinces, vous agiſſez tous deux avec une violence bien grande, & ſi Anaxarque a pû vous offencer, j’eſtois pour vous en faire juſtice moymeſme.	D Rinces, vous agissez tous deux avec une violence bien grande, et si Anaxarque a pu vous offenser, j'étais pour vous en faire justice moymesme.
IPHICRATE.	IPHICRATE.
Et quelle juitiée, madame, aunlet-vous pâ nous faire de luy, ſi vous la faites ſi peu à nôtre rang, dans le choix que vous embraſſez?	Et quelle juitiée, madame, aunlet-vous pâ nous faire de peine, si vous la faites si peu à notre rang, dans le choix que vous embrassez?
ARISTIONE.	ARISTIONE.
Ne vous eſtes vous pas ſoûmis l'un & l’autre, à ce que pourroient décider, ou les ordres du Ciel, ou l’inclination de ma Fille?	Ne vous êtes vous pas soumis l'un et l'autre, à ce que pourraient décider, ou les ordres du Ciel, ou l'inclination de ma Fille?
TIMOCLES.	TIMOCLES.
Oüy, Madame, nous nous ſommes ſoûmis à ce qu’ils pourroient décider, entie le Prince Iphicrate & moy, mais non pas à nous voir rebutez tous deux.	Oui, Madame, nous nous sommes soumis à ce qu'ils pourraient décider, entie le Prince Iphicrate et moi, mais non pas à nous voir rebutez tous deux.
ARISTIONE.	ARISTIONE.
Et ſi chacun de vous a bien pû ſe reſoudre à ſouffrir une preference, que vous arrive t.	Et si chacun de vous a bien pu se résoudre à souffrir une préférence, que vous arrive t.
il à tous deux, où vous ne ſoyez preparez, & que peut importer à l’un & à l’autre, les intereſts de ſon Rival?	il à tous deux, où vous ne soyez préparés, et que peut importer à l'un et à l'autre, les intérêts de son Rival?
HICRATE.	HICRATE.
Oüy, Madame, il importe, c’eſt quelque conſolation ſolation de ſe voir preſerer un homme qui vous eſt égal, & vôtre aveuglement eſt une choſe épouventable.	Oui, Madame, il importe, c'est quelque consolation solation de se voir présérer un homme qui vous est égal, et votre aveuglement est une chose épouventable.
RISTIONE.	RISTIONE.
Prince, je ne veux pas me broüiller avec une perſonne qui m’a fait tant de grace, que de me dire des douceurs, & je vous prie avec toute l’honneſteté qu’il m’eſt poſſible, de donner à vôtre chagrin un ſondement plus raiſonnable;	Prince, je ne veux pas me brûler avec une personne qui m'a fait tant de grâce, que de me dire des douceurs, et je vous prie avec toute l'honnêteté qu'il m'est possible, de donner à votre chagrin un sondement plus raisonnable;
de vous ſouvenir, s’il vous plaiſt, que Soſtrate eſt reveſtu d’un merite, qui s’eſt fait connôitre à toute la Grece, & que letang ou le Ciel l'éleve aujourd’huy, va remplir toute la diſtance qui eſtoit entre luy & vous.	de vous souvenir, s'il vous plaît, que Sostrate est revêtu d'un mérite, qui s'est fait connaître à toute la Grèce, et que let ou le Ciel l'élève aujourd'hui, va remplir toute la distance qui était entre lui et vous.
PHICRATE.	PHICRATE.
Oüy, oüy, Madame, nous nous en ſouviendrons, mais peut être auſſi vous ſouviendrezvous, que deux Princes outragez ne ſont pas deux ennemis peu redoutables.	Oui, oui, Madame, nous nous en souviendrons, mais peut -être aussi vous souviendrezvous, que deux Princes outragez ne sont pas deux ennemis peu redoutables.
