a ded	a déd
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
OEANIE, NERINE.	ÔEANIE, NERINE.
& ORANTE.	et ORANTE.
Ieux !	Jeux !
ilne ſonge point au tourment qui me preſPour auoir tant d’amour, il a trop de pareſſe.	ilne songe point au tourment qui me presPour avoir tant d'amour, il a trop de paresse.
Si ne me trouuant pas on ſe met à chercher, Vn lieu touſiours ouuert, pourra-t'ilme cacher?	Si ne me trouvant pas on se met à chercher, Un lieu toujours ouvert, pourra-t'-ilme cacher?
Et ſi parces habits on connoiſt mon enuie, Rien me peut-il ſauuer & l’honneur, & lavie?	Et si parées habits on connaît mon envie, Rien me peut-il sauver et l'honneur, et lavie?
NERINE.	NERINE.
Ie neſçay que iuger de ſon retardement;	Je nesçai que juger de son retardement;
Mais qu’il manque d’amour, Madame, nullement,	Mais qu'il manque d'amour, Madame, nullement,
ORANTE.	ORANTE.
Quand Clindor te donna ces habillements d’hommes, Ne te marque-t’il pas ce lieu meſme où nous ſommes?	Quand Clindor te donna ces habillements d'hommes, Ne te marque-t-il pas ce lieu même où nous sommes?
NERI	NERY
NERINE.	NERINE.
Ilme marqua le lieu, le iour, & le matin.	Ilme marqua le lieu, le jour, et le matin.
ORANTE.	ORANTE.
Sans doute que leur faute eſt celle du deſtin;	Sans doute que leur faute est celle du destin;
Qui ialoux de mon aiſe, & l’ayant reconnuë, Pour me deſesperer, empeſche leur venuë:	Qui jaloux de mon aise, et l'ayant reconnue, Pour me désespérer, empêche leur venue:
Quelque obſtacle faſcheux leur deffend de venir.	Quelque obstacle fâcheux leur défend de venir.
Mais ie n’en auray point quand ie voudrayfinir;	Mais ici n'en aurai point quand tu voudraifinir;
Dans l’excez des mal-heurs, où perſonne ne m’aide, I’ay touſiours creu la mort vn ſouuerain remede;	Dans l'excès des malheurs, où personne ne m'aide, J'ai toujours cru la mort J' souuerain remède;
Qui l’a pris vne fois, le prendra bien encor:	Qui l'a pris une fois, le prendra bien encor:
NERINE.	NERINE.
O Ciel!	Ô Ciel!
voicy venir le fidelle Clindor,	voici venir le fidèle Clindor,
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
CLINDOR, ORANTE, NERINE.	CLINDOR, ORANTE, NERINE.
CLINDOR.	CLINDOR.
I vous me voyez ſeul, qu’il ne vous ſemble eſtrange;	I vous me voyez seul, qu'il ne vous semble étrange;
Mon Maiſtre par mal-heur a rencontré Florange;	Mon Maître par malheur a rencontré Florange;
Mais ſouffrez en fuyant la colere d’Ormin, Que ce diſcours je faſſe auec noſtre chemin.	Mais souffrez en fuyant la colère d'Ormin, Que ce discours je fasse auec jours chemin.
ORANTE.	ORANTE.
Prends pitié de moncœur, en luy faiſant connoistre, Si vainqueur ou bleßé ie dois reuoir ton Maiſtre.	Prends pitié de moncœur, en lui faisant connaître, Si vainqueur ou blevé reux dois revoir ton Maître.
CLINDOR.	CLINDOR.
Et vainqueur, & bleſſé, mais fort legerement, Quelqu’vn nous ſurprendra, ſauuons nous vistement.	Et vainqueur, et blessé, mais fort légèrement, Quelqu'un nous surprendra, sauvons nous vite.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
LVCINDE, PALINICE.	LUCINDE, PALINICE.
LVCINDE.	LUCINDE.
Elas!	Élas!
de non ſupport ie me trouue priuée;	de non support ie me trouve privée;
Madame, c’en est fait, ma fille est enleuée;	Madame, c'en est fait, ma fille est enlevée;
Elle n’eſt plus icy;	Elle n'est plus ici;
Nerine a disparu;	Nerine a disparu;
En vain tout le Chaſteau i’ay quatre fois couru;	En vain tout le Château j'ai quatre fois couru;
Son Cabinet eſt vuide;	Son Cabinet est vid;
& ſa Chambre eſt ouuerte;	et sa Chambre est ouverte;
Halie n’en doute plus, cela me dit ma perte!	Halie n'en doute plus, cela me dit ma perte!
Ie ſuis au deſespoir;	Je suis au désespoir;
& ie perds la raiſon;	et grande perds la raison;
Souffrez voits des voleurs dedans voſtre maiſon?	Souffrez oits des voleurs dedans votre maison?
Soulagez ma douleur, puis qu’elle vous afflige;	Soulagez ma douleur, puis qu'elle vous afflige;
Vn mal eſt incurable, alors qu’on le neglige;	Un mal est incurable, alors qu'on le néglige;
Ileſt encore temps, faites courir apres:	Ilest encore temps, faites courir après:
PALINICE.	PALINICE.
Ne cherchons pas ſi loing, les ennemis ſont pres:	Ne cherchons pas si loing, les ennemis sont pres:
L i.	L y.
Le principe dumal m’enfit preuoir l’iſſuë Ormin a fait ce coup, ou ie ſuis fort deceuë;	Le principe dumal m'enfit prévoir l'issue Ormin a fait ce coup, ou ie suis fort déçue;
Mais allons deſcouurir la route qu’elle a pris:	Mais allons découvrir la route qu'elle a pris:
LVCINDE.	LUCINDE.
P ous redonblez encor ta geſne ames Epnts.	 Pous redonblez encor ta gêne âmes Épnts.
SCENE SIXIESME,	SCÈNE SIXIÈME,
ORMIN.	ORMIN.
E feu de mon courroux ſe meſle auec ma flame;	E feu de mon courroux se mêle avec ma flamme;
On enleue mon cœur, on dérobe mon ame;	On enlève mon cœur, on dérobe mon âme;
Au moins cruel deſtin, fais voir à mes deſirs, L’inuiſible ennemy qui deſtruit mes plaiſirs.	Au moins cruel destin, fais voir à mes désirs, L'invisible ennemi qui détruit mes plaisirs.
De ſcouure moy le Ciel où mon Soleildemeure;	De scouvre moi le Ciel où mon Soleildemeure;
Que ie meure vange puuis qu’il faut que ie meure;	Que mille meure venge puuis qu'il faut que sans meure;
Et permets que ſon ſang puiſſe effacer l’affront, Qui me perce le cœur, & me rougit le front.	Et permets que son sang puisse effacer l'affront, Qui me perce le cœur, et me rougit le front.
Mais à tort ce ſoupçon m’entre en la fantaiſie;	Mais à tort ce soupçon m'entre en la fantaisie;
Et ie donne à l’Amour vn trait de ialouſie:	Et grande donne à l'Amour un trait de jalousie:
Sans doute que ma femme a fait ce beau deſſein;	Sans doute que ma femme a fait ce beau dessein;
Mais vn coupde poignard luy va percer le ſein, Si ſa ruſe entreprend de faire l’ignorante;	Mais un coupde poignard lui va percer le sein, Si sa ruse entreprend de faire l'ignorante;
Elle perdra le iour, ſi ie perds mon Orante.	Elle perdra le jour, si ici perds mon Orante.
SCENE SEPTIESME.	SCÈNE SEPTIÈME.
FLORANGE, ISIMANDRE.	FLORANGE, ISIMANDRE.
2.	2.
S FLORANCE.	S FLORANCE.
A fortune a trahy tout l’eſpoir que i’auois:	À fortune a trahi tout l'espoir que j'avais:
ISIMANDRE.	ISIMANDRE.
aafabienx qu'vn totner, vous n'autz que la voix.	afabienx qu'un totner, vous n'auts que la voix.
FLORANGE.	FLORANGE.
Il eſt vray;	Il est vrai;
mais fouffrez qu'elle me ſerue à pleindre;	mais souffrez qu'elle me serve à pleindre;
ISIMANDRE.	ISIMANDRE.
De ſormais vous ny moy n’auons plus rien à craindre.	De sormais vous ni moy n'avons plus rien à craindre.
L iij	 Lijà
FLORANGE.	FLORANGE.
Et pius grunu ues matineurs, enfenui ẽſt aduenu:	Et pius grunu ouves matineurs, enfenu ẽst avenu:
ISIMANDRE.	ISIMANDRE.
Le mal dont vous parlez ne vous eſt pas connu.	Le mal dont vous parlez ne vous est pas connu.
FLORANGE.	FLORANGE.
Que ſçauroit adiouſter la fortune à ma peine?	Que saurait ajouter la fortune à ma peine?
E ei d ll ace lass L’ineuitable fin d’vne esperance vaine.	 ei d' l ace lass L'inévitable fin d'une espérance vaine.
FLORANGE, Donnez moy cette fin en celle de mes iours:	FLORANGE, Donnez -moi cette fin en celle de mes jours:
ISIMANDRE.	ISIMANDRE.
Ce poil s’accorde mal auecquo ce diſcours.	Ce poil s'accorde mal auecquo ce discours.
FLORANGE.	FLORANGE.
Et ce diſcours s’accorde auec mon aduanture:	Et ce discours s'accorde avec mon aventure:
ISIMANDRE.	ISIMANDRE.
Par luy vous renuerſez l’ordre de la Nature.	Par lui vous renversez l'ordre de la Nature.
FLORANGE.	FLORANGE.
ommemt emenaez vous rtapiiquez ce propos:	ommemt emenaez -vous rapiquez ce propos:
ISIMANDRE.	ISIMANDRE.
Songez que la vieilleſſe a beſoin de repos.	Songez que la vieillesse a besoin de repos.
FLORANGE.	FLORANGE.
L’âge dont vous parlez n’a rien qui ſoit infame:	L'âge dont vous parlez n'a rien qui soit infâme:
ISIMANDRE.	ISIMANDRE.
Mais l’Amour eſt aueugle, & la fortune eſt femme.	Mais l'Amour est aveugle, et la fortune est femme.
FLORANGE.	FLORANGE.
Deſia depuis long-temps i’en ay ſenty les coups:	Déjà depuis longtemps j'en ai senti les coups:
ISIMANDRE.	ISIMANDRE.
Y ous en verrez vien tuſt de pius meureux que vous.	Y ous en verrez vien tût de pius meureux que vous.
FLORANGE.	FLORANGE.
Ne pouuant l'empeſcher, il faudra m’y reſoudre:	Ne pouvant l'empêcher, il faudra m'y résoudre:
ISIMANDRE.	ISIMANDRE.
Que voſtre œil ſe prepare à voir tomber la foudre.	Que votre œil se prépare à voir tomber la foudre.
FLORANGE.	FLORANGE.
Que ie ne meure point d’vn coup inopiné;	Que nos ne meure point d'ins coup inopiné;
Orante vient icy;	Orante vient ici;
Ellearrine.	Ellearrine.
ISIMANDRE.	ISIMANDRE.
Approche mon eſpoir, Vous l’auez deuiné.	Approche mon espoir, Vous l'avez deviné.
SCENE HVICTIESME.	SCÈNE HVICTIESME.
ORANTE, ISIMANDRE, FLORANGE, CLINDOR, NERINE.	ORANTE, ISIMANDRE, FLORANGE, CLINDOR, NERINE.
EN Vyons, fuyons ma vie;	EN Vions, fuyons ma vie;
Noſtre heur eſt aſſez grand, pour exciter l’enuie.	Notre heur est assez grand, pour exciter l'envie.
ISIMANDRE.	ISIMANDRE.
Nous la tenons captiue, elle est priſe en ces lieux;	Nous la tenons captive, elle est prise en ces lieux;
ORANTE.	ORANTE.
Ha!	Ha!
chaſſez ce phantoſme il desplaiſt à mes yeux.	chassez ce phantôme il déplaît à mes yeux.
FLORANCE.	FLORANCE.
Que par l’ombre du bien l’ame eſt ſouuent trompée:	Que par l'ombre du bien l'âme est souvent trompée:
ISIMANDRE.	ISIMANDRE.
Allez, retirez vous, reprenez voſtre eſpée;	Allez, retirez -vous, reprenez votre épée;
Et ſur vos paßions ayez plus de pouuoir:	Et sur vos passions ayez plus de pouvoir:
TLORANOE.	TLORANOE.
Ie meurs de voir Orante, & de ne la plus voir.	Je meurs de voir Orante, et de ne la plus voir.
ISIMANDRE.	ISIMANDRE.
Icy la diligence eſt bien fort neceſſaire;	Ici la diligence est bien fort nécessaire;
Ce vieux monſtre amoureux, ce debile aduerſaire Ua chercher du ſecours, & nous ſerons ſuiuis, Si toſt que de ma route on aura quelque aduis.	Ce vieux monstre amoureux, ce débile adversaire Ua chercher du secours, et nous serons suivis, Si tôt que de ma route on aura quelque avis.
Clindor, volle deuant, & forme vne chimere, Qui puiſſe trouuer place en l’esprit de mon pere;	Clindor, volle devant, et forme une chimère, Qui puisse trouver place en l'esprit de mon père;
Dis luy qu’ayant quitté le logis paternel, Ie me ſuis repenty de me voir criminel;	Dis grands qu'ayant quitté le logis paternel, Je me suis repenti de me voir criminel;
Et que par mes douleurs iugeant de ſa ſouffrance, I'ay rompu le deſſein d’vn voyage de France;	Et que par mes douleurs jugeant de sa souffrance, J'ai rompu le dessein d'un voyage de France;
Dis luy que deux Guerriers m’ont tiré du danger, Où mettent les voleurs l’vn & l’autre eſtranDis luy que ie les meine, & qu’il faſſe connoiſtre, En les bien receuant, la grandeur de mon eſtre;	Disblé que deux Guerriers m'ont tiré du danger, Où mettent les voleurs l'un et l'autre étranDis Seigneur que je les mène, et qu'il fasse connaître, En les bien recevant, la grandeur de mon être;
La bleſſure que i’ayprouuera ton diſcours;	La blessure que j'aiprouvera ton discours;
Mais les meilleurs conſeils ſont icy les plus cours;	Mais les meilleurs conseils sont ici les plus cours;
Donne viste vn cheual, que i’enleue ma proye;	Donne vite un cheval, que j'enlève ma proie;
Elle vaut mieux qu’Helene, & Naples moins que Troye;	Elle vaut mieux qu'Hélène, et Naples moins que Troie;
Et premier que ie rende vn bien que i’ay volle, Bruſle comme mon cœur mon païs deſolé.	Et premier que personne rende un bien que j'ai volle, Brûle comme mon cœur mon pays désolé.
SCENE NEVFIESME.	SCÈNE NEUFIESME.
OleMra, IHETIEMCEIMMCINDE.	OleMra, IHETIEMCEIMMCINDE.
LERISTON.	LERISTON.
ORMIN.	ORMIN.
Q A belle inuention!	 A belle invention!
ô Dieux qu'elle eſt ſubtile!	ô Dieux qu'elle est subtile!
PALINICE.	PALINICE.
Menſonge bien penſé!	Mensonge bien pensé!
mais pourtant inutile.	mais pourtant inutile.
ORMIN.	ORMIN.
Touſiours vostre chagrin ſe plaiſt à me faſcher:	Toujours votre chagrin se plaît à me fâcher:
PALINICE.	PALINICE.
Orante eſt en vos mains, que ſert de la cacher?	Orante est en vos mains, que sert de la cacher?
ORMIN.	ORMIN.
Mon esprit affligé n’entend point raillerie:	Mon esprit affligé n'entend point raillerie:
PALIRICT.	PALIRICT.
Est elle au cabinet, ou dans la gallerie?	Est -elle au cabinet, ou dans la gallérie?
M i	M y
ORMIN.	ORMIN.
num puuoiceuuic poumtmu eſclaircir:	num puuoiceuuic poumtmu éclaircir:
PALINICE.	PALINICE.
Pn deſſein de ſcouhert ne ſçauroit reuſsir.	Pn dessein de scouhert ne saurait réussir.
ORMIN.	ORMIN.
Vous me croyez aueugle, & i’ay fort bonne veuë:	Vous me croyez aveugle, et j'ai fort bonne vue:
PALINICE.	PALINICE.
Ie ne m’estonne point, ſa perte eſtoit preueuë.	Je ne m'étonne point, sa perte était prévue.
OEMIN.	OEMIN.
Veſtre ruſe paroiſt plus claire que le iour.	Vêtre ruse paraît plus claire que le jour.
PALINICE.	PALINICE.
Voſtre haine deſcouure, & fait voir voſtre amour.	Votre haine découvre, et fait voir votre amour.
ORMIN.	ORMIN.
De ſcouure mon amour!	De scouvre mon amour!
pour qui?	pour qui?
pour ma parente?	pour ma parente?
PALINICE.	PALINICE.
L’ous n’aimez pas le ſang, mais la beauté d’Orante.	L'ous n'aimez pas le sang, mais la beauté d'Orante.
ORMIN.	ORMIN.
Et bien;	Et bien;
ſoit;	soit;
il est vray;	il est vrai;
mais ie la veux auoir:	mais ici la veux avoir:
PALINICE.	PALINICE.
Puis qu'elle eſt entes mains, perfide, va la voir.	Puis qu'elle est entes mains, perfide, va la voir.
ORMIN.	ORMIN.
Ha!	Ha!
ne contestez plus, rendez la moy, vous dis ie:	ne contestez plus, rendez la moi, vous disâge:
Quoy!	Quoi!
vous n'en ferez rien?	vous n'en ferez rien?
LVCINDE.	LUCINDE.
O bons Dieux, quel prodige:	Ô bons Dieux, quel prodige:
Page, ſecourez moy, ie ne le puis tenir:	Page, secourez -moi, une ne le puis tenir:
PALINICE.	PALINICE.
Ciel!	Ciel!
peux-tu voir ſon crime, & ne le pas punir?	peux-tu voir son crime, et ne le pas punir?
M.	M.
iij	jij
SCENE DIXIESME.	SCÈNE DIXIÈME.
FLORANGE, LVCINDE, ORMIN, PALINICE, LERISTE.	FLORANGE, LUCINDE, ORMIN, PALINICE, LERISTE.
20 FLORANGE.	20 FLORANGE.
I'vous cherchez Orante, elle n’eſt plus à Piſe:	J'vous cherchez Orante, elle n'est plus à Pise:
Et ſes charmes ont pris vn Amant qui la priſe.	Et ses charmes ont pris un Amant qui la prise.
Iſimandre l’emmene, apres m’auoir vaincu:	Isimandre l'emmène, après m'avoir vaincu:
LVCINDE.	LUCINDE.
Pour auoir moins de maux, que n’ay-ie moins veſc?	Pour avoir moins de maux, que n'ai-je moins vesc?
ORMIN.	ORMIN.
Reſoluons nous moncœur, ma perte eſt aſſurée;	Résoluons -nous moncœur, ma perte est assurée;
Orante la procure, & le Ciel l’a iurée;	Orante la procure, et le Ciel l'a jurée;
Vn autre la poſſede:	Un autre la possède:
ô penſer aſſaßin!	ô penser assassin!
Iamais volleur ne fit vn ſi riche larcin.	Jamais volleur ne fit un si riche larcin.
Bien-heureux Iſimandre, en cette douce guerre, Tu pilles les threſors du Ciel & dela Terre;	Bienheureux Isimandre, en cette douce guerre, Tu pilles les trésors du Ciel et déla Terre;
Ce fameux Cenquerant, qu’on a fait immortel, Prit l’Vniuere entier, & ne prit rien de tel.	Ce fameux Cenquérant, qu'on a fait immortel, Prit l'Vniuere entier, et ne prit rien de tel.
Mais quand Naples ſeroit ences Plages deſertes, Qui par les Matelots ne ſont pas deſcouuertes;	Mais quand Naples serait ences Plages désertes, Qui par les Matelots ne sont pas découvertes;
Quand tu la cacherois en ces lieux retirez, Que les rayons du iour n’ont iamais eſclairez;	Quand tu la cacherais en ces lieux retirés, Que les rayons du jour n'ont jamais éclairez;
Quand tute logerois au milieu d’vne armée;	Quand tute logerais au milieu d'une armée;
Quand tu diſparoiſtrois comme vncorps de fumée;	Quand tu disparaîtrais comme uncorps de fumée;
Quantin pourtois poutti, perſiat aſſare toy, Que tu me la rendrois, Leriste ſuiuez moy.	Quantin pourtais poutti, persiat assare toi, Que tu me la rendrais, Lériste suivez moi.
LVCINDE.	LUCINDE.
O combien d’accidents chocquent noſtre famille!	Ô combien d'accidents chocquent notre famille!
Ses plus grands ennemis ſont aimez de ma fille;	Ses plus grands ennemis sont aimés de ma fille;
Mais i’yray la trouuer pour en auoir raiſon, Deuſt mon pays natal deuenir ma pri ſon.	Mais j'irai la trouver pour en avoir raison, Deut mon pays natal devenir ma priver son.
PALINICE.	PALINICE.
Souffrez ence deſſein que ie vous accompagne;	Souffrez ence dessein que je vous accompagne;
Car ſans doute qu’Orminſe va mettre en campagne;	Car sans doute qu'Orminse va mettre en campagne;
Mon intereſt au voſtre, icy ſe meſlera:	Mon intérêt au vôtre, ici se mêlera:
LVCINDE.	LUCINDE.
Pourueu que nous partions, tout ce qu’il vous plaira.	Pourvu que nous partions, tout ce qu'il vous plaira.
FLORANGE.	FLORANGE.
Comme i’auois des feux, ilauoit de la flame:	Comme j'avais des feux, ilavait de la flamme:
L’excez de la douleur m’a fait lire en ſon ame;	L'excès de la douleur m'a fait lire en son âme;
Et comme ſon eſprit adoroit mon vainqueur, Il n’a pû retenir les ſentimens du cœur.	Et comme son esprit adorait mon vainqueur, Il n'a pu retenir les sentiments du cœur.
Sa raiſon a perdu ſon ordinaire vſage;	Sa raison a perdu son ordinaire usage;
Sa folle paßion s’eſt peinte en ſon viſage;	Sa folle passion s'est peinte en son visage;
Ses ſouſpirs ont fait voir en meſme temps au iour, Le feu de la colere, & celuy de l’amour.	Ses soupirs ont fait voir en même temps au jour, Le feu de la colère, et celui de l'amour.
L’vn & l’autre eſclatoit;	L'un et l'autre éclatait;
l’vn & l’autre viſible, Me l’ont fait reconnoiſtre, amoureux & ſenſible.	l'autre et l'autre visible, Me l'ont fait reconnaître, amoureux et sensible.
Et i’ay veu par les pleurs que respandoyent ſes yeux, Qu’il perdoit comme moy, ce qu’il aimoit le mieux.	Et j'ai vu par les pleurs que répandaient ses yeux, Qu'il perdait comme moi, ce qu'il aimait le mieux.
Ouy, i’ay veu clairement quelle eſt ſa maladie:	Oui, j'ai vu clairement quelle est sa maladie:
L’amour qu’il a pour elle, a fait ſa perfidie;	L'amour qu'il a pour elle, a fait sa perfidie;
Le traiſtre a fait mon mal, pour eſtablir ſon bien;	Le traître a fait mon mal, pour établir son bien;
Et rompu mon deſſein pour acheuer le ſien.	Et rompu mon dessein pour achever le sien.
Ce coup eſt ſans remede, & moy ſans allegeance, St ie ne la rencontre auecque la vangeance;	Ce coup est sans remède, et moi sans allégeance, St ici ne la rencontre auecque la vengeance;
Ouy, vangeons nous mon cœur des outrages ſouffers;	Oui, vengeons -nous mon cœur des outrages soufferts;
Afin de t’exciter, voy le bien que tu pers;	Afin de t'exciter, vois le bien que tu perds;
Figure toy les traicts de la beauté d’Orante;	Figure toi les traits de la beauté d'Orante;
Songe que le perfide a trompé ton attente;	Songe que le perfide a trompé ton attente;
Qu'a	Qu'a
Qu'apres t’auoir promis il t’a manqué de foy;	Qu'après t'avoir promis il t'a manqué de foi;
Te rauiſſant vn bienqu’il reſeruoit pour ſoy Voudrois tu le ſouffrir?	Te ravissant un bienqu'il réservoit pour soi Voudrais tu le souffrir?
responds à ma demande?	réponds à ma demande?
Non, non qu’il ſoit puny puis qu’Amour le commande, Vangeant la foy rompuë, & qu’il eut à meſpris, Qu’il n’ait point de retour au voyage entrepris.	Non, non qu'il soit puni puis qu'Amour le commande, Vengeant la foi rompue, et qu'il eut à mépris, Qu'il n'ait point de retour au voyage entrepris.
Suiuons, ſuiuons ſes pas, & loing de la patrie, Faiſons agir la force auecque l’induſtrie;	Suivons, suivons ses pas, et loin de la patrie, Faisons agir la force avec l'industrie;
Deux BRAVES employez ſeconderont mes coups;	Deux BRAVES employés seconderont mes coups;
e ſont là des exploits qui ſont dignes de nous.	Je sont là des exploits qui sont dignes de nous.
Aux combats inégaux la victoire est certaine;	Aux combats inégaux la victoire est certaine;
Quand on veut rompre en lice, ou courre à la quintaine L’egalité ſied bien, car elle eſt ſans danger:	Quand on veut rompre en lice, ou courre à la quintaine L'égalité sied bien, car elle est sans danger:
Ie ne veux point mourir, ie cherche à me vanger.	Je ne veux point mourir, ie cherche à me venger.
Ie veux choiſir le temps, & le moyenpropice;	Je veux choisir le temps, et le moyenpropice;
Ie veux qu’il tombe ſeul dedans le precipice;	Je veux qu'il tombe seul dedans le précipice;
Je veux qu’apres ſa perte, en perdant les teſmoins Ie ſois celuy de tous qu’on en ſoupçonne moins.	Je veux qu'après sa perte, en perdant les témoins Je sois celui de tous qu'on en soupçonne moins.
Ha!	Ha!
ie nãge defia dans le ſang du perfide;	Elle nenge défia dans le sang du perfide;
I’obeis aucourroux, ie n’en tiens plus la bride;	J'obéis aucourroux, je n'en tiens plus la bride;
Il m’emporte, il m’entraine, il me force à courir.	Il m'emporte, il m'entraine, il me force à courir.
Ie te ſuy, ie te tiens, Ormin, il faut mourir.	Je te suis, Seigneur te tiens, Ormin, il faut mourir.
ACTE CINZV TESME.	ACTE CINZU TÊME.
ISIMANDRE, LERISTE, ORANTE, POLIANTE, LVCINDE, PALINICE, ORMIN, FLORANGE, GERTIMANT, ARGAMOR, CLINDOR, NERINE.	ISIMANDRE, LERISTE, ORANTE, POLIANTE, LUCINDE, PALINICE, ORMIN, FLORANGE, GERTIMANT, ARGAMOR, CLINDOR, NERINE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ISIMANDRE, LERLSTE.	ISIMANDRE, LERLSTE.
ISIMANDRE.	ISIMANDRE.
8 CARTEL.	8 CARTEL.
*& Simandre, Orante trompée, Me Oblige Ormin à te punir;	*et Simandre, Orante trompée, Me Oblige Ormin à te punir;
Ie t’attends auec vne espée, Souuiens toy que tu dois venir.	Je t'attends auec vne épée, Souviens toi que tu dois venir.
Si tu ſatisfais mon enuie, Autre que moy ne te nuira:	Si tu satisfais mon envie, Autre que moi ne te nuira:
Viens m’oſter, ou perdre la vie, Où ce Page te conduira.	Viens m'ôter, ou perdre la vie, Où ce Page te conduira.
Dures extremitez, où le deſtin m’engage:	Dures extrémités, où le destin m'engage:
Amour oſte le cœur, & non pas le courage:	Amour ôte le cœur, et non pas le courage:
Si ie fais ce combat, ie hazarde mon heur, Et i'en ſerois indigne, en viuant ſans honneur:	Si ici fais ce combat, ie hasarde mon heur, Et j'en serais indigne, en vivant sans honneur:
Ha!	Ha!
mon affliction n'a rien qui la conſole.	mon affliction n'a rien qui la console.
Où me dois tu mener?	Où me dois tu mener?
LERISTE.	LERISTE.
Du toſte aa Pouzzole.	Du tôte a Pouzole.
Mais ſans vous deſigner expreßement le lieu, Ie vous y conduiray,	Mais sans vous désigner expremement le lieu, Je vous y conduirai,
ISIMANDRE.	ISIMANDRE.
Ie le veux bien;	Je le veux bien;
adieu.	adieu.
Separons nous, ie crains que mon pere ne ſorte:	Séparons -nous, Se crains que mon père ne sorte:
que pry pur u pas, va m'attendre à la porte.	que pur pas, va m'que p ri pur.
Touſiours l’iomme eſt ſubiet aux caprices du ſort;	Toujours l'iomme est sujet aux caprices du sort;
Et ſon premier repos est celuy de la mort.	Et son premier repos est celui de la mort.
Si tu donnes ta vie au danger qui la preſſe, Amantinfortuné, que fera ta Maiſtreſſe?	Si tu donnes ta vie au danger qui la presse, Amantinfortuné, que fera ta Maîtresse?
Ni	Ni
Quoy!	Quoi!
la veux tu laiſſer ſouz vn habit trompeur!	la veux tu laisser souz un habit trompeur!
IVe mourra-t'elle pas?	IVe mourra-t'-elle pas?
n'en as tu point de peur?	n'en as tu point de peur?
Veux-tu que ſans ſupport elle ſoit (vagabonde) L’opprobre, le mespris, & la fable du monde?	Veux-tu que sans support elle soit (vagabonde) L'opprobre, le mépris, et la fable du monde?
O dangereux voiſins, temeraires Gaulois.	Ô dangereux voisins, téméraires Gaulois.
Dont les mauuaiſes mœurs ont peruerty nos loix, Que par vous mon esprit ſouffre vne peine amere, Suiuant ce point d’honneur qui n’eſt qu’vne Chimere!	Dont les mauvaises mœurs ont perverti nos lois, Que par vous mon esprit souffre une peine âme, Suivant ce point d'honneur qui n'est qu'une Chimère!
Il le faut cependant;	Il le faut cependant;
le deſtin l’a voulu, Mon honneur le commande, & i’y ſuis reſolu, Ha!	le destin l'a voulu, Mon honneur le commande, et j'y suis résolu, Ha!
voicy mon Orante, & mon ame contrainte, Aura peine a cacher ſa douleur & ſa crainte:	voici mon Orante, et mon âme contrainte, Aura peine a cacher sa douleur et sa crainte:
Mais ie luy veux donner vn conſeil au beſoing Afin ſi ie peris que quelqu'vn en ait ſoing.	Mais grande femme veux donner un conseil au besoin Afin si on péris que quelqu'un en ait soin.
Veux-tu pas te reſoudre à parler à mon pere?	Veux-tu pas te résoudre à parler à mon père?
Tu ſçais bien comme vn cœur ſouffre quand il eſpere.	Tu sais bien comme un cœur souffre quand il espère.
Le danger nous tallonne, & le mal va croiſſant;	Le danger nous tallonne, et le mal va croissant;
Fais agir ſur le ſien toneſprit tout puiſſant:	Fais agir sur le sien tonesprit tout -puissant:
Force-le par raiſon, fléchy-le par des larmes, Vne ame de rocher cederoit à ces armes;	Force-le par raison, fléchi-le par des larmes, âme de rocher céderait à ces armes;
Fay combattre pour toy l’amour & la pitié, Et fay luy voir qu’Orante a pris ſon amitié.	Fais combattre pour toi l'amour et la pitié, Et fais pu voir qu'Orante a pris son amitié.
Quitte cette pudeur, elle nous est contraire;	Quitte cette pudeur, elle nous est contraire;
Reſſuſcite Iſimandre, & fay mourir ſon frere;	Ressuscite Isimandre, et fais mourir son frère;
Que ce nom deſormais ſoit banny d’entre nous;	Que ce nom désormais soit banni d'entre nous;
Veux-tu pour l’obtenir que ie ſois à genous?	Veux-tu pour l'obtenir que je sois à genous?
SCENE SECONDE.	SCÈNE SECONDE.
ORANTE, ISIMANDRE.	ORANTE, ISIMANDRE.
ORANTE.	ORANTE.
Ruel, que ne fais tu ce que ta voix m'ordon ne?	Ruel, que ne fais tu ce que ta voix m'ordon ne?
IS IMANDRE.	IS IMANDRE.
Le Ciel m'a refusé les graces qu’il te donne;	Le Ciel m'a refusé les grâces qu'il te donne;
Et mon diſcours n’a point l’art de perſuader:	Et mon discours n'a point l'art de persuader:
Helas!	Hélas!
ie le vois bien, tu neveux pas m’aider:	ie Le vois bien, tu neveux pas m'aider:
ORANTE.	ORANTE.
Charmeur, tes volontez ſont touſiours ſouueraines;	Charmeur, tes volontés sont toujours souveraines;
Elles tiennent ſur moy la qualité de Reines,	Elles tiennent sur moi la qualité de Reines,
ISIMANDRE.	ISIMANDRE.
L’espreuue en fera foy;	L'épreuve en fera foi;
le voicy, tu le vois, Adieu;	le voici, tu le vois, Adieu;
peut-eſtre adieu, pour la derniere fois.	peut-être adieu, pour la dernière fois.
N iij	 Nijà
SCENE TROISIESME.	SCÈNE -TROISIÈME.
