TRAGI-COMEDIE.	TRAGI-COMÉDIE.
Icy la diligence eſt bien fort neceſſaire, Ce vieux monſtre amoureux, ce debile aduerſairs, Va chercher du ſecours, & nous ſerons ſuiuis, Si-toſt que de ma route on aura quelque aduis.	Ici la diligence est bien fort nécessaire, Ce vieux monstre amoureux, ce débile aversairs, Va chercher du secours, et nous serons suivis, Sitôt que de ma route on aura quelque avis.
Clindor, volle diuant & forme vne chimere, Qui puiſſe trouuer place en l’eſprit de mon pert, Dis-luy qu’ayant quitté le logis paternel, Ie me ſuis repentr de me voir criminel, Et que par mes douleurs iugeant de ſa ſouffrance, I’ay rompu le deſſein d’vn voyage de France.	Clindor, volle divant et forme un chimère, Qui puisse trouver place en l'esprit de mon pert, Dis-lui qu'ayant quitté le logis paternel, Je me suis repentr de me voir criminel, Et que par mes douleurs jugeant de sa souffrance, J'ai rompu le dessein d'un voyage de France.
Dis-luy que deux Guerriers m’ont tiré da danger, Où mettent les volleurs l’vn & l’autre eſtranger, Du-luy quegie les meine, & qu’il faſſe conneſtre, En les bien receuant, la grandeur de mon eſtre, La bleſſure que i’ay prouuera ton diſcours, Mais les meilleurs conſeils ſont icy les plus courts, Donne viſte vn cheual, que i’enleue ma proye, Elle vaut mieux qu’Helene & Naples moĩs que Troyt Et premier que ie rende vn bien que i’ay vollé, Bruſle comme mon cœur mon païs deſolé.	Dis-lui que deux Guerriers m'ont tiré da danger, Où mettent les volleurs l'un et l'autre étranger, Du-lui quegie les mène, et qu'il fasse connaître, En les bien recevant, la grandeur de mon soins, La blessure que j'ai prouvera ton discours, Mais les meilleurs conseils sont ici les plus courts, Donne vite un cheval, que j'enlève ma proie, Elle vaut mieux qu'Helene et Naples mods que Tro Et premier que ie rende pr bien que j'ai vollé, Brusle comme mon cœur mon païs desolé .
SCENE X.	SCÈNE X.
ORMIN, PALINICE;	ORMIN, PALINICE;
LVCINDE, LERISTE.	LUCINDE, LERISTE.
ORMIN.	ORMIN.
A belle inuention!	À belle invention!
ô Dieux qu’elle eſt ſubtils!	ô Dieux qu'elle est subtils!
TALINICE.	TALINICE.
Mon ſonge bien penſé!	Mon songe bien pensé!
mais pourtant inutile.	mais pourtant inutile.
ORMIN.	ORMIN.
Teu fiours voſtre chagrin ſe plaiſt à me faſcher.	Teu fjours votre chagrin se plaît à me fâcher.
PALINICE.	PALINICE.
Otuuiop umtonuuuo que jeit de la cachir.	Otuop umtonuo que jeit de la cachir.
ORMIN.	ORMIN.
naun ejpn aſige n'inent point raillerse.	naun éjpn asige n'inent point raillerse.
PALINICE.	PALINICE.
Ep-ellé au cabintt ou dans la gallerie?	Epellé au cabint ou dans la gallérie?
ORMIN.	ORMIN.
Vous qui la retenez pouuez m’en eſclaireir:	Vous qui la retenez pouvez m'en éclaireir:
a vaulnvrec.	a vauleuvrec.
Vn deſſein deſcouuert ne ſçauroit reüßir.	Un dessein découvert ne saurait réussir.
ONMIN.	ONMIN.
Vous me croyez aueugle & i’ay fort bonne veuët	Vous me croyez aveugle et j'ai fort bonne vêt
PALINICE.	PALINICE.
Ie ne m’eſtonne point ſa perte eſtoit prentuë!	Je ne m'étonne point sa perte était prentue!
ORMIN.	ORMIN.
Voſtre ruſe paroiſt plus claire que le iour.	Votre ruse paraît plus claire que le jour.
PALINICE.	PALINICE.
Voſtre haine deſcouure, & fait voir voſtre amour.	Votre haine découvre, et fait voir votre amour.
ORMIN 77 Liſiouart mon amour:	ORMIN 77 Lisiouart mon amour:
pour que:	pour que:
pour ma parente;	pour ma parente;
PALINICE.	PALINICE.
Vous n’aimez pas le ſang, mais la brauté d’Orante	Vous n'aimez pas le sang, mais la brauté d'Orante
ORMIN.	ORMIN.
Et bien;	Et bien;
ſoit;	soit;
il eſt vray:	il est vrai:
mai ie la veux auoir.	mai ici la veux avoir.
A llelrreſ.	À llelrres.
Puus qu’ille eſt en tes mains, perfide, va la voir.	Puus qu'ille est en tes mains, perfide, va la voir.
ORMIN.	ORMIN.
Ha!	Ha!
ne conteſtez plus, rendez-la moy, vous dis-ie?	ne contestez plus, rendez-la moi, vous dis-je?
il la veut frapper d’vn poignard.	il la veut frapper d'une poignard.
Quoy!	Quoi!
vous n’en ferez rien?	vous n'en ferez rien?
Lleln u da O bons Dieux quel prodige, Page, ſecourez-moy, ie ne le puis tenir:	Lleln u , Ô bons Dieux quel prodige, Page, secourez-moi, toujours ne le puis tenir:
PALINICE.	PALINICE.
Ciel!	Ciel!
peux-tu voir ſon crimt & ne le pas punir?	peux-tu voir son crimt et ne le pas punir?
a u la d E lo FLORANGE, LVCINDE, ORMIN, PALINICE, LERISTE.	a la a E lo FLORANGE, LUCINDE, ORMIN, PALINICE, LERISTE.
TColellltoc.	TColellltoc.
I vous cherchez Orante, elle n'eſt plus à Piſe, DEt ſes charmes ont pris vn Amant qui la priſe, Ifimandre l’ameine aprés m’auoir vaincu.	I vous cherchez Orante, elle n'est plus à Pise, DEt ses charmes ont pris un Amant qui la prise, Ifimandre l'amène après m'avoir vaincu.
LVCINDE.	LUCINDE.
Pour auoir moins de maux, que n’ay-je moins reſca.	Pour avoir moins de maux, que n'ai-je moins réca.
ORMIN.	ORMIN.
Reſoluons nous mon cœur, ma perte eſt aſſeurée;	Résoluons -nous mon cœur, ma perte est assurée;
Orante la precure & le Ciel l’a iurée;	Orante la précure et le Ciel l'a jurée;
Vn autre la poſſide!	Un autre la posside!
ô penſer aſſaßin!	ô penser assassin!
Iamais voleur ne ſit vn ſi riche laruin.	Jamais voleur ne sit un si riche laruin.
Bie-heureux Iſimandre, en ceit, douce guerre, Tu pilles les threſors du Ciel & de la Terre;	Bie-heureux Isimandre, en ceit, douce guerre, Tu pilles les trésors du Ciel et de la Terre;
Ce fameux conquerant, qu’on a fait immortel, Prit l’Vniuers entier, & ne prit rien de tel.	Ce fameux conquérant, qu'on a fait immortel, Prit l'Univers entier, et ne prit rien de tel.
Mais quand Naples ſeroit en ces plages deſertes, Qui par les Matelots ne ſont pas deſcouuertes:	Mais quand Naples serait en ces plages désertes, Qui par les Matelots ne sont pas découvertes:
Quand tu la cacherois en ces lieux retirez, Que les rayons du iour n’ont iamaus eſclairez:	Quand tu la cacherais en ces lieux retirés, Que les rayons du jour n'ont jamaus éclairez:
Quand tu te logerois au milieu d’vne armée.	Quand tu te logerais au milieu d'une armée.
Quanu tu uiſparoiprou tomme vn corps de fumée:	Quanu tu uisparoiprou tomme un corps de fumée:
Quand tu pourrois voller, perfide aſſeure-toy, Que tu me la tendrou.	Quand tu pourrais voler, perfide assure-toi, Que tu me la tendrou.
Leriſte ſututz-moy.	Lériste sutz-moi.
LVCINDE.	LUCINDE.
Et combien d’accidents chocquent noſtre famille!	Et combien d'accidents chocquent notre famille!
Les plus grands ennemis ſont aimez de ma fille, Mais i’iray la trouuer pour en auoir raiſon, Deuſt mon païs natal deuenir ma priſon.	Les plus grands ennemis sont aimés de ma fille, Mais j'irai la trouver pour en avoir raison, Deut mon pays natal devenir ma prison.
PACINICE.	PACINICE.
Souffrez en ce deſſein que ie vous accompagne, Car ſans doute qu’Ormin ſe va mottre en campagne, Mon intireſt au voſtre icr ſe m ſlera.	Souffrez en ce dessein que je vous accompagne, Car sans doute qu'Ormin se va mottre en campagne, Mon intirest au vôtre icr se m êlera.
LVCINDE.	LUCINDE.
Peurueu que nous partions, tout ce qu’il vous plaira.	Pourvu que nous partions, tout ce qu'il vous plaira.
FLORANGE.	FLORANGE.
FLORANGE.	FLORANGE.
Comme i’auois des feux il auoit de la flame:	Comme j'avais des feux il avait de la flamme:
L’excez de ma douleur m’a fait lire en ſon ame:	L'excès de ma douleur m'a fait lire en son âme:
Et comme ſon eſprit adoroit mon vainqueur, Il n’a pû retenir les ſent mens du cœur.	Et comme son esprit adorait mon vainqueur, Il n'a pu retenir les sent mens du cœur.
Sa raiſon a perdu ſon ordinaire vſage;	Sa raison a perdu son ordinaire usage;
Sa fole paſſion s’eſi painte en ſon viſage;	Sa sole passion s'esi painte en son visage;
32 Ses ſouſpirs ont fait voir en meſme timps au iour, Le feux de la colere, & celuy de l’amour.	32 Ses soupirs ont fait voir en même timps au jour, Le feux de la colère, et celui de l'amour.
L’v.	L'une.
& l’autre eſclatoit;	et l'autre éclatait;
l’vn & l’autre viſible, Me l’ont fait veconnoiſtri, amoureux & ſenſible.	l'autre et l'autre visible, Me l'ont fait veconnoistri, amoureux et sensible.
Et i’ay veu par les pleurs que reſpandoient ſes yeux, Qu’il perdoit comme moy.	Et j'ai vu par les pleurs que répandaient ses yeux, Qu'il perdait comme moi.
cequ’il aimoit le mieux.	cequ'il aimait le mieux.
Ouy i’ay veu clairement quelle eſt ſa maladie:	Oui j'ai vu clairement quelle est sa maladie:
L’amour qu'il a pour elle, a fait ſa perfidie;	L'amour qu'il a pour elle, a fait sa perfidie;
Le traiſtre a fait mon mal pour eſtablir ſon bien, Et rompu mon deſſein pour acheuer le ſien, Ce coup eſt ſans semede, & moy ſans allegeance, Si ie ne la rencontre aueique la vangeance, Ouy, vangeons-nous mon cœur des outrages ſouffeits, Afin de t’exciter, voy le bien que eu perds, Figure-toy les traicts de la beauté d’Oranté, Songe que le perfide a trompé ton attente, Qu'aprés t’auoir promis il t’a manqué de foy, Ie rariſſant vn bien qu’il reſeruoit pour toy, Voudrois-ru le ſouſſrir, veſponds à ma demande, Non non qu’il ſoit puny puis qu’amour le commande, Vangeant la foy rompuë, & qu’il eus à meſpris.	Le traître a fait mon mal pour établir son bien, Et rompu mon dessein pour achever le sien, Ce coup est sans seme, et moi sans allégeance, Si tu ne la rencontre aurique la vengeance, Oui, vengeons-nous mon cœur des outrages souffits, Afin de t'exciter, vois le bien que eu perds, Figure-toi les traits de la beauté d'Oranté, Songe que le perfide a trompé ton attente, Qu'aprés t'avoir promis il t'a manqué de foi, Je rarissant un bien qu'il réservait pour toi, Voudrais-ru le nir, vesponds ma demande, Non non il soit puni puis amour le commande, Vangeant la nô rompuë, et quil eus mépris.
Os'il n'ait peint de retour au voyage enerepris.	Os'il n'ait peint de retour au voyage enerepris.
Suiuons, ſuiuons ſes pai & loing de la patrie, Faiſons agir la force auecque l'inauſtrie, Deux BRAVES employez ſeconderons mes coups, Ce ſont là des exploits qui ſont dignes de nous, Aux combats inégaux la victoire eſt certaine.	Suivons, suivons ses pai et loin de la patrie, Faisons agir la force avec l'inaustrie, Deux BRAVES employez seconderons mes coups, Ce sont là des exploits qui sont dignes de nous, Aux combats égaux la victoire est certaine.
Quand on veut rompre en lice, ou courre à la quincaine, L’egalité ſied bien, car elle eſt ſans danger, Ie ne veux point mourir is cherche à me vanger, Ie veux choiſir le temps & le moyen propice, Ie veux qu’il tombe ſeul dedans le precipice, Ie veux qu’aprés ſa perte en perdant les teſmoins, Ie ſois celuy de tous qu’on en ſoupçonne moins, Ha!	Quand on veut rompre en lice, ou courre à la quincaine, L'égalité sied bien, car elle est sans danger, Je ne veux point mourir is cherche à me venger, Je veux choisir le temps et le moyen propice, Ie veux il tombe seul dedans le précipice, Je veux qu'après sa perte en perdant les témoins, Je sois celui de tous qu'on en soupçonne moins, Ha!
ie nage deſia dans leſang du perfide, I'obtïs au courroux, ie n’en tiens plus la bride, Il m’emporte, il m’entraiſne, il me force à courir, Ie te ſuy, ie te titus, Ormin, il faut mourir.	Elle nage déjà dans lesang du perfide, J'obtis au courroux, toujours n'en tiens plus la bride, Il m'emporte, il m'entraîne, il me force à courir, Je te suis, tu te titus, Ormin, il faut mourir.
lit.	lit.
53 Simandre, Orante trompée,  Oblige Ormin à te punir;	53 Simandre, Orante trompée, Oblige Ormin à te punir;
Ie t’attends auet vnc erpee, Souuiens-toy que tu dois venir.	Je t'attends avet unc erpée, Souviens-toi que tu dois venir.
4 A l i ENTE PREMIERE.	4 A l ' OPTE PREMIÈRE.
IIMANDRE, LERISTE.	IIMANDRE, LERISTE.
IS!	IS!
MANDRE.	MANDRE.
CARTEL.	CARTEL.
Si tu ſatisfaits mon enuie, Autre que moy ne te nuira, Viens m’oſter, ou perdre la vie.	Si tu satisfaits mon envie, Autre que moi ne te nuira, Viens m'ôter, ou perdre la vie.
Ou ce rage te conduira.	Ou ce rage te conduira.
Dures extremitez où le deſtin m'engage:	Dures extrémités où le destin m'engage:
Amour oſte le cœur, & non pas le courag:	Amour ôte le cœur, et non pas le courag:
Si ie fais ce combat, ie hazarde mon heur Et i’en ſerois indigne en viuant ſans honneur, Ha!	Si personne fais ce combat, ie hasarde mon heur Et j'en serais indigne en vivant sans honneur, Ha!
mon affliction n’a rien qui la conſole, Où me dou-tu moner?	mon affliction n'a rien qui la console, Où me dou-tu moner?
LERISTE.	LERISTE.
Da tope de rouxzote, Mais ſans vous deſigner expreſſément le lieu, Ie vous y conduiray.	Da tope de rouxzote, Mais sans vous désigner expressément le lieu, Je vous y conduirai.
ISIMANDRE.	ISIMANDRE.
Ie le veux bien;	Je le veux bien;
adieu.	adieu.
Separons nous, ie crains que mon pere ne forte, Ie te ſuy pas à pas, va m’attendre à la porte, Touſiours l’homme eſt ſujet aux caprices du ſert, Et ſon premier repos eſt celuy de la mort, Si tu dounes ta vie au dangez qui la preſſe, Amant infortuné que fera ta Maïſtreſſe?	Séparons nous, Seigneur crains que mon père ne forte, Je te suis pas à pas, va m'attendre à la porte, Toujours l'homme est sujet aux caprices du sert, Et son premier repos est celui de la mort, Si tu dounes ta vie au dangez qui la presse, Amant infortuné que fera ta Maîtresse?
Quoy!	Quoi!
la veux-tu laiſſer ſous vn habit trompeur?	la veux-tu laisser sous un habit trompeur?
Ne mourra-t’elle pas?	Ne mourra-t-elle pas?
n’en as tu point de peur;	n'en as tu point de peur;
Veux-tu que ſans ſupport elle ſoit vagabonde, L’opprobre le meſpris, & la fable du monde?	Veux-tu que sans support elle soit vagabonde, L'opprobre le mépris, et la fable du monde?
O dangereux voiſins temeraires Gaulois Dont lis meuuaiſes mœurs ont perueriy nos leis,	Ô dangereux voisins téméraires Gaulais Dont lis mauvaises mœurs ont perveri nos leis,
Que par vous mon eſprit ſouffre vns peine amire, Suiuant ce point d'honneu qui n’eſt qu’vne chimere, Il le faut cependant, le deſtin l’a voula, Mon honneur le commarde & i’y ſuis reſolu, Ha!	Que par vous mon esprit souffre uns peine amire, Suivant ce point d'honnu qui n'est qu'une chimère, Il le faut cependant, le destin l'a voula, Mon honneur le commarde et j'y suis résolu, Ha!
voicy mon Orante, & mon ame contrainte, Aura peine à cacher ſa douleur & ſa crainte;	voici mon Orante, et mon âme contrainte, Aura peine à cacher sa douleur et sa crainte;
Mais ie luy veux donner vn conſeil au beſoin, Afin ſi is perus que quelqu’vn en ait ſoin, Veux-tu pas te reſoudre à parler à mon pere, Tu ſçaus bien comme vn cœur ſouffre quand il eſpere, Le danger nous tallonne.	Mais grande femme veux donner un conseil au besoin, Afin si is perus que quelqu'un en ait soin, Veux-tu pas te résoudre à parler à mon père, Tu sçaus bien comme un cœur souffre quand il espère, Le danger nous tallonne.
& le mal va croiſſant, Fais agir ſur le ſien ton eſprit tout puiſſant, Force-le par raiſon, flechis-le par des larmis, Vne ame de rocher cederoit à ces aimes, Fay combattre pour toy l’amour & la pitié, Et fay-luy voir qu’Orante a pris ſon amitié.	et le mal va croissant, Fais agir sur le sien ton esprit tout -puissant, Force-le par raison, fléchis-le par des larmis, âme de rocher céderait à ces aimes, Fay combattre pour toi l'amour et la pitié, Et fais-lui voir qu'Orante a pris son amitié.
Quitte cette pudeur, elle nous eſt contraire, Reſſuſcite I ſimandre, & fais mourir ſon frere, Que ce nom deſormais Joit banny d’entre nous:	Quitte cette pudeur, elle nous est contraire, Ressuscite I simandre, et fais mourir son frère, Que ce nom désormais Joit banni d'entre nous:
Veux-iu pour l’obtenir que ie ſois à genoux?	Veux-ju pour l'obtenir que Il sois à genoux?
SCENE II.	SCÈNE II.
ORANIE, ISIMANDRE,	ORANIE, ISIMANDRE,
ORANTE.	ORANTE.
NRuel, que ne fais-tu ce que ta voix m’ordonne?	NRuel, que ne fais-tu ce que ta voix m'ordonne?
ISIMANDRE.	ISIMANDRE.
Le Ciel m’a refusé les graces qu’il te donne, Et mon diſcours n'a point l'art de perſuader, Hilas!	Le Ciel m'a refusé les grâces qu'il te donne, Et mon discours n'a point l'art de persuader, Hilas!
ie le vois bien ta ne veux pas m’aider,	ie Le vois bien ta ne veux pas m'aider,
ORANTE.	ORANTE.
Charmeur, tes velontez ſont touſiours ſouueraines, malo ciumoist fuinmey ta quattte uv Neines.	Charmeur, tes velontés sont toujours souveraines, malo ciumoist fuminme ta quatte uv Neines.
ISMANDRE.	ISMANDRE.
L’eſpreuue en fera foy, le voicy, tu le vois,	L'épreuve en fera foi, le voici, tu le vois,
il dit ce vers bas.	il dit ce vers bas.
Adieu;	Adieu;
peut-eſtre a lieu, pour la derniere fois.	peut-être a lieu, pour la dernière fois.
SCENE III.	SCÈNE III.
POLIANTE, ORANIE.	POLIANTE, ORANIE.
POLIANTE.	POLIANTE.
Equoy s’entretenoit le braue Cleomire?	Equoi s'entretenait le brave Clomire?
ORANTE.	ORANTE.
Des vertus d’vn Seigneur que tout le monde admire;	Des vertus d'un Seigneur que tout le monde admire;
De ce fils que le Ciel accomplit de tout point;	De ce fils que le Ciel accomplit de tout point;
Et certes ce penſer ne m’abandonne point.	Et certes ce penser ne m'abandonne point.
POLIANTE.	POLIANTE.
L’amitié vous deçoit ainſi qu'elle m'abuſe, Les d ffauts d’vn amy ne manquent pas d’extuſe;	L'amitié vous deçoit ainsi qu'elle m'abuse, Les sauts d'un ami ne manquent pas d'extuse;
L’œil flatte ce qu’il aime & mon fils n’eſt parfait, Dõſirant vous ſeruir qu’au vœu qu’il en a fait	L'œil flatte ce qu'il aime et mon fils n'est parfait, Dõsirant vous servir qu'au vœu qu'il en a fait
ORANTE.	ORANTE.
Dn ne ſçauroit cacher vne ſi belle vie, Qui fais parler l'hiſtoire, & fait taire l’enuie.	Den ne saurait cacher une si belle vie, Qui fais parler l'histoire, et fait taire l'envie.
mais comme ſa valeur dés ſes plus iegnis ans, A mis la poudre aux yeux à tous les Courtiſans, Et que ſuiuant vos pas aux dangers de l’armée, Dl a pris ponne part à voſtre renommée.	mais comme sa valeur dès ses plus Ognis ans, A mis la poudre aux yeux à tous les Courtisans, Et que suivant vos pas aux dangers de l'armée, Dl a pris ponne part à votre renommée.
Vous deuriz deſormais l’arreſter en cis lieux, Fanpez que la fortune eſt vn monſtre ſans yeux, Ls qu’elle peut frapey ceux qu’elle fauoriſe, Huscnuns-luj dis ueſns qie te vopte autnonſe, æpon que l’arreſtant comme il eſt à propos, Les derniers de vos touts ſe coulent en ripos.	Vous devris désormais l'arrêter en cis lieux, Fanpez que la fortune est un monstre sans yeux, Lis qu'elle peut frappei ceux qu'elle favorise, Huscuns-luj dis uesns qie te vopte autnonse, æpon que l'arrêtant comme il est à propos, Les derniers de vos touts se coulent en ripos.
POLIANTE.	POLIANTE.
Ce que vous propoſez eſt le but où i’aſpire, C eſt vn bien queietmmro por prie ſouſpire, Mais ie ne trouue point où borner ce deſir.	Ce que vous proposez est le but où j'aspire, C' est un bien queiétmro por prie soupire, Mais ie ne trouve point où borner ce désir.
ORANTE.	ORANTE.
Pent-eſtre eu cét bymen voulez-vous trop choiſir.	Pent-être eu cet bymen voulez-vous trop choisir.
POLIANTE.	POLIANTE.
Nallemint:	Nallemint:
mon eſprit n’a point cette foibleſſe, reuruen que la vertu ſe ioigne à la Nobleſſe, e foray ſatu fait ie ne cherche point l’or, Lus qualιtεz chez moy tiendront lieu de threſor.	mon esprit n'a point cette faiblesse, reurven que la vertu se joigne à la Noblesse, est forai satu fait assez ne cherche point l'or, Lus qualιtεz chez moi tiendront lieu de trésor.
ORANTE.	ORANTE.
εκως ομlἰιιz vn peint d’vne importance extréme,	εκως ομlἰιιz un peint d'une importance extrême,
Quel?	Quel?
POLIANTE.	POLIANTE.
ORANTE.	ORANTE.
Qu'il aime vne fille, & qu’vne fille l’aime.	Qu'il aime une fille, et qu'une fille l'aime.
POLIANTE.	POLIANTE.
Ie ne l’oubliris pas i’y ſuis trep diſpeſí;	Je ne l'oublieris pas j'y suis tre dispes;
Mais eſtant neceſſaire, il eſt preſupposé.	Mais étant nécessaire, il est presupposé.
Ces marchez d’inttreſt ſont des maux qu’on doil, craindre;	Ces marchés d'inttrest sont des maux qu'on doil, craindre;
Et i’aime trop mon fils pour le voullois contraind ra, Außi loin d’y ſongez, ie blaſuit ſes parents, Qui peres comme moy diuimnneni dis tuans.	Et j'aime trop mon fils pour le voullais contraind ra, Aussi loin d'y songez, toujours blasuit ses parents, Qui pères comme moi divimneni dis tuants.
ORANTE.	ORANTE.
dejl aa tum asamn vni jea Jianse.	déjl a tum asamn uni jea Jianse.
Honneſle noble, riches & qui peus eſt, dimóe, I conſentiriez-vous?	Honnêle noble, riches et qui pus est, dimée, I consentiriez-vous?
POLIANTE.	POLIANTE.
N’en doutez nullemeur Mais Naples n’en a point, ſeion monti alqienc, Et ſi vous le ſçauez, mon ame eſt iguorante.	N'en doutez nullemeur Mais Naples n'en a point, seion monty alqienc, Et si vous le savez, mon âme est iguorante.
ORANTE.	ORANTE.
Iugez ſi ie me trompe en vous vomment Orant?	Jugez si belle me trompe en vous vomment Orant?
POLIANTE.	POLIANTE.
Orante, à ce qu’on dit, a ces trois qualitez, Mais on ne peut finir ce que vous proiettez, La haine heriditaire (execrable folie.	Orante, à ce qu'on dit, a ces trois qualités, Mais on ne peut finir ce que vous proyettez, La hé riditaire (exécrable folie.
Qui ſemble eſtre fatale à toute l’Italie) Bien que contre mon ſeus & tontre la raiſos.	Qui semble être fatale à toute l'Italie) Bien que contre mon zeus et tontre la raisos.
A touſiours diuisé les fiens & ma maiſon, Et it ne puis penſer, comme ſans la connaiſtre,	À toujours divisé les siens et ma maison, Et it ne puis penser, comme sans la connaître,
ORANTE, C uinour uont vois pantez auevil tamau pu naiſtré.	ORANTE, Ç uinour uont vois pantez auevil tamau pu naistré.
ORANTE.	ORANTE.
II eſt né cependant, & s’eſt bien rendu tel, Que d’vne part & d’aαite il doit eſtre immortel, Les haiues dis parents ſont de foibles obſtacles, Et l'Amour eſt vn Dëtu qui ſe plaiſt aux miracles, Cette vieille querelle a deſia trop duré.	II est né cependant, et s'est bien rendu tel, Que d'une part et d'aite il doit être immortel, Les haives dis parents sont de faibles obstacles, Et l'Amour est un Déestu qui se plaît aux miracles, Cette vieille querelle a déjà trop duré.
ille déplaiſt aa Ciel, ſoyez en aſieuté:	ille déplaît aa Ciel, soyez en asieuté:
l n’aſſemble les tœurs d’vn fils & d’vne fille, Que pour mettre en repos l’vue & l’autre famille, Mais pourtant leurs eſprits qui ſçauent leus deuoir, Rangent leurs volontez deſſaus voſtre poauoir.	 l'assemble les tœurs d'un fils et d'une fille, Que pour mettre en repos l'une et l'autre famille, Mais pourtant leurs esprits qui savent lus devoir, Rangent leurs volontés dessaus votre pavoir.
Tous preſts de ſe priuer de iour qui les eſclaire.	Tous prêts de se priver de jour qui les éclaire.
Pluſtoſt que d’acheuer rien qui vous pût déplaire.	Plutôt que d'achever rien qui vous pût déplaire.
POLIANTE.	POLIANTE.
Pardonnez, Cleomire à mon eſtonnement, Mon eſprit penſe faire vn beoa ſonge en dormant, Ce que vous m’apprenez eſt ſi plein de merueille, Que meſme en vous parlant ie doute ſi ie veille, Que ce penſer profond ne vous ſoit pas ſeſpect, ’eſtime cét amour autaut que ſon reſpect.	Pardonnez, Clomire à mon étonnement, Mon esprit pense faire un beoa songe en dormant, Ce que vous m'apprenez est si plein de merveille, Que même en vous parlant ie doute si je veille, Que ce penser profond ne vous soit pas sespect, 'estime cet amour autaut que son respect.
Et pour voir amomnd buy jes peints teimmées, Ma volonté ſaiura cille des deſtinéts Duy dites à ce fils qui vous a fait parles, Que i’approuue le feu dont il oſa bruſler.	Et pour voir amomnd bui jes peints teimmées, Ma volonté saisura cille des destinets Dui dites à ce fils qui vous a fait parles, Que j'approuve le feu dont il osa brûler.
ORANTE.	ORANTE.
Ha' formez quelques pas que i’en baiſe les traces, 4ußi-bien que te fils ie vois dοn renare gracts, C'eſt moy qui ſais.	Ha formez quelques pas que j'en baise les traces, 4ussi-bien que te fils ie vois dîn renare grâces, C'est moi qui sais.
qui ſes.	qui ses.
SCENE IV.	SCÈNE IV.
CLINDOR, POLIANTE, ORANTE.	CLINDOR, POLIANTE, ORANTE.
CLINDOR.	CLINDOR.
It viens vous aduertir, Que mon Maiprt a quirele, & qu’on l’a veu ſortir, Auec ſa longue eſpét, & ſans nul tquipage;	It viens vous avertir, Que mon Maiprt à quirele, et qu'on l'a vu sortir, Avec sa longue espêt, et sans nul typage;
POLIANTE.	POLIANTE.
Quelqu’vn le conduit-il?	Quelqu'un le conduit-il?
CLINDOR.	CLINDOR.
ouy Monſ-igneur, vn Page, De liurée inconnuë, & qui nous fait iuger, Que tiuey qui b'enuoye eſt ſans doute Eſtranger.	oui Oui-onigneur, un Page, De livrée inconnue, et qui nous fait juger, Que tivei qui b'envoie est sans doute Étranger.
ORANTE:	ORANTE:
Quelles ſont ſes couleurs?	Quelles sont ses couleurs?
CLINDOR.	CLINDOR.
Si mon œil ne s’abuſe, Incarnat, blanc, & verd:	Si mon œil ne s'abuse, Incarnat, blanc, et verd:
ORANTE Das.	ORANTE Das.
Dieux que ie ſuis confuſe!	Dieux que ie suis confuse!
POLIANTE.	POLIANTE.
Que ne le ſuiuiez vous?	Que ne le suiviez -vous?
CLINDOR.	CLINDOR.
En vain ie l’ay taſché;	En vain ici l'ai tâché;
Et contre mon deuoir il a paru faſché.	Et contre mon devoir il a paru fâché.
POLIANTE.	POLIANTE.
viſte, viſte, à cheual, qu’on baute la campagne,	vite, vite, à cheval, qu'on baute la campagne,
ORANTE, Empéſebons er auts.	ORANTE, Empésebons er auts.
ORANTE.	ORANTE.
Quel mal-heur m'acompagne!	Quel malheur m'acompagne!
Sans doute c’eſt Ormin, car ce Page eſt à luy.	Sans doute c'est Ormin, car ce Page est à lui.
Reprenons nos habits, il eſt temps auieura buy;	Reprenons nos habits, il est temps auieura bui;
Afin que ſi du ſort les loix me ſont fatales, Ie les puiſſe changer en celuy des Veſtales:	Afin que si du sort les lois me sont fatales, Je les puisse changer en celui des Vestales:
C’eſt vn port aſſuré qui s’offre à ma douleur:	C'est un port assuré qui s'offre à ma douleur:
Mes feux ſont eternels außi-bien que le leur.	Mes feux sont éternels aussi-bien que le leur.
SCENE V.	SCÈNE V.
ORMIN.	ORMIN.
’Eſt icy que ma main ſe va remplir ds gloire;	’Est icy que ma main se va remplir ds gloire;
CC’eſt icy qu’on verra le champ de ma victoire;	CC'est ici qu'on verra le champ de ma victoire;
Icr i’effaceray la marque d’vn affrous.	Icr j'effacerai la marque d'il affrous.
Par la rougeur du ſang o ſtant cello du front.	Par la rougeur du sang ô stant cello du front.
Le terrain eſt fort bons dans l'ardeuν qui me preſle, Que n’auous nous au moins entre nous la Maiſtreſſe;	Le terrain est fort bons dans l'ardeu des me presle, Que n'avous nous au moins entre nous la Maîtresse;
Pour la faire reſter commo vn prix amoureux, Non pas au plus ruſe, mais au plas genereux.	Pour la faire rester commo un prix amoureux, Non pas au plus ruse, mais au plas généreux.
Afin que le peril plus aiſement i’eſclate, Dois-ie porter en tierce?	Afin que le péril plus aisément j'éclate, Dois-je porter en tierce?
ou bian plus toſt en quarts?	ou bian plu tôt en quarts?
Non par vn autré coup, ie prepare ſa mort, Ie paſſeray ſur luy, car ie ſuu aſſez fort.	Non par un autré coup, une prépare sa mort, Je passerai sur lui, car ie suiv assez fort.
SCENE V I.	SCÈNE V I.
FLORANGE, ARGAMOR.	FLORANGE, ARGAMOR.
GERTIMANT;	GERTIMANT;
ORMIN,	ORMIN,
FLORANGE.	FLORANGE.
