Suivant la Copie imprimée	Suivant la Copie imprimée
Souffrons que la raiſon éclaire enfin nos ames, Nous ſommes vos voiſins, nos filles ſont vos femmes, Et l’Hymen nous à joints par tant & tant de nœuds, Qu’il eſt peu de nos fils qui ne ſoient vos neveux.	Souffrons que la raison éclaire enfin nos âmes, Nous sommes vos voisins, nos filles sont vos femmes, Et l'Hymen nous à joints par tant et tant de nœuds, Qu'il est peu de nos fils qui ne soient vos neveux.
Nous ne ſommes qu’un ſang, & qu’un peuple en deux villes, Pourquoy nous déchirer par des guerres civiles, Où la mort des vaineus aſfoiblit les vainqueurs, Et le plus beau triomphe eſt arroſé de pleurs?	Nous ne sommes qu'un sang, et qu'un peuple en deux villes, Pourquoi nous déchirer par des guerres civiles, Où la mort des vaineus asfaiblit les vainqueurs, Et le plus beau triomphe est arrosé de pleurs?
Nos ennemis communs attendent avec joye Qu'un des partis défait leur donne l’autre en proye, Laſſe, Laſſé, demy-rompu, vainqueur, mais pour tout fruit Dénué d’un ſecours par luy meſme détruit.	Nos Ennemis communs attendent avec joie Qu'un des partis défait leur donne l'autre en proie, Lasse, Lassé, demi-rompu, vainqueur, mais pour tout fruit Dénué d'un secours par un autre détruit.
Ils ont aſſez long-temps joüy de nos divorces, Contr’eux doreſnavant joignons toutes nos forces, Et noyons dans l’oubly ces petits differens Qui de ſi bons guerriers font de mauvais parens.	Ils ont assez longtemps joui de nos divorces, Contr'eux dorénavant joignons toutes nos forces, Et noyons dans l'oubli ces petits différents Qui de si bons guerriers font de mauvais parents.
Que ſi l’ambition de commander aux autres Fait marcher aujourd’huy vos troupes & les noſtres, Pourveu qu'à moins de ſang nous voulions l’appaiſer, Elle nous vnira loin de nous diviſer.	Que si l'ambition de commander aux autres Fait marcher aujourd'hui vos troupes et les nôtres, Pourvu qu'à moins de sang nous voulions l'apaiser, Elle nous unira loin de nous diviser.
Nommons des combatans pour la cauſe commune, Que chaque peuple aux ſiens attache ſa fortune, Er ſuivant ce que d’eux ordonnera le Sort, Que le foible party prenne loy du plus fort.	Nommons des combattants pour la cause commune, Que chaque peuple aux siens attache sa fortune, Er suivant ce que d'eux ordonnera le Sort, Que le faible parti prenne loi du plus fort.
Mais ſans indignité pour des guerriers ſi braves, Qu’ils deviennent Sujets ſans devenir eſclaves, Sans honte, ſans tribut, & ſans autre rigueur Que de ſuivre en tous lieux les drapeaux du vainqueur.	Mais sans indignité pour des guerriers si braves, Qu'ils deviennent Sujets sans devenir esclaves, Sans honte, sans tribut, et sans autre rigueur Que de suivre en tous lieux les drapeaux du vainqueur.
Ainſi nos deux Eſtats ne feront qu’un Empire.	Ainsi nos deux États ne feront qu'un Empire.
A ces mots il ſe taiſt, d’aiſe chacun ſoûpire, Chacun jettant les yeux dans un rang ennemy Reconnoiſt un beau-frere, un couſin, un amy?	À ces mots il se taît, d'aie chacun soupire, Chacun jetant les yeux dans un rang ennemi Reconnaît un beau-frère, un couin, un ami?
Ils s’étonnent comment leurs mains de ſang avides Voloient ſans y penſer à tant de parricides, Et font paroiſtre un front couvert tout à la fois D’horreur pour la bataille, & d’ardeur pour ce choix.	Ils s'étonnent comment leurs mains de sang avides Volaient sans y penser à tant de parricides, Et font paraître un front couvert tout à la fois D'horreur pour la bataille, et d'ardeur pour ce choix.
Enfin l’offre s’accepte, & la paix deſirée sous ces conditions eſt auſſi-toſt jurée, Trois combatront pour tous, mais pour les mieux choiſir Nos Chefs ont voulu prendre un peu plus de loiſir, Le voſtre eſt au Senat, le hore dans la tente.	Enfin l'offre s'accepte, et la paix désirée sous ces conditions est aussitôt jurée, Trois combatront pour tous, mais pour les mieux choisir Nos Chefs ont voulu prendre un peu plus de loisir, Le vôtre est au Sénat, le hore dans la tente.
CAMILLE.	CAMILLE.
O Dieux, que ce diſcours rend mon ame contente!	Ô Dieux, que ce discours rend mon âme contente!
CURIACE.	CURICE.
Dans deux heures au plus par un commun accord Le ſort de nos guerriers reglera noſtre ſort.	Dans deux heures au plus par un commun accord Le sort de nos guerriers réglera notre sort.
Cependant tout eſt libre attendant qu’on les nomme, Rome eſt dans noſtre camp, & noſtre camp dans Rome, D'un & d’autre coſté l’accez eſtant permis Chacun va renoüer avec ſes vieux amis.	Cependant tout est libre attendant qu'on les nomme, Rome est dans notre camp, et notre camp dans Rome, D'un et d'autre côté l'accès étant permis Chacun va renouver avec ses vieux amis.
Pour moy, ma paſſion m’a fait ſuivre vos freres, Et mes deſirs ont eu des ſuccez ſi proſperes.	Pour moi, ma passion m'a fait suivre vos frères, Et mes désirs ont eu des succès si prospères.
Que l’autheur de vos jours m’a promis à demain Le bonheur ſans pareil de vous donner la main.	Que l'auteur de vos jours m'a promis à demain Le bonheur sans pareil de vous donner la main.
vous ne deviendrez pas rebelle à ſa puiſſance?	vous ne deviendrez pas rebelle à sa puissance?
CAMILLE.	CAMILLE.
Le devoir d’une fille eſt en l’obeïſſance.	Le devoir d'une fille est en l'obéissance.
CoRhe Bi venez donc recevoir ce doux commandement Qui doit mettre le comble à mon contentement.	CoRhe Bi venez donc recevoir ce doux commandement Qui doit mettre le comble à mon contentement.
CAMILLE.	CAMILLE.
Je vay ſuivre vos pas, mais pour revoir mes freres, ne igaron uoun encor la fin de nos miſeres.	Je vais suivre vos pas, mais pour revoir mes frères, ne igaron ouvoun encor la fin de nos misères.
OLIE.	OLIE.
Allez, & cependandt au pied de nos Autels J’iray rendre pour touoglutes aux Immortels.	Allez, et cependant au pied de nos Autels J'irai rendre pour touglutes aux Immortels.
Fin du premier Acte.	Fin du premier Acte.
ACTE	ACTE
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
HORACE, CURIACE.	HORACE, CURIACE.
CURIACE.	CURICE.
Inſi Rome n’a point ſeparé ſon eſtime, A Elle euſt creu faire ailleurs un choix illegitime, Cette ſuperbe ville en vos freres & vous Trouve les trois guerriers qu’elle prefere à tous, Et ſon illuſtre ardeur d’oſer plus que les autres D’une ſeule maiſon brave toutes les noſtres.	Insi Rome n'a point séparé son estime, À Elle eût cru faire ailleurs un choix illégitime, Cette superbe ville en vos frères et vous Trouve les trois guerriers qu'elle préfère à tous, Et son illustre ardeur d'oser plus que les autres D'une seule maison brave toutes les nôtres.
Nous croirons à la voir toute entiere en vos mains, Que hors les fils d’Horace il n’eſt point de Romains.	Nous croirons à la voir toute entière en vos mains, Que hors les fils d'Horace il n'est point de Romains.
Ce choix pouvoit combler trois familles de gloire, Conſacrer hautemeut leurs noms à la memoire;	Ce choix pouvait combler trois familles de gloire, Consacrer hautemut leurs noms à la mémoire;
Oüy, l’honneur que reçoit la voſtre par ce choix En pouvoit à bon tiltre immortaliſer trois;	Oui, l'honneur que reçoit la vôtre par ce choix En pouvait à bon titre immortaliser trois;
Et puiſque c’eſt chez vous que mon heur & ma flame M’ont fait placer ma ſœur, & choiſir une femme, Ce que je vous dois eſtre & ce que je vous ſuis Me font y prendre part autant que je le puis.	Et puisque c'est chez vous que mon heur et ma flamme M'ont fait placer ma sœur, et choisir une femme, Ce que je vous dois être et ce que je vous suis Me font y prendre part autant que je le puis.
Mais un autre intereſt tient ma joye en contrainte, Et parmy ſes douceurs meſle beaucoup de crainte.	Mais un autre intérêt tient ma joie en contrainte, Et parmi ses douceurs mêle beaucoup de crainte.
La guerre en tel éclat a mis voſtre valeur Que je tremble pour Albe, & prévoy ſon malheur.	La guerre en tel éclat a mis votre valeur Que je tremble pour Albe, et prévoi son malheur.
Puiſque vous combatez, ſa perte eſt aſſeurée, En vous faiſant nommer le Deſtin l’a jurée, Je voy trop dans ce choix ſes funeſtes projets, Et me conte déja pour un de vos Sujets.	Puisque vous combattez, sa perte est assurée, En vous faisant nommer le Destin l'a jurée, Je vois trop dans ce choix ses funestes projets, Et me conte déjà pour un de vos Sujets.
HORACE.	HORACE.
Loin de trembler pour Aibe, il vous latit plainara Rome, voyant Voyant ceux qu’elle oublie, & les trois qu’elle nomme.	Loin de trembler pour Aibe, il vous latit plainara Rome, voyant Voyant ceux qu'elle oublie, et les trois qu'elle nomme.
C’eſt un aveuglement pour elle bien fatal D’avoir tant à choiſir, & de choiſir ſi mal:	C'est un aveuglement pour elle bien fatal D'avoir tant à choisir, et de choisir si mal:
Mille de ſes enfans beaucoup plus dignes d’elle Pouvoiẽt biẽ mieux que nous ſoûtenir ſa querelle;	Mille de ses enfants beaucoup plus dignes d'elle Pouvaient bienne mieux que nous soutenir sa querelle;
Mais quoy que ce combat me promette un cercueil, La gloire de ce choix m’enfle d’un juſte orgueil, Mon eſprit en conçoit une maſle aſſeurance, J’oſe eſperer beaucoup de mon peu de vaillance, Et du Sort envieux quels que ſoient les projets Je ne me conte point pour un de vos Sujets.	Mais quoi que ce combat me promette un cercueil, La gloire de ce choix m'enfle d'un juste orgueil, Mon esprit en conçoit une mâle assurance, J'ose espérer beaucoup de mon peu de vaillance, Et du Sort envieux quels que soient les projets Je ne me conte point pour un de vos Sujets.
Rome a trop crû de moy, mais mon ame ravie Remplira ſon attente, ou quittera la vie.	Rome a trop cru de moi, mais mon âme ravie Remplira son attente, ou quittera la vie.
Qui veut mourir, ou vaincre, eſt vaincu rarement, Ce noble deſeſpoir perit malaiſement :	Qui veut mourir, ou vaincre, est vaincu rarement, Ce noble désespoir périt malaisément :
Rome, quoy qu’il en ſoit, ne ſera point ſujette, Que mes derniers ſoûpirs n’aſſeurent ma défaite.	Rome, quoi qu'il en soit, ne sera point sujette, Que mes derniers soupirs n'assurent ma défaite.
CURIACE.	CURICE.
Helas, c’eſt bien icy que je dois eſtre plaint!	Hélas, c'est bien ici que je dois être plaint!
Ce que veut mon païs, mon amitié le craint.	Ce que veut mon pays, mon amitié le craint.
Dures extremitez, de voir Albe aſſervie, Ou ſa victoire au prix d’une ſi chere vie, Et que l’unique bien où tendent ſes deſirs o uene pre reurement par vos derniers ſoûpirs!	Dures extrémités, de voir Albe asservie, Ou sa victoire au prix d'une si chère vie, Et que l'unique bien où tendent ses désirs ô uene pré reurement par vos derniers soupirs!
Quels vœux puis-je former, & quel bonheur attendre?	Quels vœux puis-je former, et quel bonheur attendre?
De tous les deux coſtez j’ay des pleurs à répandre, De tous les deux coſtez mes deſirs ſont trahis.	De tous les deux côtés j'ai des pleurs à répandre, De tous les deux côtés mes désirs sont trahis.
HORACE.	HORACE.
Quoy!	Quoi!
vous me pleureriez mourant pour mon païs!	vous me pleureriez mourant pour mon pays!
Pour un cœur genereux ce trépas a des charmes, La gionie qui le luit ne ſouffre point de larmes, Et je le recevrois en beniſſant mon ſort (mort.	Pour un cœur généreux ce trépas a des charmes, La gionie qui le luit ne souffre point de larmes, Et je le recevrais en bénissant mon sort (mort.
Si Rome & tout l’Eſtat perdoient moins en ma	Si Rome et tout l'État perdaient moins en ma
CURIACE.	CURICE.
A vos amis pourtant permiettez de le craindre, Dans un ſi beau trépas ils ſont les ſeuls à plaindre, La gloire en eſt pour vous & la perte pour eux, Il vous fait immortel & les rend malheureux, On perd tout quand on perd un amy ſi fidelle, Mals Flavian m’apporte Icy queique nouvelle.	À vos amis pourtant permietés de le craindre, Dans un si beau trépas ils sont les seuls à plaindre, La gloire en est pour vous et la perte pour eux, Il vous fait immortel et les rend malheureux, On perd tout quand on perd un ami si fidèle, Mals Flavian m'apporte Ici queique nouvelle.
SCENE II.	SCÈNE II.
HORACE, CURIACE, FLAVIAN.	HORACE, CURIACE, FLAVIAN.
8 CURIACE.	8 CURIACE.
Ibe de trois guerriers a-t’elle fait le choix?	Ibe de trois guerriers a-t-elle fait le choix?
A FLAVIAN.	À FLAVIAN.
Je vieno pourrouorapprendre.	Je viens pourrouorapprendre.
GURIACE.	GURICE.
Et bien, qui ſont les trois?	Et bien, qui sont les trois?
FLAVIAN.	FLAVIAN.
Vos deux freres & vous.	Vos deux frères et vous.
CURIACE.	CURICE.
Qui?	Qui?
e d ue elanvo Vous & vos deux *e,ιcsMais pourquoy ce frõt triſte & ces regards ſeveres?	Je disite élanvo Vous et vos deux *e,ιcsMais pourquoi ce front triste et ces regards sévères?
Ce choix vous deplalſt-Il s	Ce choix vous déplalst-Il s
CURIACE.	CURICE.
Non, mais il me ſurprend;	Non, mais il me surprend;
Je m’eſtimois trop peu pour un honneur ſi grand.	Je m'estimais trop peu pour un honneur si grand.
FLAVIAN.	FLAVIAN.
Diray je au Dictateur dont l’ordre icy m’envoye Que vous le recevez avec ſi peu de joye?	Dirai je au Dictateur dont l'ordre ici m'envoie Que vous le recevez avec si peu de joie?
Ce morne & froid accueil me ſurprend à mon tour.	Ce morne et froid accueil me surprend à mon tour.
CURIACE.	CURICE.
Dy-luy que l’amitié, I'ailiance, ce ramour, Ne pourront empeſcher que les trois Curiaces Ne ſervent leur païs contre les trois Horaces.	Dis-lui que l'amitié, J'ailiance, ce ramour, Ne pourront empêcher que les trois Curiaces Ne servent leur pays contre les trois Horaces.
FLAVIAN.	FLAVIAN.
Contre eux!	Contre eux!
ah, c’eſt beaucoup me dire en peu de mots!	ah, c'est beaucoup me dire en peu de mots!
CURIACE.	CURICE.
Porte-luy ma réponſe & nous laiſſe en repos.	Porte-lui ma réponse et nous laisse en repos.
SCE	SCE
SCENE III.	SCÈNE III.
1 HORACE, CURTACE	1 HORACE, CURTACE
CURIACE.	CURICE.
Ue deſormais le Ciel, les Enfers, & la Terre, Z Uniſſent leurs fureurs à nous faire la guerre, Que les hommes, les Dieux, les Demons, & le Sort, Preparent contre nous un general effort;	Ue désormais le Ciel, les Enfers, et la Terre, Z Unissent leurs fureurs à nous faire la guerre, Que les hommes, les Dieux, les Demons, et le Sort, Prearent contre nous un général effort;
Je mets à faire pis en l’eſtat où nous ſommes (mes, Le Sort, & les Demons, & les Dieux, & les homCe qu'iis ont de ciuer, & d’nonioie, ce d'affreux, L’eſt bien moins que l’honneur qu’on nous fait à tous deux.	Je mets à faire pis en l'état où nous sommes (mes, Le Sort, et les Demons, et les Dieux, et les homée qu'iis ont de civer, et d'nonioie, ce d'affreux, L'est bien moins que l'honneur qu'on nous fait à tous deux.
HORACE.	HORACE.
Le Sort qui de l’honneur nous ouvre la barriere Offre à noſtre conſtance une illuſtre matiere, Il éruiſe ſa force à former un malheur 2u u --z ſe meſurer avec noſtre valeur, Et comme il voit en nous des ames peu communes, Hors de l’ordre commun il nous fait des fortunes.	Le Sort qui de l'honneur nous ouvre la barrière Offre à notre constance une illustre matière, Il éruise sa force à former un malheur 2u 2 --z se mesurer avec notre valeur, Et comme il voit en nous des âmes peu communes, Hors de l'ordre commun il nous fait des fortunes.
