LES CHASTES ET LOYALES AMOVRS DE IEIEIECDAV.	LES CHASTES ET LOYALES AMOURS DE IEIEIECDAV.
Par Alexandre Hardy, auec defences à tous Libraires, Imprimeurs & autres perſonnes de quelque eſtat & cõditiõ qu’ils ſoiẽt, d’imprimer ou faire imprimer ledit liure, pendant le temps & eſpace de dix ans entiers & conſecutifs, à peine de mil liures d’amende, & de confiſcation de tous les exemplaires, qui ſe trouueront contrefais, & de tous dépens, dommages & intereſts, nonobſtant oppoſitions ou appellations quelconques, clameur de Flaro, n'y autres effartres, atr contraire ainſi qu’il eſt plus au long contenu en l’original, donné à Paris le 11, Feburier 1623.	Par Alexandre Hardi, avec défenses à tous Libraires, Imprimeurs et autres personnes de quelque état et cõditiõ qu'ils soient, d'imprimer ou faire imprimer ledit livre, pendant le temps et espace de dix ans entiers et consécutifs, à peine de mille livres d'amende, et de confiscation de tous les exemplaires, qui se trouveront contrefais, et de tous dépens, dommages et intérêts, nonobstant oppositions ou appellations quelconques, clameur de Flaro, n'y autres effartres, a contraire ainsi qu'il est plus au long contenu on eoriginal, plus au Continu en 11' Feburier 1623g
Signé.	Signé.
Par le Roy en ſon Conſeil.	Par le Roi en son Conseil.
CROYSET.	CROYSET.
Seellé du grand Sceau de cire iaulne.	Seellé du grand Sceau de cire jaulne.
Fautes ſuruenues en l’Impreſsien.	Fautes survenues en l'Impressien.
Pager2.	Pager2.
vers 1o rompus liſez deceus, Pag,16, vers 24.	vers 1o rompus lisez déçus, Pag,16, vers 24.
ne meſpris de dangers.	ne mépris de dangers.
liſ meſpriſe les dangers, pag.	lis méprise les dangers, pag.
186,8, me ſeruent, liſ luy ſeruent, p, 2y9, vers s reclamée liſ, reclamé, p.	186,8, me servent, lis Seigneur servent, p, 2i9, vers s réclamée lis, réclamé, p.
227, vers 15.	227, vers 15.
de l’enuie 'ou elle eſt triompher, liſ, elle doit triompher, p, 283.	de l'envie 'ou elle est triompher, lis, elle doit triompher, p, 283.
Arſace, il y manque vn vers.	Arsace, il y manque un vers.
p, 303, vers 22, au faſte, l, faiſte, p, 379,v.	p, 303, vers 22, au faste, l, faîte, p, 379.
18.	18.
oée, l, oſtée, p.	oée, l, ôtée, p.
,v, dernier, comminement l.	,, dernier, comminement l.
conniuement.	connuement.
p,324, v,8.	p,324, v,8.
promeſſe liſ.	promesse lis.
princeſſe, p, 448 vers5, entrer ſur Pelion, liſ, enter ſur Pelion, p, 467,vers12, & ſe tourbe l, & ſe courbe, p.	princesse, p, 448 vers5, entrer sur Pélion, lis, enter sur Pélion, p, 467,vers12, et se tourbe l, et se courbe, p.
8,v,6 Syrien 8.	8,v, Syrien 8.
iournée, l, ſi rien p 44, vers, 21.	journée, l' si rien p 44, vers, 21.
de voſtre fille miennes, liſ, de voſtre fille aux miennes, p.	de votre fille miennes, lis, de votre fille aux miennes, p.
éz,vers 15, de collo quer, liſez, te colloquer.	ès,vers 15, de collo quer, lisez, te colloquer.
SOMMAIRE DV SVIET, DE En TleumlIanu lo valenEr *2il	SOMMAIRE DU SVIET, DE En TleumlIanu lo valenEr *2il
HEAGENE & Cariclée choiſis ſelon la couſtume celebrent!	HÉGENE et Cariclée choisis selon la coutume célèbrent!
le ſacrifice annuel qui ſe faiſoit à Delphes en l’honneur d’Apollon où deuenus reciproquément amoureux l’vn de l’autre, Charicle du tẽple ſe retire malade au logis de Cariclée ſon pere putatif, ainſi que Theagene;	le sacrifice annuel qui se faisait à Delphes en l'honneur d'Apollon où devenus reciproquément amoureux l'un de l'autre, Charicle du tẽple se retire malade au logis de Cariclée son pere putatif, ainsi que Theagene;
à qui ce mal contagieux cauſe les meſmes accidens.	à qui ce mal contagieux cause les mêmes accidents.
Calaſire vieil Mage Egyptien qui s’eſtoit volontairement banni de ſon pais, pour les occaſions que l’hiſtoire fera remarquer en leur temps, reçoit en ſonge vn exprés commandement de la Deeſſe lſis, afin de prendre ces deux amants en ſa protection, & ſe faire leur conducteur iuſques au lieu incertain, où leurs deſtinées accomplies ſe termineroient en heureux mariage, ce qui s’execute, Theagene enleuant par l’entremiſe du ſage vieillard ſa belle maiſtreſſe conſentante du logis paternel.	Calasarde il Mage Egyptien qui s'était volontairement banni de son pais, pour les occasions que l'histoire fera remarquer en leur temps, reçoit en songe un exprès commandement de la Déesse lsis, afin de prendre ces deux amants en sa protection, et se faire leur conducteur jusques au lieu incertain, où leurs destinées accomplies se termineraient en heureux mariage, ce qui s'execute, Thagène enleuant par l'entremise du sage vieillard sa belle maîtresse consentante du logis paternel.
Calaſire s’embarque auec eux dans le vaiſſeau d’vn Marchand Phenicien que l’orage jette dans vne lſle deſerte, où certains Corſaires auoient leur retraitte, ils ſe refugiẽt en la cabane d’vn pauure peſcheur qui leur donne aduis que Trachin chef de ces Pirates deuoit rauir Cariclèe, le marchand Phenicien amoureux auſſi de Cariclée, eſt gaigné par Calaſire qui la luy promet à femme, à condition qu’il perſuaderoit au pilote de ſe remettre en mer nonobſtant la tempeſte, pour éuiter la force du Pirate, ce qu’obtenu ils font voile, & à cauſe du mauuais temps ſont en peu d’heure r’atains par le Corſaire auerty de leur fuitte, qui reſout d’épouſer le lendemain Cariclée veuille ou non:	Calaste s'embarque avec eux dans le vaisseau d' Marchand Phénicien que l'orage jette dans une lâle déserte, où certains Corsaires avaient leur retraite, ils se refugiẽt en la cabane d'un pauvre pûcheur qui leur donne avis que Trachin chef de ces Pires devait ravir Cariclate, le marchand Phénicien amoureux aussi de Cariclée, est gagné par Calant qui qui la promet à femme, à condition qu'il persuaderoit au pilote de se remettre en mer nonobstant la tempête, pour élever la force du Pirate, ce qu'obtenu ils font voile, et cause du fi temps sont en peu heure atains par le Ca auerty de leur fuitte, qui résout épouser le lendemain Cariclée veuille ou non:
la preuoyance de Calaſire enflame vne jalouſie à Pelore Lieutenant du Corſaire paſſionnè de l'amour de Cariclée, & fait que les Pyrates partialiſez s’entrecoupent la gorge au feſtin nuptial, pour ſon ſujet Pelore tuë le der nier par la valeur de Theagene qui demeure au combat, où finit ceſte premiere traite de l’hiſtoire.	la prévoyance de Calasire enflamme jalousie à Pelore Lieutenant du Corsaire passionnée de l'amour de Cariclée, et fait que les Pyrates partialisez s'entrecoupent la gorge au festin nuptial, pour son sujet Pelore tuue le der nier par la valeur de Théagène qui demeure au combat, où finit cette première traite de l'histoire.
LES ACTEVRS.	LES ACTEURS.
THEAGENE.	THÉGENE.
CALASIRE.	CALASIRE.
CARICLEE.	CARICLE.
TAGE.	TAGE.
TR.	TR.
DE THESSALLIENS.	DE THESSALLIENS.
SOCIE.	SOCIE.
MARCHANT TYRIEN.	MARCHANT TYRIEN.
TRACHIN.	TRACHIN.
PELORE.	PELORE.
TR.	TR.
DE CORSAIRES.	DE CORSAIRES.
CARICLEE.	CARICLE.
TRAGI-COMEDIE.	TRAGI-COMÉDIE.
PREMIERE IOVRNE'E ACTE I.	PREMIÈRE IOURNE'E ACTE I.
THEAGENE, CHARICLE, CALASIRE, CARICLEE.	THÉAGENE, CHARICLE, CALASIRE, CARICLE.
SCENE I.	SCÈNE I.
THEAGENE SEVL.	THÉGENE SEUL.
12 Omteur des plus grands Dieux, fils aiſné de nature, Commeñt penetre Amour ta ſub Tout d’vn coup en nos cœurs?	12 Omeur des plus grands Dieux, fils aîné de nature, Commeñît pénètre Amour ta sub Tout d'un coup en nos cœurs?
comment helas?	comment hélas?
comment De libre m’as-tu fait eſclaué en vn moment?	comment De libre m'as-tu fait esclavé en un moment?
Quel charme compagnon de ta fleiche eſlancée;	Quel charme compagnon de ta fléiche élancée;
Altere ſi ſoudain les mœurs & la penſée, e ne ſuis plus en moy, ie ne ſuis plus à moy,	Altère si soudain les mœurs et la pensée, ne suis plus en moi, pour ne suis plus à moi,
Comblè de deſeſpoir, de fureur & d’émoy, Solit aire, penſif, tout me nuiſt, tout me faſché, Et ma fiere douleur s’augmente ſans relaſche.	Comblé de désespoir, de fureur et d'émoi, Solit aire, pensif, tout me nuist, tout me fâché, Et ma fière douleur s'augmente sans relâche.
Certes iamais Amant n’en eut plus de ſujet, Pour m’eſpoindre eſtranger de ce diuin objet, Aymer vne beauté qu’oncques ie n’auoy veuë, Ma raiſon ſur le champ de raiſon deſpourueuë, Immobile, rauy de merueille & d’ardeur, Außi toſt que ſes yeux m’õt couuert de splendeur, Entré dedans le temple, afin que ie parfiſſe Pour nos Theßaliens l’ordonné ſacrifice, Que leurs vœux apportez, ô puißant Delphien, Ta Deité receut ſon hommage ancien, De veſtement ſemblable à ta ſœur Chaſſereſſe, Mille petits Amours voletans ſur ſa treſſe, Sur ſa treſſe eſpanchée autour d’vn col neigeux, Qui le clair de ſon teint rendoit plus ombrageux;	Certes jamais Amant n'en eut plus de sujet, Pour m'époindre étranger de ce divin objet, Aymer quelque beauté qu'oncques était n'avoy vue, Ma raison sur le champ de raison dépourvue, Immobile, ravis de merveille et d'ardeur, Aussi tôt que ses yeux m'on couvert de splendeur, Entré dedans le temple, afin que ie parfisse Pour nos Thessaliens l'ordonné sacrifice, Que leurs vœux apportez, ô puissant Delphien, Ta Deité reçut son hommage ancien, De vêtement semblable ta sœur Chasseresse, De vêt Em voletans semsa tresse, Sur à ta espanchée Amour s col neigeux, Qui le clair de son vint rendoit plus ombrageux;
Comme quand vne nue entoure demy brune Par vne calme nuit, la face de la Lune, De ſon ſein pommelé deux tertres eſleuez, Me deſcouuroient à l’œil leurs boutons captiuez, Non beaucoup differents d'vn blãc marbre de Pare Deſſoubs la peau duquel mainte veine s’eſgare, Hormis qu’à petits flots quelque fois esbranleZ Ils ſembloient menacer mes yeux enſorcelez Sur le flanc luy pendoit vne trouſſe argentée, Et i’ay la flamme ſaincte en ſadextre empruntée, Le buſcher allumant de victimes chargé Comme par le deuoir il m’eſtoit enchargé.	Comme quand quelque nue entoure demi brune Par une calme nuit, la face de la Lune, De son sein gelé deux tertres élevez, Me découvraient à l'œil leurs boutons captivez, Non beaucoup différents d'un blants marbre de Pare Dessoubs la peau duquel mainte veine s'égare, Hormis qu'à petits flots quelque fois ébranlez Ils semblaient menacer mes yeux ensorcelez Sur le flanc lui pendoit r trousse argentée, Et j'ai la flamme sainte en sadextre empruntée, Le bûcher allant de victimes chargé Comme par Le deuoir il mestoit enchargé'
Estrange effect d’amour, plus ie le rememore, Et plus ie me voudroy rememorer encore, Ce fatal accident, cèt Amoureux deſtin, Mon cœur ſe ſent heureux, de luy eſtre en butin, L’hõneur le veut ainſi, la gloire eſt bien plꝰ grãde, »Quãd vn braue vainqueur aſſeruis nous cõmãde, » Quand nous allons courir la fortune de Mars »,Sous vn Chef belliqueux redoutable aux hazars,  Mais la plainte de peu ſoulage le malade, ,Par vn remede pris le danger il euade, Or ie n'en ſçache qu’vn, & meſme fort ſuſpect, Peſant la qualité & le graue reſpect, Du viel Mage d’Egypte, eſtranger de naguiere, Reçeu pour ſon ſçauoir eZ mrſteres confere, Hõme à qui les Dieux ont toꝰ leurs ſecrets ouuers;	Étrange effet d'amour, plus grands le remore, Et plus belle me voudrais remémorer encore, Ce fatal accident, clet Amoureux destin, Mon cœur se sent heureux, de lui estre en butin, L'honneur le veut ainsi, la gloire est bien pl grãde, »Quãd re an asservis nous ce, » Quand nous allons courir la fortune de Mars »,Sous Chef belliqueux redoutable aux hazars, Mais la plainte de peu soulage le malade, ,Par remède pris le danger il euade, Or ie n'en sçache , et même fort suspect, Pesant la qualité et le graue respect, Du viel Mage Egypte, étranger de naguiere, Reçeu pour son sçauoir mrsteres confere, Hõme qui les Dieux ont leurs secrets ouuers;
Pour le ſalut commun tranſmis en l’vniuers, L’informant ie ſçauray à quelle deſtinée, Les Erebiques ſœurs ont ma trame aßignée, Et par le mouuement de ſon ſage conſeil, Au mal appliqueray le plus propre appareil.	Pour le salut commun transmis en l'Hivers, L'informant ie sçauray à quelle destinée, Les Erebiques sœurs ont ma trame assignée, Et par le mouvement de son sage conseil, Au mal appliquerai le plus propre appareil.
SCENE II.	SCÈNE II.
CHARICLE, & CALASIRE.	CHARICLE, et CALASIRE.
CHARICLE.	CHARICLE.
auez vous obſerué de rare au ſacrifice?	avez vous observé de rare au sacrifice?
Aij	Ajj
CALASIRE.	CALASIRE.
Les Dieux ſacrifians qui faiſoient leur office.	Les Dieux sacrifiants qui faisaient leur office.
CHARICLE.	CHARICLE.
Les Dieux, comment cela?	Les Dieux, comment cela?
CALASIRE.	CALASIRE.
Deux mortenes beautez Capables de tenir le rang des Deitez.	Deux mortène beautés Capables de tenir le rang des Déités.
CHARICLE.	CHARICLE.
Sçauoir!	Savoir!
CALASIRE.	CALASIRE.
Ce ieune chef mandé de Theſſalie, Et voſtre fat au gne dt tous ptus atcomplie.	Ce jeune chef mandé de Thessalie, Et votre fat au gne dt tous ptus atcomplie.
CHARICLE.	CHARICLE.
De la nature ils ſont beaucoup auantagez	De la nature ils sont beaucoup avantagés
CAL ASIRE.	CAL ASIRE.
Iu femblent de ſes dons à l'enuy partagez	Ju semblent de ses dons à l'en partagez
CHARICLE.	CHARICLE.
Ie rends graces aux Cieux de telle nourriture Bien que ie ne luy ſois pere que d’auanture.	Je rends grâces aux Cieux de telle nourriture Bien que je ne parler sois père que d'aventure.
CALASIRE.	CALASIRE.
Vous me l’auez compté, & i’ay creu que depuis, Ce baſton de vieilleſſe eſtrangeoit vos ennuis.	Vous me l'avez compté, et j'ai cru que depuis, Ce bâton de vieillesse estrangeoit vos ennuis.
CHARICLE.	CHARICLE.
Ne flattons point duquel la beauté plus exquiſe, Doit elle au parangon des beautez eſtre miſe?	Ne flattons point duquel la beauté plus exquise, Doit -elle au parangon des beauté être mise?
CALASIRE.	CALASIRE.
Chacun priſe le ſien, & ſi la nouueauté, Fait priſer à chacun l’eſtrangere beauté;	Chacun prise le sien, et si la nouveauté, Fait priser à chacun l'étrangère beauté;
Vn Berger Idean iuge de leur qu'erelle Braſſeron à Inon la ruyne moneue.	Un Berger Idan juge de leur qu'èrelle Brasseron à Inon la ruine moneue.
CHARICLE.	CHARICLE.
Entrons, ie vous la veux en priué faire voir.	Entrons, Seigneur vous la veux en privé faire voir.
CALASIRE.	CALASIRE.
Encores tant d’honneur ne ſuis-je à receuoir, Sacrifiant aux Dieux ie l’ay bien ſouuent veüe, M’arracher les ſecrets d’vne cauſe impourueüe De la ceremonie éplucher iuſqu’au fond, Ainſi que les esprits plus celeſtes le font, „, Touſiours vn corps parfait loge vne ame diuine „ Qui regarde le Ciel ſa premiere origine.	Encores tant d'honneur ne suis-je à recevoir, Sacrifiant aux Dieux après l'ai bien souvent vue, M'arracher les secrets d'une cause impourueüe De la cérémonie éplucher jusqu'au fond, Ainsi que les esprits plus célestes le font, „, Toujours un corps parfait loge une âme divine „ Qui regarde le Ciel sa première origine.
ellienerana.	ellienerana.
Son viſage blémy au ſortir de l’autel, M'appune de ta trainte &uunne du martel.	Son visage blémi au sortir de l'autel, M'appune de ta trainte etuunne du martel.
CALASIRE.	CALASIRE.
Allons la viſiter dans ſa chambre couchée.	Allons la visiter dans sa chambre couchée.
