dMmMlM dHO.	dMmlM dHO.
Et que malgré mes ſoins, vos ſoûpirs amoureux Vont trouver à tous coups ce Rival trop heureux.	Et que malgré mes soins, vos soupirs amoureux Vont trouver à tous coups ce Rival trop heureux.
Mais ſi de tels ſoupçons ont dequoy vous déplaire, Il vous eſt bien facile, helas!	Mais si de tels soupçons ont dequoy vous déplaire, Il vous est bien facile, hélas!
de m’y ſouſtraire;	de m'y soustraire;
Et leur banniſſement, dont j’accepte la Loy Dépend bien plus de vous, qu’il ne dépend de moy.	Et leur bannissement, dont j'accepte la Loi Dépend bien plus de vous, qu'il ne dépend de moi.
Oüy, c’eſt vous qui pouvez par deux mots pleins de fiâme;	Oui, c'est vous qui pouvez par deux mots pleins de fime;
Contre la jalouſie armer toute mon ame;	Contre la jalousie armer toute mon âme;
Et des pleines clartez d’un glorieux eſpoir Diſſiper les horreurs que ce monſtre y fait cheoir.	Et des pleines clartés d'un glorieux espoir Dissiper les horreurs que ce monstre y fait choir.
Daignez donc étouffer le doute qui m’accable, ut faites quun ayeu u'une botene auvlable Me donne l’aſſurance au fort de tant d’aſſauts, que je ne puis trouver dans le peu que je vaux.	Daignez donc étouffer le doute qui m'accable, ut faites quun ache v'une botène auvlable Me donne l'assurance au fort de tant d'assauts, que je ne puis trouver dans le peu que je vaux.
D.	D.
ELUIRE.	ÉLUIRE.
Prince, de vos ſoupçons la tyrannie eſt grande Au moindre mot qu’il dit, un cœur veut qu’on l’entende, Et n’aime pas ces feux, dont l’importunité Demande qu’on s’exlique avec tant de clarté.	Prince, de vos soupçons la tyrannie est grande Au moindre mot qu'il dit, un cœur veut qu'on l'entende, Et n'aime pas ces feux, dont l'importunité Demande qu'on s'exlique avec tant de clarté.
Le premier mouvement qui découvre noſtre ame, Doit d’un Amant diſcret ſatisfaire la flâme, Et c’eſt à s’en dédire authoriſer nos vœux, Que vouloir plus avant pouſſer de tels aveux.	Le premier mouvement qui découvre notre âme, Doit d'un Amant discret satisfaire la flamme, Et c'est à s'en dédire autoriser nos vœux, Que vouloir plus avant pousser de tels aveux.
Je ne dis point quel choix, s’il m'eſtoit volontaire, Entre Dom Sylve & vous, mon ame pourroit faire;	Je ne dis point quel choix, s'il m'était volontaire, Entre Dom Sylve et vous, mon âme pourrait faire;
Mais vouloir vous contraindre à n’eſtre point jaloux, Auroit dit quelque choſe à tout autre que vous;	Mais vouloir vous contraindre à n'être point jaloux, Aurait dit quelque chose à tout autre que vous;
Et je croyois cet ordre un aſſez doux langage Pour n’avoir pas beſoin d’en dire davantage.	Et je croyais cet ordre un assez doux langage Pour n'avoir pas besoin d'en dire davantage.
Cependant voſtre amour n’eſt pas encor content;	Cependant votre amour n'est pas encore content;
Il demande un aveu qui ſoit plus éclatant.	Il demande un aveu qui soit plus éclatant.
Pour l’oſter deſcrupule, il me faut à vous meſme, En des termes exprés, dire que je vous aime;	Pour l'ôter descrupule, il me faut à vous même, En des termes exprès, dire que je vous aime;
Et peut-eſtre qu’encor pour vous en aſſuref Vous vous obſtineriez à m’en faire jurer.	Et peut-être qu'encore pour vous en assuref Vous vous obstineriez à m'en faire jurer.
D.	D.
GARCIE.	GARCIE.
Hé bien, Madame, hé bien, je ſuis trop temeraire, De tout ce qui vous plaiſt, je dois me ſatisfaire;	Hé bien, Madame, hé bien, je suis trop téméraire, De tout ce qui vous plaît, je dois me satisfaire;
Je ne demande point de plus grande clarté, Je croy que vous avez pour moy quelque bonté, Que d’un peu de pitie mon feu vous ſollicite, Et je me vois heureux plus que je ne merite.	Je ne demande point de plus grande clarté, Je crois que vous avez pour moi quelque bonté, Que d'un peu de pitié mon feu vous sollicite, Et je me vois heureux plus que je ne mérite.
C’en eſt fait, je renonce à mes ſoupçons jaloux, L’arreſt qui les condamne, eſt un arreſt bien doux;	C'en est fait, je renonce à mes soupçons jaloux, L'arrêt qui les condamne, est un arrêt bien doux;
Et je reçois la Loy qu’il daigne me preſcrire.	Et je reçois la Loi qu'il daigne me prescrire.
Leur affranchir mon cœur de leurinjuſte empire.	Leur affranchir mon cœur de leurinjuste empire.
D.	D.
E L	E L
D.	D.
EL UIRE.	ÉL UIRE.
Vous promettez beaucoup, Prince, & je doute fort, Si vous pourrez ſur vous faire ce grand effort.	Vous promettez beaucoup, Prince, et je doute fort, Si vous pourrez sur vous faire ce grand effort.
D.	D.
GARCIE.	GARCIE.
Ah!	Ah!
Madame, il ſuffit pour me rendre croyable, Que ce qu’on vous promet doit eſtre inviolable;	Madame, il suffit pour me rendre croyable, Que ce qu'on vous promet doit être inviolable;
Et que l’heur d’obeïr à ſa divinité, Ouvre aux plus grands efforts trop de facilité;	Et que l'heur d'obéir à sa divinité, Ouvre aux plus grands efforts trop de facilité;
Que le Ciel me déclare une éternelle guerre, Que je tombe à vos pieds d’un éclat de tonnerre, Ou pour perir encor par de plus rudes coups, Puiſſay-je voir ſur moy fondre voſtre courroux;	Que le Ciel me déclare une éternelle guerre, Que je tombe à vos pieds d'un éclat de tonnerre, Ou pour périr encor par de plus rudes coups, Puissay-je voir sur moi fondre votre courroux;
Si jamais mon amour deſcend à la foibleſſe De manquer aux devoirs d’une telle promeſſe;	Si jamais mon amour descend à la faiblesse De manquer aux devoirs d'une telle promesse;
Si jamais dans mon ame aucun jaloux tranſport Fait.	Si jamais dans mon âme aucun jaloux transport Fait.
D.	D.
Pedre apporte un billet.	Pedre apporte un billet.
D.	D.
ELUIRE.	ÉLUIRE.
J’en eſtois en peine, & tu m’oblige fort, Que le Couiler attende.	J'en étais en peine, et tu m'obliges fort, Que le Couiler attende.
A ces legalus qu’il jétte, Vois-je pas que déja cet écrit l’inquiete?	À ces légalus qu'il jette, Vois-je pas que déjà cet écrit l'inquiète?
Prodigieux effet de ſon temperament, Qui vous arreſte, Prince, au milieu du ſerment?	Prodigieux effet de son tempérament, Qui vous arrête, Prince, au milieu du serment?
D.	D.
GARCIE.	GARCIE.
J’ay creu que vous aviez quelque ſecret enſemble, Et je ne voulois pas l’interrompre.	J'ai cru que vous aviez quelque secret ensemble, Et je ne voulais pas l'interrompre.
D.	D.
ELUIRE.	ÉLUIRE.
Il me ſemble Que vous me répondez d’un ton fort alteré, je vous vois tout-à-coup le viſage égaré;	Il me semble Que vous me répondez d'un ton fort altéré, je vous vois tout-à-coup le visage égaré;
Ce changement ſoudain a lieu de me ſurprendre, D’où peut-il provenir, le pourroit-on apprendre?	Ce changement soudain a lieu de me surprendre, D'où peut-il provenir, le pourrait-on apprendre?
D.	D.
GARC IE.	GARC IE.
cœur.	cœur.
D’un mal qui tout à coup vient d’attaquer mon	D'un mal qui tout à coup vient d'attaquer mon
D.	D.
ELUIRE.	ÉLUIRE.
Souvent plus qu’on ne croit ces maux ont de rigueur;	Souvent plus qu'on ne croit ces maux ont de rigueur;
Et quelque prompt ſecours vous ſeroit neceſſaire, Mais Mais encor dites moy vous prend il d’ordinaire?	Et quelque prompt secours vous serait nécessaire, Mais Mais encor dites -moi vous prend -il d'ordinaire?
Par fois.	Par fois.
D.	D.
GARCIE.	GARCIE.
D.	D.
ELUIRE.	ÉLUIRE.
Ah!	Ah!
Frince foible;	Frince faible;
hé bien par cet écrit, Guerriſſez-le ce mal, il n’eſt que dans l’eſprit.	hé bien par cet écrit, Guerrissez-le ce mal, il n'est que dans l'esprit.
D.	D.
GARCIEPar cet écrit, Madame?	GARCIEPar cet écrit, Madame?
ah!	ah!
ma main le refuſe, Je voy voitre penſée, & dequoy l’on m’accuſe;	ma main le refuse, Je vois voitre pensée, et dequoy l'on m'accuse;
Si.	Si.
D.	D.
ELUIRE.	ÉLUIRE.
Liſez-le, vous dis-je, & ſatisfaites-vous.	Lisez-le, vous dis-je, et satisfaites-vous.
D.	D.
GARCIE.	GARCIE.
Pour me traiter aprés, de foible, de jaloux?	Pour me traiter après, de faible, de jaloux?
Non, non, je dois icy vous rendre un témoignage, Qu’à mon cœur cet écrit n’a point donné d’ombraEt bien que vos bontez m'en laiſſent le pouvoir, Pour me juſtifier je ne veux point le voir.	Non, non, je dois ici vous rendre un témoignage, Qu'à mon cœur cet écrit n'a point donné d'ombraEt bien que vos bontés m'en laissent le pouvoir, Pour me justifier je ne veux point le voir.
D.	D.
ELUIRE.	ÉLUIRE.
ol vous vous ooſtinez à certe féſiitance, J’aurois tort de vouloir vous faire violence;	ol vous vous oostinez à certe fésiitance, J'aurais tort de vouloir vous faire violence;
Et c’eſt aſſez enfin, que vous avoir preſſé De voir de quelle main ce billet m’eſt tracé.	Et c'est assez enfin, que vous avoir pressé De voir de quelle main ce billet m'est tracé.
D.	D.
GARCIE.	GARCIE.
Ata roronte toujeurs vous dont eitfe loumiſe, Si c’eſt voſtre plaiſir, que pour vous je le liſe, je comens volontiers à prendre cet employ.	Ata roronte toujeurs vous dont éitfe loumise, Si c'est votre plaisir, que pour vous je le lise, je comens volontiers à prendre cet emploi.
D.	D.
ELUIRE.	ÉLUIRE.
Oüy, oüy, Prince, tenez, vous le lirez pour moy.	Oui, oui, Prince, tenez, vous le lirez pour moi.
D.	D.
GARCIE.	GARCIE.
C’eſt pour vous obeïr au moins, & je puis dire.	C'est pour vous obéir au moins, et je puis dire.
D.	D.
ELUIRE.	ÉLUIRE.
C’eſt ce que vous voudrez, dépêſchez-vous de lire.	C'est ce que vous voudrez, dépêchez-vous de lire.
D.	D.
EZ	EZ
D.	D.
GARCIE.	GARCIE.
Il eſt de Done Ignes, à ce que je connoy.	Il est de Done Ignès, à ce que je connais.
D.	D.
ELUIRE.	ÉLUIRE.
Ouy, je m’en rejouis, & pour vous, & pour moy.	Oui, je m'en réjouis, et pour vous, et pour moi.
D.	D.
GARCIE lit.	GARCIE lit.
Malgré l’effort d’un long mépris, Le Tyran toûjours m’aime, & depuis vôtre abſence, Vers moy pour me porter au deſſein qu’il a pris, Il ſemble avoir tourné toute ſa violence, Dont il pourſuit l’ailiance De vous & de ſon Fils.	Malgré l'effort d'un long mépris, Le Tyran toujours m'aime, et depuis votre absence, Vers moi pour me porter au dessein qu'il a pris, Il semble avoir tourné toute sa violence, Dont il poursuit l'ailiance De vous et de son Fils.
Ceux qui ſur moy peuvent avoir empire Par de lâches motifs qu’un faux honneur inſpire, Approuvent tous cet indigne lien;	Ceux qui sur moi peuvent avoir empire Par de lâches motifs qu'un faux honneur inspire, Approuvent tous cet indigne lien;
J’ignore encor par où finira mon martyre:	J'ignore encore par où finira mon martyre:
Mais je mourray plûtoſt que d’y conſentir.	Mais je mourrai plutôt que dy consentir.
Puiſſiez-vous joüir, belle Eluire, D’un deſtin plus doux que le mien.	Puissiez-vous jouir, belle Elvire, D'un destin plus doux que le mien.
D.	D.
IGNES.	IGNÉS.
Il continuë.	Il continue.
Dans la haute vertu ſon ame eſt affermie.	Dans la haute vertu son âme est affermie.
D.	D.
ELUIRE.	ÉLUIRE.
Je vais faire réponſe à cette illuſtre amie.	Je vais faire réponse à cette illustre amie.
Cependant apprenez, Prince, à vous mieux armer Contre ce qui prend droit de vous trop allarmer.	Cependant apprenez, Prince, à vous mieux armer Contre ce qui prend droit de vous trop alarmer.
j’ay calme voſtre trouble, avec cette lumiere, Et la choſe a paſſé d’une douce maniere:	j'ai calme votre trouble, avec cette lumière, Et la chose a passé d'une douce manière:
Mais à n’en point mentir il ſeroit des momens, Où je pourrois entrer dans d’autres ſentimens.	Mais à n'en point mentir il serait des moments, Ôù je pourrais entrer dans d'autres sentiments.
D.	D.
GARCIE.	GARCIE.
Hé, quoy vous croyez donc.	Hé, quoi Vous croyez donc.
D.	D.
ELUIRE.	ÉLUIRE.
Je croy ce qu’il faut croire.	Je crois ce qu'il faut croire.
Adieu, de mes avis conſervez la memoire, Et s’il eſt vray pour moy, que vôtre amourſoit grand Donnez-en à mon cœur les preuves qu’il pretend.	Adieu, de mes avis conservez la mémoire, Et s'il est vrai pour moi, que votre amoursait grand Donnez-en à mon cœur les preuves qu'il prétend.
D.	D.
GARCIE.	GARCIE.
Croyez que deſormais, c’eſt tout mon envie, Et qu’avant qu’y manquer, je veux perdre la vie.	Croyez que désormais, c'est tout mon envie, Et qu'avant qu'y manquer, je veux perdre la vie.
Fin du premtes orere.	Fin du premtes ore.
ACTE II.	ACTE II.
SCENE I.	SCÈNE I.
LEISES MIEORE.	LEISES MIEORE.
ELISE.	ÉLISE.
Out ce que fait le Prince, à parler franchement, N’eſt pas ce qui me donne un grand étonnement;	Out ce que fait le Prince, à parler franchement, N'est pas ce qui me donne un grand étonnement;
Car que d’un noble amour une ame bien ſaiſie, En pouſſe les tranſports juſqu’a la jalouſie;	Car que d'un noble amour une âme bien saisie, En pousse les transports jusqu'a la jalousie;
Que de doutes frequents ſes vœeux ſoient traverſés, Il eſt fort naturel, & je l’approuve aſſez;	Que de doutes fréquents ses vœux soient traversés, Il est fort naturel, et je l'approuve assez;
Mais ce qui me ſurprend, Dom Lope, c’eſt d’entendre Que vous luy preparez les ſoupçons qu’il doit prendre, Que voſtre ame les forme, & qu’il n’eſt en ces lieux Fâcheux que par vos ſoins, jaloux que par vos yeux.	Mais ce qui me surprend, Dom Lope, c'est d'entendre Que vous lui préparez les soupçons qu'il doit prendre, Que votre âme les forme, et qu'il n'est en ces lieux Fâcheux que par vos soins, jaloux que par vos yeux.
Encor un coup, Dom Lope, une ame bien épriſe Des ſoupçons qu’elle prend, ne me rend point ſurpriſe;	Encore un coup, Dom Lope, une âme bien éprise Des soupçons qu'elle prend, ne me rend point surprise;
Mais qu’on ait ſans amour tous les ſoins d’un jaloux, c’eſt une nouveauté qui n’appartient qu’à vous.	Mais qu'on ait sans amour tous les soins d'un jaloux, c'est une nouveauté qui n'appartient qu'à vous.
D.	D.
LOPE.	LOPE.
Que ſur cette conduite à ſon aiſe l’on gloſe, Chacun regle la ſienne au but qu’il ſe propoſe;	Que sur cette conduite à son aise l'on glose, Chacun règle la sienne au but qu'il se propose;
Et rebuté par vous des ſoins de mon amour, Je ſonge auprés du Prince à bien faire ma Cour.	Et rebuté par vous des soins de mon amour, Je songe auprès du Prince à bien faire ma Cour.
ELISE.	ÉLISE.
Mais ſçavez vous, qu’enfin il fera mal la ſienne, S’il faut qu’en cette humeur voſtre eſprit l’entretienne?	Mais Savez -vous, qu'enfin il fera mal la sienne, S'il faut qu'en cette humeur votre esprit l'entretienne?
D.	D.
Lo	Lo
D.	D.
LOPE.	LOPE.
Et quand, charmante Eliſe, a t'on veu s’il vous plaiſt, Qu’on cherche auprés des Grands, que ſon propre intereſt?	Et quand, charmante Élise, a t'-on vu s'il vous plaît, Qu'on cherche auprès des Grands, que son propre intérêt?
Qu’un parfait Courtiſan veüille charger leur ſuite, D’un cenſeur des défauts, qu’on trouve en leur conduite;	Qu'un parfait Courtisan veuille charger leur suite, D'un censeur des défauts, qu'on trouve en leur conduite;
Et s’aille inquieter, ſi ſon diſcours leur nuit, Pourveu que ſa fortune en tire quelque fruit?	Et s'aille inquiéter, si son discours leur nuit, Pourvu que sa fortune en tire quelque fruit?
Tout ce qu’on fait ne va, qu’à ſe mettre en leur grace Par la plus courte voye, on y cherche une place;	Tout ce qu'on fait ne va, qu'à se mettre en leur grâce Par la plus courte voie, on y cherche une place;
Et les plus prompts moyens de gagner leur faveur, C’eſt de flater toûjours le foible de leur cœur:	Et les plus prompts moyens de gagner leur faveur, C'est de flatter toujours le faible de leur cœur:
D’applaudir en aveugle à ce qu’ils veulent faire, Et n’appuyer jamais ce qui peut leur déplaire;	D'applaudir en aveugle à ce qu'ils veulent faire, Et n'appuyer jamais ce qui peut leur déplaire;
