ECPRIVILEGEDU ROY.	ECPRIVILEGEDU ROI.
Déployez vous ſur moy tant de ſeverité, Pour n’avoir à leurs vœux rendu que de l’eſtime?	Déployez -vous sur moi tant de sévérité, Pour n'avoir à leurs vœux rendu que de l'estime?
Si vous m’impoſiez cette loy, 0 Qu’il fallut faire un choix pour ne pas vous déplaire Puis que je ne pouvois faire, Que ne le faiſiez-vous pour moy;	Si vous m'imposiez cette loi, 0 Qu'il fallut faire un choix pour ne pas vous déplaire Puis que je ne pouvais faire, Que ne le faisiez-vous pour moi;
Que ne m’inſpiriez, vous ce qu’inſpire à tãt d’autres Le mérite, l’amour, &.	Que ne m'inspiriez, vous ce qu'inspire à tant d'autres Le mérite, l'amour, et.
Mais que vois-je icy?	Mais que vois-je ici?
SGENE IV.	SGENE IV.
CLEOMENE, AGENOR, PSICHE'.	CLÉOMENE, AGENOR, PSICHÉE.
CLEOMENE.	CLÉOMENE.
Eux Amis, deux Rivaux, dont l’unique ſouci D'Eſt d’expoſer leurs jours pour conſerver les vôSICHE’.	Eux Amis, deux Rivaux, dont l'unique souci D'Est d'exposer leurs jours pour conserver les vôSICHE’.
tres, Puis je vous écouter quand j’ay chaſſé deux Sœurs?	très, Puis -je vous écouter quand j'ai chassé deux Sœurs?
Princes, contre le Ciel penſez-vous me defendre?	Princes, contre le Ciel pensez-vous me défendre?
Vous livrer au Serpent qu’icy je dois attendre, Ce n’eſt qu’un deſeſpoir qui ſied mal aux grands Et mourir alors que je meurs, (cœurs, C’eſt accabler une ame tendre Qui n’a que trop de ſes douleurs.	Vous livrer au Serpent qu'ici je dois attendre, Ce n'est qu'un désespoir qui sied mal aux grands Et mourir alors que je meurs, (cœurs, C'est accabler une âme tendre Qui n'a que trop de ses douleurs.
AGENGR.	AGENGR.
Un Serpent n’eſt pas invincible?	Un Serpent n'est pas invincible?
Cadmus qui n’aimoit rien défit celui de Mars;	Cadmus qui n'aimait rien défit celui de Mars;
Nous aimons, & l’Amour ſçait rendre tout poſſible Au cœur qui ſuit ſes étendarts, A la main dont lui-même il conduit tous les dards.	Nous aimons, et l'Amour sait rendre tout possible Au cœur qui suit ses étendards, À la main dont lui-même il conduit tous les dards.
PSICHE’.	PSICHÉE.
Voulez-vous qu’il vous ſerve en faveur d’une ingrate Que tous ſes traits n’ont pû toucher?	Voulez-vous qu'il vous serve en faveur d'une ingrate Que tous ses traits n'ont pu toucher?
Qu’il dompte ſa vangeance au moment qu’elle éclate Et vous aide à m’en arracher?	Qu'il dompte sa vengeance au moment qu'elle éclate Et vous aide à m'en arracher?
Quaud même vous m’auriez ſervie, Quand vous m’auriez rendu la vie, Quel fruit elperez-vous de qui ne paut aimer ?	Quaud même vous m'auriez servie, Quand vous m'auriez rendu la vie, Quel fruit elperez-vous de qui ne paut aimer ?
CLEOMENE.	CLÉOMENE.
Ce n’eſt point par l’eſpoir d’un ſi charmant ſalaire Que nous nous ſentons animer, Nous ne cherchons qu'à ſatisfaire Aux devoirs d’un amour qui n’oſe pr éſumer Que jamais, quoi qu’il puiſſe faire, Il ſoit capable de vous plaire, Et digne de vous enffâmer.	Ce n'est point par l'espoir d'un si charmant salaire Que nous nous sentons animer, Nous ne cherchons qu'à satisfaire Aux devoirs d'un amour qui n'ose pr èsumer Que jamais, quoi qu'il puisse faire, Il soit capable de vous plaire, Et digne de vous enffâmer.
Vivez, belle Princeſſe, & vivez pour un autre?	Vivez, belle Princesse, et vivez pour un autre?
Nous le verrons d’un œil jaloux, Nous en mourrons, mais d’un trepas plus doux Que s’il nous falloit voir le vôtre;	Nous le verrons d'un œil jaloux, Nous en mourrons, mais d'un trépas plus doux Que s'il nous fallait voir le vôtre;
Et ſi nous ne mourons en vous ſauvant le jour, Quelque amour qu’à nos yeux vous preferiez au nôtre, Nous voulons bien mourir de douleur & d’amour.	Et si nous ne mourons en vous sauvant le jour, Quelque amour qu'à nos yeux vous préfériez au nôtre, Nous voulons bien mourir de douleur et d'amour.
I CHE'.	I CHÉE.
Vivez, Princes, vivez, & de ma Deſtinée Ne ſongez plus à rompre, ou partager la loy:	Vivez, Princes, vivez, et de ma Destinée Ne songez plus à rompre, ou partager la loi:
Je croy vous l’avoir dit, le Ciel ne veut que moi, Le Ciel m’a ſeule condamnée.	Je crois vous l'avoir dit, le Ciel ne veut que moi, Le Ciel m'a seule condamnée.
Je penſe oüir déja les mortels ſifflemens De ſon Miniſtre qui s’approche, Ma frayeur me le peint, me l’offre à tous momens, Et inaitiene qu’elle elt de tous llles rentrinens, Elle me le figure au haut de cette Roche:	Je pense ouïr déjà les mortels sifflements De son Ministre qui s'approche, Ma frayeur me le peint, me l'offre à tous moments, Et inaitène qu'elle alt de tous llles rentrinents, Elle me le figure au haut de cette Roche:
J’en tombe de foibleſſe, & mon cœur abatu Ne ſoûtient plus qu’à peine un reſte de vertu.	J'en tombe de faiblesse, et mon cœur abattu Ne soutient plus qu'à peine un reste de vertu.
A dieu, Princes, fuyez, qu’il ne vous empoiſonne.	À dieu, Princes, fuyez, qu'il ne vous empoisonne.
AGENOR.	AGENOR.
Rien ne s’offre à nos yeux encor qui les étoune, Et quand vous vous peignez un ſi procherrépas, Si la force vous abandonne.	Rien ne s'offre à nos yeux encor qui les étoune, Et quand vous vous peignez un si procherrépas, Si la force vous abandonne.
Nous avons des cœurs & des bras Que l’eſpoir n’abandonne pas.	Nous avons des cœurs et des bras Que l'espoir n'abandonne pas.
Peut-être qu’un Rival a dicté cet Oracle, Que l’or a fait parler celuy qui l’a rendu :	Peut-être qu'un Rival a dicté cet Oracle, Que l'or a fait parler celui qui l'a rendu :
Ce ne ſeroit pas un miracle, Que pour un Dieu muet un Homme eut répondu?	Ce ne serait pas un miracle, Que pour un Dieu muet un Homme eut répondu?
Et dans tous les Climats on n’a que top d’exemples Qu’il eſt ainſi qu’ailleurs des méchãs dans les Tem(ples	Et dans tous les Climats on n'a que top d'exemples Qu'il est ainsi qu'ailleurs des méchants dans les Tembleples
CLEOMENE.	CLÉOMENE.
Laiſſez-nous oppoſer au lâche Raviſſeur, A qui le Sacrilege indignement vous livre, Un amour qu’a le Ciel choiſi pour defenſeur De la ſeule Beauté pour qui nous voulons vivre.	Laissez-nous opposer au lâche Ravisseur, À qui le Sacrilège indignement vous livre, Un amour qu'a le Ciel choisi pour défenseur De la seule Beauté pour qui nous voulons vivre.
Si nous n’oſons pretendre à ſa ponſenion Du moins en ſon peril permettez-nous de ſuivre L’ardeur & les devoirs de nôtre paſſion.	Si nous n'osons prétendre à sa ponsenion Du moins en son péril permettez-nous de suivre L'ardeur et les devoirs de notre passion.
SICHE'.	SICHÉE.
Portez-les à d’autres moy-mêmes, Princes, portez-les à mes Sœurs Ces devoirs, ces ardeurs extrêmes Dont pour moi ſont remplis vos cœurs, Vivez pour elles quand je meurs, Plaignez de mon deſtin les funeſtes rigueurs, Sans leur donner en vous de nouvelles matieres.	Portez-les à d'autres moi-mêmes, Princes, portez-les à mes Sœurs Ces devoirs, ces ardeurs extrêmes Dont pour moi sont remplis vos cœurs, Vivez pour elles quand je meurs, Plaignez de mon destin les funestes rigueurs, Sans leur donner en vous de nouvelles matières.
De fant ines volumten uuidieres, Et l’on a reçeu de tout temps Pour ſouveraines loix les ordres des Mourans.	De fant ines volumten uuidieres, Et l'on a reçu de tout temps Pour souveraines lois les ordres des Mourants.
Princeſſe.	Princesse.
CLEOMENE.	CLÉOMENE.
PSICHE'.	PSICHÉE.
Encor un coup, Princes, vivez pour elles, Tant que vous m’aimerez vous devez m’obeïr;	Encore un coup, Princes, vivez pour elles, Tant que vous m'aimerez -vous devez m'obéir;
Ne me reduiſez pas à vouloir vous hair,	Ne me réduisez pas à vouloir vous haïr,
Et vons regarder en rebelles, A force de m’être fidelles.	Et vons regarder en rebelles, A force de m'être fidèles.
Allez, laiſſez moi ſeule expirer en ce lieu, Où je n’ay plus de voix que pour vous dire Adieu.	Allez, laissez -moi seule expirer en ce lieu, Où je n'ai plus de voix que pour vous dire Adieu.
Mais je ſens qu’on m’enleve, & l’air m’ouvre une rouD’où vous n’entendrez plus cette mourante voix.	Mais je sens qu'on m'enlève, et l'air m'ouvre une rouD'où vous n'entendrez plus cette mourante voix.
te Adieu, Princes, A dieu pour la derniere fois, Voyez ſr de mon ſort vous pouvez etſe en doute.	te Adieu, Princes, A dieu pour la dernière fois, Voyez sr de mon sort vous pouvez etse en doute.
Elle eſt enlevée en l’air par deux Zephires.	Elle est enlevée en l'air par deux Zéphires.
AGENOR.	AGENOR.
rious ia perdons de veuë, allons tous deux chercher Sur le faiſte de ce Rocher, Prinee, ns moyens de la ſuivre.	rious ja perdons de vue, allons tous deux chercher Sur le faîte de ce Rocher, Prinée, ns moyens de la suivre.
CLEOMENE.	CLÉOMENE.
Allons-y chercher ceux de ne luy point ſurvivre.	Allons-y chercher ceux de ne lui point survivre.
SCLNEV L’AMOUR en l'air.	SCLNEU L'AMOUR en l'air.
A Llez mourir, Rivaux d’un Dieu jaloux, Dont vous merittez le courroux, rour avoir eu le cœur ſenſible aux mêmes charmes.	À Llez mourir, Rivaux d'un Dieu jaloux, Dont vous mérittez le courroux, rour avoir eu le cœur sensible aux mêmes charmes.
Et toy, forge, Vulcain, mille brillans attraits Pour orner un Palais, Où l’Amour de Pſiché veut eſſuyer les larmes, Et lui rendre les armes.	Et toi, forge, Vulcain, mille brillants attraits Pour orner un Palais, Où l'Amour de Psiché veut essuyer les larmes, Et lui rendre les armes.
SECOND INTERMEDE.	SECOND INTERMÈDE.
A Scene ſe change en une Cour magnifique, ornée E de Colomnes de Lapis enrichies de Figures d’or, qui forment un Palais pompeux & brillant, que l’Amour deſtine pour Pſiché.	À Scène se change en une Cour magnifique, ornée E de Colomnes de Lapis enrichies de Figures d'or, qui forment un Palais pompeux et brillant, que l'Amour destine pour Psiché.
Six Cyclopes avec quatre Fées y ſout une Entrée de Ballet, où il ac hevent en cadence quatre gros Vaſes d’argent que les Fées leur ont apportez.	Six Cyclopes avec quatre Fées y sout une Entrée de Ballet, où il ac hèvent en cadence quatre gros Vases d'argent que les Fées leur ont apportez.
Cette Entrée eſt entrecoupée par ce Recit de Vu!	Cette Entrée est entrecoupée par ce Recit de Vu!
cain, qu’il fait à deux repriſes.	cain, qu'il fait à deux reprises.
Epêchez, preparez ces lieux D Pour le plus aimables des Dieux.	Epêchez, préparez ces lieux D Pour le plus aimables des Dieux.
Que chacun pour lui s’intereſſe, N’oubliez rien des ſoffs qu’il faut;	Que chacun pour lui s'intéresse, N'oubliez rien des soffs qu'il faut;
Quand l’amour preſſe, On n’a jamais fait aſſez tôt.	Quand l'amour presse, On n'a jamais fait assez tôt.
48 ταση L’amour ne veut point qu’on differe, Travaillez, hatez-vous, Frappez, redoublez vos coups;	48 > L'amour ne veut point qu'on diffère, Travaillez, hâtez-vous, Frappez, redoublez vos coups;
Que l’ardeur de luy plaire Faſſe vos ſoins les plus doux.	Que l'ardeur de lui plaire Fasse vos soins les plus doux.
SECOND COUPLET.	SECOND COUPLET.
Ervez bien un Dieu ſi charmant, Al Il ſe plait dans T’emprenement, Que chacun pour lui s’intereſſe.	Ervez bien un Dieu si charmant, Al Il se plaît dans T'éprenement, Que chacun pour lui s'intéresse.
N’oubliez rien des ſoins qu’il faut:	N'oubliez rien des soins qu'il faut:
Quand l’amour preſſe, On n’a jamais fait aſſez-tôt.	Quand l'amour presse, On n'a jamais fait assez-tôt.
g M L’Amour ne veut point qu’on differe, Travaillez, &c.	guère , TRAmour ne veut point qu'on diffère, Travaillez, etc.
ROTE II.	ROTE II.
SGG PREMIERE.	SGG PREMIÈRE.
L’AMOUR, ZEPHIRE.	L'AMOUR, ZÉPHIRE.
ZEPHIRE.	ZÉPHIRE.
UY, je me fuis galamment acquité De la commiſſion que vous m’avez donnée, Et du haur du Rocher je l’ay, cette Beauté, Par le milieu des airs doucement amenée.	UY, je me fuis galamment acquité De la commission que vous m'avez donnée, Et du haur du Rocher je l'ai, cette Beauté, Par le milieu des airs doucement amenée.
Dans ce beau Palais enchanté, Où vous pouvez en liberté Diſpoſer de ſa Deſtinée:	Dans ce beau Palais enchanté, Où vous pouvez en liberté Disposer de sa Destinée:
Mais vous me ſurprenez par ce grand changement Qu’en vôtre perſonne vous faïtes;	Mais vous me surprenez par ce grand changement Qu'en votre personne vous faïtes;
Cette taille, ces traits, & cet ajuſtement, Cachent tout-à fait quę vous êtes, ( Et je donne aux plus fins à pouvoir en ce jour Vous reconnoître pour l’Amour.	Cette taille, ces traits, et cet ajustement, Cachent tout-à fait qu' vous êtes, ( Et je donne aux plus fins à pouvoir en ce jour Vous reconnaître pour l'Amour.
L’AMOUR.	L'AMOUR.
Auſſi ne veux-je pas qu’on puiſſe me connoître, Je ne veux à Pſiché que découvrir mon cœur, Rien que les beaux tranſports de cette vive ardeur Que ſes doux charmes y font naître?	Aussi ne veux-je pas qu'on puisse me connaître, Je ne veux à Psiché que découvrir mon cœur, Rien que les beaux transports de cette vive ardeur Que ses doux charmes y font naître?
Et pour en ex primer l’amoureuſe langueur, Et cacher ce que je puis être Aux veux qui m’impoſent des loix, J’ay pris la forme que tu vois.	Et pour en ex primer l'amoureuse langueur, Et cacher ce que je puis être Aux veux qui m'imposent des lois, J'ai pris la forme que tu vois.
ZEPHIRE.	ZÉPHIRE.
En tout vous êtes un grand Maître, C’eſt icy que je le connois.	En tout vous êtes un grand Maître, C'est ici que je le connais.
Sous ces déguiſemens de diverſes nature On a veu les Dieux amoureux Chercher à ſoulager cette douce bleſſure Que reçoivent les cœurs de vos traits pleins de feux:	Sous ces déguisements de diverses nature On a vu les Dieux amoureux Chercher à soulager cette douce blessure Que reçoivent les cœurs de vos traits pleins de feux:
Mais en bon ſens yous l’emportez ſur eux, Et voila la bonne figure Pour avoir un ſuccez heureux, Pres de l’aimable Sexe où l'on porte ſes vœux, Oüi, de ces foimes la l’aſiſitance eſt bien forte, Et ſans parler ny de rang, ny d’eſprit, Qui peut trouver moyen d’être fait de la ſorte, Ne ſoûpire guere à credit.	Mais en bon sens yous l'emportez sur eux, Et voilà la bonne figure Pour avoir un succès heureux, Pres de l'aimable Sexe où l'on porte ses vœux, Oui, de ces faimes la l'asisitance est bien forte, Et sans parler ni de rang, ni d'esprit, Qui peut trouver moyen d'être fait de la sorte, Ne soupire guère à crédit.
L'AMOUR.	L'AMOUR.
J’ay reſolu, mon chei Zephire, De demeurer ainſi toûjours, Et l’on ne peut trouver à redire A l’aîné de tous les A mours.	J'ai résolu, mon chey Zéphire, De demeurer ainsi toujours, Et l'on ne peut trouver à redire À l'aîné de tous les A mours.
Il eſt tems de ſortir de cette longue enfance Qui fatigue ina patience, Il eſt tems deſorn ais que je devienne grand.	Il est temps de sortir de cette longue enfance Qui fatigue ina patience, Il est temps désorn ais que je devienne grand.
ZEPHIRE.	ZÉPHIRE.
Fort-bien, vous ne pouvez mieux faire, Et vous entrez dans un miſtere.	Fort-bien, vous ne pouvez mieux faire, Et vous entrez dans un mystère.
Qui ne demande rien d’enfant.	Qui ne demande rien d'enfant.
L'AMOUR.	L'AMOUR.
Ce changement ſans doute irritera ma Mere.	Ce changement sans doute irritera ma Mère.
ZEPHIRE.	ZÉPHIRE.
Je prévoy là deſſus quelque peu de colere.	Je prévois là -dessus quelque peu de colère.
Bien que les diſputes des ans Ne doivent point regner parmy des Immortelles, Vôtre Mere Venus eſt de l’humeur des Belles Qui n’aiment point de grands enfans.	Bien que les disputes des ans Ne doivent point régner parmi des Immortelles, Votre Mère Venus est de l'humeur des Belles Qui n'aiment point de grands enfants.
Mais où je la trouve outragée, C’eſt dans le procedé que l’on vous voit tenir, Et c’eſt l’avoir étrangement vangée, Que d’aimer la Beaute qu’enle vouion puntr.	Mais où je la trouve outragée, C'est dans le procédé que l'on vous voit tenir, Et c'est l'avoir étrangement vengée, Que d'aimer la Beaute qu'enle vouion puntr.
