An Iem ay Chez CLAVDE LE VILLAIN, Libraite, & Relieur du ROY, ruë du Bec, à la bonne Renommée.	An Iem ai Chez CLAUDE LE VILLAIN, Libraite, et Relieur du ROY, rue du Bec, à la bonne Renommée.
CheZ elle tu verras la beauté dans ſa gloire, Qui ſurmente deſlors tout cela que l’hiſtoire Autres ſois eſcriuoit:	CheZ elle tu verras la beauté dans sa gloire, Qui surmente délors tout cela que l'histoire Autres sois écrivait:
Nature en ces beaux yeux aamire ſon ouurage Et la Voyant on void L’eſpoir des temps paſſeZ, & l’hõneur de noſtre Ainſi luy dit ſon pere:	Nature en ces beaux yeux aamire son ouvrage Et la Voyant on voit L'espoir des temps passés, et l'honneur de notre Ainsi lui dit son père:
& deſlors s’abandonne, A ſuiure le deſſain que ſa raiſon luy donne De reformer ces vers, Il s’en vint dõc reuoir les coupeaux de Menalle, Où d’vn ſtille diuers Il fait ainſi parler ſa chere Paſtoralle.	et délors s'abandonne, A suivre le dessain que sa raison lui donne De réformer ces vers, Il s'en vint dõc revoir les coupeaux de Menalle, Où d'un stille divers Il fait ainsi parler sa chère Pastorale.
ENTRE-PARLEVRS, OV ACTEVRS.	ENTRE-PARLEURS, OU ACTEURS.
HYLAS, Berger.	HYLAS, Berger.
LYCORIS, Bergere.	LYCORIS, Bergère.
DORALIS, Berger.	DORALIS, Berger.
MYRTHINE, Bergere.	MYRTHINE, Bergère.
DAMON, Berger.	DAMON, Berger.
PHILIRIS, Bergere.	PHILIRIS, Bergère.
PAN, Dieu d’Arcadie.	PAN, Dieu d'Arcadie.
MESSAGER, de Pan.	MESSAGER, de Pan.
SATIRE.	SATIRE.
THIRSIS, Paſteur.	THIRSIS, Pasteur.
ARCADIN, Bouuier.	ARCADIN, Bouvier.
MESSAGER, des Bergers.	MESSAGER, des Bergers.
CHOEVR.	CHOEUR.
E- – a -- –	E- âme a --on
342	342
ACTE PREMIER SCENE PREMIERE.	ACTE PREMIER SCÈNE PREMIÈRE.
Fhiliris.	Fhiliris.
Doralis.	Doralis.
Lycoris.	Lycoris.
Philiris.	Philiris.
Auois bien dit que ce libre courage, Qui ſe vantoit exẽpt de tout ſeruage.	Avais bien dit que ce libre courage, Qui se vantait exempt de tout servage.
Se verroit mettre à la fin en priſon, Et qu'vn bel œil en feroit la raiſon:	Se verrait mettre à la fin en prison, Et qu'un bel œil en ferait la raison:
Ie ſuis Prophete, & m’eſt fort agreable, xut mon auub s eſptroune remtavle, Et que l’amour qui dompte les grands Rois, Ait peu ſous-mettre vn Berger ſous ſes loix.	Je suis Prophète, et m'est fort agréable, xut mon auubre éptroune remavle, Et que l'amour qui dompte les grands Rois, Ait peu sous-mettre un Berger sous ses lois.
Doralis.	Doralis.
Sage Caſſandre en ma perte aduenuë, Tu diſoit vray, mais tu n’eſtois pas creuë, Car i’euſſe dit que pluſtoſt les raiſins Euſſent meuryſur ces cheſnes voiſins, Et que le gland, donc nos premiers anceſtres Se nourriſſoyent, euſt creu dedans ces Heſtres, Que de l’amour i’euſſe ſenti l’effort, Et cependant ie me trompois bien fort.	Sage Cassandre en ma perte avenue, Tu Toit vrai, mais tu n'étais pas crue, Car j'eusse dit que plutôt les raisins Eussent meurysur de chênes voisins, Et que le gland, donc nos premiers ancêtres Se nourrissaient, eût cru dedans ces Hères, Que de l'amour j'eusse senti l'effort, Et cependant ie me trompais bien fort.
Philiris.	Philiris.
Es-tu marry qu'vne fille ait la gloirs, De remporter ſur toncaurta vllivirt:	Es-tu marri qu'une fille ait la gloirs, De remporter sur toncaura vllirt:
Doralis.	Doralis.
Si l’on traittoit l’Amour, comme autresfois, On le traittoit ſous l’ombre de ces bois, Ie me rendrois fort coupable de blame, Qu'vn repentir accompagnat ma flame, Mais ceſt Amour n’ayant plus rien, ſinon De l’Amour ſaint que l’ombre, & que le nom, Se ſeroit eſtre & ſans cœur, & ſans veuë, Qui ne plaindroit ſa liberté perdue.	Si l'on traitait l'Amour, comme autrefois, On le traitait sous l'ombre de ces bois, Je me rendrais fort coupable de blâme, Qu'un repentir accompagnât ma flamme, Mais cest Amour n'ayant plus rien, sinon De l'Amour saint que l'ombre, et que le nom, Se serait êtreus le cœur, et sans vue, Qui ne plainrait sa liberté perdue.
Au premier temps de ces champs habiteZ, Que les Paſteurs ne hantoyent aux CiteZ, Et que les grands quittant leurs cours ſuperbes, N’auoyent foulé nos champs tapiſſeZ d’herbes, Dans le profond des plus ſauuages bois, Sous la fraiſcheur des Antres les plus cois, Sans que la fraude abuſaſt la ſimpleſſe, L’amant alloit ſeul auec ſa Maiſtreſſe:	Au premier temps de ces champs habitez, Que les Pasteurs ne hantaient aux CiteZ, Et que les grands quittant leurs cours superbes, N'avaient foulé nos champs tapissez d'herbes, Dans le profond des plus sauvages bois, Sous la fraîcheur des Antres les plus cois, Sans que la fraude abusât la simplesse, L'amant allait seul avec sa Maîtresse:
, Car la rigueur, la mort des beaux deſirs, Qui va ſeichant la fleur de nos plaiſirs, N’auoit apris à la gent toute pure, De refuſer ce qu’offroit la Nature:	, Car la rigueur, la mort des beaux désirs, Qui va séichant la fleur de nos plaisirs, N'avait appris à la gent toute pure, De refuser ce qu'offrait la Nature:
On ne ſçauoit que c’eſtoit que tromper, Ny par ſerment l’innocence attraper:	On ne savait que c'était que tromper, Ni par serment l'innocence attraper:
Les feinte ſouſpirs, ny la trompeuſe plainte,	Les feinte soupirs, ni la trompeuse plainte,
Taltorale.	Taltorale.
De l’eſtomachne ſortoient par contrainte:	De l'estomacne sortaient par contrainte:
Les triſtes pleurs par la force tireZ Du cœur non triſte, eſtoyent lors ignoreZ, Tout eſtoit ſaint, l’amitié non maſquée, L’art n’ayant point la nature offuſquée.	Les tristes pleurs par la force tirez Du cœur non triste, étaient lors ignorez, Tout était saint, l'amitié non masquée, L'art n'ayant point la nature offusquée.
O ſiecle d’or, ſiecle qui n’as laiſſé Rien qu'vn regret, d’eſtre ſi toſt paſſé!	Ô siècle d'or, siècle qui n'as laissé Rien qu'un regret, d'être si tôt passé!
23 Las pauure moy!	23 Las pauvre moi!
moy triſte & miſerable!	moi triste et misérable!
Que ne viuois-ie en ce temps agreable?	Que ne vivais-je en ce temps agréable?
Sans qu'vn deſtin ſeuere & rigoureux, Me reſeruaſt ceſtuy-cy malheureux?	Sans qu'une destin sévère et rigoureux, Me réservât celui-cy malheureux?
Ceſtuy-cy dis-ie où la foy tant priſée.	Cestuy-cy dis-je où la foi tant prisée.
En ces vieux ans, ne ſert que de viſée:	En ces vieux ans, ne sert que de visée:
Où la vertu, l’amour, e la bonté, Cedent au vice, impudent effronté;	Où la vertu, l'amour, eu la bonté, Cédent au vice, impudent effronté;
Qui triomphant ſur la ſimple innocence, Donne aux meſchans des bons la recompenſe?	Qui triomphant sur la simple innocence, Donne aux méchants des bons la récompense?
Mais las que ſert de nous en ſouuenir, Puis que ce temps ne ſçauroit reuentr:	Mais las que sert de nous en souvenir, Puis que ce temps ne saurait reventr:
Des Cieux luiſans l’ordonnance eternelle, Ne changera nos ans, pour ma querelle.	Des Cieux luisants l'ordonnance éternelle, Ne changera nos ans, pour ma querelle.
» Quand ces foreſts deſpoüillent leurs habits, » Et que ces pleurs terniſſent leurs rubis, " Quand des Aigneaux on va tondant la robe, „ Le temps leger l’eſpoir ne nous deſrobe » De leur reuoir leurs treſors emporteZ " Car l’an ſuiuant rameipe leurs beauteZ „ Mais la ſaiſon dont nous pleurons la perte,  Iamais par nous neſera recouuerte.	" Quand ces forêts despoüillent leurs habits, " Et que ces pleurs ternissent leurs rubis, " Quand des Aigneaux on va tondant la robe, „ Le temps léger l'espoir ne nous dérobe " De leur revoir leurs trésors emportez " Car l'an suivant ramipe leurs beautés „ Mais la saison dont nous pleurons la perte, Jamais par nous nesera recouuerte.
Il vaut donc mieux mes plaintes épargner Pour ces beaux yeux, qui les miẽs font baigner D'vn pleur amer:	Il vaut donc mieux mes plaintes épargner Pour ces beaux yeux, qui les miens font baigner D'un pleur amer:
pour cette beauté dure, Qui mille ennuis tous les iours me procure:	pour cette beauté dure, Qui mille ennuis tous les jours me procure:
Et cependant ne croit que ſa pitié Soit neceſſaire à ma ferme amitié;	Et cependant ne croit que sa pitié Soit nécessaire à ma ferme amitié;
Car ma voix triſte eſtouffée en ma crainte, N’a iamais dit le ſujet de ma plainte:	Car ma voix triste étouffée en ma crainte, N'a jamais dit le sujet de ma plainte:
Craignant helas que le luy declarant, Le foible eſprit en mon cœur demeuranf, Ne m’abandonne, alors que ſa colere Vn dur reſus me rendra pour ſalaire.	Craignant hélas que le Roi déclarant, Le faible esprit en mon cœur demeuranf, Ne m'abandonne, alors que sa colère Un dur ressus me rendra pour salaire.
Mais ſi faut-il encourager mon cœur, Pour deſcouurir ſa mortelte tangueur, Car außi bien ie meurs en ce martire Cent fois le iour, à faute de le dire.	Mais si faut-il encourager mon cœur, Pour découvrir sa mortelte tangueur, Car aussi bien ie jour en ce martyre Cent fois le jour, à faute de le dire.
Philiris.	Philiris.
Tunejgamontes douleurs augmenter, En obligeant ta bouche à les conter:	Tunejamontes douleurs augmenter, En obligeant ta bouche à les conter:
Tout au rebours, on allege ſa peine, Quand on la dit à ſa douce inhumaine.	Tout au rebours, on allege sa peine, Quand on la dit à sa douce inhumaine.
Doralis.	Doralis.
I'y ſuis contraint:	J'y suis contraint:
que puiſſay-ie mourir!	que puissai-je mourir!
Si ton deſſain n’eſt de me ſecourir!	Si ton dessain n'est de me secourir!
Chaſte Bergere aide moy ie te prie,	Chaste Bergère aide moi -moi te prie,
Hors Hors du Tombeau tu tireras ma vie.	Hors Hors du Tombeau tu tireras ma vie.
Ha ie l’auiſe!	Ha ie appare!
elle va conduiſant Son gras troupeau dans ce Bocquet plaiſant.	elle va conduisant Son gras troupeau dans ce Bocquet plaisant.
Fiere Beauté quand & toy tu m’ameines Pour s’y nourrir dans mon cœur mille peihes!	Fière Beauté quand et toi tu m'amines Pour s'y nourrir dans mon cœur mille péihes!
Combien qu’abſent de ton œil qui me luit, Ie ſois touſiours ſous l’eternelle nuit.	Combien qu'absent de ton œil qui me luit, Je sois toujours sous l'éternelle nuit.
O ſeul honneur de ceſte Iſle, où nous ſommes, Seul Paradis de l’amour, & des hommes!	Ô seul honneur de cette Isle, où nous sommes, Seul Paradis de l'amour, et des hommes!
O Lycoris, quel fauorable Dieu, Quel aſtre heureux vous conduit en ce lieu?	Ô Lycoris, quel favorable Dieu, Quel astre heureux vous conduit en ce lieu?
Certainement ceſte foreſt s’incline, Pour ſaluer voſtre beauté diuine, Et ces Coſtaux roſtis par les chaleurs, En tum rujaniſt jer pan Caa ſualrss Et le Soleil qui couuroit de nuage Ses cheueux d’or, nous monſtre ſon viſage.	Certainement cette forêt s'incline, Pour saluer votre beauté divine, Et ces Costaux rôtis par les chaleurs, En tum rujanist jer jan Ca suals Et le Soleil qui couvrait de nuage Ses cheveux d'or, nous montre son visage.
Lycoris.	Lycoris.
Cher Doralis, c'eſt la commune foy Que ces honneurs n'appartiennent qu’a toy.	Cher Doralis, c'est la commune foi Que ces honneurs n'appartiennent qu'a toi.
C’eſt toy, qui faits qu’on priſe l'Arcadie, Et que par tout ſes loüanges on die, Car tes beaux châts, qui n’ont point leur pareil, Ont affranchy noſtré nom du cercueil.	C'est toi, qui faits qu'on prise l'Arcadie, Et que par tout ses louanges on die, Car tes beaux châts, qui n'ont point leur pareil, Ont affranchi nostré nom du cercueil.
Et ſi le bruit de noſtre gloire vole, Nous le deuons au vent de ta parole, Qui bien que digne à chanier les grands Rois, Daigne exalter les Nymphes de ces bois;	Et si le bruit de notre gloire vole, Nous le devons au vent de ta parole, Qui bien que digne à chanier les grands Rois, Daigne exalter les Nymphes de ces bois;
C’eſt toy l’orphée, apres qui vont les arbres, Comme Amphion tu donnes vie aux marbres, Et ces rochers, ces antres, & ces eaux, Sont trop heureux d’heberger tes iroupeaux;	C'est toi l'orphée, après qui vont les arbres, Comme Amphion tu donnes vie aux marbres, Et ces rochers, ces antres, et ces eaux, Sont trop heureux d'héberger tes oupeaux;
Bien que ce ſiecle, ingrat s’il en peut eſtre, Iuſqu’a preſent ne l’ait peu reconnoiſtre.	Bien que ce siècle, ingrat s'il en peut être, Jusqu'a présent ne l'ait peu reconnaître.
Doralis.	Doralis.
O que ma voix attaignit les degreZ, Où ſont monteZ ces deux Chantres ſacreZ!	Ô que ma voix attaignit les dégrez, Où sont montez ces deux Chantres sacrés!
Non pour dompter les Feres inbumaines, Non pour baſtir les murailles Thebaines, Mats pour contraindre vn courage endurcy, Par mes chanſons à me prendre à mercy.	Non pour dompter les Fères inbumaines, Non pour bâtir les murailles Thebaines, Mats pour contraindre un courage endurci, Par mes chansons à me prendre à merci.
Lycoris.	Lycoris.
Pourroit vn cœur durcir à ta priere?	Pourrait un cœur durcir à ta prière?
Ie ne le croy:	Je ne le crois:
elle ſeroit bien fiere, Qui te pouuant vn remede apporter, Prendroit plaiſir à te voir tourmenter.	elle serait bien fière, Qui te pouvant un remède apporter, Prendrait plaisir à te voir tourmenter.
Caauis conite nouxs pergen le le juppiie, Quel eſt l’objet par qui l’amour te lie, Ma ſœur & moy peut eſtre pourrions bien L’induire vn iour à te vouloir du bien.	Caavis conite nouxs pergen le le jupiie, Quel est l'objet par qui l'amour te lie, Ma sœur et moi peut être pourrions bien L'induire un jour à te vouloir du bien.
Philiris.	Philiris.
Nous en auons & vouloir, & puiſſance, Cer ſa durté meſmement nous offence.	Nous en avons et vouloir, et puissance, Cer sa durté mêmement nous offense.
*– -	 *
Doralis.	Doralis.
Vous le pouueZ ie n’en veux pas douter;	Vous le pourvez ici n'en veux pas douter;
Mais ie voudrois auant que le compter, Tirer de vous aſſeurance certaine, De ne vous feindre à ſoulager ma peine.	Mais fort voudrais avant que le compter, Tirer de vous assurance certaine, De ne vous feindre à soulager ma peine.
Lycoris.	Lycoris.
Ie te le iure, & Pan qui prend le ſoin De nos troupeaux, m’en puiſſe eſtre teſmoin,	Je te le jure, et Pan qui prend le soin De nos troupeaux, m'en puisse être témoin,
Philiris.	Philiris.
Iete proteſte, an triple nom de celle A qui i’ay fait le vœu d’eſtre pucelle,	Jette proteste, an triple nom de celle À qui j'ai fait le vœu d'être pucelle,
EſcouteZ donc.	Écoutez donc.
Doralis.	Doralis.
Lycoris.	Lycoris.
Pourſuy nous t'entendon.	Poursui nous t'entendon.
Doralis.	Doralis.
Quand ie paſſay le fleuue de Ladon, Pour contenter mon deſir, & l’enuie, I’auois compté trois luſtres de ma vie, Exempt d'Amour, exempt de ſa priſon:	Quand ie passai le fleuve de Ladon, Pour contenter mon désir, et l'envie, J'avais compté trois lustres de ma vie, Exempt d'Amour, exempt de sa prison:
Il n’auoït peu ſurmonter ma raiſon.	Il n'auoït peu surmonter ma raison.
Non que mes yeux n’euſſent veu mainte fille, Et mainte Nymphe, à la grace gentille;	Non que mes yeux n'eussent vu mainte fille, Et mainte Nymphe, à la grâce gentille;
