Le tout enrichy de pluſieurs belles remarques, mumunerans;	Le tout enrichi de plusieurs belles remarques, mumunérants;
Et comme l’object des belles choſes eſt la Calamithe des cœurs, l’Oreade, l’Aſtre aſcendant de la Cour n’y fut pas ſix mois entiers que lesplus genereux Caualiers receurẽt par ſimpathie, les influances de ſon Amour.	Et comme l'object des belles choses est la Calamithe des cœurs, l'Orefrade, l'Astre ascendant de la Cour n'y fut pas six mois entiers que lesplus généreux Cavaliers receurẽt par sympathie, les influances de son Amour.
Merueille!	Merveille!
Ce Soleil bruſle en ſon leuant, & ſes rayons ſont les dards qui navrent les courages plus fermes.	Ce Soleil brûle en son levant, et ses rayons sont les dards qui navrent les courages plus fermes.
Aux vns il reueil le les paſſions;	Aux uns il réveil le les passions;
aux autres il rengrege leurs vieilles playes.	aux autres il rengrége leurs vieilles plaies.
Mais par vne reflexiõ de chaleur, ſesflãmes eſchauffẽtpluſtoſt leshauts monts que les baſſes vallees.	Mais par une reflexiõ de chaleur, sesflammes eschauffẽtplustost leshauts monts que les basses vallées.
Le fils du Prince de Turlin le plus releué d’entre ceux de ſon temps en reſſentit les effects & les coups.	Le fils du Prince de Turin le plus relevé d'entre ceux de son temps en ressentit les effets et les coups.
Heure uſes bleſſeures, ſi les yeux de la guerriere qu’il ayme le vouloient auſſi bien guerir qu’offencer!	Heure uses blessures, si les yeux de la guerrière qu'il aime le voulaient aussi bien guérir qu'offenser!
Ce pauure Amant renforce ſa conſtance parmy les deſdains de ſa Dame;	Ce pauvre Amant renforce sa constance parmi les dédains de sa Dame;
mais les preuues de ſon Amour luy ſont autant de refus;	mais les preuves de son Amour Prince sont autant de refus;
ſes ardeurs de glaçons, & ſes trauaux de trophees.	ses ardeurs de glaçons, et ses travaux de trophées.
L’humeur de l’Oreade n’eſt point encore façonnee aux myſteres d’Amour;	L'humeur de l'Oreade n'est point encore façonnée aux mystères d'Amour;
elle ſçait mieux bleſſer qu’apporter du remede au mal;	elle sait mieux blesser qu'apporter du remède au mal;
& ſi elle offence les Cœurs c’eſt innocemment.	et si elle offense les Cœurs c'est innocemment.
Les lieux écartez & ſollitaires ſont les plus propres à ſa retraite.	Les lieux écartés et sollitaires sont les plus propres à sa retraite.
C’eſt la où ceſte Diane fait la guerre aux beſtes, & à la Cour aux Amans;	C'est la où cette Diane fait la guerre aux bêtes, et à la Cour aux Amants;
auſquels elle eſt inexorable.	aussi elle est inexorable.
Tandis que cecy ſe paſſoit à la Cour comjet à reuolurion, & alteré par le temps, il aduint que le Peré de l’Oreade mourut.	Tandis que ceci se passait à la Cour comjet à révolurion, et altéré par le temps, il advint que le Péré de l'Oreade mourut.
Le temps ne me permettroit iamais, & meſme ce ſeroit en vain que ie rapporterois icy les pleurs que ſa fille reſpandit.	Le temps ne me permettrait jamais, et même ce serait en vain que je rapporterais ici les pleurs que sa fille répandit.
Il me ſuffit de dire pour abreger noſtre hiſtoire qu’vn an apres ceſte mort, l’Oreade ennuyee de l’eſtrange façon de viure qui ſe pratique à la Court, & deſirant de contenter le reſte de ſes iours auec vne honneſte liberté, demanda permiſſion à la Royne de s’en retourner au mont Olympe;	Il me suffit de dire pour abréger notre histoire qu'un an après cette mort, l'Oreade ennuie de l'étrange façon de vivre qui se pratique à la Court, et désirant de contenter le reste de ses jours avec une honnête liberté, demanda permission à la Royaine de s'en retourner au mont Olympe;
ce qu’elle luy acordavo lontiers.	ce qu'elle avait acordavo lontiers.
CLEANT.	CLÉANT.
Arreſtez ie vous prie, Philodice, & premier que paſſer outre, faites en ſorte que ie ſçache vn peu de vous, quelle eſt cette vie de la Cour que vous nommez eſtrãge, & qui fut cauſe, à ce que vous dites, que l’Oreade en retira ſes affections, lors qu’elles y ſembloient eſtre plus engagees.	Arrêtez fois vous prie, Philodice, et premier que passer outre, faites en sorte que ie éclache un peu de vous, quelle est cette vie de la Cour que vous nommez étrange, et qui fut cause, à ce que vous dites, que l'Oreade en retira ses affections, lors qu'elles y semblaient être plus engage.
PHILOD.	PHILOD.
Quoy?	Quoi?
Cleanthe, ſe peut-il bien faire que Ie naturel de ce Prothee changeant, vous ſoit incogneu?	Cléanthe, se peut-il bien faire que Je naturel de ce Prothée changeant, vous soit inconnu?
Auez vous donc veſcu iuſques à preſent ſans auoir appris comme on ſe gouuerne aux Palais des Grands?	Avez -vous donc vécu jusqu' à présent sans avoir appris comme on se gouverne aux Palais des Grands?
CLEANT.	CLÉANT.
Il me ſeroit bien difficile d’en dire quelque choſe (Philodice) n’ayant iamais.	Il me serait bien difficile d'en dire quelque chose (Philice) n'ayant jamais.
changé d’air ny de condition Et s’il eſt ainſi (comme ie m’en doute) qu’hors de nos hameaux il y ait vne vie importune & penible, ie rends graces à Pan, & aux autres Dieux, de ce qu’ils n’ont pas vouſu permettre que l'en aye gouſté l’amertume.	changé d'air rien de condition Et s'il est ainsi (comme tu m'en doute) qu'hors de nos hameaux il y ait une vie importune et pénible, je rends grâces à Pan, et aux autres Dieux, de ce qu'ils n'ont pas vous permettre que l'en aie goûté l'amertume.
PHILOD.	PHILOD.
Bien donc (Cleanthe) puis que noüs ſommes tumbees ſur ce diſcours, il ſeroit dommage de paſſer ſoubs ſilence vne matiere que vous ſerez biẽ-aiſe d’oüir.	Bien donc (Cleanthe) puis que nus sommes tumbes sur ce discours, il serait dommage de passer soubs silence une matière que vous serez bienne-aise d'oüir.
Et quoy que l’heure jà tardifue deuſt haſter noſtre retour, ſi faut-il pourtant que ce recit nous retienne vn peu.	Et quoi que l'heure jà tardifue dût hâter notre retour, si faut-il pourtant que ce récit nous retienne un peu.
La vie de la Cour, chere compagne, eſt autant differente de celle de nos Bergers, que les roſiers le ſont des chardons, ou ſi vous voulez, vne de ces vallees comparée à noſtre mont Olympe.	La vie de la Cour, chère compagne, est autant différente de celle de nos Bergers, que les rosiers le sont des chardons, ou si vous voulez, une de ces vallées comparée à notre mont Olympe.
Car en ces lieux champeſtres & bocagers nous y viuons ſans artifice & ſans fard.	Car en ces lieux champêtres et bocagers nous y vivons sans artifice et sans fard.
Les affections des Bergers auec leurs Bergeres y ſont ſi naifues qué les effects ſemblent deuancer leurs paroles.	Les affections des Bergers était leurs Bergères y sont si naifues qué les effets semblent devancer leurs paroles.
La diſſimulation ne treuue point de place entr’eux, ny la ialouſie, ny l’enuie;	La dissimulation ne trouve point de place entr'eux, ni la jalousie, toujours l'envie;
& ie me ſouuiẽ qu’eſtant encore en bas aage, i’ouy dire à Theoriſte le plus ancien de nos Preſtres, que iadis lors qu’vne certaine Deité, qu’il nommoit Pandore, reſpandit ſur terre tous les maux qu’elle tenoit enclos dans vne boëte, les hameaux deſtinez à noſtre ſejour furent les ſeuls qu’elle exempta de ces fleaux.	et même me souvient qu'étant encore en bas aage, j'oui dire à Théoriste le plus ancien de nos Prêtres, que jadis lors qu'une certaine Dité, qu'il nommait Pandore, répandit sur terre tous les maux qu'elle tenait enclos dans une boète, les hameaux destinez à notre séjour furent les seuls qu'elle exempta de ces fléaux.
Auſſi pour eternelle reconnoiſſance de ce bienfait, nous n’auons iamais failly de ſolemniſer les feſtes de Pales;	Aussi pour éternelle reconnaissance de ce bienfait, nous n'avons jamais failli de solenniser les fêtes de Pales;
de faire des Sacrifices à Ceres;	de faire des Sacrifices à Ceres;
ny d’offrir à la mere Cybele les premices des fruicts.	Ne d'offrir à la mère Cybele les prémices des fruits.
Voy la pourquoy les Dieux beniſſent le labeur de nos mains, parce que la pieté nous eſt recommandable en leur endroict, & la Iuſtice enuers nos prochains.	Vois la pourquoi les Dieux bénissent le labeur de nos mains, parce que la piété nous est recommandable en leur endroit, et la Justice envers nos prochains.
Mais tout le contraire auient à la Cour, où pour viure en honneur dans le monde, pluſieurs eſtiment qu’il faille dementir l’equité, croire qu’il n’eſt point de religion, flatter, les vicieux en leur vice, deguiſer ſon lumeur, eſtimer toutes choſes indiferentes, trahir l’amitié, ſe meconnoiſtre en ſa condition, vſer de menſonge à blaſmer, d’inuentiõ à quereller, de blaſpheme à ſe pariurer, & bref, porter les oreilles de Mydas, les yeux d’Argus, & les couleurs du Cameleon.	Mais tout le contraire avient à la Cour, où pour vivre en honneur dans le monde, plusieurs estiment qu'il faille démentir l'équité, croire qu'il n'est point de religion, flatter, les vicieux en leur vice, déguiser son lumeur, estimer toutes choses indiférentes, trahir l'amitié, se méconnaître en sa condition, user de mensonge à blâmer, d'inuentiõ à quereller, de blâme à se parjurer, et bref, porter les oreilles de Mydas, les yeux d'Argus, et les couleurs du Came.
Le trauail que les Bergers employent emmy les chãps, tant à cultiuer la terre, & auoir ſoing de leurs troupeaux qu’à faire meſtier d’Artiſans, leur acquiert auec le temps d’honneſtes moyens pour s’entretenir.	Le travail que les Bergers emploient emmy les chans, tant à cultiver la terre, et avoir soing de leurs troupeaux qu'à faire métier d'Artisans, leur acquiert avec le temps d'honnêtes moyens pour s'entretenir.
Il n’en eſt pas de meſme des Courtiſans, leſquels apres auoir conſommé leur ſueur & leurs biens au ſeruice des Grands, n’embraſſent le plus fouuent qu’vne nuë au lieu d’vne vraye Iunon, & ſelon le prouerbe, s’amuſent à peſcher auec vn hameçon d’or;	Il n'en est pas de même des Courtisans, lesquels après avoir consommé leur sueur et leurs biens au service des Grands, n'embrassent le plus fouuent qu'une nue au lieu d'une vraie Junon, et selon le prouerbe, s'amusent à pêcher avec un hameçon d'or;
comme s’ils ne voyoient pas que ceux qui tiennent quelque rang en ce lieu en ſont plus redeuables à la fortune qu'à	comme s'ils ne voyaient pas que ceux qui tiennent quelque rang en ce lieu en sont plus redevables à la fortune qu'à
CLEANT.	CLÉANT.
Cette vie ne me plairoit gueres;	Cette vie ne me plaierait guère;
Philodice, & ie vous iure bien pour moy, que s’il me faloit manger le mien à la Cour ſans en tirer du profit, ie n’attendrois pas qu’on me donnaſt mon congé.	Philodice, pas ie me jure bien pour moi, que s'il me fallait m le mien à la Cour sans en tirer du profit, ils n'attendrais pas qu'on me donnât mon congé.
Car ie ne treuue point qu’il ſoit temps de fermer l’eſtable quand les cheuaux en ſont dehors, ny de faire dietté ſans eſtre malade, apres auoir tout mangé.	Car ie ne trouve point qu'il soit temps de fermer l'étable quand les chevaux en sont dehors, ni de faire dieté sans être malade, après avoir tout mangé.
PHILOD.	PHILOD.
Vous en parlez bien à voſtre aiſe, Cleanthe, & comme les Aueugles font des couleurs.	Vous en parlez bien à votre aise, Cléanthe, et comme les Augles font des couleurs.
Sçachez qu’il eſt auſſi difficile de ſe retirer de la Cour que d’vn ieu, où le deſir de recouuret ce qu’on a perdu, cauſe de nouuelles pertes.	Sachez qu'il est aussi difficile de se retirer de la Cour que d'un jeu, où le désir de recouvret ce qu'on a perdu, cause de nouvelles pertes.
C’eſt l’Iſle des Lothophages, d’où les Courtiſans ne peuuent ſortir auſſi peu que les cõpagnons d’Vlyſſe (auſquels ils ſont comparables) quand ils eurent mangé de la Lothe.	C'est l'Isle des Lothophages, d'où les Courtisans ne peuvent sortir aussi peu que les compagnons d'Unysse (ausquels ils sont comparables) quand ils eurent mangé de la Lothe.
L’on ne ſe depeſtre point ainſi de ce Labyrinthe, & tous n’ont pas le filet d’Ariadne pour s’en tirer.	L'on ne se dépêtre point ainsi de ce Labyrinthe, et tous n'ont pas le filet d'Ariadne pour s'en tirer.
Or entre toutes les choſes que ie treuue eſtranges à la Cour, en voicy deux qui me ſemblent lesplus remarquables.	Or entre toutes les choses que sans trouve étranges à la Cour, en voici deux qui me semblent lesplus remarquables.
La premiere, que s’il y a quelqu’vn qui ſoit la tout auſſi toſt faict l’Idole, deuant qui tous les autres flechiſſent, & l’autel où ils appendent leurs vœux.	La première, que s'il y a quelqu'un qui soit la tout aussi tôt fait l'Idole, devant qui tous les autres fléchissent, et l'autel où ils appendent leurs vœux.
Mais s’il faut qu’en meſme temps il ſoit frappé d’vn reuers de fortune, & diſgracié, ces premiers honneurs ſe tournent en haine, & il eſt d’autant plus dedaigné qu’il auoit eſté reſpecté parauant.	Mais s'il faut qu'en même temps il soit frappé d'un revers de fortune, et disgracié, ces premiers honneurs se tournent en haine, et il est d'autant plus dédaigné qu'il avait été respecté paravant.
La ſeconde c’eſt qu’ayant eſté long temps à la Cour, s’il s’en abſente cinq ou ſix mois, ou vn an au plus, eette abſence, faict qu’à ſon retour on le reçoit preſque auſſi froidem ent que ſi iamais l’on ne l’auoitveu;	La seconde c'est qu'ayant été long temps à la Cour, s'il s'en absente cinq ou six mois, ou un an au plus, cette absence, fait qu'à son retour on le reçoit presque aussi froidem ent que si jamais l'on ne l'avait;
tellemẽt que tout le credic qu’il pẽſoit s’eſtre acquis par le paſſé s’en va perdu, s’il ne prend peine de faire de nouuelles cognoiſſances.	tellement que tout le crédic qu'il pẽsoit s'être acquis par le passé s'en va perdu, s'il ne prend peine de faire de nouvelles connaissances.
L’experience que l’Oreade auoit faicte de ce deſordre, la fit reſoudre, comme ie vous ay deſia dict, à prendre congé de la Royne, à fin de ſe retirer au mont Olympe, pour y paſſer le reſte de ſa vie qui n’eſt pas encore beaucoup aduancée:	L'expérience que l'Oreade avait faite de ce désordre, la fit résoudre, comme ie nous ai déjà dit, à prendre congé de la Royne, à fin de se retirer au mont Olympe, pour y passer le reste de sa vie qui n'est pas encore beaucoup avancée:
