AVEC PRIVILEGE DU ROY.	AVEC PRIVILÈGE DU ROY.
Madame, il eſt vray, quelque effort que je faſſe, Qu’un peu de jalouſie en mon cœur trouve place, Et qu’un Rival abſent de vos divins appas Au repos de ce cœur vient livrer des combats.	Madame, il est vrai, quelque effort que je fasse, Qu'un peu de jalousie en mon cœur trouve place, Et qu'un Rival absent de vos divins appas Au repos de ce cœur vient livrer des combats.
Soit caprice, ou raiſon, j’ay toûjours la croyance Que voſtre ame en ces lieux ſouffre de ſon abſence;	Soit caprice, ou raison, j'ai toujours la croyance Que votre âme en ces lieux souffre de son absence;
1 Et que malgré mes ſoins, vos ſoûpirs amoureux Vont trouver à tous coups ce Rival trop heureux.	1 Et que malgré mes soins, vos soupirs amoureux Vont trouver à tous coups ce Rival trop heureux.
Mais ſi de tels ſoupçõs ont dequoy vous déplaire, Il vous eſt bien facile, helas!	Mais si de tels soupçons ont dequoy vous déplaire, Il vous est bien facile, hélas!
de m’y ſouſtraire;	de m'y soustraire;
Tome VII.	Tome VII.
Et leur banniſſement, dont j’accepte la Loy Dépend biẽ plus de vous, qu’il ne dépend de moy.	Et leur bannissement, dont j'accepte la Loi Dépend bien plus de vous, qu'il ne dépend de moi.
Oüy, c’eſt vous qui pouvez par deux mots pleins de flâme, Contre la jalouſie armer toute mon ame;	Oui, c'est vous qui pouvez par deux mots pleins de flamme, Contre la jalousie armer toute mon âme;
Et des pleines clartez d’un glorieux eſpoir Diſſiper les horreurs que ce monſtre y fait cheoir.	Et des pleines clartés d'un glorieux espoir Dissiper les horreurs que ce monstre y fait choir.
Daignez donc étouffer le doute qui m’accable, Et faites qu’un aveu d’une bouche adorable Me donne l’aſſurance au fort de tant d’aſſauts, Que je ne puis trouver dans le peu que je vaux.	Daignez donc étouffer le doute qui m'accable, Et faites qu'un aveu d'une bouche adorable Me donne l'assurance au fort de tant d'assauts, Que je ne puis trouver dans le peu que je vaux.
D.	D.
ELUIRE.	ÉLUIRE.
Prince, de vos ſoupçons la tyrannie eſt grande Au moindre mot qu’il dit, un cœur veut qu’on l'entende, Et n’ayme pas ces feux, dont l’importunité Demande qu’on s’explique avec tant de clarté.	Prince, de vos soupçons la tyrannie est grande Au moindre mot qu'il dit, un cœur veut qu'on l'entende, Et n'aime pas ces feux, dont l'importunité Demande qu'on s'explique avec tant de clarté.
Le premier mouvement qui découvre noſtre ame, Doit d’un Amant diſcret fatisfaire la flâme;	Le premier mouvement qui découvre notre âme, Doit d'un Amant discret satisfaire la flamme;
Et c’eſt à s’en dédire authoriſer nos vœeux, Que vouloir plus avant pouſſer de tels aveux.	Et c'est à s'en dédire autoriser nos vœux, Que vouloir plus avant pousser de tels aveux.
Je ne dis point quel choix, s’il m’eſtoit volõtaire, Entre Dom Sylve & vous, mon ame pourroit faire;	Je ne dis point quel choix, s'il m'était volontaire, Entre Dom Sylve et vous, mon âme pourrait faire;
loux, Mais vouloir vous contraindre à n’eſtre point jaAuroit dit quelque choſe à tout autre que vous;	loux, Mais vouloir vous contraindre à n'être point jaAurait dit quelque chose à tout autre que vous;
Et je croyois cet ordre un aſſez doux langage Pour n’avoir pas beſoin d’en dire davantage.	Et je croyais cet ordre un assez doux langage Pour n'avoir pas besoin d'en dire davantage.
Cependant voſtre amour n’eſt pas encor content;	Cependant votre amour n'est pas encore content;
Il demande un aveu qui ſoit plus éclatant.	Il demande un aveu qui soit plus éclatant.
Pour l’oſter de ſcrupuſe, il me faut à vous meſme;	Pour l'ôter de scrupuse, il me faut à vous même;
En des termes exprés, dire que je vous ayme;	En des termes exprès, dire que je vous aime;
Et peut-eſtre qu’encor pour vous en aſſurer Vous vous obſtineriez à m’en faire jurer.	Et peut-être qu'encore pour vous en assurer Vous vous obstineriez à m'en faire jurer.
D.	D.
GARCIE.	GARCIE.
Hé bien, Madame, hé bien, je ſuis trop temeraire, De tout ce qui vous plaiſt, je dois me ſatisfaire;	Hé bien, Madame, hé bien, je suis trop téméraire, De tout ce qui vous plaît, je dois me satisfaire;
Je ne demande point de plus grande clarté, Je croy que vous avez, pour moy quelque bonté, Que d’un peu de pitié mon feu vous ſollicite, Et je me vois heureux plus que je ne merité.	Je ne demande point de plus grande clarté, Je crois que vous avez, pour moi quelque bonté, Que d'un peu de pitié mon feu vous sollicite, Et je me vois heureux plus que je ne mérité.
C’en eſt fait, je renonce à mes ſoupçons jaloux, L’arreſt qui les condamne, eſt un arreſt bien deun, Et je reçois la Loy qu’il daigne me preſcrire, Pour affranchir mon cœur de leur injuſte empire.	C'en est fait, je renonce à mes soupçons jaloux, L'arrêt qui les condamne, est un arrêt bien deun, Et je reçois la Loi qu'il daigne me prescrire, Pour affranchir mon cœur de leur injuste empire.
D.	D.
ELOIRE.	ÉLOIRE.
Vous promettez beaucoup, Prince, & je doute fort, Si vous pourrez ſur vous faire ce grand effort.	Vous promettez beaucoup, Prince, et je doute fort, Si vous pourrez sur vous faire ce grand effort.
D.	D.
GARCIE.	GARCIE.
Ah!	Ah!
Madame, il s’uffit pour me rendre croyable, Que ce qu’on vous promet doit eſtre inviolable;	Madame, il s'uffit pour me rendre croyable, Que ce qu'on vous promet doit être inviolable;
Et que l’heur d’obeïr à ſa divinité, Ouvre aux plus grands efforts trop de facilité;	Et que l'heur d'obéir à sa divinité, Ouvre aux plus grands efforts trop de facilité;
Que le Ciel me déclare une éternelle guerre, Que je tombe à vos pieds d’un éclat de tonnerre, Ou pour perir encor par de plus rudes coups, r'uinay je vort ſur moy fondre voſtre courfoux, Si jamais mon amour deſcend à la foibleſſe De manquer aux devoirs d’une telle promeſſe;	Que le Ciel me déclare une éternelle guerre, Que je tombe à vos pieds d'un éclat de tonnerre, Ou pour périr encor par de plus rudes coups, ruinai je vort sur moi fondre votre courfoux, Si jamais mon amour descend à la faiblesse De manquer aux devoirs d'une telle promesse;
Si jamais dans mon ame aucun jaloux tranſport Fait.	Si jamais dans mon âme aucun jaloux transport Fait.
D.	D.
Pedre apporte un billet.	Pedre apporte un billet.
D.	D.
ELUIRE.	ÉLUIRE.
J’en eſtois en peine, & tu m’oblige fort, Que le Courrier attende à ces regards qu’il jette?	J'en étais en peine, et tu m'obliges fort, Que le Courrier attende à ces regards qu'il jette?
Vois-je pas que déja cet écrit l’inquiete.	Vois-je pas que déjà cet écrit l'inquiète.
Prodigieux effet de ſon temperamment, Qui vous arreſte, Prince, au milieu du ſeruient?	Prodigieux effet de son tempéramment, Qui vous arrête, Prince, au milieu du servient?
m uovcio mudiiu iol	m uovcio mudivicu jol
D.	D.
GARCIE.	GARCIE.
J’ay creu que vous aviez quelque ſecret enſemble, Et je ne voulois pas l’interrompre.	J'ai cru que vous aviez quelque secret ensemble, Et je ne voulais pas l'interrompre.
101 D.	101 D.
ELUIRE.	ÉLUIRE.
2 * 09 Il me ſemble Que vous me répondez d’un ton fort alteré, Je vous vois tout à-coup le viſage égaré;	2 * 09 Il me semble Que vous me répondez d'un ton fort altéré, Je vous vois tout à-coup le visage égaré;
Ce changement ſoudain a lieu de me ſurprendre, D’où peut-il provenir, le pourroit-on apprendre?	Ce changement soudain a lieu de me surprendre, D'où peut-il provenir, le pourrait-on apprendre?
D.	D.
GARCIE.	GARCIE.
*1104.	*1104.
D’un mal qui tout à coup vient d’attaquer mon cœur.	D'un mal qui tout à coup vient d'attaquer mon cœur.
ahiu oguidhanin me	ahiviu oguidhanin me
D.	D.
ELUIRE.	ÉLUIRE.
Souvent plus qu’on ne croit ces maux ont de rigueur;	Souvent plus qu'on ne croit ces maux ont de rigueur;
Boe v ie Et quelque prompt ſecours vous ſeroit neceſſaire, Mais encor dites moy vous prend-il d’ordinaire?	Boe vau ie Et quelque prompt secours vous serait nécessaire, Mais encor dites -moi vous prend-il d'ordinaire?
D.	D.
GARCIE.	GARCIE.
l ar Iois.	l ar Iois.
u om	u om
D.	D.
ELUIRE.	ÉLUIRE.
Ahe!	Ahe!
Prince foible, hé bien par cet écrit, Gueriſſez-le ce mal, il n’eſt que dans l’eſprit.	Prince faible, hé bien par cet écrit, Guérissez-le ce mal, il n'est que dans l'esprit.
D.	D.
GARCIE.	GARCIE.
Par cet écrit, Madame, ah!	Par cet écrit, Madame, ah!
ma main le refuſe, Je voy voſtre penſée, & dequoy l’on m’accuſe;	ma main le refuse, Je vois votre pensée, et dequoy l'on m'accuse;
Si.	Si.
nd'baonhxus iptd	n'baonhxus iptd
D.	D.
ELUIRE.	ÉLUIRE.
Liſez-le, vous dis-je, & ſatisfaites-vous.	Lisez-le, vous dis-je, et satisfaites-vous.
D.	D.
GARCIE.	GARCIE.
Pour me traiter aprés, de foible, de jaloux?	Pour me traiter après, de faible, de jaloux?
Non, non, je dois icy vous rendre un témoignage, b20 ( brage;	Non, non, je dois ici vous rendre un témoignage, b20 ( brage;
Qu’à mon cœur cet écrit n’a point donné d’omEt bien que vos bontez m’en laiſſent le pouvoir, Pour me juſtifier je ne veux point le voir.	Qu'à mon cœur cet écrit n'a point donné d'omEt bien que vos bontés m'en laissent le pouvoir, Pour me justifier je ne veux point le voir.
D.	D.
ELUIRE.	ÉLUIRE.
Si vous vous obſtinez à cette reſiſtance, J’aurois tort de vouloir vous faire violence;	Si vous vous obstinez à cette résistance, J'aurais tort de vouloir vous faire violence;
Et c’eſt aſſez enfin, que vous avoir preſſé De voir de quelle main ce billet m’eſt tracé.	Et c'est assez enfin, que vous avoir pressé De voir de quelle main ce billet m'est tracé.
D.	D.
GARCIE.	GARCIE.
Ma volonté toûjours vous doit eſtre ſoûmiſe, l c'eit voſtre plaiſir, que pour vous je le liſe;	Ma volonté toujours vous doit être soumise, c'eit votre plaisir, que pour vous je le lise;
Je conſens volontiers à prendre cet employ.	Je consens volontiers à prendre cet emploi.
D.	D.
ELUIRE.	ÉLUIRE.
Oüy, oüy, Prince, tenez vous le lirez pour moy.	Oui, oui, Prince, tenez vous le lirez pour moi.
D.	D.
GARCIE.	GARCIE.
C eſt pour votts ooen au moms, ce ſe puis dire.	Ç est pour vots oen au moments, ce se puis dire.
D.	D.
ELUIRE.	ÉLUIRE.
C’eſt ce que vous voudrez, depechez-vous de lire.	C'est ce que vous voudrez, dépêchez-vous de lire.
D.	D.
GARCIE.	GARCIE.
Il eſt de Done Ignes, à ce que je connoy.	Il est de Done Ignès, à ce que je connais.
D.	D.
ELUIRE.	ÉLUIRE.
Oüy, je m’en réjoüis, & pour vous, & pour moy.	Oui, je m'en réjouis, et pour vous, et pour moi.
D.	D.
GARCIE lit.	GARCIE lit.
Malgré l’effort d’un long mépris, Le Tyran toûjours m’ayme, & depuis voſtre abſence, vers moy pour ſue porter au denen qu’ir a pris, Il ſemble avoir tourné toute ſa violence, Dont il pourſuit l’alliance De vous & de ſon Fils.	Malgré l'effort d'un long mépris, Le Tyran toujours m'aime, et depuis votre absence, vers moi pour sue porter au denquen qu'ir a pris, Il semble avoir tourné toute sa violence, Dont il poursuit l'alliance De vous et de son Fils.
Ceux qui ſur moy peuvent avoir empire Par de lâches motifs qu’un faux honneur inſpire, Approuvent tous cet indigne lien;	Ceux qui sur moi peuvent avoir empire Par de lâches motifs qu'un faux honneur inspire, Approuvent tous cet indigne lien;
J’ignore encor par où finira mon martyre:	J'ignore encore par où finira mon martyre:
Mais je mourray plûtoſt que de conſentir Puiſſiez-vous joüir, belle Eluire, D’un deſtin plus doux que le mien.	Mais je mourrai plutôt que de consentir Puissiez-vous jouir, belle Elvire, D'un destin plus doux que le mien.
D.	D.
IGNES.	IGNÉS.
B iij Il continuë.	 Bij Il continue.
Dans la haute veitu ſon ame eſt affermie.	Dans la haute vitu son âme est affermie.
D.	D.
ELUIRE.	ÉLUIRE.
Je vais faire réponce à cette illuſtre amie, Cependant apprenez, Prince, à vous mieux armer Contre ce qui prend droit de vous trop allarmer.	Je vais faire réponse à cette illustre amie, Cependant apprenez, Prince, à vous mieux armer Contre ce qui prend droit de vous trop alarmer.
’ay calmé voſtre trouble, avec cette lumiere, Et la choſe a paſſé d’une douce maniere;	Ç'ai calmé votre trouble, avec cette lumière, Et la chose a passé d'une douce manière;
Mais à n’en point mentir il ſeroit des momens, Où je pourrois entrer dans d’autres ſentimens.	Mais à n'en point mentir il serait des moments, Ôù je pourrais entrer dans d'autres sentiments.
D.	D.
GARCIE.	GARCIE.
Hé, quoy vous croyez donc.	Hé, quoi Vous croyez donc.
D.	D.
ÉLUIRE.	ÉLUIRE.
Je croy ce qu’il faut croire.	Je crois ce qu'il faut croire.
Adieu, de mes avis conſervez la memoire, Et s’il eſt vray pour moy, que voſtre amour ſoit grand, Donnez-en à mon cœur les preuves qu’il pretend.	Adieu, de mes avis conservez la mémoire, Et s'il est vrai pour moi, que votre amour soit grand, Donnez-en à mon cœur les preuves qu'il prétend.
D.	D.
GARCIE.	GARCIE.
Croyez que deſormais, c’eſt toute mon envie, Et qu’avant qu’y manquer, je veux perdre la vie.	Croyez que désormais, c'est toute mon envie, Et qu'avant qu'y manquer, je veux perdre la vie.
Fin du premier Acte.	Fin du premier Acte.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ELISE, D.	ÉLISE, D.
LOPE.	LOPE.
F ELISE.	 ELISE.
OUT ce que fait le Prince, à parler franchement, N’eſt pas ce qui me donne un grand étonnement;	OUT ce que fait le Prince, à parler franchement, N'est pas ce qui me donne un grand étonnement;
Car que d’un noble amour une ame bien ſaiſie, En pouſſe les tranſports juſqu’à la jalouſie.	Car que d'un noble amour une âme bien saisie, En pousse les transports jusqu'à la jalousie.
Que de doutes frequents ſes vœux ſoient traverſez, Il eſt fort naturel, & je l’approuve aſſez;	Que de doutes fréquents ses vœux soient traversez, Il est fort naturel, et je l'approuve assez;
Mais ce qui me ſurprend, Dom Lope, c’eſt d’entendre, E prendre, Que vous luy preparez les ſoupçons qu’il doit Que voſtre ame les forme, & qu’il n’eſt en ces lieux, L yeux, Fâcheux que par vos ſoins, jaloux que par vos Encor un coup, Dom Lope, une ame bien épriſe Des ſoupçons qu’elle prend, ne me rend point ſurpriſe;	Mais ce qui me surprend, Dom Lope, c'est d'entendre, E prendre, Que vous lui préparez les soupçons qu'il doit Que votre âme les forme, et qu'il n'est en ces lieux, L yeux, Fâcheux que par vos soins, jaloux que par vos Encor un coup, Dom Lope, une âme bien éprise Des soupçons qu'elle prend, ne me rend point surprise;
L jaloux, Mais qu’on ait ſans amour tous les ſoins d’un C’eſt une nouveauté qui n’appartient qu’à vous.	L' jaloux, Mais qu'on ait sans amour tous les soins d'un C'est une nouveauté qui n'appartient qu'à vous.
D.	D.
LOPE.	LOPE.
Que ſur cette conduite à ſon aiſe l’on gloſe, Chacun regle la ſienne au but qu’il ſe propoſe;	Que sur cette conduite à son aise l'on glose, Chacun règle la sienne au but qu'il se propose;
Et rebuté par vous des ſoins de mon amour, Je ſonge auprés du Prince à bien faire ma Cour.	Et rebuté par vous des soins de mon amour, Je songe auprès du Prince à bien faire ma Cour.
ELISE.	ÉLISE.
Mais ſçavez-vous, qu’enfn, il fera mal la ſienne, S’il faut qu’en cette humeur voſtre elprit l’entretienne?	Mais Savez-vous, qu'ens, il fera mal la sienne, S'il faut qu'en cette humeur votre elprit l'entretienne?
D.	D.
LOPE.	LOPE.
Et quand, charmante Eliſe, a-t’on veu s’il vous plaiſt, ( pre intereſt?	Et quand, charmante Élise, a-t-on vu s'il vous plaît, ( pré intérêt,
Qu’on cherche auprés des Grands, que ſon proQu’ũ parfait Courtiſan veüille charger leur ſuite, D’un cenſeur des défauts, qu’on trouve en leur conduite;	Qu'on cherche auprès des Grands, que son proQu;um parfait Courtisan veuille charger leur suite, D'un censeur des défauts, qu'on trouve en leur conduite;
Et s’aille inquieter, ſi ſon diſcours leur nuit, Pourveu que ſa fortune en tire quelque fruit?	Et s'aille inquiéter, si son discours leur nuit, Pourvu que sa fortune en tire quelque fruit?
