M DC LXIX.	M MC LXIX.
MERCURE.	MERCURE.
Qui donc eſt ce Coquin, qui prend tant de licence, Que de chanter, & m’étourdir ainſy?	Qui donc est ce Coquin, qui prend tant de licence, Que de chanter, et m'étourdir ains?
rouuii quuretimiei, ila main un peu s’applique?	roui quuretimie, ila main un peu s'applique?
SOSIE.	SOSIE.
Cet Homme, aſſurément, n’aime pas la Muſique.	Cet Homme, assurément, n'aime pas la Musique.
MERCURE.	MERCURE.
Depuis plus d’une Semaine, Je n’ay trouvé perſonne à qui rompre les os.	Depuis plus d'une Semaine, Je n'ai trouvé personne à qui rompre les os.
La vertu de mon Bras ſe perd dans le repos;	La vertu de mon Bras se perd dans le repos;
Et je cherche quelque Dos, Pour me remettre en haleine.	Et je cherche quelque Dos, Pour me remettre en haleine.
OSIE.	OSIE.
Quel diable d’Homme eſt-ce-cy?	Quel diable d'Homme est-ce-cy?
De mortelles frayeurs je ſens mon Ame atteinte.	De mortelles frayeurs je sens mon Âme atteinte.
Mais pourquoy trembler tant auſſy?	Mais pourquoi trembler tant aussi?
Peut-eſtre a-t-il dans l’Ame autant que moy de crainte;	Peut-être a-t-il dans l'Âme autant que moi de crainte;
Et que le Drole parle ainſy, Pour me cacher ſa peur, ſous une audace feinte.	Et que le Drole parle ains, Pour me cacher sa peur, sous une audace feinte.
Oüy, oüy, ne ſouffrons point qu’on nous croye un Oiſon.	Oui, oui, ne souffrons point qu'on nous croie un Oison.
Si je ne ſuis hardy, tâchons de le paroiſtre.	Si je ne suis hardi, tâchons de le paraître.
Faiſons-nous du Cœur, par raiſon.	Faisons-nous du Cœur, par raison.
Il eſt ſeul comme moy, je ſuis fort, j’ai bon Maiſtre, Et voila noſtre Maiſon.	Il est seul comme moi, je suis fort, j'ai bon Maître, Et voilà notre Maison.
Quiva là?	Quiva là?
MERCURE.	MERCURE.
Moi.	Moi.
SOSIE.	SOSIE.
MERCURE.	MERCURE.
Qui, moi ?	Qui, moi ?
SOSIE.	SOSIE.
Moi.	Moi.
Courage, Soſie.	Courage, Sosie.
MEido Rm.	MÉido Rm.
Quel eſt ton ſort, dy-moy?	Quel est ton sort, dis-moi?
SIE.	SIE.
D’eſtre Homme, & de parler.	D'être Homme, et de parler.
MERCURE.	MERCURE.
Es-tu Maiſtre, ou Valet?	Es-tu Maître, ou Valet?
SOSIE.	SOSIE.
Commonme prend envie,	Commonme prend envie,
MERCURE.	MERCURE.
Où s’adreſient tes pas?	Où s'adresient tes pas?
SOSIE.	SOSIE.
Où j’ay deſſein d’aller.	Où j'ai dessein d'aller.
MERCURE.	MERCURE.
Ah!	Ah!
cecy me déplaiſt.	ceci me déplaît.
SOSIE.	SOSIE.
J’en ay l’Ame ravie.	J'en ai l'Âme ravie.
MERCURE.	MERCURE.
Reſolument, par force, ou par amour, Je veux ſçavoir de toy, Traiſtre, de que la luio, d'ou tu viensutant jour;	Résolument, par force, ou par amour, Je veux savoir de toi, Traître, de que la luio, d'ou tu viensutant jour;
Où tu vas;	Où tu vas;
à qui tu peux eſtre.	à qui tu peux être.
SIE.	SIE.
Je fais le bien, & le mal, tour à tour :	Je fais le bien, et le mal, tour à tour :
Je viens de là;	Je viens de là;
vais là;	vais là;
j’appartiens à mon Maiſtre.	j'appartiens à mon Maître.
MERCURE.	MERCURE.
Tu montres de l’Eſprit;	Tu montres de l'Esprit;
& je te vois en train De trancher avec moy de l’Homme d’importance.	et je te vois en train De trancher avec moi de l'Homme d'importance.
Il me prend un deſir, pour faire connoiſſance, De te donner un Soufflet de ma Main.	Il me prend un désir, pour faire connaissance, De te donner un Soufflet de ma Main.
S o	S ô
A ihoy-meme;	À ihoy-même;
SOSIE.	SOSIE.
MERCURE.	MERCURE.
A toy-même, & t’en voila certain.	A toi-même, et t'en voilà certain.
Il luy donne un Soufflet.	Il avait donne un Soufflet.
SIE.	SIE.
Ah, ah, c’eſt tout de bon!	Ah, ah, c'est tout de bon!
MERCURE.	MERCURE.
Rcon, ce neit que pour rire, Et répondre à tes Quolibets.	Rcon, ce neit que pour rire, Et répondre à tes Quolibets.
SIE.	SIE.
Tudieu, l’Amy, ſans vous rien dire, Comme vous baillez des Soufflets!	Tudieu, l'Ami, sans vous rien dire, Comme vous baillez des Soufflets!
MEROURE.	MEROURE.
Ce ſont là de mes moindres coups;	Ce sont là de mes moindres coups;
De petits Soufflets ordinaires.	De petits Soufflets ordinaires.
SIE.	SIE.
Si j’eſtois auſſi prompt que vous, Nous ferions de belles affaires.	Si j'étais aussi prompt que vous, Nous ferions de belles affaires.
Je quitte la Partie.	Je quitte la Partie.
SOSIE.	SOSIE.
Il veut s'en aller.	Il veut s'en aller.
MERCURE.	MERCURE.
Cu vuo la .	Cul vu la .
SOSIE.	SOSIE.
Que t’importe?	Que t'importe?
MERCURE.	MERCURE.
Je veux ſçavoir où tu vas.	Je veux sais où tu vas.
SIE.	SIE.
Me faire ouvrir cette Porte:	Me faire ouvrir cette Porte:
Pourquoy retiens-tu mes pas?	Pourquoi retiens-tu mes pas?
MERCURE.	MERCURE.
Si juſqu’à l’approcher tu pouſſes ton audace, eluio lurtoy prouvoir un orage de coups.	Si jusqu'à l'approcher tu pousses ton audace, eluio lurtoi prouvoir un orage de coups.
SIE.	SIE.
Quoy!	Quoi!
tu veux, par ta menace, M'empecher d’entrer chez nous?	tu veux, par ta menace, M'empêcher d'entrer chez nous?
MERCURE.	MERCURE.
Comment, chez nous!	Comment, chez nous!
IE.	JE.
Oüy, chez nous,	Oui, chez nous,
MERCURE.	MERCURE.
Tu te dis de cette Maiſon?	Tu te dis de cette Maison?
O le fraiſtre!	Ô le fraître!
IE.	JE.
Fort bien.	Fort bien.
Amphitryon n’en eſt-il pas le Maiſtre?	Amphitryon n'en est-il pas le Maître?
MERCURE.	MERCURE.
Hé bien, quolait tautolhiſon?	Hé bien, quolait tautolhison?
Je ſuis ſon Valet.	Je suis son Valet.
SOSIE.	SOSIE.
MERCURE.	MERCURE.
I	I
OSTE Moi.	ÔTE Moi.
ADRCURE.	ADRCURE.
Son Valet?	Son Valet?
JOSIE.	JOSIE.
Sans doute.	Sans doute.
MERCURE.	MERCURE.
vulsralamriayens.	vulsralamriayens.
OSIE.	OSIE.
D'Amphitryon;	D'Amphitryon;
de luy.	de notre.
Ton Nom eſt?	Ton Nom est?
MERCURE.	MERCURE.
Soſie.	Sosie.
OSIE.	OSIE.
MERGURE.	MERGURE.
Heu.	Heu.
Conont.	Conon.
SOSIE.	SOSIE.
Soſie.	Sosie.
MER	MER
MERCURE.	MERCURE.
Ecoute.	Écoute.
cais-tu que de ma inam je t’anomme aujourd’hui	cais-tu que de ma inam je t'anomme aujourd'hui
SIE.	SIE.
Pourquoy?	Pourquoi?
De quelle rage eſt ton Ame ſaiſie!	De quelle rage est ton Âme saisie!
MERCURE.	MERCURE.
Qui te donne, dy-moy, certe temherité, De prendre le nom de Soſie?	Qui te donne, dis-moi, certe temherité, De prendre le nom de Sosie?
OS A L.	OS A L.
Moy, je ne le prens point, je l’ay toujours porté.	Moi, je ne le prends point, je l'ai toujours porté.
MERCURE.	MERCURE.
O le menſonge horrible!	Ô le mensonge horrible!
& l’impudence extréme!	et l'impudence extrême!
Tu m’oſes ſoûtenir, que Soſie eſt ton Nom?	Tu m'oses soutenir, que Sosie est ton Nom?
SIE.	SIE.
Fort bien, je le ſoûtiens;	Fort bien, je le soutiens;
par la grande raiſon, Qu'aiiin la fuit des Dleux Mnumancudupréme:	par la grande raison, Qu'aijin la fuit des Dleux Mnumancudupréme:
Et qu’il n’eſt pas en moy de pouvoir dire non, Et d’eſtre un autre, que moy-même.	Et qu'il n'est pas en moi de pouvoir dire non, Et d'être un autre, que moi-même.
Mercure le bat.	Mercure le bat.
MERCURE.	MERCURE.
Mille coups de baſton doivent eſtre le prix D’une pareille effronterie.	Mille coups de bâton doivent être le prix D'une pareille effronterie.
SIE.	SIE.
Juſtice, Citoyens!	Justice, Citoyens!
au ſecours, je vous prie!	au secours, je vous prie!
MERCURE.	MERCURE.
Comment, Bourreau, tu fais des cris?	Comment, Bourreau, tu fais des cris?
SIE.	SIE.
De mille coups tu me meurtris, Et tu ne veux pas que je crie?	De mille coups tu me meurtris, Et tu ne veux pas que je crie?
MERCURE.	MERCURE.
C’eſt ainſi que mon Bras.	C'est ainsi que mon Bras.
SOSIE.	SOSIE.
L’action ne vaut rien.	L'action ne vaut rien.
Tu triomphes de l’avantage, Que te donne ſur moy mon manque de courage, Et ce n’eſt pas en uſer bien.	Tu triomphes de l'avantage, Que te donne sur moi mon manque de courage, Et ce n'est pas en user bien.
C’eſt pure Fanfaronnerie, De vouloir profiter de la Poltronnerie	C'est pure Fanfaronnerie, De vouloir profiter de la Poltronnerie
De ceux qu’attaque noſtre Bras.	De ceux qu'attaque notre Bras.
Battre un Homme à jeu ſeur, n’eſt pas d’une belle Ame;	Battre un Homme à jeu sûr, n'est pas d'une belle Âme;
Et le Cœur eſt digne de blâme, Contre les Gens qui n’en ont pas.	Et le Cœur est digne de blâme, Contre les Gens qui n'en ont pas.
MERCURE.	MERCURE.
Hé bien, es-tu Soſie à preſent?	Hé bien, es-tu Sosie à présent?
qu’en dis-tu?	qu'en dis-tu?
SIE.	SIE.
Tes coups n’ont point en moy fait de metamor.	Tes coups n'ont point en moi fait de métamor.
phoſe.	phose.
Et tour le changement que je trouve à la choſe, C’eſt d’eſtre Soſie battu.	Et tour le changement que je trouve à la chose, C'est d'être Sosie battu.
MERCURE.	MERCURE.
Encor?	Encor?
Cent autres coups pour cette autre impudente.	Cent autres coups pour cette autre impudente.
IE.	JE.
De glace, lais tieve a res coups.	De glace, lais tiève a rés coups.
MERCURE.	MERCURE.
Fais donc tréve à ton inſolence.	Fais donc trêve à ton insolence.
SIE.	SIE.
Tout ce qu’il te plaira;	Tout ce qu'il te plaira;
je gurde le ſilence:	je gurde le silence:
La diſpute eſt par trop inégale entre nous.	La dispute est par trop inégale entre nous.
MERCURE.	MERCURE.
Es-tu Soſie encor?	Es-tu Sosie encor?
di, Traiſtre!	di, Traître!
SSIE.	SSIE.
Helas!	Hélas!
je ſuis ce que tu veux.	je suis ce que tu veux.
Diſpoſe de mon ſort, tout au gré de tes vœux;	Dispose de mon sort, tout au gré de tes vœux;
Ton Bras t’en a fait le Maiſtre.	Ton Bras t'en a fait le Maître.
MERCURE.	MERCURE.
Tensomcloirsone, ace que tu dilois.	Tensomcloirsone, ace que tu dilois.
OSIE.	OSIE.
Il eſt vray, juſqu’icy j’ay crû la choſe claire:	Il est vrai, jusqu'ici j'ai cru la chose claire:
Mais ton Baſton, ſur cette affaire, M’a fait voir que je m’abuſois.	Mais ton Bâton, sur cette affaire, M'a fait voir que je m'abusais.
MERCURE.	MERCURE.
C’eſt moy qui ſuis Soſie;	C'est moi qui suis Sosie;
& tout Thebe l’avoüe.	et tout Thebe l'avoue,
Amphitryon jamais n’en eut d’autre que moy.	Amphitryon jamais n'en eut d'autre que moi.
S o	S ô
Toy gone.	Toi gone.
SOSIE.	SOSIE.
MERCURE.	MERCURE.
Oüy Soſie;	Oui Sosie;
& ſi quelqu’un s’y joüe, Il peut bien prendre garde à Ioy.	et si quelqu'un s'y joue, Il peut bien prendre garde à Joi.
SIE.	SIE.
Ciel!	Ciel!
me faut-il ainſi renoncer à moy-même;	me faut-il ainsi renoncer à moi-même;
Et par un Impoſteur me voir voler mon Nom?	Et par un Imposteur me voir voler mon Nom?
Que ſon bonheur eſt extréme, De ce que je luis ToltLon .	Que son bonheur est extrême, De ce que je luis ToltLon .
Sans cela, par la mort.	Sans cela, par la mort.
MERCURE.	MERCURE.
Entre tes dents, je penſe, Tu murmures je ne ſçay quoy?	Entre tes dents, je pense, Tu murmures je ne sais quoi?
IE.	JE.
Noit, muis au non des Dieux, donne-moy la licence De parler un moment a toy.	Noit, muis au non des Dieux, donne-moi la licence De parler un moment a toi.
Parle.	Parle.
MERCURE.	MERCURE.
OSIE.	OSIE.
Mais promets moy de grace, Que les coups n’en ſeront point.	Mais promets moi de grâce, Que les coups n'en seront point.
olgnons une Ileve.	olgnons une Ilève.
MERCURE.	MERCURE.
Paſſe;	Passe;
Va, je t'accorde ce poinct.	Va, je t'accorde ce point.
OSIE.	OSIE.
Qui te jette, dy-moy, dans cette fantaiſie?	Qui te jette, dis-moi, dans cette fantaisie?
Que te leviendſa-t-il, de m enſever mon Nom?	Que te leviendsa-t-il, de m ensever mon Nom?
Et peux-tu faire enfin, quand tu ſerois Demon, Que je ne ſois pas Moy?	Et peux-tu faire enfin, quand tu serais Démon, Que je ne sois pas Moi?
que je ne ſois Soſie?	que je ne sois Sosie?
MERCURE.	MERCURE.
Comment, tu peux.	Comment, tu peux.
SOSIE.	SOSIE.
Ah!	Ah!
tout doux:	tout doux:
Nous avons fait tréve aux coups.	Nous avons fait trêve aux coups.
MER	MER
MERCURE.	MERCURE.
Quoy!	Quoi!
Pendart, Impoſteur, Coquin.	Pendard, Imposteur, Coquin.
SOSIE.	SOSIE.
Pour des injures, Dy-m’en tant que tu voudras:	Pour des injures, Dis-m'en tant que tu voudras:
Ce ſont legeres bleſſures;	Ce sont légères blessures;
Et je ne m’en fâche pas.	Et je ne m'en fâche pas.
MERCURE.	MERCURE.
Tu te dis Soſie!	Tu te dis Sosie!
SOSIE.	SOSIE.
Oüy, quelque conte frivole.	Oui, quelque conte frivole.
MERCURE.	MERCURE.
Sus, je romps noſtre tréve, & reprens ma parole.	Sus, je romps notre trêve, et reprends ma parole.
OSIE.	OSIE.
N’importe, je ne puis m’aneantir pour toy;	N'importe, je ne puis m'anéantir pour toi;
Et ſouffrir un diſcours, ſi loin de l’apparence.	Et souffrir un discours, si loin de l'apparence.
Eſtre ce que je ſuis, eſt-il en ta puiſſance!	Être ce que je suis, est-il en ta puissance!
Et puis-je ceſſer d’eſtre Moy?	Et puis-je cesser d'être Moi?
S’aviſa-t-on jamais d’une choſe pareille!	S'avisa-t-on jamais d'une chose pareille!
Et peut-on démentir cent Indices preſſans?	Et peut-on démentir cent Indices pressants?
Révé-je?	Révé-je?
eſt-ce que je ſommeille?	est-ce que je sommeille?
Ay-je l’Eſprit troublé par des tranſports puiſſans?	Ai-je l'Esprit troublé par des transports puissants?
Ne ſens-je pas bien que je veille?	Ne sens-je pas bien que je veille?
Ne ſuis-je pas dans mon bon ſens?	Ne suis-je pas dans mon bon sens?
Mon Maiſtre Amphitryon, ne m’a-t-il pas commis A venir, en ces lieux, vers Alcméne ſa Femme?	Mon Maître Amphitryon, ne m'a-t-il pas commis A venir, en ces lieux, vers Alcméne sa Femme?
Ne luy dois-je pas faire, en luy vantant ſa flame, Un Recit de ſes Faits contre nos Ennemis?	Ne lui dois-je pas faire, en peine vantant sa flamme, Un Recit de ses Faits contre nos Ennemis?
Ne ſuis-je pas du Port arrivé tout à l’heure?	Ne suis-je pas du Port arrivé tout à l'heure?
Ne tiens-je pas une Lanterne en main?	Ne tiens-je pas une Lanterne en main?
Ne te trouvé-je pas devant noſtre Demeure?	Ne te trouvé-je pas devant notre Demeure?
Ne t’y parlé-je pas d’un Eſprit tout humain?	Ne t'y parlé-je pas d'un Esprit tout humain?
Ne te tiens-tu pas fort de ma Poltronnerie, Pour m’empécher d’entrer chez nous?	Ne te tiens-tu pas fort de ma Poltronnerie, Pour m'empêcher d'entrer chez nous?
N’as-tu pas ſur mon Dos exercé ta Furie?	N'as-tu pas sur mon Dos exercé ta Furie?
Ne m’as-tu pas roüé de coups?	Ne m'as-tu pas roué de coups?
Ah!	Ah!
tout cela n’eſt que trop veritable.	tout cela n'est que trop véritable.
Et, plût au Ciel, le fût-il moins!	Et, plût au Ciel, le fût-il moins!
Ceſſe donc d’inſulter au ſort d’un Miſerable;	Cesse donc d'insulter au sort d'un Misérable;
El lalile a Moir devoi Juequier de led loni.	Él lalile a Moir devoi Juquier de led loni.
MERCURE.	MERCURE.
Arreſte:	Arrête:
ou ſur ton Dos le moindre pas attire Un aſſommant éclat de mon juſte courroux.	ou sur ton Dos le moindre pas attire Un assommant éclat de mon juste courroux.
Tout ce que tu viens de dire, Eſt à moy, hormis les coups.	Tout ce que tu viens de dire, Est à moi, hormis les coups.
C’eſt moy qu’Amphitryon depute vers Alcméne, Et qui du Port Perſique arrive de ce pas.	C'est moi qu'Amphitryon députe vers Alcméne, Et qui du Port Persique arrive de ce pas.
Moy qui viens annoncer la valeur de ſon Bras, Qui nous fait remporter une Victoire pleine, Et de nos Ennemis a mis le Chef à bas.	Moi qui viens annoncer la valeur de son Bras, Qui nous fait remporter une Victoire pleine, Et de nos Ennemis a mis le Chef à bas.
C’eſt moy qui ſuis Soſie enfin, de certitude;	C'est moi qui suis Sosie enfin, de certitude;
Fils de Dave, honneſte Berger;	Fils de Dave, honnête Berger;
Frere d’Arpage, mort en Païs étranger;	Frère d'Arpage, mort en Pays étranger;
Mary de Cleanthis la prude, Dont l’humeur me fait enrager.	Mari de Cléanthis la prude, Dont l'humeur me fait enrager.
Qui dans Thebe ay receu mille coups d’étriviere.	Qui dans Thebe ai reçu mille coups d'étrivière.
Sans en avoir jamais dit rien.	Sans en avoir jamais dit rien.
Et jadis en Public, fus marqué par derriere, Pour eſtre trop Homme de bien.	Et jadis en Public, fus marqué par derrière, Pour être trop Homme de bien.
OSIE.	OSIE.
Il a raiſon.	Il a raison.
A moins d’eſtre Soſie, On ne peut pas ſçavoir tout ce qu’il dit.	À moins d'être Sosie, On ne peut pas savoir tout ce qu'il dit.
Et dans l’étonnement, dont mon Ame eſt ſaiſie, Je commence, à mon tour, à le croire un petit.	Et dans l'étonnement, dont mon Âme est saisie, Je commence, à mon tour, à le croire un petit.
En effet, maintenant que je le conſidere, je voy qu'ila de moy y tanie, mine, action.	En effet, maintenant que je le considère, je vois qu'ila de moi y tanie, mine, action.
