DVLE PRINCE RECONNV TRAGI-COMEDIE.	DULE PRINCE RÉCONNV TRAGI-COMÉDIE.
pourtant s’il plaiſt à voſtre Majeſté que i’en écriue à Theſée, ileſpere que la fin de cette guerre vous ſera ſauorable à tous deux.	pourtant s'il plaît à votre Majesté que j'en écrive à Thesée, ilespère que la fin de cette guerre vous sera savorable à tous deux.
pdodbliomidom olmoutis doiniod	podbliomidom olamoutis doiniod
CLIUILOANNTIO PE.	CLIUILOANTIO PE.
ROD SUETIIOU Non ſeulement de vous permets d’éerire à Theſée, mais ie vous en prie, faites-luy ſçauoir Ie déplaiſir que i’ay d’auoir pris les armes contre vne perſonne qu’il doit proteger, & aſſeurez-le que ie ſuis reſoluë de n’employer mes troupes qu’à ce qu’ilordonnera:	ROD SUETIIOU Non seulement de vous permets d'éerire à Thesée, mais quand vous en prie, faites-lui savoir Je déplaisir que j'ai d'avoir pris les armes contre une personne qu'il doit protéger, et assurés-le que sans suis résolue de n'employer mes troupes qu'à ce qu'ilordonnera:
Vous ſuiuez ce Prince, & executez ſes ordres.	Vous suivez ce Prince, et exécutez ses ordres.
SCLEVD IE TALESTRIE.	SCLEUD JE TALESTRIE.
J10C2UOV	J10C2UOU
Adame, on n’attendque vos commandemens pour donner l’aſſaut, nos comποόνωςς pagnes bruſlent d’vn vlolent deur d’arracher la Princeſſe des mains des ennemis qui paroiſſent deſia ſur les remparts.	Adame, on n'attendque vos commandements pour donner l'assaut, nos comποόνωςς pagnes brûlent d'vn vlolent deur d'arracher la Princesse des mains des ennemis qui paraissent déjà sur les remparts.
ANTIOPE.	ANTIOPE.
Leur impatience m’oblige, mais il faut la moderer:	Leur impatience m'oblige, mais il faut la modérer:
Allons les voir, eſcoutez cependant vnc nouucne qui changt ia Iace des cnoſes.	Allons les voir, écoutez cependant un nouucne qui changt ja Iace des cnoses.
M I 10L1 EGEE, MEDEE.	M I 10L1 ÉGE, MÉDEEE.
l	l
L Voy, Pyritous a donc quitté noſtre pary, cét eſprit violent n’a pû ſe ſoûmetcmn tre aux diſcours dela raiſon?	 Lois, Pyritous a donc quitté notre pari, cet esprit violent n'a pu se soumet tre aux discours déla raison?
il a crû ſans doute que ſe remettant au meſme eſtat où il eſtoit lors que nous auions reſolu de le chãger aueela Princeſſe nous reprendrõs cette reſoluti õ;	il a cru sans doute que se remettant au même état où il était lors que nous avions résolu de le chãger avela Princesse nous reprendrons cette résoluti on;
mais ie veux qu’il ſçache qu’il s’eſt mépris dans cetté penſée:	mais avait fait qu'il sache qu'il s'est mépris dans ceté pensée:
je puis donner toutes choſes pour recouurer vn priſonnier, mais ie ne veux rien donner pour rappeller vno fugitif.	je puis donner toutes choses pour recouvrer un prisonnier, mais personne ne veux rien donner pour rappeler uno fugitif.
Quand illa perdu la liberté pour l’amour de moy, i’ay voulu la luy rendre à quelque prix que ce fut, mais quand il la va perdre pour ſe venger de moy, ie ne doy point ſongerà ſa déli	Quand illa perdu la liberté pour l'amour de moi, j'ai voulu la lui rendre à quelque prix que ce fut, mais quand il la va perdre pour se venger de moi, je ne dois point songerà sa déli
MEDEE.	MÈDE.
A Lheſée a bien crûque vous ſeriez dans cette enſée, & ie l’ay veù dans le deſſein de vous forcer à la changer;	À Lhesée a bien cruque vous seriez dans cette ensée, et tu l'ai véù dans le dessein de vous forcer à la changer;
c’eſt à ce coup que ie ſuis contrainte de vous dire qu’il eſt temps de s’aſſeurer Aerarieequereretartenient lic vous ſçauroit 2 eſtre dommageable.	c'est à ce coup que je suis contrainte de vous dire qu'il est temps de s'assurer Aérariequereretartenient lic vous saurait 2 être dommageable.
*EGEE.	ÉGE.
Quelle houuelle raiſon auez-vous pour authoriſer le conſeil, que vous me donnez?	Quelle houuelle raison avez-vous pour autoriser le conseil, que vous me donnez?
A4 41	A4 41
2u 1HOnC1j MEDEE.	2 1HOnC1j MEDEE.
Il m’adit ouuertement qu’il pretendoit à la Couronne) & pour l’obliger à ſe découurir à moy:	Il m'adit ouvertement qu'il prétendait à la Couronne) et pour l'obliger à se découvrir à moi:
i'ay feint d’approuuer ſon deſſein, ie luy ay meſme propoſé des expediens imaginaires pour luy donner occaſion de m’en prôpoſer de veritables, mais enfin il a connu mon addreſſe;	j'ai feint d'approuver son dessein, ie lui ai rendre proposé des expédients imaginaires pour lui donner occasion de m'en prôposer de véritables, mais enfin il a connu mon adresse;
l’excés de precaution que i’ay apporté à la couurir, l’amis dans la défiance, de ſorte qu’il s’eſt repenty de s’eſtre découuert, & n’a rien eſpargné pour détruire tout ce qu’il auoit dit, iuſques-là qu’il a blaſmé mes pensées, ſans conſiderer qu’elles n’eſtoient que des ſuites des ſiennes, & nous nous ſommes ſeparez auec violence.	l'excès de précaution que j'ai apporté à la couvrir, l'amis dans la défiance, de sorte qu'il s'est repenti de s'être découvert, et n'a rien épargné pour détruire tout ce qu'il avait dit, iusques-là qu'il a blâmé mes pensées, sans considérer qu'elles n'étaient que des suites des siennes, et nous nous sommes séparés avec violence.
11	11
ILLEGEE.	ILLEGEE.
MI Ie ne doute point que la perte de ſon amy ne luy ſoit ſenſible, mais ie ne puis croire qu’il ait de yeritables deſſeins contre moy, ie ne laiſſeray pas pourtant de le faire obſeruer auec ſoin.	MI Je ne doute point que la perte de son ami ne veut soit sensible, mais je ne puis croire qu'il ait de yéritables desseins contre moi, je ne laisserai pas pourtant de le faire observer avec soin.
*0i 1119	*0i 1119
ul 2an 11 MEDEE.	 2an 11 MÈDE.
Vous doutez donc de la verité de mes paroles?	Vous doutez donc de la vérité de mes paroles?
Quoy, ſuis-je ſi peu dans voſtre eſtime, que ie ne puiſſe me rendre croyable lors meſme que ie vous propoſe voſtre ſeureté.	Quoi, suis-je si peu dans votre estime, que personne ne puisse me rendre croyable lors même que personne vous propose votre sûreté.
Ah!	Ah!
s’il eſt ainn, loulllez Seigſleul que le medeuiit, Medée ne manquera point d’azyle & de creance en quelque endroit que la fortune la conduiſe.	s'il est ainn, loulllez Seigsleul que le médeuit, Medée ne manquera point d'asile et de créance en quelque endroit que la fortune la conduise.
EGEE.	ÉGE.
Ah!	Ah!
Madame, iugez mieux du peu de ſoin que ie prends de ma conſeruation.	Madame, jugez mieux du peu de soin que je prends de ma conservation.
Ie croy que vous auez oecaſion de eraindre pour moy:	Je crois que vous avez oecasion de eraindre pour moi:
que i’ay tous les ſujets imaginables de craindre moy meſme, mais ie ne puis me reſoudre encoreà ſacrifier la vie de ce Prince à la ſeureté de la miennet le premier ſoupçon que vous en auez eu, ſa longue conuerſation auec Antiõpe, ce qu’il vient de vous dire, parle hautement de ſon crime, & demande ſa condemnation:	que j'ai tous les sujets imaginables de craindre moi -même, mais je ne puis me résoudre encoreà sacrifier la vie de ce Prince à la sûreté de la miennet le premier soupçon que vous en avez eu, sa longue conversation avec Antipe, ce qu'il vient de vous dire, parle hautement de son crime, et demande sa condemnation:
Mais vne affection tendre dont ignore la cauſe iointe à ſa renommée, & aux grandess choſes qu’il a fait pour moy, me défend d’écouter tout cequi fait contre luy.	Mais une affection tendre dont ignore la cause jointe à sa renommée, et aux grand choses qu'il a fait pour moi, me défend d'écouter tout cequi fait contre grands.
Continuezmoy degrace, vos fauorables ſoins, & faites ſeulement en ſorte que l’on prenne garde qu’il n’y ait aucun commerce entre Pyritous & luy, ie l’ay mandé venir pour m’éclaircir auec luy rur le lujet de l’intelligece que nous craignons.	Continuezmoi dégrace, vos favorables soins, et faites seulement en sorte que l'on prenne garde qu'il n'y ait aucun commerce entre Pyritous et ainsi, tu l'ai mandé venir pour m'éclaircir avec lui Se lujet de intelligece que nous craignons.
qu’il aye auec nos ennemies.	qu'il aie avec nos ennemies.
MEDEE.	MÈDE.
Ie m’en vay donc mettre des gardes fidelles dans toutes les auenuës.	Je m'en vais donc mettre des gardes fidèles dans toutes les avenues.
Le voicy, Liſandre ne vous éloignez point du Roy.	Le voici, Lisandre ne vous éloignez point du Roi.
SCEINHIAVU	SCEINHIAU
EGEE.	ÉGE.
20 'oy, Theſée, voſtre viſage ſe trouble, vous portez la main ſur la garde dovoſtre eſpée, qu’auez-vous reſolu de	20 ' oi, Thesée, votre visage se trouble, vous portez la main sur la garde dovotre épée, qu'avez-vous résolu de
faire?	faire?
THESEE.	THESEE.
Ie veux découurir vn myſtere à voſtre Majeſté qui le comblera d’eſtonnement.	Je veux découvrir ainsi mystère à votre Majesté qui le comblera d'étonnement.
Ne picnez pasccion.	Ne picnez pasccion.
0	0
1 THESEE.	1 THESEE.
Pourquoy me le défendez-voust ibno	Pourquoi me le défendez-voust ibno
EGEE.	ÉGE.
Medée n’a point eu d’autre deſſein que d’éprouuer voſtre fidelité.	Medée n'a point eu d'autre dessein que d'éprouver votre fidélité.
aiiobnotbnlat coup	aiiobnotbnlat coup
LHd0b 2UV2191 HESEE.	LH0b 2U2191 HÉSEE.
Ie parle pour moy.	Je parle pour moi.
L OUSR CHOH 1 EGEE.	 LUSR CHOHOH 1 ÉGE.
Il n’emeſt pas beſoin, ie ſçay ce que ie dois croire de vous, & ce que ie dois ne pas croire de Medée:	Il n'emêt pas besoin, Seigneur sais ce que personne dois croire de vous, et ce que ie dois ne pas croire de Medée:
aimez la ſi vous maimez, & croyez que ie feray pour vous & pour voſtre amy, tout ce que vous iugerez raiſonnable;	aimez la si vous maimez, et croyez que ici ferai pour vous et pour votre ami, tout ce que vous jugerez raisonnable;
cepẽdant faites ceſſer les ſoupçons que Medée a conçeu contre vous:	cependant faites cesser les soupçons que Medée a conçu contre vous:
dittes-moy quel a eſté l’entretien que vous auez eu auec la Reyne des Amazones?	dites-moi quel a été l'entretien que vous avez eu avec la Reine des Amazones?
THESEE.	THESEE.
Ie parleray ſur le ſujet que vous demandez auant que de parler ſur celuy que ie m’eſtois propoſé, de crainté de vous mettre en droit de croire que i’eſtudie vnereſponce pour vous déguiſer la venté des choſes, & pour vous obliger par vn procedé genereux à ne pas douter de la ſincerité de mes paroles, ie mous confeſſeray premierement que i’aimay autrefois Antiope, & que voſtre conſideration & celle de ma patrie eſtoient les ſeules qui pouuoient me faire prendre les armes contr elle.	Je parlerai sur le sujet que vous demandez avant que de parler sur celui que je m'étais proposé, de crainté de vous mettre en droit de croire que j'étudie vneresponce pour vous déguiser la venté des choses, et pour vous obliger par un procédé généreux à ne pas douter de la sincérité de mes paroles, ie mous confesserai premièrement que j'ai autrefois Antiope, et que votre considération et celle de ma patrie étaient les seules qui pouvaient me faire prendre les armes contraires elle.
Lors qu’on nous a veu parler enſemble ie me plaignois de ce qu’elle attaquoit la Grece, elle ſe plaignoit dequoy ie la défendois!	Lors qu'on nous a vu parler ensemble un me plaignais de ce qu'elle attaquait la Grèce, elle se plaignait dequoy je la défendais!
ie luy diſois les r'aiſons de ma plainte, & du ſecours que ie vous donne:	Le Elle disais les raisons de ma plainte, et du secours que je vous donne:
elle tâchoit d’authoriſer ſes armes & ſa plainte par d’autres raiſons:	elle tâchait d'autoriser ses armes et sa plainte par d'autres raisons:
Enfin nous n’auons eſté ny vaincus, ny vainqueurs, ie me ſuis retiré dans la reſolution de vous continuer mon ſecours, comme elle ſe retiroit dans le deſſein de continuer ſes attaques.	Enfin nous n'avons été ni vaincus, ni vainqueurs, tu me suis retiré dans la résolution de vous continuer mon secours, comme elle se retirait dans le dessein de continuer ses attaques.
Mais ce n’eſt pas aſſez de vous auoir dit queit lu, men rait contre le leruice que ie vous doy, il faut que voſtre Majeſté ſçache encore que ie ne le puis naturelle.	Mais ce n'est pas assez de vous avoir dit queit lu, men rait contre le lervice que ie vous éclair, il faut que votre Majesté sache encore que personne ne le puis naturelle.
ment.	ment.
O	Ô
EGEE.	ÉGE.
T Ie vous croy Theſée, & ie vous connoy trop bien pour douter iamais de cette verité.	 Te vous crois Thesée, et Seigneur vous connais trop bien pour douter jamais de cette vérité.
LLTHESEE.	LLTHÉSE.
Sb.	Sb.
OG IO Ah!	OG JO Ah!
Seigneur, pardonnez.	Seigneur, pardonnez.
moyſi ie ne puix croire que voſtre Majeſté me connoiſſe.	moisi ici ne puix croire que votre Majesté me connaisse.
Maïs voicy Medée, agreez Seigneur, que ie n’aye pas le déplaiſir de conteſter auec elle.	Maïs voici Medée, agréez Seigneur, que tu n'aie pas le déplaisir de contester avec elle.
SCENEV.	SCENEU.
SONNVT	SONNUT
MEDEE.	MÈDE.
q Lme fuit ce traiſtre, & ce n’eſt pas ſans 4 Iſujet, puis que ie porte ſa condamnaMa tion, Voyez ceque ſon amy luyécrit, vous connoiſſez ſon caractere;	q Lême fuit ce traître, et ce n'est pas sans 4 Jsujet, puis que G porte sa condamnaMa tion, Voyez ceque son amy luyécrit, vous connaissez son caractère;
ie viens de ſurprendre ce billet, douterez-vous entule de la draiſon:	On viens de surprendre ce billet, doutez-vous entule de la draison:
EGEE.	ÉGE.
Dieux qu’eſt-ce que ie vo	Dieux qu'est-ce que ainsi vo
MEDEE.	MÈDE.
Liſez, Seigneur, & ne me conteſtéz plus ſur ce que vous deuez faire pour voſtre ſeureté.	Lisez, Seigneur, et ne me contestez plus sur ce que vous devez faire pour votre sûreté.
4 EGEE.	4 ÉGE.
I'ay fait ſçauoir à la Reyne des Amaſones les pretentions que vous auez ſur la Couronne d'Athenes, & ie l’ay trouuée diſpoſée à faire ce que vous voudrez:	J'ai fait savoir à la Reine des Amasones les prétentions que vous avez sur la Couronne d'Athène, et ainsi l'ai trouvée disposée à faire ce que vous voudrez:
faites nous donc ſçauoir l’eſtat des choſes, & donnez ordre qu’on traitte la Princeſſe en ſœur d’Antiope.	faites nous donc Savoir l'état des choses, et donnez ordre qu'on traite la Princesse en sœur d'Antiope.
Défiez-vous de Medée, & ſça 9 chez qu’on ne peut trop toſt commencer vn grand deſjein.	Défiez-vous de Medée, et sa 9 chez qu'on ne peut trop tôt commencer un grand désjein.
PYRITOVS.	PYRITOUS.
Ah!	Ah!
perfide c’eſt trop, ie ne puis retarder dauantage voſtre perte, ſi ie ne veux auancer la mienne.	perfide c'est trop, je ne puis retarder davantage votre perte, si personne ne veux avancer la mienne.
Lyſandre, ſuiuez Theſée, & faitesluy commandement de ma part d’attendre mes ordrés dans ſon logis, & s’il y reſiſte ie vous permets d’vſer de violence;	Lysandre, suivez Thesée, et faitesluy commandement de ma part d'attendre mes ordrés dans son logis, et s'il y résiste ie vous permets d'user de violence;
enfin vous me reſpondrez de luy.	enfin vous me répondrez de belle.
Toutefois arreſtez, ie vous deffends de toucher à ſa vie, & ie vous brdonne de me rapporter fidelement ce qu’il vbus dira lors que vous l’arreſterez.	Toutefois arrêtez, une vous défends de toucher à sa vie, et je vous brédonne de me rapporter fidèlement ce qu'il vbus ce lors lorsque vous l'arrêterez.
Dieux!	Dieux!
quelle trahiſon?	quelle trahison?
Mais, Madame, ne pourrions-nous pas lire ce qui a eſté effacé de ce billet, peuteſtre en tirerions-nous quelque auis conſiderable.	Mais, Madame, ne pourrions-nous pas lire ce qui a été effacé de ce billet, peutestre en tirerions-nous quelque avis considérable.
MEDEE.	MÈDE.
Seigneur, il n’eſt pas poſſible;	Seigneur, il n'est pas possible;
i’auois penſé qu’on euſt couuert l’écriture en cét endroit de quelque ancre qu’on peût oſter par quelque inuention, & i’y ay employé tout ce que i’ay pû imaginer inutilement.	j'avais pensé qu'on eût couvert l'écriture en cet endroit de quelque ancre qu'on put ôter par quelque invention, et j'y ai employé tout ce que j'ai pu imaginer inutilement.
Mais enfin que pretendez-vous faire de ce traiſtre?	Mais enfin que prétendez-vous faire de ce traître?
pourquoy prendre ſoin de ſa vie?	pourquoi prendre soin de sa vie?
voulez-vous le conſeruer iuſques à ce qu’il ait trouué occaſion de vous deſtruire?	voulez-vous le conserver jusques à ce qu'il ait trouvé occasion de vous détruire?
Ah!	Ah!
ne conteſtez plus, ſignez l’arreſt de ſon tteſpas, il faut que vous periſſiez auJealanay rrnoa raude.	ne contestez plus, signez l'arrêt de son ttespas, il faut que vous périssiez auJeanai raînoa ravde.
EGEE.	ÉGE.
Ie connoy bien que le conſeil que vous me donnez eſt le plus aſſeuré, auſſi ne veux-je plus y reſiſter.	Je connais bien que le conseil que vous me donnez est le plus assuré, aussi ne veux-je plus y résister.
Oüy, Madame, ie veux que Theſée meure, quelque déplaiſir que cette reſolution me donne:	Oui, Madame, je veux que Thesée meure, quelque déplaisir que cette résolution me donne:
mais pour ne pas attirer ſur moy le reproche à la haine des Princes Grecs, ie veux que ce foit par vn arreſt du Senat qui iuſtifie mon reſſentiment, & qui m'excuſe enuers la poſtérité.	mais pour ne pas attirer sur moi le reproche à la haine des Princes Grecs, ie veux que ce soit par un arrêt du Sénat qui justifie mon ressentiment, et qui m'excuse envers la postérité.
MEDEE.	MÈDE.
VIETU Ah!	VIETU Ah!
Seigneur, ne retardez point cette vengeance, tandis que Theſée viura vous aurez touſiours ſujet de le craindre, Antiõpe & ſon amy employeront toutes choſes pour le tirer de vos mains;	Seigneur, ne retardez point cette vengeance, tandis que Thesée vivra vous aurez toujours sujet de le craindre, Antipe et son ami emploieront toutes choses pour le tirer de vos mains;
ſa mort ſeulement peut fa re ceſſer voſtre crainte & leurs efforts:	sa mort seulement peut fa re cesser votre crainte et leurs efforts:
ils n’en apprendront pas pluſtoſt la nouuelle que vous verrez leur Armée ſediſſiper.	ils n'en apprendront pas plustost la nouvelle que vous verrez leur Armée sédissiper.
Enſin vous deuez ſa perte à voſtre repos:	Ensin vous devez sa perte à votre repos:
mais pour ne pas aigrir contre vous les Princes Grecs, il faut le faire mourir par vnſccret poiſon.	mais pour ne pas aigrir contre vous les Princes Grecs, il faut le faire mourir par unsccret poison.
110 EGEE 1A aan:	110 ÉGE 1A aan:
Madailic, ie lic puiom y’icloudre.	Madailic, avait lic puiviom y'icloudre.
MEDEE.	MÈDE.
Seigneur, ne conteſtez plus, & ſçachez que hnulqaud momltuummaveltie peuil MrammaM 1C.	Seigneur, ne contestez plus, et sachez que hannulqaud momltuummaveltie peuil MrammaM 1C.
L nan rs qlHGxondob EGEE.	 Lan rs qlHGxondob ÉGE.
Et bien qu’il meuré, qu’il meuré mais, Maeena poiton auparauant que de le donner.	Et bien qu'il meuré, qu'il meuré mais, Maéne poiton auparavant que de le donner.
Mn	Mn
SCLIVT 1 20 VE THA NERINE, MEDEE.	SCLIVT 1 20 VE -THA NERINE, MÈDE.
{  Eu M Pis, Miadaiie, comment ſe peut-il faire que vous pourſuiuiez la mort de Theſée, d’vn Prince pour qui vous auez teſmoigné tant d’amour?	 Eu EU Mis, Miadai, comment se peut-il faire que vous poursuiviez la mort de Thesée, d'un Prince pour qui vous avez témoigné tant d'amour?
E1 LUNOHS MEDEE.	E1 LUNOHS MÈDE.
COIbROIGS HOR Il m’amépriſé, Nerine, & ſçache que ie puis tout faire pour punir vn mépris.	COIbROIGS HOR Il m'améprisé, Nerine, et sache que votre puis tout faire pour punir un mépris.
MIL IONER INEOV MnO d.	MIL JONER INEOU MnO d.
s Peut-eſtre n’a t’il pas oonnu voſtre affection!	 Peut-être n'a -t-il pas oonnu votre affection!
MEDEE.	MÈDE.
I’ay parlé:	J'ai parlé:
Te diray-je encore dauantage?	Te dirai-je encore davantage?
i’ay voulu luy donner la Couronne d'Egée, mais il pretend de l’auoir par vne autre voye, & ſes pretentions ne ſont point ſans fondemens, puisqu’en effet il doit ſucceder au Roy d’Athenes.	j'ai voulu venir donner la Couronne d'Egée, mais il prétend de l'avoir par une autre voie, et ses prétentions ne sont point sans fondements, puisqu'en effet il doit succéder au Roi d'Athènes.
Comment?	Comment?
NERINE.	NERINE.
MEDEE.	MÈDE.
Il eſt ſon fils, ie l’ay ſçû des Demons que i’ay coniuiten tur ie rujet de mia pairion, & deux Ilgnes que i’ay effacées du billet de Pyritous m’en ont abſoluëment aſſeurée.	Il est son fils, je l'ai su des Demons que j'ai conjuiten tur ie rujet de mia pairion, et deux Ilgnes que j'ai effacées du billet de Pyritous m'en ont absoluement assurée.
NERINE.	NERINE.
Il eſt donc innocent du crime dont on l’accuſe.	Il est donc innocent du crime dont on l'accuse.
MEDEE.	MÈDE.
N’importe, il eſt coupable d’ingratitude, & ie dois pourſuiure ſa mort pour preuenir les maux qu’il me pourrore faire apres la Ieconnoiſſance.	N'importe, il est coupable d'ingratitude, et et dois poursuivre sa mort pour prévenir les maux qu'il me pourrore faire après la Jeconnaissance.
MEDEE.	MÈDE.
Ver Mais, Madame.	Ver Mais, Madame.
MEDEE.	MÈDE.
Ne me replique point, ſuy-moy, & ſçache que tu mourras dés l’inſtant que tu penſeras à deſcouurir les ſecrets que ie te confie.	Ne me replique point, suivis-moi, et sache que tu mourras dès l'instant que tu penseras à découvrir les secrets que sans te confie.
Fin du quatrieſme Acte.	Fin du quatrième Acte.
L d A M	L d À M
lLRo vous acommandé de mar M reſter, moy?	lLRo vous acommandé de mar M rester, moi?
DCIAV I I THESEE, LYSANDRE, & des Archers.	DCIV I I THESEE, LYSANDRE, et des Archers.
LYSANDRE.	LYSANDRE.
Oüy, Seigneur, vous.	Oui, Seigneur, vous.
THESEE.	THESEE.
Il le peut, mais ce qui luy en donne la puiſſance deuroit luy en oſter la volonté:	Il le peut, mais ce qui lui en donne la puissance devrait avoir en ôter la volonté:
ie ne murmure point pourtant contre ſes ordres, mais i’ay bien ſujet de me plaindre de ſa facilité:	Je ne murmure point pourtant contre ses ordres, mais j'ai bien sujet de me plaindre de sa facilité:
dites-luy qu’il a trop de confiance en Medée, que cette deteſtable ſorciere trauaille moins à luy procurer des ſucceſſeurs par ſes enchantemens qu’à l’en priuer par ſa malice:	dites-lui qu'il a trop de confiance en Medée, que cette détestable sorcière travaille moins à lui procurer des successeurs par ses enchantements qu'à l'en priver par sa malice:
enfin priez-le de ma part de ne me pas condamherralioM oun.	enfin priez-le de ma part de ne me pas condamnerralioM oun.
LYSANDRE.	LYSANDRE.
le doy vous conduire chez vous.	le dois vous conduire chez vous.
THESEE.	THESEE.
Allons où vous voudrez.	Allons où vous voudrez.
LTOANDRE.	LTONDRE.
Rendez donc voſtre eſpée.	Rendez donc votre épée.
THESEE.	THESEE.
Mon eſpée:	Mon épée:
Ah!	Ah!
ſçachez que ie nela rendray qu’au Roy, & que ie mourray dans cette reſolution;	sachez que personne nela rendrai qu'au Roi, et que tu mourrai dans cette résolution;
faites-l’en auertir, & ne m’obligez point à des violences que ie veux éuiter.	faites-l'en avertir, et ne m'obligez point à des violences que de veux éviter.
LYSANDRE.	LYSANDRE.
Le Roy nous a défendu d’en vſer, ie vay donc vous conduire dans voſtre apartement, & nous l’auertirons incontinent apres de ce que vous.	Le Roi nous a défendu d'en user, Elle vais donc vous conduire dans votre appartement, et nous l'avertirons incontinent après de ce que vous.
deſirez qu’il ſçache, & de ce qu’il deſire ſçauoir;	désirez qu'il sache, et de ce qu'il désire savoir;
l’ennemy paroiſt, haſtons-nous Clite, ne quittez point le Prince tandis que i’yray voir le Roy.	l'ennemi paraît, hâtons-nous Clite, ne quittez point le Prince tandis que j'irai voir le Roi.
SCENE II.	SCÈNE II.
donnée, on parſe de faire mourir Thefée:	donnée, on parse de faire mourir Thefée:
Hélas!	Hélas!
comment auez-vous eſté découuert?	comment avez-vous été découvert?
MCLIVE II ANTIOPE, LE MESSAGER, PYRITOVS!	MCLIVE II ANTIOPE, LE MESSAGER, PYRITOUS!
Ej A Ieux!	Ej A Jeux!
qu’eſt-ce que vous lacontez?	qu'est-ce que vous laconttez?
Quoy, Medée vous a ſurpris?	Quoi, Medée -vous a surpris?
elle a retenu la lettre que Pyritous vous auoit	elle a retenu la lettre que Pyritous vous avait
LE MESSAGER.	LE MESSAGER.
Madame, ie ne ſçaurois vous le dire, mais ie ſuis bien aſſeuré que tous les hommes enſemble n’eſtoient pas capables de me découurir, il faut que les Demons s’y ſoient employez:	Madame, Seigneur ne saurais vous le dire, mais je suis bien assuré que tous les hommes ensemble n'étaient pas capables de me découvrir, il faut que les Demons s'y soient employés:
enfin Ce lhui feur eit aritue, de iiyoitie Majeſté ne donne promptement du ſecours à Theſée, ie croy ſa perteinéuitable.	enfin Ce lhui seur eit aritue, de iiyoitie Majesté ne donne promptement du secours à Thesée, ie nô sa perteinéuitable.
Vn de ſes gens qui m’a fait ſauuer m’a dit que Medée le vouloit perdre.	Un de ses gens qui m'a fait sauver m'a dit que Medée le voulait perdre.
ANTIOPE.	ANTIOPE.
Mais, Pyritous, il me ſemble pourtant que la lettre que vous luy auez eſcrite le Pauuole larle ldupgonner.	Mais, Pyritous, il me semble pourtant que la lettre que vous lui avez écrite le Pauvole larle ldupgonner.
PYRITOVS.	PYRITOUS.
Il faut que le Roy ne l’ait pas voulu reconnoiſtre, vousſçauez que ie luy parlois en deux endroits de cette reconnoiſſance, & qu’au commencement du billet ie luy dis en propres termes;	Il faut que le Roi ne l'ait pas voulu reconnaître, voussçauez que de lui parlais en deux endroits de cette reconnaître, et qu'au commencement du billet ici en dis en propres termes;
l’ay fait ſçauoir à la Reyne des Amazones les pretentions que vous auez ſur la Couronne d’Athenes, en qualité de fils du Roy Egée;	l'ai fait savoir à la Reine des Amazones les prétentions que vous avez sur la Couronne d'Athène, en qualité de fils du Roi Egée;
ie luy ay meſme parlé de l’eſpée, du portrait, & de la lettre qui vous doiuent faire reconnoiſtre de ce Prince.	Elle lui a mesme parlé de l'épée, du portrait, et de la lettre qui vous doivent faire reconnaître de ce Prince.
laples cette plecaution ie ne içay que penſer de ſa priſe, ſinon que Medée s’en veut défaire pour s’aſſeurer la protection d’Egee.	laples cette pleaution ie ne içay que penser de sa prise, sinon que Medée s'en veut défaire pour s'assurer la protection d'Ége.
ANTIOPE.	ANTIOPE.
aruis que ſeronsenous pour deitourner ce mal-heur?	aruis que seronsenous pour déitourner ce malheur?
PYRITOVS.	PYRITOUS.
Toutes choſes.	Toutes choses.
ANTIOPE.	ANTIOPE.
Helas!	Hélas!
ie crains que tout ce que nous ferons luy ſoit nuiſible, ſouffrirons-nous auſſi que cette deteſtable en triomphe ſans combat?	Ne crains que tout ce que nous ferons venir soit nuisible, souffrirons-nous aussi que cette détestable en triomphe sans combat?
Ah!	Ah!
genereux Prince, i’ay deſiré que vous n’aimaſſiez point Medée, mais ie ne voulois pas qu’elle vous haïſt ſi fort.	généreux Prince, j'ai désiré que vous n'aimassiez point Medée, mais toujours ne voulais pas qu'elle vous haïst si fort.
PYRITOVS.	PYRITOUS.
Madame, il faut le refoudre.	Madame, il faut le résoudre.
ANTIOPE.	ANTIOPE.
A quoy me reſoudray-je?	À quoi me résoudrai-je?
Pierrevos A combatre, ou à prier.	Prierrevos À combattre, ou à prier.
ANTIOPE.	ANTIOPE.
Combattons, prions, faiſons tout ce que vous iugez vtile au ſalut de Theſée.	Combattons, prions, faisons tout ce que vous jugez vtyle au salut de Thesée.
A moy, mes cheres compagnes, à l’aſſaut, à la mort, il s’agit en cette occaſion de plus que d’Athenes:	À moi, mes chères compagnes, à l'assaut, à la mort, il s'agit en cette occasion de plus que d'Athènes:
Mais non arreſtez-vous, prions où nous deuions commander, allons Pyritous, approchons-nous des remparts, & demandons à parſer au Rtoj, nontte prerenee camera peut-eſtre ce grand orage.	Mais non arrêtez-vous, prions où nous devions commander, allons Pyritous, approchons-nous des remparts, et demandons à parser au Raij, nontte prerenee camera peut-être ce grand orage.
PYRITOVS.	PYRITOUS.
C’eſt le meilleur conſeil.	C'est le meilleur conseil.
ANTIOPE.	ANTIOPE.
Allons, Taleſtrie, ſaites que nos compagnes ſe tiennent en armes, pour faire ſucceder la violence & la douceur, s’il eſt neceſſaire, auſſi bien voyons-nous deſia l’ennemy paroiſtre ſur les terraſſes du Palais d’Egée.	Allons, Taltrie, saites que nos compagnes se tiennent en armes, pour faire succéder la violence et la douceur, s'il est nécessaire, aussi bien voyons-nous déjà l'ennemi paraître sur les terrasses du Palais d'Egée.
