A	À
E ij Elle m’ayme, elle m'ayme, ah!	 Ej Elle m'aime, elle m'aime, ah!
que dis-ie, inſenſé:	que dis-je, insensé:
Sans doute par mépris l’Ingrate m’a laiſſé.	Sans doute par mépris l'Ingrate m'a laissé.
L’Amour eſt inconſtant ainſi que la fortune, Son Empire reſſemble à celuy de Neptune, Pour quiconque s'y treuue, il n'eſt rien d’aſſeuré, Le plus heureux doit eſtre au mal heur preparé.	L'Amour est inconstant ainsi que la fortune, Son Empire ressemble à celui de Neptune, Pour quiconque s'y trouve, il n'est rien d'assuré, Le plus heureux doit être au mal heur préparé.
Vn grand calme eſt ſouuent ſuiuy d’vn grand orage;	Un grand calme est souvent suivi d'un grand orage;
Et tout proche duport on peut faire naufrage, Ce ſont des veritez dont je ne doute pas:	Et tout proche duport on peut faire naufrage, Ce sont des vérités dont je ne doute pas:
Mais mon Eſclaue icy s’achemine à grands pas,	Mais mon Esclaue ici s'achemine à grands pas,
SCENE VIALMANSOR, GASVL.	SCÈNE VIALMANSOR, GASVL.
AAMANSON.	AAMANSON.
3aſd ſrouue comelſe?	3asd scouve comelse?
41 GAS VLI Oüy, Seigneur, & ié penſe 0 pour vous embraſſer à la haſte il s’auance.	41 GAS VLI Oui, Seigneur, et jé pense 0 pour vous embrasser à la hâte il s'avance.
ALMANSOR.	ÀLMANSOR.
Ctit vuiom que mer pas luy doiuent épargner,	Ctit vu que mer pas même doivent épargner,
GASVL.	GASVL.
Durant voſtre entretien, dois-ie pas m'eloigner?	Durant votre entretien, dois-je pas m'éloigner?
ALMANSOR.	ÀLMANSOR.
Oüy, va me preparer vn concert de Muſique?	Oui, va me préparer un concert de Musique?
BASVL.	BASVL.
Vn concert?	Un concert?
quoy ſi tard?	quoi si tard?
ALMANSOR.	ÀLMANSOR.
Va viſte, & ſans replique:	Va vite, et sans réplique:
SCENE VII.	SCÈNE VII.
AMNCON, OMELLE.	AMNCON, OMELLE.
GOMELLE.	GOMELE.
Ve ie ſuis conſolé de vous reuóir icy!	Ve ici suis consolé de vous reuóir ici!
ALMANSOR.	ÀLMANSOR.
ma ioje en vous voyant nent pas moins grande auſſi:	ma joje en vous voyant nent pas moins grande aussi:
Mais parlons de ma mere.	Mais parlons de ma mère.
GOMELLE.	GOMELE.
Attendez ſa venuë, Demain, icy ſans faute elle arriue inconnuë?	Attendez sa venue, Demain, ici sans faute elle arrive inconnue?
AMAMIVVOR.	AMAMIVOR.
Inconnuë, & pourquoy n'oſer ſe faire voir?	Inconnue, et pourquoi n'oser se faire voir?
GOMELLE.	GOMELE.
Lo ſecret ſeulement d’elle ſe doit ſçauoir.	Lo secret seulement d'elle se doit savoir.
ALMANSOR.	ÀLMANSOR.
vuutœur vient.	vuutœur vient.
elle pas?	elle pas?
GOMELLE.	GOMELE.
Tne laot pont Teſtenare.	Tne laot pont Testenare.
ALMANSOR.	ÀLMANSOR.
Où fait-elle ſeiour?	Où fait-elle séjour?
GOMELLE.	GOMELE.
Ie ne puis vous l’apprendre.	Je ne puis vous l'apprendre.
ALMANSOR.	ÀLMANSOR.
Que dites vous, Gomelle, & que puis-ie penſer Dedans l'incertitude où vous m’allez laiſſer?	Que dites -vous, Gomèle, et que puis-je penser Dedans l'incertitude où vous m'allez laisser?
Ce procedé m’eſtonne & cet obſcur langage Eſt d’vn mal-heur caché le viſible preſage!	Ce procédé m'étonne et cet obscur langage Est d'un malheur caché le visible présage!
Helas, ma ſœur eſt morte, il n’en faut point douter!	Hélas, ma sœur est morte, il n'en faut point douter!
GOMELLE.	GOMELE.
sa moren en pas iemai qui vous doit attriſter.	sa moren en pas immai qui vous doit attrister.
ALMANSOR.	ÀLMANSOR.
Qu’eſt-il donc arriué?	Qu'est-il donc arrivé?
GOMELLE.	GOMELE.
Quelque choſe de pire:	Quelque chose de pire:
ALMANSOR.	ÀLMANSOR.
Ce mot pour m’éclaircir, ne peut encote ſuſſire:	Ce mot pour m'éclaircir, ne peut encote sussire:
Sçauray-ie point pourquoy l’ordre m’eſt arriué De ſortir de Tremiſſe où ie fus éleué?	Saurai-je point pourquoi l'ordre m'est arrivé De sortir de Trémisse où ie tu éleué?
De me rendre en ces lieux en toute diligence, De m’addreſſer à vous auecque conſiance, De taire ma famille, & de changer encor, Le nom d’Abencerage, en celuy d’Almanſort.	De me rendre en ces lieux en toute diligence, De m'adresser à vous manque constance, De taire ma famille, et de changer encor, Le nom d'Abencerage, en celui d'Almansort.
GOMELLE.	GOMELE.
Ie dois deſſus ce point auoir la bouche cloſe, Il ne m’eſt pas permis de vous dire autré choſe.	Je dois dessus ce point avoir la bouche close, Il ne m'est pas permis de vous dire autré chose.
C'eſt voſtre Mere, enfin, qui le ſouhaitte ainſi, Par ſa bouche demain vous ſerez éclaircy:	C'est votre Mère, enfin, qui le souhaite ainsi, Par sa bouche demain vous serez éclairci:
Mais deſia le Soleil pallit deuant Diane, Aittendune lesepusention, dans ma Cabane;	Mais déjà le Soleil pallit devant Diane, Aittendune lesepusention, dans ma Cabane;
ALMANSOR.	ÀLMANSOR.
Vous m’en diſpenſerez, sIl vous plaiſt, auiousd’huy.	Vous m'en dispenserez, sIl vous plaît, aujoud'hui.
GOMELLE.	GOMELE.
Où voulez vous aller?	Où voulez -vous aller?
ALMANSORI Zegry m’attend chez-luy?	ÀLMANSORI Zegri m'attend chez-lui?
GOMELLE.	GOMELE.
Zegry, que dites vous, quel charme vous engage A reſpondre ſi mal au nom d’Abencerage, A cette inimitié, qui pour mille raiſons, Eſt comme hereditaire entre vos deux Maiſons?	Zegri, que dites -vous, quel charme vous engage A répondre si mal au nom d'Abencerage, À cette inimitié, qui pour mille raisons, Est comme héréditaire entre vos deux Maisons?
ALMANSOR.	ÀLMANSOR.
Vn deuolr bien plus iuſte à l'aymer me conuie, Dans le Caire ſans luy i’aurois perdu la vie, De lâches ennemis m’auoyent enuironné;	Un dévolr bien plus juste à l'aimer me convie, Dans le Caire sans lui j'aurais perdu la vie, De lâches ennemis m'avaient environné;
Et ſans ſon prompt ſecours l'eſtois aſſaſſiné, Son nom que ie connus ſans me faire connoiſtre, Troubla mon amitié qui commençoit à naiſtre:	Et sans son prompt secours l'étais assassiné, Son nom que je connus sans me faire connaître, Troubla mon amitié qui commençait à naître:
Mals ſes bontez pour moy, ſes ſoins ſes agtéemens, Diſſiperent bien-toſt ces vleux reſſentiments;	Mals ses bontés pour moi, ses soins ses agtéemens, Dissipèrent bientôt ces vleux ressentiments;
Et ſuiuant l'amitié dont le neud nous aſſemble, Dans ce pays enfin, nous reuinſmes enſemble, Ou ſelus ounge par le meme lien, De ne pas ſouhaitter de logis que le ſien.	Et suivant l'amitié dont le neud nous assemble, Dans ce pays enfin, nous revinsmes ensemble, Ou élus ounge par le même lien, De ne pas souhaiter de logis que le sien.
GOMELLE.	GOMELE.
O Ciel!	Ô Ciel!
mais pourſuiuez.	mais poursuivez.
ALMANSOR.	ÀLMANSOR.
Sa ſœur vous eſt connut, Ie deuins ſon Amant dés ſa premlere veuë, Par vn charme puiſſant dont ſeule elle ſçait l'art;	Sa sœur vous est connut, Je devins son Amant dès sa premre vue, Par un charme puissant dont seule elle sait l'art;
Mon cœur à ſe baux yeux ne coulta qu’vn regard.	Mon cœur à se baux yeux ne coulta qu'un regard.
Et ſi l’Hymen!	Et si l'Hymen!
GOMELLE.	GOMELE.
Tout beau n'acheuez pas le reſte;	Tout beau n'achevez pas le reste;
Gardez de vous flatter d'vn eſpoir ſi funeſte, Ne ſounantez iamais cet moigue bon-neur;	Gardez de vous flatter d'une espoir si funeste, Ne sounantez jamais cet moigue bon-neur;
Perdez vos paſſions où vous perdez l’honneure	Perdez vos passions où vous perdez l'honnure
L'honneur?	L'honneur?
ALMANSOR.	ÀLMANSOR.
GOMELLE.	GOMELE.
Oüy, ce diſcours vous ſurprend & vous fãche?	Oui, ce discours vous surprend et vous fãche?
AERARSOR.	ARARSOR.
Ie crains le nom d’Ingrat.	Je crains le nom d'Ingrat.
GOMELLE.	GOMELE.
Craignez celuy de lâche?	Craignez celui de lâche?
Ces honteux mouuemens bleſſent voſtre deuoir:	Ces honteux mouvements blessent votre devoir:
ALMANSOR.	ÀLMANSOR.
Quelle en eſt la raiſon, ne puis-ie la ſçauoir?	Quelle en est la raison, ne puis-je la savoir?
GOMELLE.	GOMELE.
Demain vous l’apprendrez en voyant voſtre Mes Haïſſez cependant, & la ſœur & le frere.	Demain vous l'apprendrez en voyant votre Mes Haïssez cependant, et la sœur et le frère.
ALMANSOR.	ÀLMANSOR.
Les haïr, moy qui d’eux ay receu tant de bient Non, non, le lure:	Les haïr, moi qui d'eux ai reçu tant de bient Non, non, le lure:
GOMELLE.	GOMELE.
Entrons, & ne iurez de rien;	Entrons, et ne jurez de rien;
Fin du deuxieſme Acte.	Fin du deuxième Acte.
EETE III SCENE PREMIERE.	EETE III SCÈNE PREMIÈRE.
LEGRT, ORMIN,	LEGRT, ORMIN,
ZEGRY.	ZÉGRY.
Q Eſia la nuit s’approche,il eſt tẽps de te mettre Mon eſpolr dans les mains auec cette lettre:	Q Esia la nuit s'approche,il est temps de te mettre Mon épolr dans les mains avec cette lettre:
&o Pratique ſon Eſclaue, & fay diſcrettement, Qu'elle veille de toy prendre ce Diamant:	eto Pratique son Esclave, et fais discrettement, Qu'elle veille de toi prendre ce Diamant:
Eiiuntte nistoy oiende touletoraciene Pour ſçauoir les ſecrets de ſa fiere Maiſtreſſe;	Eiiuntte nîtoi oie touletoraciene Pour savoir les secrets de sa fière Maîtresse;
Et ſonge qu'au retour i'atrends de ton tapport!	Et songe qu'au retour j'atrends de ton tapport!
Ou l'Arteſt de ma vie, ou celuy de ma mort,	Ou l'Artest de ma vie, ou celui de ma mort,
ORMIN.	ORMIN.
Cruel commandement toù me voy-ie reduitte!	Cruel commandement toù me vois-je réduite!
Encore vn mot;	Encore un mot;
Selgneur,auant que ie vous quitte?	Selgneur,avant que ici vous quitte?
Songez y bien encor, quel eſpoir auez vous, Vos importunirez accroiſtront ſon couroux, Et vous ferez bien mieux ſi i'oſe vous le dire, De ſortir pour iamais de cét indigne;	Songez y bien encor, quel espoir avez -vous, Vos importunirez accroîtront son courroux, Et vous ferez bien mieux si j'ose vous le dire, De sortir pour jamais de cet indigne;
Empire, Ainſi que de l'amour, l’amour meſme eſt le prix;	Empire, Ainsi que de l'amour, l'amour même est le prix;
La haine doit touſiours attiter le mépris.	La haine doit toujours attiter le mépris.
Vos ames pour s'vnir ſont trop mal aſſorties, L’Amour.	Vos âmes pour s'Hir sont trop mal assorties, L'Amour.
pert ſon pouuoir dans les antipaties;	pert son pouvoir dans les antipaties;
Et c’eſt vn crime égal dans vn contraire effed De bays qui nous ayme, ou d’aymes qul nous hayt:	Et c'est un crime égal dans un contraire efféd De Dame qui nous aime, ou d'aimes qul nous hait:
Ha, ne m’en parle plus, mon mal eſt inuincible!	Ha, ne m'en parle plus, mon mal est invincible!
Au charme qui me pert mon ame eſt itop ſenſible, Poux vainere mes ennuis qui n’ont point de pareils, Ie cherche du ſecours, & non pas des conſeils;	Au charme qui me pert mon âme est itop sensible, Poux vaine mes ennuis qui n'ont point de pareils, Je cherche du secours, et non pas des conseils;
Et pour ne ceder pas au torrent qui m'emporte, Ie ſens mon cœur trop foible & ma chaîne trop forte.	Et pour ne céder pas au torrent qui m'emporte, Je sens mon cœur trop faible et ma chaîne trop forte.
ORMIN.	ORMIN.
O figoureox aaueu Imaisn vos Lams iont vaias, Si Fatime s’obſtine en ſes premiers deſdains.	Ô figoureox aaveu Imaîn vos Lams jont vais, Si Fatime s'obstine en ses premiers dédains.
ZEGRY.	ZÉGRY.
Ah, quel plaiſir prends-tu d’accroiſtre mes allarmes?	Ah, quel plaisir prends-tu d'accroître mes alarmes?
Cele moy ſes rigueurs, & parle de ſes charmes, Par d’aſſez grands tourmens mon cœur eſt éprouué tomai'uimiker o visidux uin ele puvenides Sois vn peu moins fidelle & flatte ma foibleſſe, Si dans mes deſplaiſirs ton ame s’intereſſe.	Ce moi ses rigueurs, et parle de ses charmes, Par d'assez grands tourments mon cœur est éprouvé tomai'uimiker ô visux ouvin éle puvenides Sois un peu moins fidèle et flatte ma faiblesse, Si dans mes déplaisirs ton âme s'intéresse.
ORMIN.	ORMIN.
Si vos yeux de mon cœur penetroient les ſecrets;	Si vos yeux de mon cœur pénétraient les secrets;
Vous ſeauriez que i'y prends d’extremes intereſts p Et que ſi voſtre ſort eſtoit en ma puiſſance, Vos plaiſirs paſferoient bien-toſt voſtre eſperance.	Vous seauriez que j'y prends d'extrêmes intérêts p Et que si votre sort était en ma puissance, Vos plaisirs passeraient bientôt votre espérance.
I'atteſte le Prophete honnoré parmy nous Que de tous vos ennuis, ie ſens les contre-coups, Que i'en pers le repos, que comme vous ie tremble:	J'atteste le Prophète honoré parmi nous Que de tous vos ennuis, iejours les contrefois, Que j'en pers le repos, que comme vous la tremble:
& dim vouan enen ener vien piur qu’il ne vous ſemble, Que mon bon-heur dépend du ſuccez de vos feux, Et que c’eſt pour vous ſeul que mon cœur fait, des VŒUX.	et dim vouan enen en vien pivr qu'il ne vous semble, Que mon bonheur dépend du succès de vos feux, Et que c'est pour vous seul que mon cœur fait, des VUX.
ZEGRY.	ZÉGRY.
Plaiſe au Ciel que ton zele heureuſement éelate;	Plaise au Ciel que ton zèle heureusement éelate;
Touchant en ma ſaueur l'ame de cette IngrateMa ſœur l'a deſia veuë, & ſans doute ie croy Qu'elle n’a pas manquéde luy parler pour for:	Touchant en ma saveur l'âme de cette IngrateMa sœur l'a déjà vue, et sans doute autre crois Qu'elle n'a pas manquède lui parler our for:
Leur amitié me flatte, & permet que i’eſpere, Que qui cherir la ſœur, pourra cherir le frere.	Leur amitié me flatte, et permet que j'espère, Que qui chérir la sœur, pourra chérir le frère.
Adieu fay ten deuoir, & ſans perdre de temps, Reufen sendre le caſme à mes eipints nottans.	Adieu fais ten devoir, et sans perdre de temps, Reven sendre le câme à mes éjpints nottants.
ORMIN.	ORMIN.
I'y mettray tous mes ſoins, veille le ſaint Prophete En rendre le ſuccez, tel que ie le ſouhaitte.	J'y mettrai tous mes soins, veille le saint Prophète En rendre le succès, tel que enfin le souhaite.
SCENE II.	SCÈNE II.
ORMIN ſeule.	ORMIN seule.
SIANCEJ.	SIANCEJ.
uoy me reſoudray-ie en ce mortel ennuy, A Dois:	uoy me résoudrai-je en ce mortel ennui, A Dois:
ie ſoliciter ma Riuale auiourd'huy, Pour vn Maiſtre ingtat qui m’outrage?	Elle soliciter ma Rivale aujourd'hui, Pour Maistre ingtat qui m'outrage?
Et s’il paroiſt aueugle à mon deſauantage, La ſeray-ie encor plus que luy?	Et s'il paraît aveugle à mon désavantage, La serai-je encor plus que lui?
B?	B?
t01 Quoy, de ce que crains preſſetay-ie l'effet?	t01 Quoi, de ce que crains pressetai-je l'effet?
Faut-il à mes dépens le rendre ſatisfait.	Faut-il à mes dépens le rendre satisfait.
Par vne contrainte cruelle, Et doy.	Par une contrainte cruelle, Et dois.
ie deuenir la Miniſtre fidelle:	Elle devenir la Ministre fidèle:
Des iniuſtices qu’il me fait?	Des injustices qu'il me fait?
Non, non, ne ſeruons pas auec tant de chaleur, Pour nous troubler encore par vn nouueau mal-heur Qui me couſterolt tant de larmes:	Non, non, ne servons pas avec tant de chaleur, Pour nous troubler encore par un nouveau malheur Qui me coûterolt tant de larmes:
s’il faut mourir, au moins ne dõnõs point les arme Qui doluent me percer le cœur.	s'il faut mourir, au moins ne donner point les arme Qui doluent me percer le cœur.
Faiſons que de Fatime il n’eſpete plus rien, Trahiſſons ce perſide, & le priuons d’vn bien, Qui nous deuiendroit ſi ſuneſte, Nous ne deuous ionder tont Teipon qui nous reſte Que deſſus ſa peite dũ ſien.	Faisons que de Fatime il n'espète plus rien, Trahissons ce perside, et le privons d'un bien, Qui nous deviendrait si suneste, Nous ne devous ionder tont Téipon qui nous reste Que dessus sa péite dũ sien.
Mais d'où vlent à ces mots que le fiemis d’effroy!	Mais d'où vlent à ces mots que le fiemis d'effroi!
Ie ſens deſia mon cœur ſouleué contre moy.	Je sens déjà mon cœur soulevé contre moi.
El Taucor dcceeruer Mandes Helas, tout infidele encore qu'il puiſſe eſtre!	Él Tacor dcceeruer Mandes Hélas, tout infidèle encore qu'il puisse être!
Ie ne puis luy manquer de foy.	Je ne puis deux manquer de foi.
t24 623 ouy cedés mon dépit à l'amour qui mn'anime;	t24 623 oui cédés mon dépit à l'amour qui m'anime;
Vn exemple iamais ne ſuſtifie vn crime, Ne déliberons plus, mais j’entends quelque bruit;	Un exemple jamais ne sustifie un crime, Ne déliberons plus, mais j'entends quelque bruit;
C’eſt Fatime qui paſſe, & Chariſe la ſuit.	C'est Fatime qui passe, et Charise la suit.
Source gallicabnffr ſ tionale de France	Source galicabnffr s tionale de France
SCENE III.	SCÈNE III.
Paumumamy oesasseurey OMMIIN,	Paumumami osassurei OMIN,
FATIME.	FATIME.
E mépris de Zaide au dernier point m'iritte?	E mépris de Zaide au dernier point m'iritte?
juy bien loin d’empeſcher qu’Adibar la viiIC, Elle àccepte ſa main pour me deſobliger?	jui bien loin d'empêcher qu'Adibar la viiIC, Elle àccepte sa main pour me désobliger?
Ah, c’eſt vn traittement dont ſe me dois vanger!	Ah, c'est un traitement dont se me dois venger!
CHARIFE.	CHARIFE.
L’affront vous eſt conneu, vous l'auez veu vous meſme, Etpour nen pasmentir, Pamunice ent eſſeme.	L'affront vous est connu, vous l'avez vu vous même, Épour nen pasmentir, Pamunice entour Âme.
FATTHME.	FATHME.
Sçache que mon dépit eſt auſſi ſans pareil:	Sache que mon dépit est aussi sans pareil:
Mais entrons, cette nuit nous donnera conſeil.	Mais entrons, cette nuit nous donnera conseil.
ORMIN.	ORMIN.
Auançons promptement, il ne faut plus attendre;	Avançons promptement, il ne faut plus attendre;
Ie n’oſe ouurir la bouche & ne puis m’en deffendre.	Je n'ose ouvrir la bouche et ne puis m'en défendre.
Amour dans mes mal-heurs méle au moins quelque 'bien;	Amour dans mes malheurs mêle au moins quelque 'bien;
