AV ROT.	AU ROT.
Ah!	Ah!
conſeil inutile.	conseil inutile.
ALMIRE.	ÀLMIRE.
mort n'a qu'vn inſtant, & la vie en a mille,	mort n'a qu'un instant, et la vie en a mille,
Qui ſont tous conſicrez à ce qu’on doit chetit.	Qui sont tous consicrez à ce qu'on doit chétit.
lure pour ce qu’on aime eſt bien plus que mourit.	lure pour ce qu'on aime est bien plus que mourit.
MIRAME.	MIRAME.
Arimant eſt donc mort?	Arimant est donc mort?
ô fortune inconſtante!	ô fortune inconstante!
Arimant eſt donc mort, & Mirame eſt viuante.	Arimant est donc mort, et Mirame est vivante.
Quis· Je ſouſſtit le iour ſans luy manquer de foy?	Quisque Je soutit le jour sans lui manquer de foi?
Puis.	Puis.
je viure ſans luy s’il n’eſt mort que pour moy!	je vivre sans lui s'il n'est mort que pour moi!
Que le Ciel à mon ſexe a donné de foibleſſe, Vn eſclaue auiourd’huy peut plus qu’vne maiſtreſſe.	Que le Ciel à mon sexe a donné de faiblesse, Un esclave aujourd'hui peut plus qu'une maîtresse.
Il a pû le tuër, & moy bruſſant d’amout le n’ay pû par mes ſoins luy conſeruer le iour.	Il a pu le tuer, et moi brussant d'amout le n'ai pu par mes soins lui conserver le jour.
Toutesfois qu’ay-je dit?	Toutefois qu'ai-je dit?
non non, ce miſerable Du meurtre d’Atimant n’eſt pas le plus coupable.	non non, ce misérable Du meurtre d'Atimant n'est pas le plus coupable.
C'eſt moy qui l’ay commis, ma muin l’a fait peris, En luy donnant le fer dont il s’eſt fait mourir.	C'est moi qui l'ai commis, ma muin l'a fait péris, En avait donnant le fer dont il s'est fait mourir.
Cependant cette main, ceue main indiſcrette Ne vange pas encor la ſaute qu’elle a faicte:	Cependant cette main, cève main indiscrète Ne venge pas encor la saute qu'elle a faite:
Et me laiſſant ſuruiure vn treſpas auancé, Elle n’oſe acheuer ce qu’elle a commencé.	Et me laissant survivre un trépas avancé, Elle n'ose achever ce qu'elle a commencé.
ALMIRE.	ÀLMIRE.
Il faet ſe confoler, ce mal eſt ſans remede.	Il faet se consoler, ce mal est sans remède.
MIRAME.	MIRAME.
Helas!	Hélas!
c’eſt le ſujet d’où ma peine procede.	c'est le sujet d'où ma peine procède.
ALMIRE.	ÀLMIRE.
Mais il faut la cacher, ou pluſtoſt la gueris.	Mais il faut la cacher, ou plutôt la guéris.
MIRAME.	MIRAME.
Moy, cacher mon tourmendah!	Moi, cacher mon tourmendah!
l'ayme mieux mouiu.	l'aime mieux mouive.
Vn eſclaue m’apprenſ qu’il faut qut ie periſſe.	Un esclave m'apprends qu'il faut qut faut perdisse.
Autois ie moins que luy de cœur & de iuſtice?	Autais ie moins que Rome de cœur et de justice?
Il a’a pû d’vn moment ſuruiuie ſon fotfaict.	Il aa pu d'un moment survie son fotfait.
Sa main a tepaié le mal qu’elle auoit faic.	Sa main a tepayé le mal qu'elle avait faic.
is qu’il n’a qu’obei, ſon offenſe eſt petite.	Çis qu'il n'a qu'obéi, son offense est petite.
s’eſt puny pourtant, il faut que ie l’imite.	s'est puni pourtant, il faut que ici l'imite.
ioy que de mon amant il ait finy le ſort, ſuis bien mieux que luy la cauſe de ſa mort.	joi que de mon amant il ait fini le sort, suis bien mieux que tu la cause de sa mort.
ALMIRE.	ÀLMIRE.
a vain de ce tranſport l’extreme violence ut armet voſtre bras contre voſtre innocence.	a vain de ce transport l'extrême violence ut armet notre bras contre votre innocence.
malheur d’Arimant vous n’auez point de part, deſſein fait le crime, & non pas le hazatt.	malheur d'Arimant vous n'avez point de part, dessein fait le crime, et non pas le hasat.
MIRAME.	MIRAME.
Quand la mort d’Arimant ne ſeroit pas mon crime, e veux ſeruit au ſort de ſeconde victime.	Quand la mort d'Arimant ne serait pas mon crime, e veux servit au sort de seconde victime.
aiſſe-moy donc mourir.	aisse-moi donc mourir.
Almire;	Almire;
iuſtes Cieux!	justes Cieux!
quel objet importun ſe preſente à mes yeux?	quel objet importun se présente à mes yeux?
SCENE II.	SCÈNE II.
MIRAME.	MIRAME.
ACASTE.	ACACSTE.
ALMIRE.	ÀLMIRE.
MIRAME.	MIRAME.
E' biea, que voulez vous?	E' bieda, que voulez -vous?
parlez moy ſans ſeiatiſes Triompher des vaincus, ah!	parlez -moi sans seiatises Triompher des vaincus, ah!
la noble entreptiſe, digne ſans mentir de vos rares exploits!	la noble entreptise, digne sans mentir de vos rares exploits!
oulez vous le tuer vne ſeconde fois?	oulez -vous le tuer une seconde fois?
l eut plus d'vne vie, oſlez luy la derniere:	l eut plus d'une vie, ôlez peine la dernière:
eſt Mitame qui l’eſt, priuez la de lumiere.	est Mitame qui l'est, privez la de lumière.
ACASTE.	ACACSTE.
ous plaire & vous ſeruir eſt tout ce que ie veux.	ous plaire et vous servir est tout ce que Rome veux.
MIRAME.	MIRAME.
tamor eſt-il donc au comble de ſer vœux?	tamor est-il donc au comble de ser vœux?
Sa vidtoire luy plaiſt autant qu’elle m’offenſe, Suis-ie deſia ſa proye, ou bien ſa recompenſe?	Sa vitoire nom plaît autant qu'elle m'offense, Suis-je déjà sa proie, ou bien sa récompense?
Qu’il me poſſede ainſi que ie fais mon amant.	Qu'il me possède ainsi que sans fais mon amant.
Pourueu que ie deſcende au creux d’vn mondment.	Pourvu que Dieu descende au creux d'un mondment.
Ie veux bien qu’il ni’y ſuiue, & ie ſeray rauie Qu’il rriomphe de moy triomphant de ma vie.	Je veux bien qu'il n'y suive, et notre serai ravie Qu'il riomphe de moi triomphant de ma vie.
Mais en fin dans l’eſtat où l’a mis ſon bonheut.	Mais en fin dans l'état où l'a mis son bonheut.
De la morr d’Atimant tire-t’il grand honneur?	De la morr d'Atimant tire-t-il grand honneur?
S’il eſt vray, cette gloire eſt vn foible aduantage.	S'il est vrai, cette gloire est un faible avantage.
2 Puis qu’vn eſclaue infame auec luy la partage.	2 Puis qu'un esclave infâme avec lui a partage.
Arimant pouuoit ſeul ſe vaincre & ſe domier:	Arimant pouuoit seul se vaincre et se domier:
Son ſeul courage a peu cet honneur emporter:	Son seul courage a peu cet honneur emporter:
De ce fameux guerrier la perte eſt volontaire.	De ce fameux guerrier la perte est volontaire.
Deux Roys ſe ſont armez afin de le défaire, I Leurs armes toutefois ont eſlé ſans effect, ( Et quand il l’a voulu, Ion eſclaue l’a faict.	Deux Rois se sont armés afin de le défaire, I Leurs armes toutefois ont eslé sans effet, ( Et quand il l'a voulu, Ion esclave l'a fait.
ACASTE.	ACACSTE.
Il auoit le cœur grand, mais encor plus d’audice.	Il avait le cœur grand, mais encor plus d'audice.
MIRAME.	MIRAME.
Contre ſes ennemis?	Contre ses ennemis?
ce deſaut a ſa grace.	ce désaut a sa grâce.
ACASTE.	ACACSTE.
Et contie ſes amis, puis qu’il penſoit en vous.	Et contie ses amis, puis qu'il pensait en vous.
MIRAME.	MIRAME.
Ce prand eœur ſe ſentoit, lous qu’il penfoit en noI'eſtois le ſeul obiect de ce cœur magnanime.	Ce prand eœur se sentait, lous qu'il pensait en noI'étais le seul objet de ce cœur magnanime.
Son crime eſt innocent, ſi Mirame eſt ſon crime.	Son crime est innocent, si Mirame est son crime.
ACASTE.	ACACSTE.
En s’armant contre vous pouuiez vous le ſouffiu!	En s'armant contre vous pouviez vous le souffiv!
MIRAME.	MIRAME.
9Il i’arma contre nous, mais pour me conquent.	9IIl j'arma contre nous, mais pour me conquent.
iſtimois ie vn amant ſans merite & ſans gloire?	istimais ieurs amant sans mérite et sans gloire?
Ouy, i’aimois Atimant, & i'aime ſa memoire.	Oui, j'aimais Atimant, et j'aime sa mémoire.
ain mamer m ventd ron ne me peut blâmer.	ain mamer m ventd ron ne me peut blâmer.
ACASTE.	ACACSTE.
rertu d’vne fille eſt de ne rien aimer.	rertu d'une fille est de ne rien aimer.
MIRAME.	MIRAME.
que i'aime n’eſt rien.	que j'aime n'est rien.
puis qu’il neſt plus au monis.	puis qu'il nest plus au monis.
ACASTE.	ACACSTE.
eſt ſur d'autres ralſons qu'vn ſage amour ſe fonde.	est sur d'autres ralsons qu'un sage amour se fonde.
MIRAME.	MIRAME.
eſt vray, par l’amout mon cœur fut abbatu.	est vrai, par l'amout mon cœur fut abattu.
ce fut vne faute, elle deuient vertu.	ce fut une faute, elle devient vertu.
lamout apres la mort deuient vne conſtance, ui des deſits paſſez découure l’innocence.	lamout après la mort devient une constance, ui des désits passez découvre l'innocence.
n amout criminel fut mort à ſon ttépas:	n amout criminel fut mort à son ttépas:
e mleñ ne peur mourit pource qu’il ne l’eſt pas.	eu mêle ne peur mourit pource qu'il ne l'est pas.
zamor veut ma foy, mais Arimant l’emporte.	Xzamor veut ma foi, mais Arimant l'emporte.
eſt moit, il eſt vray, mais ma foy n’eſt pas morte, lle viura touſiours, tant que dedans mon cœur 'iura le ſouuenir de mon noble vainqueur.	est moit, il est vrai, mais ma foi n'est pas morte, lle vivra toujours, tant que dedans mon cœur ' ouvra le souvenir de mon noble vainqueur.
uis qu’il eſt mort pour moy, deſormais ie veux eſtre laiſtreſſe de ce cœut dont il eſtoit le maiſtre.	Ouis qu'il est mort pour moi, désormais te veux être laîtresse de ce cœut dont il était le maître.
quand meſme l’amour pourroit mourir en moy, mais ne peut mourit mon inuincible foy.	quand même l'amour pourrait mourir en moi, mais ne peut mourit mon invincible foi.
ACASTE.	ACACSTE.
llons redire au Roy ce que penſe Mirame.	llons redire au Roi ce que pense Mirame.
le découure aſlez les ſectets de ſon ame.	le découvre aslez les sectets de son âme.
yme mieux vous laiſſer qu’augmenter voſtre ennuy.	yme mieux vous laisser qu'augmenter votre ennui.
SCENE III.	SCÈNE III.
MRIAME.	MRIAME.
ALMIRE.	ÀLMIRE.
MIRAME.	MIRAME.
ALMIRE, r'il eſt mort ie mourray comme lon	ÀLMIRE, r'il est mort ie mourrai comme lon
ALMIRE.	ÀLMIRE.
Si l’ame d’Arimant en voſtte ame eſt vluante, Ceſt le tuet encor que tuer ſon amante.	Si l'âme d'Arimant en vostte âme est vluante, Cest le tuet encor que tuer son amante.
De grace en ſa faueur changez de ſentiment.	De grâce en sa faveur changez de sentiment.
Viuez, ſinon pour vous, du moins pour voſtre am	Vivez, sinon pour vous, du moins pour votre am
MIRAME.	MIRAME.
Trop parler de mourir, qu'eſt-ce que vouloir vlur Il faut pour l’imiter & moutir & le ſuiure, Vn eſclaue luy mit le fer dedans le ſein:	Trop parler de mourir, qu'est-ce que vouloir vlur Il faut pour l'imiter et moutir et le suivre, Un esclave main mit le fer dedans le sein:
Eſclaue de ſes loix ie mourray de ma main.	Esclaue de ses lois Seigneur mourrai de ma main.
Capuif il ſçeut moudir, ie mourray ſa captlue.	Capuif il sçeut moudir, Seigneur mourrai sa captlève.
Il perd pour moy le iour, & pour luy ie m’en pri Perdant l’heur de ma veue il perdit tout eſpoir, Et moy ie me perdray ne pouuant plus le voir.	Il perd pour moi le jour, et pour moi le j'en pri Perdant l'heur de ma vue il perdit tout espoir, Et moi je me perdrai ne pouvant plus le voir.
Il eſt morc dans ſon ſang.	Il est morc dans son sang.
& cette violence Seule de noſtre mort ſera la difference :	et cette violence Seule de notre mort sera la différence :
Car enfin deſormais ce bien m’eſt deſendu, Puis qu’en verſant le ſien le mien s’eſt répandu.	Car enfin désormais ce bien m'est désendu, Puis qu'en versant le sien le mien s'est répandu.
ALMIRE.	ÀLMIRE.
Contte les traits du fort armez voſtre courage.	Contte les traits du fort armés votre courage.
MIRAME.	MIRAME.
Ea mourant, chere Almire, on ſurmonte ſa nge.	Élà mourant, chère Almire, on surmonte sa nège.
Iais, bons Dieux!	Iais, bons Dieux!
cachons nous:	cachons nous:
i’apperçois Azamor;	j'aperçois Azamor;
t ie fremis d’horreur de le reuoir encor.	 tel frémis d'horreur de le revoir encor.
SCENE IV.	SCÈNE IV.
APAMOR.	APAMOR.
ALMIRE.	ÀLMIRE.
MIRAME.	MIRAME.
AZAMOR.	AZAMOR.
VE le plains, Arimant, ta ſin infortunée!	VE le plains, Arimant, ta sin fortunée!
lQue ta perte eſt ſenſible à toute ame bien née!	lIgue ta perte est sensible à toute âme bien née!
u ne meritois pas ce traictement du ſort.	Uu ne méritais pas ce traitement du sort.
ta vie eſloit deuë vne plus belle mort.	ta vie esloit due une plus belle mort.
tais ſi tu l'as cauſée en l’ordonnant toy meſme, e ne puis excuſet cette fuieur extreſme.	tais si tu l'as causée en l'ordonnant toi -même, ne puis excuset cette fuieur extrême.
faut vaincre le ſort, ou bien luy reſiſtant Monſtret qu’on ſçait au moins mourir en combaitant.	faut vaincre le sort, ou bien belle résistant Monstret qu'on avait au moins mourir en combaitant.
Mais.	Mais.
Prince malheureux, s’il eſt vray que ta vie lit eſté ſans ton ordre iniuſtemcnt tauie, que le ſort eſt cruel, dont l’arreſt inhumain A faict donner la moit par vne indigne main!	Prince malheureux, s'il est vrai que ta vie lit été sans ton ordre iniustemcnt tavie, que le sort est cruel, dont l'arrêt inhumain A fait donner la moit par une indigne main!
En le priuant du iout on m’a priué de gloire :	En le privant du jout on m'a privé de gloire :
Deſia ie m’appteſtois pout vne autre victoire.	Déjà Princes m'aptestais pout une autre victoire.
en iure par les Dieux, oüy, s’il eût plus veſcu, Ce bras victorieux l’eut encote vaincu:	en jure par les Dieux, oui, s'il eût plus vécu, Ce bras victorieux l'eut encote vaincu:
u s’il m’eût ſurmonté, mon ame ſatisfaicte Eut meſme triomphé de ma propre de faicte.	Ut s'il m'eût surmonté, mon âme satisfaite Eut esprit triomphé de ma propre de faite.
Le ſuiet du combat eſt ſi plein de vertu, ceut eſté trop d’heur que d’auoir combatu.	Le sujet du combat est si plein de vertu, ceut été trop d'heur que d'avoir combattu.
ALMIRE.	ÀLMIRE.
ieux!	jeux!
qu’il eſt genereux!	qu'il est généreux!
MIRAME.	MIRAME.
Il a l'ame toyúe.	Il a l'âme toyúe.
AZAMOR.	AZAMOR.
at vay.	at vais.
ſa verta a'a iamais eu deſgale.	sa verta aa jamais eu dégale.
ALMIRE.	ÀLMIRE.
minde, que hiſtes vous?	minde, que hîtes -vous?
AZAMOR.	AZAMOR.
Ie me plins en ces llem	Je me plins en ces llem
ALMIRE.	ÀLMIRE.
Nous vous auons oby.	Nous vous avons obi.
AZAMOR.	AZAMOR.
Dites-vous vray!	Dites-vous vrai!
bons Dien	bons Dien
ALMIRE.	ÀLMIRE.
Viuez, Prlnce, viuez fans perdre l'eſperance.	Vivez, Prênce, vivez fans perdre l'espérance.
La Princeſſe eſt le pux d’vne telle conſtance.	La Princesse est le pux d'une telle constance.
AZAMOR.	AZAMOR.
Ie ne puis meriter tant de feliciú.	Je ne puis mériter tant de feliciú.
ALMIRE.	ÀLMIRE.
On merlte, en difant qu’on n'a tien merité.	On merlte, en disant qu'on n'a tien mérité.
AZAMOR.	AZAMOR.
Ie ne veux que la voir.	Je ne veux que la voir.
ALMIRE.	ÀLMIRE.
Elle eſt icy.	Elle est ici.
AZAMOR.	AZAMOR.
Ie tremble.	Je tremble.
ALMIRE.	ÀLMIRE.
Ie veux vous rendre heureux, & vous vnis enſemble.	Je veux vous rendre heureux, et vous unis ensemble.
1!	1!
c'eſt trop.	c'est trop.
AZAMOR.	AZAMOR.
ALMIRE.	ÀLMIRE.
Auendez, ie m'en vay la quetis.	Avendez, Seigneur m'en vais la quetis.
AZAMOR.	AZAMOR.
es yeux.	es yeux.
il la faut voir.	il la faut voir.
& puis il faut mourit.	et puis il faut mourit.
ins vn ſi doux eſpoir que mon ame eſt confuſe!	ins un si doux espoir que mon âme est confuse!
ais que veux ie eſpeter?	ais que veux rien espéter?
ceite fille m’abuſe.	cite fille m'abuse.
ſçay l'inquietude & la douleur du Roy.	sais l'inquiétude et la douleur du Roi.
ſont ſa fille & luy bien contraires pour moy.	sont sa fille et avait bien contraires pour moi.
vn a de l’amitié, l’autre fait voir ſa haine.	un a de l'amitié, l'autre fait voir sa haine.
Deſliurons les tous deux, leur tourment eſt ma peine.	Dèslivrons les tous deux, leur tourment est ma peine.
faur les ſoulager à mes proptes deſpens.	saur les soulager à mes proptes dépens.
ſon courage le veut, ſuis-ie encor eu ſuſpens?	son courage le veut, suis-je encor eu suspens?
faut me deſgager:	faut me dégager:
ie mourray ſi ie cede:	On mourrai si personne cède:
ais i’aymeray ma moit, puis qu’elle eſt leur temede.	ais j'aimerai ma moit, puis qu'elle est leur temède.
MIRAME.	MIRAME.
6 me trahis.	6 me trahis.
Almice, ah!	Almice, ah!
queſt-ce que le voy?	quest-ce que le vois?
ais promettons luy tout, four l’eſloigner de moy.	ais promettons homme tout, four l'éloigner de moi.
AZAMOR.	AZAMOR.
ay ſuiuy iuſqu’icy dans l’excez de ma flame jaueugle paſſion qui regnoit dans mon ame:	ai suivi jusqu'ici dans l'excès de ma flamme javeugle passion qui régnait dans mon âme:
e ſuiuray de ormais les voſties ſeulement.	e suivrai de ormais les vties seulement.
Mon imprudente amour merite vn chaſliment.	Mon imprudente amour mérite un châliment.
approuue vos meſpris, i’approuue voſtie haine.	approuve vos mépris, j'approuve vostie haine.
condamnant mon erreur, l’en approuue la peine.	condamnant mon erreur, l'en approuve la peine.
leuſt au Ciel que la mort rendant mon ſort eſgal uec ce malheureux & bienbeuteux Riual.	leust au Ciel que la mort rendant mon sort égal ec ce malheureux et bienbeuteux Rival.
neuſſe au moins mootir des mains de ma Princeſſe.	nusse au moins motir des mains de ma Princesse.
y des mains d’vn eſclaue, & mey d’vne maiſtieſle.	y des mains d'un esclave, et mei d'une maistiesle.
MIRAME.	MIRAME.
Moy vous faire mouris?	Moi vous faire mouris?
AZAMOR.	AZAMOR.
I'en benirois le ſott.	J'en bénirais le sott.
Ne vouloit pas ma vie eſt bien vouloir ma mon.	Ne voulait pas ma vie est bien vouloir ma mon.
MIRAME.	MIRAME.
Auec quelle raiſon voudrois-ie la pourſuiuret	Avec quelle raison voudrais-je la poursuivret
AZAMOR.	AZAMOR.
Qui n’eſt digne de vous n'eſt pas digne de viure.	Qui n'est digne de vous n'est pas digne de vivre.
