A TRES-NOBLE ET ES-VERTVEVSE Damoyſelle Eleonor Febronie, Comteſſe de Berne.	À TRÈS-NOBLE ET ES-VERTUEUSE Damoiselle Eleonor Fébronie, Comtesse de Berne.
mille fois plus belle que le plus beau jour qui fut iamais:	mille fois plus belle que le plus beau jour qui fut jamais:
que tes appas ſont doux, que tes charmes ſont agreables.	que tes appas sont doux, que tes charmes sont agréables.
I’adore tes ſombres clartez, dont les voille couure l’eſclat du Soleil de ma vie, de peur que ces lumieres ialouſes qui luiſent à noſtre perte, ne decouurent ſon premier Orient en ces lieux ſolitaire:	J'adore tes sombres clartés, dont les voille couvre l'éclat du Soleil de ma vie, de peur que ces lumières jalouses qui luisent à notre perte, ne découvrent son premières Orient en ces lieux solitaire:
Mais quelles traces ſanglantes arreſtent tout à coup mes pas Ceſte mouſſe eſt arouſee de ſang, comme ſi l’Aurore auoir pleuré auiourd’huy de ra ge, & de cholere, pluſtoſt que d’a mour, ou de regret:	Mais quelles traces sanglantes arrêtent tout à coup mes pas Cette mousse est arouse de sang, comme si l'Aurore avoir pleuré aujourd'hui de ra gu, et de colère, plutôt que d'a mour, ou de regret:
ſeroit ce y preſage de mon malheur, ou vne ruze de mon Genie, qui ſe plait ſouuent à troubler mon repos, de quelque aparance de crainte.	serait ce y présage de mon malheur, ou une ruze de mon Génie, qui se plaît souvent à troubler mon repos, de quelque apparance de crainte.
Mon cœur qui ne me trompe iamais en ſon mouuement precipité, me predit quelque infortune.	Mon cœur qui ne me trompe jamais en son mouvement précipité, me prédit quelque infortune.
Il ſoupire malgré moy, & mon mal doit bien eſtre extreme:	Il soupire malgré moi, et mon mal doit bien être extrême:
Car mon Ame affligee, trouble mes ſens, & ma raiſon, pour m’empeſcher de le cognoiſtre.	Car mon Âme afflige, trouble mes sens, et ma raison, pour m'empêcher de le connaître.
D’où me vient l’enuit de pleurer.	D'où me vient l'envit de pleurer.
Ie ſens qu’vne humeui triſte puiſe peu, à peu, l’eau de mes larmes du profond de mon ſein:	Je sens qu'une humeui triste puise peu, à peu, l'eau de mes larmes du profond de mon sein:
O Dieux ſi vous auez minuté l’arreſt de ma mort, ne le prononcés pas iuſques à demain, puis qu’auiourd’huy ie doibs gouſter tous les plaiſirs de la vie;	Ô Dieux si vous avez minuté l'arrêt de ma mort, ne le prononcez pas jusques à demain, puis qu'aujourd'hui nous doibs goûter tous les plaisirs de la vie;
Mais que diſ-je iuſques à demain.	Mais que dis-je jusques à demain.
Ie veux mourir en ce moment;	Je veux mourir en ce moment;
N’eſt ce pas icy le voile de ma chere Thisbé, que ie voy tout ſanglant, & où quelque Lyon a laiſſé les dernieres marques de ſa fureur, auec ſes dents meurtrieres?	N'est ce pas ici le voile de ma chère Thisbé, que je vois tout sanglant, et où quelque Lyon a laissé les dernières marques de sa fureur, avec ses dents meurtrières?
Il eſt trop vray pour en doubter;	Il est trop vrai pour en doubter;
He quoy mon cœur, faut il que tu partages auec vne beſte ſauuage la gloire de ſeruir de tombeau à ce chef d’œuure de la Nature.	He quoi mon cœur, faut -il que tu partages avec une bête sauvage la gloire de servir de tombeau à ce chef d'œuvre de la Nature.
Reuiens Tigre, ou Lyon quelque que tu ſois pour aſſoüir ta rage de ma vie;	Reviens Tigre, ou Lyon quelque que tu sois pour assouir ta rage de ma vie;
que ſi tu n’as plus faim, viens deſalterer ta fureur de mon ſang.	que si tu n'as plus faim, viens désaltérer ta fureur de mon sang.
I’ayme mieux eſtre mort dans tes entrailles, que vif ſur la terre, pour me reioindre à mon ame, dont tu as deuoré le corps;	J'aime mieux été mort dans tes entrailles, que vif sur la terre, pour me rejoindre à mon âme, dont tu as dévoré le corps;
Mais que diſ-ie, tu n’as plus de cruauté, ſes douceurs & ſes graces qui t’ont ſeruy de proye.	Mais que dis-je, tu n'as plus de cruauté, ses douceurs et ses grâces qui t'ont servi de proie.
ont changé ta nature.	ont changé ta nature.
Reuiens donc pour reçeuoir le dernier ſaçrifice de mes reſpects, puis que tu eſt maintenãt le plus celebre autel de la terre.	Reviens donc pour recevoir le dernier saçrifice de mes respects, puis que tu est maintenant le plus célèbre autel de la terre.
Thiſbé mon cœur, tu ne reſpires plus, & ie ſouſpire encore.	Thisbé mon cœur, tu ne respires plus, et ici soupire encore.
Thiſbé ma vie, comment puiſ-ie viure ſans toy, Thiſbé mon tout, que ſuiſ-ie maintenant, ſi tu n’es plus au monde.	Thisbé ma vie, comment puis-je vivre sans toi, Thisbé mon tout, que suis-je maintenant, si tu n'es plus au monde.
Me diray-ie vne Ombre, ou vn Corps;	Me dirai-je une Ombre, ou un Corps;
ſi ie ſuis vne Ombre, ce lieu en eſt l’Enfer:	si ici suis une Ombre, ce lieu en est l'Enfer:
Car tous ſes ſupplices m’y tourmentent, ſi ie ſuis vn corps, la douleur en eſt l’ame, qui l’anime pour l’affliger.	Car tous ses supplices m'y tourmentent, si ie suis un corps, la douleur en est l'âme, qui l'anime pour l'affliger.
Diſons pluſtoſt que ie ſuis l’infortuné Pyrame, comdemné à ſouffrir par vn arreſt du Ciel toute ſorte de maux, ſans auoir commis d’autre crime, que celuy d’aymer parfaictement.	Disons plutôt que je suis l'infortuné Pyrame, comdemné à souffrir par un arrêt du Ciel toute sorte de maux, sans avoir commis d'autre crime, que celui d'aimer parfaitement.
Pourquoy mas-tu laiſſé en mourant, ce voile chere, Thiſhé;	Pourquoi mas-tu laissé en mourant, ce voile chère, Thishé;
ſerois-ce pour eſſuyer mes larmes;	serais-ce pour essuyer mes larmes;
helas tu ſçauois bien:	hélas tu savais bien:
car mon amour te l’auoit appris.	car mon amour te l'avait appris.
qu’elles ne tariroient iamais, ou que ceſſant, ie ceſferois de viure.	qu'elles ne tariraient jamais, ou que cessant, Elle cesferais de vivre.
Quelque deffain que tu ayes eu de me laiſſer ce gage, ie le baigneray de mon fang, puis qu’il eſt marqué du tien, afin que noz morts ſoient melangees enſemble.	Quelque défain que tu êtes eu de me laisser ce gage, tu de baigneray de mon sang, puis qu'il est marqué du tien, afin que noz morts soient mélangées ensemble.
Mourons doncs mais auant que fermer les yeux à la lumiere du funeſtre lour qui m’eſclaire.	Mourons doncs mais avant que fermer les yeux à la lumière du funêtre lour qui m'éclaire.
Dy moy infidelle Deeſſe, pourquoy n’as tu caché ton viſage effronté de quelque eſpais nuage, pour cachermõ Amante.	Dis -moi infidèle Déesse, pourquoi n'as tu caché ton visage effronté de quelque épais nuage, pour cachermion Amante.
perfide tu t’es laiſſee emporter a ta ialouſie:	perfide tu t'es laisse emporter a ta jalousie:
car toyant que ma chere Thiſbé auoit plus de graces que ton ciel n’a deflambeaux, l’enuye t’a fait eſclairer ſa ruine, ou pluſtoſt la cholere, ne pouuant plus ſouffrir que ſes beaux yeux, qui te faiſoit paſlir ou cacher de honte, auſſi bien qu’à l’Aurore ta ſœur, diſputaſſent auec toy, le prix de l’éclat, & de la beauté.	car toyant que ma chère Thisbé avait plus de grâces que ton ciel n'a déflambeaux, l'envie t'a fait éclairer sa ruine, ou plutôt la colère, ne pouvant plus souffrir que ses beaux yeux, qui te faisait pâlir ou cacher de honte, a bien qu'à l'Aurore ta sœur, disputassent avec toi, le prix de l'éclat, et de la beauté.
Et toy ingrat Amour.	Et toi ingrat Amour.
Pourquoy as-tu permis que la mort ayt deſtruit le plus beau de tes Temples?	Pourquoi as-tu permis que la mort ait détruit le plus beau de tes Temples?
Puis que tu logeois dans l’ame de ma chere Thisbé, que ne ſauuois tu ſon corps.	Puis que tu logeais dans l'âme de ma chère Thisbé, que ne sauvais tu son corps.
Que ne luy preſtois-tu tes aiſles, pour s’enuoler, mais que diſje tes aiſles, elle ne s’en fut point ſeruie, de peur d’eſtre eſtimee volage, & pour ton flambeau, elle en portoit la flãme dans les yeux, auſſi bien que tes dards.	Que ne notre prêtais-tu tes ailes, pour s'envoler, mais que disje tes ailes, elle ne s'en fut point servie, de peur d'être estimée volage, et pour ton flambeau, elle en portait la flamme dans les yeux, aussi bien que tes dards.
De ſorte qu’elle a eſté complice de ſa perte.	De sorte qu'elle a été complice de sa perte.
Pardonne moy chere ame, ſi ie te reproche le malheur de ton treſpas, ie ne ſçay à qui m’en prendre fors qu’à moy meſme, comme le ſeul coupable de ton infortune.	Pardonne moi chère âme, si ie te reproche le malheur de ton trépas, était ne sais à qui m'en prendre fors qu'à moi -même, comme le seul coupable de ton infortune.
Et toutesfois il eſt impoſſible que i’en ſois puny:	Et toutefois il est impossible que j'en sois puni:
Car quoy que ie meure maintenant, ce ſera de ioye, pluſtoſt que de douleur, en mourant apres toy.	Car quoique ie meure maintenant, ce sera de joie, plutôt que de douleur, en mourant après toi.
Ie ne ſçay donc comment reparer mon crime, n’ayant qu’vne ſeule vie pour donner en proye à la mort.	Je ne sais donc comment réparer mon crime, n'ayant qu'une seule vie pour donner en proie à la mort.
O mort cruelle mort, reuiens paracheuer ton ouurage, ton aueuglement t’a deceuë, tu as pris l’vn pour l’autre.	Ô mort cruelle mort, reviens parachever ton ouvrage, ton aveuglement t'a déçue, tu as pris l'un pour l'autre.
Si tu auois coniuré la perte de ma chere Thisbé:	Si tu avais conjuré la perte de ma chère Thysbé:
Ne ſçauois-tu pas que nous auions faict eſchange de nos cœurs, & qu’ainſi elle auoit le mien, comme ie poſſede le ſien encore.	Ne savais-tu pas que nous avions fait échange de nos cœurs, et qu'ainsi elle avait le mien, comme tu possède le sien encore.
Tellement que ie ſuis mort en elle, & elle vit en moy.	Tellement que je suis mort en elle, et elle vit en moi.
Renuoye donc ce meſme Tigre, ou ce Lyon, pour querir le reſte de fa H proye.	Renvoie donc ce même Tigre, ou ce Lyon, pour quérir le reste de fa Haire.
Il faut neceſſairement qu’il me deuore, ou que ie le deuore, afin que de quelque façon que ce ſoit, ie reioigne mon ombre à ſon corps, mon corps à ſon ame, & mon ame, à la ſeule puiſſance qui luy donnoit l’eſtre, & la vie;	Il faut nécessairement qu'il me dévore, ou que sans le dévore, afin que de quelque façon que ce soit, ie réjoigne mon ombre à son corps, mon corps à son âme, et mon âme, à la seule puissance qui lui donnait l'être, et la vie;
Mais à qui adreſſe-ie mes plaintes.	Mais à qui adresse-je mes plaintes.
Ne ſçais-ie pas bien que ceſte inhumaine eſt ſourde, auſſi bien qu’aueugle, & que ſa malice luy a ſugeré de bleſſer l’vn ou l’autre, pour nous faire mourir tous deux à la fois.	Ne sçais-je pas bien que cette inhumaine est sourde, aussi bien qu'aveugle, et que sa malice homme a sugeré de blesser l'un ou l'autre, pour nous faire mourir tous deux à la fois.
Courons douc à la mort pour attaindre ſur le riuage, la chere cau ſe de ma vie.	Courons douc à la mort pour attaindre sur le rivage, la chère cau se de ma vie.
Mais yeux preparez promptement mon naufrage, dans vos dernieres larmes.	Mais yeux préparez promptement mon naufrage, dans vos dernières larmes.
Et toy mon cœur, puis que tes ſoupirs ſont contés par le nombre de mes iours, & que ce iour eſt mon dernier, que ne te haſte tu à ietter au vent, celuy qui doit emporter mon âme, vers ſon ame.	Et toi mon cœur, puis que tes soupirs sont contés par le nombre de mes jours, et que ce jour est mon dernier, que ne te hâte tu à jeter au vent, celui qui doit emporter mon âme, vers son âme.
L’horreur, & l’effroy m’enuironnẽt de toutes parts en ce deſerts, où les hiboux, & les ſerpens font maintenant leur demeure.	L'horreur, et l'effroi m'enuironnẽt de toutes parts en ce déserts, où les hiboux, et les serpents font maintenant leur demeure.
Ce n’eſt plus le lardin de mes plaiſirs, puis qu’il a produit les eſpines, qui me percent le cœur, & ſi i’ay dict que c’eſtoit le lieu où Venus careſſoit ſon Adonis, ie le veux croire encore:	Ce n'est plus le lardin de mes plaisirs, puis qu'il a produit les épines, qui me percent le cœur, et si j'ai dit que c'était le lieu où Venus caressait son Adonis, je le veux croire encore:
Mais c’eſt icy la meſme place, où elle rendit les funeſtes cateſſes à ſon corps mourant & dechiré par vne autre beſte ſauuage.	Mais c'est ici la même place, où elle rendit les funestes catesses à son corps mourant et déchiré par une autre bête sauvage.
Que ceſte fontaine, ſoit auſſi celle-la meſme de Narcice, ie veux me l’imaginer, puis que c’eſt vne fontaine de malheur, dont ie ſuis la ſource.	Que cette fontaine, soit aussi celle-la même de Narcice, tu veux me l'imaginer, puis que c'est une fontaine de malheur, dont personne suis la source.
Les ombres de ces lieux ſont des ombres de mort, puis qu’elles en cachent les inſtrumens, ſoubs les voile de leurs tenebres, & ces arbres complices s’attachẽt ensẽble, pour empeſcher que le ciel ne voye les forfaits qui ſe cô mettẽt ſoubs leurs ombrages.	Les ombres de ces lieux sont des ombres de mort, puis qu'elles en cachent les instruments, soubs les voile de leurs ténèbres, et ces arbres complices s'attachent ensemble, pour empêcher que le ciel ne voie les forfaits qui se cô mettẽt soubs leurs ombrages.
Que l’Aſtre du iour demeure éclipſé, auec celuy de mes yeux, afin que tout ce qui eſt en la Nature, porte le dueil de ma perte;	Que l'Astre du jour demeure éclipsé, avec celui de mes yeux, afin que tout ce qui est en la Nature, porte le deuil de ma perte;
Mais quitte promptement ton humidé couche, beau Soleil, puis que ton Soleil ne luit plus ſur la terre;	Mais quitte promptement ton humidé couche, beau Soleil, puis que ton Soleil ne luit plus sur la terre;
ta lumiere ialouſe n’aura plus de Riuale qui luy diſpute le prix de là beauté, la mort t’a rendu heureux, pour me rendre miſerable.	ta lumière jalouse n'aura plus de Rivale qui tu dispute le prix de là beauté, la mort t'a rendu heureux, pour me rendre misérable.
O Dieux ſi vous vous eſtes rendus ſenſibles autresfois aux charmes de la Lire d’Orphee, luy permettant de rompre les fers qui tenoient eſclaue ſa chere Euridece.	Ô Dieux si vous vous êtes rendus sensibles autrefois aux charmes de la Lire d'Orphe, quelque permettant de rompre les fers qui tenaient esclave sa chère Euride.
Laiſſez vous toucher encore vn coup à la triſte armonie de ma voix plaintiue, dont les pitoyables accens donneroient quelque attainte à la Cruauté meſme, & accordez moy ceſte gracẽ de deliurer de vos priſons l’Ombre de ma chere Thiſbé.	Laissez vous toucher encore un coup à la triste armonie de ma voix plaintive, dont les pitoyables accends donneraient quelque attainte à la Cruauté même, et accordez moi cette grâces dé livrer de vos prisons l'Ombre de ma chère Thisbé.
Il n’eſt pas beſoin que ie deſcẽde dans les Enfers, puis que mon corps mourãt de douleur, eſt l’ẽfer de ma vie.	Il n'est pas besoin que ainsi desciende dans les Enfers, puis que mon corps mourants de douleur, est l'enfer de ma vie.
Et que ce ſoit auec telle cõdition qu’il vous plaira, encor que ie n’aye pas moins d’amour qu’Orphee, i’auray plus de prudence.	Et que ce soit avec telle cõdition qu'il vous plaira, encor que je n'aie pas moins d'amour qu'Orphe, j'aurai plus de prudence.
Mais las vous ne m’auez pas rendu ſi malheureux pour terminer mes infortunes d’vn contentement ſi extremes.	Mais las vous ne m'avez pas rendu si malheureux pour terminer mes infortunes d'amour contentement si extrêmes.
Les Rochers qui me donnent des larmes, vous reprochent voſtre cruauté, ceſte fontaine en murmure de cholere, le Zephire en ſoupire auec moy de regret, & les fueilles des arbres ne ſe meuuent qu’au ſon de mes plaintes.	Les Rochers qui me donnent des larmes, vous reprochent votre cruauté, cette fontaine en murmure de colère, le Zéphire en soupire avec moi de regret, et les fueilles des arbres ne se meuvent qu'au son de mes plaintes.
Il eſt temps de rompre les fers, & c violer la priſon, où tant de ſupi ces tiennent mon ame captiue De me laiſſer deuorer à la douler qui me poſſede, ſon auidité n’et pas aſſez grande pour mon impa tience.	Il est temps de rompre les fers, et ç violer la prison, où tant de supi ces tiennent mon âme captive De me laisser dévorer à la douler qui me possède, son avidité n'et pas assez grande pour mon impa tience.
De me precipiter du hat en bas d’vn Rocher, ce ſeroit m’oſter tout à coup le contentemen de me ſentir mourir, pour l’amou de ma vie, qui eſt vn des plus doux plaiſirs du monde.	De me précipiter du hat en bas d'un Rocher, ce serait m'ôter tout à coup le contentement de me sentir mourir, pour l'amou de ma vie, qui est un des plus doux plaisirs du monde.
De me ietter dans la Mer, le feu de la paſſion que ie porte dans l’ame eſt ſi extreme, qu’il me pourroit ſauuer malgré moy:	De me jeter dans la Mer, le feu de la passion que Elle porte dans l'âme est si extrême, qu'il me pourrait sauver malgré moi:
De prendre du poiſon, ce ſeroit en vain, le venin n’entreroit iamais dans mon cœur, à cauſe du portrait que i’y porté de la Deéſſe que i’adore.	De prendre du poison, ce serait en vain, le venin n'entrerait jamais dans mon cœur, à cause du portrait que j'y porté de la Déesse que j'adore.
De quel treſpas termineray-ie donc mon ſort malheureux.	De quel trépas terminerai-je donc mon sort malheureux.
Ceſte eſpee me ſeruira d’inſtrument pour mettre à fin mon entrepriſe.	Cette espee me servira d'instrument pour mettre à fin mon entreprise.
Reçoy donc bel.	Reçois donc bel.
le Ombre, dont i’ay autresfois adoré le corps, reçoy le ſacriſice que ie te vay faire ſur le meſme autel où tu as eſté immolee.	le Ombre, dont j'ai autrefois adoré le corps, reçois le sacrisice que sans te vais faire sur le même autel où tu as été immolée.
Ceſte eſpee ſerale Lyon ou le Tigre qui me deuorera, ſa pointe & ſon trenchant luy ſeruiront de dẽts meurtrieres, qui animees de la fureur de mon bras, iront puiſer iuſques au profond de mes entrailles le dernier ſouſpirde ma vie.	Cette épée serale Lyon ou le Tigre qui me dévorera, sa pointe et son trenchant quelque serviront de dẽts meurtrières, qui animées de la fureur de mon bras, iront puiser jusqu' au profond de mes entrailles le dernier soupirde ma vie.
Ie ne te dis point adieu, puis que mon ame part expres de ce corps pour aller trouuer ta belle Ombre.	Je ne te dis point adieu, puis que mon âme part exprès de ce corps pour aller trouver ta belle Ombre.
Et tu vois que la mienne s’embarque ſur le fleuue de mon ſang, ſçachant qu’il me conduira ſur celuy de l’oubly, dont i’apperçois deſia le riuâge.	Et tu vois que la mienne s'embarque sur le fleuve de mon sang, sachant qu'il me conduira sur celui de l'oubli, dont j'apperçois déjà le riuâge.
O Dieux ſoyez teſmoings que le beau nom de Thisbé en me ſortant du cœur me ferme la bouche.	Ô Dieux soyez témoings que le beau nom de Thisbé en me sortant du cœur me ferme la bouche.
BOBNE II.	BOBNE II.
THISBE’.	THISBE'.
’AY en fin eſchappé à la Mort Iqui me pourſuiuoit ſoubs la figure d’vn Lyon, pour ſe repaiſt de mon cœur, auſſi innocent qu’amoureux.	AY en fin échappé à la Mort Iqui me poursuivait sous la figure d'un Lyon, pour se repaît de mon cœur, aussi innocent qu'amoureux.
Mais ie crains que ma fuite n’ayt eſté trop longue, & que le temps que i’ay paſſé en courant n’ayt dure vn ſiecle à Pyrame.	Mais ainsi crains que ma fuite n'ait été trop longue, et que le temps que j'ai passé en courant n'ait dure un siècle à Pyrame.
Ma premiere diligence excuſera ma ſeconde pareſſe, & puis le danger où i’eſtois parlera pour moy?	Ma première diligence excusera ma seconde paresse, et puis le danger où j'étais parlera pour moi?
Ne le voy-ie pas couché à l’ombre d’vn arbre, ſoubs vn tapis de fleurs, dont le Printemps à faict préſent à la Nature?	Ne le vois-je pas couché à l'ombre d'un arbre, sous vn tapis de fleurs, dont le Printemps à fait présent à la Nature?
mes yeux le cognoiſſent trop bien pour ſe tromper.	mes yeux le connaissent trop bien pour se tromper.
Ie prends plaiſir de voir ſon action griſte, & reueuſe, parce qu’elle ne me parle à ſa faço que d’amour, m’i maginant que ie ſuis ſa ſeule penſee, & que ſon eſprit inquieté luy fugere mil diſcours de plainte, afin qu’il me reproche mon retardement.	Je prends plaisir de voir son action griste, et rêveuse, parce qu'elle ne me parle à sa faço que d'amour, m'y aginant que sans suis sa seule pensée, et que son esprit inquiété lui fugère mille discours de plainte, afin qu'il me reproche mon retardement.
Amour que luy diray-ie d’abord, pour appaiſer ſa corele?	Amour que lui dirai-je d'abord, pour apaiser sa corele?
apprands moy quelque excuſe, qui le face rougir de la honte de m’auoir accuſé.	apprands moi quelque excuse, qui le face rougir de la honte de m'avoir accusé.
Toutesfois ne me conſeille tu pas de luy fermer la bouche de la mienne, pour l’empeſcher de ſe plaindre à force de le baiſer.	Toutefois ne me conseille tu pas de grands fermer la bouche de la mienne, pour l'empêcher de se plaindre à force de le baiser.
La reſolution en eſt priſe:	La résolution en est prise:
Mais ie veux m’approcher peu à peu, & le ſurprendre en ſes reueries.	Mais tu veux m'approcher peu à peu, et le surprendre en ses révériez.
Il me ſemble qu’il dort, & ſi doucemẽt qu’il faut s’imaginer le vent de ſon aleine:	Il me semble qu'il dort, et si doucemment qu'il faut s'imaginer le vent de son âme:
car ſa foibleſſe, & ſa ſimplicité deçoiuent mes ſens.	car sa faiblesse, et sa simplicité déçoivent mes sens.
La Triſteſſe a eu auiourd’huy l’aduantage ſur ſa paſſion, ſon viſage paſle, eſt tout couuert de lys;	La Tristesse a eu aujourd'hui l'avantage sur sa passion, son visage pâle, est tout couvert de lys;
ie ne ſçay ſi ce ſont les fleurs du ſommeil, auſſi bien que la douleur.	Ne ne sais si ce sont les fleurs du sommeil, aussi bien que la douleur.
Et ie m’imagine que les Roſes n’oſent paroiſtre qu’à ſon reueil, s’eſpanoüiſſant à la lumiere de ſes yeux, de meſme que Soleil.	Et petit m'imagine que les Roses n'osent paraître qu'à son réveil, s'espanoüissant à la lumière de ses yeux, de même que Soleil.
L’eueilleray-je?	L'eillerai-je?
c’eſt faire deux actions bien differentes, de troublet ſon repos, & de l’aymer ſi fort.	c'est faire deux actions bien différentes, de troublet son repos, et de l'aimer si fort.
Il vaut mieux que ie dorme ſur ſon giron, pour faire dormir auec moy l’inquietude qui me tourmente.	Il vaut mieux que personne dorme sur son giron, pour faire dormir avec moi l'inquiétude qui me tourmente.
Mais comment fermeroy-ie les yeux à l’admiration de ce que i’ayme le plus au mõde, & d’ailleurs le temps, le lieu, l’occaſion, & l’Amour, me rendent ſi fort eueillee, qu’il me ſemble que ie n’auray iamais l’ẽuie de dormir.	Mais comment fermerai-je les yeux à l'admiration de ce que j'aime le plus au monde, et d'ailleurs le temps, le lieu, l'occasion, et l'Amour, me rendent si fort éveillée, qu'il me semble que sans n'aurai jamais l'envie de dormir.
Beaux oyſeaux hauſſez vn peu le ton de voſtre muſique, pour eueiller doucement mon cher Pyrame, ou pour le moins ſecondez l’effort de ma voix.	Beaux oiseaux haussez un peu le ton de votre musique, pour éveiller doucement mon cher Pyrame, ou pour le moins secondez l'effort de ma voix.
Mõ ame, mo cœur, ma vie, il demeure inſenſible au charme de ces paroles Quelle crainte mortelle gelle mõ ſang dedans les veines?	Mõ même, mo eur, ma vie, il demeure insensible au charme de ces paroles Quelle crainte mortelle gelle mon sang dedans les veines?
Quelle funeſte augure, met mon ame à la geenne?	Quelle funeste augure, met mon âme à la gène?
Ie me ſens bourellee d’vn ſupplice tout nouueau.	Je me sens bourelle d'Hommes supplice tout nouveau.
Pyrame ouure les yeux ou ie m’en vay fermer les miens pour iamais.	Pyrame ouvre les yeux ou ainsi m'en vais fermer les miens pour jamais.
Eſclaire mes funerailles de tes derniers regards, ne permets point à ton ame de ſortir de ton corps qu’elle ne m’ayt dict adieu.	Éclaire mes funérailles de tes derniers regards, ne permets point à ton âme de sortir de ton corps qu'elle ne m'ait dit adieu.
Pyrame, Pyrame, ne m’entens tu point?	Pyrame, Pyrame, ne m'entends tu point?
c’eſt Thisbé qui parle pour te prier de ne mourir pas ſans elle, puis qu’elle ne peut viure ſans toy.	c'est Thisbé qui parle pour te prier de ne mourir pas sans elle, puis qu'elle ne peut vivre sans toi.
Si ie te voy mourant, ie me voy reduitte aux abois, iette donc ton dernier ſouſpir fur mes leures.	Si personne te vois mourant, on me vois réduitte aux abois, jette donc ton dernier soupir fur mes lèvres.
pour reçeuoir le mien.	pour recevoir le mien.
Ainſi nous mourrons tous deux à la fois, puis que nous n’auons qu’vne vie à perdre.	Ainsi nous mourrons tous deux à la fois, puis que nous n'avons qu'une vie à perdre.
Il eſt mort, ie voy la porte par où ſon ame eſt ſortie, ceſte eſpee à eſté la clef qui l’a ouuerte, & ce funeſte voile, cauſe de mes malheurs, ma caché dans vn occident eternel la lumiere du bel aſtre de ma vie.	Il est mort, je vois la porte par où son âme est sortie, cette épée à été la clef qui l'a ouuerte, et ce funeste voile, cause de mes malheurs, ma caché dans un occident éternel la lumière du bel astre de ma vie.
Tu eſt donc moit, cher Pyrame, & par vn miracle de malheur, ie reſte encore viuante ſur la terre, comme ſi ie n’eſtois morte auec toy.	Tu est donc moit, cher Pyrame, et par un miracle de malheur, ie reste encore vivante sur la terre, comme si grande n'étais morte avec toi.
Mais ce n’eſt que l’amour & la douleur, qui animent mon corps, l’vn bruſle peu à peu mon cœur pour le reduire en cendres, aupres de tes cendres, & l’autre deſchire mes entrailles, pour me ſacrifier tout entiere à la vengeance du crime que i’ay cõmis.	Mais ce n'est que l'amour et la douleur, qui animent mon corps, l'un brûle peu à peu mon cœur pour le réduire en cendres, auprès de tes cendres, et l'autre déchire mes entrailles, pour me sacrifier tout entière à la vengeance du crime que j'ai commis.
On tiẽt que la mort eſt ſi effroyable & elle paroit ſi belle ſur ton viſage, que i’en ſuis amoureuſe, & il faut que ie meure de ceſte amour.	On tient que la mort est si effroyable et elle parait si belle sur ton visage, que j'en suis amoureuse, et il faut que ici meure de cette amour.
Viens donc ô douce mort, vient querir le reſte de ton butin, & l’autre moitié de ta conqueſte, afin de rendre ton triomphe plus glorieux:	Viens donc ô douce mort, vient quérir le reste de ton butin, et l'autre moitié de ta conquête, afin de rendre ton triomphe plus glorieux:
Mais pourquoy implorer ton ſecours, i’ay plus de courage qu’il ne m’en faut pour perdre vne miſerable vie.	Mais pourquoi implorer ton secours, j'ai plus de courage qu'il ne m'en faut pour perdre une misérable vie.
Ceſte meſme eſpee dont les Dieux me font preſent, comme d’vn ſouuerain remede à tous les maux que i’endure, en mouurant le cœur, y grauera deſſus la vertu de ma conſtance mourant fidelle comme ie fais, & d’amour, & de regret.	Cette même épée dont les Dieux me font présent, comme d'un souverain remède à tous les maux que j'endure, en mouvrant le cœur, y gravera dessus la vertu de ma constance mourant fidèle comme tu fais, et d'amour, et de regret.
Mais pourquoy m’as-tu deuancee à mourir, mon cher Pyrame la preſeance m’eſtoit deuë en qualité de Maiſtreſſe, & tu m’as preuenuë en qualité d’Amant Ce ne ſera pas au moins de long-temps, car ie meurs ſans ceſſe d’impatience de mourir bien-toſt.	Mais pourquoi m'as-tu devance à mourir, mon cher Pyrême la préséance m'était due en qualité de Maîtresse, et tu m'as prévenue en qualité d'Amant Ce ne sera pas au moins de longtemps, car ie meurs sans cesse d'impatience de mourir bientôt.
Mes yeux verſez toutes vos larmes ſur ce beau Soleil eclipsé, dõt la lumiere vous eſtoit ſi agreable, & produiſant vne mer de voz pleurs, faictes moy trouuer dans l’occident de ſa clarté, celuy de mes iours infortunez Et toy mon cœur, que ie puis dire mort en Pyrame, & mourant en moy, que ne partage tu ce peu de vie languiſſante qui te reſte auec mon amant, pour le faire reſpirer auec le vent de tes ſoupirs.	Mes yeux versez toutes vos larmes sur ce beau Soleil eclipsé, dont la lumière vous était si agréable, et produisant une mer de voz pleurs, faites moi trouver dans l'occident de sa clarté, celui de mes jours infortuné Et toi mon cœur, que ie puis dire mort en Pyrame, et mourant en moi, que ne partage tu ce peu de vie languissante qui te reste auec mon amant, pour le faire respirer avec le vent de tes soupirs.
Amour aprend moy quelque charme, & donne ce pouuoir a mes baiſers plains d’ardeur, & de flamme, deſchauffer ceſte bouche de glace, dont les diſcours eſtoient mes oracles.	Amour apend moi quelque charme, et donne ce pouvoir a mes baisers plains d'ardeur, et de flamme, déchausser cette bouche de glace, dont les discours étaient mes oracles.
Helas que diſ-ie !	Hélas que dis-je !
i’implore le ſecours d’vn aueugle, pour redonner la clarté à mon amant?	j'implore le secours d'un aveugle, pour redonner la clarté à mon amant?
