ROBERT 1986	ROBERT 1986
Ie rencontray Valere, Et contre ſa couſtume il ne me pût déplaire, Il me parla d’amour ſans me donner d’ennuy, Ie ne m’apperceus pas que ie parlois à luy, Ie ne luy pûs monſtrer de meſpris ny de glace, Tout ce que ie voyois me ſembloit Curiace.	Je rencontrai Valère, Et contre sa coutume il ne me put déplaire, Il me parla d'amour sans me donner d'ennui, Je ne m'aperçus pas que sans parlais à Seigneur, Je ne lui pûs montrer de mépris ni de glace, Tout ce que sans voyais me semblait Curiace.
Tout ce qu’on me diſoit me parloit de ſes feux, Tout ce que ie diſois l’aſſeuroit de mes vœux:	Tout ce qu'on me disait me parlait de ses feux, Tout ce que tu disais l'assurait de mes vœux:
Le combat general aujourd’huy ſe hazarde, I'en ſçeus hier la nouuelle, & ie n’y pris pas garde, Mon eſprit rejettoit ces funeſtes objets Charmé des doux penſers d’Hymen & de la paix.	Le combat général aujourd'hui se hasarde, J'en sçeus hier la nouvelle, et Seigneur n'y pris pas garde, Mon esprit rejettait ces funestes objets Charmé des doux pensers d'Hymen et de la paix.
La nuict a diſſipé des erreurs ſi charmantes, Mille ſonges affreux, mille images ſanglantes, Ou pluſtoſt mille amas de carnage & d’horreur M’ont arraché ma joye & rendu ma terreur.	La nuit a dissipé des erreurs si charmantes, Mille songes affreux, mille images sanglantes, Ou plutôt mille amas de carnage et d'horreur M'ont arraché ma joie et rendu ma terreur.
I’ay veu du ſang, des morts, & n’ay rien veu de Vn ſpectre en paroiſſant prenoit ſoudain la fuite, Ils s’effaçoient l’vn l’autre, & chaque illuſion Redoubloit mon effroy par ſa confuſion.	J'ai vu du sang, des morts, et n'ai rien vu de Un spectre en paraissant prenait soudain la fuite, Ils s'effaçaient l'un l'autre, et chaque illusion Rédoublait mon effroi par sa confusion.
LIE.	LIE.
C’eſt en contraire ſens qu’vn ſonge s’interprete.	C'est en contraire sens qu'un songe s'interprète.
CAMILLE.	CAMILLE.
Ie le dois croire ainſi puis que ie le ſouhaite, Mais je me trouue en fin malgré tous mes ſouhaits Au iour d’vne bataille & non pas d’vne paix.	Je le dois croire ainsi puis que sans le souhaite, Mais je me trouve en fin malgré tous mes souhaits Au jour d'une bataille et non pas d'une paix.
TLIE.	TLIE.
Par là finit la guerre, & la paix luy ſuccede.	Par là finit la guerre, et la paix Seigneur succède.
CAMILLE.	CAMILLE.
Dure à iamais le mal s’il y faut ce remede!	Dure à jamais le mal s'il y faut ce remède!
Soit que Rome y ſuccombe, ou qu’Albe ait le deſſous, Cher amant, n’attend plus d’eſtre vn iour mon eſpoux, Mon cœur ( quelque grand feu qui pour toy le conſomme) Ne veut ny le vainqueur, ny l’eſclaue de Rome.	Soit que Rome y succombe, ou qu'Albe ait le dessous, Cher amant, n'attend plus d'être un jour mon époux, Mon cœur ( quelque grand feu qui pour toi le consomme) Ne veut ni le vainqueur, Seigneur l'esclaue de Rome.
Mais quel objet nouueau ſe preſente en ces lieux?	Mais quel objet nouveau se présente en ces lieux?
Eſt-ce toy Curiace?	Est-ce toi Curiace?
en croiray-ie mes yeux?	en croirai-je mes yeux?
SCENE III.	SCÈNE III.
CYMACE, CAMILEEAVLIE,	CYMACE, CAMILEAULIE,
I V CVRIACE.	I V CURIACE.
’En doutez point, Camille, & reuoyez vn homme Qui n’eſt ny le vainqueur, ny l’eſclaue de Rome.	Ç'En doutez point, Camille, et revoyez un homme Qui n'est ni le vainqueur, notre l'esclaue de Rome.
Ceſſez d’aprehender de voir rougir mes mains Du poids honteux des fers ou du ſang des Romains :	Cessez d'appréhender de voir rougir mes mains Du poids honteux des fers ou du sang des Romains :
I’ay creu que vous aymiez aſſez Rome & la gloire Pour meſpriſer ma chaiſne & hayr ma victoire, Et comme eſgalement en cette extremité Ie craignois la victoire & la captiuité.	J'ai cru que vous aimiez assez Rome et la gloire Pour mépriser ma chaîne et haïr ma victoire, Et comme également en cette extrémité Je craignais la victoire et la captivité.
CAMILLE.	CAMILLE.
Curiace, il ſuffit, ie deuine le reſte, Tu fuis vne bataille à tes vœux ſi funeſte, Et ton cœur tout à moy pour ne me perdre pas Deſtobe à ton pays le ſecours de ton bras.	Curiace, il suffit, Seigneur devine le reste, Tu fuis le bataille à tes vœux si funeste, Et ton cœur tout à moi pour ne me perdre pas Destobe à ton pays le secours de ton bras.
Qu’vn autre conſidere icy ta renommée, Et te blaſme s’il veut de m’auoir trop aymée, Ce n’eſt point à Camille à t’en meſeſtimer, Plus ton amour paroiſt, plus elle doit t’aynier, Et ſi tu dois beaucoup aux lieux qui t’ont veu naiſtre Pius ta quittoo pour moy, plus tu le fais paroiſtre.	Qu'autre autre considère ici ta renommée, Et te blâme s'il veut de m'avoir trop aimée, Ce n'est point à Camille à t'en mésestimer, Plus ton amour paraît, plus elle doit t'ainier, Et si tu dois beaucoup aux lieux qui t'ont vu naître Pius ta quittoûto pour moi, plus tu le fais paraître.
Mais as-tu veu mon pere, & peut-il endurer Qu’ainſi dans ſa maiſon tu t’oſes retirer?	Mais as-tu vu mon père, et peut-il endurer Qu'ainsi dans sa maison tu 'oses retirer?
Ne prefere-t’il point l’Eſtat à ſa famille?	Ne préfère-t-il point l'État à sa famille?
Ne regarde-t’il point Rome plus que ſa fille?	Ne regarde-t-il point Rome plus que sa fille?
En fin noſtre bon-heur eſt-il bien affermy?	En fin notre bonheur est-il bien affermi?
T’a-t’il veu comme gendre, ou bien comme ennemy?	T'a-t-il vu comme gendre, ou bien comme ennemi?
CVRIACE.	CURICE.
Il m’a veu comme gendre auec vne tendreſſe Qui teſmoignoit aſſez vne entiere allegreſſe:	Il m'a vu comme gendre auectaît tendresse Qui témoignait assez entière allégresse:
Mais il ne m’a point veu par vne trahiſon Indigne de l’honneur d’entrer dans ſa maiſon.	Mais il ne m'a point vu par une trahison Indigne de l'honneur d'entrer dans sa maison.
Ie n’abandonne point l’intereſt de ma ville, I’ayme encor mon honneur en adorant Camille;	Je n'abandonne point l'intérêt de ma ville, J'aime encor mon honneur en adorant Camille;
Tant qu’a duré la guerte on m’a veu cõſtamment Auſſi bon citoyen comme fidelle amant, D'Albe auec mon amour i’accordois la querelle, Ie ſouſpirois pour vous en combatant pour elle, Et s’il faloit encor que l’on en vint aux coups, Ie combatrois pour elle en ſouſpirant pour vous.	Tant qu'a duré la guerte on m'a vu confstamment Aussi bon citoyen comme fidèle amant, D'Albe avec mon amour j'accordais la querelle, Je soupirais pour vous en combattant pour elle, Et s'il fallait encor que l'on en vint aux coups, Je combatrais pour elle en soupirant pour vous.
Ouy, malgré les deſirs de mon ame charmée, Si la guerre duroit ie ſerois dans l’armée :	Oui, malgré les désirs de mon âme charmée, Si la guerre durait ici serais dans l'armée :
C’eſt la paix qui chez vous me donne vn libre accez:	C'est la paix qui chez vous me donne un libre accès:
La paix à qui nos feux doiuent ce beau ſuccez,	La paix à qui nos feux doivent ce beau succès,
CAMILLE.	CAMILLE.
La paix!	La paix!
& le moyen de croire vn tel miracle?	et le moyen de croire un tel miracle?
IVLIE.	IVLIE.
Camille pour le moins croyez-en voſtre oracle, Et ſçachons pleinement par quels heureux effets L’heure d’vne bataille a produit cette paix.	Camille pour le moins croyez-en votre oracle, Et sachons pleinement par quels heureux effets L'heure d'une bataille à produit cette paix.
CVRIACE.	CURICE.
Dieux, qui l’euſt iamais creu!	Dieux, qui l'eût jamais cru!
Deſia les deux armées D’vne eſgale chaleur au combat animées Se menaçoient des yeux, & marchant fierement N’attendoient pour donner que le commandemẽt, Quand noſtre Dictateur deuant les fangs s’auance, Demande à voſtre Prince vn moment de ſilence, Et l’ayant obtenu, Que faiſons-nous, Romains, Dit-Il & quel Demon nous fait venir aux mains?	Déjà les deux armées D'une égale chaleur au combat animées Se menaçaient des yeux, et marchant fièrement N'attendaient pour donner que le commandement, Quand notre Dictateur devant les sangs s'avance, Demande à votre Prince un moment de silence, Et l'ayant obtenu, Que faisons-nous, Romains, Dit-Il et quel Démon nous fait venir aux mains?
Souffrons que la raiſon eſclaire en fin nos ames,	Souffrons que la raison éclaire en fin nos âmes,
Nous ſommes vos voiſins, nos filles ſont vos femmes, Et l’Hymen nous a joints par tant & tant de nœuds Qu’il eſt peu de nos fils qui ne ſoient vos neueux.	Nous sommes vos voisins, nos filles sont vos femmes, Et l'Hymen nous a joints par tant et tant de nœuds Qu'il est peu de nos fils qui ne soient vos neueux.
Nous ne ſommes qu’vn ſang, & qu’vn peuple en deux villes, Pourquoy nous deſchirer par des guerres ciuiles, Où la mort des vaincus affoiblit les vainqueurs, Et le plus beau triomphe eſt arrouſé de pleurs?	Nous ne sommes qu'Hommes sang, et qu'un peuple en deux villes, Pourquoi nous déchirer par des guerres civiles, Où la mort des vaincus affaiblit les vainqueurs, Et le plus beau triomphe est arrosé de pleurs?
Nos ennemis communs attendent auec ioye Qu’vn des partis deffait leur donne l’autre en proye, Laſſé, demy-rompu, vainqueur, mais pour tout fruit Deſuué d’vn ſecours par luy-meſme deſtruit.	Nos Ennemis communs attendent avec joie Qu'un des partis défait leur donne l'autre en proie, Lassé, demi-rompu, vainqueur, mais pour tout fruit Desuué d' Hours par lui-même détruit.
Ils ont aſſez long temps iouy de nos diuorces.	Ils ont assez long temps y de nos divorces.
Contre eux doreſnauant joignons toutes nos forces, Et noyons dans l'oubly ces petits differends Qui de ſi bons guerriers font de mauuais parents.	Contre eux dorénavant joignons toutes nos forces, Et noyons dans l'oubli ces petits différends Qui de si bons guerriers font de mauvais parents.
Que ſi l’ambition de commander aux autres Fait marcher aujourd’huy vos troupes & les noſtres, Pourueu qu’à moins de ſang nous voulions l’appaiſer, Elle nous vnira loin de nous diuiſer.	Que si l'ambition de commander aux autres Fait marcher aujourd'hui vos troupes et les nôtres, Pourvu qu'à moins de sang nous voulions l'apaiser, Elle nous Étira loin de nous diviser.
Nommons des combatans pour la cauſe cõmune, Que chaque peuple aux ſiens attache ſa fortune, Et ſaiuant ce que d’eux ordonnera le ſort, Que le party plus foible obeyſſe au plus fort:	Nommons des combattants pour la cause commune, Que chaque peuple aux siens attache sa fortune, Et saisant ce que d'eux ordonnera le sort, Que le parti plus faible obéisse au plus fort:
Mais ſans indignité pour des guerriers ſi braues, qui demiemient ra ces ſans deuenir eſclaues, Sans honte, ſans tribut & ſans autre rigueur, Que de ſuiure en tous lieux les drapeaux du vainqueur.	Mais sans indignité pour des guerriers si braves, qui demiemient ra ces sans devenir esclaues, Sans honte, sans tribut et sans autre rigueur, Que de suivre en tous lieux les drapeaux du vainqueur.
Ainſi nos deux Eſtats ne feront qu’vn Empire.	Ainsi nos deux États ne feront qu'un Empire.
A ces mots il ſe taiſt, d’aiſe chacun ſouſpire,	À ces mots il se taît, d'aise chacun soupire,
Chacun jettant lesyeux dans vn rang ennemy Recognoiſt vn beau frere, vn couſin, vn amy, Ils s’eſtonnent comment leurs mains de ſang auides Voloient ſans y penſer à tant de parricides, Et font paroiſtre vn front couuert tout à la fois D’horreur pour la bataille, & d’ardeur pour ce choix.	Chacun jetant lesyeux dans un rang ennemi Recognoist un beau frère, un cousin, un ami, Ils s'étonnent comment leurs mains de sang avides Volaient sans y penser à tant de parricides, Et font paraître un front couvert tout à la fois D'horreur pour la bataille, et d'ardeur pour ce choix.
En fin l’offre s’accepte, & la paix deſirée Sous ces conditions eſt auſſi-toſt jurée, Trois combatront pour tous, mais pour les mieux choiſir tuus euets ont toula prondre in plu plus de loiſir, Le voſtre eſt au Senat, le noſtre dans ſa tente.	En fin l'offre s'accepte, et la paix désirée Sous ces conditions est aussitôt jurée, Trois combatront pour tous, mais pour les mieux choisir tuus euets ont toula prondre in plu plus de loisir, Le vôtre est au Sénat, le vôtre dans sa tente.
CAMILLE.	CAMILLE.
O Dieux, que ce diſcours rend mon ame contente !	Ô Dieux, que ce discours rend mon âme contente !
CVRIACE.	CURICE.
Dans deux heures au plus par vn commun accord Le ſort de nos guerriers reglera noſtre ſort, Cependant tout eſt libre attendant qu’on les nomme, Rome eſt dans noſtre camp, & noſtre camp dans Rome, D’vn & d’autre coſté l'accez eſtant permis Chacun va renoüer auec ſes vieux amis.	Dans deux heures au plus par un commun accord Le sort de nos guerriers réglera notre sort, Cependant tout est libre attendant qu'on les nomme, Rome est dans notre camp, et notre camp dans Rome, D'un et d'autre côté l'accès étant permis Chacun va renonger avec ses vieux amis.
Pour moy, ma pamon m'a fait luiure vos freres, Et mes defirs ont eu des ſuccez ſi proſpetes, Que l’autheur de vos iours m’a promis à demain Le bon heur ſans pareil de vous donner la main.	Pour moi, ma pamon m'a fait luire vos frères, Et mes désirs ont eu des succès si prospètes, Que l'auteur de vos jours m'a promis à demain Le bon heur sans pareil de vous donner la main.
Vous ne deuiendrez pas rebene d in puiſſance?	Vous ne deviendrez pas rebène d in puissance?
CAMILLE.	CAMILLE.
Le deuoir d’vne fille eſt en l’obeyſſance.	Le devoir d'une fille est en l'obéissance.
CVRIACE.	CURICE.
Venez donc receuoir ce doux commandement Qui doit mettre le comble à mon contentement,	Venez donc recevoir ce doux commandement Qui doit mettre le comble à mon contentement,
CAMILLE.	CAMILLE.
Ie vay ſuiure vos pas, mais pour reuoir mes freres, 40 9 Et ſçauoir d’eux encor la fin de nos miſeres.	Je vais suivre vos pas, mais pour revoir mes frères, 40 9 Et savoir d'eux encor la fin de nos misères.
LIE.	LIE.
Eines, & cependant au pied de nos autels I’iray rendre pour vous graces aux immortels.	Eines, et cependant au pied de nos autels J'irai rendre pour vous grâces aux immortels.
Fin du premier Acte.	Fin du premier Acte.
TASIE II	TASIE II
SCENE PREMIERE.	SCÈNE PREMIÈRE.
HORACE, CVRIACE.	HORACE, CURIACE.
CVRIACE.	CURICE.
INSI Rome n’a point ſeparé sõ eſtime, Elle euſt creu faire ailleurs vn choix illegitime, Cette ſuperbe ville en vos freres & vous Trouue les trois guerriers qu’elle prefere à tous, Et ne nous oppoſant d’autres bras que les voſtres D’vne ſeule maiſon braue toutes les noſtres.	INSI Rome n'a point séparé sommes estime, Elle eût cru faire ailleurs un choix illégitime, Cette superbe ville en vos frères et vous Trouve les trois guerriers qu'elle préfère à tous, Et ne nous opposant d'autres bras que les vôtres D'une seule maison brave toutes les nôtres.
Nous croirons, la voyant toute entiere en vos mains, (mains :	Nous croirons, la voyant toute entière en vos mains, (mains :
Que hors les fils d’Horace il n’eſt point de RoCe choix pouuoit cõbler trois familles de gloire, Gonſacrer hautement leurs noms à la memoire, Ouy, l’honneur que reçoit la voſtre par ce choix En pouuoit à bon tiltre immortaliſer trois, Et puiſque c’eſt chez vous que mon heur & ma flame M’ont fait placer ma ſœur, & choiſir vne femme, Ce que ie vous dois eſtre, & ce que ie vous ſuls Me font y prendre part autant que ie le puis.	Que hors les fils d'Horace il n'est point de RoCe choix pouvait combler trois familles de gloire, Gonsacrer hautement leurs noms à la mémoire, Oui, l'honneur que reçoit la vôtre par ce choix En pouvait à bon titre immortaliser trois, Et puisque c'est chez vous que mon heur et ma flamme M'ont fait placer ma sœur, et choisir une femme, Ce que je vous dois être, et ce que ie vous suls Me font y prendre part autant que ie le puis.
