A MONSIEUR DE MOLIER Chef de la Trouppe des Comediens de Monſieur Frere Unique du Roy.	À MONSIEUR DE MOLIER Chef de la Troupe des Comédiens de Monsieur Frère Unique du Roi.
Puis qu’un pareil diſcours émeut voſtre colere, jeuoj de vontre ceur me montrer ſatisfait, Et l’applaudir icy du beau choix qu’il a fait.	Puis qu'un pareil discours émut votre colère, jeut de vontre coeur me montrer satisfait, Et l'applaudir ici du beau choix qu'il a fait.
CELIE.	CELIE.
Ouy, mon choix eſt tel qu’on n’y peut rien pretendre.	Oui, mon choix est tel qu'on n'y peut rien prétendre.
LELIE.	LELIE.
Allez, vous faites bien de le vouloir deffendre.	Allez, vous faites bien de le vouloir défendre.
SGANARELLE.	SGANARELLE.
Sans doute elle fait bien de deffendre mes droits:	Sans doute elle fait bien dé fendre mes droits:
Ceue acrion, Monneur, n’eſt point lelon les loix.	Ceue acrion, Monneur, n'est point lelon les lois.
J’ay raiſon de m’en plaindre, & ſi je n’eſtois ſage, On verroit arriver un eſtrange carnage.	J'ai raison de m'en plaindre, et si je n'étais sage, On verrait arriver un étrange carnage.
LELIE.	LELIE.
D’ou vous naiſt cette plainte, & quel chagrin brutal.	D'ou vous naît cette plainte, et quel chagrin brutal.
SGANARELLE.	SGANARELLE.
Suffit, vous ſçavez bien où le bois me fait mal;	Suffit, vous savez bien où le bois me fait mal;
Mais voſtre conſcience & le ſoin de voſtre ame Vous devroient mettre aux jeux que ma Femme eſt ma femme.	Mais votre conscience et le soin de Seigneur âme Vous devraient mettre aux jeux que ma Femme est ma femme.
Et vouloir à ma barbe en faire voſtre bien, Que ce n’eſt pas du tout agir ei bor ereſtien.	Et vouloir à ma barbe en faire votre bien, Que ce n'est pas du tout agir ei bor erétien.
LELIE.	LELIE.
Un ſembiable loupçon ent bas & iſdicule, Allez, deſſus ce point n’ayez aucun ſcrupule, Je ſçay qu’elle eſt à vous, & bien loin de brûler.	Un sembiable loupçon ent bas et idicule, Allez, dessus ce point n'ayez aucun scrupule, Je sais qu'elle est à vous, et bien loin de brûler.
CELIE.	CELIE.
Ah!	Ah!
qu’icy tu ſçais bien, traiſtre, diſſimuler.	qu'ici tu sais bien, traître, dissimuler.
Aedle Quoy me ſoupçonnez-vous d’avoir une penſée De qui fon ame ait lieu de ſe croire offencée, De cette laſcheté voulez-vous me noircir?	Aed Igné me soupçonnez-vous d'avoir une pensée De qui son âme ait lieu de se croire offensée, De cette lâcheté voulez-vous me noircir?
CELIE.	CELIE.
Parle, parle à luy-méme, il pourra t’éclaircir.	Parle, parle à lui-même, il pourra t'éclaircir.
SGANARELLE.	SGANARELLE.
Vous me deffendez mieux que je ne ſçaurois faire;	Vous me défendez mieux que je ne saurais faire;
Et du biais qu’il faut vous prenez cette affaire.	Et du biais qu'il faut vous prenez cette affaire.
ME, LA SUIVANTE.	ME, LA SUIVANTE.
Ans la quatrieſme Scene de cette Pieçe, la femDme deSganarelle, qui avoit pris de la jalouſie, en voyant Celie entre les bras de ſon Mary, vient pour luy faire des reproches ( ce qui fait voir la merveilleuſe conduitte de cét ouvrage) jugez de la beauté qu’un agreable mal entendu produit dans cette Scene, Sganarelle croit que ſa femme vient pour deffendre ſon Galand, ſa Femme croit qu’il ayme Celie, Celie croit qu’elle vient ingenuëment ſe plaindre d’elle a cauſe qu’elle eſt avec Lelie & luy en fait des reproches, & Lelie enfin ne ſçait ce qu’on luy vient conter, & croit toûjours que Celie a eſpouſé Sganarelle.	Ans la quatrième Scène de cette Piemée, la femme deSganarelle, qui avait pris de la jalousie, en voyant Celie entre les bras de son Mari, vient pour nous faire des reproches ( ce qui fait voir la merveilleuse conduite de cet ouvrage) jugez de la beauté qu'un agréable mal entendu produit dans cette Scène, Sganarelle croit que sa femme vient pour défendre son Galant, sa Femme croit qu'il aime Celie, ç croit qu'elle vient ingénument se plaindre d'elle a cause qu'elle est cause Lelie etelle est mort ave reproches, et Lelieu enfin ne sçait Le on lui vient et, et croit toûjours Le Lieu a es Reproche.
Quoy que cette Scene donne un plaiſir incroyable à l’auditeur, elle ne peut pas durer plus long temps ſans trop de confuſion, & je gage que vous ſouhaittez deſia de voir comment toutes ces perſonnes ſortiront de l’embarras où ils ſe rencontrent;	Quoi que cette Scène donne un plaisir incroyable à l'auditeur, elle ne peut pas durer plus long temps sans trop de confusion, et je gage que vous souhaitez déjà de voir comment toutes ces personnes sortiront de l'embarras où ils se rencontrent;
mais je vous le donnerois bien à deviner en quatre coups ſans que vous en puſſiez venir à bout.	mais je vous le donnerais bien à deviner en quatre coups sans que vous en pussiez venir à bout.
Peut-eſtre vous perſuadez-vous qu’il va venir quelqu’un qui ſans y penſer luy-meſme les tirera de leur erreur, peut-eſtre croyez-vous auſſi qu’à force de s’animer les uns contre les autres, quelqu’un venant à ſe juſtifier, leur fera voir à tous qu’ils s’abuſent.	Peut-être vous persuadez-vous qu'il va venir quelqu'un qui sans y penser un homme les tirera de leur erreur, peut-être croyez-vous aussi qu'à force de s'animer les uns contre les autres, quelqu'un venant à se justifier, leur fera voir à tous qu'ils s'abusent.
Mais ce n’eſt point tout cela, & l’autheur s’eſt ſervy d’un moyen dont perſonne ne s’eſt jamais adviſé, & que vous pourrez ſçavoir ſi vous liſez les vers de cette Scene,	Mais ce n'est point tout cela, et l'auteur s'est servi d'un moyen dont personne ne s'est jamais avisé, et que vous pourrez savoir si vous lisez les vers de cette Scène,
LA FEMME de Sganarelle à Celie.	LA FEMME de Séganarelle à Célie.
jene luis point d’humeur a vouloir contre vous Faire éclatter Madame un eſprit trop jaloux;	jène luis point d'humeur a vouloir contre vous Faire éclater Madame un esprit trop jaloux;
Mais je ne ſuis point dupe & voy ce qui ſe paſſe, Il eſt de certains feux de fort mauvaiſe grace, Et voſtre ame devroit prendre un meilleur employ, Que de ſeduire un cœur qui doit n’eſtre qu’à moy.	Mais je ne suis point dupe et vois ce qui se passe, Il est de certains feux de fort mauvaise grâce, Et votre âme devrait prendre un meilleur emploi, Que de séduire un cœur qui doit n'être qu'à moi.
CELIE.	CELIE.
La declaration eſt aſſez ingenuë,	La déclaration est assez ingénue,
56A	56A
CELIE.	CELIE.
Allez, ne croyez pas que l’on en ait envie.	Allez, ne croyez pas que l'on en ait envie.
Tu vois ſi c’eſt menſonge & j’en ſuis fort ravie.	Tu vois si c'est mensonge et j'en suis fort ravie.
SGANARELLE à ſa femme.	SGANARELLE à sa femme.
L'on ne demandoit pas carogne, ta venuë, Tu la viens quereller lors qu’elle me deffend, Et tu tremble de peur qu’on t’oſte ton galand.	L'on ne demandait pas carogne, ta venue, Tu la viens quereller lors qu'elle me défend, Et tu tremble de peur qu'on t'ôte ton galant.
LELIE.	LELIE.
Que me veut-on conter?	Que me veut-on conter?
LA SUIVANTE.	LA SUIVANTE.
Ma foy je ne ſçay pas, Quand on verra finir ce galimatias:	Ma foi je ne sais pas, Quand on verra finir ce galimatias:
Deſia depuis long-temps je taſche à le comprendre, Et ſi plus je l’eſcoute, & moins je puis l’entendre, Je voy bien à la fin que je m’en doy meſler.	Déjà depuis longtemps je tâche à le comprendre, Et si plus je l'écoute, et moins je puis l'entendre, Je vois bien à la fin que je m'en dois mêler.
Allant ſe mettre entre Lelie & ſa Maiſtreſſe.	Allant se mettre entre Lélie et sa Maîtresse.
Reſpondez-moy par ordre & me laiſſez parler.	Respondez-moi par ordre et me laissez parler.
A Lelie.	À Lélie.
Vous, qu’eſt-ce qu’à sõ cœur peut reprocher le voſtre?	Vous, qu'est-ce qu'à sommes cœur peut reprocher le vôtre?
LELIE.	LELIE.
Que l'infidelle a pû me quitter pour un autre, Que lors que ſur le bruit de ſon hymen fatal, J’accours tout tranſporté d’un amour ſans égal, Dont l’ardeur reſiſtoit à ſe croire oubliée, Mon abord en ces lieux la trouve mariée.	Que l'infidèle a pu me quitter pour un autre, Que lors que sur le bruit de son hymen fatal, J'accours tout transporté d'un amour sans égal, Dont l'ardeur résistait à se croire oubliée, Mon abord en ces lieux la trouve mariée.
LELIE montrant Sganarelle.	LELIE montrant Sganarelle.
A luy.	A Aux.
LA SUIVANTE.	LA SUIVANTE.
Comment a luy!	Comment a Seigneur!
oüy da.	oüy da.
HELIE.	HELIE.
LA SUIVANTE.	LA SUIVANTE.
Qui vous l’adit?	Qui vous l'adit?
LELIE, C’eſt luy-méme aujourd’huy.	LELIE, C'est lui-même aujourd'hui.
LA SUIVANTE à Sganarelle.	LA SUIVANTE à Sganarelle.
Eſt-il vray?	Est-il vrai?
SCA	SAC
SGANARELLE.	SGANARELLE.
Moy, j’ay dit que c’eſtoit à ma femme Que j’eſtois marie.	Moi, j'ai dit que c'était à ma femme Que j'étais marie.
LELIE.	LELIE.
Dans un grand trouble d’ame Tantoſt de mon portraict je vous ay veu ſaiſi.	Dans un grand trouble d'âme Tantôt de mon portrait je vous ai vu saisi.
SGANARELLE.	SGANARELLE.
Il eſt vray, le voilà.	Il est vrai, le voilà.
LELIE.	LELIE.
Vous m’avez dit auſſi, Que celle aux mains de qui vous aviez pris ce gage, Eſtoit liée à vous des nœuds du mariage.	Vous m'avez dit aussi, Que celle aux mains de qui vous aviez pris ce gage, Était liée à vous des nœuds du mariage.
SGANARELLE monrant ja jemme.	SGANARELLE monrant ja jemme.
Sans doute, & je l’avois de ſes mains arraché, Et n’euſſe pas ſans luy découvert ſont peché.	Sans doute, et je l'avais de ses mains arraché, Et n'eusse pas sans lui découvert sont péché.
LA FEMME de Sganarelle.	LA FEMME de Séganarelle.
Que me viens-tu conter par ta plainte importune, Je l’avois ſous mes pieds rencontré par fortune, Etumame quant apres toninfuſte courioux.	Que me viens-tu conter par ta plainte importune, Je l'avais sous mes pieds rencontré par fortune, Etumame quant après toninfuste courioux.
Montrant Lelie.	Montrant Lélie.
J’ay fait dans ſa foibleſſe entrer Monſieur chez nous, Je n’ay pas reconnu les traits de ſa peinture.	J'ai fait dans sa faiblesse entrer Monsieur chez nous, Je n'ai pas reconnu les traits de sa peinture.
CELIE.	CELIE.
C’eſt moy qui du portraict ay cauſé l’aventure, Et je l’ay laiſſé cheoir en cette pamaiſon, Cl Sganarene.	C'est moi qui du portrait ai causé l'aventure, Et je l'ai laissé choir en cette pamaison, Cl Éganarène.
Qui m’a fait par vos ſoins remettre à la maiſon.	Qui m'a fait par vos soins remettre à la maison.
LA SUIVANTE.	LA SUIVANTE.
rous voyez que ſans moy vous y ſeriez encore Et vous aviez beſoin de mon peu d’Elebore	rous voyez que sans moi vous y seriez encore Et vous aviez besoin de mon peu d'Élébore
SGANARELLE.	SGANARELLE.
Prendrons-nous tout cecy pour de l’argent contant, Mon front l’a ſur mon ame eu bien chaude pourtant,	Prendrons-nous tout ceci pour de l'argent contant, Mon front l'a sur mon âme eu bien chaude pourtant,
SA FEMME.	SA FEMME.
Ma crainte toutefois n’eſt pas trop diſſipée, Et doux que ſoit le mal je crains d’eſtre trompée.	Ma crainte toutefois n'est pas trop dissipée, Et doux que soit le mal je crains d'être trompée.
SGANARELLE.	SGANARELLE.
Hé!	Hé!
mutuellement croyons-nous gens de bien, Je riſque plus du mien que tu ne fais du tien;	mutuellement croyons-nous gens de bien, Je risque plus du mien que tu ne fais du tien;
Accepte ſans façon le marché qu’on propoſe.	Accepte sans façon le marché qu'on propose.
SA FEMME.	SA FEMME.
Soit, mais garde le bois ſi j’apprends quelque choſe.	Soit, mais garde le bois si j'apprends quelque chose.
CELIE à Lelie, apres avoir parlé bas enſemble.	CELIE à Lélie, après avoir parlé bas ensemble.
Ah!	Ah!
Dieux, s’il eſt ainſi, qu’eſt-ce donc que j’ay fait;	Dieux, s'il est ainsi, qu'est-ce donc que j'ai fait;
Je doy de mon courroux apprehender l’effect.	Je dois de mon courroux appréhender l'effet.
Ouy, vous croyant ſans foy j’ay pris pour ma vengeance Le malheureux ſecours de mon obeïſſance, Et depuis un moment mon cœur vient d’accepter Un hymen que touſiours j’eus lieu de rebuter, J’ay promis à mon pere & ce qui me deſole.	Oui, vous croyant sans foi j'ai pris pour ma vengeance Le malheureux secours de mon obéissance, Et depuis un moment mon cœur vient d'accepter Un hymen que toujours j'eus lieu de rebuter, J'ai promis à mon père et ce qui me désole.
Mais je le voy venir.	Mais je le vois venir.
LELIE.	LELIE.
Il me tiendra parole.	Il me tiendra parole.
SCENE XXIII.	SCÈNE XXIII.
CELIE, LELIE, GORGIBUS, SGANARELLE,	CELIE, LELIE, GORGIBUS, SGANARELLE,
SA FEMME, LA SUIVANTE.	SA FEMME, LA SUIVANTE.
Elle dans cette Scenle deſlailue l'’enect de ſa paDrole à Gorgibus, Gorgibus luy refuſe ſa Fille, & Celie ne ſe réſout qu’à peine d’obeïr à ſon Pere, comme vous pouvez voir en liſant.	Elle dans cette Scenle deslailue l'enect de sa paDole à Gorgibus, Gorgibus un refuse sa Fille, et Celie ne se résout qu'à peine d'obéir à son Père, comme vous pouvez voir en lisant.
LELIE.	LELIE.
Monſieur, vous me voyez en ces lieux de retour, Bruſlant des meſmes feux, & mon ardente amour Verra comme je croy la promeſſe accomplie, Qui me donna l’eſpoir de l’hymen de Celie,	Monsieur, vous me voyez en ces lieux de retour, Brûlant des mêmes feux, et mon ardente amour Verra comme je crois la promesse accomplie, Qui me donna l'espoir de l'hymen de Célie,
GORGIBUS.	GORGIBUS.
Monſieur, que je revois en ces lieux de retour, Bruſſant des meſmes feux, & dont l’ardente amour Verra que vouscroyez la promeſſe accomplie, Qui vous donna l’eſpoir de l’hymen de Celie, Tres-humble ſerviteur à voſtre Seigneurie.	Monsieur, que je revois en ces lieux de retour, Brussant des mêmes feux, et dont l'ardente amour Verra que vouscroyez la promesse accomplie, Qui vous donna l'espoir de l'hymen de Célie, Très-humble serviteur à votre Seigneurie.
LELIE.	LELIE.
Quoy, Monſieur, eſt-ce ainſi qu’on trahit mon eſpoir?	Quoi, Monsieur, est-ce ainsi qu'on trahit mon espoir?
GORGIBUS.	GORGIBUS.
Ouy Monſieur, c’eſt ainſi que je fay mon devoir, Ma fille en ſuit les loix.	Oui Monsieur, c'est ainsi que je fais mon devoir, Ma fille en suit les lois.
CELIE.	CELIE.
A ( IACHUeron m incerene.	À ( IACHUeron m incérène.
Mon Mon pere a degager vers luy voitre promelſe.	Mon Mon père a dégager vers lui notre promelse.
GORGIBUS.	GORGIBUS.
Eſt-ce répondre en fille à mes commandemens?	Est-ce répondre en fille à mes commandements?
Tu te démens bien-toſt de tes bons ſentimens, Tour varere tantore, mais j’apperçoy ſon pere u vient aheuremencpour concideranane,	Tu te déments bientôt de tes bons sentiments, Tour vare tantore, mais j'aperçois son père u vient aheuremencour conciderane,
SCENE DERNIERE.	SCÈNE DERNIÈRE.
CELIE, LELIE, GORGIEUS, SGANARELLE, SA FEMME, VILLE	CELIE, LELIE, GORGIEUS, SGANARELLE, SA FEMME, VILLE
BREQUIN, LA SUIVANTE.	BRÊQUIN, LA SUIVANTE.
A joye que Celie avoit euë, en apprenant que L ſon amant ne luy eſtoit pas infidelle, euſt eſté de courte durée, ſi le pere de Valere ne fut pas venu à temps pour les retirer tous deux de peine.	À joie que Célie avait eue, en apprenant que L son amant ne lui était pas infidèle, eût été de courte durée, si le père de Valère ne fut pas venu à temps pour les retirer tous deux de peine.
Vous pourrez voir dans le reſte des vers de cette Pieçe, que voicy le ſuiet qui le fait venir.	Vous pourrez voir dans le reste des vers de cette Piète, que voici le sujet qui le fait venir.
GORGIBUS.	GORGIBUS.
Qui vous amene icy, Seigneur Villebrequin.	Qui vous amène ici, Seigneur Villebrequin.
VILLEBREQUIN.	VILEBREQUIN.
Un ſecret important que j’ay ſçeu ce matin, Qui romp abſolument ma parole donnée;	Un secret important que j'ai su ce matin, Qui romp absolument ma parole donnée;
Mon fils dont voſtre fille acceptoit l’hymenée, dous des fens cachez tompalis ils yeux de tousViſt depuis quatre mois avec Liſe en eſpoux, Et comme des parens le bien & la naiſſance, M’oſtent tout le pouvoir d’en caſſer l’alliance, Je vous viens.	Mon fils dont votre fille acceptait l'hyménée, dous des sens cachés tompalis ils yeux de tousVist depuis quatre mois avec Lise en époux, Et comme des parents le bien et la naissance, M'ôtent tout le pouvoir d'en casser l'alliance, Je vous viens.
GORGIBUS.	GORGIBUS.
Drhlons ray i latis vortre eongé Valere, voſtre fils, ailleurs s’eſt engagé, Je ne vous puis celer que ma fille Celie, Dés long-temps par moy-meſme eſt promiſe à Lelie, Et que riche en vertus ſon retour aujourd’huy M’empéche d’agréer un autre époux que luy.	Drhlons ray j' étis vortre éongé Valère, votre fils, ailleurs s'est engagé, Je ne vous puis celer que ma fille Célie, Dès longtemps par moi-même est promise à Lélie, Et que riche en vertus son retour aujourd'hui M'empéche d'agréer un autre époux que mille.
VILLEBREQUIN.	VILEBREQUIN.
Un tel choix me plaiſt fort, LELIE.	Un tel choix me plaît fort, LELIE.
Et cette juſte envie D’un bonneur eternel va couronner ma vie.	Et cette juste envie D'un bonneur éternel va couronner ma vie.
GORGIBUS.	GORGIBUS.
Allons choiſir le jour pour ſe donner la foy.	Allons choisir le jour pour se donner la foi.
SGANARELLE.	SGANARELLE.
A-t’on mieux cru jamais eſtre Cocu que moy, Vous voyez qu’en ce fait la plus forte apparence Peut jetter dans l’eſprit une fauſſe creance:	A-t-on mieux cru jamais été Cocu que moi, Vous voyez qu'en ce fait la plus forte apparence Peut jeter dans l'esprit une fausse créance:
De cet exemple cy reſſouvenez-vous bien, Et quand vous verriez tout, ne croyez jamais rien.	De cet exemple cy ressouvenez-vous bien, Et quand vous verriez tout, ne croyez jamais rien.
Sans mentir, Monſieur, vous me deves eſtre bien oblige de tant de belles choſes, que je vous envoye, & tous les melons de voſtre jardin ne ſont pas ſuffiſans pour me payer de la peine d’avoir retenu pour l’amour de vous toute cette Pieçe par cœur;	Sans mentir, Monsieur, vous me devez être bien oblige de tant de belles choses, que je vous envoie, et tous les melons de votre jardin ne sont pas suffisants pour me payer de la peine d'avoir retenu pour l'amour de vous toute cette Pieçe par cœur;
mais j’oubliois de vous dire une choſe à l’avantage de ſon Autheur, qui eſt, que comme je n’ay eu cette Pieçe, que je vous envoye, que par effort de memoire, il peut s’y eſtre coule quantité de mots les uns pour les autres, bien qu’ils ſignifient la meſme choſe, O comme ceux de l’Autheur peuvent eſtre plus fignificatifs, je vous prie de m’imputer toutes les fautes de cette nature que vous y trouverez, & je vous conjure avec tous les curieux de Françe de venir voir repreſenter cette Pieçe, comme un des plas beaux Ouvrages, & un des mieux joüez, qui ait jamais paru ſur la Scene.	mais j'oubliais de vous dire une chose à l'avantage de son Auteur, qui est, que comme je n'ai eu cette Pieçe, que je vous envoie, que par effort de mémoire, il peut s'y être coule quantité de mots les uns pour les autres, bien qu'ils signifient la même chose, Ô comme ceux de Autheur peuvent être plus significatifs, je vous prie de imputer toutes les fautes de cette nature que vous y trouverez, et je vous conjure avec tous les curieux de Françe de venir voir représenter cette Pieçe, comme un des plas beaux Ouvrages, et un des mieux joüez, qui ait jamais paru sur la Scene.
F I N	F I N
