A PARIS, Chez JEAN MUSiEr, ruë de PetitPont, à l’Image Saint Antoine.	À PARIS, Chez JEAN MUSiEr, rue de PetitPont, à l'Image Saint Antoine.
penſe n’a que faire de bourſe à metre ſon argent, à petit Mercier petit panier, à petit trou petite cheville.	pense n'a que faire de bourse à metre son argent, à petit Mercier petit panier, à petit trou petite cheville.
Il nous faut faire petite vie & qu’elle dure, & ne pas manger ſon bled en verd, ny ſon pain blanc le premier:	Il nous faut faire petite vie et qu'elle dure, et ne pas manger son bled en verd, toujours son pain blanc le premier:
qui va piane va ſane & qui va ſane va lontane qui vu tommo ou ven, petit à petit l’oiſeau fait ſon nid, maille à iiianie fait le haubergeon.	qui va piane va zane et qui va zane va lontane qui vu tommo ou ven, petit à petit l'oiseau fait son nid, maille à jianie fait le haubergeon.
Alizon.	Alison.
Vous avez bien peur que terre ne vous faille, il ne vous en faut que ſix pieds.	Vous avez bien peur que terre ne vous faille, il ne vous en faut que six pieds.
Si le Ciel tomboit y il auroit bien des alloüettes prhles, vous étes un vray chiche face, & tout ce que je vous dis autant vaudroit-il parler à un Suiſſe & ſe cogner la tête contre un mur.	Si le Ciel tombait y il aurait bien des allouettes prhles, vous êtes un vrai chiche face, et tout ce que je vous dis autant vaudrait-il parler à un Suisse et se conner la tête contre un mur.
Theſaurus.	Thesaurus.
Il eſt vray que l’on a beau prêcher à qui ind envie de bien faite, je fuis ferme comme un mur, & j'uy la cervenle etop bien timbrée pour ne pas ſçavoir ce que j’ay affaire.	Il est vrai que l'on a beau prêcher à qui ind envie de bien faite, je fuis ferme comme un mur, et j'y la cervenle etop bien timbrée pour ne pas savoir ce que j'ai affaire.
Comme dit l’autre ce qui eſt fait eſt fait.	Comme dit l'autre ce qui est fait est fait.
Alizon.	Alison.
Ne devriez-vous pas vous réjoüir quand la barbe vous vient, & du vin par la bonne Theſaurus.	Ne devriez-vous pas vous réjouir quand la barbe vous vient, et du vin par la bonne Thesaurus.
AliZon.	Alizon.
Saimon c’eſt pour baiſer le cul à Martin de peur qu’il n’y ait preſſe, nos gens ſont étonnez comme des fondeurs de cloches, de cous von ucette heure qu’on entendroit une ſouris troter dans la ruë.	Saimon c'est pour baiser le cul à Martin de peur qu'il n'y ait presse, nos gens sont étonnés comme des fondeurs de cloches, de cous von ucette heure qu'on entendrait une souris trôter dans la rue.
Theſaurus frappe à la porte.	Thesaurus frappe à la porte.
Femme fille, Philippin, quelqu’un de nos gens les mieux habillez, attolite portas, aux Docteurs des Docteurs.	Femme fille, Philippin, quelqu'un de nos gens les mieux habillez, attolite portas, aux Docteurs des Docteurs.
Ils ſont morts ou ils dorment, mais je crains que ce ne loie ai fonunt d’airain, & que ma femme ne ſoit allée au royaume des taupes, & in terra, Macée.	Ils sont morts ou ils dorment, mais je crains que ce ne loie aie fonunt d'airain, et que ma femme ne soit allée au royaume des taupes, et in terra, Macée.
Qui va la?	Qui va la?
combien étes vous qui n’avez point mangé de ſoupe, ſi vous étes ſeul attendez compagnie.	combien êtes -vous qui n'avez point mangé de soupe, si vous êtes seul attendez compagnie.
Aliſon.	Alison.
Chauſſez vos lunettes, & parlez par la fenêtre & vous verrez que c’eſt le maître.	Chaussez vos lunettes, et parlez par la fenêtre et vous verrez que c'est le maître.
Theſaurus.	Thesaurus.
C’eſt le ſcientifique & venerable Docteur Theſaurus.	C'est le scientifique et vénérable Docteur Thesaurus.
Macee.	Macée.
Vous vous levez bien matin de peur des crotes.	Vous vous levez bien matin de peur des crotes.
Aliſon.	Alison.
Theſaurus.	Thesaurus.
Il a beau ſe lever tard qui a le bruit de ſe	Il a beau se lever tard qui a le bruit de se
lever matin.	lever matin.
Aliſon.	Alison.
Se lever matin n’eſt pas neur, mais de jeûner eſt le plus ſeur.	Se lever matin n'est pas neur, mais de jeûner est le plus sûr.
SCENE V Macée, Theſaurus, Bertrand, Alizon, Macée parlant à Bertrand.	SCÈNE V Macée, Thésaurus, Bertrand, Alison, Macée parlant à Bertrand.
J Ous ſoyez le tres-bien venu comme y en vôtre maiſon de l’Iſle de Bourchard.	 Jus soyez le très-bien venu comme y en votre maison de l'Île de Bourchard.
A quoy eſt bon tout cela, vous n’allez que la nuit comme le Moine bouris & les Loups garous:	À quoi est bon tout cela, vous n'allez que la nuit comme le Moine bouris et les Loups garants:
on ne ſçait comme vous avez la jambe faite:	on ne sait comme vous avez la jambe faite:
vous ne laiſſez dormir les autres.	vous ne laissez dormir les autres.
Bertrand.	Bertrand.
Ho ho, vôtre chien mort-il encore;	Ho ho, votre chien mort-il encore;
Vous étes bien rude à pauvres gens.	Vous êtes bien rude à pauvres gens.
Qui vous fait mal Macée pour nous faite une mine pire qu’un excommunié:	Qui vous fait mal Macée pour nous faite une mine pire qu'un excommunié:
vous vous étes levée le cul le premier:	vous vous êtes levée le cul le premier:
vous étes bien engrongnée.	vous êtes bien engrongnée.
Ihuvve.	Jhuve.
l’avois ce que j’avois, j’avois la tête plus groſſe que le poing, & ſi elle n’eſt pas enflée.	l'avais ce que j'avais, j'avais la tête plus grosse que le poing, et si elle n'est pas enflée.
Theſaurus.	Thesaurus.
COMLDIE	COMLDIE
LA SCENE	LA SCÈNE
12 mais je m’en vais les apenier tout bas, tant que je pouray.	12 mais je m'en vais les apenier tout bas, tant que je pourrai.
Philippin, Philippin de par Dieu ou de par le diabre, lus debout les chats ſont chauniez, oucuy, no one peur de payer perlonne ne répond.	Philippin, Philippin de par Dieu ou de par le diabre, lus débout les chats sont chauniés, oucui, nô one peur de payer perlonne ne répond.
IDejahras.	IDejahras.
Si je vay la je vous feray faire le ſaut de	Si je vais la je vous ferai faire le saut de
crapaud.	crapaud.
Macée.	Macée.
Vrayement je m’en vais luy donner ſon boüillon.	Vraiment je m'en vais venir donner son bouillon.
mouches.	mouches.
Macée.	Macée.
Mon mary, mon mary, tout eſt perdu il n a plus que le nid, les oiſeaux s’en ſont envo lez, nous ſommes reduits au biſac, nous ſon mes venus a ni de chien, nous ſommes volez & ruinez de fond en comble.	Mon mari, mon mari, tout est perdu il n a plus que le nid, les oiseaux s'en sont envo lez, nous sommes réduits au bisac, nous son mes venus a ni de chien, nous sommes volés et ruinez de fond en comble.
Voila que c’eſt que de laiſſer des oiſons & des bêtes à la maiſon, & s’en aller comme un materas de ſoipune;	Voilà que c'est que de laisser des oisons et des bêtes à la maison, et s'en aller comme un materas de soiune;
ſans regarder plus loin que ſon nez, & ſans ſonger ny à cecy ny à cela.	sans regarder plus loin que son nez, et sans songer ni à ceciici à cela.
Theſaurus.	Thesaurus.
Les batus payeront l’amende, ceux qui nous doivent nous demandent.	Les battus payeront l'amende, ceux qui nous doivent nous demandent.
Il eſt vray que je ſuis plus malheuteux qu’un chien qui ſe noye, de m’être fié à une femme, & d’avoir étably ma ſeureté ſur un ſable mouvant.	Il est vrai que je suis plus malheuteux qu'un chien qui se noie, de m'être fié à une femme, et d'avoir établi ma sûreté sur un sable mouvant.
Me voila reduit au bâton blanc & au ſaffran, le grand chemin de l’Hôpital, car ils n’ont laiſſé que ce qu’ils n’ont peu emporter.	Me voilà réduit au bâton blanc et au saffran, le grand chemin de l'Hôpital, car ils n'ont laissé que ce qu'ils n'ont pu emport.
Me voila entre-deux ſelles le cul à terre, plus ſot que Dorie, plus chanſeux qu’un aveugle qui ſe rompt le col!	Me voilà entre-deux selles le cul à terre, plus sot que Dorie, plus chanseux qu'un aveugle qui se rompt le col!
Helas mon voiſin j’ay perdu la plus belle roſe de mon chapeau, la fortune m’a bien tourné le dos, moy qui avois feu & lieu, pignon ſur ruë, & une Fille belle comme le jour, que nous gardions à un homme qui ne ſe mouche pas du pied, qui m’eût ſervi de bâton de ma déconvenuë, il ſeroit icy il y a long-temps, ou en chemin pour luy tailler des croupieres, ſi le bon-heur nous en eût tant voulu qu’il ſe fût rencontré à la mélée, il en eût mangé plus de ſix cens avec un grain de ſel.	Hélas mon voisin j'ai perdu la plus belle rose de mon chapeau, la fortune m'a bien tourné le dos, moi qui avais feu et lieu, pignon sur rue, et une Fille belle comme le jour, que nous gardions à un homme qui ne se mouche pas du pied, qui m'eût servi de bâton de ma déconvenue, il serait ici il y a longtemps, ou en chemin pour lui tailler des croupières, si le bonheur nous en eût tant voulu qu'il se fût rencontré à la mélée, il en eût mangé plus de six cens avec un grain pieds sel,
Biij	Bijà
14 Aliſon.	14 Alison.
Sans compter les femmes & les petits enfans.	Sans compter les femmes et les petits enfants.
Bertrand.	Bertrand.
Il n’a pas les dents ſi longues.	Il n'a pas les dents si longues.
Helas mon voiſin:	Hélas mon voisin:
il n’eſt pas ſi diable qu’il eſt noir, il eut aſſez d’affaire de joüer de l’épée à deux jambes, s’il y eut été en perſonne je croy qu’il n’eut pas rapporté ſes oreilles, s’il eut veu ſortir une goute de ſang il eut été plus pâle qu’un foireux, il fait aſſez du rodomont & puis c’eſt tout.	il n'est pas si diable qu'il est noir, il eut assez d'affaire de jouer de l'épée à deux jambes, s'il y eut été en personne je crois qu'il n'eût pas rapporté ses oreilles, s'il eut vu sortir une goute de sang il eut été plus pâle qu'un foire, il fait assez du rodomont et puis c'est tout.
Pour moy il faut que je vous confeſſe, encore que je ne ſois pas un pagnotte, que juy pente pmher de peur, & ſi je ne les voyois que par la fenêtre de mon grenier.	Pour moi il faut que je vous confesse, encore que je ne sois pas un pagnotte, que jui pente pher de peur, et si je ne les voyais que par la fenêtre de mon grenier.
Macée.	Macée.
Vous étes auſſi un vaillant champion je ne m’en étonne pas:	Vous êtes aussi un vaillant champion je ne m'en étonne pas:
vous étes un grand abbateur de quilles, c’eſt dommage de ce que la caillette vous tient.	vous êtes un grand abatteur de quilles, c'est dommage de ce que la caillette vous tient.
Voila que c’eſt d’avoir de bons vomnis pen iomies bien attournez ils font les bons valets quand on en a plus que faire, mais à qui vendez vous vos coquilles?	Voilà que c'est d'avoir de bons vomnis pen jomies bien attournez ils font les bons valets quand on en a plus que faire, mais à qui vendez vous vos coquilles?
à ceux qui viennent de S.	à ceux qui viennent de S.
Michel.	Michel.
Bertrand.	Bertrand.
Voilà que c’eſt, faites du bien à un vilain, il vous crachera au poing:	Voilà que c'est, faites du bien à un vilain, il vous crachera au poing:
poignez le, il vous oindra, oignez le, il vous poindra, greſſez luy ſes botes, il dira qu’on les brûle.	poignez le, il vous oindra, oignez le, il vous poindra, grésez lui ses botes, il dira qu'on les brûle.
Macée.	Macée.
Vous en avez fait tout plain, mais c’eſt comme les Suiſſes portent la hallebarde, par deſſus l’épaule.	Vous en avez fait tout plain, mais c'est comme les Suisses portent la hallebarde, par -dessus l'épaule.
Au beſoin on connoît les amis bien, c’eſt la deviſe de Monſieur de Guiſe, chacun à ſon tour.	Au besoin on connaît les amis bien, c'est la devise de Monsieur de Guise, chacun à son tour.
Theſaurus.	Thesaurus.
Ma femme, le torrent de la paſſion vous emporte, vous avez fait la faute, & vous voulez que les autres la boivent:	Ma femme, le torrent de la passion vous emporte, vous avez fait la faute, et vous voulez que les autres la boivent:
mettez de l’eau dans vôtre vin, il falloit que vous fuſſiez bien endormis pour ne pas entendre le ſabbat de ſes maudites gens là, il y a la du micq mac, on vous avoit mis ſans doute de la pondre à grimper lous le nez, ou olen vous aviez du côton dans les orelles, mais patience paſſe ſçience, il ne faut point tant chier des yeux.	mettez de l'eau dans votre vin, il fallait que vous fussiez bien endormis pour ne pas entendre le sabbat de ses maudites gens là, il y a la du micq mac, on vous avait mis sans doute de la pondre à grimper lous le nez, ou olen vous aviez du côton dans les orelles, mais patience passe sçience, il ne faut point tant chier des yeux.
Macée.	Macée.
Marchand qui perd ne peut rire, qui perd ſon bien perd ſon ſang, qui perd ſon bien & ſon ſang perd doublement.	Marchand qui perd ne peut rire, qui perd son bien perd son sang, qui perd son bien et son sang perd doublement.
Theſaurus.	Thesaurus.
Les pleurs ſervent de recours aux femmes & aux petits enfans.	Les pleurs servent de recours aux femmes et aux petits enfants.
Mais cependant que nous nous amuſons à la moutarde & à conter des fagots, les voleurs gagnent la guerite.	Mais cependant que nous nous amusons à la moutarde et à conter des fagots, les voleurs gagnent la guérite.
Si faut-il ſçavoir le court & le long de cette affaire.	Si faut-il savoir le court et le long de cette affaire.
Je crains qu’ils n’ayent fait perdre le gouſt du pain à Philippin, & qu'iis lle l’ayent envoye en Paradis en poſte.	Je crains qu'ils n'aient fait perdre le goût du pain à Philippin, et qu'iis l 'aient envoie en Paradis en poste.
AliZon.	Alizon.
Helas le pauvre garçon, s’il eſt mort Dieu luy donne bonne vie & longue.	Hélas le pauvre garçon, s'il est mort Dieu lui donne bonne vie et longue.
Theſaurus.	Thesaurus.
Mais Sire Bertrand, ces diables de raviſreurs n'avorene uns pas ui nez au viſage quand ils vous ont donné ſi bien la fée.	Mais Sire Bertrand, ces diables de ravisreurs n'avorène uns pas ui nez au visage quand ils vous ont donné si bien la fée.
Bertrand.	Bertrand.
Je croy qu’ils ſont du pays bas, car il ſont égoulez Al iſon.	Je crois qu'ils sont du pays bas, car il sont égoulez Al izon.
Macée.	Macée.
Je ne ſçaurois m’imaginer qui nous a fait cette écorne.	Je ne saurais m'imaginer qui nous a fait cette écorne.
Si Lidias étoit en cette ville je croirois bien que ce fût luy qui auroit mangé le lard.	Si Lidias était en cette ville je croirais bien que ce fût parler qui aurait mangé le lard.
Aliſon.	Alison.
Helas le pauvre jeune homme, il n’y ſongea non plus qu’à ſa premiere chemiſe, il eſt bien loin s’il court toûjours.	Hélas le pauvre jeune homme, il n'y songea non plus qu'à sa première chemise, il est bien loin s'il court toujours.
