RVEI TRAGEDIE Par P.	RVEI TRAGÉDIE Par P.
Après tout c’eſt ma ſœur, oyez ſans repartir.	Après tout c'est ma sœur, oyez sans repartir.
CLEOPATRE.	CLÉPATRE.
Ah, s’il eſt encor temps de vous en repentir, Affranchiſſez-vous d’eux, & de leur tyrannie, Rappelez la vertu par leurs conſeils bannie, Cette haute vertu, dont le Ciel & le ſang Enflent toûjours les cœurs de ceux de noſtre rang.	Ah, s'il est encor temps de vous en repentir, Affranchissez-vous d'eux, et de leur tyrannie, Rappelez la vertu par leurs conseils bannie, Cette haute vertu, dont le Ciel et le sang Enflent toujours les cœurs de ceux de notre rang.
PTOLOMEE.	PTOLOMEE.
Quoy!	Quoi!
d’un frivol espoir déja préoccupée Vous me parlez en Reine en parlant de Pompée, Et d’un faux zéle ainſi voſtre orgueil revétu Fait agir l’intêreſt ſous le nom de vertu !	d'un frivol espoir déjà préoccupée Vous me parlez en Reine en parlant de Pompée, Et d'un faux zèle ainsi votre orgueil revêtu Fait agir l'intêrest sous le nom de vertu !
Confeſſez-le, ma ſœur, vous ſçauriez vous en taire, N’étoit le testament du feu Roy noſtre pére, Vous ſçavez qu’il le garde.	Confessez-le, ma sœur, vous sauriez vous en taire, N'était le testament du feu Roi notre père, Vous savez qu'il le garde.
CLEOPATRE.	CLÉPATRE.
Et vous ſçaurez auſſi Que la ſeule vertu me fait parler ainſi, Et que ſi l’intéreſt m’avoit préoccupée, J’agirois pour Céſar, & non-pas pour Pompée.	Et vous saurez aussi Que la seule vertu me fait parler ainsi, Et que si l'intérêt m'avait préoccupée, J'agirais pour César, et non-pas pour Pompée.
Apprenez un ſecret que je voulois cacher, Et ceſſez deſormais de me rien reprocher.	Apprenez un secret que je voulais cacher, Et cessez désormais de me rien reprocher.
Quand ce peuple inſolent qu’enferme Alexandrie Fit quitter au feu Roy ſon Troſne & ſa Patrie, ne que jusque dans Rome il alla du Sénat Implorer la pitié contre un tel attentat, Il nous mena tous deux pour toucher ſon courage, Vous, aſſez jeune encor, moy, déja dans un âge, Où ce peu de beauté que m’ont donné les Cieux D’un aſſez vif éclat faiſoit briller mes yeux.	Quand ce peuple insolent qu'enferme Alexandrie Fit quitter au feu Roi son Trône et sa Patrie, ne que jusque dans Rome il alla du Sénat Implorer la pitié contre un tel attentat, Il nous mena tous deux pour toucher son courage, Vous, assez jeune encor, moi, déjà dans un âge, Où ce peu de beauté que m'ont donné les Cieux D'un assez vif éclat faisait briller mes yeux.
Ceſar en fut épris, & du moins j’eus la gloire De le voir hautement donner lieu de le croire;	César en fut épris, et du moins j'eus la gloire De le voir hautement donner lieu de le croire;
Mais voyant contre luy le Sénat irrité, Il fit agir Pompée & ſon authorité.	Mais voyant contre autre le Sénat irrité, Il fit agir Pompée et son autorité.
Ce dernier nous ſervit à ſa ſeule priére, Qui de leur amitié fut la preuve derniére, Vous en ſçavez l’effet, & vous en joüiſſez:	Ce dernier nous servit à sa seule prièvre, Qui de leur amitié fut la preuve dernièvre, Vous en savez l'effet, et vous en joüissez:
Mais pour un tel Amant ce ne fut pas aſſez.	Mais pour un tel Amant ce ne fut pas assez.
Après avoir pour nous employé ce grand homme Qui nous gagna ſoudain toutes les voix de Rome, Son amour en voulut ſeconder les efforts, Et nous ouvrant ſon cœur, nous ouvrit ſes treſors.	Après avoir pour nous employé ce grand homme Qui nous gagna soudain toutes les voix de Rome, Son amour en voulut seconder les efforts, Et nous ouvrant son cœur, nous ouvrit ses trésors.
Nous euſmes de ſes feux encore en leur naiſſance;	Nous eûmes de ses feux encore en leur naissance;
Et les nerfs de la guerre, & ceux de la puiſſance, Et les mille talents qui luy ſont encor dûs Remirent en nos mains tous nos Etats perdus.	Et les nerfs de la guerre, et ceux de la puissance, Et les mille talents qui lui sont encor dus Remirent en nos mains tous nos États perdus.
Le Roy qui s’en ſouvint à ſon heure fatale Me laiſſa comme à vous la Dignité Royale, Et par ſon teſtament il vous fit cette loy, Pour me rendre une part de ce qu’il tint de moy.	Le Roi qui s'en souvint à son heure fatale Me laissa comme à vous la Dignité Royale, Et par son testament il vous fit cette loi, Pour me rendre une part de ce qu'il tint de moi.
Geit umi qu ignolane d ou emece don office Vous appelez faveur ce qui n’eſt que justice, Et l’oſez accuier d’une aveug le amitie, Quand du tout qu’il me doit il me rend la moitié.	Géit umi qu' ignolane d ou émèce don office Vous appelez faveur ce qui n'est que justice, Et l'osez accuier d'une aveug le amitié, Quand du tout qu'il me doit il me rend la moitié.
PTOLOMEE.	PTOLOMEE.
Certes, ma ſœur, le conte eſt fait avec adreſſe.	Certes, ma sœur, le compte est fait avec adresse.
CLEOPATRE.	CLÉPATRE.
Céſar viendra bien-toſt & j’en ay lettre expreſſe, Et peut-eſtre aujourd’huy vos yeux ſeront témoins De ce que voſtre esprit s’imagine le moins.	César viendra bientôt et j'en ai lettre expresse, Et peut-être aujourd'hui vos yeux seront témoins De ce que votre esprit s'imagine le moins.
Ce n’eſt pas ſans ſujet que je parlois en Reine, Je n’ay receu de vous que mépris & que haine, Et de ma part du Scepte indigne raviſſeur, Vous m’avez plus traitée en esclave qu’en ſœur;	Ce n'est pas sans sujet que je parlais en Reine, Je n'ai reçu de vous que mépris et que haine, Et de ma part du Scepte indigne ravisseur, Vous m'avez plus traitée en esclave qu'en sœur;
Meſme pour éviter des effets plus ſinistres, Il m’a fallu flater vos inſolens Ministres, Dont j’ay craint jusqu’icy le fer, ou le poiſon;	Même pour éviter des effets plus sinistres, Il m'a fallu flatter vos insolents Ministres, Dont j'ai craint jusqu'ici le fer, ou le poison;
Mais Pompée ou Céſar m’en va faire raiſon, Et quoy qu’avec Photin Achillas en ordonne, Ou l’une ou l’autre main me rendra ma Couronne.	Mais Pompée ou César m'en va faire raison, Et quoi qu’avec Photin Achillas en ordonne, Ou l'une ou l'autre main me rendra ma Couronne.
Cependant mon orgueil vous laiſſe à démeſler Querttont lanterere queine rurlora peerrer.	Cependant mon orgueil vous laisse à démêler Querttont lanterere queine rurlora peerrer.
SCENE IV.	SCÈNE IV.
PTOLOMEE, PHOTIN.	PTOLOME, PHOTIN.
PHOTIN.	PHOTIN.
Seigneur, cette ſurpriſe eſt pour moy merveilleuſe, Je n’en ſçay que penſer, & mon cœur étonné Deuiieeret que jamais mi uuront roup gonne, Inconstant & confus dans ſon incertitude, Ne ſe reſout a rien qu'avec inquietude.	Seigneur, cette surprise est pour moi merveilleuse, Je n'en sais que penser, et mon cœur étonné Deuiieeret que jamais mi vront roup gonne, Inconstant et confus dans son incertitude, Ne se résout a rien qu'avec inquiétude.
PTOLOMEE.	PTOLOMEE.
Sauverons-nous Pompée?	Sauverons-nous Pompée?
PHOTIN.	PHOTIN.
Il faudroit faire effort, Si nous l’avions ſauvé, pour conclurre ſa mort.	Il faudrait faire effort, Si nous l'avions sauvé, pour conclurre sa mort.
Cieopatre votis fare, ene ert nere;	Cieopâtre votis sare, ene ert nere;
elle eſt belle, Et ſi l’heureux Céſar a de l’amour pour elle, La teſte de lompec eit l’unſque preient Qui vous faſſe contr’elle un rempart ſuffiſant.	elle est belle, Et si l'heureux César a de l'amour pour elle, La tête de lompec ec l'unsque préient Qui vous fasse contr'elle un rempart suffisant.
PTOLOMEE.	PTOLOMEE.
Ce dangereux esprit a beaucoup d’artifice.	Ce dangereux esprit a beaucoup d'artifice.
PHOTIN, Son artifice eſt peu contre un ſi grand ſervice.	PHOTIN, Son artifice est peu contre un si grand service.
PTOLOMEE.	PTOLOMEE.
Mais ſi, tout grand qu’il eſt, il céde a ſes appas?	Mais si, tout grand qu'il est, il cède à ses appas?
PHOTIN.	PHOTIN.
Il la faudra flater, mais ne m’en croyez pas, Et pour mieux empeſcher qu’elle ne vous opprime, Conſultez-en encor Achillas & Septime.	Il la faudra flatter, mais ne m'en croyez pas, Et pour mieux empêcher qu'elle ne vous opprime, Consultez-en encor Achillas et Septime.
PTOLOMEE.	PTOLOMEE.
Allons donc les voir faire, & montons à la Tour, Et nous en réſoudrons enſemble à leur retour.	Allons donc les voir faire, et montons à la Tour, Et nous en résoudrons ensemble à leur retour.
Fin du prémier Acte.	Fin du prémier Acte.
ACTL II	ÀCTL II
CCENE PREM IERE.	CCENE PREM JERE.
CLEOPATRE, CHARMION.	CLÉPATRE, CHARMION.
CLEOPATRE.	CLÉPATRE.
E l’aime, mais l’éclat d’une ſi belle fiame, Quelque brillant qu’il ſoit, n’ébloüit point mon ame, Et toûjours ma vertu retrace dans mon cœur Ce qu’il doit au vaincu, bruſlant pour le vainqueur.	E l'aime, mais l'éclat d'une si belle fième, Quelque brillant qu'il soit, n'éblouit point mon âme, Et toujours ma vertu retrace dans mon cœur Ce qu'il doit au vaincu, brûlant pour le vainqueur.
Auiſ qui l’olc ailnel porte une ame tiop naûte, I'out ſouffrir ſeulement le ſoupçon d’une faute, Et je le traiterois avec indignité, Si j’aspirois à luy par une laſcheté.	Auis qui l'olc ailél porte une âme tiop naute, J'out souffrir seulement le soupçon d'une faute, Et je le traiterais avec indignité, Si j'aspirais à lui par une lâcheté.
CHARMION.	CHARMION.
Quoy!	Quoi!
vous aimez Céſar, & ſi vous étiez creuë, L’Egypte pour Pompée armeroit à ſa veuë, En prendroit la défenſe, & par un prompt ſecours Du destin de Pharſale arréteroit le cours!	vous aimez César, et si vous étiez cruë, L'Égypte pour Pompée armerait à sa vue, En prendrait la défense, et par un prompt secours Du destin de Pharsale arrêterait le cours!
L’Amour certes ſur vous a bien peu de puiſſance.	L'Amour certes sur vous a bien peu de puissance.
CLEOPATRE.	CLÉPATRE.
Les Princes ont cela de leur haute naiſſance.	Les Princes ont cela de leur haute naissance.
Leur ame dans leur ſang prend des impreſſions Qui deſſous leur vertu rangent leurs paſſions, Leur généroſité ſoûmet tout à leur gloire, Tout eſt illustre en eux, quand ils daignent ſe croire,	Leur âme dans leur sang prend des impressions Qui dessous leur vertu rangent leurs passions, Leur générosité soumet tout à leur gloire, Tout est illustre en eux, quand ils daignent se croire,
B uiij Et ſi le Peuple y voit quelques déréglemens, C’eſt quand l’avis d’autruy corrompt leurs ſentimens.	 uiij Est si le Peuple y voit quelques dérèglements, C'est quand l'avis d'autrui corrompt leurs sentiments.
Ce malheur, de Pompée achéve la ruïne, Le Roy l’euſt ſecouru, mais Photin l’aſſaſſine, Il croit cette ame baſſe & ſe montre ſans foy, Mais s’il croyoit la ſienne il agiroit en Roy.	Ce malheur, de Pompée achève la ruine, Le Roi l'eût secouru, mais Photin l'assassine, Il croit cette âme basse et se montre sans foi, Mais s'il croyait la sienne il agirait en Roi.
CHurlem TO Fu.	CHurle TO Fu.
Ainſi donc de Céſar l’Amante & l’ennemie.	Ainsi donc de César l'Amante et l'ennemie.
CLEOPATRE.	CLÉPATRE.
Je luy garde ia naine exempte d’infamie, Un cœur digne de luy.	Je te garde ja naine exempte d'infamie, Un cœur digne de même.
CHARMION.	CHARMION.
Vous poſſédez le ſien?	Vous possédez le sien?
Cuno lhIRE.	Cuno lhIRE.
Je croy le poſſéder.	Je crois le posséder.
CHARMION.	CHARMION.
Mais le ſçavez-vous bien?	Mais le savez-vous bien?
CLEOPATRE.	CLÉPATRE.
Apprén qu’une Princeſſe aimant ſa Renommée.	Appren qu'une Princesse aimant sa Renommée.
Quand elle dit qu’elle aime, eſt ſeure d’eſtre aimée, Et que les plus beaux feux dont ſon cœur ſoit épris, N’oſeroient l’expoſer aux hontes d’un mépris.	Quand elle dit qu'elle aime, est sûre d'être aimée, Et que les plus beaux feux dont son cœur soit épris, N'oseraient l'exposer aux hontes d'un mépris.
Noſtre ſéjour à Rome enflama ſon courage, Là j’eus de ſon amour le prémier témoignage, Et depuis, jusqu’icy chaque jour ſes courriers M’apportent en tribut ſes vœux & ſes lauriers.	Notre séjour à Rome enflama son courage, Là j'eus de son amour le prémier témoignage, Et depuis, jusqu'ici chaque jour ses courriers M'apportent en tribut ses vœux et ses lauriers.
Par tout, en Italie, aux Gaules, en Espagne, La Fortune le ſuit, & l’Amour l’accompagne;	Par tout, en Italie, aux Gaules, en Espagne, La Fortune le suit, et l'Amour l'accompagne;
Son bras ne dompte point de Peuples ny de lieux, Dont il ne rende hommage au pouvoir de mes yeux, Et de la meſme main dont il quitte l’épée Fumante encor du ſang des amis de Pompée, Il trace des ſoûpirs, & d’un ſtile plaintif Dans ſon champ de victoire il ſe dit mon captif.	Son bras ne dompte point de Peuples ni de lieux, Dont il ne rende hommage au pouvoir de mes yeux, Et de la même main dont il quitte l'épée Fumante encor du sang des amis de Pompée, Il trace des soupirs, et d'un style plaintif Dans son champ de victoire il se dit mon captif.
Ouy, tout victorieux il m’écrit de Pharſale, Et ſi ſa diligence à ſes feux eſt égale, Ou plûtoſt ſi la mer ne s’oppoſe à ſes feux, L’Egypte le va voir me preſenter ſes vœux.	Oui, tout victorieux il m'écrit de Pharsale, Et si sa diligence à ses feux est égale, Ou plutôt si la mer ne s'oppose à ses feux, L'Égypte le va voir me présenter ses vœux.
Il vient, ma Charmion, jusque dans nos murailles Chercher auprès de moy le prix de ſes batailles, M’offrir toute ſa gloire, & ſoûmettre à mes loix Ce cœur & cette main qui commandent aux Rois, Et ma rigueur meſlée aux faveurs de la guerre Feroit un malheureux du maiſtre de la Terre.	Il vient, ma Charmion, jusque dans nos murailles Chercher auprès de moi le prix de ses batailles, M'offrir toute sa gloire, et soumettre à mes lois Ce cœur et cette main qui commandent aux Rois, Et ma rigueur mêlée aux faveurs de la guerre Ferait un malheureux du maître de la Terre.
CHARMION.	CHARMION.
J’oſerois bien jurer que vos charmans appas Se vantent d’un pouvoir dont ils n’uſeront pas, Et que le grand Céſar n’a rien qui l’importune, Si vos ſeules rigueurs ont droit ſur ſa fortune.	J'oserais bien jurer que vos charmants appas Se vantent d'un pouvoir dont ils n'useront pas, Et que le grand César n'a rien qui l'importune, Si vos seules rigueurs ont droit sur sa fortune.
Mais quelle eſt voſtre attente & que prétendez.	Mais quelle est votre attente et que prétendez.
vous, Puisque d'une autie femme irert deja Iepoux, Et qu’avec Calphurnie un paiſible Hyménée Par des liens ſacrez tient ſon ame enchaiſnée ?	vous, Puisque d'une autie femme irert déjà Bepoux, Et qu'avec Calphurnie un paisible Hyménée Par des liens sacrés tient son âme enchaînée ?
CLEOPATRE.	CLÉPATRE.
Le Divorce aujourd’huy ſi commun aux Romains Peut rendre en ma faveur tous ces obstacles vains;	Le Divorce aujourd'hui si commun aux Romains Peut rendre en ma faveur tous ces obstacles vains;
celar ei rguit l'uiage & la cérémonie, Un divorce chez luy fit place à Calphurnie.	celar ei rguit l'uiage et la cérémonie, Un divorce chez lui fit place à Calphurie.
CHARMON.	CHARMON.
Par cette meſme voye il pourra vos quitter.	Par cette même voie il pourra vos quitter.
CLEOPATRE.	CLÉPATRE.
Peut-eſtre mon bon-heur ſçaura mieux l’arréter, Peut-eſtre mon amour aura quelque avantage Qui ſçaura mieux que moy ménager ſon courage.	Peut-être mon bonheur sçaura mieux l'arréter, Peut-être mon amour aura quelque avantage Qui sçaura mieux que moi ménager son courage.
