A M.	À M.
Andromede ce ſoir aura l’illuſtre eſpoux Qui ſeul eſt digne d’elle & dont ſeule elle ett digne, Préparons ſon Hymen, où pour faueur inſigne Les Dieux ont réſolu de ſe joindre auec nous.	Andromède ce soir aura l'illustre époux Qui seul est digne d'elle et dont seule elle ett digne, Préparons son Hymen, où pour faveur insigne Les Dieux ont résolu de se joindre auec nous.
Le Chœur de la Muſique.	Le Chœur de la Musique.
Préparons ſon Hymen, où pour faueur inſigne Les Dieux ont reſolu de ſe joindre auec nous.	Préparons son Hymen, où pour faveur insigne Les Dieux ont résolu de se joindre avec nous.
PAGE.	PAGE.
Le Ciel le veut.	Le Ciel le veut.
LIRTOPE.	LIRTOPE.
Venus l’ordonne.	Venus l'ordonne.
PAGE.	PAGE.
iudeu lea junias	judeu lea junias
LIRIOPE.	LIRIOPE.
L’Hymen va les vnir.	L'Hymen va les unir.
PAGE.	PAGE.
Douce vnion que chacun doit benir !	Douce union que chacun doit bénir !
LIRIOPE.	LIRIOPE.
Heureuſe amour qu’vn tel ſuccez couronne!	Heureuse amour qu'un tel succès couronne!
Tous deux enſemble.	Tous deux ensemble.
Andromede ce ſoir aura l’illuſtre eſpoux Qui ſeul eſt digne d’elle & dont ſeule elle eſt digne, Préparons ſon Hymen, où pour faueur inſigne Les Dieux ont réſolu de ſe joindre auec nous.	Andromède ce soir aura l'illustre époux Qui seul est digne d'elle et dont seule elle est digne, Préparons son Hymen, où pour faveur insigne Les Dieux ont résolu de se joindre auec nous.
CHOEVR de Muſique.	CHOEUR de Musique.
Préparons ſon Hymen, où pour faueur infigne Les Dieux ont reſolu de ſe joindre auec nous.	Préparons son Hymen, où pour faveur insigne Les Dieux ont résolu de se joindre auec nous.
ANDROMEDE.	ANDROMEDE.
Ar n'en faut pome menei, ieur accord m’a ſurpriſe.	Ar n'en faut pome mènei, jeur accord m'a surprise.
PHINEE.	PHINE.
Madame, c’eſt ainſi que tout me fauoriſe, Et que tous vos Sujets ſoûpirent en ces lieux Apres l’heureux effet de cet Arreſt des Dieux, Que leurs ſouhaits vnis.	Madame, c'est ainsi que tout me favorise, Et que tous vos Sujets soupirent en ces lieux Apres l'heureux effet de cet Arrêt des Dieux, Que leurs souhaits unis.
SCENE III.	SCÈNE III.
PHINEE, ANDROMEDE, TIMANTE, Chœur de Nymphes.	PHINE, ANDROMEDE, TIMANTE, Chœur de Nymphes.
Suite de Phinée.	Suite de Phinée.
TIMANTE.	TIMANTE.
A H, Seigneur, ah, Mada2 me !	À H, Seigneur, ah, Mada2 me !
PHINEE.	PHINE.
Que nous veux-tu, Timante, & qui trouble ton aile.	Que nous veux-tu, Timante, et qui trouble ton aile.
TIMANTE.	TIMANTE.
Le pire des malheurs.	Le pire des malheurs.
PHINEE.	PHINE.
Le Roy ſeroit-il mort?	Le Roi serait-il mort?
TIMANTE.	TIMANTE.
Non, Seigneur, mais enfin le triſte choix du Oure Vient de tomber.	Non, Seigneur, mais enfin le triste choix du Ouvre Vient de tomber.
Helas!	Hélas!
pourray-ie vous le dire?	pourrai-je vous le dire?
ANDROMEDE.	ANDROMEDE.
Eſt-ce ſur quelque objet pour qui ton cœur ſoûpire?	Est-ce sur quelque objet pour qui ton cœur soupire?
TIMANTE.	TIMANTE.
Soûpirer à vos yeux du pire de ſes coups, N’eſt-ce pas dire aſſez qu’il eſt tombé ſur vous?	Soupirer à vos yeux du pire de ses coups, N'est-ce pas dire assez qu'il est tombé sur vous?
PHINEE.	PHINE.
Qui te fait nous donner de ſi vaines alarmes ?	Qui te fait nous donner de si vaines alarmes ?
TIMANTE.	TIMANTE.
Si vous n’en croyez pas mes ſoûpirs & mes larmes, vous en cromen le noy;	Si vous n'en croyez pas mes soupirs et mes larmes, vous en cromen le noi;
que mien core de tos yeux La va liurer luy-meſme aux Miniſtres des Dieux.	que mien core de tos yeux La va livrer Seigneur-même aux Ministres des Dieux.
PHINEE.	PHINE.
C’eſt nous faire, Timante, vn conte ridicule, Et ie tiendrois le Roy bien ſimple & bien credule, Si plus qu’vne Deeſſe il en croyoit le Sort.	C'est nous faire, Timante, un conte ridicule, Et tu tiendrais le Roi bien simple et bien crédule, Si plus qu'une Déesse il en croyait le Sort.
TIMANTE.	TIMANTE.
Le Roy non plus que vous ne l’a pas creu d’abord, Il a fait par trois fois eſſayer ſa maſice, Et l’a veu par trois fois faire meſme injuſtice, Du vaſe par trois fois ce beau nom eſt ſorty.	Le Roi non plus que vous ne l'a pas cru d'abord, Il a fait par trois fois essayer sa masice, Et l'a vu par trois fois faire même injustice, Du vase par trois fois ce beau nom est sorti.
PHINEE.	PHINE.
Et toutes les trois fois le Sort en a menty.	Et toutes les trois fois le Sort en a menti.
Le Ciel a fait pour vous une autre Deſtinée, Son ordre eſt immuable, il veut noitre Hymenée, Il le veut, il y met le bon-heur de ces lieux, Et ce n’eſt pas au Sort à démentir les Dieux.	Le Ciel a fait pour vous une autre Destinée, Son ordre est immuable, il veut naître Hyménée, Il le veut, il y met le bonheur de ces lieux, Et ce n'est pas au Sort à démentir les Dieux.
ANDROMEDE.	ANDROMEDE.
Aſſez ſouuent le Ciel par quelque fauſſe joye Se plaiſt à prévenir les maux qu’il nous enuoye, Du moins il m’a rendu quelques moments bien doux Par ce flatteur eſpoir que j’allois eſtre à vous, Mais puiſque ce n’eſtoit qu’vne trompeuſe attente, Gardez mon ſouuenir, & ie mourray contente.	Assez souvent le Ciel par quelque fausse joie Se plaît à prévenir les maux qu'il nous envoie, Du moins il m'a rendu quelques moments bien doux Par ce flatteur espoir que j'allais être à vous, Mais puisque ce n'était qu'une trompeuse attente, Gardez mon souvenir, et et mourrai contente.
PHINEE.	PHINE.
Et vous mourrez contente!	Et vous mourrez contente!
& i’ay pû meriter Qu’avec contentement vous puiſſiez me quitter, Détacher ſans regret voſtre ame de la mienne, Vouloir que ie le voye, & que ie m’en ſouuienne!	et j'ai pu mériter Qu'avec contentement vous puissiez me quitter, Détacher sans regret votre âme de la mienne, Vouloir que sans le voie, et que tu m'en souvienne!
Et mon fidelle amour qui receut voſtre foy Vous Vous trouue indifferente entre la mort & moy!	Et mon fidèle amour qui reçut votre foi Vous Vous trouve indifférente entre la mort et moi!
Ouy, ie m’en ſouuiendray, vous le voulez, Madame, J’accepte le ſupplice où vous liurez mon ame, Mais quelque peu d’amour que vous me faciez voir Le mien n’oubliera pas les loix de ſon devoir.	Oui, Seigneur m'en souviendrai, vous le voulez, Madame, J'accepte le supplice où vous livrez mon âme, Mais quelque peu d'amour que vous me fassiez voir Le mien n'oubliera pas les lois de son devoir.
Ie dois malgré le Sort, ie dois malgré vousmeſme, Si vous aymez ſi mal, vous monſtrer comme on ayme, Et fairé recognoiſtre aux yeux qui m’ont charmé Que i’eſtois digne au moins d’eſtre vn peu mieux aymé.	Je dois malgré le Sort, ie dois malgré vousmesme, Si vous aimez si mal, vous montrer comme on aime, Et fairé reconnaître aux yeux qui m'ont charmé Que j'étais digne au moins d'être un peu mieux aimé.
Vous l’aduoüerez bien-toſt, & j’auray cette gloire Qui dans tout l’auenir ſuiura noſtre memoire, Que pour ſe voir quitter auec contentement, Vn amant tel que moy n’en eſt pas moins amant.	Vous l'avouerez bientôt, et j'aurai cette gloire Qui dans tout l'avenir suivra notre mémoire, Que pour se voir quitter avec contentement, Un amant tel que moi n'en est pas moins amant.
ANDROMEDE.	ANDROMEDE.
C’eſt donc trop peu pour moy que des malheurs ſi proches Si vous ne les croiſſez par d’injuſtes reproches!	C'est donc trop peu pour moi que des malheurs si proches Si vous ne les croissez par d'injustes reproches!
Vous quitter ſans regret!	Vous quitter sans regret!
les Dieux me ſont témoins Que i’en monſtrerois plus ſi ie vous aymois moins.	les Dieux me sont témoins Que j'en montrerais plus si tu vous aimais moins.
C’eſt pour vous trop aymer que ie parois toute autre, I’étouffe ma douleur pour n’aigrir pas la voſtre, Ie retiens mes ſoûpirs de peur de vous facher, Et me monſtre inſenſible afin de moins toucher.	C'est pour vous trop aimer que sans parais toute autre, J'étouffe ma douleur pour n'aigrir pas la vôtre, Je retiens mes soupirs de peur de vous fâcher, Et me montre insensible afin de moins toucher.
Heias:	Héjas:
n vous rȩauez faire von come on ayme, Du moins vous voyez mal quand l’amour eſt extréme, Ouy, Phinée, & ie doute en courant à la mort, Lequel m’eſt plus cruel, ou de vous, ou du Sort.	n vous rȩauez faire von compe on aime, Du moins vous voyez mal quand l'amour est extrême, Oui, Phinée, et et été en courant à la mort, Lequel m'est plus cruel, ou de vous, ou du Sort.
PHINEE.	PHINE.
Helas!	Hélas!
qu’il eſtoit grand quand ie l’ay creu s’eſteindre, Voſtre Voſtre amour, & qu’à tort ma flame oſoit s’en plaindre!	qu'il était grand quand on l'ai cru s'éteindre, Votre Vostre amour, et qu'à tort ma flamme osait s'en plaindre!
Princeſſe, vous pouuez me quitter ſans regret, Vous ne perdez en moy qu’vn amant indiſcret, Qu’vn amant temeraire, & qui meſme a l’audace D’accuſer voſtre amour quand vous luy faites grace;	Princesse, vous pouvez me quitter sans regret, Vous ne perdez en moi qu'un amant indiscret, Qu'un amant téméraire, et qui était à l'audace D'accuser votre amour quand vous lui faites grâce;
Mais pour moy dont la perte eſt ſans comparaiſon, Qui perds en vous perdant & lumiere & raiſon, Ie n’ay que ma douleur qui m’aueugle & me guide, Qui ſur toute mon ame elle ſeule préſide, Elle y regne, & ie cede entier à ſon tranſport, Mais ie ne cede pas aux caprices du Sort:	Mais pour moi dont la perte est sans comparaison, Qui perds en vous perdant et lumière et raison, Je n'ai que ma douleur qui m'aveugle et me guide, Qui sur toute mon âme elle seule préside, Elle y règne, et ainsi cède entier à son transport, Mais Se ne de pas aux caprices du Sort:
Que le Roy par ſcrupule à ſa rigueur défere, Qu’une indigne équité le face injuſte pere, La Reyne & mon amour ſçauront bien empeIener Qu’vn choix ſi criminel ne couſte vn ſang ſi cher.	Que le Roi par scrupule à sa rigueur défère, Qu'une indigne équité le face injuste père, La Reine et mon amour sauront bien empeIener Qu'être choix si criminel ne coûte un sang si cher.
I’oſe tout, ie puis tout apres vn tel Oracle.	J'ose tout, Seigneur puis tout après un tel Oracle.
TIMANTE.	TIMANTE.
La Reyne eſt hors d’eſtat d’y joindre aucun obnuere, Surpriſe comme vous d’vn tel éuenement, Elle en a de douleur perdu tout ſentiment, Et ſans doute le Roy liurera la Princene Auant qu’on l’ait pû voir ſortir de ſa foibleſſe.	La Reine est hors d'état d'y joindre aucun obnuere, Surprise comme vous d' tel événement, Elle en a de douleur perdu tout sentiment, Et sans doute le Roy iivrera la Princène Étant qu'on l'ait pu voir sortir de sa faiblesse.
PHINEE.	PHINE.
Et bien, mon amour ſeul ſçaura juſqu’au trépas, Malgré tous.	Et bien, mon amour seul Saura jusqu'au trépas, Malgré tous.
ANDROMEDE.	ANDROMEDE.
Le Roy vient, ne vous emportez pas.	Le Roi vient, ne vous emportez pas.
SCENE IV.	SCÈNE IV.
CEPHEE, PHINEE, ANDROMEDE, PERSEE, TIMANTE, Chœur de Nymphes, Suite du Roy & de Phinée.	CEPHÉE, PHINE, ANDROMEDE, PERSE, TIMANTE, Chœur de Nymphes, Suite du Roi et de Phinée.
CEPHEE.	CÉPHÉE.
A fille, ſi tu ſçais les nouuelles funeſtes MDe ce dernier effort des coleres celeſtes, Si tu ſçais de ton Sort l’impitoyable cours Qui lule le prus eruer du pius peaude nos jours, Eſpargne ma douleur, iuges-en par ſa cauſe, Et va ſans me forcer à te dire autre choſé.	À fille, si tu sais les nouvelles funestes MDe ce dernier effort des colères célestes, Si tu sais de ton Sort l'impitoyable cours Qui lule le prus erver du pius paude nos jours, Espargne ma douleur, juges-en par sa cause, Et va sans me forcer à te dire autre chosé.
ANDROMEDE.	ANDROMEDE.
Seigneur, ie vous l’aduouë, il eſt bien douloureux De tout perdre au moment qu’on ſe doit croire heureux, Et le coup qui ſurprend vn eſpoir legitime, Porte plus d’vne mort au cœur de la victime;	Seigneur, votre vous l'avoue, il est bien douloureux De tout perdre au moment qu'on se doit croire heureux, Et le coup qui surprend un espoir légitime, Porte plus d'une mort au cœur de la victime;
Mais enfin il eſt juſte, & ie le dois benir, La cauſe des malheurs les doit faire finir, Le Ciel qui ſe repent ſi toſt de ſes careſſes Verra plus de conſtance en moy qu’en ſes promeſſes;	Mais enfin il est juste, et ainsi le dois bénir, La cause des malheurs les doit faire finir, Le Ciel qui se repent si tôt de ses caresses Verra plus de constance en moi qu'en ses promesses;
Heureuſe, ſi mes iours vn peu précipitez Satisfont à ces Dieux pour moy ſeule irritez, Si ie ſuis la derniere à leur couroux offerte, Si le ſalut public peut naiſtre de ma perte, Malheureuſe pourtant, qu’vn ſi precieux bien Vous a deſia couſté d’autre ſang que le mien, De que le ne luis pas la premere de l’onque Qui rende à voſtre Eſtat la ſeureté publique.	Heureuse, si mes jours encore peu précipités Satisfont à ces Dieux pour moi seule irrités, Si tu suis la dernière à leur courroux offerte, Si le salut public peut naître de ma perte, Malheureuse pourtant, qu'un si précieux bien Vous a déjà coûté d'autre sang que le mien, De que le ne luis pas la prémère de l'onque Qui rende à votre État la sûreté publique.
PHINEE.	PHINE.
Quoy!	Quoi!
vous vous obſtinez encore à me trahir?	vous vous obstinez encore à me trahir?
ANDROMEDE.	ANDROMEDE.
Ie vous plains, ie me plains, n’ais ie dois obeïr.	Je vous plains, Seigneur me plains, n'ai toujours dois obéir.
HINEE.	HINE.
Honteuſe obeïſſance à qui voſtre amour cede.	Honteuse obéissance à qui votre amour cède.
CE	CE
CEPHEE.	CÉPHÉE.
Obeïſſance illuſtre, & digne d’Andromede, Son nom comblé par là d’vn immortel honneur.	Obéissance illustre, et digne d'Andromède, Son nom comblé par là d'un immortel honneur.
PHINEE.	PHINE.
Ie l’empeſcheray bien, ce funeſte bon-heur, Andromede eſt à moy, vous me l’auez donnée, Le Ciel pour noſtre Hymen a pris cette journée, Venus l’a commandé, qui me la peut oſter ?	Je l'empêcherai bien, ce funeste bonheur, Andromède est à moi, vous me l'avez donnée, Le Ciel pour notre Hymen a pris cette journée, Venus l'a commandé, qui me la peut ôter ?
Le Sort auprés des Dieux ſe doit-il écouter ?	Le Sort auprès des Dieux se doit-il écouter ?
Ah!	Ah!
ſi j’en vois icy les infames Miniſtres S’apreſter aux effets de ſes ordres ſiniſtres.	si j'en vois ici les infâmes Ministres S'apprêter aux effets de ses ordres sinistres.
CEPHEE.	CÉPHÉE.
Apprenez que le Sort n’agit que ſous les Dieux, Et ſouffrez comme moy le bon-heur de ces lieux.	Apprenez que le Sort n'agit que sous les Dieux, Et souffrez comme moi le bonheur de ces lieux.
Voſtre perte n’eſt rien au prix de ma miſere, Si vous eſtes amant, Phinée, ie ſuis pere, Il eſt d’autres objets dignes de voſtre ſoy, Mais il n’eſt point ailleurs d’autre fille pour moy.	Votre perte n'est rien au prix de ma misère, Si vous êtes amant, Phinée, sans suis père, Il est d'autres objets dignes de votre soi, Mais il n'est point ailleurs d'autre fille pour moi.
Songez donc mieux qu’vn pere à ces affreux rauages Que par tout de ce Monſtre épandirent les rages, Et n’en rappelez pas l’épouuantable horreur, Pour trop croire & trop ſuiure vne aueugle fureur.	Songez donc mieux qu'un père à ces affreux ravages Que par tout de ce Monstre épandirent les rages, Et n'en rappelez pas l'épouvantable horreur, Pour trop croire et trop suivre une aveugle fureur.
PHINEE.	PHINE.
Que de nouueau ce Monſtre entré deſſus vos terres Face à tous vos Sujets d’impitoyables guerres, Le lang de tout vn peupre ent tep bien employé, Ouand celuy de ſes Rois en peut eſtre payé, Et ie ne cognois point d’autre perte publique Que celle où vous condamne vn Sort ſi tyrannique.	Que de nouveau ce Monstre entré dessus vos terres Face à tous vos Sujets d'impitoyables guerres, Le lang de tout un peupre ent te bien employé, Ouand celui de ses Rois en peut être payé, Et ainsi ne connais point d'autre perte publique Que celle où vous condamne un Sort si tyrannique.
