trois Mores, à la Berg-ſtraer.	trois Mores, à la Berg-straer.
Songe, perfide, ſonge, au lieu de me braver, Que maître de ton ſort je puis ſeul te ſauver, Que je puis d’un ſeul mot t’arracher au ſuplice Ou permetre à l’inſtant ta mort avec juſtice.	Songe, perfide, songe, au lieu de me braver, Que maître de ton sort je puis seul te sauver, Que je puis d'un seul mot t'arracher au supplice Ou permetre à l'instant ta mort avec justice.
Ton crime, tu leſçais, melite le tiepis.	Ton crime, tu lesçais, melite le tiepis.
A BINUS.	À BINUS.
Tu peux me le donner, je ne m’en plaindray pas.	Tu peux me le donner, je ne m'en plaindrai pas.
Le Ciel, entre nous deux met cette difference, Qu’il couronne le crime, & punit l’innocence.	Le Ciel, entre nous deux met cette différence, Qu'il couronne le crime, et punit l'innocence.
Il m’accable de maux, il te comble de biens, Mais ſans examiner quels ſecrets ſont les ſiens, Tu ſçais que quelquefois diferant ſa vangeance, Il ſemble des méchans flâter la violence;	Il m'accable de maux, il te comble de biens, Mais sans examiner quels secrets sont les siens, Tu sais que quelquefois dierant sa vengeance, Il semble des méchants flamter la violence;
Mais crains de cet oubli le retour dangereux, Tôt ou tard ſon courroux ſe declare contre eux, Et pour ieur lane un jour explertons ieurs crimes Il ſçait bien (quand il faut) les prendre pour victimes.	Mais crains de cet oubli le retour dangereux, Tôt ou tard son courroux se déclare contre eux, Et pour jeur lane un jour explertons jeurs crimes Il sait bien (quand il faut) les prendre pour victimes.
SPASIEN.	SPASIEN.
Va, le Ciel équitable a bien ſçû decider " Qui de nous deux à Rome a droit de commander.	Va, le Ciel équitable a bien su décider " Qui de nous deux à Rome a droit de commander.
A l’ombre des Lauriers je brare la tempete, Et l’Empire eſt à moy par le droit de conquête:	À l'ombre des Lauriers je brare la tempète, Et l'Empire est à moi par le droit de conquête:
Mes armes, mes exploits en font mon propre bien.	Mes armes, mes exploits en font mon propre bien.
SABINUS.	SABINUS.
Ciel!	Ciel!
puis-je entendre ainſi parler un Flavien!	puis-je entendre ainsi parler un Flavien!
Pour avoir en tes mainsla ſupréme puiſſance As-tu donc oublié ton ſang & ta naiſſance!	Pour avoir en tes mainsla suprême puissance As-tu donc oublié ton sang et ta naissance!
Et quel illuſtre rang ont tenu tes Ayeux?	Et quel illustre rang ont tenu tes Aïeux?
Un ſimple Centenier fut le plus grand d’entre eux.	Un simple Centenier fut le plus grand d'entre eux.
Encor quand par la force & le droit de l’épée Le deſtin de Céſar triompha de Pompée, Aux plaines de Pharſale on vit ce Centenier Abandonner Pompée, & fuir tout le premier.	Encor quand par la force et le droit de l'épée Le destin de César triompha de Pompée, Aux plaines de Pharsale on vit ce Centenier Abandonner Pompée, et fuir tout le premier.
Voilà quel eſt l’éclat de ton auguſte race.	Voilà quel est l'éclat de ton auguste race.
Et cependant ton cœur veut uſer de menace!	Et cependant ton cœur veut user de menace!
Va, malgré ton pouvoir, je brave ton courroux, Et j’attens, ſans trembler, tes plus rigoureux coups.	Va, malgré ton pouvoir, je brave ton courroux, Et j'attends, sans trembler, tes plus rigoureux coups.
VESPASIEN.	VESPASIEN.
Tu me reproche en vain ma premiere baſſeſſe, Je ſçay quel eſt mon ſort, & l’admire ſans ceſſe.	Tu me reproche en vain ma première bassesse, Je sais quel est mon sort, et l'admire sans cesse.
Les Dieux dont l’équité regle tous les humains Diſpenſent avec choix leurs ordres ſouverains, Et par un trait divin de leur toute puiſſance Sçavent à la vertu donner la recompenſe.	Les Dieux dont l'équité règle tous les humains Dispensent avec choix leurs ordres souverains, Et par un trait divin de leur toute puissance Savent à la vertu donner la récompense.
C’eſt donc par leur pouvoir que de ce vil état Tu me vois aujourd’hui dans le plus grand éclat;	C'est donc par leur pouvoir que de ce vil état Tu me vois aujourd'hui dans le plus grand éclat;
Eux-mêmes m’ont tiré d’une foule comune Pour me faire en ce lieux une haute fortune, Pour m’élever au Trône, & mettre entre mes mains Comme au plus vertueux le Sceptre des Romains.	Eux-mêmes m'ont tiré d'une foule compne Pour me faire en ce lieux une haute fortune, Pour m'élever au Trône, et mettre entre mes mains Comme au plus vertueux le Sceptre des Romains.
Il eſt plus glorieux quoi que tu puiſſes dire, D’étre par ces moyens Poſſeſſeur de l’Empire, Que lorique ron ne dort les fomieuir de ee Rang Qu’à des droits incertains, ou qu’à l’ordre du Sang.	Il est plus glorieux quoi que tu puisses dire, D'être par ces moyens Possesseur de l'Empire, Que lorique ron ne dort les fomieuir de ce Rang Qu'à des droits incertains, ou qu'à l'ordre du Sang.
DOMITIE.	DOMITIE.
Pourquoi pour un Rebelle avoir tant d’indulgence?	Pourquoi pour un Rebelle avoir tant d'indulgence?
Sans vous juſtifier hâtez vôtre vangeance, Et ne permettez pas que ſa temerité Triomphe impunement de vôtre authorité.	Sans vous justifier hâtez votre vengeance, Et ne permettez pas que sa témérité Triomphe impunément de votre autorité.
Il faut, Seigneur, le perdre, ou lui ceder l’Empire, L’un des deux doit trembler tant que l’autre reſpire, Et ſi le ſort tantôt s’en declarant l’apui, Vous eût dans le combat abandonné pour lui;	Il faut, Seigneur, le perdre, ou lui céder l'Empire, L'un des deux doit trembler tant que l'autre respire, Et si le sort tantôt s'en déclarant l'appui, Vous eût dans le combat abandonné pour lui;
Vous euſſiez bien-tôt vû ſa criminelle envie S’aſſurer de ce Rang en vous ôtant la vie, Et vous devez de même, au lieu de l’épargner Sacrifier ſes jours à l’ardeur de fegrier.	Vous eussiez bientôt vu sa criminelle envie S'assurer de ce Rang en vous ôtant la vie, Et vous devez de même, au lieu de l'épargner Sacrifier ses jours à l'ardeur de fegrier.
VESPASIEN.	VESPASIEN.
Hé bien, il mourra donc:	Hé bien, il mourra donc:
puis qu’encor il s’obſtine A braver mon pouvoir.	puis qu'encor il s'obstine A braver mon pouvoir.
mais je vois Eponine.	mais je vois Éponine.
CENE IV.	CÈNE IV.
VESPASIEN, EPONINE, DOMITIE SABINUS, SULPICIE, GARDES.	VESPASIEN, EPONINE, DOMITIE SABINUS, SULPICIE, GARDES.
EPONINE à ſes Gardes.	EPONINE à ses Gardes.
Ou, non, tous vos efforts ſont ici ſuperflus, NN Vous m’arrêtez en vain, je veux voir Sabinus.	Ou, non, tous vos efforts sont ici superflus, N Vous 'arrêtez en vain, je veux voir Sabinus.
A Veſpaſien.	À Vespasien.
Ah!	Ah!
de grace, épargnez une tête ſi chere, Tournez plûtôt ſur moi toute vôtre colere.	de grâce, épargnez une tête si chère, Tournez plutôt sur moi toute votre colère.
Et n’eſt-ce pas aſſez, Seigneur, que de mon Sang Pour calmer vos fureurs vous épuiſiez mon flang?	Et n'est-ce pas assez, Seigneur, que de mon Sang Pour calmer vos fureurs vous épuisiez mon slang?
Faudra-t’il que le ſien contente vôtre haine?	Faudra-t-il que le sien contente votre haine?
Et pouvez-vous trahir cette vertu Romaine Qui ſe fait une Loi d’épargner les vaincus?	Et pouvez-vous trahir cette vertu Romaine Qui se fait une Lois d'épargner les vaincus?
Mais que vois-je?	Mais que vois-je?
grands Dieux!	grands Dieux!
ah, je n’en doute plus;	ah, je n'en doute plus;
Je lis daus vos regards mon malheur & ſa perte.	Je lis daus vos regards mon malheur et sa perte.
Seigneur, ſi tant d’ennuy, tant de peine ſoufferte, Tant de pleurs repandus, tant de triſtes ſoupirs Qui vous ont juſqu’ici marqué mes deplaiſiis, Si nos cruels tourmens ne touchent point vôtre ame, A lui donner la mort commencez par ſa Femme, Percez mon foible cœur pour mieux punir le ſien, Et puis qu’il faut du ſang contentez-vous du mien.	Seigneur, si tant d'ennui, tant de peine soufferte, Tant de pleurs répandus, tant de tristes soupirs Qui vous ont jusqu'ici marqué mes déplaisiis, Si nos cruels tourments ne touchent point votre âme, À lui donner la mort commencez par sa Femme, Percez mon faible cœur pour mieux punir le sien, Et puis qu'il faut du sang contentez-vous du mien.
Je viens à vos genoux prendre ſur moy ſon crime, Le ſauver du trépas, & m’offrir pour victime.	Je viens à vos genoux prendre sur moi son crime, Le sauver du trépas, et m'offrir pour victime.
Helas!	Hélas!
depuis neuf ans enfermez au tombeau, Chaque jour y treuvant un ſuplice nouveau, Privez de la clarté, vivants parmi les ombres, A peme ſortons-nous de ces cavernes ſombres, Qu’il nous fauten ce lieu par une affreuſe mort Sous les coups d’un bourreau voir finir nôtre ſort.	depuis neuf ans enfermés au tombeau, Chaque jour y trouvant un suplice nouveau, Privez de la clarté, vivants parmi les ombres, A eme sortons-nous de ces cavernes sombres, Qu'il nous fauten ce lieu par une affreuse mort Sous les coups d'un bourreau voir finir notre sort.
Je n’en murmure point, je renonce à la vie.	Je n'en murmure point, je renonce à la vie.
Ouy, Seigneur, je conſens qu’elle me ſoit ravie, Pourvû que la rigueur du trépas où je cours Puiſſe vous ſatisfaire & conſerver ſes jours.	Oui, Seigneur, je consens qu'elle me soit ravie, Pourvu que la rigueur du trépas où je cours Puisse vous satisfaire et conserver ses jours.
Accordez à mes pleurs ce que je vous demande, Terminez mon deſtin, la faveur n’eſt pas grande, Ordonnez, je ſuis prête, & puis qu’il faut mourir Mon cœur ſera content s’il peut le ſecourir.	Accordez à mes pleurs ce que je vous demande, Terminez mon destin, la faveur n'est pas grande, Ordonnez, je suis prête, et puis qu'il faut mourir Mon cœur sera content s'il peut le secourir.
SABINUS.	SABINUS.
Ah, Ciel!	Ah, Ciel!
qu’oſez-vous dire?	qu'osez-vous dire?
& quoy chere Eponine, Faut-il par cette voye empêcher ma ruine?	et quoi chère Éponine, Faut-il par cette voie empêcher ma ruine?
Ne m’offrez plus, helas!	Ne m'offrez plus, hélas!
ces funeſtes ſecours, Et laiſſez-moy finir mes déplorables jours.	ces funestes secours, Et laissez-moi finir mes déplorables jours.
J’atteſte de nos Dieux la puiſſance infinie Que pour vous ſeulement j’ay pris ſeinde ma vie:	J'atteste de nos Dieux la puissance infinie Que pour vous seulement j'ai pris seinde ma vie:
Dés mon premier malheur, ſans vous, ſans vos apas, J’aurois dans ma diſgrace eu recours au trépas.	Dès mon premier malheur, sans vous, sans vos appâts, J'aurais dans ma disgrâce eu recours au trépas.
Et payant de mon ſang l’éclat de ſa victoire Evité cet affront de ſurvivre à ma gloire.	Et payant de mon sang l'éclat de sa victoire Évité cet affront de survivre à ma gloire.
Mais puiſque les deſtins, à me nuire obſtinez, Une ſeconde fois nous ont abandonnez, Qu’ils nous ont interdit juſques à l’eſperance, Il faut à leurs decrets ceder ſans reſiſtance;	Mais puisque les destins, à me nuire obstinez, Une seconde fois nous ont abandonnés, Qu'ils nous ont interdit jusques à l'espérance, Il faut à leurs décrets céder sans résistance;
Ils demaudent ma mort, je vais les contenter.	Ils demaudent ma mort, je vais les contenter.
Mais conſtante Eponine, au lieu de m’imiter, Vivez pour nos enfans, & s’ils perdent le pere Songez qu’il faut du moins leur conſerver la mere, Le Ciel, le juſte Cierſçaura vous preteger Et je me fie à lui du ſoin de nous vanger.	Mais constante Eponine, au lieu de m'imiter, Vivez pour nos enfants, et s'ils perdent le père Songez qu'il faut du moins leur conserver la mère, Le Ciel, le juste Ciersçaura vous protéger Et je me fie à lui du soin de nous venger.
A Veſpaſien.	À Vespasien.
Difpoſe de mon ſort au gré de ton envie, Mais j’exige en mourant qu’on ait ſoin de ſa vie, C’eſt l’unique faveur que j’oſe demander, Ene n'ent pomecoupabie, ce tu domrucedrder.	Difpose de mon sort au gré de ton envie, Mais j'exige en mourant qu'on ait soin de sa vie, C'est l'unique faveur que j'ose demander, Éne n'ent pomoupabie, ce tu domrucedrer.
J’emporte chez les morts cette douce eſperance, Et tu peux ſur moy ſeul épuiſer ta vangeance.	J'emporte chez les morts cette douce espérance, Et tu peux sur moi seul épuiser ta vengeance.
EPONINE.	EPONINE.
Mais vous ne ſongez pas qu’en me laiſſant au jour C’eſt m’expoſer encore à ſon injuſte amour?	Mais vous ne songez pas qu'en me laissant au jour C'est m'exposer encore à son injuste amour?
Que ne peut point tenter cet ardeur temeraire Aprés tous les efforts qu’il a déja ſçû faire!	Que ne peut point tenter cet ardeur téméraire Après tous les efforts qu'il a déjà su faire!
Non, dans cette infortune, il me ſera plus doux D’éviter ſa pourſuite, & de mourir pour vous.	Non, dans cette infortune, il me sera plus doux D'éviter sa poursuite, et de mourir pour vous.
VESPASIEN.	VESPASIEN.
O cœur trop genereux!	Ô cœur trop généreux!
ô vertu que j’admire Quels plus dignes effets peux-tu jamais produire!	ô vertu que j'admire Quels plus dignes effets peux-tu jamais produire!
Que ne m’eſt-il permis dans ces triſtes momens De ſuivre ſans peril mes ſecrets mouvemens?	Que ne m'est-il permis dans ces tristes moments De suivre sans péril mes secrets mouvements?
Faut-il être inhumain pour conſerver l’Empire?	Faut-il être inhumain pour conserver l'Empire?
DOMITIE.	DOMITIE.
Quoy!	Quoi!
vôtre foible cœur eſt prêt à vous ſeduire?	votre faible cœur est prêt à vous séduire?
Ah!	Ah!
ſongez que l’état en cette extrêmité Eſpere ſon bonheur de vôtre fermeté.	songez que l'état en cette extrémité Espère son bonheur de votre fermeté.
La pitié dans ce jour vous peut être nuiſible.	La pitié dans ce jour vous peut être nuisible.
Sabinus a rendu ſon crime irremiſſible;	Sabinus a rendu son crime irrémissible;
Et quiconque eſt ſurpris les armes à la main Contre ſou Empereur, contre ſon Souverain, Doit payer à l’iuſtant, par une mort cruelle, Le forfait odieux de ſon ame rebelle;	Et quiconque est surpris les armes à la main Contre sou Empereur, contre son Souverain, Doit payer à l'iustant, par une mort cruelle, Le forfait odieux de son âme rebelle;
Il n’eſt point de pardon pour un tel attentat,	Il n'est point de pardon pour un tel attentat,
C Traitez-le donc, Seigneur, en criminel d’Etat, Ne reſpectez en lui mi ſonſang, ni ſa race, Abaiſſez ſon orgueil, puniſſez ſon audace, Sans rien examier prononoen, ranger tous, En perdant à la fois & la femme & l’Epoux.	Ç Traitez-le donc, Seigneur, en criminel d'État, Ne respectez en lui mi sonsang, ni sa race, Abaissez son orgueil, punissez son audace, Sans rien examier pronoenoen, ranger tous, En perdant à la fois et la femme et l'Époux.
SABINUS.	SABINUS.
Ouy, c’eſt trop differer, contente ſon envie, Aſſure par ma mort le repos de ta vie.	Oui, c'est trop différer, contente son envie, Assure par ma mort le repos de ta vie.
Car ne te flâte point, ce n’eſt que par mon ſang Que tu peux aujourd’hui t’affermir en ce rang.	Car ne te flatte point, ce n'est que par mon sang Que tu peux aujourd'hui t'affermir en ce rang.
Juſqu’au dernier ſoupir combatant ta puiſſance, Je ſoûtiendrois encor les droits de ma naiſſance, Et peut-être qu’un jour aux yeux de l’Univers Tu pourrois éprouver quelque fameux revers.	Jusqu'au dernier soupir combattant ta puissance, Je soutiendrais encor les droits de ma naissance, Et peut-être qu'un jour aux yeux de l'Univers Tu pourrais éprouver quelque fameux revers.
Puis donc qu’à tes deſirs la fortune propice M’a couduit pour te plaire au bord du precipice, Tu dois, ſans differer, par un coup éclatant Achever ſon ouvrage en m’y precipitant.	Puis donc qu'à tes désirs la fortune propice M'a couduit pour te plaire au bord du précipice, Tu dois, sans différer, par un coup éclatant Achever son ouvrage en m'y précipitant.
EPONINE.	EPONINE.
Le noir preſſentiment d’unſort épouvantable, Helas!	Le noir pressentiment d'unsort épouvantable, Hélas!
pour mon malheur n’eſt que trop veritable.	pour mon malheur n'est que trop véritable.
O deſtins ennemis à quoy m’expoſez-vous?	Ô destins ennemis à quoi m'exposez-vous?
Ne puis-je du trépas garantir mon Epoux?	Ne puis-je du trépas garantir mon Époux?
AFonornny.	AFonorni.
Toy, qui brûles pour moy d’une flâme ſi belle, Laiſſe expirer pour toy ta Compagne fidelle, Ou bien mourons enſemble, & permets que l’amour Dans un même tombeau nous renferme en cejour	Toi, qui brûles pour moi d'une flamme si belle, Laisse expirer pour toi ta Compagne fidèle, Ou bien mourons ensemble, et permets que l'amour Dans un même tombeau nous renferme en céjour
SABINUS.	SABINUS.
Non, vous ne mourrez point.	Non, vous ne mourrez point.
Mais vos larmes, Madame, Etonnent mon courage, & déchirent moname.	Mais vos larmes, Madame, Étonnent mon courage, et déchirent moname.
Mon cœur dans ce peril n’avoit pû ſe troubler, Mais vôtre deſeſpoit le réduit à trembler.	Mon cœur dans ce péril n'avait pu se troubler, Mais votre désespoit le réduit à trembler.
Je ſens, malgré mes ſoins, malgré ma reſiſtance, Que vos cruels deſſeins ébranlent ma conſtance, Et que pour ſurmonter de ſi tendres amours Il me faut appeller la gloire à mon ſecours;	Je sens, malgré mes soins, malgré ma résistance, Que vos cruels desseins ébranlent ma constance, Et que pour surmonter de si tendres amours Il me faut appeler la gloire à mon secours;
C’eſt elle qui ſçaura, ſoûtenant ma foibleſſe, De tous mes ſentimens ſe rendre la Maîtreſſe.	C'est elle qui saura, soutenant ma faiblesse, De tous mes sentiments se rendre la Maîtresse.
Allons, tout eſt-il prêt?	Allons, tout est-il prêt?
je ſeray trop heureux De finir par ma mort un combat ſi douteux.	je serai trop heureux De finir par ma mort un combat si douteux.
STONINE.	STONINE.
Tranchez plûtôt les jours de la triſte Eponine.	Tranchez plutôt les jours de la triste Éponine.
CENE V.	CÈNE V.
ILor hoiLis, SAbIIRES, EPOIISE, DOMITIE, MUCIEN, SULPICIE, GARDES.	ILor hoiLis, SAbIRES, EPOISE, DOMITIE, MUCIEN, SULPICIE, GARDES.
MOCIEN.	MOCIEN.
Ux portes du Palais tout le peuple s’obſtine A Par un affreux tumulte & mille cris confus A demander encor la mort de Sabinus.	Oùx portes du Palais tout le peuple s'obstine À Par un affreux tumulte et mille cris confus A demander encor la mort de Sabinus.
Vous ne pouvez, Seigneur, diferer davantage Sans craindre des Romains quelque ſanglant outrage;	Vous ne pouvez, Seigneur, disférer davantage Sans craindre des Romains quelque sanglant outrage;
Ils ont même voulu penetrer en ces lieux Pour lui donner ici le trépas à vos yeux, Vous ſçarer quelquelois jdiques ou va l'audace Des eſprits furieux de cette populace, Et vous devez bien-tôt, ſans remords ni terreur Livrer le criminel à leur juſte fureur.	Ils ont même voulu pénétrer en ces lieux Pour lui donner ici le trépas à vos yeux, Vous sçarer quelquelais jédiques ou va l'audace Des esprits furieux de cette populace, Et vous devez bientôt, sans remords ni terreur Livrer le criminel à leur juste fureur.
ESPASIEN.	ÉPASIEN.
Tu vois qu’à te punir le peuple me convie Et que mon interêt demande auſſi ta vie.	Tu vois qu'à te punir le peuple me convie Et que mon intérêt demande aussi ta vie.
Mais ſi dans cet inſtant je te privois du jour On pourroit imputer ta perte à mou amour, On diroit que j’aurois avancé ta ruine Pour m’immoler l’Epoux de l’aimable Eponine, Pour m’en rendre le maître, & dans ce jour fatal Joüir de la douceur d’accabler un rival.	Mais si dans cet instant je te privais du jour On pourrait imputer ta perte à mou amour, On dirait que j'aurais avancé ta ruine Pour m'immoler l'Époux de l'aimable Éponine, Pour m'en rendre le maître, et dans ce jour fat Jouir de la douceur d'accabler un rival.
Si donc à tes forfaits ton ſang doit ſatisfaire, Je veux que ſur ce point le Senardelibere, Qu’il te condamne ſeul, & delivre mon cœur Du reproche honteux d’avoir trop de rigueur.	Si donc à tes forfaits ton sang doit satisfaire, Je veux que sur ce point le Sénardelibère, Qu'il te condamne seul, et délivre mon cœur Du reproche honteux d'avoir trop de rigueur.
Mais aprés ſon arrêt, quoy qu’il puiſle reſoudre, Qu’il t’envoye au ſuplice, ou qu’il daigne t’abſoudre, Je feray ſans ſcrupule executer ſes Loix, M’en couta-t’il la vie & le Sceptre à la fois.	Mais après son arrêt, quoi qu'il puis résoudre, Qu'il t'envoie au suplice, ou qu'il daigne t'absoudre, Je ferai sans scrupule exécuter ses Lois, M'en coûta-t-il la vie et le Sceptre à la fois.
Je vais donc l’aſſembler afin qu’il en prononce.	Je vais donc l'assembler afin qu'il en prononce.
Et dans quelques momens tu ſçauras ſa féponſe.	Et dans quelques moments tu sauras sa féponse.
A Eponine.	A Éponine.
Vous, ceperidalit rentier;	Vous, cepéridalit rentier;
de fetenant vos pleurs.	de fétenant vos pleurs.
Faites tréve, Madame, à ces vives douleurs.	Faites trêve, Madame, à ces vives douleurs.
EPONINE en ſortant.	ÉPONINE en sortant.
Je Vais prier les Dieux d’apaiſer leurcolere, Et fléchir, ſi je puis, un deſtin trop ſevere.	Je Vais prier les Dieux d'apaiser leurcolère, Et fléchir, si je puis, un destin trop sévère.
ABINUS.	ÀBINUS.
O miracle d’amour!	Ô miracle d'amour!
ô trop conſtante foy!	ô trop constante foi!
VESPASIEN à Mucien.	VESPASIEN à Mucien.
Afſemblez le Senat, vous autres ſuivez-moy.	Asssemblez le Sénat, vous autres suivez-moi.
ACTE V.	ACTE V.
SCENE PREMTERE.	SCÈNE PREMTERE.
SABINUS, GARDES.	SABINUS, GARDES.
SABINUS.	SABINUS.
Il eſt dans mon trépas quelque ombre de juſtice O Pourquoy par ces longueurs differer mon ſuplice?	Il est dans mon trépas quelque ombre de justice Ô Pourquoi par ces longueurs différer mon suplice?
Puis qu’ici l’on me traite en criminel d’Etat Ne peut-on me punir ſans l’avis du Senat?	Puis qu'ici l'on me traite en criminel d'État Ne peut-on me punir sans l'avis du Sénat?
Mais quel Senat, grands Dieux!	Mais quel Sénat, grands Dieux!
un tas d’hommes perfides Accoûtumez aux crime, enclins aux paricides, Que l’interét gouverne, & qui ſont toujours préts A ſe deshonnorer par d’injuſles arréts?	un tas d'hommes perfides Accoûtumez aux crime, enclins aux parficides, Que l'intérêt gouverne, et qui sont toujours prêts A se déshonorer par d'injusles arrêts?
O Ciel, precipitez la mort qu’on me deſtine, Mais delivrez mes yeux des douleurs d’Eponine, Mon Cœur ne pourroit pas peut-être y reſiſter, Pour mourir avec gloire il la faut éviter, Je dois en expirant temoigner ma conſtance, Et ſes larmes, helas!	Ô Ciel, précipitez la mort qu'on me destine, Mais délivrez mes yeux des douleurs d'Éponine, Mon Cœur ne pourrait pas peut-être y résister, Pour mourir avec gloire il la faut éviter, Je dois en expirant témoigner ma constance, Et ses larmes, hélas!
n’ont que trop de puiſſance.	n'ont que trop de puissance.
Que ſçai-je?	Que sais-je?
à ſes apas uni trop fortement Je pourrois à les voir m’oublier un moment, L’exces de mon amour pourroit ternir ma’gloire, Et je dois en fuyant m’aſſurer la victoire.	à ses apas uni trop fortement Je pourrais à les voir m'oublier un moment, L'excès de mon amour pourrait ternir magloire, Et je dois en fuyant m'assurer la victoire.
Mourons donc, il eſt tems.	Mourons donc, il est temps.
Ah!	Ah!
pourquoi differer.	pourquoi différer.
ULVIUS.	ULVIUS.
Ui, Seigneur, à la mort il faut vous preparer, OLe Sénat l’a conclüe, & je viens vous le dire.	Oui, Seigneur, à la mort il faut vous préparer, OLe Sénat l'a conclue, et je viens vous le dire.
SABINUS.	SABINUS.
Puis donc que ſa rigueur ordonne que j’expire, On peut dés à preſent executer l’arrét :	Puis donc que sa rigueur ordonne que j'expire, On peut dès à présent exécuter l'arrêt :
Mon cœur eſt diſpoſé ſi le ſuplice eſt prét:	Mon cœur est disposé si le suplice est prêt:
Je ne demande au Ciel que la fin de ma vie, Et je ſuis trop content qu’elle me ſoit ravie.	Je ne demande au Ciel que la fin de ma vie, Et je suis trop content qu'elle me soit ravie.
Mais je plains, en mourant deux Enfans malheureux.	Mais je plains. en mourant deux Enfants malheureux.
Qui meritoient peut-être un lort moins rigoureux, Objets infortunez de ma juſte tendreſſe.	Qui méritaient peut-être un lort moins rigoureux, Objets infortunés de ma juste tendresse.
Je t’abandonne, ô Ciel le ſoin de leur jeuneſſe.	Je t'abandonne, ô Ciel le soin de leur jeunesse.
F ULVIUS.	 FULVIUS.
Je ne puis m’empêcher de condamner le ſort Qui vous livre aux horreurs d’une cruelle mort.	Je ne puis m'empêcher de condamner le sort Qui vous livre aux horreurs d'une cruelle mort.
Mais malgré la pitié que je ſens dans mon ame Je ſuis contraint, Seigneur, d’obeir.	Mais malgré la pitié que je sens dans mon âme Je suis contraint, Seigneur, d'obéir.
CENE III.	CÈNE III.
EPONINE, SABINUS, FLUVIUS, GARDES.	EPONINE, SABINUS, FLUIUS, GARDES.
ABINUS.	ÀBINUS.
AH!	AH!
Madame, Quel deſtin ennemi vous conduit en ces lieux?	Madame, Quel destin ennemi vous conduit en ces lieux?
Venez-vous m’accabler par de triſtes adieux?	Venez-vous m'accabler par de tristes adieux?
Helas!	Hélas!
armant mon cœur d’une noble aſſurance, Je courois au trépas avec iudiference, Et je n’aprehendois en ces derniers malheurs, Que les mortels effets de vos juſtes douleurs.	armant mon cœur d'une noble assurance, Je courais au trépas avec judiférence, Et je n'appréhendais en ces derniers malheurs, Que les mortels effets de vos justes douleurs.
Mais, Ciel!	Mais, Ciel!
vôtre preſence augmente mes allarmes, Je me ſens attendrir à l’aſpect de vos larmes, Je ne puis ſoutenir vos cruels deplaiſirs, Et ſuis prét de mêler mes pleurs à vos ſoupirs.	votre présence augmente mes alarmes, Je me sens attendrir à l'aspect de vos larmes, Je ne puis soutenir vos cruels déplaisirs, Et suis prêt de mêler mes pleurs à vos soupirs.
Ah!	Ah!
ſi pour vôtre Epoux quelque pitié vous reſte, De grace épargnez-le en ce moment funeſte.	si pour votre Époux quelque pitié vous reste, De grâce épargnez-le en ce moment funeste.
Ne vous obſtinez point à vouloir partager De mon malheureux ſort la gloire & le danger.	Ne vous obstinez point à vouloir partager De mon malheureux sort la gloire et le danger.
EPONINE.	EPONINE.
Seigneur, ne craignez rien, puis qu’un Senat Barbare Pour complaire au Tiran contre nous ſe declare, Loin de vous accabler d’inutiles douleurs, Loin de pouſſer des cris, loin de verſer des pleurs, Je viens, Seigueur, je viens en ce peril extréme, Juſques à ſon trépas ſuivre un Epoux que j’aime, Et confondant enſemble & ſon ſort & le mien Méler aux yeux de tous mon Sang avec le ſien.	Seigneur, ne craignez rien, puis qu'un Sénat Barbare Pour complaire au Tyran contre nous se déclare, Loin de vous accabler d'inutiles douleurs, Loin de pousser des cris, loin de verser des pleurs, Je viens, Sigueur, je viens en ce péril extrême, Jusques à son trépas suivre un Époux que j'aime, Et confondant ensemble et son sort et le mien Mêler aux yeux de tous mon Sang avec le sien.
En vain vous reſiſtez à cette noble envie, En perdant baomus je renonce à la vie, Je n’aimois que lui ſeul & je veux aujourd’hui Ne pouvant le ſauver expirer avec lui	En vain vous résistez à cette noble envie, En perdant baomus je renonce à la vie, Je n'aimais que lui seul et je veux aujourd'hui Ne pouvant le sauver expirer avec lui
SABINUS.	SABINUS.
Ah!	Ah!
mon ame s’émeut, mon courage chanchelle.	mon âme s'émut, mon courage chanchelle.
Cettte ſoif de mourir vous rendroit criminelle, Vous vous devez, Madame, aux deux Princes nos fils, En vous ſeule aujourd’hui toute leur eſpoir eſt mis:	Certte soif de mourir vous rendrait criminelle, Vous vous devez, Madame, aux deux Princes nos fils, En vous seule aujourd'hui toute leur espoir est mis:
Puis que la mort ravit leur infortuné Pere N’allez pas les priver du ſecours de leur Mere, Vivez pour les ſouſtrane à ce prenane danger, Ils pourront quelque jour peut-être nous vanger, Et punir en s’armant d’un courroux legitime, Sur ſa poſterité le Tiran qui m’oprime.	Puis que la mort ravit leur infortuné Père N'allez pas les priver du secours de leur Mère, Vivez pour les soustrane à ce prenane danger, Ils pourront quelque jour peut-être nous venger, Et punir en s'armant d'un courroux légitime, Sur sa postérité le Tyran qui m'oprime.
Mais le voici qui vient.	Mais le voici qui vient.
SCENE IV.	SCÈNE IV.
VESPASIEN, EPONINE, DOMITIE, SABINUS, MUCIEN, FULVIUS, GARDES.	VESPASIEN, EPONINE, DOMITIE, SABINUS, MUCIEN, FULVIUIUS, GARDES.
ABINUS.	ÀBINUS.
ET bien donc le Sénat Ordonne que je meure en victime d’Etat?	ET bien donc le Sénat Ordonne que je meure en victime d'État?
Et ſans examiner qui de nous eſt coupable Il ſeconde aujourd’hui ton courroux implacable?	Et sans examiner qui de nous est coupable Il seconde aujourd'hui ton courroux implacable?
