TLEDAME DEXXEEXES*	TLÉDAME DEXXEXES*
Quoy, fais-je vne action trop libre & trop hardie Si ie me plais parfois à voir la Comedie?	Quoi, fais-je ici action trop libre et trop hardie Si tu me plais parfois à voir la Comédie?
Qu'on a miſe à tel point, pour en pouuoir ioüir, Que la plus chaſte oreille auiourd’huy peut l’oüir?	Qu'on a mise à tel point, pour en pouvoir jouir, Que la plus chaste oreille aujourd'hui peut l'être?
Et ſi l’on ne veut pas pourtant me le permettre.	Et si l'on ne veut pas pourtant me le permettre.
ISABELLE.	ISABELLE.
Mais à leurs volonteZ il faut bien vous ſouſmettre, Et pour vous dire vray, vos freres ont raiſon De vous tenir ainſi recluſe à la maiſon.	Mais à leurs volonté il faut bien vous soumettre, Et pour vous dire vrai, vos frères ont raison De vous tenir ainsi recluse à la maison.
Conſiderez vn peu l’eſtat auquel vous eſtes, Toutes vos actions aux faux bruits ſont ſujettes, Et c’eſt auec raiſon que n’ayant plus d’eſpoux Ils ne deſirent point qu’on murmure de vous, Les grands feſtins, le Cours, le Bal, la Comedie Sont lieux ſuſpects pour vous, ſouffreZ que ie le die, Et vos freres eſtans jaloux de leur honneur, S’ils vous le permettoient il iroit trop du leur.	Considérez un peu l'état auquel vous êtes, Toutes vos actions aux faux bruits sont sujettes, Et c'est avec raison que n'ayant plus d'époux Ils ne désirent point qu'on murmure de vous, Les grands festins, le Cours, le Bal, la Comédie Sont lieux sus pour vous, souffrez que sans le die, Et vos frères étant jaloux de leur honneur, S'ils vous le permettaient il irait trop du leur.
ii Les jeunes vefues ſont d’aiſe auiourd’huy comblées, De ſavoir tous les iours aux grandes aſſemblées, Et rendent leur grand düeil en ce point criminel, Qui ne deuroit marquer qu’vn regret eternel, Car on le fait ſeruir pour orner d’auantage Par mille ajuſtemens leur mine & leur viſage, Elles eſcoutent tout, & parmy leurs chalans Content ceux qu’elles ont acquis pour leurs galans, Croyans que c’eſt l’honneur & la gloire des belles De voir pluſieurs captifs bruſler d’amour pour elles.	ji Les jeunes vues sont d'aise urs captifs, De savoir tous les jours aux grandes assemblées, Et rendent leur grand dueil en ce point criminel, Qui ne devrait marquer qu'un regret éternel, Car on le fait servir pour orner d'avantage Par mille ajustements leur mine et leur visage, Elles écoutent tout, et parmi leurs chalants Content ceux qu'elles ont acquis pour leurs galants, Croyants que c'est D'honneur et la gloire des belles D' a plusieurs captifs brûler d'amour pour elles.
Quoy que vous n’ayez pas ces ſottes viſions, Il en faut toutefois fuir les occaſions;	Quoi que vous n'ayez pas ces sottes visions, Il en faut toutefois fuir les occasions;
Vous n’auez pas ſans doute vn courage ſi laſche, Mais laiſſons ce diſcours qui peut-eſtre vous faſche, poms ne me puidis pomue ce feme eſtranger, Qui de ſi bonne grace a ſceu vous obliger	Vous n'avez pas sans doute un courage si lâche, Mais laissons ce discours qui peut-être vous fâche, poms ne me puidis pomue ce feme étranger, Qui de si bonne grâce a su vous obliger
ANGELIQVE, Iſabelle, ie crois que tu lis dans mon ame.	ANGELIQUE, Isabelle, je crois que tu lis dans mon âme.
ISABELLE.	ISABELLE.
Auriez-vous bien pour luy quelque fecrette flame?	Auriez-vous bien pour lui quelque secte flamme?
ANGELIQVE.	ANGELIQUE.
Ie ne dis pas encor que ie l’ayme, mais croy Qu'il peut auecle temps gaigner heaucoup ſur moy Il eſt vray qu’il me plaiſt, mais i’ay peur Iſabelle, Qu’il n’ait pour mon ſujet à l’heure pris querelle, Ie cognois bien mon frere, il eſt prompt, & ie crains Qu’ils n’en ſoient ſurle champ tous deux venus aux mains.	Je ne dis pas encor que ie l'aime, mais crois Qu'il peut auecle temps gagner heaucoup sur moi Il est vrai qu'il me plaît, mais j'ai peur Isabelle, Qu'il n'ait pour mon sujet à l'heure pris querelle, Je connais bien mon frère, il est prompt, et deux crains Qu'ils n'en soient surle champ tous deux venus aux mains.
Ariuio me cojum pour tors uvtatreme reduite, Ainſi que moy toute autre euſt manqué de conduite:	Ario me cojum pour tors uvtatreme réduite, Ainsi que moi toute autre eût manqué de conduite:
Mais par ta foy, crois-tu qu’il ait ſceu l’arreſter?	Mais par ta foi, crois-tu qu'il ait su l'arrêter?
ISABELLE.	ISABELLE.
Vous mocquez-vous Madame?	Vous moquez-vous Madame?
en pouuez-vous douter?	en pouvez-vous douter?
pomreprurouepuu ne cons u pas ſuiuie,	pomreprurouepuu ne cons pas suiuie,
ANGELIQVE.	ANGELIQUE.
Ie ne veux pona teier que ie bruſte d enuie De ſçauoir quel il eſt, & de le voir außy.	Je ne veux pona teier que sans bruste d envie Dame sçauoir quel il est, et de le voir aussi.
ISABELLE.	ISABELLE.
Madame taiſez-vous, voſtre frere entre icy.	Madame taisez-vous, votre frère entre ici.
ANGELIQVE.	ANGELIQUE.
Ah Dieux!	Ah Dieux!
que i’apprehende, il ſemble eſtre enct.	que j'appréhende, il semble être enct.
lere.	lere.
LICIDAS, ANGELIQVE, ISABELLE.	LICIDAS, ANGELIQUE, ISABELLE.
LICIDAS.	LICIDAS.
Ve faites-vous ma ſœur?	Ve faites-vous ma sœur?
ANGEEIQVE.	ANGEIQUE.
Mais vous-meſme mon frere?	Mais vous-même mon frère?
i ous jemoie Simerun, eougrin & tout deffait, Eſtes-vous en colere?	y jous jemoie Simerun, évougrin et tout défait, Êtes-vous en colère?
AIAID AJ.	ÀIAID AJ.
Oüy i’y ſuis en effet.	Oui j'y suis en effet.
ISABELLE bas.	ISABELLE bas.
Ah Madame, il le ſcait.	Ah Madame, il le sait.
ANGELIQVE bas.	ANGELIQUE bas.
Grands Dieux!	Grands Dieux!
ie ſuis perduë, Qu'auez-vous donc?	Il suis perdue, Qu'avez-vous donc?
LICI	LICI
LICIDAS.	LICIDAS.
Ie viens de me battre en la ruë.	Je viens de me battre en la rue.
ANGELIQVE.	ANGELIQUE.
Vous battre, contre qui?	Vous battre, contre qui?
LICIDAS.	LICIDAS.
Contre vn jeune eſtranger, Et qui pis eſt encor, qui vient icy loger.	Contre un jeune étranger, Et qui pis est encor, qui vient ici loger.
ANGELIQVE.	ANGELIQUE.
Qui vient icy loger?	Qui vient ici loger?
Migipne.	Migipne.
Mon frere nous l’emmeine, C’est Florestan, de qui Lizandre eſtoit en peine, Dont nous auons parlé pluſieurs fois entre nous.	Mon frère nous l'emmezène, C'est Florêtan, de qui Lizandre était en peine, Dont nous avons parlé plusieurs fois entre nous.
ANGELIQVE bas.	ANGELIQUE bas.
Mes eſprits ſont remis.	Mes esprits sont remis.
Dieux!	Dieux!
que me ditesvons Mais quel ſujet a fait naiſtre voſtre querelle?	que me ditesvons Mais quel sujet a fait naître votre querelle?
LICIDAS.	LICIDAS.
Nous nous ſommes battus pour vne Damoiſelle?	Nous nous sommes battus pour une Damoiselle?
ANGELIQVE.	ANGELIQUE.
Pour vne Damoiſelle?	Pour une Damoiselle?
LICIDAS.	LICIDAS.
Ony ma ſœi	Oni ma sœi
ARGRLIQVE.	ARGRLIQUE.
Mais comment:	Mais comment:
LICIDAS:	LICIDAS:
Ie vous veux tout conter dés le commencement, Pour entendre le fait il faut que ie vous die, Que i’ay voulu tantoſt oüir la Comedie, Pour voir vn beau ſujet dont on a tant parlé, Dont l’excellent intrigue eſt tres-bien deſmeſlé,	Je vous veux tout conter dès le commencement, Pour entendre le fait il faut que je vous die, Que ay voulu tantôt ouïrir la Comédie, Pour voir un beau sujet dont on a tant parlé, Dont l'excellent intrigue est très-bien démêlé,
Les fourbes d'ARBIRAN, c’eſt ainſi qu’on l'apelle, Cette piece en effet n’eſt pas beaucoup nouuelle, Les vers n’en ſont pas forts, ie ne ſuis point flateur, Quoyqueie ſois pourtant grand ãmy de l’Autheur, Mais dans l’œconomie, il faut que ie confeſſe, Qu’il conduit un ſujet anecque tant d’adreſſe, Le remplit d’incidents, ſi beaux & ſi diuers, Qu'on excuſe aiſément la foibleſſe des vers, I'entre dedans l’Hoſtel auesque mille peines Car iamais on n'a veu les loges auſsi pleines,	Les fourbes d'ARBIRAN, c'est ainsi qu'on l'appelle, Cette pièce en effet n'est pas beaucoup nouvelle, Les vers n'en sont pas forts, je ne suis point flatteur, Quoique sois pourtant grand angmi de l'Auteur, Mais dans l'œconomie, il faut que ie confesse, Qu'il conduit un sujet anecque tant d'adresse, Le remplit d'incidents, si beaux et si divers, Qu'on excuse aisément la faiblesse des vers, J'entre dedans l'Hôtel auesque mille peines Car jamais on n'a vines aussi pleines aussi pleines,
Et mille ont pour entrer fait leur effort en vain, Qu’il a fallu remettre à Dimanche prochain.	Et mille ont pour entrer fait leur effort en vain, Qu'il a fallu remettre à Dimanche prochain.
Comme j’eſtois actif à trouuer vne place I’ay veu chacun tourne pour contempler la grace D’vne ieune merueille, a ce que l’on m’a dit, Car pour moy ie n’ay veu d’elle rien que l’habit, Car comme i’ay voulu jetter les yeux ſur elle Pour la voir à mon ayſe, außi-toſt-la cruelle A rabaiſſé ſa coiffe, & comme par meſpris Donne cette algarade aux cœurs qu’elle auoit pris.	Comme j'étais actif à trouver une place J'ai vu chacun tourne pour contempler la grâce D'une jeune merveille, a ce que l'on m'a dit, Car pour moi tu n'ai vu d'elle rien que l'habit, Car comme j'ai voulu jeter les yeux sur elle Pour la voir à mon aise, mi-la cruelle A rabaissé sa coiffe, et comme par mépris Donne cette algarade aux cœurs qu'elle avait pris.
Moy bruſlant de deſir de voir ce beau viſage, A qui cent languiſſants deſia faiſoient hommage, I’accuſe ſeulement la rigueur de mon ſort D’eſtre arriué trop tard.	Moi brûlant de désir de voir ce beau visage, À qui cent languissants déjà faisaient hommage, J'accuse seulement la rigueur de mon sort D'être arrivé trop tard.
Mais la voyant d’aceord Auec pluſieurs galands, & de ris & de geſte, Par ces muets diſcours i’ay bien compris le reſte, Car deſlors i’ay cognu que pour moy ſeulement Elle vouloit cacher ce viſage charmant.	Mais la voyant d'aceord Avec plusieurs galant, et de ris et de geste, Par ces muets discours j'ai bien compris le reste, Car délors j'ai connu que pour moi seulement Elle voulait cacher ce visage charmant.
Lors i’ay creu, comme vn autre euſt creu la meſme choſe, Qu'elle me cognoiſſoit & que c’eſtoit la cauſe Qui pouuoit l’obliger à ſe cacher ainſi, Ce qui m’a fait reſoudre à m’en voir eſclaircy, Ie ſors tout le premier pour l’attendre à la porte Elle s’en aperçoit, & me preuient de ſorte, Qu'encor que ie m’efforce à prendre le deuant Elle deſcend außi plus viſte que le vent, Ie la voy deuant moy, ie taſche, ie m’efforce De la ſuiure à grands pas, & l’atteindre par force, Car la peur qu’elle auoit d’entrer enmon pouuoir, M’augmentoit cent fois plus le deſir de la voir:	Lors j'ai cru, comme un autre eût cru la même chose, Qu'elle me connaissait et que c'était la cause Qui pouvait l’obliger à se cacher ainsi, Ce qui m'a fait résoudre à m'en voir éclairci, Je sors tout le premier pour l'attendre à la porte Elle s'en aperçoit, et me prévient de sorte, Qu'encormé que ie j'encore à prendre le devant Elle descend aussi plus vite que le vent, Je la voy deuant moi, je tâche, je la efforce Je la suivre à grands pas, et l'attendre par force, Car la -moi qu'elle avait d'entrer qu' pouuoir, Maugmentoit la fois plus la désir de la voir:
Sur ce point vn maraut vient pour me diſtraire, Me preſente vn eſcrit qui me met en colere, I'ay veu qu’il le faiſoit expres pour m’arreſter, Et que ie n’auois point ſujet d’en douter, Car comme elle auoit peur de ſe faire cognoistre, Ie l’auois veuë auant parler auec ſon maiſtre, Ce qui me l’a fait lors traitter ſi rudement, Que ſon maistre en ayant eu quelque reſſentiment, M'a parlé de façon en prenant ſa defenſe, Qele nuy pinuu nuui fonſpeu jomarrogance, I'ay mis l'eſpée au poing, l’autre s’eſt defendu, Mon frere ſur le lieu ſoudain s’eſtant rendu, A cognu ſon Amy.	Sur ce point un maraud vient pour me distraire, Me présente un écrit qui me met en colère, J'ai vu qu'il le faisait exprès pour m'arrêter, Et que je n'avais point sujet d'en douter, Car comme elle avait peur de se faire connaître, Je l'avais vue avant parler avec son maître, Ce qui me l'a fait lors traiter si rudement, Que son maître en ayant eu quelque ressentiment, M'a parlé de façon en prenant sa défense, Sous le pinuu nuui fonspeu jomarrogance, J'ai mis l'espeau poing, lautre 'es pendu, Mon j' est dé lieu Mon j'est défendu, A cognu son Amy.
Quoy qu’il ait du courage, Ie l’ay bleſſé.	Quoi qu'il ait du courage, Je l'ai blessé.
ANGELIQVE.	ANGELIQUE.
Bleßé, bons Dieux!	Blesié, bons Dieux!
ie n’en puis plus, Souſtenez-mõy, ie meurs.	Le n'en puis plus, Soutenez-moi, Elle meurs.
LICIDAS.	LICIDAS.
la ſouſtenant.	la soutenant.
I'ay les ſens tous confus:	J'ai les sens tous confus:
Mais d’où vient que ſon mal iuſqu'à ce point vous touche?	Mais d'où vient que son mal jusqu'à ce point vous touche?
ANGELIQVE bas.	ANGELIQUE bas.
Ab grands Dieux l' ma douleur m’a trahy par ma bouche.	Ab grands Dieux l' ma douleur m'a trahi par ma bouche.
Quoy, iuſques à ce point dois-je pas m’attriſter, Si le coup eſt mortel, qu’il vous paille abſenter?	Quoi, jusqu' à ce point dois-je pas m'attrister, Si le coup est mortel, qu'il vous paille absenter?
areu las Non, non, ne craigneZ rien, ſa bleſſure eſt legere, Ce n'eſt que dans la main.	areu las Non, non, ne craignez rien, sa blessure est légère, Ce n'est que dans la main.
ANGELIQVE.	ANGELIQUE.
I'apprehendois mon frere.	J'appréhendais mon frère.
Ie reſpire à ce coup, & mes ſens ſont remis.	Je respire à ce coup, et mes sens sont remis.
LICIDAS.	LICIDAS.
Nons ſommes toutefois demeurez bons amis.	Nons sommes toutefois demeurez bons amis.
ANGELIQVE.	ANGELIQUE.
Ie m’en reſiouis fort, que ie hay cette infame, Cauſe de tout le mal, ah!	Je m'en réjouis fort, que ainsi hais cette infâme, Causse de tout le mal, ah!
la meſchante femme, Qui vous a penſé mettre en vn ſi grand danger, Elle ne vous fuyoit que pour vous obliger, Sans qu’elle voüs cognuſt, de courir apres elle Et ie gagerois bien qu'elle n'eſt point ſi beſſe.	la méchante femme, Qui vous a pensé mettre en un si grand danger, Elle ne vous fuyait que pour vous obliger, Sans qu'elle voüs connaît, de courir après elle Et ie gagerais bien qu'elle n'est point si besse.
i Croyez ſi c’euſt eſté quelque rare beauté, Qu’elle vous euſt ſurpris par vn œil affeté, Elle vous l’euſt fait voir;	y Croyez si c'eût été quelque rare beauté, Qu'elle vous eût surpris par un œil affété, Elle vous l'eût fait voir;
Dieux!	Dieux!
que c’est choſe aiſée, De deceuoir vos ſens pour peu qu’on ſoit ruſée, Vous vous laiſſez gagner par vn geſte en effet, Et par le faux raport que l’on vous en a fait.	que c'est chose aisée, De décevoir vos sens pour peu qu'on soit rusée, Vous vous laissez gagner par un geste en effet, Et par le faux rapport que l'on vous en a fait.
Ne vous laiſſez iamais tromper à l’apparence, Le vice prend ſouuent le maſque d’inhocence, Et par de faux attraits telle femme vous plaiſt Qui bien ſouuent n'eſt rien de ce qu’elle paroiſt.	Ne vous laissez jamais tromper à l'apparence, Le vice prend souvent le masque d'inhocence, Et par de faux attraits telle femme vous plaît Qui bien souvent n'est rien de ce qu'elle paraît.
Mon frere quittez là ces ieunes affetées, Qui n’ont point d’autre but que d’eſtre muguetées.	Mon frère quittez là ces jeunes affétées, Qui n'ont point d'autre but que d'être muguetées.
Et qui ne penſent point qu’on les puiſſe obliger Sans mettre vn honneſte homme en euident danger, Penſans bien mieux valoir, lors que pour l’amour d’elles Des hommes de merite embraſſent cent querelles.	Et qui ne pensent point qu'on les puisse obliger Sans mettre un honnête homme en évident danger, Pensants bien mieux valoir, lors que pour l'amour d'elles Des hommes de mérite embrassent cent querelles.
