LA A REINE REGENTE.	LA A REINE RÉGENTE.
Il le faut, Fuyez un ennemy qui ſçait voſtre defaut, ui le trouve anemen,qui miene par lu teue, Et dont le coup mortel vous plaiſt quãd il vous tuë.	Il le faut, Fuyez un ennemi qui sait votre défaut, le trouve anemen,qui miene par lu teue, Et dont le coup mortel vous plaît quãd il vous tuë.
SCENE II.	SCÈNE II.
POLYEUCTE, NEARQUE, PAVLINE, STRATONICE.	POLYEUCTE, NEARQUE, PAULINE, STRATONICE.
Dans vne heure au plus tard je reuiens en ce fleu 2	Dans une heure au plus tard je reviens en ce fleu 2
PAVLINE.	PAULINE.
Quel ſujet ſi preſſant à ſortir vous conuie;	Quel sujet si pressant à sortir vous convie;
Y va-t’il de l’honneur?	Y va-t-il de l'honneur?
y va-t’il de la vie?	y va-t-il de la vie?
POLYEVCTE.	POLYEUCTE.
Il y va de bien plus.	Il y va de bien plus.
THOETNLe Quel eſt donc ce ſecret ?	THOETNLe Quel est donc ce secret ?
POLYEVCTE.	POLYEUCTE.
Vous le ſçaurez vn jour?	Vous le saurez un jour?
je vous, quitte à regret.	je vous, quitte à regret.
Mais enfin il le faut.	Mais enfin il le faut.
PAVLINE.	PAULINE.
Vous m’aymez.	Vous m'aimez.
POLYEVCTE.	POLYEUCTE.
Ie vous ayme.	Je vous aime.
Le Ciel m’en ſoit témoin, cent fois plus que moymeſme:	Le Ciel m'en soit témoin, cent fois plus que moymesme:
Mais.	Mais.
PAVLINE.	PAULINE.
Mais ion deplamt ne vous peut émouuoir.	Mais ion déplamt ne vous peut émouuoir.
Vous avez des ſecrets que je ne puis ſçavoir:	Vous avez des secrets que je ne puis savoir:
Quelle preuue d’amour?	Quelle preuve d'amour?
au nom de l’Iſymenée Donn ez à mes ſoûpirs cette ſeule journée.	au nom de l'Isymenée Donn ez à mes soupirs cette seule journée.
POLYEVCTE.	POLYEUCTE.
Vn ſonge vous fait peur?	Un songe vous fait peur?
PAVLINE.	PAULINE.
Ses preſages ſont vains.	Ses presages sont vains.
Ie le ſçay, mais enfin je vous ayme & je crains.	Je le sais, mais enfin je vous aime et je crains.
POLYEVCTE.	POLYEUCTE.
Ne craignez rien de mal pour vne heure d’abſence Adieu, vos pleurs ſur moy prennent trop de puiſſance;	Ne craignez rien de mal pour une heure d'absence Adieu, vos pleurs sur moi prennent trop de puissance;
Ie ſens deſia mon cœur praſt à ſe reuolter, Et ce n’eſt qu’en fuyant que j’y puis reſiſter.	Je sens déjà mon cœur prât à se révolter, Et ce n'est qu'en fuyant que j'y puis résister.
SCENE III.	SCÈNE III.
FAULINE, SIRATONICE	FAULINE, SIRATONICE
PAVLINEA 7 A, neglige mes pleurs, cours & te precipite V Au devant de la Mort que les Dieux m’ont prédite, Sur cét agent fatal de tes mauvais deſtins, Qui peut-eſtre te livre aux mains des aſſaſſins.	PAULINEA 7 A, néglige mes pleurs, cours et te précipite V Au devant de la Mort que les Dieux m'ont prédite, Sur cet agent fatal de tes mauvais destins, Qui peut-être te livre aux mains des assassins.
Voila, ma Stratonice, en ce ſiecle où nous ſommes Noſtre empire abſolu ſur les eſprits des hommes, Voila ce qui nous reſte, & l’ordinaire effet De l’amour qu’on nous offre & des vœux qu’on nous fait ?	Voilà, ma Stratonice, en ce siècle où nous sommes Notre empire absolu sur les esprits des hommes, Voilà ce qui nous reste, et l'ordinaire effet De l'amour qu'on nous offre et des vœux qu'on nous fait ?
Tant qu’ils ne ſont qu’Amans nous ſommes ſouveraines.	Tant qu'ils ne sont qu'Amant nous sommes souveraines.
Et juſqu’à la conqueſte ils nous traittent en reines:	Et jusqu'à la conquête ils nous traitent en reines:
Mais apres l’Hymenée ils ſont Rois à leur tour,	Mais après l'Hyménée ils sont Rois à leur tour,
STRATONICE.	STRATONICE.
Polyeucte pour vous ne manque point d’amour, S’il ne vous traite icy d’entiere confidence?	Polieute pour vous ne manque point d'amour, S'il ne vous traite ici d'entière confidence?
S’il part malgré vos pleurs, c’eſt un trait de prudenSans vous en affliger preſumez avec moy (ce, Qu’il eſt plus à propos qu’il vous cele pourquoy, Aſſeurez vous ſur luy qu’il en a juſte cauſe:	S'il part malgré vos pleurs, c'est un trait de prudenSants vous en affliger présumez avec moi (ce, Qu'il est plus à propos qu'il vous cèle pourquoi, Assurez vous sur lui qu'il en a juste cause:
Il eſt bon qu’un mary nous cache quelque choſe.	Il est bon qu'un mari nous cache quelque chose.
Qu’il ſoit quelquefois libre, & ne s’abaiſſe pas A nous rendre toûjours compte de-tous ſes pas?	Qu'il soit quelquefois libre, et ne s'abaisse pas À nous rendre toujours compte de-tous ses pas?
On n’a tous d’eux qu’un cœur qui ſent meſmes traverſes, Mais ce cœur à pourtant ſes fonctions diverſes, Et la loy de l’hymen qui vous tient aſſemblez N’ordonne pas qu’il tremble alors que vous tremblez.	On n'a tous d'eux qu'un cœur qui sent mêmes traverses, Mais ce cœur à tant ses fonctions diverses, Et la loi de l'hymen qui vous tient assemblez N'ordonne pas qu'il tremble alors que vous tremblez.
Ce qui fait vos frayeurs ne peut le mettre en peine, Il eſt Armenien, & vous eſtes Romaine, Et vous pouuez ſçavoir que nos deux Nations N’ont pas ſur ce ſuiet meſmes impreſſiòns.	Ce qui fait vos frayeurs ne peut le mettre en peine, Il est Armenien, et vous êtes Romaine, Et vous pouvez avoir que nos deux Nations N'ont pas sur ce sujet mêmes impressins.
Vn ſonge en noſtre eſprit paſſe pour ridicule, Il ne nous laiſſe eſpoir, ny crainte, ny, ſcrupule?	Un songe en notre esprit passe pour ridicule, Il ne nous laisse espoir, ni crainte, ni, scrupule?
Mais il paſſe dans Rome avec authorité Pour fidelle miroir de la fatalité.	Mais il passe dans Rome avec autorité Pour fidèle miroir de la fatalité.
PAULINE.	PAULINE.
Le mien eſt bien eſtrange, &quoy qu’Armenienne, Ie troy que ta najeur egurerore la mſenne, Si de telles horreurs t’avoient frappé l’eſprit, ge je t en avois raſt ſeulement le lecit.	Le mien est bien étrange, etquoi qu'Arménienne, Je trois que ta najeur égurerore la menne, Si de telles horreurs t'avaient frappé l'esprit, ge je t en avois rast seulement le cit.
STRATONICE.	STRATONICE.
A raconter ſes maux ſouuent on les ſoulage.	A raconter ses maux souvent on les soulage.
PAVLINE.	PAULINE.
Eſcoute, mais il faut te dire dauantage, Et que pour mieux comprendre vn ſi triſte diſcours Tu ſçaches ma foibleſſe & mes autres amours Vne femme d’honneur peut aduoüer ſans honte Ces ſurpriſes des ſens que la raiſon ſurmonte, Ce n’eſt qu’en ces aſſauts qu’éclate la vertu, Le Poir doute dvneœar qur n’a point combattu, Dans Rome où je naſquis ce malheureux viſage D’vn Chevalier Romain captiva le courage, Il s’appelloit Severe.	Écoute, mais il faut te dire davantage, Et que pour mieux comprendre un si triste discours Tu saches ma faiblesse et mes autres amours Vune femme d'honneur peut avouer sans honte Ces surprises des sens que la raison surmonte, Ce n'est qu'en ces assauts qu'éclate la vertu, Le Poir doute dvneœar qur qu'a point combattu, Dans Rome où je nasquis ce malheureux visage D'un Chevalier Romain captiva le courage, Il s'appelait Sevère.
Excuſe les ſouſpirs, Qu’arrache encor vn nom trop cher à mes deſirs	Excuse les soupirs, Qu'arrache encor un nom trop cher à mes désirs
STRATONICE.	STRATONICE.
Eſt-ce luy qui n’aguere aux deſpens de ſa vie Sauua des ennemis voſtre Empereur Decie, Qui leur tira mourant la victoire des mains, Et fit tourner le ſort des Perſes aux Romains?	Est-ce même qui n'aguère aux dépens de sa vie Sauva des ennemis votre Empereur Décie, Qui leur tira mourant la victoire des mains, Et fit tourner le sort des Perses aux Romains?
Luy qu’entre tant de morts immolez à ſon Maiſtre, On ne peut rencontrer, ou du moins reconnoiſtre, A qui Decie enfin pour des exploits ſi beaux Fit ſi pompeuſement dreſſer des vains tombeaux?	Lui qu'entre tant de morts immolés à son Maître, On ne peut rencontrer, ou du moins reconnaître, À qui Décie enfin pour des exploits si beaux Fit si pompeusement dresser des vains tombeaux?
AVLINE Helas!	AULINE Hélas!
c’eſtoit luy-meſme, & jamais noſtre Rome N’a produit plus grand cœur, ny veu plus honneſte homme;	c'était autre-même, et jamais notre Rome N'a produit plus grand cœur, était vu plus honnête homme;
Puiſque tu le connois, je ne t’en diray rien:	Puisque tu le connais, je ne t'en dirai rien:
Ie l’aimay, Stratonice, il le meritoit bien.	Je l'aimai, Stratonice, il le méritait bien.
Mais que ſert le merite où manque la fortune?	Mais que sert le mérite où manque la fortune?
L’vn eſtoit grand en luy, l’autre foible & comHlune , Trop inuincible obſtacle, & dont trop rarement Triomphę auprés d’vn pere vn vertueux Amant,	L'un était grand en belle, l'autre faible et comHlune , Trop invincible obstacle, et dont trop rarement Triomphę auprès d'un père un vertueux Amant,
STRATONICE.	STRATONICE.
La digne occaſion d’vne rare conſtance!	La digne occasion d'une rare constance!
PAVLINE.	PAULINE.
Dy plûtoſt d’vne indigne & folle reſiſtance?	Dis plutôt d'une indigne et folle résistance?
Quelque fruit qu’vne fille en puiſſe recueillir Ce n’eſt vne vertu que pour qui veut faillir.	Quelque fruit qu'une fille en puisse recueillir Ce n'est une vertu que pour qui veut faillir.
Parmy ce grand amour que j’avois pour Severe, J’attendois vn Eſpoux de la main de mon pere.	Parmi ce grand amour que j'avais pour Sévère, J'attendais un Époux de la main de mon père.
Toujours preſte à le prendre, & jamais ma raiſon N’auoüa de mes yeux l’aymable trahiſon?	Toujours prête à le prendre, et jamais ma raison N'auouma de mes yeux l'aimable trahison?
Il poſſedoit mon cœur, mes deſirs, ma penſée, Ie ne luy cachois point combien j’eſtois bleſſée.	Il possédait mon cœur, mes désirs, ma pensée, Je ne vou lais point combien j'étais blessée.
Nous ſouſpirions enſemble & pleurions nos malheurs, Mais au lieu d’eſperance il n’auoit que des pleurs, Et malgré des ſouſpirs ſi doux, ſi fauorables, Mon pere & mon devoir eſtoient inexorables.	Nous soupirions ensemble et pleurions nos malheurs, Mais au lieu d'espérance il n'avait que des pleurs, Et malgré des soupirs si doux, si favorables, Mon père et mon devoir étaient inexorables.
Enfin je quittay Rome, & ce parfait Amant Pour ſuive jcy mon pere en ſon Gouuernement?	Enfin je quittai Rome, et ce parfait Amant Pour suive ici mon père en son Gouvernement?
Et luy deſeſperé s’en alla dans l’armée Chercher d’vn beau trépas l’illuſtre Renommée.	Et nos désespéré s'en alla dans l'armée Chercher d'un beau trépas l'illustre Renommée.
Le reſte, tu le ſçais, mon abord en ces lieux Me fit voir Polyeucte & je pleus à ſes yeux, Et comme il eſt icy le Chef de la Nobleſſe, Mon pere fut rauy qu’il me priſt pour Maiſtreſſe Et par ſon alliance il ſe crut aſſeuré D’eſtre plus redoutable & plus conſideré Il approuua ſa flamme?	Le reste, tu le sais, mon abord en ces lieux Me fit voir Polieute et je pleus à ses yeux, Et comme il est ici le Chef de la Noblesse, Mon père fut ravi qu'il me prît pour Esse Et par son alliance il se crut assuré D'être plus redoutable et plus considéré Il approuva sa flamme?
& conclud l’Hymené, Et moy comme à ſon lit je me vis deſtinée?	et conclud l'Hymené, Et moi comme à son lit je me vis destinée?
Ie donnay par devoir à ſon affection Rout te que l'autie avore par inclination.	Je donnai par devoir à son affection Rout te que l'autie avore par inclination.
Si tu peux en douter, juge-le par la crainte, Dont encore pour luy tu me vois l’ame atteinte,	Si tu peux en douter, juge-le par la crainte, Dont encore pour lui tu me vois l'âme atteinte,
STRATONICE.	STRATONICE.
Ie croy que vous l’aymez autant qu’on peut aymer Mais quel ſonge apres tout à pû vous alarmer?	Je crois que vous l'aimez autant qu'on peut aimer Mais quel songe après tout à pu vous alarmer?
PAVLINE.	PAULINE.
Ie l’ay veu cette nuit, ce malheureux Severe, La vangeance à la main, l’œilardent de colère, Qu’vne ombre deſolée emporte des tombeaux, Il n’eſtoit point percé de ces coups plein de gloire Qui retranchent ſa vie aſſeurent ſa memoire?	Je l'ai vu cette nuit, ce malheureux Sévère, La vengeance à la main, l'œilardent de colère, Qu'une ombre désolée emporte des tombeaux, Il n'était point percé de ces coups plein de gloire Qui retranchent sa vie assurent sa mémoire?
Il ſembloit triomphant, & tel que ſur ſon Char Victorieux dans Rome entre noſtre Ceſar.	Il semblait triomphant, et tel que sur son Char Victorieux dans Rome entre notre César.
Apres vn peu d’effroy que m’a donné ſa veuë, Porte à qui tu voudras la faveur qui m’eſt deuë, Ingrate, ma-t’il dit, & ce jour expiré Pleure à loiſir l’eſpoux que tu m’as preferé.	Après un peu d'effroi que m'a donné sa vue, Porte à qui tu voudras la faveur qui m'est due, Ingrate, ma-t-il dit, et ce jour expiré Pleure à loisir l'époux que tu m'as préféré.
A ces mots j’ay fremy, mon ame s’eſt troublée, En ſuitte des Chreſtiens vne impie aſſemblée Pour auancer l’effet de ce diſcours fatal A jetté Polyeucte aux pieds de lon RivarSoudain à ſon ſecours j’ay reclamé mon pere, Helas!	À ces mots j'ai frémi, mon âme s'est troublée, En suite des Chrétiens -là impie assemblée Pour avancer l'effet de ce discours fatal À jeté Polyeute aux pieds de lon RivarSoudain à son secours j'ai réclamé mon père, Hélas!
c’eſt de tout point ce qui me deſeſpere?	c'est de tout point ce qui me désespère?
I’ay veu mon pere meſme vn poignard à la main Entrer le bras leué pour lui percer le ſein.	J'ai vu mon père même un poignard à la main Entrer le bras leué pour lui percer le sein.
Las ma douleur trop forte a brouillé ces images Le ſang de Polyeucte a ſatisfait leurs rages;	Las ma douleur trop forte a brouillé ces images Le sang de Polyucte a satisfait leurs rages;
Ie ne ſçay ny comment ny quand ils l’ont tué Mais je ſçay qu'a la mort tous ont contribuë.	Je ne sais assez comment apprendre quand ils l'ont tué Mais je sais qu'a la mort tous ont contribue.
