A MADAME DV RQVLET.	À MADAME DU RQULET.
Ma mere ie m’en vay & m’en allant d’icy, I’emporte la douleur, la peine & le ſoucy, Mille & mille regrets, ores me font la guerre, Helas i’ay ſi grand deuil de quitter noſtre terre, Ie regrette ceſt air qui m’a ſemblé ſi doux, I’ay regret à mon pere & par ſur tout en vous Il me ſouuient du temps de ma petite enfance, Iors que monſtriez voir vne ferme aſſeurance De m’eſleuer vn iour en quelque haut degré, Comme digne rameau, de ce tige ſacré, Cela m’eſt aduenu:	Ma mère femme m'en vais et m'en allant d'ici, J'emporte la douleur, la peine et le souci, Mille et mille regrets, ores me font la guerre, Hélas j'ai si grand deuil de quitter notre terre, Je regrette cet air qui m'a semblé si doux, J'ai regrets à mon père et par sur tout en vous Il me souvient du temps de ma petite enfance, Jors que montriez voir une ferme assurance De m'éleuer un jour en quelque haut degré, Comme digne rame, de ce tue sacré, Cela m'est advenu:
car vous m’auez pourueue D'vn mary vestueux, mais vous perdant de veuë Ie perds tout mon threſor, & vous laiſſe mon cœur Pour vous porter amour, reuerence & honneur, Ie prends congé de vous, hé!	car vous m'avez pourvue D'un mari vétueux, mais vous perdant de vue Je perds tout mon trésor, et vous laisse mon cœur Pour vous porter amour, révérence et honneur, Je prends congé de vous, hé!
mon Dieu ie me paſme Dans vostre ſain ayme.	mon Dieu tu me pâme Dans votre sain aime.
Anne ſa mere.	Anne sa mère.
Tu me deſrobes l’ame O ma chere Sarra, comment pourray-ie donc Sans toy paſſer le temps ſi penible & ſi long:	Tu me dérobes l'âme Ô ma chère Sarra, comment pourrai-je donc Sans toi passer le temps si pénible et si long:
dre ema fute mon cœur, & que pourray-ie faire Abſenté de tes yeux qui me ſouloyent tant plaire,	dre ema futé mon cœur, et que pourrai-je faire Absenté de tes yeux qui me soûlaient tant plaire,
Ruguert Ma femme laiſſez la il luy faut arracher, Sarra retirez vous:	Ruguert Ma femme laissez la il lui faut arracher, Sarra retirez -vous:
AUIC, Si ie ne te voy plus (ô ma chere lumiere)	AUIC, Si ici ne te vois plus (ô ma chère lumière)
La Seruante.	La Servante.
Mon Dieu, qui vid iamais ſi deſolée mere!	Mon Dieu, qui vit jamais si désolée mère!
Las Madame aydez vous de vous meſme au beſoing Le Seigneur Dieu prendra de voſtre fille ſoing;	Las Madame aidez -vous de vous -même au besoing Le Seigneur Dieu prendra de votre fille soin;
Anne.	Anne.
O face, clair miroir de la ſainte nature, Qui pourrois illuſtrer vne priſon obſcure:	Ô face, clair miroir de la sainte nature, Qui pourrais illustrer une prison obscure:
O eſprit enrichy des ornements des Cieux, O digne vermillon, ô propos gratieux, O chaste, ſage, douce & angelique grace Qui par tes doux attraicts ſi doucement enlace, Las que mes iours ſans toy ſeront brefs & mauuais.	Ô esprit enrichy des ornements des Cieux, Ô propos vermillon, ô propos gratieux, Ô chaste, sage, douce et angélique grâce Qui par tes doux attraits si doucement enlace, Las que mes jours sans toi seront brefs et mauvais.
La Seruante.	La Servante.
Que ne puis-ie alleger de ceſt ennuyeux faix Voſtre eſprit affligé, ma Dame ie vous prie, Penſez que voſtre fille eſtant tres accomplie A trouué vn mary digne de ſes valleurs Qui la peut garantir de cent mille malheurs Couſtumiers d’aſſaillir la femme miſerable Si ſon mary prudent ne luy est ſecourable, Vous la verrez bien toſt ſelon voſtre deſir Mere de beaux enfants (car tel est le plaiſir Du grand Dieu d’Iſrael) qui veut que ceste race Aultipuc entuielte O uneret premne place.	Que ne puis-je alléger de cet ennuyeux faix Votre esprit affligé, ma Dame ie vous prie, Pensez que votre fille étant très accomplie A trouvé un mari digne de ses valeurs Qui la peut garantir de cent mille malheurs Coutumiers d'assaillir la femme misérable Si son mari prudent ne tel est secourable, Vous la verrez bien tôt selon votre désir Mère de beaux enfants (car tel est le plaisir Du grand Dieu d'Israel) qui veut que cette race Aultipuc entuielte Ô uneret premne place.
Thobie le pere & ſa femme ſe plaignent de l’abſencs de leur fils.	Thobie le père et sa femme se plaignent de l'absencs de leur fils.
Thobie le pere.	Thobie le père.
Maintenant que mon fils faict ſi longue demeure Anne ma chere ſœur, ie repenſe a tout heure, Ou que Gabel ſoit mort, qui nous debuoit l’argent Ou que mon pauure fils malade & indigent, Ne pouuant recouurer la ſomme qui m’eſt deus Se plaint de la rigueur que ie luy ay tenue, De l’enuoyer quaſi malgré luyhors d’icy:	Maintenant que mon fils fait si longue demeure Anne ma chère sœur, tu repense a tout heure, Ou que Gabel soit mort, qui nous débuait l'argent Ou que mon pauvre fils malade et indigent, Ne pouvant recouvrer la somme qui m'est de Se plaint de la rigueur que tue ur que tenue, De l'envoyer quasi malgré hors d'ici:
Las mon Dieu que fais tu (mon fils) mon cher ſoucy, Retourne à moy brentoſt ſi tu as quelqu’enuie De ſoulager vn peu ma languiſſante vie.	Las mon Dieu que fais -tu (mon fils) mon cher soulage, Retourne languissante moi brentost si tu as quelqu'envie De soulager un peu ma languissante vie.
Anne.	Anne.
Mon amy croyez moy qu’on ne doit haz arder Ce que l’on ayme tant il ſe faut bien garder:	Mon ami croyez moi qu'on ne doit has arder Ce que l'on aime tant il se faut bien garder:
Vous auez eu grand tort pour ſi petite ſomme De ietter en danger la vie de ce ieune homme:	Vous avez eu grand tort pour si petite somme De jeter en danger la vie de ce jeune homme:
Helas mon cher enfant, lumiere de nos yeux Que nous auons eſté de toy mal ſoucieux:	Hélas mon cher enfant, lumière de nos yeux Que nous avons été de toi mal soucieux:
Sont ce de tes biens faicts les dignes recompenſes Que de t’auoir chaßé dehors de nos preſences, Las !	Sont ce de tes biens faits les dignes récompenses Que de t'avoir chassé dehors de nos présences, Las !
nous l’auons cauſé tant de mal & d’ennuy Et tu es de nos deux le baston & l’appuy:	nous l'avons causé tant de mal et d'ennui Et tu es de nos deux le bâton et l'appui:
Tu es noſtre bon heur, nostre plaiſir noſtre aiſe Et ſans toynous n’avons aucun bien qui nous plaiſe:	Tu es notre bon heur, notre plaisir notre aise Et sans toinous n'avons aucun bien qui nous plaise:
Nous n’auons autre eſpoir de la poſterité Qu’en toy nostre ſeul fils & t’auons irrité:	Nous n'avons autre espoir de la postérité Qu'en toi notre seul fils et t'avons irrité:
En toy nostre ſeul fils, nous auons toutes choſes, En l’ame de toy ſeul trois ames ſont encloſes Et nous t’auons chaßé, an Gren quet creuet-œur.	En toi notre seul fils, nous avons toutes choses, En l'âme de toi seul trois âmes sont encloses Et nous t'avons chassé, an Gren que crevet-œur.
Te falloit-il vſer d’vne telle rigueur.	Te fallait-il user d'une telle rigueur.
Thobie le pere.	Thobie le père.
Las m’amye pour Dieu donnez vous patiences Ne vous troublez point tant, viuez en eſperance Que noſtre fils eſt ſain & que dans peu de temps Il reuiendra icy pour noustrendre contens Nous en ſçaurons orenetuje quelque bonne neuuelle, Car l'homme qui le guide eſt accort & fidelle.	Las m'amie pour Dieu donnez vous patiences Ne vous troublez point tant, vivez en espérance Que notre fils est sain et que dans peu de temps Il reviendra ici pour noustrendre contents Nous en saurons orénétuje quelque bonne nuelle, Car l'homme qui le guide est accort et fidèle.
Intermedie.	Intermédie.
Azarie.	Azarie.
I vous laiſſe a penſes maintenant quelle iaye Vostre bon pere aura, mais qu’il faut qu’il vous voie unevosjere uruuement alnſi qde vous voila Que dira il de nous quand il verra Sarra.	I vous laisse a penses maintenant quelle iaye Votre bon père aura, mais qu'il faut qu'il vous voie unevosjere uruement alzi q vous voilà Que dira il de nous quand il verra Sarra.
Thõbie le ieune.	Thõbie le jeune.
Ilne la poürra voir il a perdu la veue.	Ilne la pouerra voir il a perdu la vue.
Azarie.	Azarie.
Comment as tu deſia la memoire perdue Ne te ſoituient il plus de l’horrible poiſſon Qui te penſa haurir par le bout du tallon.	Comment as tu déjà la mémoire perdue Ne te soituient il plus de l'horrible poisson Qui te pensa haurir par le bout du tallon.
Et quetu l’enfondras pour en tirer le ſoye Tu ſçais que ſans celà tu euſſe esté la proye Du malheureux eſprit com ne les ſept maris De la belle Sarra, & außrie te des Que ton pere verroit en bref temps la lumiere 4t ia perra aijssparanant qu'u joit guere.	Et quetu l'enfondras pour en tirer le soie Tulle sais que sans cela tu eusse été la proie Du malheureux esprit com ne les sept maris De la belle Sarra, et aussrie te des Que ton père verrait en bref temps la lumière 4t ja perra aijssparanant qu'u joit guère.
duu	du
Thobie.	Thobie.
0 g O Dieu nostre vray Dieu ta liberale main Par moy rende auiourdhuy mon pauure pere ſain, Que ton bon plaiſir ſoit o pere debonnaire.	0 gAU Dieu Dieu vrai Dieu ta libérale main Par moi rende auiourdhuy mon pauvre père sain, Que ton bon plaisir soit ô père débonnaire.
Qu’il puiſſe contempler ceste belle lumiere.	Qu'il puisse contempler cette belle lumière.
Anne mere de Thobie ſort de ſon logis & auiſe venir le chien qui eſtoit party quand & ſon fils.	Anne mère de Thobie sort de son logis et avise venir le chien qui était parti quand et son fils.
et( Anne.	et( Anne.
O pere Tout-puiſſant mas tu rendu mon fils, Thobie reuient pour vray:	Ô père Tout-puissant mas tu rendu mon fils, Thobie revient pour vrai:
celuy qui ſans outils Fabrica l’vniuers, à entendu mes plaintes Thobie deſcendez noſtre fils vient ſans fainte.	celui qui sans outils Fabrica l'Hivers, à entendu mes plaintes Thobie descendez notre fils vient sans sainte.
Thobie mon ami eſtant en la maiſon, I’ouengés l’Eternel & luy faite Oraiſon, Embraßés voſtre pere & luy faites hommage, Ie conſolant touſiours iuſqu’au bout de ſon aage Aymes-lé de bon cœur & vostre mere außi, Vous ſouuenant touſiours du dueil & du ſoucy Qu’ils ont ſouffect pour vous le long de voſtre abſence Ettant que vous viurez que voſtre cœury penſe.	Thobie mon ami étant en la maison, J'ouengés l'Eternel et votre faite Oraison, Embrassés votre père et avait faites hommage, Je consolant toujours jusqu'au bout de son âge Aymes-lé de bon cœur et votre mère aussi, Vous souvenant toujours du et du soutenant toujours Qu’ et du souffect pour vous le long de votre absence Ettant que vous vivrez que votre cœury pense.
Thobie eſt conſeillé par Azarie.	Thobie est conseillé par Azarie.
Thobie le ieune.	Thobie le jeune.
Iay cela engraué au profond de mon cœur Et plustoſt vn orage où vn nouueaus malheur, Tombe deſſus mon chef ou bien pluſtoſt encore Le ſouphre qui tomba ſur Sodome & Gomore:	Iais cela engravé au profond de mon cœur Et plutôt un orage où un nouveaus malheur, Tombe dessus mon chef ou bien plustost encore Le souphre qui tomba sur Sodome et Gomore:
Me vienne acrauanter, que de deſobeir A mon pere, ummmere, ruuioromnment mourir,	Me vienne acravanter, que de désobéir À mon père, ummère, ruvioromnment mourir,
Azarie.	Azarie.
Ayant donc embraßé, humblement voſtre pere Prens moy de ce fiel pour l’oſter de miſere Et tout incontinent luy en frotes les jeux Car ie vonnuejoran quit contempte tes Cieux.	Ayant donc embrassé, humblement votre père Prends moi de ce fiel pour l'ôter de misère Et tout incontinent mieux en frottes les jeux Car ie vonnuejoran quit contempte tes Cieux.
Thobie le pere ſe fait conduire par vn ſeruiteur au deuant de	Thobie le père se fait conduire par un serviteur au devant de
ſon fils.	son fils.
O pere des humains ſi i’auois milles langues Ie ne pourrois aßez te rendre de louanges Approche toy mon fils baiſe moy mon ſupport Puiſque ie te reuoy ie ne crains plus la mort.	Ô père des humains si j'avais milles langues Je ne pourrais assez te rendre de louanges Approche toi mon fils baise moi mon support Puisque pleins te revoy ie ne crains plus la mort.
Anne.	Anne.
O SSeigneur Tout-puiſſant voila mon fils Thobie Sus ſas accole moy, vien donc ie te ſupplie qeie lebare entor, & toy grana meſſager Qui as conduit mon fils ſans encourir danger, De grace conte nous quelque bonne nouuelle comment vont nos parens Sarra com nent vit elt.	Ô SSeigneur Tout-puissant voilà mon fils Thobie Sus sus accole moi, viens donc ie te supplie qée lebare entor, et toi grana messager Qui as conduit mon fils sans encourir danger, De grâce compte nous quelque bonne nouvelle comment vont nos parents Sarra com nent vit elt.
Azarie.	Azarie.
Mala mevoſtre fils vous en racomptera Et dedans peu de iours vous y verrez Sarra.	Mala mevôtre fils vous en racomptera Et dedans peu de jours vous y verrez Sarra.
Thobie le ieune.	Thobie le jeune.
Mon pere per netez ſi ie merite grace, Que ie contemple vn peu vostre benigne face:	Mon père per netez si ici mérite grâce, Que ici contemple un peu votre bénigne ce:
Sées vous tant ſoit peu, O moteur eternel, Qui auez tant donné de vertu à ce fiel Faites que ce morçeau aye telle energie De reſtaurer les yeux à voſtre humble Thobie C’eſt voſtre ſeruiteur, faites cela pour luy Car il y à quatre ans quil ſoufre de l’ennuy.	Sées vous tant soit peu, Ô moteur éternel, Qui avez tant donné de vertu à ce fiel Faites que ce morçeau aie telle énergie De restaurer les yeux à votre humble Thobie C'est votre serviteur, faites cela pour était Car il y a quatre ans quil souffre de l'ennui.
Thobie le pere reçoit la veuë.	Thobie le père reçoit la vue.
O Soleil radieux, ô lumiere celeſte Puis que ie te reuoy plus rien ie ne regrette Maintenant que mon fils mon ſupport mon ſoustien Se preſente à mes yeux, qu’on denne de mon bien A ce grand meſſager, la meilleure partie O vray Dieu d’Iſrael mon ame vous benie Vous m’auez chatié pour mon iniquité, Puis mauez deliuré de la captiuité Des ſacrileges mains, du Tiran d’Aſirie, Me conduiſant icy en ma chere Patrie Sus donc tout maintenant louengeons le Seigneur, Tous tous d’vn cœur entier chantons à ſon honneur Vn Cantique nouueau pour tant de benefices Qu’auons reçeu de luy ça que nos excercices Publient ſa grandeur par toutes regions, crecumrez penec tojt otranges nations Confeſſer ſon ſaint nom, curit jaut retognoistre Crrohien u Mimam eſt le Souuerain maiſtre.	Ô Soleil radieux, ô lumière celeste Puis que pleins te revoi plus rien ie ne romette Maintenant que mon fils mon support mon soutien Se présente à mes yeux, qu'on denne de mon bien À ce grand messager, la meilleure partie Ô vrai Dieu d'Israel mon âme vous bénie Vous m'avez chatié pour mon iniquité, Puis mauvez délivré de la captivité Des sacrilèges mains, du Tyran d'Asyrie, Me conduisant ici en ma chère Patrie Sus donc tout maintenant louangueons le Seigneur, Tous tous angue cœur entier chant à son honneur Cantique nouueau pour tant de bénéfices auons reçeu de lui Ca que nos excercices Publient sa grandeur par toutes ions, crecumrez penec ô ur nations Confesser son saint nom, curit jaut béni Ce Mimam est le Souuerain maître.
»Hantons vn Cantique MAu Dieu Triomphant Qui nous à rendu Thobie noſtre enfant.	»Hantons un Cantique MAu Dieu Triomphant Qui nous à rendu Thobie notre enfant.
CANTIQVE DE THOBIB.	CANTIQUE DE THOBIB.
Nations eſtranges, L’ouez en tous lieux Celuy qui d’vn rien Compoſa les Cieux.	Nations étranges, L'ouez en tous lieux Celui qui d'un rien Composa les Cieux.
O Dieu noſtre pere, Heureux eſt celuy Qui en ton ſaint nom, Fonde ton appuy.	Ô Dieu notre père, Heureux est celui Qui en ton saint nom, Fonde ton appui.
Thobie le pere.	Thobie le père.
Apropos mon enfant mais que donnerons-nous A voſtre meſſager, parlez qu'en dites-vous, Le moyen de pouuoir ceſt homme ſatisfaire Dites donc vous ſongez.	Appropos mon enfant mais que donnerons-nous A votre messager, parlez qu'en dites-vous, Le moyen de pouvoir cette homme satisfaire Dites donc vous songez.
Thobie le ieune.	Thobie le jeune.
Mon pere quel ſalaire, Quand pour moy ie ne puis aucunement penſer Pouuoir ſi grand loyer iamais recompenſer Ie ne ſçache rien digne aupres des benefices ue i’ay reçeu de luy, & tant de bons offices Il m’a premierement preſerué d’vn poiſſ,2 Antidote tres ſeur de vostre guariſon Il m’a fait eſpouſer choſe vrayment diuine, Ma couſine Sarra, me gardant de ruine Mon oncle Raguel en rend grace au Seigneur Car il l’a deliuré d’vn extreſme malheur Sans luy i’euſſe couru vne graude fortune Puis il alla tout ſeul recepuoir la Pecune Le nous deuoit Gabel, bref il est gracieux, Par luy vous reuoyez le bel aſpect des Cieux, Par luy nous auons tant debiens & de cheuance, De chameaux de moutons, de tout en abondance Que c'est merueille à voir muis tout cela n'eſt riens Au prix de ma Sarra, en qui giſt tout mon bien Vons ta verrez oren-toſt & pren ditvmpagnee.	Mon père quel salaire, Quand pour moi venir ne puis aucunement penser Pouvoir si grand loyer jamais recompenser Je ne sache rien digne auprès des bénéfices ue j'ai reçu de même, et tant de bons offices Il m'a premièrement preserué d'un poiss,2 Antidote très sûr de votre garison Il m'a fait épouser chose vraiment divine, Ma cousine Sarra, me gardant de ruine Mon oncle Raguel en rend grâce au Seigneur Car il l'a deliuré extrême malheur Sans lui eusse couru v graude fortune Puis il alla tout seul recepuoir la Pecune Le ur de Gabel, né d' est gracieux, Par lui vous reuoyez le bel se des Cou, Par lui do auons tant debiens et de cheuance, De chameaux de et, de sort un abondance Pu c'est il a voir muis tout cela n'est riens a prix de ma Sarra, en qui gît tout mon bien Vons la verrez oren-tôt et pren ditvmpagnee.
Thobie le pere.	Thobie le père.
Mon enfant Dieu vous donne vne heureuſe lignee Neantmoins dites moy que luy donnerons nous, Anne venez ici parlez qu’en dites vous Aduiſons maintenant de contenter ceſt homme Car il merite bien vne notable ſomme.	Mon enfant Dieu vous donne une heureuse lignée Neantmoins dites moi que lui donnerons nous, Anne venez ici parlez qu'en dites vous Aduisons maintenant de contenter cette homme Car il mérite bien une notable somme.
Aline.	Aline.
Donnons luy iustement la motié de nos biens.	Donnons ainsi justement la motié de nos biens.
Azarie.	Azarie.
Non non ie ſuis content ie ne demande riens, Mais benſſſez touſiours le grand Dieu qui ordonnes Des Anges alentour des deuotes perſonnes, Racontes en tous lieux combien il est puiſſant Pour punir le meſchant qui le va offenſant, De ſon œil tout voyant il a veu ton aumoſne, Ie ieune, & l’oraiſon ſont vollees en ſon troſne, I’aumoſne pour certain deliure de la mort Ceux que deſia l’enfer embarquoit en ſon port, Alors que tu priois auecques forces larmes Tu briſois les effors des infernalles armes, Et quand tu enterrois ceux qui eſtoient occis, Les emportant de nuict, pour toy pour toy ie fis A mon maistre & Seigneur ton humble ſacrifice, Qui à recompenſé vn ſi notable office, Tu as pleu à ſes yeux t’eſprouuant comme l’or.	Non non ie suis content rien ne demande riens, Mais bensssez toujours le grand Dieu qui ordonnes Des Anges alentour des dévotes personnes, Racontes en tous lieux combien il est puissant Pour punir le méchant qui le va offensant, De son œil tout voyant il a vu ton aumône, Je jeune, et l'oraison sont vollées en son trône, J'aumône pour certain délivre de la mort Ceux que déjà l'enfer embarquait en son port, Alors que tu priais était forces larmes Tu brisais les effort des infernales armes, Et quand tu enterais ceux qui étaient occis, Les emportant de nuict, pour toi pour toi ie fis A mon maître et Seigneur ton humble sacrifice, Qui recompensé si notable ie, Tu as pleu ses yeux esprouuant comme ôor.
S’eſprouue en la fournaiſe, mais ie te dis encor:	S'éprouve en la fournaise, mais tu te dis encor:
Qu'il m’a cy enuoyé pour te rendre la veue, Et deliurer Sarra qui eust esté perdue:	Qu'il m'a cy envoyé pour te rendre la vue, Et délivrer Sarra qui eût été perdue:
Mon nom eſt Raphaël qui conduicts en tous lieux Ceux qui vont reuerant le Monarque des Cieux, I’aſſiſte en ſon parquet & ſuis vn des ſept Anges, Qui entonne à ſon nom mil & milles louanges:	Mon nom est Raphaël qui conduits en tous lieux Ceux qui vont révérant le Monarque des Cieux, J'assiste en son parquet et suis un des sept Anges, Qui entonne à son nom mille et milles louanges:
Paix ſoit auecques vous & ne craignez iamais Le ſeruant de bon cœur vous aurez touſiours paix, Il ſembloit à me voir que ie beuſſe & mengeaſſe Mais mon boire & manger n’est veu d’aucune face Des hommes d’icy bas, beniſſes touſiours Dieu Racontant ſer tauis farets entoute place & lieu.	Paix soit apprendre vous et ne craignez jamais Le servant de bon cœur vous aurez toujours paix, Il semblait à me voir que je beautsse et mengeasse Et mon boire et manger n'est vu d'aucune face Des hommes d'ici bas, bénisses toujours Dieu Racontant ser tavis farets entoute place et lieu.
Azarie diſparoit.	Azarie disparaît.
Thobie le ieune.	Thobie le jeune.
Que diront maintenant les peuples eſtrangers, En oyant racompter qu’au milieu des dangers D’vn voyage lointain, vn Ange debonnaire Ma mené ramené ſain & ſaufchez mon pere, Que penſeront ils lors entendant qu'vn Demon Chez ma chaste Sarra à eu tant d’abandon D'eſtrangler ſept maris & n'a eu la puiſſance De toucher à ſon corps pour luy faire nuiſance Que diront-ils encor quand ils auront apris, Qu'vn horrible porſſon ſortit dehors tigris:	Que diront maintenant les peuples étrangers, En oyant racompter qu'au milieu des dangers D'un voyage lointain, un Ange débonnaire Ma mené ramené sa et saufchez mon père, Que penseront ils lors entendant qu'à Démon Chez ma chaste Sarra à eu tant d'abandon D'étrangler sept maris et n'a eu la puissance De toucher à son corps pour lui faire nuisance Que quan-ils ils auront après sauront appris, Qu'ils horrible porsson sortit dehors tigris:
Pour m’engloutir tout vif, & ne me fit dommage, Et que mon cher patron auquellie dois hommage:	Pour m'engloutir tout vif, et ne me fit dommage, Et que mon cher patron auquellie dois hommage:
N’auoit veu nullement l’eſpace de quatre ans Voit ainſi qu’il faiſoit en ſon ieune Prin-temps, Pourront ils effacer ces faicts de leur memoire Non non a tonſeons muno grua Dieu plain de gloire, Chacun vous benira, & moy en tous endrois Ie vous recognoistray ſouuerain Roy des-Rois,	N'avait vu nullement l'espace de quatre ans Voit ainsi qu'il faisait en son jeune Printemps, Pourront ils effacer ces faits de leur mémoire Non non à tonseons muno grua Dieu plain de gloire, Chacun vous bénira, et moi en tous endais Je vous reconnaîtrai souverai Souverain des-Rais,
Fints coronat opus	Fints coronat opus
VR EMPLIR CES OYENT vuides ꝗ eſté adiouſté ceſt Hymne de la Sacrée Mere de Dieu la Vierge Marie.	VR EMPLIR CES OIENT vides „ été ajouté cet Hymne de la Sacrée Mère de Dieu la Vierge Marie.
I'Toy vare de Dieu, à toy Vierge pudique AY Oferay-ie chanter vn Hyune ou vn Cantique?	J'Toi vare de Dieu, à toi Vierge pudique AY Oferai-je chanter un Hyune ou un Cantique?
Ia pieté m’epoint, mais le feu languiſſant Que ie ſens peu à peu dedans mon ſein gliſſant, Rabaiſſe & attiedit du feu diuin l’amorce, Et ſens bien chanceler deſſouz le poids ma force.	Ia piété m'époint, mais le feu languissant Que je sens peu à peu dedans mon sein glissant, Rabaisse et attiedit du feu divin l'amorce, Et sens bien chanceler dessouz le poids ma force.
Si veux-ie neantmoins or en faire l’eſſay, ,, Celuy qui bien commence a ia plus qu’auancé „ La moitié de l’ouurage:	Si veux-je néanmoins or en faire l'essa, ,, Celuy qui bien commence a plus auancé La moitié de ouurage,
Or doncques Vierge Sainte, Dreſſe moy viuement l' Ame d’ardeur atteinte:	Or donc Vierge Sainte, Dresse moi vivement l' Âme d'ardeur atteinte:
Fay naiſtre dans mon cœur des vers d’amour tous pleins, Fay ie te pry' couler ſur ma langue mots ſaints.	Fais naître dans mon cœur des vers d'amour tous pleins, Fais tu te pri couler sur ma langue mots saints.
Le Courrier enuoyé du haut Ciel Empiree Par le vague de l’air a toy Vierge epuree Gliſſe tout doucement, & te vient entonnant En l’oreille la voix de l’Eternel Tonnant.	Le Courrier envoyé du haut Ciel Empiree Par le vague de l'air a toi Vierge épure Glisse tout doucement, et te vient entonnant En l'oreille la voix de l'Éternel Tonnant.
Lors ſoudain tu conçois dedans ta conſcience Et au cœur & au corps vn enfant ſans femence, Le Verbe & la raiſon que le premier mouuant Eternellement va dedans ſoy conceuant, En ton ame eſt conpeu, & dedans ton pur ventre	Lors soudain tu conçois dedans ta conscience Et au cœur et au corps un enfant sans semence, Le Verbe et la raison que le premier mouvant Éternellement va dedans soi concevant, En ton âme est conçu, et dedans ton pur entre
Eſt meu celuy qui meut la Sfere au tour du centre:	Est meut celui qui meut la Sfère au tour du centre:
Ceſtui-là qui baſtit par ſon commandement Le grand Crel azuré & qui fait rondement, Les Astres caroler le feu ſur l’air enſerre, L’air epars deſſus l’eau, & l’eau deſſus la terre:	Cestui-là qui bâtit par son commandement Le grand Crel azuré et qui fait rondement, Les Astres caroler le feu sur l'air enserre, L'air épars dessus l'eau, et l'eau dessus la terre:
Ie Dieu qui tout comprend & de nul eſt compris, Est infini enceint dans ſon chaſte pourpris.	Je Dieu qui tout comprend et de nul est compris, Est infini enceint dans son chaste pourpris.
Et puis estant conçeu de ta chair nette & pure Se fait en ſon giron ſon habit & veſture, Et par neuf mois entiers par l’eſprit ſaint enclos, Voulut eſtre porté dedans ton ventre clos, i du tout accomplis, luy ſor tous debonnaire Soudain ſortir au iour de ſa Tente ordinaire, Et la tumiere vraie en la lumiere iſſant Comme vne lampe claire alloit reſplendiſſant:	Et puis étant conçu de ta chair nette et pure Se fait en son giron son habit et vêture, Et par neuf mois entiers par l'esprit saint enclos, Voulut seulement porté dedans ton ventre clos, jeu du tout accomplis, Seigneur sor tous débonnaire Soudain sortir au jour de sa Tente ordinaire, Et la tumière vraie en la lumière issant Comme une lampe claire allait resplendissant:
O combien le pouuoir du Troisfois grand ſurpaſſe Nostre capacité humaine paille, & baſſe!	Ô combien le pouvoir du Troisfois grand surpasse Notre capacité humaine paille, et basse!
Celuy qui eſt touſiours, Fils ſans mere Eternel, Incontinent ſortir du ventre maternel.	Celui qui est toujours, Fils sans mère Éternel, Incontinent sortir du ventre maternel.
Adam ſans mere fut, & ſans vn charnel pere, Aiant Dieu ſeul autheur qui ſeul le voulut faire:	Adam sans mère fut, et sans un charnel père, Ajant Dieu seul auteur qui seul le voulut faire:
Eue ſans mere außiepouſe fille & ſœur, De cet homme premier à la croire malſœur:	Eue sans mère aussiepouse fille et sœur, De cet homme premier à la croire malsœur:
De ces deux mariez toute l’humaine engeance Vient par conionction & par fil de ſemence.	De ces deux mariés toute l'humaine engeance Vient par conionction et par fil de semence.
Mais (eſus noſtre chef ſans mere eſt Fils de Dieu, 16 2 Et ſaus vere homme fait en ton ſaint ventre a lieu, Et toy par ce miracle, & nouuelle naiſſance Du nom de mere, Epouſe, & fille as iouiſſance, Le premier homme fat de terre terrien, Le ſecond fut du Ciel Celeste Etherien.	Mais (esus notre chef sans mère est Fils de Dieu, 16 2 Et saus vere homme fait en ton saint ventre a lieu, Et toi par ce miracle, et nouuelle naissance Du nom de mère, Épouse, et fille as jouissance, Le premier homme fat de terre terrien, Le second fut du Ciel Céleste Ethérien.
Adonc hors des moutters tes antiques Deejjes S’enfuirent ſoudain par les ombres epeſſes	Adonc hors des mouters tes antiques Deejjes S'enfuirent soudain par les ombres épesses
Du tenebreux Enſer & les chastrez Gaulois Ne feirent plus hur ler en Dindime leur vois Et de tahours tonnans plus les monts ils n’eſtonnent Ni du buis embouché plus ſuryde ne ſonnent:	Du ténébreux Enser et les châtrez Gaulois Ne feirent plus hur ler en Dindime leur vois Et de tahours tonnants plus les monts ils n'étonnent Ni du buis embouché plus suryde ne sonnent:
Plus les lions gemeaux ne s’aſſemblent au frein Pour dedans vn Charfeint emporier par l’air vain Ie grand' mere des dieux & leur Dame Cybelle Auecques meinte Tour haute puiſſante & belle:	Plus les lions gémeaux ne s'assemblent au frein Pour dedans un Charfeint emporier par l'air vain Je grand mère des dieux et leur Dame Cybelle Avecques meinte Tour haute puissante et belle:
Plus on ne va cherchant auec brulans flambars Proſerpine rauie aux infernalles parts:	Plus on ne va cherchant ages brûlants flambars Proserpine ravie aux infernalles parts:
Plus la Royne Venus des Putauts plus inſines N’accouple ſouz le ioug ſes deux Paphiens Cynes!	Plus la Royne Venus des Putauts plus insines N'accouple souz le joug ses deux Paphiens Cynes!
Plus ne va ſecouant Pallas dedans ſa main De Meduſe le Chef en ſon bouclier d’erain:	Plus ne va secouant Pallas dedans sa main De Méduse le Chef en son bouclier d'erain:
Et plus les Cerfs ne ſuit Diane eucarquoiſee, Auec meute de chiens aux foreſts expoſee:	Et plus les Cerfs ne suit Diane eucarquoise, Avec meute de chiens aux forêts expose:
