A MADAME ADAME,	À MADAME ADAME,
malgré que i’en aye, il me vient à la bouche, ne lamais le ne ronge à Momeur de la couene.	malgré que j'en aie, il me vient à la bouche, ne lamais le ne ronge à Momeur de la couène.
Qui diable vous a fait auſſi vous auiſer, A quarante & deux ans de vous débaptiſer?	Qui diable vous a fait aussi vous aviser, A quarante et deux ans de vous débaptiser?
Et d’vn vieux tronc pourry de voſtre Métairie, Vous faire dans le Monde vn nom de Seigneurie?	Et d'un vieux tronc pourri de votre Métairie, Vous faire dans le Monde un nom de Seigneurie?
ARNOLPHE.	ARNOLPHÉ.
Outre que la Maiſon par ce nom ſe connaiſt, La Souche, plus qu’Arnolphe, à mes oreilles plaiſt.	Outre que la Maison par ce nom se connaît, La Source, plus qu'Arnolphe, à mes oreilles plaît.
A IIij	À IIijà
CHRISALDE.	CHRISALDE.
Quel abus, de quitter le vray nom de ſes Peres Pour en vouloir prendre vn baſty ſur des chimeres?	Quel abus, de quitter le vrai nom de ses Pères Pour en vouloir prendre un bâti sur des chimères?
De la pluſpart des gens c’eſt la demangeaiſon;	De la plupart des gens c'est la démangeaison;
Et ſans vous embraſſer dans la comparaiſon, Ie ſçais vn Païſan, qu’on appelloit gros Pierre, Qui n’ayãt, pour tout biẽ, qu’vn ſeul quartier de terl ilt tout à lentour faire vn roſſe bourbeux, Ire, Et de Monſieur de l’Iſle en prit le nom pompeux.	Et sans vous embrasser dans la comparaison, Je sais un Paysan, qu'on appelait gros Pierre, Qui n'ayant, pour tout bien, qu'un seul quartier de terl ilt tout à lentour faire un rosse bourbeux, Frère, Et de Monsieur de l'Île en prit le nom pompeux.
ARNOLPHE.	ARNOLPHÉ.
Vous pourriez vous paſſer d’exemples de la ſorte:	Vous pourriez vous passer d'exemples de la sorte:
Mais enfin de la Souche eſt le nom que ie porte;	Mais enfin de la Souche est le nom que je porte;
I’y vois de la raiſon, i’y trouue des appas, Et m’appeller de l’autre, eſt ne m’obliger pas.	J'y vois de la raison, j'y trouve des appas, Et m'appeler de l'autre, est ne m'obliger pas.
CHRISALDE.	CHRISALDE.
Cependant la pluſpart ont peine à s’y ſoûmettre, Et ie voy meſme encor des adreſſes de Lettre.	Cependant la plupart ont peine à s'y soumettre, Et tu vo même encor des adresses de Lettre.
ARNOLPHE.	ARNOLPHÉ.
Ie le ſouffre aiſément de qui n’eſt pas inſtruit;	Je le souffre aisément de qui n'est pas instruit;
Mais vous.	Mais vous.
CIIRISALDE.	CIIRISALDE.
Soit.	Soit.
Là-deſſus nous n’aurons point de bruit, Et ie prendray le ſoin d’accouſtumer ma bouche A ne plus vous nommer que Monſieur de la Souche.	Là-dessus nous n'aurons point de bruit, Et grands prendrai le soin d'accoutumer ma bouche À ne plus vous nommer que Monsieur de la Souche.
ARNOLPHE.	ARNOLPHÉ.
Adieu:	Adieu:
Ie frappe icy, pour donner le bon iour, Et dire ſeulement, que ie ſuis de retour.	Je frappe ici, pour donner le bon jour, Et dire seulement, que tu suis de retour.
CHRISALDE s’en allant, Ma foy ie le tiens fou de toutes les manieres.	CHRISALDE s'en allant, Ma foi ici le tiens fou de toutes les manières.
ARNOLPHE.	ARNOLPHÉ.
Il eſt vn peu bleſſé ſur certaines matieres.	Il est un peu blessé sur certaines matières.
Choſe étrange de voir, comme auec paſſion, Vn chacun eſt chauſſé de ſon opinion!	Chose étrange de voir, comme avec passion, Un chacun est chaussé de son opinion!
Hola.	Holà.
SCENE II.	SCÈNE II.
ALAIN, GEORGETTE, ARNOLPHE.	ALAIN, GEORGETTE, ARNOLPHÉ.
ALAIN.	ALAIN.
JVi heurte?	JUi heurte?
ARNOLPHE.	ARNOLPHÉ.
Ouurez.	Ouvrez.
On aura, que ie penſe, Glande loye à me voir, aprés dix iours d’abſence.	On aura, que Seigneur pense, Glande loie à me voir, après dix jours d'absence.
Qui va là?	Qui va là?
ALAIN.	ALAIN.
ARNOLPHE.	ARNOLPHÉ.
Moy.	Moi.
ALAIN.	ALAIN.
Georgette?	Georgette?
OBORAMHTE.	OBORAMHTE.
Hé bien?	Hé bien?
ALRIN.	ÀLRIN.
Ouure la bas.	Ouvre la bas.
Vas-y toy.	Vas-y toi.
GEORGETTE.	GEORGETTE.
ALAIN.	ALAIN.
vas je J.	vas -je .
GEORGETTE.	GEORGETTE.
Ma foy ie n’iray pas.	Ma foi ici n'irai pas.
Ie n’iray pas auſſi.	Je n'irai pas aussi.
ALAIN.	ALAIN.
ARNOLPHE.	ARNOLPHÉ.
Belle ceremonie.	Belle cérémonie.
Pour me laiſſer dehors.	Pour me laisser dehors.
Hola ho, ie vous prie.	Hola ho, Seigneur vous prie.
A v	À v
Qui frape?	Qui frappe?
GEORGETTE.	GEORGETTE.
ARNOLPHE.	ARNOLPHÉ.
Voſtre Maiſtre.	Votre Maître.
GEORGETTE.	GEORGETTE.
Alain?	Alain?
da de la a Res Quoy?	da de la a Rés Quoi?
Ouure viſte.	Ouvre vite.
GEORGETTE.	GEORGETTE.
C’eſt Monſieur,	C'est Monsieur,
ALAIN.	ALAIN.
Ouure, toy.	Ouvre, toi.
GEORGETTE.	GEORGETTE.
Ie ſouffle noſtre feu.	Je souffle notre feu.
ALAIN.	ALAIN.
I’empeſche, peur du Chat, que mon Moineau ne ſorte.	J'empêche, peur du Chat, que mon Moineau ne sorte.
ARNOLPHE.	ARNOLPHÉ.
Quiconque de vous deux n’ouurira pas la porte, le adia point a Manger de pius de quatle IGdls.	Quiconque de vous deux n'ouvrira pas la porte, le ajà point à Manger de pius de quatle IGds.
Ha.	Ha.
GEORGETTE.	GEORGETTE.
Par quelle raiſon y venir quand i’y cours?	Par quelle raison y venir quand j'y cours?
ALAIN.	ALAIN.
Pourquoy plûtoſt que moy?	Pourquoi plutôt que moi?
le plaiſant ſtratagéme!	le plaisant stratagème!
GEORGETTE.	GEORGETTE.
Oſte-toy donc de là.	Ost-toi donc de là.
ALAIN.	ALAIN.
Non, oſte-toy, toy-méme.	Non, ôte-toi, toi-même.
GEORGETTE.	GEORGETTE.
Ie veux ouurir la porte.	Je veux ouvrir la porte.
A LAIN.	À LAIN.
Et ie veux l’ouurir, moy.	Et Ne veux l'ouvrir, moi.
GEORGETTE.	GEORGETTE.
Tu ne l’ouuriras pas.	Tu ne l'ouvriras pas.
ALAIN.	ALAIN.
Ny toy non plus.	Ni toi non plus.
GEORGETTE.	GEORGETTE.
Ny toy.	Ni toi.
HRNOLPHE.	HRNOLPHÉ.
Il faut que i’aye icy l’ame bien patiente.	Il faut que j'aie ici l'âme bien patientée.
ALAIN.	ALAIN.
Au moins c’eſt moy, Monſieur.	Au moins c'est moi, Monsieur.
C’eſt moy.	C'est moi.
GEORGETTE.	GEORGETTE.
Ie ſuis voſtre ſeruante;	Je suis votre servante;
Ie te.	Je te.
AEAERIV.	AEARIV.
Sans le reſpect de Monſieur que voilà,	Sans le respect de Monsieur que voilà,
ARNOLPHE receuant vn coup d’Alain.	ARNOLPHÉ recevant un coup d'Alain.
Peſte.	Peste.
ALAIN.	ALAIN.
Pardon.	Pardon.
AR AvoniAiD.	AR AvoniAiD.
Voyez ce lourdau là.	Voyez ce lourdau là.
ALAIN.	ALAIN.
C’eſt elle auſſi, Monſieur.	C'est elle aussi, Monsieur.
ARNOLPHE.	ARNOLPHÉ.
Que tous deux on ſe taiſe.	Que tous deux on se taise.
Songez à me répondre, & laiſſons la fadaiſe.	Songez à me répondre, et laissons la fadaise.
Hé bien, Alain, comment ſe porte-t’on icy?	Hé bien, Alain, comment se porte-t-on ici?
ALAIN.	ALAIN.
Monſieur, nous nous.	Monsieur, nous nous.
Monſieur, nous nous por.	Monsieur, nous nous por.
Dieu mercy Nous nous.	Dieu merci Nous nous.
Arnolphe oſte par trois fois le Chapeau de deſſus la teſte d’Alain.	Arnolphe ôte par trois fois le Chapeau de dessus la tête d'Alain.
A vj	À vi
ARNOLPHE.	ARNOLPHÉ.
Qui vous apprend, impertinente beſte, A parler deuant moy, le chapeau ſur la teſte?	Qui vous apprend, impertinente bête, À parler devant moi, le chapeau sur la tête?
ALAIN.	ALAIN.
Vous faites bien, i’ay tort.	Vous faites bien, j'ai tort.
1- ARNOLPHE à Alain.	1- ARNOLPHE à Alain.
Faites deſcendre Agnés.	Faites descendre Agnès.
à Georg.	à Georg.
Lors que ie m'en allay, fut-elle triſte aprés?	Lors que ici m'en allai, fut-elle triste après?
Triſte?	Triste?
Non.	Non.
GEORGETTE.	GEORGETTE.
ARNOLPHE.	ARNOLPHÉ.
Non!	Non!
GEORGETTE.	GEORGETTE.
Oüy, ie meures Elle vous croyoit voir de retour à toute heure;	Oui, Seigneur meures Elle vous croyait voir de retour à toute heure;
Et nous n’oyions iamais, paſſer deuant chez nous, Cheual, Aſne;	Et nous n'oyions jamais, passer devant chez nous, Cheval, Asne;
ou Muretiqu'enle ne peiſt pour vous.	ou Muretiqu'enle ne put pour vous.
SCENE IIIe AGNES, ALAIN, GEORGETTE, ARNOLPHE.	SCÈNE IIIe AGNES, ALAIN, GEORGETTE, ARNOLPHÉ.
ARNOLPHE.	ARNOLPHÉ.
A beſogne à la main, c’eſt vn bon témoignage.	À besogne à la main, c'est un bon témoignage.
LHé bien, Agnés, ie ſuis de retour du voyage, En eſtes-vous bien-aiſe?	LHé bien, Agnès, je suis de retour du voyage, En êtes-vous bienaise?
AGNES.	AGNES.
Ouy, Mvonneur, Dieu mhercy.	Oui, Mvonneur, Dieu mherci.
ARNOLPHE.	ARNOLPHÉ.
Et moy de vous reuoir, ie ſuis bien aiſe auſſi.	Et moi de vous revoir, je suis bien aise aussi.
Vous vous eſtes toûjours, cõme on voit, bien portée?	Vous vous êtes toujours, comme on voit, bien portée?
AGNES.	AGNES.
Hors les puces, qui m’ont la nuit inquietée.	Hors les puces, qui m'ont la nuit inquiétée.
ANNOEPHE.	ANNOEPHÉ.
Ah!	Ah!
vous aurez dãs peu quelqu'vn pour les chaſſer.	vous aurez dans peu quelqu'amour pour les chasser.
AGNES.	AGNES.
Vous me ferez plaiſir.	Vous me ferez plaisir.
ARNOLPHE.	ARNOLPHÉ.
Que faites-vous donc là?	Que faites-vous donc là?
Ie le puis bien penſer.	Je le puis bien penser.
AONEN.	ÀONNEN.
Ie me fais des Cbrnettes:	Je me fais des Cbrnettes:
Vos Chemiſes de nuit, & vos Coiffes ſont faites.	Vos Chemises de nuit, et vos Coiffes sont faites.
ARNOLPHE.	ARNOLPHÉ.
Ha!	Ha!
voila qui va bien;	voilà qui va bien;
allez, montez là-haut :	allez, montez là-haut :
Ne vous ennuyez point, ie reuiendray tantoſt, Et ie vous parleray d’affaires importantes.	Ne vous ennuyez point, ie reviendrai tantôt, Et tu vous parlerai d'affaires importantes.
Tous eſtans rentrez.	Tous étants rentrez.
Heroïnes du temps, Meſdames les ſçauantes, Pouſſeuſes de tendreſſe & de beaux ſentimens, Ie défie à la fois tous vos Vers, vos Romans, Vos Lettres, Billets doux, toute voſtre Science, De valoir cette honneſte & pudique ignorançe.	Héroïnes du temps, Mesdames les savantes, Pousseuses de tendresse et de beaux sentiments, Je défie à la fois tous vos Vers, vos Romans, Vos Lettres, Billets doux, toute votre Science, De valoir cette honnête et pudique ignorançe.
SCENE IV.	SCÈNE IV.
IONACE, ANNOLIIIE.	JONACE, ANNOLIIE.
ARNOLPHE.	ARNOLPHÉ.
E n’eſt point par le bien qu’il faut eſtre ébloüy, CEt pourueu que l’honneur ſoit.	E n'est point par le bien qu'il faut être ébloui, CEt pourvu que l'honneur soit.
Que vois-je?	Que vois-je?
Eſt ce?	Est -ce?
.	.
Oüy.	Oui.
Ie me trompe.	Je me trompe.
Nenny.	Nenni.
Si fait.	Si fait.
Non, c’eſt luy-meſme.	Non, c'est rien-même.
Hor.	Hor.
HORACE.	HORACE.
Seigneur Ar.	Seigneur Ar.
ARNOLPHE.	ARNOLPHÉ.
Horace.	Horace.
HORACE.	HORACE.
Arnolphe.	Arnolphe.
ARNOLPHE.	ARNOLPHÉ.
Et depuis quand icy?	Et depuis quand ici?
An:	An:
joje extréme?	joje extrême?
HORACE.	HORACE.
Depuis neuf iours.	Depuis neuf jours.
Vrayment.	Vraiment.
ARNOLPHE.	ARNOLPHÉ.
HORACE.	HORACE.
le lus d'’aoold cliez vous, mais mutilement.	le lus d'aodold cliez -vous, mais mutilement.
ARNOLPHE.	ARNOLPHÉ.
I’eſtois à la campagne.	J'étais à la campagne.
HORACE.	HORACE.
Oüy, depuis deux journées.	Oui, depuis deux journées.
ARNOLPHE.	ARNOLPHÉ.
O comme les enfans croiſſent en peu d’années!	Ô comme les enfants croissent en peu d'années!
I’admire de le voir au poinct où le voila, Aples que ie l'ay veu pas pius grand que cela.	J'admire de le voir au point où le voilà, Aples que je l'ay veux pas pius grand que cela.
Vous voyez.	Vous voyez.
HORACE.	HORACE.
ARNOLPHE.	ARNOLPHÉ.
Mais, de grace, Oronte voſtre Pere, Mon bon & cher Amy, que i’eſtime & reuere, Que fait-il?	Mais, de grâce, Oronte votre Père, Mon bon et cher Ami, que j'estime et révère, Que fait-il?
eſt-il toûjours gaillard?	est-il toujours gaillard?
Atout ce qui le touche, il ſçait que ie prens part.	Atout ce qui le touche, il sais que ie prens part.
Nous ne noꝰ sõmes veus depuis quatre ans ensẽble.	Nous ne noble sõmes vus depuis quatre ans ensemble.
Ny, qui plus eſt, écrit l’vn à l’autre, me ſemble.	Ni, qui plus est, écrit l'un à l'autre, me semble.
HORACE.	HORACE.
Il eſt, Seigneur Arnolphe, encore plus gay que nous, Et i’auois de ſa part vne Lettre pour vous;	Il est, Seigneur Arnolphe, encore plus gai que nous, Et j'avais de sa part une Lettre pour vous;
Mais depuis par vne autre il m’apprend ſa venuë, Et la raiſon encor ne m'en eſt pas connuë.	Mais depuis par une autre il m'apprend sa venue, Et la raison encor ne m'en est pas connue.
Sçauez-vous qui peut-eſtre vn de vos Citoyens, Qui retourne en ces lieux auec beaucoup de biens, Qu’il s’eſt en quatorze ans acquis dãs l’Amerique?	Savez-vous qui peut-être un de vos Citoyens, Qui retourne en ces lieux avec beaucoup de biens, Qu'il s'est en quatorze ans acquis dans l'Amérique?
AINOETHE.	AINOTHÉE.
Non:	Non:
Vous a-t’on dit comme on le nomme?	Vous a-t-on dit comme on le nomme?
HORACE.	HORACE.
Enrique.	Enrique.
Non.	Non.
ARNOLPHE.	ARNOLPHÉ.
HORACE.	HORACE.
Mon Pere m’en parle, & qu’il eſt reuenu, Comme s’il deuoit m’eſtre entierement connu, Et m’écrit qu’en chemin enſemble ils ſe võt mettre, Pour vn fait important que ne dit point ſa Lettre.	Mon Père m'en parle, et qu'il est revenu, Comme s'il devait m'être entièrement connu, Et m'écrit qu'en chemin ensemble ils se vont mettre, Pour un fait important que ne dit point sa Lettre.
ARNOLPHE.	ARNOLPHÉ.
I’aura certain nent grande ioye à le voir, Et pour le regaler, ie feray mon pouuoir.	J'aura certain nent grande joie à le voir, Et pour le régaler, Elle ferai mon pouvoir.
Apres auoir leu la Lettre.	Apres avoir lu la Lettre.
Il faut, pour des Amis, des Lettres moins ciuiles, Et tous ces complimens ſont choſes inutiles;	Il faut, pour des Amis, des Lettres moins civiles, Et tous ces compliments sont choses inutiles;
Sans qu’il priſt le ſoucy de m’en écrire rien, Vous pouuez librement diſpoſer de mon bien.	Sans qu'il prît le souci de m'en écrire rien, Vous pensez librement disposer de mon bien.
HORACE.	HORACE.
le lais Tomme a farni les gens par leurs paroles, Et i’ay preſentement beſoin de cent piſtoles.	le lais Tomme a farni les gens par leurs paroles, Et j'ai présentement besoin de cent pistoles.
ARNOLPHE.	ARNOLPHÉ.
Ma foy, c’eſt m’obliger, que d’en vſer ainſi, Et ie me réjoüis de les auoir icy.	Ma foi, c'est m'obliger, que d'en user ainsi, Et personne me réjouis de les avoir ici.
Gardez auſſi la bourſe.	Gardez aussi la bourse.
HORACE.	HORACE.
Il faut.	Il faut.
ANNOLPHE.	ANNOLPHÉ.
Laiſſons ce ſtile.	Laissons ce style.
Hé bien, comment encor trouuez-vous cette Ville?	Hé bien, comment encor trouvez-vous cette Ville?
HORACE.	HORACE.
Nombreuſe en Crtoyens, ſuperbe en baſtimens, Et i’en croy merueilleux les diuertiſſemens.	Nombreuse en Crétoyens, superbe en bâtiments, Et j'en crois merveilleux les divertissements.
ARNOLPHE.	ARNOLPHÉ.
Chacun a ſes plaiſirs, qu’il ſe fait à ſa guiſe:	Chacun a ses plaisirs, qu'il se fait à sa guise:
Mais pour ceux que du nom de Galans on baptiſe, Ils ont en ce Païs dequoy ſe contenter, Car les Femmes y ſont faites à coquetter, On trouue d’humeur douce & la brune, & la blonde, Et les Maris auſſi les plus benins du monde:	Mais pour ceux que du nom de Galants on baptise, Ils ont en ce Pays dequoy se contenter, Car les Femmes y sont faites à coquetter, On trouve d'humeur douce et la brune, et la blonde, Et les Maris aussi les plus bénins du monde:
C’eſt vn plaiſir de Prince, & des tours que ie voy, Ie me donne ſouuent la Comedie à moy.	C'est un plaisir de Prince, et des tours que je vois, Je me donne souvent la Comédie à moi.
Peut-eſtre en auez-vous déja feru quelqu’vne:	Peut-être en avez-vous déjà féru quelqu'une:
Vous eſt-il point encore arriué de fortune?	Vous est-il point encore arrivé de fortune?
Les gens faits comme vous, font plus que les écus, Et vous eſtes de taille à faire des Cocus.	Les gens faits comme vous, font plus que les écus, Et vous êtes de taille à faire des Cocus.
