A MADEMOISELLE, MADEMOISELLE.	À MADEMOISELLE, MADEMOISELLE.
ROBIN.	ROBIN.
Pour vous rendre réponſe il me faut quelque temps;	Pour vous rendre réponse il me faut quelque temps;
Adieu.	Adieu.
1	1
CENE VIII.	CÈNE VIII.
POLEXANDRE, ARGINE, ISABELLE, LEONOR, LIMACON,, NOSTRADAMVS.	POLEXANDRE, ARGINE, ISABELLE, LEONOR, LIMAÇON, NOTRADAMUS.
POLEXANDRE.	POLEXANDRE.
TOus vos deſirs s'en vont eſtre tõtens, Vous n’auez pas encor vne heure pour attẽdre G iij A mettre en beaux draps blancs l’amoureux Polexandre;	TOus vos désirs s'en vont être tõtens, Vous n'avez pas encor heure pour attendre Graps A mettre en beaux draps blancs l'amoureux Polexandre;
Noſtre hõme va venir nôtre affaire à la main.	Notre homme va venir notre affaire à la main.
ISABELLE.	ISABELLE.
Ainſi dõc mon bonheur ne peut eſtre incertain?	Ainsi domme mon bonheur ne peut être incertain?
LIMACON à Argine.	LIMAÇON à Argine.
Argine, vous ſçauez que le meſme Notaire, Peut conclure aujourd’huy noſtre amoureuſe affaire.	Argine, vous savez que le même Notaire, Peut conclure aujourd'hui notre amoureuse affaire.
ISABELLE.	ISABELLE.
Sçachons qui cauſe en vous de ſi prompts chãgemens, Et m’a ſçeu deliurer du plus ſot des amans?	Sachons qui cause en vous de si prompts changements, Et m'a su délivrer du plus sot des amants?
LTMACON Quoy, vous contez pour rien la peur épouuentable.	LTMACON Quoi, vous contez pour rien la peur épouuentable.
ISABELLE.	ISABELLE.
Quoy, vous contez pour rien vne Iſabelle aymable?	Quoi, vous contez pour rien une Isabelle aimable?
Mrais quoy, le faut-il plamdre ou l’on ſçait tant gagner?	Mrais quoi, le faut-il plamdre ou l'on sait tant gagner?
Non, nõ, vous m’obligez de ſçauoirm’épargner La peine de vous perdre.	Non, notre, vous m'obligez de sçauoirm’épargner La peine de vous perdre.
LIMACON.	LIMAÇON.
Helas pauure Iſabelle?	Hélas pauvre Isabelle?
Quoy, le ſort eſt pour vous d’vne humeur ſi cruelle, Que vôtre Amant Doüillet vous eſt déja rauy?	Quoi, le sort est pour vous d'une humeur si cruelle, Que votre Amant Douillet vous est déjà ravi?
LEONOR.	LEONOR.
Que cét hõme a la vogue & qu’il eſt biẽ ſuiuy!	Que cet homme a la vogue et qu'il est bien suivi!
2 CENE IX.	2 CÈNE IX.
ROBIN déguiſé, POLEXANDRE, ARGINE, (SABELLE, LEONOR, LIMACON, NOSTRADAMVS, VNEXEMPT;	ROBIN déguisé, POLEXANDRE, ARGINE, (SABELE, LEONOR, LIMAÇON, NOSTRADAMUS, VNEXEMPT;
QVAIRE ARCHERS.	QUAIRE ARCHERS.
ROBIN.	ROBIN.
J’Ous m’allez mettre en pieces!	J'Ous m'allez mettre en pièces!
hé tout V beau ie vous paye.	hé tout V beaux cela vous paie.
LEXEMT T aAngine.	LEXEMT T aAngine.
Où le faut-il mener, à la Conciergerie?	Où le faut-il mener, à la Conciergerie?
Ou ſi voſtre chez vous deuiendra ſa priſon?	Ou si votre chez vous deviendra sa prison?
ARGINE.	ARGINE.
N’auroit-il point pour boire engagé ſa raiſon?	N'aurait-il point pour boire engagé sa raison?
ROBIN.	ROBIN.
Chere Argine, pardon, ie me cõfeſſe vn traître.	Chère Argine, pardon, Seigneur me confesse un traître.
ARGINE.	ARGINE.
Hé que m'auer vous faic.	Hé que m'aver vous faic.
LEONOR.	LEONOR.
D’où vous peut-il connoiſtre?	D'où vous peut-il connaître?
L’EXEMPT à Argine.	L'EXEMPT à Argine.
Hé quoy, voſtre bonté vous porte à l’excuſer, Apres que l’impudent oſa vous abuſer?	Hé quoi, votre bonté vous porte à l'excuser, Après que l'impudent osa vous abuser?
Vrayement vous n’auez pas dû faire vne dépence.	Vraiment vous n'avez pas dû faire une dépense.
Mais ces gens là ſont-ils de vôtre confidence?	Mais ces gens là sont-ils de votre confidence?
AROINE.	AROINE.
Acheuez, acheuez, Monſieur l’impertinent.	Achevez, achevez, Monsieur l'impertinent.
L’EXEMPT.	L'EXEMPT.
Ou vous n’auez pas dû me preſſer ſi ſouuent De voꝰ mebeva touutauiupeude mediſãce, Ou bié quãd ce gaillard eſt en vôtre puiſſance, Vous deuez ce me ſẽble en faire voſtre époux;	Ou vous n'avez pas dû me presser si souvent De v œubeva touutauiupeude médisance, Ou bié quãd ce gaillard est en votre puissance, Vous devez ce me sommes en faire votre époux;
A perdre vôtre argẽt quel plaiſir prenez vous?	À perdre votre argent quel plaisir prenez vous?
ROBIN.	ROBIN.
Qui vous oſta l’hõneur vousen doit recõpenſe, Argine, & ſans me faire inſulte & violence, Ie vous dois épouſer, & m’en deffendray mal, Me trouuant en vos mains par vn coup trop fatal.	Qui vous ôta l'honneur vousen doit recõpense, Argine, et sans me faire insulte et violence, Je vous dois épouser, et m'en défendrai mal, Me trouvant en vos mains par un coup trop fatal.
1 Pour eſtre entretenuë il ne faut qu’eſtre belle:	1 Pour être entretenue il ne faut qu'être belle:
Mais pour eſtre vne femme il faut eſtre fidelle, Et ſi lors qu’eſtant fil le on a porté ſon cœur, A ſçauoir de l’amour iuſqu’où va la douceur, Que ne peut-on point faire auſſi-toſt qu’on eſt femme, Et qu’on peut mieux trouuer dequoy couurir ſa flamme?	Mais pour être une femme il faut être fidèle, Et si lors qu'étant fil le on a porté son cœur, A sçauoir de l'amour jusqu'où va la douceur, Que ne peut-on point faire aussitôt qu'on est femme, Et qu'on peut mieux trouver dequoy couvrir sa flamme?
ARGINE.	ARGINE.
Ciel qu’il eſt effronté!	Ciel qu'il est effronté!
le fourbe!	le fourbe!
le menteur!	le menteur!
L’EXEMPT.	L'EXEMPT.
Excuſez-moy, Madame, il n’eſt que rauiſſeur.	Excusez-moi, Madame, il n'est que ravisseur.
LIMACON.	LIMAÇON.
Argine, vous alliez deuenir ma compagne:	Argine, vous alliez devenir ma compagne:
mrais puiique tonit honneur eſt encore en campagne, I’attendray ſon retour pour eſtre voſtre époux, Ne dûſſay je en amour que blãchir cõtre vous.	mrais puiique tonit honneur est encore en campagne, J'attendrai son retour pour être vôtre époux, Ne dussay je en amour que bleuchir cõtre vous.
Ideande.	Idande.
Ha le méchant Robin!	Ha le méchant Robin!
approchez, c’eſt luymetme Voyez?	approchez, c'est approche Voyez?
LEONOR.	LEONOR.
0 Qui l’auroit crû!	0 Qui l'aurait cru!
pourquoy ce ſtratageſme?	pourquoi ce stratagème?
ROBIN.	ROBIN.
2120 I'ay crû que Limaçon vous diroit ſeruiteur,, I’aime fort vne fille auecque ſon honneur, Et i’auois reſolu que dés la nuit prochaine.	2120 J'ai cru que Limaçon vous dirait serviteur, J'aime fort une fille avec son honneur, Et j'avais résolu que dès la nuit prochaine.
Ie viendrois enleuer Madame l’inhumaine.	Je viendrais enlever Madame l'inhumaine.
L’EXEMPT à ſes Archers.	L'EXEMPT à ses Archers.
Allons.	Allons.
ROBIN 40 Adieu, Meſſieurs, iuſqu’au ſoir s’il vous plaît, Qu’il faudra boire enſemble.	ROBIN 40 Adieu, Messieurs, jusqu'au soir s'il vous plaît, Qu'il faudra boire ensemble.
SCENE A.	SCÈNE A.
POLEXANDRE, ROBIN, LIMACON, NOSTRADAMVS, VN NOTAIRE, ARGINE, ISABELLE, LEONOR.	POLEXANDRE, ROBIN, LIMAÇON, NOSTRADAMUS, VN NOTAIRE, ARGINE, ISABELLE, LEONOR.
POLEXANDRE.	POLEXANDRE.
HE' bien tout eſt-il-preſt?	HÉ bien tout est-il-prêt?
LE NOTAIRE.	LE NOTAIRE.
Oüy, Monſieur, le contract eſt le mieux fait du monde.	Oui, Monsieur, le contrat est le mieux fait du monde.
En regardant Iſabelle.	En regardant Isabelle.
O que n’ay-je en dépoſt vne pareille blonde !	Ô que n'ai-je en dépôt une pareille blonde !
POLEXANDRE.	POLEXANDRE.
Courage, il entre en gouſt.	Courage, il entre en goût.
1	1
LE NOTAIRE.	LE NOTAIRE.
C 6	Ç 6
LIMACON à part.	LIMAÇON à part.
10 Polexandre en tient.	10 Polexandre en tient.
ISABELLE.	ISABELLE.
Non pas encor.	Non pas encor.
POLEXANDRE.	POLEXANDRE.
D’où vient?	D'où vient?
ISABELLE.	ISABELLE.
Hé!	Hé!
d’où viẽt que l’õ doit ce reſpect à ma tãte, De la faire ſigner la premiere?	d'où vien que l'on doit ce respect à ma tendre, De la faire signer la première?
ARGINE.	ARGINE.
Innocente!	Innocente!
ISABELLE.	ISABELLE.
Vous n’auez qu’à laiſſer de la place au deſſus, Pour mettre nos deux noms.	Vous n'avez qu'à laisser de la place au dessus, Pour mettre nos deux noms.
ARGINE en ſignant.	ARGINE en signant.
Hé bien n’en parlons plus.	Hé bien n'en parlons plus.
LIMACON.	LIMAÇON.
Vous eſcriuer lort bren.	Vous escriuer lort bren.
ISABELLE.	ISABELLE.
Me veut-on ſatisfaire?	Me veut-on satisfaire?
ARGINE.	ARGINE.
Que voudroit-elle encor?	Que voudrait-elle encor?
ISA BELLE.	ISA BELLE.
Voir ſigner le Notaire.	Voit signer le Notaire.
LE RORAAASI Madame, apres vous deux.	LE RORAASI Madame, après vous deux.
ISABELLE.	ISABELLE.
Soit la couſtume ou non, Obligez moy, qu’importe?	Soit la coutume ou non, Obligez moi, qu'importe?
LE NOTAIRE en ſignant.	LE NOTAIRE en signant.
Il eſt vray.	Il est vrai.
ISABELLE à part.	ISABELLE à part.
Bon, bon, bon.	Bon, bon, bon.
A Limaçon.	À Limaçon.
Voyez s’il écrit bien?	Voyez il écrit bien?
Lima çon prend le contract.	Lima çon prend le contrat.
ARGINE.	ARGINE.
ARGINE.	ARGINE.
Aduancez Eolexandre.	Aduancez Éolexandre.
LIMACON emportant le contract, & s'enfuyant auec I ſabelle chez Argine.	LIMAÇON emportant le contrat, et s'enfuyant avec I sabelle chez Argine.
Attendez, ie ne fay que monter & deſcendre.	Attendez, Madame ne fais que monter et descendre.
POLEXANDRE.	POLEXANDRE.
Il emmene Iſabelle!	Il emmène Isabelle!
ha traître allons apres,	ha traître allons après,
LE NOTAIRE.	LE NOTAIRE.
rour vous domner la peur ir ie rait tout exprés.	rour vous domner la peur ir ie rait tout exprès.
Demeurez là, vous dis-je, & ie prẽdray la fuite.	Demeurez -là, vous dis-je, et ainsi prenddrai la fuite.
BCLIE ANT POLEXANDRE, ROBIN, ARGINE, ISABELLE, LEONOR, NOSTRADAMVS.	BCLIE ANT POLEXANDRE, ROBIN, ARGINE, ISABELLE, LEONOR, NOSTRADAUS.
POLEXANDRE.	POLEXANDRE.
Qve diable eſt-ce icy donc?	Que diable est-ce ici donc?
ARGINE.	ARGINE.
Quoy l’on m’auroit ſeduite!	Quoi l'on m'aurait séduite!
Quoy tous deux enfermez!	Quoi tous deux enfermés!
mais que dois-je en penier?	mais que dois-je en pénier?
NOSTRADAMVS.	NOSTRADAMUS.
Rien, mon Maiſtre, n’eſt pas homme à vous offenſer	Rien, mon Maître, n'est pas homme à vous offenser
POLEXANDRE.	POLEXANDRE.
Hé!	Hé!
qu’ils ne ſont pas là pour enfiler des perles, Pour me rendre ſeruice, ou pour ſifler des merles.	qu'ils ne sont pas là pour enfiler des perles, Pour me rendre service, ou pour sifler des merles.
Ma femme eſt pour vn autre!	Ma femme est pour un autre!
on me l’oſe rauir!	on me l'ose ravir!
Qui reſerué moy-meſme a droit de s’en ſeruir!	Qui réservé moi-même a droit de s'en servir!
Croyom, croyons, pourtant que pour en eſtre en peine, Il faut auoir en teſte vne forte migraine.	Croisom, croyons, pourtant que pour en être en peine, Il faut avoir en tête une forte migraine.
ARGINE.	ARGINE.
I'en voudrois eſtre quite à quatre iours d’énuy,	J'en voudrais être quite à quatre jours d'ennui,
POLEXANDRE.	POLEXANDRE.
Vn contract fait pour moy peut-il l’eſtre pour luy 1 Ce n’eſt qu’vn jeu d’eſprit.	Un contrat fait pour moi peut-il l'être pour lui 1 Ce n'est qu'un jeu d'esprit.
ARGINE.	ARGINE.
Qui peut m’eſtre funeſte, Maſflamme eſt ſans eſpoir & ne ſert pas d’vn lentes	Qui peut m'être funeste, Masflamme est sans espoir et ne sert pas d'vn lentes
ROBIN.	ROBIN.
Hola, ma joye, hola, n’éclatez pas ſi fort, Moderez prés d’Argine vn ſi ioyeux tranſport, Si vous ne luy voulez faire vn cruel outfage.	Holà, ma joie, holà, n'éclatez pas si fort, Modérez prés d'Argine un si joyeux transport, Si vous ne lui voulez faire un cruel outhage.
SCENE AIIMACON, ISABELLE, ARGINE, LEONOR, POLEZANDRE, ROBIN, NOSTRADAMVS.	SCÈNE AIMACON, ISABELLE, ARGINE, LEONOR, POLEZANDRE, ROBIN, NOSTRADAMUS.
LIMACON.	LIMAÇON.
Vis-je vn mary Doüillet?	Vis-je un mari Doüillet?
ISABELLE.	ISABELLE.
Allons donc, ſoyez ſage,	Allons donc, soyez sage,
Mary!	Mari!
POLEXANDRE.	POLEXANDRE.
LIMACON.	LIMAÇON.
Peut-eſtre bien, Polexandre écoutez, Au deffaut du pouuoir i’ay des ſubtilitez, H ij Grace à deux bons amis, entre pluſieurs Nataires, I’ay ſçeu qui vous auiés chargé de vos affaires Ie luy parle, il me iure & m’engage ſa foy D’eſtre pour certain prix entierement pour moy, Et i’ay ſi bien trouué le foible du bon homme, Que voila mon cõtract en belle & bõne forme, L’ayant ſceu preparer à tous euenemens.	Peut-être bien, Polexandre écoutez, Au défaut du pouvoir j'ai des subtilités, H ajour Grâce à deux bons amis, entre plusieurs Nataires, J'ai su qui vous avez chargé de vos affaires Je lui parle, il me jure et m'engage sa faible D'être pour certain prix entièrement pour moi, Et j'ai si bien trouvé le faible du bon homme, Que voilà mon cõtract en belle et bonne forme, L'ayant sucu préparer à tous événements.
POLEXANDRE.	POLEXANDRE.
Adieu, ſortez, a dieu, mes tendres ſentimens, Si pour vous éuader i’ay trop peu d’ouuertures, Il en faut faire encore auecque des piqueures.	Adieu, sortez, a dieu, mes tendres sentiments, Si pour vous évader j'ai trop peu d'ouvertures, Il en faut faire encore auecque des piqueures.
Morbleu, peſte, morbleu, i’enrage tout viuant, Faut- il quiter ſa part d’vn objet ſi plaiſant?	Morbleu, peste, morbleu, j'enrage tout vivant, Faut- il quit sa part d'un objet si plaisant?
Contre mon deſeſpoir puis-je auoir vn azile Auprés de vos bontez?	Contre mon désespoir puis-je avoir un asile Auprès de vos bontés?
LIMACON à Argine.	LIMAÇON à Argine.
Puis qu’il m’eſt ſi faeile De me faire valoir le contract que voicy, De grace épargnez-vous la peine & le ſouoy, De combattre ſans fruit ma fortune naiſſante	Puis qu'il m'est si faeile De me faire valoir le contrat que voici, De grâce épargnez-vous la peine et le souoi, De combattre sans fruit ma fortune naissante
ARGINE.	ARGINE.
Venez, venez, ma niepce, embraſſer vôtre tãte.	Venez, venez, ma niepce, embrasser votre toujours.
ISABELLE.	ISABELLE.
Il en faut accuſer l’amour, & non pas moy, Quicõque eſt ſous ſes loix eſt-il maître de ſoy	Il en faut accuser l'amour, et non pas moi, Quiconque est sous ses lois est-il maître de soi
ARGINE.	ARGINE.
O que t'aime Roumn, & qu'ia bonnt minei	Ô que t'aime Roumn, et qu'ia bonnt minei
ROBIN.	ROBIN.
O qu’il n’eſt pas ſi ſot que d’épouſer Argine, Et la prendre au refus d’vn inſigne enjoleur!	Ô qu'il n'est pas si sot que d'épouser Argine, Et la prendre au refus d'un insigne enjôleur!
ARGINE.	ARGINE.
Mon trop de confiance a cauſé mon malheur, En liſant le contract i’éuitois la ſurprile;	Mon trop de confiance a causé mon malheur, En lisant le contrat j'éviterais la surprile;
Ha le chien de Notaire auec ſa barbe griſe!	Ha le chien de Notaire avec sa barbe grise!
POLEXANDRE.	POLEXANDRE.
Qui le crut honnente homme a dû s’y confier;	Qui le crut honnente homme a dû s'y confier;
Qui diable auroit iamais voulu ſe deffier, Qu’il euſt voulu trahir Polexandre, lui-méme?	Qui diable aurait jamais voulu se défier, Qu'il eût voulu trahir Polexandre, lui-même?
LEONOR.	LEONOR.
Ton Maiſtre eſt marié.	Ton Maître est marié.
NOSTRADAMVS.	NOSTRADAMUS.
Marions-nous de meſme, Melius eſt, dit-on, nubere quam vri, Ie ſuis remply d’amour, & veux eſtre mary.	Marions-nous de même, Mélius est, dit-on, nubère quam vry, Je suis rempli d'amour, et veux être mari.
ROBINà Argine.	ROBINà Argine.
Allez, vous meritez vn coup encor plus rude, Pour n’auoir eu pour moy que de l’ingratitude.	Allez, vous méritez un coup encor plus rude, Pour n'avoir eu pour moi que de l'ingratitude.
H iir	H jir
LIMACON.	LIMAÇON.
Contons ſon mariage, & foy d’homme d’honneur Ie vous vais en tous lieux queſter vn ſeruiteur.	Contons son mariage, et foi d'homme d'honneur Je vous vais en tous lieux quêter un serviteur.
ARGINE.	ARGINE.
Ne vous raillez-vous point?	Ne vous raillez-vous point?
LIMACON.	LIMAÇON.
C’eſt me faire vn outrage.	C'est me faire un outrage.
NOSTRADAMVS à Leonor.	NOSTRADAMUS à Leonor.
Ie croy que nous ferons enſemble vn bon ménage?	Je crois que nous ferons ensemble un bon ménage?
LEONOR.	LEONOR.
Il ne tiendra qu’à toy.	Il ne tiendra qu'à toi.
NOSTRADAMVS.	NOSTRADAMUS.
I'en doy donc dire autant.	J'en dois donc dire autant.
LIMACON.	LIMAÇON.
Allons donc vn peu voir comme eſt fait ſon uigent?	Allons donc un peu voir comme est fait son uigent?
POLEXANDRE à Iſabelle.	POLEXANDRE à Isabelle.
Adieu cruelle, adieu, puis qu’il faut que i’expire, pour la derniere fois ſouffrez moy vous la dire.	Adieu cruelle, adieu, puis qu'il faut que j'expire, pour la dernière fois souffrez moi vous la dire.
NOSTRADAMVS à Iſabelle.	NOSTRADAMUS à Isabelle.
que vous Ientez la femme.	que vous Jentez la femme.
POLEXANDRE.	POLEXANDRE.
O que doit eſtre heureux, Ce peus prendre duce ene vas plullli amoureux!	Ô que doit être heureux, Ce peus prendre duce ene vas plullli amoureux!
ROBIN.	ROBIN.
Ie croy qu’à la meilleure on feroit grace entiere, De la donner aux chiens pour ſeruir de litiere, Encor pour s’en ſeruir faudroit-il les prier.	Je crois qu'à la meilleure on ferait grâce entière, De la donner aux chiens pour servir de litière, Encor pour s'en servir faudrait-il les prier.
POLEXANDRE.	POLEXANDRE.
Si le ſort leur deſtine vn ſemblable gibier, Ie voudrois eſtre chien, dûſſay-je aller nuteſte, Et mettre mon bon heur à n’eſtre qu'vne beſte.	Si le sort leur destine un semblable gibier, Je voudrais être chien, dussé-je aller nuteste, Et mettre mon bon heur à n'être qu'une bête.
Fin du troiſiéme, & dernier Acte.	Fin du troisième, et dernier Acte.
