Suiuant la Copie imprimée	Suivant la Copie imprimée
Le Roy, tout Roy qu’il eſt, Seigneur, n’eſt pas mon maiſtre, Et le ſang de Laius, dont j’eus l’honneur de naiſtre, Diſpenſe trop mon cœur de receuoir la loy D’un trône que ſa mort n’a dû laiſſer qu’à moy.	Le Roi, tout Roi qu'il est, Seigneur, n'est pas mon maître, Et le sang de Laius, dont j'eus l'honneur de naître, Dispense trop mon cœur de recevoir la loi D'un trône que sa mort n'a dû laisser qu'à moi.
Mais comme enfin le peuple & l’Hymẽ de ma mere Ont mis entre ſes mains le ſceptre de mon pere, Et qu’en ayant ici toute l’authorité, Ie ne puis rien pour vous contre la volonté;	Mais comme enfin le peuple et l'Hymẽ de ma mère Ont mis entre ses mains le sceptre de mon père, Et qu'en ayant ici toute l'autorité, Je ne puis rien pour vous contre la volonté;
Pourra-t’il trouuer bon qu’on parle d’Hymenée Au milieu d’vne ville à perir condamnée.	Pourra-t-il trouver bon qu'on parle d'Hyménée Au milieu d'une ville à périr condamnée.
Où le courroux du Ciel, changeant l’air en poiſon, Donne lieu de trembler pour toute ſa maiſon?	Où le courroux du Ciel, changeant l'air en poison, Donne lieu de trembler pour toute sa maison?
Madame.	Madame.
MEGARE.	MÉGARE.
Elle luy parle à l'oreille:	Elle avait parle à l'oreille:
DIRCE.	DIRCE.
Adieu, Seigneur, la Reine qui m’appelle M’oblige à vous quitter pour me rendre aupres s'elle, Et d’ailleurs le Roy vient.	Adieu, Seigneur, la Reine qui m'appelle M'oblige à vous quitter pour me rendre auprès s'elle, Et d'ailleurs le Roi vient.
THESEE.	THESEE.
Que ferai-ie ?	Que ferai-je ?
DIRCE.	DIRCE.
Parlez, Ie ne puis plus pouvoir que ce que vous voulez.	Parlez, Je ne puis plus pouvoir que ce que vous voulez.
SCENE II.	SCÈNE II.
OEDIPE, THESEE, CLEANTE.	OEDIPE, THESEE, CLEANTE.
OEDIPE.	OEDIPE.
U milieu des malheurs que le Ciel nous enIA uoye, Prince, nous croiriez-vous capables d’vne joye, Et que nous voyant tous ſur les bords du tombeau, Nous peuſſions d’vn Hymen allumer le flambeau?	V milieu des malheurs que le Ciel nous enIA voie, Prince, nous croiriez-vous capables d'une joie, Et que nous voyant tous sur les bords du tombeau, Nous peussions d'un Hymen allumer le flambeau?
E cicchequel lu lanonpeue eltie, ce la llature, Mais mõ ame en ſecret s’en forme vn doux augure, Que Delphes, dont j’attens réponſe en ce moment, M’enuoîra de nos maux le plein ſoulagement.	EX cicchequel lu lanonpe elletie, ce la lature, Mais mon âme en secret s'en forme doux augure, Que Delphères, dont j'attends réponse en ce moment, M'enuoîra de nos maux le plein soulagement.
THESEE.	THESEE.
Seigneur, ſi j’auois creu que parmy tant de larmes La douceur d’vn Hymen peuſt avoir quelques charMlesy Que vous en euſſiez pû ſupporter le deſſein, Ie vous aurois fait voir vn beau feu dans mon ſein, Et tâché d’obtenir cet aueu favorable, Qui peut faire vn heureux d’vn amant miſerable.	Seigneur, si j'avais cru que parmi tant de larmes La douceur d'un Hymen pût avoir quelques charMlesy Que vous en eussiez pu supporter le dessein, Je vous aurais fait voir un beau feu dans mon sein, Et tâché d'obtenir cet aveu favorable, Qui peut faire un heureux d'un amant misérable.
OEDIPE.	OEDIPE.
Ie l’avois bien jugé, qu’un intereſt d’amour Fermoit icy vos yeux aux perils de ma Cour:	Je l'avais bien jugé, qu'un intérêt d'amour Fermait ici vos yeux aux périls de ma Cour:
Mais ie croirois me faire à moy meſme vn outrage, Si ie vous obligeois d’y tarder dauantage, Et ſi trop de lenteur à ſeconder vos feux Hazardoit plus long-temps vn cœur ſi genereux.	Mais ie cruoirais me faire à moi -même un outrage, Si ie Vous obligeais d'y tarder davantage, Et si trop de lenteur à seconder vos feux Hasardait plus longtemps un cœur si généreux.
Le mien ſera rauy que de ſi nobles chaiſnes Vniſſent	Le mien sera ravi que de si nobles chaînes Unissent
Vniſſent les Eſtats de Thebes & d’Athénes, Vous n’auez qu’à parler, vos vœux ſont exaucez, Nommez ce cher objet, grand Prince, & c’eſt aſſez, Vn gendre tel que vous m’eſt plus qu’vn nouueau trône, Et vous pouuez choiſir d’Iſmene, ou d’Antigone, Car ie n’oſe penſer que le fils d’vn grand Roy, Vn ſi fameux Heros, aime ailleurs que chez moy, Et qui veuille en ia Cour, au mepris de mes filles, Honorer de ſa main de communes familles.	Unissent les États de Thèbes et d'Athénes, Vous n'avez qu'à parler, vos vœux sont exaucez, Nommez ce cher objet, grand Prince, et c'est assez, Venn gendre tel que vous m'est plus qu'Han nouueau trône, Et vous pouvez choisir d'Ismene, ou d'Antigone, Car je n'ose penser que le fils d'un grand Roi, Un si fameux Héros, aime ailleurs que le moi, Et qui veuille en ja Cour, au mépris Honorer de mes, Honorer de sa main de communes familles.
1 2.	1 2.
THESEE.	THESEE.
Seigneur, il eſt tout vray, j’aime en voſtre palais, Chez vous eſt la beauté qui fait tous mes ſouhaits, Vous l’aimez à l’égal d’Antigone, & d’Iſmene, Elſe tient melme rang chez vous, & chez la Reine, En vn mot c’eſt leur ſœur, la Princeſſe Dircé, Dont les yeux.	Seigneur, il est tout vrai, j'aime en votre palais, Chez vous est la beauté qui fait tous mes souhaits, Vous l'aimez à l'égal d'Antigone, et d'Ismene, Else tient melme rang chez vous, et chez la Reine, En un mot c'est leur sœur, la Princesse Dircé, Dont les yeux.
OEDIPE.	OEDIPE.
Quoy, ſes yeux, Prince, vous ontbleſſé?	Quoi, ses yeux, Prince, vous ontblessé?
de Iuiviuene poun vous que la Remc la ſicre Ait ſçeu vous préuenir pour vn fils de ſon frere, Ma parole eſt donnée, & ie n’y puis plus rien, Mais ie croy qu’apres tout ſes ſœurs la valent biens	de Iuiviuene poun vous que la Remc la sicre Ait sçeu vous prévenir pour un fils de son frère, Ma parole est donnée, et même n'y puis plus rien, Mais je crois qu'après tout ses sœurs la valent biens
THESEE.	THESEE.
Dircé, ſi vous voulez, n’a rien de comparable, Elles ſont l’vne & l’autre vn chef d’œuure des Cieux;	Dircé, si vous voulez, n'a rien de comparable, Elles sont l'une et l'autre un chef d'œuvre des Cieux;
Mais où le cœur eſt pris, on charme en vain les ycux.	Mais où le cœur est pris, on charme en vain les ycux.
Si vous auez aimé, vous auez ſçeu cognoiſtre Que l’Amour de ſon choix veut eſtre le ſeul maiſtre;	Si vous avez aimé, vous avez su connaître Que l'Amour de son choix veut être le seul maître;
Que s’il ne choiſit pas toûjours le plus parfait, Il attache du moins les cœurs au choix qu’il fait, Et qu’entre cent beautez dignes de noſtre hommage, Celle qu’il nous choiſit plaiſt toûjours dauantage, Ce n’eſt pas offencer deux ſi charmantes ſœurs, Que voir en leur aiſnée auſſi quelques douceurs.	Que s'il ne choisit pas toujours le plus parfait, Il attache du moins les cœurs au choix qu'il fait, Et qu'entre cent bontés dignes de notre hommage, Celle qu'il nous choisit plaît toujours davantage, Ce n'est pas offenser deux si charmantes sœurs, Que voir en leur aînée aussi quelques douceurs.
I’auoûray, s’il le faut, que c’eſt vn pur caprice, Vn pur aueuglement qui leur fait injuſtice;	J'aurai, s'il le faut, que c'est un pur caprice, Un pur aveuglement qui leur fait injustice;
Mais ce ſeroit trahir tout ce que ie leur doy, (moy.	Mais ce serait trahir tout ce que je leur dois, (moi.
Que leur promettre vn cœur quand il n'eſt plus à	Que leur promettre un cœur quand il n'est plus à
OEDIPE.	OEDIPE.
Mais c’eſt m’offencer, moy, Prince, que de pretendre (gendre.	Mais c'est m'offenser, moi, Prince, que de prétendre (gendre.
A des honnéurs plus hauts que le nom de mon Ie veux toutefois eſtre encor de vos amis, Mais ne demandez plus vn bien que j’ay promis, Ie vous l’ay dèja dit, que pour cet Hymenée Aux vœux du Prince Æmon ma parole eſt donnes, Vous auez attendu trop tard à m’en parler, Et ie-vous offre aſſez dequoy vous conſoler, La parole des Rois doit eſtre inuiolable.	À des honnéurs plus hauts que le nom de mon Je veux toutefois était encor de vos amis, Mais ne demandez plus un bien que j'ai promis, Je vous l'ai dèja dit, que pour cet Hyménée Aux vœux du Prince Æmon ma parole est donnes, Vous auez attendu trop tard en parler, Et ie-vous offre assez dequoy vous consoler, La parole des Rois doit être inviolable.
THESEE.	THESEE.
Elle eſt toûjours ſacrée, & toûjours adorable, Mais ils ne ſont iamais eſclaues de leur voix, Et le plus puiſſant Roy doit quelque choſe aux Rois.	Elle est toujours sacrée, et toujours adorable, Mais ils ne sont jamais esclaues de leur voix, Et le plus puissant Roi doit quelque chose aux Rois.
Reuier la parole à leur juite pllere, C’eſt honorer en eux ſon propre caractere, Et ſi le Prince Æmon oſe encor vous parler, Vous luy pouuez offrir dequoy ſe conſoler.	Revier la parole à leur juite plère, C'est honorer en eux son propre caractère, Et si le Prince Æmon ose encor vous parler, Vous lui pouuez offrir dequoy se consoler.
OE DIPE.	ÔE DIPE.
Quoy, Prince, quand les Dieux tiennent en main leur foudre, (dre, Qu’ils ont le bras leué pour nous reduire en pouI’Oſeray violer vi feiſſſent lolemeDont j’ay pris en témoin leur pouuoir eternel?	Quoi, Prince, quand les Dieux tiennent en main leur foudre, (dre, Qu'ils ont le bras leué pour nous réduire en pouIIserai violer vi vissent lolèmeDont j'ai pris en témoin leur pouvoir éternel?
THESEE.	THESEE.
C’eſt pour vn grand Monarque auoir bien du ſcrupule.	C'est pour un grand Monarque avoir bien du scrupule.
OED IPE.	ÔD IPE.
C’eſt en voſtre faueur eſtre vn peu bien credule, De preſumer qu’vn Roy, pour contenter vos yeux, Veüille pour ennemis les hommes & les Dieux.	C'est en votre faveur être un peu bien crédule, De présumer qu'un Roi, pour contenter vos yeux, Veuille pour ennemis les hommes et les Dieux.
THESEE.	THESEE.
Ie n'ay qu’vn mot à dire apres vn ſi grand zele.	Je n'ai qu'un mot à dire après un si grand zèle.
Quand vous donnez Dircé, Dircé ſe donne t’elle?	Quand vous donnez Dircé, Dircé se donne t'elle?
OE DI	ÔE DI
OEDIPE.	OEDIPE.
Elle ſçait ſon deuoir.	Elle sait son devoir.
THESEE.	THESEE.
Sçauez-vous quel il eſt?	Savez-vous quel il est?
OE DIPE.	ÔE DIPE.
L’auroit-eile regle furdunt vortre intereie?	L'aurait-el le furdunt vortre intereie?
A me deſobeïr l’auriez-vous reſoluë?	À me désobéir l'auriez-vous résolue?
THESEE.	THESEE.
Non, ie reſpecte trop la puiſſance abſoluë, Mais lors que vous voudrez ſans elle en diſpoſer, N’aura-t’elle aucun droit, Seigneur, de s’excuſer?	Non, Se respecte de la puissance absolue, Mais lors que vous voudrez sans elle en disposer, N'aura-t-elle aucun droit, Seigneur, de s'excuser?
OEDIPE.	OEDIPE.
Le temps vous fera voir ce que c’eſt qu’une excuſe.	Le temps vous fera voir ce que c'est qu'une excuse.
THESEE.	THESEE.
Le temps me fera voir juſques où ie m’abuſe;	Le temps me fera voir jusques où tu m'abuse;
Et ce ſera luy ſeul qui ſçaura m’éclaircir De ce que pour Æmon vous ferez reüſſir.	Et ce sera ici seul qui saura m'éclaircir De ce que pour Æmon vous ferez réussir.
Ie porte peu d’enuie à ſa bonne fortune:	Je porte peu d'envie à sa bonne fortune:
Mais ie commence à voir que ie vous importune, Adieu, faites, seigneui, de grace, vn juſte choix, Et ſi vous eſtes Roy, conſiderez les Rois.	Mais était commence à voir que je vous importune, Adieu, faites, seigneui, de grâce, cette choix, Et si vous êtes Roi, considérez les Rois.
e penua lrre OE DIPE, CLEANTE.	eu penua lrre ŒE DIPE, CLEANTE.
OEDIPE.	OEDIPE.
I ie ſuis Roy, Cleante, & que me croit-il eſtre?	I ie suis Roi, Cléante, et que me croit-il être?
O Cet amant de Dircé déja me parle en maiſtre, Voy, voy ce qu’il feroit s’il eſtoit ſon eſpoux.	Ô Cet amant de Dircé déjà me parle en maître, Vois, vois ce qu'il ferait s'il était son époux.
CLEANTE.	CLÉANTE.
Seigneur, vous auez lieu d’en eſtre vn peu jaloux, Cette Princeſſe eſt fiere, & comme ſa naiſſance Croit auoir quelque droit à la toute-puiſſance, Tout eſt au deſſous d’elle à moins que de regner, Et ſans doute qu’Æmon s’en verre dédaignet.	Seigneur, vous avez lieu d'en être un peu jaloux, Cette Princesse est fête, et comme sa naissance Croit avoir quelque droit à la toute-puissance, Tout est au dessous d'elle à moins que de régner, Et sans doute qu'Hon s'en verre dédaignet.
OEDI	ÔÉDI
OEDIPE.	OEDIPE.
Le ſang a peu de droits dans le ſexe imbecille, Mais c’eſt un grand pretexte à troubler une ville, Et lors qu’un tel orgueil ſe fait vn fort appuy, Le Roy le plus puiſſant doit tout craindre de luy.	Le sang a peu de droits dans le sexe imbecille, Mais c'est un grand prétexte à troubler une ville, Et lors qu'un tel orgueil se fait un fort appui, Le Roi le plus puissant doit tout craindre de tour.
Toy qui né dans Argos, & nourry dans Mycénes, Peux eſtre mal inſtruit de nos ſecrettes haines, Voy-les juſqu’en leur ſource, & juge entre elle & moy, Si ie regne ſans tiltre, & ſi j’agis en Roy.	Toi qui né dans Argos, et nourri dans Mycénes, Peux-même mal instruit de nos secrètes haines, Voi-les jusqu'en leur source, et juge entre elle et moi, Si chang règne sans titre, et si j'agis en Roi.
On t’a parlé du Sphinx, dont l’Enigme funeſte Ouvrit plus de tombeaux que n’en ouure la peſte.	On t'a parlé du Sphinx, dont l'Enigme funeste Ouvrit plus de tombeaux que n'en ouvre la peste.
Ce Monſtre à voix humaine, Aigle, femme, & lyon, Se campoit fierement ſur le mont Cytheron, D’où chaque iour icy devoit fondre ſa rage, A moins qu’on éclairciſt un ſi ſombre nuage, Ne porter qu’un faux jour dans ſon obſcurité, C’eſtoit de ce Prodige enfler la cruauté, Et les membres épars des mauuais interpretes Ne laiſſoiẽt dãs ces murs que des bouches muëttes.	Ce Montre à voix humaine, Aigle, femme, et lyon, Se campait fièrement sur le mont Cynteron, D'où chaque jour ici devait fondre sa rage, A moins qu'on éclaircît un si sombre nuage, Ne porter qu'un faux jour dans son obscurité, C'était de ce Prodige enfler la cruauté, Et les membres épars des mauvais interprètes Ne laissoiẽt dans ces murs que des bouches muëttes.
Mais comme aux grands perils le ſalaire en hardit, Le peuple offre le ſceptre, & la Reine ſon lit?	Mais comme aux grands périls le salaire en hardit, Le peuple offre le sceptre, et la Reine son lit?
