ECTIEIOE LTTDETEVTE PERSECVTEE TRAGI-COMEDIE.	ECTIEIOE LTTDETEUTE PERSÉCUTE -THRAGICOMÉDIE.
LIGDAMIS.	LIGDAMIS.
Approche;	Approche;
connois tu cette ieune beauté Qui fuit d’un pas ſi viſte, & ſi precipité?	connais -tu cette jeune beauté Qui fuit d'un pas si vite, et si précipité?
I Oüy mon prince.	I Oui mon prince.
HEAGE.	HÉAGE.
LIGDAMIS.	LIGDAMIS.
Peux iume fenare vn bon office?	Peux jume fenare un bon office?
THEAGE.	THÉGE.
Pouuez-vous bien Seigneur douterde mon ſeruice?	Pouvez-vous bien Seigneur douterde mon service?
Ay-je manqué iamais de Zele, ny d’ardeurs Arendre:	Ai-je manqué jamais de Zèle, ni d'ardeurs Arendre:
is deuoirs qu’on doit à vos grandeurs?	Y devoirs qu'on doit à vos grandeurs?
Non non, me voila preſt de ſuiure voſtre enuie Etpource meſme ſoint expoſerois mavie, Dites moy ſeulement quel eſt voſtre deſſein.	Non non, me voilà prêt de suivre votre envie Épource même soint exposerais mavie, Dites moi seulement quel est votre dessein.
LIGDAMIS.	LIGDAMIS.
Deſtonſfen onvrasti quii cmorase te ſein.	Détonsfen onvrâti quii cmorase te sein.
THEAGE.	THÉGE.
Que dites vous bons dieux!	Que dites -vous bons dieux!
quelle eſt cette entre	quelle est cette entre
priſe?	prise?
LIGDAMIS.	LIGDAMIS.
IRcim tout mon ueſſeinm eſt que d'aymer Orphiſe.	JRcim tout mon uesseinm est que d'aimer Oréphise.
THEAGE.	THÉGE.
Si deuez vous pourtant vous propoſer vn point Oùbuttent vos deſirs ou vous ne l’aymez point.	Si devez -vous pourtant vous proposer un point Oùbuttent vos désirs ou vous ne l'aimez point.
LIGDAMIS.	LIGDAMIS.
Ie l’adore Theage, & mon amour eſt telle Que ie ſuis reſolu de me perdre pourelle, Si tu ne vaincs pour moy ſon obſtination.	Je l'adore Théage, et mon amour est telle Que tu suis résolu de me perdre pourelle, Si tu ne vaincs pour moi son obstination.
HEAGE.	HÉAGE.
Mais quel ſera le fruït de voſtre paſſion:	Mais quel sera le fruit de votre passion:
Car ſi vous deſtrez de poſſeder Orphiſe, Comment à vos deſir ſera t'elle ſoubmiſe;	Car si vous destrez de posséder Orphise, Comment à vos désir sera t'elle soumise;
Si toutes vos grandeurs neſçauroient obtenir Les moyens de la voir, ny de l’entretenir:	Si toutes vos grandeurs nesçauroient obtenir Les moyens de la voir, ni de l'entretenir:
Peut-eſtre que flatté d’vne ſi belle amorce Où l’amour manquera, vous employrez, la force;	Peut-être que flatté d'une si belle amorce Où l'amour manquera, vous employrez, la force;
Mais de grace (Seigneur) ſi ce laſche deſſein Ceſt inſenſiblement gliſſé dans voſtre ſein, Songez que les effets de cette iouïſſance Sont indignes de vous, & de voſtre naiſſance;	Mais de grâce (SSigneur) si ce lâche dessein Cest insensiblement glissé dans votre sein, Songez que les effets de cette jouissance Sont indignes de vous, et de votre naissance;
Conſiderez qu’vn iour le ſceptre des Thebains Doit eſtre l’ornement de vos auguſtes mains, Et que voſtre renom ſera bien moins illuſtre Si quelque violence en efface le luſtre Ah!	Considérez qu'vn jour le sceptre des Thébains Doit être l'ornement de vos augustes mains, Et que votre renom sera bien moins illustre Si quelque violence en efface le lustre Ah!
grand Prince euitez la noire impreſſion Que donnera de vous cette vile action, Si de voſtre raiſon vnenfant ſe rend maiſtre Sur le point glorieux que vous allez paroiſtre;	grand Prince évitez la noire impression Que donnera de vous cette vile action, Si de votre raison unenfant se rend maître Sur le point glorieux que vous allez paraître;
Le ſotetln aiamais vn iſage rianf Q uand vn brouïllard eſpais couure ſon orient L’eſclat de ſes rayons ſe perd dans le nuage, Et ſa foible lumiere eſt de mauuais preſage.	Le sotetl aiamais un isage rians Q uand un broullard épais couvre son orient L'éclat de ses rayons se perd dans le nuage, Et sa faible lumière est de mauvais présage.
LIGDAMIS.	LIGDAMIS.
Ah!	Ah!
que ie voudrois bien que le ſort rigoureux M’euſtrendu moins puiſſant, ie ſerois plus heureux Et l’inegalité qui fait qu’on me meſpriſe Ne m'empeſcheroit pas de poſſeder Orphiſe N’impõrte ſi tu ſçais le cheminde ſoncœur Cher Theage adoucis l’excez de ſarigueur, Prepare ſon eſprit, & ſouffle dans ſon ame Les premieres ardeurs de manaiſſante flame, Exerce ton adreſſe a vaincre ſes meſpris Et croy qu’vne autre Orphiſe en doit eſtre le prix.	que ici voudrais bien que le sort rigoureux M'eustrendu moins puissant, Seigneur serais plus heureux Et l'inégalité qui fait qu'on me méprise Ne m'empêcherait pas de posséder Orphise N'imprte si tu sais le cheminde soncœur Cher Théage adoucis l'excès de sarigueur, Prépare son esprit, et souffle dans son âme Les premières ardeurs de manaissante flamme, Exerce ton adresse a vaincre ses mépris Et croy qu'une autre Orphise en doit être le prix.
THEAGE.	THÉGE.
Ie ne diſpoſe pas des volontez d’Orphiſe Cette belle à ſon gré gouuerne ſa franchiſe Et ce diuinobjet de vos affections Ne fait point par mes yeux ſes inclinations;	Je ne dispose pas des volontés d'Orphise Cette belle à son gré gouverne sa franchise Et ce divinobjet de vos affections Ne fait point par mes yeux ses inclinations;
Sa bonte ſeulement ſouffre que mes viſites M’acquittent du deuoir qu’on doit à ſes merites Et comme elle me void touſiours dans le reſpect Mon abord n’eſt iamais importun, ny ſuſpect mucerc quducqeuuo muuc uueruue pour aene Ie borne mes deſſeins au bon-heur de ſa veuë Et par fois monouye eſt celuy de mes ſens Qui gouſte auec mes yeux ces plaiſirs innocens.	Sa bonté seulement souffre que mes visites M'acquittent du devoir qu'on doit à ses mérites Et comme elle me voit toujours dans le respect Mon abord n'est jamais importun, Seigneur suspect mucerc quducqeuuo muc uueruue pour aene Je borne mes desseins au bonheur de sa vue Et par fois monouye est celui de mes sens Qui goûte avec mes yeux ces plaisirs innocents.
LIGDAMIS.	LIGDAMIS.
Quoyprez de tant d’attraits ton ame peu ſenſible Garde malgre ſes yeux le tiltre d’inuincible?	Quoiprez de tant d'attraits ton âme peu sensible Garde malgré ses yeux le titre d'invincible?
Iu lavois, tu l’entens, & ſa rare beauté Dans ſes ſers glorieux ne t’a pas arreſté?	Ju lavais, tu l'entends, et sa rare beauté Dans ses sers glorieux ne t'a pas arrêté?
Eſt-ce qu’a ſon pouuoir tu t’es montré rebelle?	Est-ce qu'a son pouvoir tu t'es montré rebelle?
Oubien qu'elle aiugé tes vœux indignes d’elle?	Oubien qu'elle aiugé tes vœux indignes d'elle?
Theage aſſeurement ce chef-d’œuure des Cieux	Thage assurément ce chef-d'œuvre des Cieux
Ne reçoit point d'encens que dela main des Deiux, Toutesfois ſitu veux me conſeruer la vie Accorde maintenant tes ſoins à mon enuie Voy ma Reine, & luy dy l’excez de mon amour Qu'elle peut me donner, ou me rauir le iour Et que ma paſſion à des flames ſi ſaintes Que la meſme vertu les verroit ſans contraintes, Dy luy que i'ayme mieux me rangerſoubs ſes loix Que d’adreſſer mes vœux à des filles de Roys Qu’a ſon occaſion ie meſpriſé Helione Et qu'enfin ie prefere Orphiſe à ſacouronne.	Ne reçoit point d'encens que déla main des Déjux, Toutefois situ veux me conserver la vie Accorde maintenant tes soins à mon envie Vois ma Reine, et ainsi dy l'excès de mon amour Qu'elle peut me donner, ou me ravir le jour Et que ma passion à des flammes si saintes Que la même vertu les verrait sans contraintes, Dis ainsi que j'aime mieux me rangersoubs ses lois Que d'adresser mes vœux à des filles de Rois Qu'a son occasion ie méprisé Hélione Et qu'enfin une préfère Orphise sans saurait.
THEAGE.	THÉGE.
Puis qu’a ce beau deſſein vous eſtes reſolu, Et que vous le voulez d’vn empire abſolu;	Puis qu'a ce beau dessein vous êtes résolu, Et que vous le voulez d'un empire absolu;
D° Pergarp Mixmaasde ejrmenmnete.	DE Pergarp Mixmade éjrmennete.
Dont l’humeur à vos vœux eſt ſi peu fauorable, Et ſi quelque raiſon peut vaincre ſa rigueur, Ie vous prepareray le cheminde ſon cœür.	Dont l'humeur à vos vœux est si peu favorable, Et si quelque raison peut vaincre sa rigueur, Je vous préparerai le cheminde son cœuir.
LIGD'AMIS.	LIGD'AMIS.
Mes ſoins enuers ma ſœur te rendront la pareille Theage va flechir cette ieune merueille I'attens de ton eſprit mon bon, ou mauuais ſort.	Mes soins envers ma sœur te rendront la pareille Théage va fléchir cette jeune merveille J'attends de ton esprit mon bon, ou mauvais sort.
THEAGE.	THÉGE.
s’en allant.	s'en allant.
Et moy dece deſſein it n'attens que la mort.	Et moi déce dessein it n'attends que la mort.
ACTE II.	ACTE II.
FTMTIMII LLEPREMIERE ORPHISE.	FTMTIMII LLÉPREMIÈRE ORPHISE.
THEAGE.	THÉGE.
E ORPHLSE.	 ERPHLSE.
Voy Theage eſt-ce ainſi que tu cheris Orphiſe?	Vois Thage est-ce ainsi que tu chéris Orphise?
122  Ou pluſtoſt eſt-ce ainſi que ton cœur la MoNe meſpriſe, 2 Ouyouy, ſuytes deſſeins, tũ peux m’abandonner;	122 Ou plustost est-ce ainsi que ton cœur la MoNe méprise, 2 Ouyouy, suis desseins, to peux m'abandonner;
Auſſi bien n’ay le point de ſceptre à te donner;	Aussi bien n'ai le point de sceptre à te donner;
Puis que ie ne ſuis pas ãſſeZ conſiderable, Adorè Zaralinde, elle eſt bien plus àymable, Va deſſus les debris de noſtre affection Eſtablir ſon amour, & ton ambition, Rour moy ſans m'eſleuer plus h'ault que ma naiſſance Ie voids auec m'eſpris te trône & ſa puiſſance Et ie hays le ſejour des ſuperbes Pâlais Commé des lieux qui ſont ennemis de la paix.	Puis que ie ne suis pas anssés considérable, Adorè Zaralinde, elle est bien plus àymable, Va dessus les débris de notre affection Établir son amour, et ton ambition, Rour moi sans m'élever plus hault que ma naissance Je voits té mépris te trône et sa puissance Et ici hais le séjour des superbes Pâlais Commé des lieux qui sont ennemis de la paix.
Voy Theage combien ton amitié m'oblige Dè n offri dis preſens dont le luſtre m’afflige, A.	Vois Thage combien ton amitié m'oblige Dées n offri dis presens dont le lustre m'afflige, A.
Mais voycombien i'eſutis indigne de bienfaits Puis que tu reconngis le mefpris quet'en faits, Et que pour le loyer de tant de bienueillance Mon amour offencé t'impoſe le ſilence:	Mais voiscombien j'esutis indigne de bienfaits Puis que tu reconngis le mépris quet'en faits, Et que pour le loyer de tant de bienveillance Mon amour offensé t'impose le silence:
ITLINJS Dete fauoriſer du prix qu’il t’a promis.	ITLINJS Dete favoriser du prix qu'il t'a promis.
PHEAGE.	PHÉGE.
Vos plaintes me blâmant de ce mauuais office Ont beaucoup d’eloquence, & fort peu de iullice, Si vous conſiderez, qu'un abſolu pouuoir.	Vos plaintes me blammant de ce mauvais office Ont beaucoup d'éloquence, et fort peu de jullice, Si vous considérez, qu'un absolu pouvoir.
A forcé mon amour de ceder au deuoir, Et que contre mongré i’aycommis cette offence Moins par ambition, que par obeïſſance.	À forcé mon amour de céder au devoir, Et que contre mongré j'aicommis cette offense Moins par ambition, que par obéissance.
Le Prince Ligdamis ignorant que l’amour M’obligeoit commeluy de vous faire la cour, Apres m'auoirouuert les ſecrets de ſon ame M'a demandé ſecours en l'ardeur de ſa flame, Si bien qu'eſtãs tous deux atteints de meſmes maux Nous nous ſommes trouuez confidens, & riuaux, Mastunque cans montaurmo adeur fuſtput ſante, Elle n'oſa choquercette flame naiſſante;	Le Prince Ligédamis ignorant que l'amour M'obligeait commelui de vous faire la cour, Apres m'avoirouvert les secrets de son âme M'a demandé secours en l'ardeur de sa flamme, Si bien qu'étant tous deux atteints de mêmes maux Nous nous sommes trouvez confidents, et rivaux, Mastunque cants montaurmo adeur fûtput santé, Elle n'osa choquercette flamme naissante;
Et comme les plus grands ont droit de commander, Le rang de Ligdamis m'a çontraintde ceder.	Et comme les plus grands ont droit de commander, Le rang de Ligdamis m'a çontraintde céder.
Vrayment cette contrainte eſt douce, & ſe uorable:	Vraiment cette contrainte est douce, et se orable:
Qui ſe fait parles yeux d’vn'objet adorable:	Qui se fait parles yeux d'objet adorable:
Et que ne peuuent pas deſſus vn foible cœur L'authorité d’vn frere, & l'amour d’vneſœur.	Et que ne peuvent pas dessus un faible cœur L'autorité d'un frère, et l'amour d'unesœur.
THEAGE.	THÉGE.
Le deuoir, non l’amour a fait agir ma langue Quand elle a proferé ſa facheuſeharangue, Et maintenant l’amour plus fort que le deuoir Me range pouriamais deſſous voſtre pouuoir I'ay ſuiuy iuſqu'icy les volontez d’vn prince Qui regne en ſouuerain dedans cette Rrouince, Mais puis que vos beaux yeux ſont mes dieux, & mes roys Ie ne veux deſormais receuoin d'autres loix:	Le devoir, non l'amour a fait agir ma langue Quand elle a proféré sa fâcheuseharangue, Et maintenant l'amour plus fort que le devoir Me range pouriamais dessous votre pouvoir J'ai suivi jusqu'ici les volontés d'un grince Qui règne en souverain dedans cette Rouince, Mais puis que vos beaux yeux sont mes dieux, et mes rois Je ne veux désormais receuoin d'autres lois:
Que le ſort, & l’enuie exercent leurs malices, Que meſme voſtre haine inuente des ſupplices Afin de m'obliger à rompre ma priſon, Siie conſens iamais ã cette trahiſon, Que la terre pour moy ne ſoit plus qu’vn abyſme, Et cacheauec mon corps les horreurs de mon crime.	Que le sort, et l'envie exercent leurs malices, Que même vôtre haine invente des supplices Afin de m'obliger à rompre ma prison, Siie consens jamais ans cette trahison, Que la terre pour moi ne soit plus qu'un abîme, Et cacheauec mon corps les horreurs de mon crime.
.	.
Ou ſi voſtre pitié ne veut pas differer L’arreſt que vos rigueurs viennent de proferer;	Ou si votre pitié ne veut pas différer L'arrêt que vos rigueurs viennent de proférer;
Pour rendre entierement voſtre haine aſſouuie Adioutez à mes maux la perte dà ma vie, Que ce fer par vos mains ſoit dans mon ſang plongé fon eſQui ſe vange ſoy-meſme eſt doublement vangé:	Pour rendre entièrement votre haine assouuie Adioutez à mes maux la perte dà ma vie, Que ce fer par vos mains soit dans mon sang plongé son éQui se venge soi-même est doublement vengé:
Vous me verrez, ſouffrir ſans murmure, & ſans plainte Ceuvre chaſimenla ꝓile oſtne tontrainte.	Vous me verrez, souffrir sans murmure, et sans plainte Ceuvre chasimenla île ôtne tontrainte.
O.	Ô.
RIPIHISE.	RIPIHISE.
Theage ie n’ay pas tant de ſeuerité, Que de punir de mort voſtre infidelité,  Les Dames ne ſont pas au meurtre accouſtumées, Et ne font point mourir pour n’eſtre pas uymées, Le repentirqui ſuituminfidele, amant Nous mange de ſomorime aſſez:	Theage ici n'ai pas tant de seuerité, Que de punir de mort votre infidélité, Les Dames ne sont pas au meurtre accoutumées, Et ne font point mourir pour n'être pas uymées, Le repentirqui suituminfidèle, amant Nous mange de somorime assez:
ſeueremon	seueremon
12 RPEA GE:	12 RPEA GE:
Si quelque repentir peut vanger vne offence!	Si quelque repentir peut venger une offense!
Vous auezde la penne vvne baute vangeance, Et ſi voüsne rende l'eſpoir à mon amour Ipion tanepte tepret me va raui le iour, Prononcez dõc H adame ou ma mort, ou ma grace?	Vous avezde la penne vine baute vengeance, Et si voüsne rende l'espoir à mon amour Ipion tanépte tepret me va ravi le jour, Prononcez donner H adame ou ma mort, ou ma grâce?
ORPIHISEi Dueemteuuigpnquequuenqueufaſſecei	ORPIHISÉ Dueemteuuigpnquequuenqueufassecei
THEAGE.	THÉGE.
Conſentir à ma perte, ou ſigner mon pardon.	Consentir à ma perte, ou signer mon pardon.
*r.	*r.
OIR RHIS E.	OIR RHYS E.
eN Ti Qiy voſtre repeutirohtient damoy ce don	EN Ti Qi votre réputirohtient damoi ce don
