L’IMPOSTEUR,	L'IMPOSTEUR,
A la fin, par nos raiſons gagnée, Elle ſe reſolut à ſouffrir la ſaignée, Et le ſoulagement ſuivit tout auſſitoſt.	À la fin, par nos raisons gagnée, Elle se résolut à souffrir la saignée, Et le soulagement suivit tout aussitôt.
Et Tartuffe?	Et Tartuffe?
ORGON.	ORGON.
DORINE.	DORINE.
Il reprit courage comme il faut;	Il reprit courage comme il faut;
Et contre tous les maux fortifiant ſon ame, Pour reparer le ſang qu’avoit perdu Madame, Beut à ſon déjeuné, quatre grans coups de Vin.	Et contre tous les maux fortifiant son âme, Pour réparer le sang qu'avait perdu Madame, Beut à son déjeuné, quatre grans coups de Vin.
ORGON.	ORGON.
Le pauvre Homme!	Le pauvre Homme!
DORINE.	DORINE.
Tous deux ſe portent bien enfin;	Tous deux se portent bien enfin;
Et je vais à Madame anoncer par avance, La part que vous prenez à ſa convaleſcence.	Et je vais à Madame anoncer par avance, La part que vous prenez à sa convalescence.
SCENE V.	SCÈNE V.
ORGON, CLLANIE.	ORGON, CLANIE.
CLEANTE.	CLÉANTE.
Voſtre nez, mon Frere, elle ſe rit de vous;	Votre nez, mon Frère, elle se rit de vous;
AEt ſans auoir deſſein de vous mettre en courrous, Je vous diray tout franc, que c’eſt auec juſtice.	AT sans avoir dessein de vous mettre en courrous, Je vous dirai tout franc, que c'est a justice.
A-t-on jamais parlé d’vn ſemblable caprice?	A-t-on jamais parlé d'un semblable caprice?
d’huy Et ſe peut-il qu’vn Homme ait vn charme aujourA vous faire oûbliertoutes choſes pour ſuy?	d'hui Et se peut-il qu'un Homme ait un charme aujourA vous faire ouûbliertoutes choses pour suivi?
Qu'apres auoir chez vous reparé ſa miſere, Vous en veniez au poinct.	Qu'après avoir chez vous réparé sa misère, Vous en veniez au point.
ORGON.	ORGON.
Alte-là, mon Beaufrere, Vous ne connoiſſez pas celuy dont vous parlez.	Alte-là, mon Beauffre, Vous ne connaissez pas celui dont vous parlez.
CLEANTE.	CLÉANTE.
Ie ne le connois pas, puis que vous le voulez:	Je ne le connais pas, puis que vous le voulez:
Mais enfin, pour ſçavoir quel Homme ce peut ORGON.	Mais enfin, pour savoir quel Homme ce peut ORGON.
eſtre.	être.
Mon Frere.	Mon Frère.
vous ſeriez charmé de le conneſtre,	vous seriez charmé de le connaître,
Et vos rauiſſemens ne prendroient point de fin.	Et vos ravissements ne prendraient point de fin.
C’eſt un Homme.	C'est un Homme.
qui.	qui.
ha.	ha.
un Homme.	un Homme.
un Hõme enfin, Qui ſuit bien ſes leçons, gouſte une paix profonde, Et comme du fumier, regarde tout le monde.	un Homme enfin, Qui suit bien ses leçons, goûte une paix profonde, Et comme du fumier, regarde tout le monde.
Ouy, je deuiens tout autre auec ſon entretien, ArHren eigne dirauon ancetnn pour lien;	Oui, je deviens tout autre avec son entretien, ArHren eigne diravon ancetn pour lien;
De toutes amitiez il détache mon ame;	De toutes amitiés il détache mon âme;
Et je verrois mourir Frere, Enfans, Mere, & Fẽme, Que je m’en ſoucîrois autant que de cela.	Et je verrais mourir Frère, Enfants, Mère, et Femme, Que je m'en soucîrois autant que de cela.
CLEANTE.	CLÉANTE.
Les ſentimens humains, mon Frere, que voila !	Les sentiments humains, mon Frère, que voilà !
ORGON.	ORGON.
Ha, ſi vous aviez veu comme j’en fis tencontre, Vous Vous auriez pris pour luy l’amitié que je montre.	Ha, si vous aviez vu comme j'en fis tencontre, Vous Vous auriez pris pour lui l'amitié que je montre.
Chaque jour à l Egliſe il venoit d’un air dous, Tout vis-à-vis de moy, ſe mettre à deux genous.	Chaque jour à l Église il venait d'un air dous, Tout vis-à-vis de moi, se mettre à deux genous.
Il attiroit les yeux de l’aſſemblée entiere, Par l’ardeur dont au Ciel il pouſſoit ſa priere:	Il attirait les yeux de l'assemblée entière, Par l'ardeur dont au Ciel il poussait sa prière:
Il faiſoit des ſoûpirs, de grands élancemens, Et baiſoit humblement la terre à tous momens;	Il faisait des soupirs, de grands élancements, Et baisait humblement la terre à tous moments;
Et lors que je ſortois, il me deuançoit viſte, Pour m’aller à la Porte offrir de l Eau-beniſte.	Et lors que je sortais, il me devançait vite, Pour m'aller à la Porte offrir de l Au-bénite.
Inſtruit par ſon Garçon qui dans tout l’imitoit, Et de ſon indigence, & de ce qu’il eſtoit, Ie luy faiſois des dons;	Instruit par son Garçon qui dans tout l'imitait, Et de son indigence, et de ce qu'il était, Je lui faisais des dons;
mais auec modeſtie, Il me vouloit toûjours en rendre un partie.	mais avec modestie, Il me voulait toujours en rendre un partie.
C’eſt trop, me diſoit-il, c’eſt trop de la moitié, Ie ne merite pas de vous faire pitié :	C'est trop, me disait-il, c'est trop de la moitié, Je ne mérite pas de vous faire pitié :
Et quand je refuſois de le vouloir reprendre, Aux Pauures, à mes yeux, il alloit le répandre.	Et quand je refusais de le vouloir reprendre, Aux Pauvres, à mes yeux, il allait le répandre.
Enfin le Ciel, chez moy, me le fit retirer, Et depuis ce temps-là, tout ſemble y proſperer.	Enfin le Ciel, chez moi, me le fit retirer, Et depuis ce temps-là, tout semble y prospérer.
Ie voy qu’il reprend tout, & qu’à ma Femme meſme, Il prend pour mon honneur un intereſt extréme;	Je vois qu'il reprend tout, et qu'à ma Femme même, Il prend pour mon honneur un intérêt extrême;
Il m’auertit des Gens qui luy font les yeux dous, Et plus que moy, ſix fois, il s’en montre jalous.	Il m'avertit des Gens qui était font les yeux dous, Et plus que moi, six fois, il s'en montre jalous.
Mais vous ne croiriez point juſqu’où moûte ſon zele;	Mais vous ne croiriez point jusqu'où moûte son zèle;
Il s’impute à peché la moindre bagatelle, Vn rien preſque ſuffit pour le ſcandaliſer, luſques-là qu’il ſe vint l’autre jour accuſer D'auoi pris dne Puce en faiſant ſa priere, Et de l’auoir tuée auec trop de colere.	Il s'impute à péché la moindre bagatelle, Ven rien presque suffit pour le scandaliser, lusques-là qu'il se vint l'autre jour accuser D'avoi pris dne Puce en faisant sa prière, Et de l'avoir tuée auec trop de colère.
CLEANTE.	CLÉANTE.
Parbleu, vous eſtes fou, mon Frere, que je croy.	Parbleu, vous êtes fou, mon Frère, que je crois.
Auec de tels diſcours vous moquez-vous de moy?	Avec de tels discours vous moquez-vous de moi?
Et que pretendez-vous que tout ce badinage.	Et que prétendez-vous que tout ce badinage.
ORGON.	ORGON.
Mon Frere, ce diſcours ſent le libertinage.	Mon Frère, ce discours sent le libertinage.
Vous en eſtes vn peu dans voſtre ame entaché, Et comme je vous l’ay plus de dix fois preſché, Vous Vous vous attirerez quelque méchante affaire.	Vous en êtes un peu dans votre âme entaché, Et comme je vous l'ai plus de dix fois prêché, Vous Vous vous attirerez quelque méchante affaire.
CLEANTE.	CLÉANTE.
Voila de vos pareils le diſcours ordinaire.	Voilà de vos pareils le discours ordinaire.
Ils veulent que chacun ſoit aveugle comme eux.	Ils veulent que chacun soit aveugle comme eux.
C’eſt eſtre libertin, que d’avoir de bons yeux;	C'est être libertin, que d'avoir de bons yeux;
Et qui n’adore pas de vaines ſimagrées, N’a ny reſpect, ny foy, pour les choſes ſacrées.	Et qui n'adore pas de vaines simagrées, N'a ici respect, ni foi, pour les choses sacrées.
Allez, tous vos diſcours ne me font point de peur;	Allez, tous vos discours ne me font point de peur;
Je ſçay commeje parle, & le Ciel voit mon cœur, De tous vos Façonniers on n’eſt point les Eſclaves, Il eſt de faux Devots, ainſi que de faux Braves:	Je sais commeje parle, et le Ciel voit mon cœur, De tous vos Façonniers on n'est point les Esclaves, Il est de faux Devots, ainsi que de faux Braves:
Et comme on ne voit pas qu’où l’honneur les conduit, Les vrais Braves ſojent ceux qui font beaucoup de bruit;	Et comme on ne voit pas qu'où l'honneur les conduit, Les vrais Braves sojent ceux qui font beaucoup de bruit;
Les bons &vrais Devots qu’on doit ſuivre à la trace, Ne ſont pas ceux auſſi qui font tant de grimace.	Les bons etvrais Devots qu'on doit suivre à la trace, Ne sont pas ceux aussi qui font tant de grimace.
Hé quoy!	Hé quoi!
vous ne ferez nulle diſtinction Entre l’Hypocriſie, & la Devotion?	vous ne ferez nulle distinction Entre l'Hypocrisie, et la Dévotion?
Vous les voulez traitter d’un ſemblable langage, Et rendre meſme honneur au maſque qu’au viſage?	Vous les voulez traiter d'un semblable langage, Et rendre même honneur au masque qu'au visage?
Egaler l’artifice, à la ſincerité;	Égaler l'artifice, à la sincérité;
Confondre l’apparence, avec la verité;	Confondre l'apparence, avec la vérité;
Eſtimer le Fantôme, autant que la Perſonne;	Estimer le Fantôme, autant que la Personne;
Et la fauſſe monnoye, à l’égal de la bonne?	Et la fausse monnaie, à l'égal de la bonne?
Les Hommes, la pluſpart, ſont étrangement faits!	Les Hommes, la plupart, sont étrangement faits!
Dans la juſte nature on ne les voit jamais.	Dans la juste nature on ne les voit jamais.
La raiſon a pour eux des bornes trop petites.	La raison a pour eux des bornes trop petites.
En chaque caractere ils paſſent ſes limites, Et la plus noble choſe, ils la gaſtent ſouvent, Pour la vouloir outrer, & pouſſer trop avanr.	En chaque caractère ils passent ses limites, Et la plus noble chose, ils la gâtent souvent, Pour la vouloir outrer, et pousser trop avanr.
Que cela vous ſoit dit en paſſant, mon Beaufrere.	Que cela vous soit dit en passant, mon Beauffre.
ORGON.	ORGON.
Ouy, vous eſtes, ſans doute, un Docteur qu’on révere;	Oui, vous êtes, sans doute, un Docteur qu'on révère;
Tout le ſçavoir du Monde eſt chez vous retiré, Vous eſtes le Seul Sage, & le ſeul éclairé, (mes, Un Oracle, un Caton, dans le Siecle où nous ſomEt pres de vous ce ſont des Sots, que tous les Hommes.	Tout le savoir du Monde est chez vous retiré, Vous êtes le Seul Sage, et le seul éclairé, (mes, Un Oracle, un Caton, dans le Siècle où nous somÉt pres de vous ce sont des Sots, que tous les Hommes.
CLEAN	CLÉAN
CLEANTE.	CLÉANTE.
Je ne ſuis point, mon Frere, un Docteur réveré, Et le Sçavoir, chez moy, n’eſt pas tout retiré.	Je ne suis point, mon Frère, un Docteur révéré, Et le Savoir, chez moi, n'est pas tout retiré.
Mais en un mot je ſçay, pour toute ma ſcience, Du faux, avec le vray, faire la diference:	Mais en un mot je sais, pour toute ma science, Du faux, avec le vrai, faire la diérence:
Et commeje ne voy nul genre de Héros Qui ſojent plus à priſer que les parfaits Devots;	Et commeje ne vois nul genre de Héros Qui soujent plus à priser que les parfaits Devots;
Aucune choſe au Mõde, & plus noble, & plus belle, Que la ſainte ferveur d’un veritable zele;	Aucune chose au Momme, et plus noble, et plus belle, Que la sainte ferveur d'un véritable zèle;
Auſſi ne vois-je rien qui ſoit plus odieux, Que le dehors plaſtré d’un ze le ſpécieux;	Aussi ne vois-je rien qui soit plus odieux, Que le dehors plâtré d'un zé le spécieux;
Que ces francs Charlatans, que ces Devots dePlace, De qui la ſacrilege & trompeuſe grimace Abuſe impunément, & ſe jouë à leur gré, De ce quont les Mortels de plus ſaint, & ſacré, Ces Gens, qui par une ame à lintereſt ſoûmiſe, Font de Devotion meſtier & marchandiſe, Et veulent acheter credit, & dignitez, A pris de faux clins-d’yeux, & d’élans affectez.	Que ces francs Charlatans, que ces Devots dePlace, De qui la sacrilège et trompeuse grimace Abuse impunément, et se joue à leur gré, De ce quont les Mortels de plus saint, et sacré, Ces Gens, qui par une âme à linterest soumise, Font de Dévotion métier et marchandise, Et veulent acheter crédit, et dignités, A pris de faux clinsyeux, et çlins-larmes.
Ces Gens, dis-je, qu’on voit d’une ardeur non commune, Par le chemin du Ciel courir à leur fortune;	Ces Gens, dis-je, qu'on voit d'une ardeur non commune, Par le chemin du Ciel courir à leur fortune;
Qui brûlans, & prians, demandent chaquejour, Et preſchent la retraite au milieu de la Cour :	Qui brûlants, et priants, demandent chaquejour, Et prêchent la retraite au milieu de la Cour :
Qui ſçavent a juſter leur zele avec leurs vices, Sont prõpts, vindicatifs, ſans foy, pleins d’artifices, Et pour perdre quelqu’un, couvrent inſolemment, De l’intereſt du Ciel, leur fier reſſentiment;	Qui savent a juster leur zèle avec leurs vices, Sont prompts, vindicatifs, sans foi, pleins d'artifices, Et pour perdre quelqu'un, couvrent insolemment, De l'intérêt du Ciel, leur fier ressentiment;
D’autant plus dangereux dans leur aſpre colere, Qu'ils prennent cõtre nous des armes qu’on révere Et que leur paſſion dont on leur ſçait bon gré, Veut nous aſſaſſiner avec un fer ſacre.	D'autant plus dangereux dans leur âpre colère, Qu'ils prennent comtre nous des armes qu'on révère Et que leur passion dont on leur sait bon gré, Veut nous assassiner avec un fer sacre.
De ce faux caractere, on en voit trop paroiſtre;	De ce faux caractère, on en voit trop paraître;
Mais les Devots de cœur ſont aiſez à connoiſtre.	Mais les Dévots de cœur sont aisés à connaître.
Noſtre Siecle.	Notre Siècle.
mon Frere, en expoſe à nos yeux, Qui peuvent nous ſervir d’exemples glorieux.	mon Frère, en expose à nos yeux, Qui peuvent nous servir d'exemples glorieux.
Regardez Ariſton, regardez Periandre, Oronte, Alcidamas, Polidore, Clitandre:	Regardez Ariston, regardez Périandre, Oronte, Alcidamas, Polidore, Clitandre:
Ce titre par aucun ne leur eſt debatu, Ce ne Ce ne ſont point du tout Fanfarons de vertu, On ne voit point en eux ce faſte inſuportable, Et leur Devotion eſt humaine, eſt traitable.	Ce titre par aucun ne leur est débattu, Ce ne Ce ne sont point du tout Fanfarons de vertu, On ne voit point en eux ce faste insupportable, Et leur Devotion est humaine, est traitable.
Ils ne cenſurent point toutes nos actions, Ils trouvent trop d’orgueil dans ces corrections, Et laiſſant la fierté des paroles aux autres, C’eſt par leurs actions, qu’ils reprennent les noſtres.	Ils ne censurent point toutes nos actions, Ils trouvent trop d'orgueil dans ces corrections, Et laissant la fierté des paroles aux autres, C'est par leurs actions, qu'ils reprennent les nôtres.
L’apparence du mal a chez eux peu d’appuy, Et leur ame eſt portée à juger bien d’autruy;	L'apparence du mal a chez eux peu d'appui, Et leur âme est portée à juger bien d'autrui;
Point de cabale en eux, point d’intrigues à ſuivre;	Point de cabale en eux, point d'intrigues à suivre;
On les voit pour tous ſoins, ſe meſler de bien viure.	On les voit pour tous soins, se mêler de bien vivre.
Jamais contre un Pecheur ils n’ont d’acharnement.	Jamais contre un Pécheur ils n'ont d'acharnement.
Ils attachent leur haine au Peché ſeulement, Et ne veulent point prendre, avec un zele extréme, Les intereſts du Ciel, plus qu’il ne veut luy-meſme.	Ils attachent leur haine au Péché seulement, Et ne veulent point prendre, avec un zèle extrême, Les intérêts du Ciel, plus qu'il ne veut lui-même.
Voila mes Gens, voila comme il en faut uſer, vona rexempie emn qu'n le laut propoler.	Voilà mes Gens, voilà comme il en faut user, vona réxempie emn qu'né le la propoler.
Voſtre Homme, à dire vray, n’eſt pas de ce modele, C’eſt de fort bonne foy que vous vantez ſonzele, Mais par un faux éclat je vous crois ébloüy.	Votre Homme, à dire vrai, n'est pas de ce modèle, C'est de fort bonne foi que vous vantez sonzèle, Mais par un faux éclat je vous crois ébloui.
ORGON.	ORGON.
mmombuumonenenmeutlere, a renurous tout dit?	mmombuumonenenmeutlere, a renurous tout dit?
CLEANTE.	CLÉANTE.
Oüy.	Oui.
ORGON.	ORGON.
Je ſuis voſtre valet.	Je suis votre valet.
Il veut s’en aller.	Il veut s'en aller.
CLEANTE.	CLÉANTE.
De grace, un mot, mon Frere, Laiſſons-là ce diſcours.	De grâce, un mot, mon Frère, Laissons-là ce discours.
Vous ſçavez que Valere, Pour eſtre voſtre Gendre, a parole de vous.	Vous savez que Valère, Pour être votre Gendre, a parole de vous.
Ouy.	Oui.
GNGON.	GNGON.
CLEANTE.	CLÉANTE.
Vous aviez pris jour pour un lien ſi dous.	Vous aviez pris jour pour un lien si dous.
Il eſt vray.	Il est vrai.
ORGON.	ORGON.
CLEANTE.	CLÉANTE.
Pourquoy donc en diferer la feſte?	Pourquoi donc en diférer la fête?
OR	OR
Jene ſçais.	Jene sais.
ORGON.	ORGON.
CLEANTE.	CLÉANTE.
Auriez-vous autre penſée en teſte?	Auriez-vous autre pensée en tête?
Peut-eſtre.	Peut-être.
ORCOR.	ORCOR.
CLEANTE.	CLÉANTE.
Vous voulez manquer à voſtre foy?	Vous voulez manquer à votre foi?
Je ne dis pas cela.	Je ne dis pas cela.
ORGON.	ORGON.
CHDINTE.	CHDINTE.
Nul obſtacle, je croy, Ne vous peut empeicher d’accomplir vos promeſORGON.	Nul obstacle, je crois, Ne vous peut empêcher d'accomplir vos promesORGON.
ſfes.	sfes.
Selon.	Selon.
CLEANTE.	CLÉANTE.
Pour dire un mot, faut-il tant de fineſſes!	Pour dire un mot, faut-il tant de finesses!
Valere, ſur ce poinct, me fait vous viſiter.	Valère, sur ce point, me fait vous visiter.
ORGON.	ORGON.
Le Ciel en ſoit Loüé.	Le Ciel en soit Loué.
CLEANTE.	CLÉANTE.
Mais que luy reporter?	Mais que mille reporter?
ORGON.	ORGON.
Tout ce qu il vous plaira.	Tout ce qu il vous plaira.
