DE TVRENNE.	DE TURENNE.
Agreable promeſſe, amy trop genereux, Tu flattes trop mon cœur, il ſeroit trop heureur Mais pour me reuancher de cette bienveillance Seray-je aſſez heureux de ſçauoir ta naiſſance, Ton âge, ton credit, & le degré d’honneur Qui te fait auoir part aux ſecrets de ſon cœur?	Agréable promesse, ami trop généreux, Tu flattes trop mon cœur, il serait trop heureur Mais pour me revancher de cette bienveillance Serai-je assez heureux de savoir ta naissance, Ton âge, ton crédit, et le degré d'honneur Qui te fait avoir part aux secrets de son cœur?
SOLIMENE.	SOLIMENE.
Seigneur, c’eſt à la Reine à vous faire connoiſtre Qui ie ſuis, & pourquoy.	Seigneur, c'est à la Reine à vous faire connaître Qui Qui suis, et pourquoi.
Mais que vois-je paroiſtre?	Mais que vois-je paraître?
Vne troupe eſplorée, interdite, en courroux, Court auec Leonice & s’auance vers vous.	Une troupe esplorée, interdite, en courroux, Court avec Léonice et s'avance vers vous.
SEBASTE.	SÉBASTE.
Que cherche Leonice?	Que cherche Léonice?
SEBASTE, SOLIMENE, LEONICE, IROVTE DE TEVTLE.	SÉBASTE, SOLIMENE, LENICE, JROUTE DE TEVTLE.
LEONICE.	LEONICE.
HElas!	HÉlas!
la Cour en peine Ne ſçait qui depuis peu nous a raui la Reyne, On la cherche, on la pleure, on craint que le DraNe nous en ait laiſſé que l'adorable nom.	la Cour en peine Ne sait qui depuis peu nous a ravi la Reine, On la cherche, on la pleure, on craint que le DraNe nous en ait laissé que l'adorable nom.
gon	gon
SEBASTE.	SÉBASTE.
Quoy!	Quoi!
ma valeur ſeroit impunément brauée, An!	ma valeur serait impunément bravée, An!
malheureux riual, ſi tu l’as enleuëe:	malheureux rival, si tu l'as enlève:
Le Ciel qui cheriſſoit vn objet ſi charmant Te punira bien-toſt de cét enleuement.	Le Ciel qui chérissait un objet si charmant Te punira bientôt de cet enlèvement.
SOLTMENE teuant ſon taſque.	SOLTMENE teuant son tasque.
Conſolez-vous, Seigneur;	Consolez-vous, Seigneur;
toy, quitte ta triſteſſe, Et reconnois enfin	toi, quitte ta tristesse, Et reconnais enfin
LEONICE.	LEONICE.
Ma diuine Princeſſe.	Ma divine Princesse.
SOLIMENE regardant Sebaſte.	SOLIMENE regardant Sébaste.
Connoiſſez donc, Seigneur, que ie ſuis ce témoin Qui vous a veu combatre en ce preſſant beſoin, Que ie ſuis Solimene, & que deſſous ces armes Eſt la Reyne de qui vous vantez tant les charmes, Cet obiet precieux pour qui voſtre grand cœur A ſi bien combatu du monſtre la fureur:	Connaissez donc, Seigneur, que je suis ce témoin Qui vous a vu combattre en ce pressant besoin, Que Que suis Solimène, et que dessous ces armes Est la Reine de qui vous vantez tant les charmes, Cet objet précieux pour qui votre grand cœur A si bien combatu du monstre la fureur:
Ie ſuis celle, en vn mot, qui vous donnà l'enuie De iuy donner la mort ou d’y perdre la vie.	Je suis celle, en un mot, qui vous donna l'envie De jui donner la mort ou d'y perdre la vie.
SEBASTE.	SÉBASTE.
Et ſi par vn malheur i’eus ſuccombé ſous luy?	Et si par un malheur j'eus succombé sous notre?
SOLIMENE.	SOLIMENE.
Mon bras qui ſur le voſtre auoit mis ſon appuy, Eſtoit ſi reſo lu d’empeſcher voſtre perte, Qu’aux dépẽs de mon ſang ie ne Peuſſe ſoufferte.	Mon bras qui sur le vôtre avait mis son appui, Était si réso lu d'empêcher votre perte, Qu'aux dépens de mon sang ils ne Pusse soufferte.
SEDNSIE.	SÉDNSIE.
Quoy, vous m’auez ſuiuy iuſques dans le comban	Quoi, vous m'avez suivi jusques dans le comban
SOLIMENE.	SOLIMENE.
Oüy Seigneur, & de plus, i’ouys qu’auec éclat Vous fiſtes ces beaux vœux dõt voicy les parolest Monſtre, qui viens ſeruir des Deïtez friuoles, Tu payeras de ton sãg malgré tous les faux Dieux, Les larmes que la Reyne a verſé dans ces lieux;	Oui Seigneur, et de plus, j'ouïs qu'avec éclat Vous fîtes ces beaux vœux donne ici les paraît Re, qui viens servir des Deïtez frivoles, Tu de ton ton sièg malgré tous les faux Dieux, Les larmes que la Reine a versé dans ces lieux;
Ie te feray ſentir ce que vaut vn courage Qui porte dans ſon cœur les traits de ſon image, En dépit de l'horreur qu’ils ont mis ſur ton front, Ta mort les va couurir d’vn eternel affront:	Je te ferai sentir ce que vaut un courage Qui porte dans son cœur les traits de son image, En dépit de l'horreur qu'ils ont mis sur ton front, Ta mort les va couvrir d'un éternel affront:
Reçoy, reçoy ce coup qui ta rage ſurmonte, Et que ron corps percé ſoit ſa gloire & leur honte.	Reçois, reçois ce coup qui ta rage surmonte, Et que ron corps percé soit sa gloire et leur honte.
Puis l'ayant terraſſé vous vouliez que mon nom Acheuaſt d’arracher la vie à ce Dragon.	Puis l'ayant terrassé vous vouliez que mon nom Achevât d'arracher la vie à ce Dragon.
SEBASTE.	SÉBASTE.
O bonheur ſans exemple!	Ô bonheur sans exemple!
ô faueur ſouueraine, Mon bras a pour témoins les yeux de Solimene:	ô faveur souveraine, Mon bras a pour témoins les yeux de Solimène:
Ce coup eſt trop payé, trop d’hõneurs m'ont comle ne merite pas vn bien ſi ſignalé, Vous faites trop d'eſtat d’vn ſi petit ſeruice, Et c'eſt à vous qu’eſt deû cét acte de iuſtice.	Ce coup est trop payé, trop d'hommes m'ont comle ne mérite pas un bien si signalé, Vous faites trop d'état d'un si petit service, Et c'est à vous qu'est de cet acte de justice.
blé,	blé,
SOLIMENE.	SOLIMENE.
Ceſſez, ceſſez, Seigneur, ces doux emportemens, De plus hautes faueurs font mes remerciemens, Ce Temple que i’auois cy-deuant fait conſtruire, Pour y faire des Dieux les miracles reluire, Vous ſera conſacré malgré tous leurs courroux, Et les vœux & Fencens de mon peuple à genoux A voſtre diuin nom offrira ſacrifice, En qualité de Dieu tutelaire & propice, Si i'adiouſte mon cœur à ce petit preſent, Mon ame qui connoiſt qu’il n'eſt pas ſuffiſant Le payer la vaſeur dvn Monarque i oraue, Ne le fais qu’en trẽblant & qu’en tiltre d’eſclaue, L’ayant ſi vaillamment acquis & conſerué En perdant ce Dragon contre moy ſouſleué.	Cessez, cessez, Seigneur, ces doux emportements, De plus hautes faveurs font mes remerciements, Ce Temple que j'avais cy-devant fait construire, Pour y faire des Dieux les miracles reluire, Vous sera consacré malgré tous leurs courroux, Et les vœux et Fencents de mon peuple à genoux A vôtre diuin nom offrira sacrifice, En qualité de Dieu tutélaire et propice, Si j'ajoute mon cœur à ce petit présent, Mon âme qui connaît qu'il n'est pas suffisant Le payer la vaseur d' Enfi oraue, Ne le fais j'en trẽblant et qu'en tiltre a,ILayant si et acquis et ' En perdant ce Dragon contre moi sousleué.
SEBASTE.	SÉBASTE.
O ſurpriſe!	Ô surprise!
ô prodige!	ô prodige!
ô miracle de grace!	ô miracle de grâce!
Que peut-on conceuoir que ce bien ne ſurpaſſe?	Que peut-on concevoir que ce bien ne surpasse?
La Reine a des vertus que PVniuers entier Auec tous ſes treſors ne ſçauroit pas payer, Et toutefois ſon cœur qui n’eut iamais d’exemple Me veut faire adorer comme vn Dieu dans ſot Temple, Pour comble de faueur, ſon ame qui des Cieux Eſt le plus beau treſor & le plus precieux, S’abaiſſe iuſqu’au poinct que de ſe dire indigne D'vn Monarque qui n’a rien de grãd ny d’inſigne Cette reconnoiſſance attaint iuſqu’aux faueurs Que le vray Dieu promet à ſes bons ſeruiteurs.	La Reine a des vertus que PUnivers entier Auec tous ses trésors ne saurait pas payer, Et toutefois son cœur qui n'eut jamais d'exemple Me veut faire adorer comme un Dieu dans sot Sance, Pour comble de faveur, son âme qui des Cieux Est le plus beau trésor et le plus précieux, S'abaisse jusqu'au point que de se dire indigne D' Monarque qui n'a rien de grond était d'insigne Cette reconnaissance attaint jusqu'eau Dieu Quenée vrai Dieu promet à ses bons serviteurs.
e iet- Ce Temple merueilleux, ce riche diadême, ãt aux Et ce cœur qui me dit qu’il m’adore & qu’il m’aiieds de L’offre du ſacrifice & Phonneur de l'encens, [mea Rei- Et d’auoir de l'Eſtat les tiltre;	 - Ce Temple merveilleux, ce riche diadême, aux Et ce cœur qui me dit il adore et il aiieds Je Joffre Ce Temple et Mer del'eux, ce Ri-Hé dyde l'Estat les tiltre,
tous puiſſans.	tous puissants.
Madame, ce bienfait ſurpaſſe mon attente:	Madame, ce bienfait surpasse mon attente:
Mais ſi vous deſirez que mon cœur ſe contente, Incomparable Reyne, agreez que mon Dieu Soit adoré luy ſeul dans cét auguſte lieu, Que de tous vos Eſtats le culte des Idoles Soit banni pour iamais comme choſes friuoles.	Mais si vous désirez que mon cœur se contente, Incomparable Reine, agréez que mon Dieu Soit adoré autre seul dans cet auguste lieu, Que de tous vos États le culte des Idoles Soit banni pour jamais comme choses frivoles.
SOLIMENE.	SOLIMENE.
Oüy, Seigneur, ie conſens que ces Diuinitez Subiſſent le deſtin que vous leur ſouhaittez:	Oui, Seigneur, ie consens que ces Divinités Subissent le destin que vous leur souhaitez:
Mais auant que leur faire vne ſi grande offence, Dõnez moy donc du vôtre entiere connoiſſance.	Mais avant que leur faire une si grande offense, Dõnez moi donc du vôtre entière connaissance.
SEBASTE.	SÉBASTE.
Le Dieu que ie reuere eſt vn Dieu tout-puiſſant Dont l'Eſtre eſt ſi parfait, le Nom ſi rauiſſant, Qu’il renferme dans luy tous les tiltres ſublimes Qui ſont attribuez à vos Dieux pleins de crimes Ce Principe de grace & de perfections Paſſe ſi fortement ces vaines fictions, Que l'Vniuers eſt moins qu’vn rien deuãt ſa face, Dont la viue ſplẽdeur tout ce grand mõde efface;	Le Dieu queie ure est un Dieu tout-puissant Dont l'Estre est si parfait, le Nom si ravissant, Qu'il renferme dans lui tous les titres sublimes Qui sont attribuez à vos Dieux pleins de crimes Ce Principe de grâce et de perfections Passe si fortement ces vaines fictions, Que l'Univers est moins qu'un rien devant sa face, Dont la vive splẽdeur tout ce grand mõde efface;
Il contient toutes choſes & n’eſt point contenu, Et commande au Neant dont ce Tout eſt venu, Sagrandeur eſt immenſe, & ſa force infinie, Et de luy l'impuiſſance eſt de tout temps bannie, Il n’a point commencé, n’aura iamais de fin, Etregle comme il veut le ſort & le deſtin, Sa beauté, ſa ſplendeur, ſon eſclat & ſa gloire, De l'injure des temps a toûjours la victoire:	Il contient toutes choses et n'est point contenu, Et commande au Néant dont ce Tout est venu, Sagrandeur est immense, et sa force infinie, Et de Seigneur l'impuissance est de tout temps bannie, Il n'a point commencé, n'aura jamais de fin, Tregle comme il veut le sort et le destin, Sa beauté, sa splendeur, son éclat et sa gloire, De l'injure des temps a toujours la victoire:
Mais comme a le dépeindre on n’a iamais attaint, le me contenteray de dire qu’il eſt Saint.	Mais comme a le dépeindre on n'a jamais attaint, le me contenterai de dire qu'il est Saint.
SOLIMENE.	SOLIMENE.
Oparole diuine!	Oparole divine!
ô termes adorables!	ô termes adorables!
Vous faites en mõ cœur des progrés incroyables, que vous le rempimlien de trelois precieuas.	Vous faites en mon cœur des progrès incroyables, que vous le remplien de trelois précieuas.
Et qu’il a maintenant d’horreur pour les faux Dieux.	Et qu'il a maintenant d'horreur pour les faux Dieux.
CHOEVR DE MVSIQVE.	CHOEUR DE MUSIQUE.
Vy, ie reçoy ta loy, ODieu, qui fais ſeul tous les Monarques, Et te jure la foy De t'en donner par tout des marques, Tu m’embrazes d’vn feu ſi ſaint, Qu’il ne ſera iamais eſteint Ny refroidi dedans mon ame, Et tes Decrets qu’en ces beaux lieux M’apprend ce Heros glorieux En augmente ſi fort la flame, Que ie confeſſe dans ce iour Que rien n’égalle ſon amour.	Vi, Seigneur reçois ta loi, ODieu, qui fais seul tous les Monarques, Et te jure la foi De t'en donner par tout des marques, Tu m'embrases d'un feu si saint, Qu'il ne sera jamais éteint Ny refroidi dedans mon âme, Et tes Décrets qu'en ces beaux lieux M'apprend ce Héros glorieux En augmente si fort la flamme, Que ie confesse dans ce jour Que rien n'égale son amour.
Triomphe Roy des Roys De ce beau Temple qu’on admire, Auec luy reçois Ma Couronne & tout mon Empire, C’eſt le deſir de ce Heros Qui par toy finit mes ſanglots:	Triomphe Roi des Rois De ce beau -Temple qu'on admire, Avec lui reçois Ma Couronne et tout mon Empire, C'est le désir de ce Héros Qui par toi finit mes sanglots:
Mais en faiſant ce qu’il deſire, Apres le monſtre maſſacré Approuue que d’vn nœud ſacré Son cœur qui pour le mien ſoupire S’vniſſe à moy ſi ſaintement Que ſon feu dure inceſſamment.	Mais en faisant ce qu'il désire, Après le montre massacré Approuve que d'un nœud sacré Son cœur qui pour le mien soupire S'unisse à moi si sainte Que son feu dure incessamment.
SCENE IV.	SCÈNE IV.
SEBASTE, SOLIMENE, LEONICE VALERE.	SÉBASTE, SOLIMENE, LENICE VALÈRE.
VALERE.	VALÈRE.
Eigneur, le Roy de Thrace apres cette victoire OVient pour vous rendre hommage.	Eigneur, le Roi de Thrace après cette victoire OUient pour vous rendre hommage.
SEBASTE.	SÉBASTE.
En a-t-il ſceu l'hiſtoire	En a-t-il sut l'histoire
SCENE V SOLIMENE, SEBASTE, MAXIME, VALERE, LEONICE, SIELLANE,	SCÈNE V OLIMENE, SÉBASTE, MAXIME, VALÈRE, LEONICE, SIELLANE,
SOLIMENE.	SOLIMENE.
Eigneur, le Mõſtre eſt mort, & les Dieux irritez OVoyent Sebaſte au deſſus de leurs diuinitez, nont a leur malheur conu que ce grand homme Eſt auſſi braue icy comme il l'eſtoit à Rome.	Eigneur, le Monstre est mort, et les Dieux irrités OVoyent Sébaste au dessus de leurs divinités, nont a leur malheur conu que ce grand homme Est aussi brave ici comme il l'était à Rome.
MAXIME.	MAXIME.
Auſſi ie ſuis venu trouuer ſa Maieſté Pour le feliciter de l'auoir ſurmonté;	Aussi ici suis venu trouver sa Majesté Pour le féliciter de l'avoir surmonté;
[plique Seigneur, vous ſouffrirez que mon cœur vous exL'allegreſſe qu’il a d’vn coup ſi magnifiques parlãt lors que ie contredis vôtre inſigne valeur, à Sela crainte d’expoſer la Reyne à la fureur baſte.	[plique Seigneur, vous souffrirez que mon cœur vous exL'allégresse qu'il a d'un coup si magnifiques parlant lors que ie contredis votre insigne valeur, à Sela crainte d'exposer la Reine à la fureur baste.
De cette horrible beſte à ſa perte animée, firent que dans ce temps	De cette horrible bête à sa perte animée, firent que dans ce temps
SOLIMENE.	SOLIMENE.
Seigneur, ie ſuis charmée De voir qu'vn ſi grand Roy témoigne à ſa valeur l'allegreſſe qu’il a d’vn ſi rare bonheur.	Seigneur, ie suis charmée De voir qu'un si grand Roi témoigne à sa valeur l'allégresse qu'il a d'un si rare bonheur.
STELLANE.	STELANE.
Et moy ie viens auſſi prendre part à la ioye Que le Ciel par Sebaſte aujourd’hui nous enuoye	Et moi ie viens aussi prendre part à la joie Que le Ciel par Sébaste aujourd'hui nous envoie
SOLIMENE.	SOLIMENE.
Vn tel excés d’honneur merite infiniment:	Un tel excès d'honneur mérite infiniment:
Parlãt Seigneur, voilà ma ſœur dont Pœil eſt ſi charmant à Ma- Le cœur ſi genereux & l'ame ſi parfaite, cime.	Parlant Seigneur, voilà ma sœur dont Pœil est si charmant à Ma- Le cœur si généreux et l'âme si parfaite, cime.
Qu’en la voyant chacun l'adore & la ſouhaite:	Qu'en la voyant chacun l'adore et la souhaite:
C’eſt moy qui la deſtine à voſtre Majeſté, Pour la recompenſer de m’auoir ſouhaitté, Pourueu que toutefois, Sebaſte,	C'est moi qui la destine à votre Majesté, Pour la récompenser de m'avoir souhaité, Pourvu que toutefois, Sébaste,
SEBASTE.	SÉBASTE.
Ah !	Ah !
Madame, Que vos yeux liſent mieux dans le fond de mon ame, Se baſte eſt voſtre eſclaue, & ce n’eſt qu’à ſon Dieu Que voue deuen rhomage corilomeur eni ce lieu Accordez la Princeſſe & donnez voſtre Empire, Reſeruez-vous pour luy, ie ſuis preſt d’y ſouſcrire	Madame, Que vos yeux lisent mieux dans le fond de mon âme, Se baste est notre esclave, et ce n'est qu'à son Dieu Que voue deven rhomage corilomeur eni ce lieu Accordez la Princesse et donnez votre Empire, Réservez-vous pour notre, sans suis prêt d'y souscrire
MAXIME.	MAXIME.
Ie ſoûpire ardammét pour ſon bel œil vainqueur Et confeſſe à vos pieds qu’elle a gagné mon cœure Mas toutee que la tene eut lamais de richeſſe Eſt ſi fort au deſſous d’vne telle Princeſſe, Que i’attribuë aux Dieux cét excés de bonté Qui me fait eſperer cette rare beauté.	Je soupire ardammet pour son bel œil vainqueur Et confesse à vos pieds qu'elle a gagné mon cœr As toutee que la téné eut lamais de richesse Est si fort au dessous d'une telle Princesse, Que j'attribue aux Dieux cet excès de bonté Qui me fait espérer cette rare beauté.
SOLIMENE.	SOLIMENE.
Rendezeen pluſtoſt graces à celuy de Sebaſte, Dont le Nom eſt ſi ſaint & l'Empire ſi vaſte, u’il peut mettre au neant les vôtres & les miens, C'eſt luy ſeul qui nous doit tenir dans ſes liens, Luy de qui nous tenons cette heureuſe victoire Qui dedãs ce grand iour nous a comblé de gloire.	Rendezeen plutôt grâces à celui de Sébaste, Dont le Nom est si saint et l'Empire si vaste, uil ce grand jour avant les vôtres et les miens, C'est avait seul qui nous doit tenir dans ses liens, Lui de qui nous tenons cette heureuse victoire Qui dedans ce grand jour nous a comblé de gloire.
MAXIME.	MAXIME.
Ah!	Ah!
Madame, épargnez.	Madame, épargnez.
Mais quel enchãtement Me fait au meſme inſtant changer de ſentiment:	Mais quel enchamtement Me fait au même instant changer de sentiment:
Vne celeſte ardeur rend mon ame aſſeruie, Et ces Dieux pour qui i’eus prodigué biens & vie, Eſt-ce vn charme qui fait vn ſi prõpt changement?	Une céleste ardeur rend mon âme asservie, Et ces Dieux pour qui j'eus prodigué biens et vie, Est-ce un charme qui fait un si prompt changement?
Mais quoy, ce feu deuient encor plus vehement.	Mais quoi, ce feu devient encor plus véhément.
SOLIMENE.	SOLIMENE.
C'eſt vn Eſtre ſi ſaint, vne Eſſence ſi pure, Que ne l'aimer ſur tout eſt luy faire vne injure?	C'est un Être si saint, une Essence si pure, Que ne l'aimer sur tout est lui faire quelque injure?
Ma ſœur, à mon exemple adorez dans ce lieu Le pouuoir tout puiſſant de cét aymable Dieu, Ce Dieu n’eſt rien qu’amour.	Ma sœur, à mon exemple adorés dans ce lieu Le pouvoir tout -puissant de cet aimable Dieu, Ce Dieu n'est rien qu'amour.
STELLANE.	STELANE.
Ie reſſens que ſa flame Par de ſaintes douceurs enchante auſſi mon ame	Je ressens que sa flamme Par de saintes douceurs enchante aussi mon âme
MAXIME.	MAXIME.
Il penetre le mien auec tant de douceurs Que ie veux pour iamais adorer ſes grandeurs.	Il pénétrer le mien On tant de douceurs Que ils veux pour jamais adorer ses grandeurs.
SOLIMENE.	SOLIMENE.
Ma ſœur, puis que le Ciel dedans cette iournée	Ma sœur, puis que le Ciel dedans cette journée
Termine nos deſtins par vn double hymenées Allons ſans plus tarder dans cét auguſte lieu Que Sebaſte a conquis ſeulement pour ſon Dieu, Apprendre à nos Sujets par mille chants de ioye Que par luy de ce monſtre ils ne ſont plus la nore.	Termine nos destins par un double hyménées Allons sans plus tarder dans cet auguste lieu Que Sébaste a conquis seulement pour son Dieu, Apprendre à nos Sujets par mille chants de joie Que par Roi de ce monstre ils ne sont plus la nore.
Fin du cinquiéme ét dernier Aete.	Fin du cinquième est dernier Aète.
A AR grace & Priuilege du Roy, donné à Paris le trentiéme iour d’Octobre 1667.	A AR grâce et Privilège du Roi, donné à Paris le trentième jour d'Octobre 1667.
ſigné Par le Roy en ſon Conſeil, VAINCE, il eſt permis à CLAVDE OLRY DE LORIANDE Ingenieur du Roy, de faire imprimer, vendre & debiter vne Tragedie intitulée Le Heros tres Chreſtien, en tel volume, caractere, marge, & autant de fois qu’il voudra;	signé Par le Roi en son Conseil, VAINCE, il est permis à CLAUDE OLRY DE LORIANDE Ingénieur du Roi, de faire imprimer, vendre et débiter une Tragédie intitulée Le Héros très Chrétien, en tel volume, caractère, marge, et autant de fois qu'il voudra;
pendant le temps & eſpace de cinq ans, à commencer du iour qu’elle ſera acheuée d’imprimer pour la premiere fois:	pendant le temps et espace de cinq ans, à commencer du jour qu'elle sera achevée d'imprimer pour la première fois:
Et deffenſes ſont faites à tous Imprimeurs ou Libraires de l'imprimer, vendre, ny debiter pendant ledit temps ſans le congé ou conſentement dudit DE LORIANDE, à peine de mil liures d’amende & de confiſcation des exemplaires, comme il eſt porté plus amplement par leſdites nettres.	Et défenses sont faites à tous Imprimeurs ou Libraires de l'imprimer, vendre, ni débiter pendant ledit temps sans le congé par les pense DE LORIANDE, à peine de mille livres d'amende et de confiscation des exemplaires, comme il est porté plus amplement par lesdites nettres.
Acheué d’imprimer pour la premiere fois le quatorziéme Ianuier 1669.	Achevé d'imprimer pour la première fois le quatorzième Janvier 1669.
Regiſtré ſur le Liure de la Communauté des Imprimeurs & Marchands Libraires de cette ville de Paris, ſuiuant & conformément à l’Arrest de la Cour de Parlement du 8 Auril 1653.	Registré sur le Livre de la Communauté des Imprimeurs et Marchands Libraires de cette ville de Paris, suivant et conformément à l'Arrest de la Cour de Parlement du 8 Auril 1653.
aux charges & conditions portées par ledit priuilege.	aux charges et conditions portées par ledit privilège.
Fait à Paris le 11.	Fait à Paris le 11.
Ianuier 1669.	Janvier 1669.
Signé ANDRE' SOVBRON Syndic.	Signé ANDRÉ SOUBRON Syndic.
Et ledit Sieur De Loriande a cedé ſondit Priuillege à Pierre Bienfait Marchand Libraire à Paris, pour en ioüir ainſi qu’il eſt porté par leſdites Let1es.	Et ledit Sieur De Loriande a cédé sondit Privilège à Pierre Bienfait Marchand Libraire à Paris, pour en jouir ainsi qu'il est porté par lesdites Let1es.
