DOM PEDRE, Roy d’Aragon.	DOM PÉDRE, Roi d'Aragon.
SCLNVE V III LEONOR, LE ROY, LE COMTE, LE SECRETAIRE, GARDES, LE ROY reledant noonor, quren entrant fait vn faux-pas.	SCLNVE V III LEONOR, LE ROY, LE COMTE, LE SECRÉTAIRE, GARDES, LE ROY reledant noonor, quren entrant fait un faux-pas.
E' Madame!	E' Madame!
LI LEONOR.	LI LEONOR.
Beigneur, c'efe on pun-neut pour moy, Le Roy Qu'ayant à choir, ma cheute arriue aux pieds du nant ia R Dont le rang me preſcrit l’eſtat où ie me treuue.	Beigneur, c'efe on pun-neut pour moi, Le Roi Qu'ayant à choir, ma chute arrive aux pieds du nant ja R Ont le rang me prescrit l'état où je me trouve.
LE ROY.	LE ROY.
C’eſt de voſtre merite vne infaillible preuue, Que pour vous releuer & ſeruir au beſoin, A mes mains la fortune, en ait commis le ſoin;	C'est de votre mérite ici infaillible preuve, Que pour vous relever et servir au besoin, À mes mains la fortune, en ait commis le soin;
Oüy, Madame, ce ſoin tõbe en des mains puiſsãtes, Capables de remplir & paſſer vos attentes, .	Oui, Madame, ce soin tombe en des mains puissants, Capables de remplir et passer vos attentes, .
Qui vous peuuent dõner vn rang qui vous deffaut, Et ne releuent point, ſans eſleuer bien haut.	Qui vous peuvent donner un rang qui vous défaut, Et ne relèvent point, sans élever bien haut.
LEONOR.	LEONOR.
Que puis-ie deſormais craindre de la fortune, Si me terraçant meſme elle m'eſt importune;	Que puis-je désormais craindre de la fortune, Si me terraçant même elle m'est importune;
Si ma cheute m'eſleue, & ſi choir eſt vn ſaut, Pour me rendre plus ferme, & m’eſleuer plus haut, C’eſt d’vn bonheur inſigne vne preuue conſtante.	Si ma chute m'élève, et si choir est un saut, Pour me rendre plus ferme, et m'élever plus haut, C'est d'un bonheur insigne une preuve constante.
LE ROI Où s’addreſſent vos pas?	LE ROI Où s'adressent vos pas?
LEONOR.	LEONOR.
Ie paſſois chez l’Infante,	Je passais chez l'Infante,
Ie vous yrends:	Je vous yrends:
E ROY.	E ROY.
LEONOR.	LEONOR.
Seigneur!	Seigneur!
LE ROY.	LE ROY.
Accordez moy ce poinct, Mandez des cruautez, mais n’en exercez point, Rebutez, meſpriſez, tuez dans vne lettre, Mais preſente, ſouffrez ce qui ſe peut permettre, Et ne refuſez pas vne ciuilité,	Accordez -moi ce point, Mandez des cruautés, mais n'en exercez point, Rebutez, méprisez, tuez dans une lettre, Mais présente, souffrez ce qui se peut permettre, Et ne refusez pas une civilité,
LEONOR.	LEONOR.
Si i’oſois remonſtrer à voſtre Majeſté, Vnquuque ſi haut poinct que ſa bonté m’oblige, Ilm'eſt de conſéquence eſtant.	Si j'osais remontrer à votre Majesté, Unquuque si haut point que sa bonté m'oblige, Ilm'est de conséquence étant.
LE ROY.	LE ROY.
Allons vous diſ-je, Souffrez que ie vous rende en ſon appartement, Et là nous en viendrons ſur l’éclairciſſement.	Allons vous dis-je, Souffrez que je vous rende en son appartement, Et là nous en viendrons sur l'éclaircissement.
{OEIVS IAT DOM LOPE DE LVNE, LAZARILLE, ſortant de l’antichambre.	UOEIUS IAT DOM LOPE DE LUNE, LARILLE, sortant de l'antichambre.
LAZARILLE.	LAZARILLE.
V'attendons nous encor, malheureux que nous ſommes?	V'attendons nous encor, malheureux que nous sommes?
I’aybien veu du pays, i’ay bien conneu des hõmes, Mais ie n’en ay point veu, que le ciel en courroux, Rende par leur malheur ſi celebres que nous;	J'aibien vu du pays, j'ai bien connu des hommes, Mais des n'en ai point vu, que le ciel en courroux, Rende par leur malheur si célèbres que nous;
Et vous deuiendrez Grand, vanité ridicule!	Et vous deviendrez Grand, vanité ridicule!
Vous pourriés eſtre vn Mars, vn Ceſar, vn Hercule Que le ſort enragé qui talonne vos pas, pous neurteroit entor, & ne toum piroit pas.	Vous pourriez être un Mars, un César, un Hercule Que le sort enragé qui talonne vos pas, pous neurterait entor, et ne toum irait pas.
D.	D.
LOPE.	LOPE.
Sa rigueur en effet m’oppoſe tant d’obſtacles, Que pourtes vaincre tous, ue fuuuroit des miracles;	Sa rigueur en effet m'oppose tant d'obstacles, Que pourtes vaincre tous, ue fuurait des miracles;
Mais le Roy peut rentrer, attendons ſon retour.	Mais le Roi peut rentrer, attendons son retour.
LALARILEL.	LALARILEL.
O l’importun meſtier, que celuy de la cour!	Ô l'importun métier, que celui de la cour!
Il treuue la requeſte, & la ramaſſant dit.	Il trouve la requête, et la ramassant dit.
Qu'eſt-ce cy?	Qu'est-ce cy?
quelque traict encor de la fortune?	quelque trait encor de la fortune?
Qu'eſt-ce?	Qu'est-ce?
D.	D.
LOPE.	LOPE.
LAZARILLE liſant.	LAZARILLE lisant.
Requeſte au Roy de Dom Lope de Lune;	Requête au Roi de Dom Lope de Lune;
Et voſtre ame eſt prophete en ſespreſſentiments, De grands effets ſuiuront vos nobles moueements?	Et votre âme est prophète en sespressentiments, De grands effets suivront vos nobles mouéments?
Le ley Vous pouuez, ſur l’eſpoir que Dom Bernard vous donne, Pretendre à des degrez, proches de la couronne:	Le lei Vous pouvez, sur l'espoir que Dom Bernard vous donne, Prétendre à des degré, proches de la couronne:
Vous eſtes fort auant dedans l’eſprit du Roy, Vous ne ponuez manquer d’vn honorable employ:	Vous êtes fort avant dedans l'esprit du Roi, Vous ne ponvez manquer d'un honorable emploi:
Pour vous ſeul deſormais, les aſtres s’intereſſent, O de combien de vent les hommes ſe repaiſſent!	Pour vous seul désormais, les astres s'intéressent, Ô de combien de vent les hommes se repaissent!
Tenez, voſtre requeſte a fait vn grand effet, Et vous auez raiſon d’eſtre fort ſalisfait, Eue a des pieds du Prince eſſuyé la poußiere.	Tenez, votre requête a fait un grand effet, Et vous avez raison d'être fort salissait, Eue a des pieds du Prince essuyé la passion.
D.	D.
LOPE.	LOPE.
Dieut iamais deſeſpoir eut-il tant de matiere?	Dieut jamais désespoir eut-il tant de matière?
Dom Bernard qui peut tout, en vain me veut du bien, Ma valeur ſert l’Eſtat, & ne me produit rient y Ma parole eſt ſoufferte, & n’eſt point ecoutée, Ma requeſte eſt receuë, & puis eſt reiettée, I’ay touſiours lieu d’eſpoir, iamais d’euenement, Tout me rit, tout me flatte, & touſiours vainement;	Dom Bernard qui peut tout, en vain me veut du bien, Ma valeur sert l'État, et ne me produit rient y Ma parole est soufferte, et n'est point ecoutée, Ma requête est reçue, et puis est reiettée, J'ai toujours lieu d'espoir, jamais d'événement, Tout me rit, tout me flatte, et toujours vainement;
La fortune nous traicte auec trop d’iniuſtice, Pour nous promettre plus de vaincre ſon caprice.	La fortune nous traicte auec trop d'injustice, Pour nous promettre plus de vaincre son caprice.
Ne nous obſtinons plus en vne ingrate cour, Puiſque Cabrere arriue, attendons ſon retour;	Ne nous obstinons plus en une ingrate cour, Puisque Cabre arrive, attendons son retour;
Mais ſans plus nous flatter d’vne eſperance vaine, Sans que mes intereſts luy couſtent plus de peine;	Mais sans plus nous flatter d'une espérance vaine, Sans que mes intérêts Seigneur coûtent plus de peine;
Payons ſon amitié ſeulement d’vn adieu, Et fuyons pour iamais de ce funeſte lieu.	Payons son amitié seulement d'une adieu, Et fuyons pour jamais de ce funeste lieu.
reque- ſte	reque- te
2 TI	2 TY
SCENE PREMIERE.	SCÈNE PREMIÈRE.
DOM BERNARD, D.	DOM BERNARD, D.
LOPE, LAZARILLE.	LOPE, LAZARILLE.
M DOM BERNARD.	M DOM BERNARD.
Voy ce grand cœur s’esbranle, & Dom Lope de Lune Veut tourner lâchement le dos à la fortune, Et parmy ſes exploits laiſſera raconter, Qu'il eſt vn ennemy, qu’il a pù redouter?	Vois ce grand cœur s'ébranle, et Dom Lope de Lune Veut tourner lâchement le dos à la fortune, Et parmi ses exploits laissera raconter, Qu'il est un ennemi, qu'il a pù redouter?
I D.	I D.
LOPE.	LOPE.
Apres vne ſi longue, & ſi triſte auanture, Apres tant de mal-heurs, & de cette nature;	Après une si longue, et si triste aventure, Après tant de malheurs, et de cette nature;
Apres tant de reuers, de rebuts, de meſpris Capables de laſſer les plus fermes eſprits;	Après tant de revers, de rebuts, de mépris Capables de lasser les plus fermes esprits;
Quand Quand ie ne croirois pas mon malheur inuincible, deſtide tigeigey relen injemlele.	Quand Quand Madame ne croirais pas mon malheur invincible, destide tigeigey relen injemle.
D.	D.
BERNARD.	BERNARD.
Comme les Souuerains n’ont pas des droicts communs, Ils veulent quelquefois des deuoirs importuns, Et moins par nos effets que par noſtre conſtance.	Comme les Souverains n'ont pas des droits communs, Ils veulent quelquefois des devoirs importuns, Et moins par nos effets que par notre constance.
De nos affections éprouuent l’importance;	De nos affections éprouvent l'importance;
Tel que la Cour rebutte ou ne careſſe pas, Souuent mal à propos ſe laſſe au dernier pas;	Tel que la Cour rebutte ou ne caresse pas, Souvent mal à propos se lasse au dernier pas;
Et ſans la lâcheté de retourner arriere, Trouuoit vne Couronne au bout de ſa carriere;	Et sans la lâcheté de retourner arrière, Trouvait une Couronne au bout de sa carrière;
Ie ſçay que le deſtin qui diſpenſe les rangs, Tient pour nous les donner, des moyens differents;	Je sais que le destin qui dispense les rangs, Tient pour nous les donner, des moyens différents;
Par des chemins diuers, eleue aux grandes choſes, Et les ſeme à ſon gré, d’épines, ou de roſes;	Par des chemins divers, élève aux grandes choses, Et les seme à son gré, d'épines, ou de roses;
Ie ſçay que par vn heur qui ne ſe conçoit pas, Pour arriuer ſi haut, ie n’ay pas fait vn pas;	Je sais que par un heur qui ne se conçoit pas, Pour arriver si haut, ie n'ai pas fait un pas;
Et que tout mon credit & toute ma puiſſance, Ne ſont qu'vn ſimple effet de mon obeïſſance;	Et que tout mon crédit et toute ma puissance, Ne sont qu'un simple effet de mon obéissance;
Que ie meritois moins, que vous ne meritez, Et qu’on m'a tout donné ce que vous acheptez;	Que était méritais moins, que vous ne méritez, Et qu'on m'a tout donné ce que vous achettez;
Mais ce meſme deſtin dont l’aueugle caprice, Me fait tant de faueur, à vous tant d’iniuſtice, Peut de la meſme main, dont il m’a fait monter, Et vous mettre en ma place, & m'en precipiter;	Mais ce même destin dont l'aveugle caprice, Me fait tant de faveur, à vous tant d'injustice, Peut de la même main, dont il m'a fait monter, Et vous mettre en ma place, et m'en précipiter;
De ma part ſoyez ſeur d’vne ardeur ſans pareille, Et qu’au poinct où du Roy ie poſſede l’oreille, Deu pun que junamoioponuu umdaſoupaits, Mes ſoins vous produiront d’infaillibles ſuccés.	De ma part soyez sûr d'une ardeur sans pareille, Et qu'au point où du Roi ie possede l'oreille, Deu pun que junamoioponu umdasoupaits, Mes soins vous produiront d'infaillibles succès.
D.	D.
LOPE.	LOPE.
Quelques traits ſi perçants dont la douleur me touche, Auet tette vonte vous me fermez la bouche, Et ie tiendray l’honneur de voſtre affection, Pour le plus digne obiet de mon ambition.	Quelques traits si perçants dont la douleur me touche, Auet tette vonte vous me fermez la bouche, Et ton tiendrai l'honneur de votre affection, Pour le plus digne objet de mon ambition.
D.	D.
BERNARD.	BERNARD.
Au reſte de quei eu voyez vons vibtante?	Au reste de quei eu voyez vons vibtante?
D.	D.
LOPE.	LOPE.
Ce nom m'eſt incognu.	Ce nom m'est inconnu.
D.	D.
BERNARD.	BERNARD.
Quoy le nom de l’Infante!	Quoi le nom de l'Infante!
Ce nom, par qui le ciel nous voulut exprimer, L’inuincible pouuoir qui force de l’aymer?	Ce nom, par qui le ciel nous voulut exprimer, L'invincible pouvoir qui force de l'aimer?
Et treuue tous les cœurs ſans deffenſe, & ſans armes?	Et trouve tous les cœurs sans défense, et sans armes?
D.	D.
LOPE.	LOPE.
I'en confondois le nom, mais i’en cognois les charmes;	J'en confondais le nom, mais j'en connais les charmes;
Et ſi mon mauuais ſort me permet d’en parler, N’ay rien veu ſous le ciel qu’on luy puiſſe égaler;	Et si mon mauvais sort me permet d'en parler, N'ai rien vu sous le ciel qu'on lui puisse égaler;
Ny qui ſouſmettevne ame auecques plus d’empire Mais quelque haut deſſein que l’amour vous inſire;	Ni qui soumette âme était plus d'empire Mais quelque haut dessein que l'amour vous insire;
Voſtre heur & vos vertus, vous la peuuent donner, Et ce leur ſeroit peu que de vous couronner.	Votre heur et vos vertus, vous la peuvent donner, Et ce leur serait peu que de vous couronner.
D.	D.
BERNARD.	BERNARD.
Traictons auec reſpect les dignitez ſupreſmes, Et ne touchons iamais iuſques aux diadeſmes;	Traitons toujours respect les dignités suprêmes, Et ne touchons jamais jusques aux diadèmes;
Les Ciel qui les ſacra, veut qu’ils ſoient reuerez, Et n’ouure point l’oreille aux vœux immoderez.	Les Ciel qui les sacrés, veut qu'ils soient révérez, Et n'ouvre point l'oreille aux vœux immodéré.
Allons de nos lauriers faire hommage à ſes charmes, Et rendre compte au Roy du ſuccés de ſes armes;	Allons de nos lauriers faire hommage à ses charmes, Et rendre compte au Roi du succès de ses armes;
Venez les veritez que i’y diray de vous, Feront de ce recit, les brillants les plus doux.	Venez les vérités que j'y dirai de vous, Feront de ce récit, les brillants les plus doux.
BCLIVD IT LE ROY, LE COMTE, GARDES,	BCLIVD IT LE ROI, LE COMTE, GARDES,
LE COMTE voyant le Roy aſſoupy.	LE COMTE voyant le Roi assoupi.
Veltrauan intrumn run ue vijtre viſage, VPreſque du mouuement vous derobe l’vſage.	Veltravan intrumn run ue vijtre visage, VOdresque du mouvement vous derobe l'usage.
Et vous cauſe, Seigneur, cet aſſoupiſſement?	Et vous cause, Seigneur, cet assoupissement?
LE ROY.	LE ROY.
Le ſommeil nous preſſant ſe vainc malaiſément, La muſique, le ieu, cent tours à la feneſtre, De cet Aſtre inhumain, qui n’a daigné paroiſtre, Cent plaintes à ſa porte, & cent ſouſpirs ſans fruit, M'ont oſté le repos de l’ame & de la nuict;	Le sommeil nous pressant se vainc malaisément, La musique, le jeu, cent tours à la fenêtre, De cet Astre inhumain, qui n'a daigné paraître, Cent plaintes à sa porte, et cent soupirs sans fruit, M'ont ôté le repos de l'âme et de la nuit;
Tant que m’ayant des ſens preſque interdit l'vLe iour, veut de la nuict, me repuirtr loutrage;	Tant que m'ayant des sens presque interdit l'uNe jour, veut de la nuit, me répuirtr outrage;
Mais Dom Bernard arriue, & vient d’vn doux reſueil, Guerir ma laßjtude, & charmer mon ſommeil;	Mais Dom Bernard arrive, et vient d'Homme doux réveil, Guer ma lassjtude, et charmer mon sommeil;
Il a tant fait pour moy, que pour ſa recompenſe, Mon pouuoir auiourd huy cognop fuirimpuspance.	Il a tant fait pour moi, que pour sa récompense, Mon pouvoir aujourd' hui connop fuirimpuspance.
LE COMTE.	LE COMTE.
Les prix qui d’vn grand cœur ſuiuent les grands exploits, Sont les plus clairs brillãts des Couronnes des Rois;	Les prix qui d'un grand cœur suivent les grands exploits, Sont les plus clairs brillants des Couronnes des Rois;
Aux grandes actions leur charme nous inuite, Par eux l’ame s’eſleue, & la vertu s’excite;	Aux grandes actions leur charme nous inuite, Par eux l'âme s'élève, et la vertu s'excite;
Par eux il n’eſt deſſein dont on ne vienne à bout, Et ne rien épargner, eſt l’art d’acquerir tout;	Par eux il n'est dessein dont on ne vienne à bout, Et ne rien épargner, est l'art d'acquérir tout;
Mais ſi pour vn ſuiet, iamais vos mains Royales, Ont eu lieu de s’ouurir, & d’eſtre liberales;	Mais si pour un sujet, jamais vos mains Royales, Ont eu lieu de s'ouvrir, et d'être libérales;
Dom Bernard ſi fameux par tant d’occaſions, Eſt le plus digne obiet de vos profuſions;	Dom Bernard si fameux par tant d'occasions, Est le plus digne objet de vos profusions;
Puiſqu'aux nobles trauaux de te courage illuſtre, Les armes d’Arragon doiuẽt leur plus beau luſtre;	Puisqu'aux nobles travaux de te courage illustre, Les armes d'Aragon doivent leur plus beau lustre;
Et qu’enfin quelque éclat dont il ſoit reueſtu, Son rang ſera touſiours moindre que ſa vertu.	Et qu'enfin quelque éclat dont il soit revêtu, Son rang sera toujours moindre que sa vertu.
LE RO Ie cognoy ma foibleſſe, à le bien recognoiſtre, Il épuiſe ma force, à force de l’accroiſtre:	LE RO Je connais ma faiblesse, à le bien reconnaître, Il épuise ma force, à force de l'accroître:
Iunstommans bien-faits, il l’emporte ſur moy, Ie luy donne en vaſſal & luy me donne en Roy:	Junstommants bienfaits, il l'emporte sur moi, Je lui donne en vassal et lu me donne en Roi:
Mais l’amitié qui rend toute choſe commune, Luy va comme mon cœur, partager ma fortune, Et ſur ſon ſeul merite appuyer mon pouuoir, Il arriue, auançons, allons le receuoir, M0 Et baſtir auiourd’huy le plus haut edifice, Qu'ayent iamais epeut te ſort & ta iaſtice.	Mais l'amitié qui rend toute chose commune, Lui va comme mon cœur, partager ma fortune, Et sur son seul mérite appuyer mon pouvoir, Il arrive, avançons, allons le recevoir, M0 Et bâtir aujourd'hui le plus haut édifice, Qu'aient jamais éput te sort et ta jastice.
