YV RE, R Y	YU RE, R Y
M’apportant de l'Eſtat de fidelles papiers, Où rencon reras-tu ces nouueaux Officiers?	M'apportant de l'État de fidèles papiers, Où rencon reras-tu ces nouveaux Officiers?
ACTE	ACTE
ACTETV.	ACTET.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
AGYS.	AGIS.
THEODOSE.	THÉODOSE.
LE ROY.	LE ROY.
FILENE	SILÈNE
Vel hommage vous doit, en ſa charge nouuelle, Vn qui n’a merité, que le nom de fidelle?	Vel hommage vous doit, en sa charge nouvelle, Un qui n'a mérité, que le nom de fidèle?
A qui vostre bonté donne vn commandement, Dont tant d’autres pourroient s’acquitter dignement.	À qui votre bonté donne un commandement, Dont tant d'autres pourraient s'acquitter dignement.
Sire, une telle charge euſt mon ame eſtonnée, Si telle que les Dieux la vostre n’eſtoit née, Qui nobligent iamais a prendre de ſoucy, Sans donner les moyens d’executer auſſi:	Sire, une telle charge eût mon âme étonnée, Si telle que les Dieux la vôtre n'était née, Qui nobligent jamais a prendre de souci, Sans donner les moyens d'exécuter aussi:
Vous regnerez en paix, ou vos villes frontieres, De tous vos ennemis ſeront les cimetieres.	Vous régnerez en paix, ou vos villes frontières, De tous vos ennemis seront les cimetières.
THEODOSE ADMIRAL.	THÉODOSE ADMIRAL.
Et moy, quelque mutin que ſoit cét element, Qu'a ſousmis à ma loy voſtre commandement:	Et moi, quelque mutin que soit cet élément, Qu'a soumis à ma loi votre commandement:
Ie le veux aſſeruir auec tant de puiſſance, Qu’il ne reſpirera que voſtre obeyſſance, Qu’il rendra ſous vos gens tous ſes flots endormis, Et n’ouurira ſon ſein qu’aux vaiſſeaux ennemis.	Je le veux asservir avec tant de puissance, Qu'il ne respirera que votre obéissance, Qu'il rendra sous vos gens tous ses flots endormis, Et n'ouvrira son sein qu'aux vaisseaux ennemis.
LE ROY.	LE ROY.
Dois-ie croire auiourd’huy mes yeux, & mes oreilles?	Dois-je croire aujourd'hui mes yeux, et mes oreilles?
Qui ſe treuua iamais en des peines pareilles?	Qui se trouva jamais en des peines pareilles?
Qui change mon estat en ſi peu de moments, Et qui vous a pourueus del ces commandements.	Qui change mon état en si peu de moments, Et qui vous a pourvus dél ces commandements.
AGYS.	AGIS.
Nos deux prouiſions nous ont eſté données.	Nos deux provisions nous ont été données.
Auec le vice-Roy vous les auez ſignées, cont jraiſenement, Leandre, a nos ſermens receus.	Avec le vice-Rais vous les avez signées, cont jraisenement, Léandre, à nos serments reçus.
Sire, que nous peut-on reprocher là deſſus?	Sire, que nous peut-on reprocher là -dessus?
LE ROY, Que pretend ce Leandre, & quel droict luy ſugere Ces grands ſoin, pourt'Estur,uont jon eſprit s’ingere?	LE ROY, Que prétend ce Léandre, et quel droit avait sugère Ces grands soin, pourt-Estur,uont jon esprit s'ingère?
Qui le faict ſans adueu gouuerner mes ſubiects, Et faire à mon deceu de ſemblables proiects?	Qui le fait sans aveu gouverner mes sujets, Et faire à mon déçu de semblables proiects?
FILENE.	SILÈNE.
Sire, ſi l’on me doit receuoir pour arbitre, Vous-meſme vous l’auez honoré de ce tiltre, Et i’ay durant ce mal, qui troubloit vostre eſprit, Veuſes prouiſions, où vous auez ſouſcrit.	Sire, si l'on me doit recevoir pour arbitre, Vous-même vous l'avez honoré de ce titre, Et j'ai durant ce mal, qui troublait vôtre esprit, Veuses provisions, où vous avez souscrit.
E ROY, mettant l’epée à la main.	E ROY, mettant l'épée à la main.
Traiſtres, vous trempez tous en meſme intelligence, Et ie prendray de tous vne égale vengeante.	Traîtres, vous trempez tous en même intelligence, Et tu prendrai de tous une égale vengeante.
Quoy que pour éuiter mon courroux ſans pareil, pourſuit Vous fuſſieZ éleuez dans le char du Soleil, Ce vif reſſentiment, me fourniroit des aiſles, Pour atteindre, & punir vos teſtes infidelles.	Quoi que pour élever mon courroux sans pareil, poursuit Vous fussiez élevez dans le char du Soleil, Ce vif ressentiment, me fournirait des ailes, Pour atteindre, et punir vos têtes infidèles.
E Sire, miſericorde!	E Sire, miséricorde!
GENERAL.	GÉNÉRAL.
ILENE.	ILENE.
O Dieux!	Ô Dieux!
qu’ay ie commis?	qu'ai personne commis?
LE ROY, Tu reclames en eux tes plus grands ennemis, Et les Dieux les premiers ordonnent ton ſupplice, Et conſeruent les Roys s’ils ayment la Iuſtice.	LE ROY, Tu réclames en eux tes plus grands ennemis, Et les Dieux les premiers ordonnent ton supplice, Et conservent les Rois s'ils aiment la Justice.
Vous fuyeZ vainement les bras victorieux Des Roys, & de la mort,s'eſtendent en tous lieux.	Vous fuyeZ vainement les bras victorieux Des Rois, et de la mort,s'étendent en tous lieux.
AROIETV	AROIETU
SCENE SIXIESME.	SCÈNE SIXIÈME.
FABRICE.	FABRICE.
LEROY.	LEROY.
FABRICE.	FABRICE.
L faut vſer du temps, quand la Fortune l’offre,	L faut user du temps, quand la Fortune l'offre,
L Où ſont-ils?	 Où sont-ils?
LE ROY.	LE ROY.
FABRICE.	FABRICE.
Ha!	Ha!
pardon, Sire, ils ſont dans mon coffre.	pardon, Sire, ils sont dans mon coffre.
Ne me puniſſez pas auant que de m’oüyr, Ceste fourbe ne fut, que pour vous reſioüyr.	Ne me punissez pas avant que de m'ouïr, Cette fourbe ne fut, que pour vous réjouir.
LE ROY.	LE ROY.
Reſioüyr, impudent:	Réjouir, impudent:
Ha!	Ha!
ces ames hardies, Iront dans les Enfers faire leurs comedies.	ces âmes hardies, Iront dans les Enfers faire leurs comédies.
Leurs jeux auront là bas de plus charmans attraits, Et Leandre, & beaucoup ſuiuront leurs pas de pres.	Leurs jeux auront là bas de plus charmants attraits, Et Léandre, et beaucoup suivront leurs pas de pres.
TABRICE	TABRICE
FABRICE.	FABRICE.
Le ſilence, & la feinte icy ſont neceſſaires, Dieux!	Le silence, et la feinte ici sont nécessaires, Dieux!
que i’ay bien pensé deſcouurir des affaires!	que j'ai bien pensé découvrir des affaires!
LE ROY.	LE ROY.
Que faict donc Liliane?	Que fait donc Liliane?
FABRICE, tout bas.	FABRICE, tout bas.
Ha!	Ha!
ne craignons plus rien.	ne craignons plus rien.
Sire, c’est vn eſprit bien troublé, que le ſien, au Roy.	Sire, c'est un esprit bien troublé, que le sien, au Roi.
Et ie croy que l'amour touche peu ſon enuie, Voyant le Due ſi prest de terminer ſa vie.	Et petit crois que l'amour touche peu son envie, Voyant le Due si prêt de terminer sa vie.
LE ROY.	LE ROY.
Quel ſi prompt accident doit terminer ſon ſort?	Quel si prompt accident doit terminer son sort?
FABRICE.	FABRICE.
Sire, on ſçait que vous-meſme, auez ſigné ſa mort, Et ſa fille a receu de voſtre bonté meſme, Le conſeil d'eſpouſer ce Tancrede qui l’ayme.	Sire, on sait que vous-même, avez signé sa mort, Et sa fille a reçu de votre bonté même, Le conseil d'épouser ce Tancrede qui l'aime.
Il est bien vray, qu’alors que cét humeur vous prit, Vn mal bien violent alteroit voſtre eſprit.	Il est bien vrai, qu'alors que cet humeur vous prit, Un mal bien violent altérait votre esprit.
LE ROY, tenant encore ſon épée nuë.	LE ROY, tenant encore son épée nue.
M’a-t’il effrontément forgé ceſte chimere!	M'a-t-il effrontément forgé cette chimère!
Cent tujeras l obtett de fonte mas cootere.	Cent tujeras l obtett de fonte mas cote.
FABRICE, tout bas s’enſuyant.	FABRICE, tout bas s'ensuyant.
Ouy, ſi ie vous attends;	Oui, si belle vous attends;
Quel ſort iniurięux A fait d’vn mal ſi doux, vn mal ſi furieux?	Quel sort iniurięux A fait d'un mal si doux, un mal si furieux?
LE ROY ſeul.	LE ROY seul.
Liliane eſpouſée!	Liliane épousée!
O Ciel est-il vn foudre, Que tu n’as pas reduit tous ces traiſtres en poudre?	Ô Ciel est-il un foudre, Que tu n'as pas réduit tous ces traîtres en poudre?
Liliane eſpouſée, & ſon pere eſtre au poinct, De ſouffrir vn treſpas, qu’il ne merite point.	Liliane épousée, et son père être au point, De souffrir un trépas, qu'il ne mérite point.
Traiſtres,s’il est ainſi, ny mer, ny cieux, ny terres Ne vous affranchiront des coups de mes tonnerres, I'immoleray vos iours auec ces propres mains, Et contre mes efforts les voſtres ſeront vains.	Traîtres,s’il est ainsi, ni mer, ni mieux, ni terres Ne vous affranchiront des coups de mes tonnerres, J'immolerai vos jours avec ces propres mains, Et contre mes efforts les vôtres seront vains.
NCTE V	NCTE V
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LE DVC ALEXANDRE, conduit par le Capitaine des Gardes à l’eſchafaut.	LE DUC ALEXANDRE, conduit par le Capitaine des Gardes à l'échafaut.
LE COMTE TANCREDE.	LE COMTE TANCREDE.
LILIANE.	LILIANE.
LE BOVRREAV.	LE BOURREAU.
MELITE.	MELITE.
LE DVCALEXANDRE, à ſa fille.	LE DUCALEXANDRE, à sa fille.
Rreſte de tes pleurs la courſe vagabonde, TY Puis qu’ils ne peuuent rien pour m'arreſter au monde;	Rreste de tes pleurs la course vagabonde, TY Puis qu'ils ne peuvent rien pour m'arrêter au monde;
Et plutost beniſſons la faueur de nos Dieux, Qui m’oſte de la terre, & qui m’apelle aux cieux, Il eſt vray iuſtes Dieux, que ſouffrir mon ſuplice, C’eſt pour vn iuſte effet, permettre vne iniustice, C’eſt vouloir par la mort, m’exempter de mourir.	Et plutôt bénissons la faveur de nos Dieux, Qui m'ôte de la terre, et qui m'appelle aux cieux, Il est vrai justes Dieux, que souffrir mon suplice, C'est pour un juste effet, permettre une injustice, C'est vouloir par la mort, m'exempter de mourir.
Enfin, c’eſt me bleſſer, afin de me guerir:	Enfin, c'est me blesser, afin de me guérir:
Mais de quelque façon que la force en diſpoſe, L’eſpoir du bon effet me fait aymer la cauſe.	Mais de quelque façon que la force en dispose, L'espoir du bon effet me fait aimer la cause.
Et ie ne me plains point en mon ſort rigoureux, De mourir innocent, afin de aiure heureux.	Et grande ne me plains point en mon sort rigoureux, De mourir innocent, afin de aiure heureux.
E 2 Vn tyran peut beaucoup;	 2 Un tyran peut beaucoup;
mais il eſt incapable, Auec tout ſon pouuoir, de me rendre coupable:	mais il est incapable, Au tout son pouvoir, de me rendre coupable:
Il peut forger vn crime, & non le maintenir:	Il peut forger un crime, et non le maintenir:
Il me peut outrager, & non pas me punir:	Il me peut outrager, et non pas me punir:
Ainſi puis-qu’il ne peut me reprocher de vice, Si vous deuez pleurer, pleurez ſon iniuſtice.	Ainsi puis-qu'il ne peut me reprocher de vice, Si vous devez pleurer, pleurez son injustice.
Poyee-moy d'on eu jee jonſnu iniupement, Et pleurez ſon futur & iuſte chastiment.	Poie-moi d'on eu jee jonsnu injupement, Et pleurez son futur et juste châtiment.
LE COMTE TANCREDE.	LE COMTE TANCREDE.
Que ne ſuis ie ſans yeux, comme vous ſans offence, Pour ne voir, ny pleurer cette iniuste licence.	Que ne suis Seigneur sans yeux, comme vous sans offense, Pour ne voir, ni pleurer cette injuste licence.
Le coulpable est oüy ſur le poinct du trépas?	Le coulpable est oui sur le point du trépas?
Et pourquoy l’innocent ne le ſera-t’il pas?	Et pourquoi l'innocent ne le sera-t-il pas?
LE DVC.	LE DUC.
Ne vous eſtonneZ point des droicts, dont on me priue, On n’entend point celuy qu’un ne veut pas qui viue.	Ne vous étonnez point des droits, dont on me prive, On n'entend point celui qu'un ne veut pas qui vive.
Le voleur qui de nuict nous trauerſe le ſein, Ne nous aduertit pas, qu’il en a le deſſein, Et ne demande pas auant qu’oſter la vie, Des ruijons qui pournoient uintiin jon cnuie.	Le voleur qui de nuit nous traverse le sein, Ne nous avertit pas, qu'il en a le dessein, Et ne demande pas avant qu'ôter la vie, Des ruijons qui pournaient uintiin jon cnuie.
LE BOVRREAV.	LE BOURREAU.
Depuïs qu’on a perdu les moyens d’eſperer, C’est vne laſcheté que de tant differer.	Dépuis qu'on a perdu les moyens d'espérer, C'est une lâcheté que de tant différer.
LILIANÉ.	LILIAN.
Cruel que ſur mon chef ceſt orage s’eſpanche, Pour abbatre le tronc, commance par la branche;	Cruel que sur mon chef cet orage s'épanche, Pour abattre le tronc, commance par la branche;
S’il meurt, dois-ie reſter en nombre des humains:	S'il meurt, dois-je rester en nombre des humains:
Non, non, i’offre mon col à tes barbares mains.	Non, non, j'offre mon col à tes barbares mains.
LE DVC.	LE DUC.
Ne me poauant, ma fille, apporter d’aſſistance, Au moins ne taſche point d’esbranler ma conſtance, Ces tranſports ne font nen qu'uaguenter mon tourmet, Et	Ne me pavant, ma fille, apporter d'assistance, Au moins ne tâche point d'ébranler ma constance, Ces transports ne font nen qu'aguenter mon tourmet, Et
C’est que ie rende l’ame auec ceſte aſſeurance, Qu'en ce ieune Seigneur tu mets ton eſperance, Que tu n’auras iamais d’autres affections, Et qu’vn heureux hymen ioindra vos paſſions, Suy par tout la fortune, & les pas de ce Prince:	C'est que deux rende l'âme avec cette assurance, Qu'en ce jeune Seigneur tu mets ton espérance, Que tu n'auras jamais d'autres affections, Et qu'un heureux hymen joindra vos passions, Suy par tout la fortune, et les pas de ce Prince:
Et puis qu’on le bannit, ſorts de ceſte prouince, Ie ſçay ton naturel, & tu ne pourrois pas Viure ſans deſplaiſir au lieu de mon treſpas.	Et puis qu'on le bannit, sorts de cette province, Je sais ton naturel, et tu ne pourrais pas Vivre sans déplaisir au lieu de mon trépas.
Ie me plaindrois à tort de ceſte main infame, Ton vnique beauté, ma fille, m’oſte l’ame.	Je me plaindrais à tort de cette main infâme, Ton unique beauté, ma fille, m'ôte l'âme.
C’eſt de l’amour du Roy le furieux effet:	C'est de l'amour du Roi le furieux effet:
Enfin i’ay faict les traicts, par qui ie ſuis desfaict, Mais contre leurs douleurs ma constance eſt ſans armes:	Enfin j'ai fait les traits, par qui ie suis défait, Mais contre leurs douleurs ma constance est sans armes:
Me voilà preſt, acheue, & ma vie, & leurs larmes.	Me voilà prêt, achève, et ma vie, et leurs larmes.
Oſte-moy le bandeau, porte-le ſur leurs yeux, Ou vueilles pour le moins les chaſſer de ces lieux.	Oste-moi le bandeau, porte-le sur leurs yeux, Ou veuilles pour le moins les chasser de ces lieux.
Cruel exempte les de voir mon infortune, Et n’aſſaſſine pas trois perſonnes pour vne.	Cruel exempte les de voir mon infortune, Et n'assassine pas trois personnes pour une.
Ieurant	Jeurant
2	2
ACTE	ACTE
ACTE V	ACTE V
SCENE SECONDE.	SCÈNE SECONDE.
LE ROY;	LE ROY;
& quelques autres ſeruiteurs.	et quelques autres serviteurs.
Vel obiect de frayeur ſe preſente à mes yeux?	Vel objet de frayeur se présente à mes yeux?
ZEt qui cauſe les pleurs qu’on répand en ces lieux	ZEt qui cause les pleurs qu'on répand en ces lieux
DORAME.	DORAME.
Sire, voyant enfin ceſte main preparée A l’execution ſi long-temps differée, Vous deuez condamner leurs regrets ſeulement, Qui ſont le ſeul ſuiect de ce retardement.	Sire, voyant enfin cette main préparée A l'exécution si longtemps différée, Vous devez condamner leurs regrets seulement, Qui sont le seul sujet de ce retardement.
LE ROY.	LE ROY.
Ne me continuë point ces raiſons dont tu m’vſes, Ce ſeroit de ſa mort qu’il faudroit des excuſes, Tu m’aurois affligé de m’eſtre obeyſſant, Et ces retardemens ſauuent vn innocent.	Ne me continue point ces raisons dont tu m'uses, Ce serait de sa mort qu'il faudrait des excuses, Tu m'aurais affligé de m'être obéissant, Et ces retardements sauvent un innocent.
Il parle Suiet, vrayment loyal, ſi i’en ay de fidelles, Cher Duc à qui ie dois des graces eternelles, Bon, entre les mortels, s’il en peut eſtre vn bon.	Il parle Suite, vraiment loyal, si j'en ai de fidèles, Cher Duc à qui a pais des grâces éternelles, Bon, entre les mortels, s'il en peut chang un bon.
Priſonnier, dont ie viens implorer le pardon.	Prisonnier, dont notre viens implorer le pardon.
Azile, où maintenant ie cherche du refuge, Apres tant de trauaux, ſois Iuge de ton Iuge.	Asile, où maintenant ie cherche du refuge, Après tant de travaux, sois Juge de ton Juge.
Depuis peu, tous mes gens ont en moy recogneu, Vn mal dont toutefois le genre eſt incognu, Et i’atteſte le ciel, qui par tout remedie, Si ie me reſſouuiens de ceſte maladie, Et ſi(comme ils m’ont dit) ie ſçache auoir ſongé, A cauſer la miſere où ie te vois plongé.	Depuis peu, tous mes gens ont en moi reconnu, Un mal dont toutefois le genre est inconnu, Et j'atteste le ciel, qui par tout remédie, Si grands de ressouuiens de cette maladie, Et si homme ils m'ont dit) apprendre sache avoir songé, A causer la misère où ie te vois plongé.
Si ie puis conſentir à pareille iniuſtice, Et ſi de cét arrest ma raiſon fut complice:	Si personne puis consentir à pareille injustice, Et si de cet arrêt ma raison fut complice:
Puis-que i’estois reduit à ce terme fatal, Pardonne ceste iniure, ou condamne ce mal.	Puis-que j'étais réduit à ce terme fatal, Pardonne cette injure, ou condamne ce mal.
Toy, Reine de mes vœux, mon vnique penſés.	Toi, Reine de mes vœux, mon unique pensez.
Songe à la gueriſon de mon ame bleſſée.	Songe à la guérison de mon âme blessée.
Ceſſe de t’informer ſi mes deſirs ſont ſaincts, Car ie n’ay plus pour toy que de chastes deſſeins.	Cesse de t'informer si mes désirs sont saints, Car tu n'ai plus pour toi que de chastes desseins.
Il eſt vray qu’autrefois te voüant mon ſeruice, La vertu me fut moins en obiect que le vice:	Il est vrai qu'autrefois te vouvant mon service, La vertu me fut moins en objet que le vice:
Mais aniourd’huy le Ciel en diſpoſe autrement, Et i’ay des paſſions pour l’hymen ſeulement:	Mais anjourd'hui le Ciel en dispose autrement, Et j'ai des passions pour l'hymen seulement:
Ie ne dois pas ſouffrir qu’on accorde à ce Prince, Le plus rare ornement de toute ma prouince:	Je ne dois pas souffrir qu'on accorde à ce Prince, Le plus rare ornement de toute ma province:
Mais ſi le Ciel conſent au deſſein que i’ay faict, Si nous ſommes contents, il ſera ſatisfaict:	Mais si le Ciel consent au dessein que j'ai fait, Si nous sommes contents, il sera satisfait:
MELITE, tout bas.	MELITE, tout bas.
En l’aymable tranſport que ce plaiſir m’excite, Ie doute ſi ie vis, & ſi ie ſuis Melite.	En l'aimable transport que ce plaisir m'excite, Je doute si ici vis, et si sans suis Melite.
LE DVC.	LE DUC.
Pous on ousfei puauuijuuit baiſe vos pa.	Pous on ousei puauuijuuit baise vos paye.
LE ROY le releuant.	LE ROY le relevant.
Allons voir, mes amis, ce qu’on n’eſpere pas, Des ſoucys diligens ſont icy neceſſaires, Et vous ſerez teſmoins de nouuelles affaires.	Allons voir, mes amis, ce qu'on n'espère pas, Des soucis diligents sont ici nécessaires, Et vous serez témoins de nouvelles affaires.
LILIANE.	LILIANE.
Au moins en ces tranſports.	Au moins en ces transports.
LE	LE
LE ROY.	LE ROY.
Accordez-moy ce point, De ſuiure ſeulement, & de ne parler point.	Accordez-moi ce point, De suivre seulement, et de ne parler point.
parlant Dorame, c’eſt icy qu’il faut paroistre agile, au Cap.	parlant Dame, c'est ici qu'il faut paraître agile, au Cap.
A fermer promptement les portes de la ville, On cognoiſtra dans peu le iuste ſoing des Dieux, Et combien deuant enx les Roys ſont precieux.	À fermer promptement les portes de la ville, On connaîtra dans peu le juste soin des Dieux, Et combien devant enx les Rois sont précieux.
e e M	Je eÈS
SCENE TROISIESME.	SCÈNE -TROISIÈME.
FABRICE ſeul.	FABRICE seul.
Nl’eſtat où ie ſuis, qui ne ſeroit en peine?	Nl'état où belle suis, qui ne serait en peine?
EIl a, s’il eut iamais, la veuë & l’ame ſaine, Et ſi ſa Majesté ſçait l’autheur de ce vol, Ie croy que peu de gens reſpondroient de mon col.	EIl a, s'il eut jamais, la vue et l'âme saine, Et si sa Majesté sait l'auteur de ce vol, Je crois que peu de gens répondraient de mon col.
Que i’ay mal à propos ceste fourbe donnée, Que qui porte de l’or doit mourir ceste année!	Que j'ai mal à propos cette fourbe donnée, Que qui porte de l'or doit mourir cette année!
Car ſi l’on voit cét or, dont ie ſuis le porteur, La fauſſe inuention ſera vraye à l’autheur.	Car si l'on voit cet or, dont je suis le porteur, La fausse invention sera vraie à l'auteur.
En ce faſcheux eſtat, ie crains de voir mon ombre, Ie m’imagine auoir des eſpions ſans nombre:	En ce fâcheux état, Seigneur crains de voir mon ombre, Je m'imagine avoir des épions sans nombre:
Mais cachons promptement, voicy le Vice-Roy.	Mais cachons promptement, voici le Vice-Roi.
ACTE	ACTE
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
LEANDRE.	LÉANDRE.
FABRICE.	FABRICE.
LEANDRE.	LÉANDRE.
Vel homme eſt aujourd'huy plus mal-heureux Y que moy?	Vel homme est aujourd'hui plus malheureux Y que moi?
Destins iniurieux & ſourds à ma priere, Gnea inaypens daimidoe mnxaumacen Voyant l’estat du Roy preuenez ſon deſſein, Auancez mon treſpas, s’il est vray qu’il est ſain.	Destins injurieux et sourds il est prière, Gnea inaïpens daimidoe mnxaumacen Voyant l'état du Roy prévenez son dessein, Avancez mon trépas, s'il est vrai qu'il est sain.
Le Roy vit-il encor en ceste reſuérie?	Le Roi vit-il encor en cette resuérie?
FABRICE.	FABRICE.
Le Ciel depuis vne heure a ſon ame guerie, Et beaucoup ſont en peine en ce prompt changement.	Le Ciel depuis quelque heure a son âme guérie, Et beaucoup sont en peine en ce prompt changement.
BE Mice la ſiobssss O Ciel!	BE Mice la siobss Ô Ciel!
qu’est deuenu ce fatal diamant?	qu'est devenu ce fatal diamant?
FABRICE tout bas.	FABRICE tout bas.
Ce mot de diamant eſt l’arreſt de leur perte, S'en eſt faict, ie ſuis mort, ma fourbe eſt deſcouuerte.	Ce mot de diamant est l'arrêt de leur perte, S'en est fait, ie suis mort, ma fourbe est découverte.
LEANDRE, A-t’il encor au doigt ſon annean precieux?	LÉANDRE, A-t-il encor au doigt son annean précieux?
Contente conteme la daym mon dem tarlen.	Contente compteme la daim mon dem arlen.
FABRICE, tout bas.	FABRICE, tout bas.
Que mon ſens est troublé, que mon ame eſt eſme uë!	Que mon sens est troublé, que mon âme est esmé ue!
Ie n’ay point auiourd’huy ceſte bague apperceuë.	Je n'ai point aujourd'hui cette bague aperçue.
LEANDRE, tout bas.	LÉANDRE, tout bas.
Dur arreſt de ma mort, tous mes ſoins ſont deceus?	Dur arrêt de ma mort, tous mes soins sont déçus?
Mes voyons promptement l’Infante la deſſus.	Mes voyons promptement l'Infante la dessus.
Que me profite helas!	Que me profite hélas!
qu’vn heureux hymenée Ait enfin à ſon ſort vny ma deſtinée.	qu'un heureux hyménée Ait enfin à son sort ma destinée.
Si le fruict le plus doux que i’en puiſſe eſperer, Est ma mort, que ce bras ne dû plus differer.	Si le fruit le plus doux que j'en puisse espérer, Est ma mort, que ce bras ne dû plus différer.
FABRICE ſeul.	FABRICE seul.
Quelle alteration paroiſt en ſon viſage?	Quelle altération paraît en son visage?
Et que dois-ie estimer de ce confus langage?	Et que dois-je estimer de ce confus langage?
Quelle peine luy peut apporter cét anneau?	Quelle peine Seigneur peut apporter cet anneau?
Ie conçoy là deſſous quelque ſecret nouueau.	Je conçois là -dessous quelque secret nouveau.
Voyons-le de plus pres:	Voyons-le de plus près:
Dieux il faut que ie ſçache, Si ce n’eſt point vn ſort que ceſte pierre cache, Et ſi de cét anneau, le mal ſi peu cogneu, Que ce Prince a ſouffert, ne ſeroit point venu.	Dieux il faut que ici sache, Si ce n'est point un sort que cette pierre cache, Et si de cet anneau, le mal si peu connu, Que ce Prince a souffert, ne serait point venu.
Mais qu’il est mal aysé d’y voir aucune marque, Dont on ayt pu troubler l’eſprit de ce Monarque!	Mais qu'il est mal aisé d'y voir aucune marque, Dont on ait pu troubler l'esprit de ce Monarque!
ACTE	ACTE
ACIE	ACIE
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
LE ROY.	LE ROY.
FABRICE.	FABRICE.
LE ROY, le ſurprenant.	LE ROY, le surprenant.
N l'eſtat où ie ſuis tout obiect m'eſt ſuſpect, EFabrice, quite jaict trembier a mun uſpect?	 N'état où belle suis tout objet m'est suspect, EFabrice, quite jait trembier a mun uspect?
Que tiens-tu?	Que tiens-tu?
que vois-tu:	que vois-tu:
l’œil haue, & le teint bleſme Et que t’entends-ie icy murmurer en toy-meſme?	l'œil have, et le teint blême Et que t'entends-je ici murmurer en toi-même?
FABRICE.	FABRICE.
Ha!	Ha!
ſi vous permettez à mon cœur agité, D’auoüer ce qu’il penſe à voſtre Majeſté, Que ie vous vais apprendre vn accident eſtrange, Et qu'vn vol que i'ay fait me vauura ue lon̈ange.	si vous permettez à mon cœur agité, D'auoüer ce qu'il pense à votre Majesté, Que ie vous vais apprendre un accident étrange, Et qu'un vol que j'ai fait me vauvra élève lon̈ange.
LE ROY.	LE ROY.
Acheue promptement, tiré-moy de ſoucy, R’aſſeure tes eſprits:	Achève promptement, tiré-moi de souci, Rassure tes esprits:
mais que te vois-ie icy	mais que te vois-je ici
FABRICE.	FABRICE.
Sire, durant l’eſtat de ceſte maladie, Où l’aſtre de vos iours à la fin remedie:	Sire, durant l'état de cette maladie, Où l'astre de vos jours à la fin remédie:
I’ay veu, la larme à l’œil, que mille ont profité Aduantageuſement de vostre infirmité.	J'ai vu, la larme à l'œil, que mille ont profité Aduantageusement de votre infirmité.
Ie dois tout aduouer, quoy que ie me propoſe, I’eus le deſſein auſſi d’en tirer quelque choſe, I'obtins ce que ie tiens, par ce monſonge expres, Que qui portoit de l’or mouroit bien-toſt apres.	Je dois tout avouer, quoi que je me propose, J'eus le dessein aussi d'en tirer quelque chose, J'obtins ce que je tiens, par ce monsonge exprès, Que qui portait de l'or mourait bientôt après.
Vous n'euſtes pas ſi toſt cette bague tirée, Que ie ne vous vis plus auoir l’ame alterée:	Vous n'eûtes pas si tôt cette bague tirée, Que tu ne vous vis plus avoir l'âme altérée:
Et i’ay depuis iugé que quelque enchantement Auoit esté caché deſſous ce diamant.	Et j'ai depuis jugé que quelque enchantement Avait été caché dessous ce diamant.
LE ROY, embraſſant Fa brice O Ciel que ce diſcours a mon ame rauie!	LE ROY, embrassant Fa brice Ô Ciel que ce discours à mon âme ravie!
Ta ſeule inuention me conſerue la vie:	Ta seule invention me conserve la vie:
Mau voyons en ton doigt s’il aura quelque effect.	Mau voyons en ton doigt s'il aura quelque effet.
Amy, rends là deſſus mon eſprit ſatisfaict.	Ami, rends là dessus mon esprit satisfait.
FABRICE le mettant à ſon doigt.	FABRICE le mettant à son doigt.
Où me reduira-t’il, s’il faut que ie l’oublie, Moy, qui deſia ſans art n'ay que nop uejoue:	Où me réduira-t-il, s'il faut que deux l'oublie, Moi, qui déjà sans art n'ai que nop uejoue:
Sire, prenez le ſoin:	Sire, prenez le soin:
mais le mal que ie ſents, Ent motns que a vn traict a œil aſſoupit tous mes ſens.	mais le mal que toutes sents, Ent motns que a un trait a œil assoupit tous mes sens.
LE ROY.	LE ROY.
O Dieux!	Ô Dieux!
l’eſtrange effect!	l'étrange effet!
FABRICÉ ſe couchant à terre.	FABRICE se couchant à terre.
Quelle humeur importune, Te porte, mal heureux, à troubler ma fortune?	Quelle humeur importune, Te porte, mal heureux, à troubler ma fortune?
Souffre que ie ſois ſeul, & qu’vn peu de repos Sueceue a tant de paine.	Souffre que mon sois seul, et qu'un peu de repos Secue a tant de paine.
LE ROY.	LE ROY.
Ne me cognois-tu pas?	Ne me connais-tu pas?
O le plaiſant propos!	Ô le plaisant propos!
Oùſuis-ie?	Oùsuis-je?
FABRICE.	FABRICE.
Ie m’ignore moy-meſme.	Je m'ignore moi-même.
LE ROY.	LE ROY.
Que ce charme eſt d’vne force extréme!	Que ce charme est d'une force extrême!
Donne-moy cét anneau qui trouble taraiſon.	Donne-moi cet anneau qui trouble taraison.
Où ſçaurons-nous l’autheur de cette trahiſon?	Où sçaurons-nous l'auteur de cette trahison?
FABRICE.	FABRICE.
FABRICE.	FABRICE.
