PAALTAANDRE ITARDI,PaTſnen.	PALTANDRE ITARDI,PaTsnen.
Calaſire, vieil Mage Egyptien, qui s’eſtoit volontairement bany de ſon pays, pour les occaſions que l’hiſtoire fera remarquer en leur temps, reçoit en ſonge vn exprés commandement de la Deéſſelſis, afin de prendre ces deux Amants en ſa protection, & ſe faire leur conducteur iuſques au lieu incertain, où leurs deſtinées accomplies, ſe termineroient en heureux mariage, ce qui s’execute, Theagene enleuant par l’entremiſe du ſage vieillard ſa belle maiſtreſſe conſentante du logis paternel.	Calasire, vieil Mage Engyptien, qui s'était volontairement bani de son pays, pour les occasions que l'histoire fera remarquer en leur temps, reçoit en songe un exprès commandement de la Deésselsis, afin de prendre ces deux Amants en sa protection, et se faire leur conducteur jusqu' au lieu incertain, où leurs destinées accomplies, se termineraient en heureux mariage, ce qui s'execute, Thagène enlèvant par l'entremise du sage vieillard sa belle maîtresse consentante du logis paternel,
Calaſire s’embarque auec eux dans le vaiſſeau d’vn Marchand Phœnicien, que l’orage iette dans vne Iſle deſerte, où certains Corfaires auoient leut retraite, ils ſe refugient en la cabane d’vn pauure peſcheur, qui leur donne aduis, que Trachin chef de ces Pirates deuoit rauir Cariclée:	Calasire s'embarque avec eux dans le vaisseau d' Marchand Phœnicien, que l'orage jette dans grande Isle déserte, où certains Corfaires avaient lut retraite, ils se réfugient en la cabane d'un pauvre pêcheur, qui leur donne avis, que Trachin chef de ces Pirates devait ravir Cariclée:
le marchand Phœnicien amoureux auſſi de Cariclée, eſt gaigné par Calaſire, qui la luy promet à femme, à condition qu’il perſuaderoit de pilote de ſe remettre en mer nonobſtant la tempeſte;	le marchand Phœnicien amoureux aussi de Cariclée, est gagné par Calasire, qui la seule promet à femme, à condition qu'il persuaderait de pilote de se remettre en mer nonobstant la tempête;
pour éuiter la force du Piraté, ce qu’obtenu ils font voile, & à cauſe du mauuais temps ſont en peu d’heure r’atains par le Corſaire auerty de leur fuite, qui reſout d’épouſer le lendemain Cariclee, veuille où non:	pour éviter la force du Piraté, ce qu'obtenu ils font voile, et à cause du mauvais temps sont en peu d'heure ratains par le Corsaire averti de leur fuite, qui résout d'épouser le lendemain Cariclée, veuille où non:
la préuoyance de Calaſire, enflame vne ialouſie à Pelore, Lieutenant du Corſaire paſſionné de l’amour de Cariclée, & fait que les Pyra.	la prévoyance de Calasire, enflamme jalousie à Pelore, Lieutenant du Corsaire passionné de l'amour de Cariclée, et fait que les Pyra.
tes partialiſez, s’entrecoupent la gorge au feſtin nuptial, pour ſon ſujet, Pelore tué le dernier, par la valeur de Theagene, qui demeure au combat, où finît cette premiere traite de l’hiſtoire.	tes partialisez, s'entrecoupent la gorge au festin nuptial, pour son sujet, Pelore tué le dernier, par la valeur de Théagène, qui demeure au combat, où finît cette première traite de l'histoire.
LES ACTEVRS.	LES ACTEURS.
THEAGENE.	THÉGENE.
CALASIRE.	CALASIRE.
CARICLEE.	CARICLE.
PAGE.	PAGE.
TR.	TR.
DE THESSALLIENS.	DE THESSALLIENS.
Cocrh.	Cocrh.
CHOEVR DE CITOYENS.	CHOEUR DE CITOYENS.
TYRRHENE.	TYRHÉNE.
TRACHIR.	TRACHIR.
PELORE.	PELORE.
TR.	TR.
DE CORSAIRES.	DE CORSAIRES.
CARICLEE.	CARICLE.
TRAGI-COMEDIE.	TRAGI-COMÉDIE.
PREMIERE IOVRNEE ACTE EMliMn 11.	PREMIÈRE IOURNE ACTE EMliMn 11.
THEAGENE, CHARICLESES -7 CALASIRE, CARICLEE,	THÉAGENE, CHARICLESES 7 CALASIRE, CARICLE,
SCENE I.	SCÈNE I.
THEAGENE SEVL.	THÉGENE SEUL.
&B Omteur des plus grands Dieux, fils ainé de nature, Comment penetre Amour ta ſubtile pointure Tout d’vn coup en nos cœurs?	ETB Omeur des plus grands Dieux, fils ainé de nature, Comment penetre Amour ta subtile pointure Tout d'un coup en nos cœurs?
comment helas!	comment hélas!
comment, De libre m’as-tu fait eſclaue en vn moment?	comment, De libre m'as-tu fait esclave en un moment?
Te charme compagnon de ta fléche élancee, Altere ſi ſoudain les mœurs, & la penſée?	Te charme compagnon de ta flèche élancée, Altère si soudain les mœurs, et la pensée?
Ie ne ſuis plus en moy, ie ne ſuis plus à moy, Comblé de deſeſpoir, de fureur, & d’émoy, A	Je ne suis plus en moi, ie ne suis plus à moi, Comblé de désespoir, de fureur, et d'émoi, A
Solitaire, penſif, tout me nuit, tout me fâche, Et ma fiere douleur s’augmente ſans relâche.	Solitaire, pensif, tout me nuit, tout me fâche, Et ma fête douleur s'augmente sans relâche.
Certes iamais Amant n'en eut plus de ſujet, Pour m'éprendre étranger de ce diuin objet, Aymer vne beauté qu'onques ie n’auois veuë, Ma raiſon ſur le champ de raiſon dépourueuë, Immobile, rauy de merueille, & d’ardeur, Außy toſt que ſes yeux m’ont couuert de ſplendeur, Entré dedans le temple, afin que ie parfiſſe Pour nos Theſſaliens l’ordoné ſacrifice, Que leurs vœux aportez, ô puiſſant Delphien, Ta Deité receut ſon homage ancien, De veſtement ſemblable à ta ſœur Chaſſereſſe, Mille petits Amours voletans ſur ſa treſſe, Sur ſa treſſe épanchée au tour d’vn col négeux, Qui le clair de ſon teint rendoit plus ombrageux;	Certes jamais Amant n'en eut plus de sujet, Pour m'éprendre étranger de ce divin objet, Aimer une beauté qu'onques ici n'avais vue, Ma raison sur le champ de raison dépourvue, Immobile, ravi de merveille, et d'ardeur, Aussi tôt que ses yeux m'ont couvert de splendeur, Entré dedans le temple, afin que je parfisse Pour nos Thessaliens l'ordoné sacrifice, Que leurs vœux aportez, puissant Delphien, Ta Deité reçut son homme ancien, De vêtement semblable à ta sœur Chasseresse, Mille petits Amours Chas sur sa tresse, Sur sa esse épanchée au tour col négeux, Mi le clair de son pet rendoit plus ombrageux;
Cemme quand vne nuë entoure demy-brune, Par vne calme nuit, la face de la Lune, De ſon ſein pomelé deux tertres releuez, Me découuroient à l’œil leurs boutons captiueZ Non beaucoup differents d'vn blãc marbre de Pare, Deſſoubs la peau duquel mainte véne s’égare;	Cemme quand une nue entoure demi-brune, Par une calme nuit, la face de la Lune, De son sein pomelé deux tertres relevez, Me découvraient à l'œil leurs boutons captivés Non beaucoup différents d'vn d' marbre de Pare, Dessoubs la peau duquel maintes véne gare;
Hormis qu'à petits flots quelquefois ébranlez, Ils ſembloient menacer mes yeux enſorcelez:	Hormis qu'à petits flots quelquefois ébranlez, Ils semblaient menacer mes yeux ensorcelez:
Sur le flanc luy pendoit vne trouſſe argentée, Et i’ay la flâme ſainte en ſa dextre empruntée, Le bûcher alumant de victimes chargé, omme par le deuoir il m'eſtoit enchargé.	Sur le flanc luy pendait une trousse argentée, Et j'ai la flamme sainte en sa dextre empruntée, Le bûcher alumant de victimes chargé, omme par le devoir il m'était enchargé.
Eſtrange éfet d’amour, plus ie me rememore, Et plus ie me voudroy rememorer encore Ce fatal accident, cét Amoureux deſtin, Mon cœur ſe ſent heureux, de luy eſtre en butin, L’hõneur le veut ainsy, la gloire eſt bien plus grãde, „ Quãd vn braue vaincœur aſſeruis nous commãde, »Quand nous allons courir la fortune de Mars, »Sous vn Chef belliqueux redoutable aux hazars, Mais la plante, de peu ſoulage le malade, ,Par vn remede pris, le danger il éuade, Or ie n’en ſçache qu’vn, & même fort ſuspect, Peſant la qualité, & le graue respect Du vieil Mage d’Egypte, étranger de naguere, Reçeu pour ſon ſçauoir ez myſteres confrere, Hõme, à qui les Dieux ont toꝰ leurs ſecrets ouuers, Pour le ſalut commun tranſmis en l'vniuers;	Étrange éfet d'amour, plus honneur me remore, Et plus grande me voudrais remémorer encore Ce fatal accident, cet Amoureux destin, Mon cœur se sent heureux, de lui estre en butin, L'honneur le veut ains, la gloire est bien plus grande, „ Quandreux brave vaincœur asservis nous command, »Quand nous allons courir la fortune de Mars, »Sous Chef belliqueux et aux sor, Tir la fort, de peu ne de Ma, ,Par remède pris, le danger " Sou, Or ie nen Che , et même fort suspect, Pesant laqualité, et le graue re Du vieil Mage aEgypte, étranger de naguère, Reçeu pour son Mais la plut ante, Hõme, qui les De ont peu secrets ou, Pour le mal commun ade l'vniuers,
L’informant, ie ſçauray à quelle deſtinée, Les Erebiques ſœurs ont ma trame aßignée, Et par te mouuement de ſon ſage conſeil, Au mal appliqueray le plus propre appareil.	L'informant, ie ncaurai à quelle destinée, Les Erebiques sœurs ont ma trame assignée, Et par te mouvement de son sage conseil, Au mal appliquerai le plus propre appareil.
SCENLII.	SCENLII.
CHARICLE, & CALASIRE.	CHARICLE, et CALASIRE.
CHARICLE.	CHARICLE.
V’auez-vous obſeruë de rare au ſacrifice?	V'avez-vous observe de rare au sacrifice?
CALASIRE.	CALASIRE.
Les Dieux ſacrifians qui faiſoient leur office.	Les Dieux sacrifiants qui faisaient leur office.
Les Diena.	Les Diena.
tommemt teta.	tommemt téta.
CALASIRE.	CALASIRE.
Deux mortelles beautez, Capables de tenir le rang des Deitez	Deux mortelles beautés, Capables de tenir le rang des Dités
Sçauoir, CHARICLE.	Savoir, CHARICLE.
CALASIRE.	CALASIRE.
Ce ieune chej mandé de Theſſalie, Et votre fille au gré de tous plus acomplie.	Ce jeune chej andé de Thessalie, Et votre fille au gré de tous plus acomplie.
CHARICLE.	CHARICLE.
De la nature ils ſont beaucoup auantageZ	De la nature ils sont beaucoup avantageés
CALASIRE.	CALASIRE.
Ils ſemblent de ſes dons à l’enuy partagez.	Ils semblent de ses dons à l'en partagez.
CHARIELE.	CHARIELE.
Ie ren graces aux Cieux de telle nourriture, Bien que ie ne luy ſoy pere que d’auanture.	Je ren grâces aux Cieux de telle nourriture, Bien que je ne porte soi père que d'aventure.
CALASIRE.	CALASIRE.
Vous me l’auez conté, & i’ay creu que depuis.	Vous me l'avez conté, et j'ai cru que depuis.
Ce bâton de vieilleſſe étrangeoit vos ennuis.	Ce bâton de vieillesse étrangeoit vos ennuis.
CHARICLE.	CHARICLE.
Ne flatons point, duquel la beauté plus exquiſe, Doit elle au parangon des beautez eſtre miſe?	Ne flattons point, duquel la beauté plus exquise, Doit elle au parangon des beautés être mise?
CALASIRE.	CALASIRE.
Chacun priſe le ſien, & ſi la nouueauté, Fait priſer à chacun l’étrangere beauté;	Chacun prise le sien, et si la nouveauté, Fait priser à chacun l'étrangère beauté;
Vn Berger Idean iuge de leur querelle, Braſſeroit d’Ilion la ruyne mortelle.	Un Berger Idan juge de leur querelle, Brasserait d'Ilion la ruine mortelle.
CHARICLE.	CHARICLE.
Entrons, ie vous la veux en priué faire voir.	Entrons, Seigneur vous la veux en privé faire voir.
CALASIRE.	CALASIRE.
Encores tant d’honneur ne ſuis-je à receuoir, Sacrifiant aux Dieux, ie l’ay bien ſouuent veuë, M’arracher les ſecrets d'vne cauſe impourueuë De la ceremonie é plucher iuſqu’au fond, Ainsy que les eſprits plus celeſtes le font, mujeuidimcoi paipuintoege ine ame diuine, » Qui regarde le ciel, ſa premiere origine.	Encores tant d'honneur ne suis-je à recevoir, Sacrifiant aux Dieux, toujours l'ai bien souvent vue, M'arracher les secrets d'une cause impourueuë De la cérémonie ès plucher jusqu'au fond, Ainy que les esprits plus célestes le font, mujidimcoi paipuintoège inége âme divine, " Qui regarde le ciel, sa première origine.
CHARICLE.	CHARICLE.
Son viſage blémy, au ſortir de l’autel, M'aporte de la crainte, & done du martel.	Son visage blémi, au sortir de l'autel, M'apporte de la crainte, et done du martel.
Allons la viſiter dans ſa chambre couchée.	Allons la visiter dans sa chambre couchée.
CALASIRE.	CALASIRE.
Poßible du ſommeil elle ſera touchée.	Posible du sommeil elle sera touchée.
CHARICLE.	CHARICLE.
Atandez que le gué ie ſonde auparauant;	Attandez que le gué reux sonde auparavant;
Non, venez, ie la voy les paupieres mouuant.	Non, venez, Seigneur la vois les paupières mouvant.
SCENE III.	SCÈNE III.
CHARICLE, CARICLEE, ET CALASIRE.	CHARICLE, CARICLEE, ET CALASIRE.
CHARICLE.	CHARICLE.
Ma fille, dites-moy, quelle douleur ſoudaine, Vous tient en ſa torture, & mon eſprit en peine?	Ma fille, dites-moi, quelle douleur soudaine, Vous tient en sa torture, et mon esprit en peine?
Eſt-ce la laßitude?	Est-ce la lassitude?
où bien de quelque effort, Parlez, & regardons ſi votre pouls eſt fort.	où bien de quelque effort, Parlez, et regardons si votre pouls est fort.
A iij	À jijà
CARICLE’E.	CARICLÉLÉ.
Ne vous trauaillez point de ce ſoucy, mon pere, Ce n'eſt rien que l’acces d'vne fieure Ephemere.	Ne vous travaillez point de ce souci, mon père, Ce n'est rien que l'accès d'une fièvre Ephemère.
CALASIRE.	CALASIRE.
Tel mal prent ſans mentir ſon ſexe iournalier.	Tel mal prent sans mentir son sexe journalier.
anfencanla Vn bon ſomme ſuffit pour y remedier.	anfensanla Venn bon somme suffit pour y remédier.
CHARICLE.	CHARICLE.
Voulez-vous de ce pas qu'vn Medecin ie mande?	Voulez-vous de ce pas qu'une Médecin ie mande?
CARICLEE.	CARICLE.
Rien que la ſolitude ores ie ne demande.	Rien que la solitude ores Dieux ne demande.
CALASIRE.	CALASIRE.
Ie me doute à peu pres d’où ſa langueur prouient, Et que ſa guariſon à nature apartient.	Je me doute à peu près d'où sa langueur provient, Et que sa garison à nature appartient.
CHARICLE.	CHARICLE.
Außy le Medecin n’vſurpe que le titre, (Fut-il le plus expert) de ſon ſimple miniſtre.	Aussi le Médecin n'usurpe que le titre, (Fut-il le plus expert) de son simple ministre.
CALASIRE.	CALASIRE.
CHARICLE.	CHARICLE.
Ce ſera pour le mieux;	Ce sera pour le mieux;
Or que trop de clarté ne done ſur vos yeux, Ma fille, voulez-vous que les rideaux ie tire?	Or que trop de clarté ne done sur vos yeux, Ma fille, voulez-vous que les rideaux ie tire!
CARICLE’E, Tout ce qu’il vous plaira,	CARICLÉT-E, Tout ce qu'il vous plaira,
CHARICLE.	CHARICLE.
Sortons donc Calaſire.	Sortons donc Calasire.
CALASIRE.	CALASIRE.
Madame, nous dutons t'honneur ut vons reuoir.	Madame, nous dutons t'honneur ut vons revoir.
CARICLE’E.	CARICLÉLÉ.
Excuſez, qu'ent'eiat ou vous mnt pouueZ voir,	Excusez, qu'ent'éjat où vous mnt pouvez voir,
CALASIRE.	CALASIRE.
L'excuſe eſt ſuperflué, où n'y a point d’ofence.	L'excuse est superflué, où n'y a point d'ofense.
CHARICLE.	CHARICLE.
Vous autres, ie vous fay vne expreſſe défence, Daprocherue jusmmbre auec le moindre bruit, Par moy-même, ie ſçay que rien tant ne nous nuit.	Vous autres, Seigneur vous fais une expresse défense, Daprocherve jusmbre avec le moindre bruit, Par moi-même, notre sais que rien tant ne nous nuit.
CALASIRE.	CALASIRE.
Le bruit, comme au repos directement contraire, L’ofence, choſe n’eſt plus veritable, & claire.	Le bruit, comme au repos directement contraire, L'ofense, chose n'est plus véritable, et claire.
SCENE IV.	SCÈNE IV.
CHARICLE, ET CALASIRE.	CHARICLE, ET CALASIRE.
CHARICLE.	CHARICLE.
N amy, seul à seul reſoluez mes espris, LSur le doute d’vn mal ſi habilement pris, Gaillarde, parauant que d’entrer dans le temple, D'vne contagion le témoignage eſt ample.	N ami, seul a seul résolvez mes esprits, LEsur le doute d'un mal si habilement pris, Gaillarde, paravant que d'entrer dans le temple, D'une contagion le témoignage est ample.
CALASIRE.	CALASIRE.
Entre vn monde confus aux autels amaßé, Par le milieu duquel ce iour elle a paſſé, I’eſtimeroy pour moy, qu’vne ſorciere œillade Dirdée à l’impourueu, la rend ainsy malade;	Entre un monde confus aux autels amassé, Par le milieu duquel ce jour elle a passé, J'estimerai pour moi, qu'une sorcière œillade Dirdée à l'impourvu, la rend ains malade;
