A 3591.	À 3591.
Le traiſtre par ma mort, ſecrete & ſans éclat, Creut étouffer enfin ſon étrange attentat.	Le traître par ma mort, secrète et sans éclat, Creut étouffer enfin son étrange attentat.
Vous vous ſouuenez bien comme au bruit desallarmes Que cauſerent chez nous les Sarrazins en atmes.	Vous vous souvenez bien comme au bruit desalarmes Que causèrent chez nous les Sarrasins en atmes.
Le Comte ſe ſevrant des premieres douceurs, Dont vn nouuel hymen nourriſſoit nos deux  cœurs, Courut pour auoir part à la belle victoire, Que Charles remporta ſur les bords de la Loire, Cét adieu me iettant dans de grandes douleurs Il me laiſſa Golo pour eſſuyer mes pleurs:	Le Comte se sevrant des premières douceurs, Dont un nouvel hymen nourrissait nos deux cœurs, Courut pour avoir part à la belle victoire, Que Charles remporta sur les bords de la Loire, Cet adieu me jetant dans de grandes douleurs Il me laissa Golo pour essuyer mes pleurs:
Golo qui dés ce temps auoit ſa confidance, De toute la maiſon auoit ſeul l’intendance, Cét homme n’obmet rien pour s’en bien aquiter, Il n’épargne aucun ſoin dont il pût me flatter;	Golo qui dès ce temps avait sa confidance, De toute la maison avait seul l'intendance, Cet homme n'obmet rien pour s'en bien aquitter, Il n'épargne aucun soin dont il pût me flatter;
Hais ie ne ſçay comment cette mallieureuſe ame, Iuſqu’auprés de mes pleurs prit vne iniuſte flâme.	Hais ie ne sais comment cette mallieureuse âme, Jusqu'auprès de mes pleurs prit une injuste flamme.
ORISMOND.	ORISMOND.
Le perfide oſa-t’il entretenir ſes feux?	Le perfide osa-t-il entretenir ses feux?
GENEVIEVE.	GENEVIÈVE.
Ilfit plus, il oſa me declarer ſes vœux, Il fit parler d’abord les ſoupirs & les larmes;	Ilfit plus, il osa me déclarer ses vœux, Il fit parler d'abord les soupirs et les larmes;
Il fit en ſuite agir & la fourbe & les charmes;	Il fit en suite agir et la fourbe et les charmes;
Mais vn des Officiers qu’il penſoit ſuborner, Pour vn philtre amoureux qu’il me vouloit donner, M'ayant ſecrettement découuert cette flâme, A nous perdre tous deux engagea cét inſame;	Mais un des Officiers qu'il pensait suborner, Pour un philtre amoureux qu'il me voulait donner, M'ayant secrètement découvert cette flamme, À nous perdre tous deux engagea cet insame;
Comme ie l’en aimé ſur tous mes Oſſiciers, Ce ttaiſtre s’en piquãt par des ſoupçõs groſſlers, fit croire que le fruit d’vn ſymen legitime, Qui parut en ce temps, eſtoit celuy d’vn crime, B iiij Ce fut ſur ces ſoupçons, & ſur ce faux rapport, ele comcoesoure syuseutice Maiorc.	Comme grande l'en aimé sur tous mes Ossiers, Ce traître s'en piquant par des soupçons grosslers, fit croire que le fruit d'un symen légitime, Qui parut en ce temps, était celui d'un crime, B ijoUre fut sur ces soupçons, et sur ce faux rapport, éle comcoésoure suseutice Majorc.
ORISMOND.	ORISMOND.
Quoy ſans vous écouter dedans voſtre deffence, Sans écouterl'amour, non plus que Tinnocence;	Quoi sans vous écouter dedans votre défense, Sans écouterl'amour, non plus que Tinnocence;
GENEVIËVE.	GENEVIËVE.
Sans blaſmer ſon amour accuſe ſon erreur, Ou plaignant ma diſgrace, excuſe ſa fureur.	Sans blâmer son amour accuse son erreur, Ou plaignant ma disgrâce, excuse sa fureur.
RIOMORas Quoy vous ſacrifier aux ſeuls auis d’vn traiſtre?	RIOMORas Quoi vous sacrifier aux seuls avis d'un traître?
GENFVIE’VE.	GENFVIE'UE.
S’il fut mauuais époux, c’eſt qu’il fut trop bon maiſtre.	S'il fut mauvais époux, c'est qu'il fut trop bon maître.
IV.	IV.
GENEVIE'VE, ORISMONO, BENONI.	GENEUIE'UE, ORISMONO, BENONI.
e Deu o dee e Do do Ieu l'que vois-ie, Madame, eſt.	 Dev ô dee eu Do do Jeu l'que vois-je, Madame, est.
ce là voſtie fils?	ce là vostie fils?
GENEVIE’VE.	GENEUIE'UE.
C’eſt luy meſme, Oriſmond, voſtre abord l’s ſurpris;	C'est ç mesme, Orismond, votre abord l's surpris;
ſommes, A prochez, mon mignon:	sommes, A prochez, mon mignon:
dans ces bois où nous Depuis qu’il-ſe connoiſt il n’a veu que vous d’hommes.	dans ces bois où nous Depuis qu'il-se connaît il n'a vu que vous d'hommes.
ORISMOND Ah l’aimable innocent!	ORISMOND Ah l'aimable innocent!
BENONI.	BENONI.
Audame, eit ce celuj Qui doit dans ce Chaſteau nous conduire auiourd'huy?	Audame, eit ce celuj Qui doit dans ce Château nous conduire aujourd'hui?
GENEVIEVE.	GENEVIÈVE.
Non pas encor, mon fils.	Non pas encor, mon fils.
BENONI.	BENONI.
le me laſſois d'attendre,	le me lassais d'attendre,
GENEVIE’VE.	GENEUIE'UE.
T’auois.	T'avais.
ie pas promis de venir te reprendre?	Elle pas promis de venir te reprendre?
BENONI.	BENONI.
Il eſt vray, mais au bruit confus de vos deux voix, La curionte mafait loltir du Dois.	Il est vrai, mais au bruit confus de vos deux voix, La curionte mafait loltir du Dois.
Il l'excuſera bien.	Il l'excusera bien.
ORISMOND.	ORISMOND.
Que l’eſprit & la mine Marquent ſur luy de traits de ſa hobit crigine.	Que l'esprit et la mine Marquent sur lui de traits de sa hobit crigine.
Ie l’excuſe, monfils, & ie plains ſeulement Le ſort qui vous retient dans cét éloignement.	Je l'excuse, monfils, et Seigneur plains seulement Le sort qui vous retient dans cet éloignement.
BENONI.	BENONI.
Si vous plaignez ſi fort noſtre longue miſere, Vous en pouvez tirer & le fils & la mere.	Si vous plaignez si fort notre longue misère, Vous en pouvez tirer et le fils et la mère.
Conduiſez ſeule ment vers ce Chaſteau nos pas.	Conduisez seule ment vers ce Château nos pas.
ORISMOND.	ORISMOND.
Si vous craignez la mort, ah n’en approchez pas, Il y loge à l’entrée vne beſte ſau vage.	Si vous craignez la mort, ah n'en approchez pas, Il y loge à l'entrée une bête sau vage.
BENONI.	BENONI.
En eſt.	En est.
il dont ie doive apprehender la rage?	il dont ici doive appréhender la rage?
Ces bois n’en cachent point dans leur plus ſont.	Ces bois n'en cachent point dans leur plus sont.
Dle lserreds i Dont ma voix n’ait calmé iuſqu’icy la fureur.	Dle lserreds ivre Dont ma voix n'ait calmé jusqu'ici la fureur.
ORISMOND.	ORISMOND.
Celle dont je vous parle eſt encoreplus à craindre.	Celle dont je vous parle est encoreplus à craindre.
GENEVIEVE.	GENEVIÈVE.
Hé!	Hé!
que tant d’innocence & de maux ſont à plaindre.	que tant d'innocence et de maux sont à plaindre.
Que ſi tu le voyois, infortuné Sifroy.	Que si tu le voyais, infortuné Sifroy.
Pourrois-tu bien le perdre & douter de ma foy?	Pourrais-tu bien le perdre et douter de ma foi?
s'addrel ſant à Orif mond.	s'addrel sant à Orif mond.
BENONI.	BENONI.
Mon pele iogcia, le veux Tanerconnaitre.	Mon pèle icia, le veux Tanerconnaître.
ORISMOND.	ORISMOND.
D'vn pere ſi barbare helas deuois.	D'un père si barbare hélas devais.
tu naiſtre?	tu naître?
Sçauez-vous bien, mon fils, ce que vous demandez?	Savez-vous bien, mon fils, ce que vous demandez?
BENONI.	BENONI.
Vous le ſçavez bien mieux, Madame, reſpondez.	Vous le savez bien mieux, Madame, répondez.
GENEVIEVE.	GENEVIÈVE.
Puis qu’il en a tant dit, il faut que ie confeſſe, Vn deſſein que i’ay pris de ma ſeule foibleſſe, Enſin ſous tant de maux mon courage abbatu, Ne treuuant plus d’appuis ſur ſa propte vertu, M'auoit fait laſchement abandonner la place, Pour chercher hors des bois ou ma mort ou ma grace.	Puis qu'il en a tant dit, il faut que deux confesse, Un dessein que j'ai pris de ma seule faiblesse, Ensin sous tant de maux mon courage abattu, Ne trouvant plus d'appuis sur sa propte vertu, M'avait fait lâchement abandonner la place, Pour chercher hors des bois ou ma mort ou ma grâce.
C'eſt là ce que i’allois moy-même demander, A celuy qui me doit l’un ou l'autre accorder.	C'est là ce que j'allais moi-même demander, A celui qui me doit l'un ou l'autre accorder.
ORISMOND.	ORISMOND.
Vous prenez à vos maux vn dangereux remedei Sçavez-vous que Golo de tous coſtez l’obſede?	Vous prenez à vos maux un dangereux remèdei Savez-vous que Golo de tous côtés l'obsède?
VOsagroni Mande vne feconde rorss.	VOsagroni Mande une féconde rorss.
GENEVIEVÉ.	GENEVIEVÉ.
I'aurois trouvé la mort qui me fuit dans ces bois.	J'aurais trouvé la mort qui me fuit dans ces bois.
BENONI.	BENONI.
Et vous m'euſſiez laiſſé ſeul, à ces maux ſuruiure?	Et vous m'eussiez laissé seul, à ces maux survivre?
GENEVIEV Le Ie t’auois enſeigné le chemin de me ſuiure.	GENEUIEU Le Je t'avais enseigné le chemin de me suivre.
BENONI.	BENONI.
Vous nous engagiez donc tous deux dans ce trépas.	Vous nous engagiez donc tous deux dans ce trépas.
GENEVIEVE.	GENEVIÈVE.
Ie t’auois laiſſé libre en ne t’y menant pas.	Je t'avais laissé libre en ne t'y menant pas.
ORIS MOND.	ORIS MOND.
d’Mnauame, quittez vn denein miuuente.	d'Mnauame, quittez un dènein mivente.
GENEVIEVE.	GENEVIÈVE.
ourſortir de mes maux, c’eſt le ſeul qui me reaſte.	oursortir de mes maux, c'est le seul qui me reâte.
ORISMOND.	ORISMOND.
vous en veur donner vn moyen bien plus doux.	vous en veut donner un moyen bien plus doux.
aiſſez.	aissez.
moy ménager l’eſprit de voſtre Epoux, tſii’y reconnois pour vous quelque aſſeurance, ous luy ferez alors parler voſtre Innocence.	moi ménager l'esprit de votre Époux, tsii’y reconnais pour vous quelque assurance, ous lui ferez alors parler votre Innocence.
BENONI.	BENONI.
entrons dans nos deſerts & fuyos ces maiſons, adame, elles ne ſont que de belles priſons;	entrons dans nos déserts et fuyos ces maisons, adame, elles ne sont que de belles prisons;
eces Chaſteaux affreux fuyons les cruels hoſtes, llons entretenir des Auges dans nos grottes, ous y viuons au moins auecque liberté, ous y gouſtons les biens dans leur naïfueté.	eces Châteaux affreux fuyons les cruels hôtes, llons entretenir des Auges dans nos grottes, ous y vivons au moins avec liberté, ous y goûtons les biens dans leur naïfueté.
e Ciel à découvert dans nos plus grands deſaIlles;	e Ciel à découvert dans nos plus grands désaIlles;
ous laiſſe entretenir commerce auec les Aſtres.	ous laisse entretenir commerce avec les Astres.
iuons dans la douceur & la paix de ces lieux, ui nous font ſur la terre vnc image des Cieux.	juons dans la douceur et la paix de ces lieux, ui nous font sur la terre unc image des Cieux.
GENEVIVE.	GENEVIVE.
approuue, mon cher fils, ce que le Ciel t’inſPaR 7 'eſt du meſme coſté que la Grace m’attire.	approuve, mon cher fils, ce que le Ciel t'insPaR 7 'est du même côté que la Grâce m'attire.
dſcudonc, Ommono, aupres de cet Epoux, ais tout ce que le Ciel v’inſpirera pour nous;	dscudonc, Omono, auprès de cet Époux, ais tout ce que le Ciel vinspirera pour nous;
ous allons cependant reprendre cette route	ous allons cependant reprendre cette route
ORISMOND.	ORISMOND.
e maſidelité vous auez quelque doute?	eu masidélité vous avez quelque doute?
GENEVIEVE.	GENEVIÈVE.
on certes, Oriſmond, mais c’eſt que ie teſſens, Vers des lieux ſi ſacrez des attraits trop puiſſans.	on certes, Orismond, mais c'est que votre tessens, Vers des lieux si sacrés des attraits trop puissants.
Aimable ſolitude où Dieu me tient captiue, Ne me receuez pas comme vne fugitiue, Mais ſi iamais pour moy vous euſtes des appas, Pour flatter mon retour ne les eſpargnez pas.	Aimable solitude où Dieu me tient captive, Ne me recevez pas comme une fugitive, Mais si jamais pour moi vous eûtes des appas, Pour flatter mon retour ne les épargnez pas.
Et toy quei’aime plus que ie ne crains ta haine, Obiet de mes regrets & cauſe de ma peine:	Et toi quei'aime plus que je ne crains ta haine, Obiet de mes regrets et cause de ma peine:
Sifroy, vis ſi tu peux content ſans ta moitié Et ne ſens de mes maux pas meſme la pitié, Pour éuiter ma mort qui chez toy me menace Ie vais dans ces foreſts chercher encore ma gra.	Sifroy, vis si tu peux content sans ta moitié Et ne sens de mes maux pas même la pitié, Pour éviter ma mort qui chez toi me menace Je vais dans ces forêts chercher encore ma gra.
ce Et ie vais raconter à ces lieux pleins d’effroy Ce que ie n’oſe pas confier à ta foy.	ce Et ici vais raconter à ces lieux pleins d'effroi Ce que je n'ose pas confier à ta foi.
ORISMOND.	ORISMOND.
Que ne choiſiſſez vous chez moy voſtre retrait.	Que ne choisissez -vous chez moi votre retrait.
te?	te?
GENEVIEVE.	GENEVIÈVE.
O neIo Mu e lade.	Ô neIo Mu e lade.
Si i’ay quelque nouuelle à vous faire ſçauoir, Marquez moy quelque endroit où ie vous pour.	Si j'ai quelque nouvelle à vous faire savoir, Marquez moi quelque endroit où ie vous pour.
ray voir.	ray voir.
GENEVIEVE.	GENEVIÈVE.
Voyez vous ce ruiſſeau qui ſort de cette ſource, Apres que vous aurez lõg-temps ſuiuy ſa cour.	Voyez vous ce ruisseau qui sort de cette source, Après que vous aurez long-temps suivi sa cour.
ſe vous e verrez emn couppé d’vn grand rochet, C'eſt deſſus ſon ſõmet qu’il me faudra cherchet.	se vous e erez emn coupé d'un grand rochet, C'est dessus son sõmet qu'il me faudra cherchet.
Mais ie veux, Oriſmond, vous laiſſer quelque Où sifroy de mes maux puiſſe voir vne image.	Mais grands veux, Orismond, vous laisser quelque Où sifroi de mes maux puisse voir une image.
Geneuiére.	Geneuiére.
Comment?	Comment?
ORISMOND.	ORISMOND.
	
GENEVIEVE.	GENEVIÈVE.
Me pourriez.	Me pourriez.
vous preſter quelque crayon, Iliur as Ie vois dans mon eſprit naiſtre vn petit rayon, Qui des ioursplus ſerains ſemble à mon cœur promettre.	vous prêter quelque crayon, Ilivr as Je vois dans mon esprit naître un petit rayon, Qui des ioursplus serains semble à mon cœur promettre.
ORISMOND.	ORISMOND.
Quel deſſein prenez-vous?	Quel dessein prenez-vous?
GENEVIE'VE.	GENEUIE'UE.
Voyez-vous cette lettre?	Voyez-vous cette lettre?
vne lestre C'eſt la derniere, helas!	Elle lestre C'est la dernière, hélas!
que m’écriuit Siftoy, Et ce qui m’eſt reſté des gages de ſa foy.	que m'écrivit Siftoy, Et ce qui m'est resté des gages de sa foi.
Mais gages trop legers dont la ſeule écriture Remet deuant mes yeux combien il fut parjure, qu'elle reLorſque me promettant que bien-toſt de retour fei, & Il viendroit recüeillir le fruit de noſtre amour.	Mais gages trop légers dont la seule écriture Remet devant mes yeux combien il fut parjure, qu'elle reLorsque me promettant que bientôt de retour fey, et Il viendrait recueillir le fruit de notre amour.
Ie luy veux envoyer afin qu’elle le confonde, Et que de mon amour ſon gage luyreponde, le veux que ce crayon pour aider mon deſſein Ajoſtte ſeuſement quelques mots de ma main,	Je lui veux envoyer afin qu'elle le confonde, Et que de mon amour son gage luyreponde, le veux que ce crayon pour aider mon dessein Ajostte seusement quelques mots de ma main,
ORISMOND.	ORISMOND.
En quelle qualité luy penſez-vous écrire?	En quelle qualité lui pensez-vous écrire?
GENEVIE’VE.	GENEUIE'UE.
Celle que ie prendray ne me pourra pas nuire, Ie veux faité paſſer mon ombre ſeuſement Comme errante en ces bois faute de monument, petit ſieze Et dans ce triſte eſtat luy demander iuſtice Du crime que Golo cacha dans mon ſupplice.	Celle que je prendrai ne me pourra pas nuire, Je veux faité passer mon ombre seument Comme errante en ces bois faute de monument, petit sieze Et dans ce triste état te demander justice Du crime que Golo cacha dans mon supplice.
ORISMOND.	ORISMOND.
„ vn denom u oien pris Dieu lans voute eſt Autheur, Et moy-meſme à Sifroy i'en veux eſtre porteur.	„ un denom oi oien pris Dieu lans voute est Auteur, Et moi-même à Sirefroi j'en veux été porteur.
niie tecit Voſtre ombre éclaircira les regrets de ſon ame Et donnera du iour & de l’air à ſa flâme	ni tecit Votre ombre éclaircira les regrets de son âme Et donnera du jour et de l'air à sa flamme
GENEVIE’VE.	GENEUIE'UE.
Eſcoutez Oriſmond en quels termes i’écris, Et iugez ſi Sifroy n'en ſera pas ſurpris.	Écoutez Orismond en quels termes j'écris, Et jugez si Sifroy n'en sera pas surpris.
L'ombre de Geneuiéue à Siftoy.	L'ombre de Geneuiéue à Siftoy.
V fond de ces demeures ſombres TOù j’erre encore parmy les ombres, mond.	V fond de ces demeures sombres TOù j'erre encore parmi les ombres, mond.
