LE BOURGEOIS GENTILHOMME COMEDIE-BALET.	LE BOURGEOIS GENTILHOMME COMÉDIE-BALET.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Fort-bien.	Fort-bien.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Allons, avancez.	Allons, avancés.
Il faut vous figurer qu’ils ſont habillez en Bergers.	Il faut vous figurer qu'ils sont habillez en Bergers.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Pourquoy toûjours des Bergers?	Pourquoi toujours des Bergers?
On ne voit que cela par tout.	On ne voit que cela par tout.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Lors qu’on a des Perſonnes à faire parler en Muſique, il faut bien que pour la vray-ſemblance on donne dans la Bergerie.	Lors qu'on a des Personnes à faire parler en Musique, il faut bien que pour la vraiisemblance on donne dans la Bergerie.
Le Chant a eſté de tout temps affecté aux Bergers;	Le Chant a été de tout temps affecté aux Bergers;
& il n’eſt guere naturel en Dialogue, que des Princes, ou des Bourgeois, chantent leurs paſſions.	et il n'est guère naturel en Dialogue, que des Princes, ou des Bourgeois, chantent leurs passions.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Paſſe, paſſe.	Passe, passe.
Voyons.	Voyons.
DIALOGUE EN MUSIQUE.	DIALOGUE EN MUSIQUE.
UNE MUSICIENNE, ET DEUX MUSICIENS.	UNE MUSICIENNE, ET DEUX MUSICIENS.
[N cœur dans l’amoureux Empire, O De mills ſoins eſt toûjours agité.	[N cœur dans l'amoureux Empire, Ô De mills soins est toujours agité.
On dit qu’avec plaiſir on languit, on ſoûpire;	On dit qu'avec plaisir on languit, on soupire;
Mais quoy qu’on puiſſe dire.	Mais quoi qu’on puisse dire.
Il n’eſt rient de ſi doux que noſtre liberté.	Il n'est rient de si doux que notre liberté.
1.	1.
MUSICIEN.	MUSICIEN.
Hn’eſt rien de ſi doux que les tendres ardeurs Qui font vivre deux cœurs Dans une meſme envie:	Hann'est rien de si doux que les tendres ardeurs Qui font vivre deux cœurs Dans une même envie:
On ne peut eſtre heureux ſans amoureux deſirs;	On ne peut être heureux sans amoureux désirs;
Oſtez l’amour de la vie, Vous en oſtez les plaiſirs.	Ostez l'amour de la vie, Vous en ôtés les plaisirs.
2.	2.
MUSICIEN.	MUSICIEN.
Il ſeroit doux d’entrer ſous l’amoureuſe Loy, Si l’on trouvoit en l’Amour de la foy:	Il serait doux d'entrer sous l'amoureuse Loi, Si l'on trouvait en l'Amour de la foi:
Mais helas!	Mais hélas!
ô rigueur cruelle, On ne voit point de Bergere fidelle;	ô rigueur cruelle, On ne voit point de Bergère fidèle;
Et ce Sexe inconſtant, trop indigne du jour, Doit faire pour jamais renoncer à l'Amour.	Et ce Sexe inconstant, trop indigne du jour, Doit faire pour jamais renoncer à l'Amour.
1.	1.
MUSICIEN.	MUSICIEN.
Aimable ardeur!	Aimable ardeur!
MUSICIENNE.	MUSICIENNE.
Franchiſe heureuſe!	Franchise heureuse!
2.	2.
MUSICIEN.	MUSICIEN.
Sexe trompeur!	Sexe trompeur!
I.	I.
MUSICIEN.	MUSICIEN.
Que tu m’es precieuſe!	Que tu m'es précieuse!
MUSICIENNE.	MUSICIENNE.
Que tu plais à mon cœur!	Que tu plais à mon cœur!
2.	2.
MUSICIEN.	MUSICIEN.
Que tu me fais d’horreur!	Que tu me fais d'horreur!
I.	I.
MUSICIEN.	MUSICIEN.
Ah!	Ah!
quitte pour aimer, cette haine mortelle!	quitte pour aimer, cette haine mortelle!
MUSICIENNE.	MUSICIENNE.
On peut, on peut te montrer Une Bergere fidelle.	On peut, on peut te montrer Une Bergère fidèle.
2.	2.
MUSICIEN.	MUSICIEN.
Helas!	Hélas!
où la rencontrer.	où la rencontrer.
MUSICIENNE.	MUSICIENNE.
Pour defendre noſtre gloire, Je te veux offrir mont cœur.	Pour défendre notre gloire, Je te veux offrir mont cœur.
2.	2.
MUSICIEN.	MUSICIEN.
Mais, Bergere, puis je croire Qu’il ne ſera point trompeur?	Mais, Bergère, puis je croire Qu'il ne sera point trompeur?
MUSICIENNE.	MUSICIENNE.
Voyons par experience Qui des deux aimera mieux.	Voyons par expérience Qui des deux aimera mieux.
2.	2.
MUSICIEN.	MUSICIEN.
Qui manquera de conſtance, Le puiſſent perdre les Dieure.	Qui manquera de constance, Le puissent perdre les Dieu.
TOUS TROIS.	TOUS TROIS.
A des ardeurs ſi belles Laiſſons nous enflâmer;	À des ardeurs si belles Laissons nous enflâmer;
Ah!	Ah!
qu’il eſt doux d’aimer, Quand deux cœurs ſont fidelles!	qu'il est doux d'aimer, Quand deux cœurs sont fidèles!
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Eſt-ce tout?	Est-ce tout?
Oüy.	Oui.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je trouve cela bien trouſſé, & il y a là-dedans de petits dictons aſſez jolis.	Je trouve cela bien troussé, et il y a là-dedans de petits dictons assez jolis.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Voicy pour mon affaire, un petit eſſay des plus beaux mouvemens, & des plus belles aptitudes dont une Dance puiſſe eſtre variée.	Voici pour mon affaire, un petit essai des plus beaux mouvements, et des plus belles aptitudes dont une Dance puisse être variée.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Sont-ce encore des Bergers?	Sont-ce encore des Bergers?
MAISTRE A DANCER.	MAÎTRE A DANCER.
C’eſt ce qu’il vous plaira.	C'est ce qu'il vous plaira.
Allons.	Allons.
Quatre Danceurs executent tous les mouvemens diferens, & toutes les ſortes de pas que le Maiſtre à dancer leur commande:	Quatre Danceurs exécutent tous les mouvements diferens, et toutes les sortes de pas que le Maître à dancer leur commande:
Et cette Dance fait le premier Intermede.	Et cette Dance fait le premier Intermède.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MONSIEUR JOURDAIN, MAISTRE DE MUSIQUE, MAISTRE A DANCER, LAQUAIS.	MONSIEUR JOURDAIN, MAÎTRE DE MUSIQUE, MAÎTRE A NCER, LAQUAIS.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
OILA qui n’eſt point ſot, & ces Gens-là ſe trémouſſent bien.	ÔILA qui n'est point sot, et ces Gens-là se trémoussent bien.
M MAISTRE DE MUSIQUE.	M MAÎTRE DE MUSIQUE.
Lors que la Dance ſera meſlée avec lu fruirque , celte reru pras d’effce encore, & vous verrez quelque choſe de galant dans le petit Ballet que nous avons ajuſté pour vous.	Lors que la Dance sera mêlée avec lu fruirque , celte reru pras d'effce encore, et vous verrez quelque chose de galant dans le petit Ballet que nous avons ajusté pour vous.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
C’eſt pour tantoſt au moins;	C'est pour tantôt au moins;
& la Perſonne pour qui j’ay fait faire tout cela, me doit faire l’honneur de venir diſner ceans.	et la Personne pour qui j'ai fait faire tout cela, me doit faire l'honneur de venir dîner céans.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Tout eſt preſt.	Tout est prêt.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Au reſte, Monſieur, ce n’eſt pas aſſez, il faut qu’une Perſonne comme vous, qui eſtesmagnifique, & qui avez de l’inclination pour les belles choſes, ait un Concert de Muſique chez ſoy tous les Mercredis, ou tous les Jeudis,	Au reste, Monsieur, ce n'est pas assez, il faut qu'une Personne comme vous, qui êtesmagnifique, et qui avez de l'inclination pour les belles choses, ait un Concert de Musique chez soi tous les Mercredis, ou tous les Jeudis,
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Eſt-ce que les Gens de Qualité en ont?	Est-ce que les Gens de Qualité en ont?
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Ouy, Monſieur.	Oui, Monsieur.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
J’en auray donc.	J'en aurai donc.
Cela ſera-t-il beau?	Cela sera-t-il beau?
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Sans doute.	Sans doute.
Il vous faudra trois Voix, un Deſſus, une Haute-Contre, & une Baſſe, qui ſeront accompagnées d’une Baſſe de Vioſe, d’un Theorbe, & d’un Claveſſin pour les Baſſes continuës, avec deux Deſſus de Violon pour joüer les Ritornelles.	Il vous faudra trois Voix, un Dessus, une Haute-Contre, et une Basse, qui seront accompagnées d'une Basse de Viose, d'un Theorbe, et d'un Clavessin pour les Basses continuës, avec deux Dessus de Violon pour jouer les Ritornelles.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Il y faudra mettre auſſi une Trompette Marine.	Il y faudra mettre aussi une Trompette Marine.
La Trompette Marine eſt un Inſtrument qui me plaiſt, & qui eſt harmonieux.	La Trompette Marine est un Instrument qui me plaît, et qui est harmonieux.
MAISTRE DE MUS QUE.	MAÎTRE DE MUS QUE.
Laiſſez-nous gouverner les choſes.	Laissez-nous gouverner les choses.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Au moins, n’oubliez pas tantoſt de m’envoyer des Muſiciens, pour chanter à Table.	Au moins, n'oubliez pas tantôt de m'envoyer des Musiciens, pour chanter à Table.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Vous aurez tout ce qu’il vous faut.	Vous aurez tout ce qu'il vous faut.
MONSIEÜR JOURDAIN.	MONSIEUR JOURDAIN.
Mais ſur tout, que le Ballet ſoit beau.	Mais sur tout, que le Ballet soit beau.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Vous en ſerez content, & entr’autres choſes de certains Menüets que vous y verrez.	Vous en serez content, et entr'autres choses de certains Ménuets que vous y verrez.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ah les Menüets ſont ma Dance, & je veux que vous me les voyez dancer.	Ah les Ménuets sont ma Dance, et je veux que vous me les voyez dancer.
Allons, mon Maiſtre.	Allons, mon Maître.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Un Chapeau, Monſieur, s’il vous plaiſt.	Un Chapeau, Monsieur, s'il vous plaît.
La, la, la;	La, la, la;
La, la, la, la, la, la;	La, la, la, la, la, la;
La, la, la, bis;	La, la, la, bis;
La, la, la;	La, la, la;
La, la.	La, la.
En cadence, s’il vous plaiſt.	En cadence, s'il vous plaît.
La, la, la, la.	La, la, la, la.
La jambe droite.	La jambe droite.
La, la, la.	La, la, la.
Ne remuez point tant les épaules.	Ne remuez point tant les épaules.
La, la, la, la, la;	La, la, la, la, la;
La, la, la, la, la.	La, la, la, la, la.
Vos deux bras ſont eſtropiez.	Vos deux bras sont estropiez.
La, la, la, la, la.	La, la, la, la, la.
Hauſſez la teſte.	Haussez la tête.
Tournez la pointe du pied en dehors.	Tournez la pointe du pied en dehors.
La, la, fa.	La, la, fa.
Drenez voitre corps.	Drenez voitre corps.
Euh?	Euh?
MONSIEUR IOURDAIN.	MONSIEUR JOURDAIN.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Voila qui eſt le micux du monde.	Voilà qui est le micux du monde.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
A propos.	À propos.
Aprenez-moy comme il faut faire unc Reverence pour ſalüer une Marquiſe;	Apprenez-moi comme il faut faire un Revérence pour saluer une Marquise;
j’en auray beſoin tantoſt.	j'en aurai besoin tantôt.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Une Reverence pour ſalüer une Marquiſe?	Une Revérence pour saluer une Marquise?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy.	Oui.
Une Marquiſe qui s’apelle Dorimene.	Une Marquise qui s'appelle Dorimène.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Donnez-moy la mainz	Donnez-moi la mainz
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Non.	Non.
Vous n’avez qu’à faire, je le retiendray bien.	Vous n'avez qu'à faire, je le retiendrai bien.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Si vous voulez la ſalüer avec beaucoup de reſpect, il faut faire d’abord une Reverence en arriere, puis marcher vers elle avec trois Reverences en avant, & à la derniere vous baiſſer juiqu’a les genoux.	Si vous voulez la saluer avec beaucoup de respect, il faut faire d'abord une Révérence en arrière, puis marcher vers elle avec trois Reverences en avant, et à la dernière vous baisser juiqua les genoux.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Faites un peu?	Faites un peu?
Bon.	Bon.
1.	1.
LAQUAIS.	LAQUAIS.
Monſieur, voila voſtre Maiſtre d’Armes qui eſt là.	Monsieur, voilà votre Maître d'Armes qui est là.
MONSIEUR IOURDAIN.	MONSIEUR JOURDAIN.
Dy-luy qu’il entre icy pour me donner Leçon.	Dis-lui qu'il entre ici pour me donner Leçon.
Je veux que vous me voyez faire.	Je veux que vous me voyez faire.
SCENE II.	SCÈNE II.
MAISTRE D’ARMES, MAISTRE DE MUSIQUE, MAISTREA DANCER, MONSIEUR JOURDAIN, 2.	MAÎTRE D'ARMES, MAÎTRE DE MUSIQUE, MAISTREA DANCER, MONSIEUR JOURDAIN, 2.
LAQUAIS.	LAQUAIS.
MAISTRE D’ARMES apres luy avoir mis le Fleuret à la main.	MAÎTRE D'ARMES après lui avoir mis le Fleuret à la main.
Llons, Monſieur, la reverence.	Llons, Monsieur, la révérence.
Voſtre  corps droit.	Votre corps droit.
Un peu panché ſur la cuiſſe gauche.	Un peu penché sur la cuisse gauche.
Les jambes point tant écartées.	Les jambes point tant écartées.
Vos pieds ſur une meſme ligne.	Vos pieds sur une même ligne.
Voſtre poignet à Topoſite de voſtre hanche.	Votre poignet à Topposite de votre hanche.
La pointe de voſtre Epée vis-à-vis de voſtre épaule.	La pointe de votre Épée vis-à-vis de votre épaule.
Le bras pas tout-à-fait ſi étendu.	Le bras pas tout-à-fait si étendu.
La main gauche à la hauteur de l’œil.	La main gauche à la hauteur de l'œil.
L’épaule gauche plus quartée.	L'épaule gauche plus quartée.
La reſte droite.	La reste droite.
Le regard aſſuré.	Le regard assuré.
Avancez.	Avancez.
Le corps ferme.	Le corps ferme.
Touchez-moy l’Epée de quarte, & achevez de meſme.	Touchez-moi l'Épée de quarte, et achevez de même.
Une, Deux.	Une, Deux.
Remettezvous.	Remettezvous.
Redoublez de pied ferme.	Redoublez de pied ferme.
Un ſaut en arriere.	Un saut en arrière.
Quand vous portez la Botte, Monſieur, il faut que l’Epée parte la premiere, & que le corps ſoit bien effacé.	Quand vous portez la Botte, Monsieur, il faut que l'Épée parte la première, et que le corps soit bien effacé.
Une, Deux.	Une, Deux.
Allons, touchez-moy l’Epee de tierce, & achevez de meſme.	Allons, touchez-moi l'Épée de tierce, et achevez de même.
Avancez.	Avancez.
Le corps ferme.	Le corps ferme.
Avancez.	Avancez.
Partez de là.	Partez de là.
Une, Deux.	Une, Deux.
Remettez-vous.	Remettez-vous.
Redoublez.	Redoublez.
Un ſaut en arriere.	Un saut en arrière.
En garde, Mouſieur, DS	En garde, Mousieur, DS
Le Maiſtre d'Armes luy pouſſe deux ou trois Bottes, en luy diſant, En garde.	Le Maître d'Armes était pousse deux ou trois Bottes, en lui disant, En garde.
Euh?	Euh?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Vous faites des merveilles.	Vous faites des merveilles.
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
Je vous l’ay déja dit;	Je vous l'ai déjà dit;
tout le ſecret des Armes ne conſiſte qu’en deux choſes, à donner, & à ne point recevoir:	tout le secret des Armes ne consiste qu'en deux choses, à donner, et à ne point recevoir:
Et comme je vous ſis voir l’autre jour par raiſon démonſtrative, il eſt impoſſible que vous receviez, ſi vous ſçavez détourner l’Epée de voſtre Ennemy de la ligne de voſtre corps;	Et comme je vous sis voir l'autre jour par raison démonstrative, il est impossible que vous receviez, si vous savez détourner l'Épée de votre Ennemi de la ligne de votre corps;
ce qui ne dépend ſeulement que d’un petit mouvement du poignet, ou en dedans, ou en dehors.	ce qui ne dépend seulement que d'un petit mouvement du poignet, ou en dedans, ou en dehors.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
De cette façon donc un Homme, ſans avoir du cœur, eſt ſeur de tuer ſon Homme, & de n’être point tué.	De cette façon donc un Homme, sans avoir du cœur, est sûr de tuer son Homme, et de n'être point tué.
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
Sans doute.	Sans doute.
N’en viſtes-vous pas la démonſtration?	N'en vîtes-vous pas la démonstration?
Oüy.	Oui.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
MAISTRE D'ARMES.	MAÎTRE D'ARMES.
Et c’eſt en quoy l’on voit de quelle conſideration nous autres nous devons eſtre dans un Etat, & combien la Science des Armes l’emporte hautement ſur toutes les autres Sciences inutiles, comme la Dance, la Muſique, la.	Et c'est en quoi l'on voit de quelle considération nous autres nous devons être dans un État, et combien la Science des Armes l'emporte hautement sur toutes les autres Sciences inutiles, comme la Dance, la Musique, la.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Tout-beau, Monſieur le Tireur d’Armes.	Tout-beau, Monsieur le Tireur d'Armes.
Ne parlez de la Dance qu’avec reſpect.	Ne parlez de la Dance qu'avec respect.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Aprenez, je vous prie, à mieux traitter l’excellence de la Muſique.	Apprenez, je vous prie, à mieux traiter l'excellence de la Musique.
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
Vous eſtes de plaiſantes Gens, de vouloir comparer vos Sciences à la mienne!	Vous êtes de plaisantes Gens, de vouloir comparer vos Sciences à la mienne!
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Voyez un peu l’Homme d’importance!	Voyez un peu l'Homme d'importance!
MAISTRE A DANCER.	MAÎTRE A DANCER.
Voila un plaiſant Animal, avec ſon Plaſtron?	Voilà un plaisant Animal, avec son Plastron?
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
Mon petit Maiſtre à Dancer, je vous ferois dancer comme il faut.	Mon petit Maître à Dancer, je vous ferais dancer comme il faut.
Et vous, mon petit Muſicien, je vous ferois chanter de la belle maniere.	Et vous, mon petit Musicien, je vous ferais chanter de la belle manière.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Monſieur le Batteur de Fer, je vous aprendray voſtre Meſtier.	Monsieur le Batteur de Fer, je vous apprendrai votre Métier.
MONSIEUR JOURDAIN au Maiſtre à Dancer.	MONSIEUR JOURDAIN au Maître à Dancer.
Eſtes-vous fou de l’aller quereller, luy qui entend la tierce & la quarte, & qui ſçait tuer un Homme par raiſon démonſtrative?	Êtes-vous fou de l'aller quereller, Elle qui entend la tierce et la quarte, et qui sais tuer un Homme par raison démonstrative?
MAISTRE A DANCER.	MAÎTRE A DANCER.
Je me moque de ſa raiſon démonſtrative, & de la crerée, ce de la quarte.	Je me moque de sa raison démonstrative, et de la crerée, ce de la quarte.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Tout-doux, vous dis-je.	Tout-doux, vous dis-je.
MAISTRÉ D’ARMES.	MAISTR D'ARMES,
Comment?	Comment?
petit Impertinent.	petit Impertinent.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Eh mon Maiſtre d’Armes.	Eh mon Maître d'Armes.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Comment?	Comment?
grand Cheval de Caroſſe.	grand Cheval de Carosse.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Eh mon Maiſtre à Dancer.	Eh mon Maître à Dancer.
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
Si je me jette ſur vous.	Si je me jette sur vous.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Doucement.	Doucement.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Si je mets ſur vous la main.	Si je mets sur vous la main.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Tout-beau.	Toutbeau.
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
Je vous étrilleray d’un air.	Je vous étrillerai d'un air.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
De grace.	De grâce.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Je vous roſſeray d’une maniere.	Je vous rosserai d'une manière.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je vous prle.	Je vous prle.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Laiſſez-nous un peu luy aprendre à parler.	Laissez-nous un peu avait apprendre à parler.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Mon Dieu, arreſtez vous.	Mon Dieu, arrêtez -vous.
