A MADAMOISELLE DE ROHAN.	À MADAMOISELLE DE ROHAN.
LARINTHE mere de Calirie.	LARINTHÉ mère de Calirie.
LI LA AIXEE LA IENEROSITE D’AMOVR.	LI LA AIXE LA IENEROSITE D'AMOUR.
ACTE PREMIER SCENE I.	ACTE PREMIER SCÈNE I.
ORONTE ſeul.	ORONTE seul.
Ieux, de qui tous les iours i’approch les Autels!	Jeux, de qui tous les jours j'approch les Autels!
Que ie ſuis malheureux entre tor les mortels;	Que ie suis malheureux entre tor les mortels;
I'ay fait ce que i’ay peu, pour conſeruer ma vie – Exempte des ennuis qui nous cauſe l’enuie:	J'ai fait ce que j'ai peu, pour conserver ma vie Exempte des ennuis qui nous cause l'envie:
Et l’on n’a point connu parmy tous les humains Vn ſeul qui peut reprendre, ou mes mœurs, ou mes mains:	Et l'on n'a point connu parmi tous les humains Un seul qui peut reprendre, ou mes mœurs, ou mes mains:
Le crime que l’on peut me reprocher au monde Eſt que ma paßion ſe trouue ſans ſeconde;	Le crime que l'on peut me reprocher au monde Est que ma passion se trouve sans seconde;
Que i'ayme Calirie, & que i'aymerois mieux Perdre l’obiect du iour que celuy de ſes yeux.	Que j'aime Calirie, et que j'aimerais mieux Perdre l'object du jour que celui de ses yeux.
Mais eſt-ce vncrime, ô Dieux!	Mais est-ce vncrime, ô Dieux!
que d’aymer vos ouurages.	que d'aimer vos ouvrages.
Et d’adorer en eux vos diuins aduantages;	Et d'adorer en eux vos divins avantages;
Non, ie ſçay que le Ciel, & toutes ſes clartés Qui de nuict & de iour nous mõſtrẽt leurs beautés Sont œuures de vos mains, pour noſtre ſeul ſeruice, Et que de les aymer ne fust iamais vn vice, Et pour ceſte raiſon, i’ay creu que ie pouuois Soûmettre mon esprit aux amoureuſes lois, Que ſans vous offencer, i’auois rendu les armes A l’ouurage diuin, dont i’adore les charmes.	Non, Seigneur sais que le Ciel, et toutes ses clartés Qui de nuit et de jour nous mõstrẽt leurs beautés Sont œuvres de vos mains, pour notre seul service, Et que de les aimer ne fût jamais un vice, Et pour cette raison, j'ai cru que sans pouvais Soumettre mon esprit aux amoureuses lois, Que sans vous offenser, j'avais rendu les armes A l’ouvrage divin, dont j'adore les charmes.
Cependant auiourd’huy ie ne ſuis malheureux Que pour eſtre preßé d’vn deſir amoureux.	Cependant aujourd'hui ie ne suis malheureux Que pour être pressé d'un désir amoureux.
S’il faut que mon Amour vous ſoit deſagreable, Puniſſez de la mort cét Amant miſerable:	S'il faut que mon Amour vous soit désagréable, Punissez de la mort cet Amant misérable:
Car la vie außi bien en l’eſtat où ie ſuis A fait mourir ma ioye, & nourrit mes ennuis.	Car la vie aussi bien en l'état où tu suis A fait mourir ma joie, et nourrit mes ennuis.
Ie me trauaille en vain, les Dieux ſont ſans oreilles, Et ne s’eſmeuuent point pour des choſes pareilles, Lors que leur prouidence a donné ſes decrets, Il nous eſt defendu d’en ſçauoir les ſecrets:	Je me travaille en vain, les Dieux sont sans oreilles, Et ne s'esmeuuent point pour des choses pareilles, Lors que leur providence a donné ses décrets, Il nous est défendu d'en savoir les secrets:
Ie n’ay pas toutesfois grand ſujet de me plaindre, Calirie aime Oronte, & ie ne dois rien craindre, Elle m'a teſmoigné que ſon bel œil vainqueur Ne me promettoit rien qu’elle n’euſt dans le cœur, Et depuis le long temps que i’adore ſa grace, I’ay trouué de l’ardeur, les autres de laglace.	Je n'ai pas toutefois grand sujet de me plaindre, Calirie aime Oronte, et atte las se craindre, Elle m'a témoigné que son bel œil vainqueur Ne me promettait rien qu'elle n'eût dans le cœur, Et depuis le long temps que j'adore sa grâce, J'ai trouvé de l'ardeur, les autres de laglace.
Mais durant cét amour i’apprehende vn malheur, Alidor en mourant me cache ſa douleur.	Mais durant cet amour j'appréhende un malheur, Alidor en mourant me cache sa douleur.
Les ſoins des Medecins n'eſt que peine pérduë, Sa gueriſon n'eſt plus de leurs mains attenduë, C’eſt en vain tous les iours qu’ils viennent pour le voir, La grandeur de ſon mal ſurpaſſe leur ſçauoir,	Les soins des Médecins n'est que peine pérduë, Sa guérison n'est plus de leurs mains attendue, C'est en vain tous les jours qu'ils viennent pour le voir, La grandeur de son mal surpasse leur savoir,
Ie me doute pourtant d’où vient ſa maladie, Et qu’il mourra bien toſt ſi ie n’y remedie, Ses ſouspirs ſi frequents, & ſes trãſports d’esprit, Alors que Calirie approche de ſon lit Me font iuger qu’il aime, & qu’il cache dãs l’ame, De peur de m'offenſer ſon amoureuſe flame.	Je me doute pourtant d'où vient sa maladie, Et qu'il mourra bien tôt si apprendre n'y remédie, Ses soupirs si fréquents, et ses transports d'esprit, Alors que Calirie approche de son lit Me font juger qu'il aime, et qu'il cache dans l'âme, De peur de m'offenser son amoureuse flamme.
Que feray-ie, Alidor mourra-t’il ſans ſecours, Parce qu’il tient ſecret l’objet de ſes amours?	Que ferai-je, Alidor mourra-t-il sans secours, Parce qu'il tient secret l'objet de ses amours?
Que ſa diſcretion retient dans ſa penſee Le nom de ſa beauté dont ſen ame eſt bleſſee.	Que sa discrétion retient dans sa pensée Le nom de sa beauté dont sen âme est blessée.
Non, non, auparauant que de les voir mourir, Aux despens de ma flame il le faut ſecourir:	Non, non, auparavant que de les voir mourir, Aux dépens de ma flamme il le faut secourir:
Mais voicy noſtre amy de qui l’experience Des plus grands Medecins ſurpaſſe la ſcience:	Mais voici notre ami de qui l'expérience Des plus grands Médecins surpasse la science:
Qui depuis quelques iours ſe tient auprés de luy, Pour ſçauoir le ſujet de ſon cruelennuy.	Qui depuis quelques jours se tient auprès de lui, Pour sçauoir le sujet de son cruelennui.
Et bien, qu’auez-vous faict, auez-vous peu cognoiſtre, D’où ſa melancolie, & ſon mal peuuent naiſtre.	Et bien, qu'avez-vous fait, avez-vous peu connaître, D'où sa mélancolie, et son mal peuvent naître.
ACTE PREMIER.	ACTE PREMIER.
SCENE II.	SCÈNE II.
LE MEDECIN.	LE MÉDECIN.
ORONTE.	ORONTE.
LE MEDECIN.	LE MÉDECIN.
Vy ie l’ay recogneu, on le peut ſoulager, Puniuen que Qumenoſiendanger.	Vi ici l'ai reconnu, on le peut soulager, Puniven que Quénosiendanger.
ORONTE.	ORONTE.
Et comment Calirie a-t'elle ſon remede.	Et comment Calirie a-t'-elle son remède.
LE MEDECIN.	LE MÉDECIN.
Si on veut le ſauuer, il faut qu’il l’a poſſede, Son mal eſt dans l’eſprit, ceſte ieune beauté, Par ſes diuins appas altere ſa ſanté, Il l’aime, & ſon amour a quelque retenuë, - -u-ſ---e A iij Qui difficilement me peut eſtre cogneuë:	Si on veut le sauver, il faut qu'il l'a possède, Son mal est dans l'esprit, cette jeune beauté, Par ses divins appas altère sa santé, Il l'aime, et son amour a quelque retenue, - A Qui difficilement me peut être cogneuë:
Elle l’allegera de ſon ſeul entretien.	Elle l'allégera de son seul entretien.
Adieu,	Adieu,
ORONTE ſeul.	ORONTE seul.
T’ay-i'employé pour m’arracher mon bien, Tu gueris Alidor, & contre ton enuie Tu m’annonces la mort en luy donnant la vie:	T'ai-j'employé pour m'arracher mon bien, Tu guéris Alidor, et contre ton envie Tu m'annonces la mort en lui donnant la vie:
Tu m’oſtes Calirie, eſt-ce pas me tuer, Mon amitié pourtant le doit effectuer, Quelqu'amour que mon ame ayt encore pour elle, Il ne doit pas mourir pour aymer ceſte belle:	Tu m'ôtes Calirie, est-ce pas me tuer, Mon amitié pourtant le doit effectuer, Quelqu'amour que mon âme ait encore pour elle, Il ne doit pas mourir pour aimer cette belle:
Ie veux que mon amour cede à mon amitié, Qu'en ſa faueur ie ſois contre moy ſans pitié.	Je veux que mon amour cède à mon amitié, Qu'en sa faveur je sois contre moi sans pitié.
Sonpere, à qui le mien preßé de la vieilleſſe, Mourant laiſſa le ſoin de regir ma ieuneſſe:	Sonpère, à qui le mien pressé de la vieillesse, Mourant laissa le soin de régir ma jeunesse:
Qui m’a ſeul eſleué, qui me dit à ſa mort Qu'il me laiſſoit ſon fils, que i’eſtois ſon ſupport, Me pourroit iuſtement faire vn iour ce reproche, Qu'as-tu fait de mon fils, & d’vn parent ſi proche Ay-ie voulu iamais trauerſer tes deſirs, Ou te laiſſer mourir pour des laſches plaiſirs, - T	Qui m'a seul élevé, qui me dit à sa mort Qu'il me laissait son fils, que j'étais son support, Me pourrait justement faire un jour ce reproche, Qu'as-tu fait de mon fils, et d'un parent si proche Ai-je voulu jamais traverser tes désirs, Ou te laisser mourir pour des lâches plaisirs, - 
Non, il auoit vn ſoin ſi grand de me complaire, Que i'en receus touſiours des offices de pere, Et ie veux conteſter maintenant ſi ie dois Ceder ſur Calirie à ſon fils, tous mes droits, Ouy ie le dois ceder, & ma raiſon plus forte Doit faire quitter priſe à l’ardeur qui m'emporte, Ie veux perdre auiourd’huy tous mes contentemẽs, Que ie ſois mis au rang des mal-heureux Amans:	Non, il avait un soin si grand de me complaire, Que j'en reçus toujours des offices de père, Et de veux contester maintenant si personne dois Céder sur Calie à son fils, tous mes droits, Ou ie le dois céder, et ma raison plus forte Doit faire quitter prise à l'ardeur qui m'emporte, Je veux perdre aujourd'hui tous mes contentements, Que ie sois mis au rang des malheureux Amants:
Ie te cede Alidor, la belle Calirie, Reprens ton embon-poinct, laiſſe ta reſuerie, Il faut que tous les ſoins que pour elle i'ay pris, Seruent à ſoulager tes amoureux eſprits, Et que ce ſoit pour toy ce que i'ay fait pour elle:	Je te cède Alidor, la belle Calirie, Reprends ton embon-point, laisse ta rêverie, Il faut que tous les soins que pour elle j'ai pris, Servent à soulager tes amoureux esprits, Et que ce soit pour toi ce que j'ai fait pour elle:
Mais ie voy ce me ſemble approcher ceſte belle, Que ſon objet m'eſmeut, ie ne ſçay plus commens Luy tenir vn diſcours que ma flame deſment, ---- – 2 --	Mais ie cy ce me semble approcher cette belle, Que son objet m'émut, toujours ne sais plus commen tenir un discours que ma flamme dément, -- 2 --
ACTE PREMIER.	ACTE PREMIER.
SCENE III.	SCÈNE III.
CALIRIE.	CALIRIE.
ORONIE.	ORONIE.
CALIRIE.	CALIRIE.
IEs yeux großis de pleurs, & ton viſage bleſme, Oronte, ſont teſmoins d’vne douleur extreſme, Tu ne dois pas pourtant eſtre triste ſans moy, Nous auons trop long temps veſcu ſous ceſte loy Pour maintenant la rompre, & me cacher tõ ame, Ie ne la puis ſouffrir ſans reproche, ou ſans blaſme.	IEs yeux gross de pleurs, et ton visage blême, Oronte, sont témoins d'une douleur extrême, Tu ne dois pas pourtant être triste sans moi, Nous avons trop long temps vécu sous cette loi Pour maintenant la rompre, et me cacher tõ âme, Je ne la puis souffrir sans reproche, ou sans blâme.
5	5
ORONTE.	ORONTE.
Ie ne puis Calirie eſtre iamais content, -–---- ----- .	Je ne puis Calirie être jamais content, - -- .
Ult faue que mommopnaumeme comme il pretend,	OUlt fave que mommopnaumeme comme il prétend,
CALIRIE.	CALIRIE.
On diroit à t'ouyr qu’Alidor ayt enuie De perdre de ſongré les plaiſirs de la vie.	On dirait à t'ouïr qu'Alidor ait envie De perdre de songré les plaisirs de la vie.
ORONTE.	ORONTE.
Ie ne ſçay qu’en iuger, mais il eſt bien certain, Que pour le ſecourir nous trauaillons en vain.	Je ne sais qu'en juger, mais il est bien certain, Que pour le secourir nous travaillons en vain.
Que l’on ne cognoiſt rien au malqui le tourmente, Qu'il ſouspire touſiours, que ſans ceſſe il lamente, Qu'vné douleur ſecrette, attachée à l’esprit, L'a pourſuiuy depuis que ce grand mal le prit, Pour luy les Medecins manquent d’experience.	Que l'on ne connaît rien au malqui le tourmente, Qu'il soupire toujours, que sans cesse il lamente, Qu'uné douleur secrète, attachée à l'esprit, L'a poursuivi depuis que ce grand mal le prit, Pour lui les Médecins manquent d'expérience.
CALIRIE.	CALIRIE.
Il faut vainene janmumumpuumx Et trouuer le moyen en le diuertiſſant De ſurmonter l’ennuy que ſon ame reſſent.	Il faut vainène janmumumpuumx Et trouver le moyen en le divertissant De surmonter l'ennui que son âme ressent.
URONTE.	URONTE.
Il eſt vray qu’on m’a dit que c’eſt le ſeul remede, Mais nous auons beſoin en celle de ton ayde.	Il est vrai qu'on m'a dit que c'est le seul remède, Mais nous avons besoin en celle de ton aide.
CALIRIE.	CALIRIE.
Oronte tu fais tort à mon affection, Tu ſçais bien queta peite eſt mon affliction, Et que ie ne puis voir ton ame inquietée, Que de tes de ſplaiſirs ie ne ſois agitée.	Oronte tu fais tort à mon affection, Tu sais bien quêta péite est mon affliction, Et que personne ne puis voir ton âme inquiétée, Que de tes de splaisirs on ne sois agitée.
Dis-moy donc, cher Amãt, ce que ie puis pour luy, Ie n’eſpargneray rien pour guerir ſon ennuy.	Dis-moi donc, cher Amant, ce que Dieu puis pour lui, Je n'épargnerai rien pour guérir son ennui.
ORONTE.	ORONTE.
Ma fille, ſçachez donc que la melancholie Où l’ame d’Alidor eſt toute enſeuelie, Luy donnera la mort, ſi pour le garantir Ton entretien ſouuent ne le va diuertir, C’eſt en toy ſeulement que i’ay quelque esperance De voir finir bien toſt ſon mal, & ma ſouffrance, C’eſt pourquoy ſi iamais tu m’as voulu du bien, Si iamais mon amour amerité le tien:	Ma fille, Sachez donc que la mélancolie Où l'âme d'Alidor est toute ensevelie, Lui donnera la mort, si pour le garantir Ton entretien souvent ne le va divertir, C'est en toi seulement que j'ai quelque espérance De voir finir bien tôt son mal, et ma souffrance, C'est pourquoi si jamais tu m'as voulu du bientôt, Si jamais mon amour amerité le tien:
