MONSEIGNEVR,	MONSEIGNEUR,
C’eſt mon Honneur qui ſe deffend.	C'est mon Honneur qui se défend.
LE ROY.	LE ROY.
Eſcoutez mes plaintes.	Écoutez mes plaintes.
ARTHENICE.	ARTHENICE.
Voyez mes larmes.	Voyez mes larmes.
LE ROY.	LE ROY.
Rendez vous à la Raiſon.	Rendez -vous à la Raison.
ARTHENICE.	ARTHENICE.
C’eſt elle ſeule qui vous reſiſte.	C'est elle seule qui vous résiste.
C iij	Ç Cijà
LE ROY.	LE ROY.
C’eſt pluſtoſt voſtre cruauté.	C'est plutôt votre cruauté.
ARTHENICE.	ARTHENICE.
Vous m’appellez cruelle, parce que ie ſuis vertueuſe.	Vous m'appelez cruelle, parce que ie suis vertueuse.
LE ROY.	LE ROY.
Ie vous appelle inſenſible, parce que vous eſtes inexorable.	Je vous appelle insensible, parce que vous êtes inexorable.
ARTHENICE.	ARTHENICE.
Ie ſuis cruelle, inſenſible, & inexorable, puis que voſtre Maieſté le veut:	Je suis cruelle, insensible, et inexorable, puis que votre Majesté le veut:
mais qu’elle conſidere que ſi ie ne l’eſtois, ſon amour ſe changeroit bien toſt en haine.	mais qu'elle considère que si je ne l'étais, son amour se changerait bien tôt en haine.
LE ROY, ſeul.	LE ROY, seul.
A quoy me puis-ie reſoudre dans le miſerable eſtat où ie ſuis reduit?	À quoi me puis-je résoudre dans le misérable état où tu suis réduit?
Prefereray-ie mon contentement à ma gloire?	Préférerai-je mon contentement à ma gloire?
Eſtabliray-ie mon repos ſur les ruines de ma reputation?	Établirai-je mon repos sur les ruines de ma réputation?
Si ie repudie mon Eſpouſe, ie ſomme mes ſubiets à la reuolte:	Si ici répudie mon Épouse, on somme mes sujets à la révolte:
ſi ie change de Religion, ie crie vangeance au Ciel contre moy meſme.	si ici change de Religion, tu crie vengeance au Ciel contre moi -même.
Mais quoy?	Mais quoi?
le feu qui me deuore eſt auſſi redoutable que celuy de ſes foudres.	le feu qui me dévore est aussi redoutable que celui de ses foudres.
Dans le deſeſpoir de ma gueriſon, il faut de neceſſité que ie hazarde ma vie pour la ſauuer:	Dans le désespoir de ma guérison, il faut de nécessité que Il hasarde ma vie pour la sauver:
on ne doit iamais chercher de remede aux maux qui n'en ont point.	on ne doit jamais chercher de remède aux maux qui n'en ont point.
Fin du premier Acte.	Fin du premier Acte.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
AMELITE, ET ARTTIENICE ſa fille.	AMELITE, ET ARTTIENICE sa fille.
AMELITE.	AMELITE.
RTHENICE, que vous a dit le Roy?	RTHENICE, que vous a dit le Roi?
ARTHENICE.	ARTHENICE.
Il ne m’a parlé que de ſon Amour, Madame, & du deſſein qu’il a de me choiſir pour ſa Maiitreile.	Il ne m'a parlé que de son Amour, Madame, et du dessein qu'il a de me choisir pour sa Maiitreile.
Ivrais ſeldy ay termoigne que l’eſtant deſia de mon Ambition, il ne mepouuoit faire rien eſperer qui ne fuſt au deſſous de ma Fortune.	Jrais seldi ai termoigne que l'étant déjà de mon Ambition, il ne mepouvait faire rien espérer qui ne fût au dessous de ma Fortune.
AMELITE.	AMELITE.
Il vous a promis, ſans doute, de vous faire la plus grande du monde.	Il vous a promis, sans doute, de vous faire la plus grande du monde.
ARTHENICE.	ARTHENICE.
Ses promeſſes ne m’ont point tentée, ie meſpriſe les grandeurs, ſi la Iuſtice n’en iette les fondemens demens.	Ses promesses ne m'ont point tentée, Elle méprise les grandeurs, si la Justice n'en jette les fondements démens.
Il n’en veut qu’à mon honneur:	Il n'en veut qu'à mon honneur:
mais ie luy feray connoiſtre que ma Vertu ſçait donner des limites à vne puiſſance abſoluë.	mais ie cy ferai connaître que ma Vertu sait donner des limites à une puissance absolue.
AMELITE 0 I’approuue vos actions:	AMELITE 0 J'approuve vos actions:
ie louë vos deſſeins;	Ne loue vos desseins;
mais il faut moderer vos rigueurs, ſi vous voulez qu’il y ait de l’excés en voſtre Fortune.	mais il faut modérer vos rigueurs, si vous voulez qu'il y ait de l'excès en votre Fortune.
ARTHENICE.	ARTHENICE.
La Fortune ne me ſçauroit rien donner auiourd huy, qu'elle ne me puiſſe oſter demain.	La Fortune ne me saurait rien donner aujourd' hui, qu'elle ne me puisse ôter demain.
Que voulez vous que ie faſſe de ſes faueurs, Madame, ſi meſme en les poſſedant ie n’oſeray pas dire qu’elles m’appartiennent?	Que voulez -vous que croire fasse de ses faveurs, Madame, si même en les possédant ie n'oserai pas dire qu'elles m'appartiennent?
AMELITE.	AMELITE.
.	.
1100 sldiloo LiSleHoy UO ao JHoI Il ſe faut touſiours ſeruir en paſſant des biens qu’elle nous donne, puiſque nous ne faiſons.	1100 sldilo , LièleHoi UO ao JHovoI Il se faut toujours servir en passant des biens qu'elle nous donne, puisque nous ne faisons.
auſſi que paſſer.	aussi que passer.
Les preſens d’vn Sceptre & d’vne Couronne ne ſont pas à refuſer.	Les presens d'un Sceptre et d'une Couronne ne sont pas à refuser.
ARTENTCE.	ARTENTCE.
C’eſt vn petit auantage de receuoir vn grand preſent d’vn Aueugle;	C'est un petit avantage de recevoir un grand présent d'un Aveugle;
& puis, quel droit ay-ie de pretendre à la Couronne?	et puis, quel droit ai-je de prétendre à la Couronne?
Croyez vous que ma Beauté paſſe pour tiltre?	Croyez -vous que ma Beauté passe pour titre?
AMELITE.	AMELITE.
La Beauté fait des Eſclaues par tout;	La Beauté fait des Esclaves par tout;
& ſi le Roy eſt de ce nombre, il vous rendra la plus heureuſe de ſon Royaume.	et si le Roi est de ce nombre, il vous rendra la plus heureuse de son Royaume.
ARTHENICE.	ARTHENICE.
Ma felicité ne conſiſte qu’à conſeruer mon Honneur:	Ma félicité ne consiste qu'à conserver mon Honneur:
tout le reſte m’eſt indifferent.	tout le reste m'est indifférent.
AMELITE.	AMELITE.
Mais en conſeruant voſtre Honneur, il ne faut pas perdre l’occaſion de vous agrandir.	Mais en conservant votre Honneur, il ne faut pas perdre l'occasion de vous agrandir.
ARTHENICE.	ARTHENICE.
Que dois-ie faire?	Que dois-je faire?
AMELITE.	AMELITE.
Tout ce qui vous ſera poſſible, pour meſnager diſcrettement la bonne volonté que le Roy tefmoigne auoir pour vous.	Tout ce qui vous sera possible, pour ménager discrettement la bonne volonté que le Roi témoigne avoir pour vous.
ARTHENICE.	ARTHENICE.
Ma diſcretion ne me donnera point de moyens legitimes pour y reüſſir.	Ma discrétion ne me donnera point de moyens légitimes pour y réussir.
AMELITE.	AMELITE.
Voſtre Beauté paracheuera ce que voſtre prudence aura conimence.	Votre Beauté parachèvera ce que votre prudence aura conimence.
ARTHENICE.	ARTHENICE.
Quene comance puis-le auon en mabeauté, ſi elle prend congé de moy à toute heure?	Quène compance puis-le avon en mabeauté, si elle prend congé de moi à toute heure?
AMELITE.	AMELITE.
Encore qu’elle vous die Adieu à tous momens, elle vous peut faire Reine auant que vous quitter.	Encore qu'elle vous die Adieu à tous moments, elle vous peut faire Reine avant que vous quitter.
ARTHENICE.	ARTHENICE.
Si ie ne reçoy la Couronne que de ma Beauté, ce ſera vne Couronne de fleurs, qui ſe flétriront auec elle.	Si ici ne reçois la Couronne que de ma Beauté, ce sera une Couronne de fleurs, qui se flétriront avec elle.
AMELITE.	AMELITE.
Il vaut mieux commander qu’obeïr.	Il vaut mieux commander qu'obéir.
ARTHENICE.	ARTHENICE.
L’obeïſſance n’eſt point honteuſe, quand el le eſt neceſſaire.	L'obéissance n'est point honteuse, quand elle le est nécessaire.
AMELITE.	AMELITE.
Elle eſt touſiours inſupportable à vne perſonne de condition.	Elle est toujours insupportable à une personne de condition.
ARTHENICE.	ARTHENICE.
l’aime mieux la ſouffrir par Raiſon, que L dlenlenen Frar pa eyales,	l'aime mieux la souffrir par Raison, que L dlenlenen Frar paya eiales,
AMELITE.	AMELITE.
Loccaitoi de Regnier nes offre pas touſiours, Arthenice.	Loccaitoi de Regnier nés offre pas toujours, Arthénice.
1 11	1 11
Aa la Rlravre Et.	Aa la Rlavre Et.
Ie regne deſia ſur mes paſſions, Madame.	Je règne déjà sur mes passions, Madame.
AMELITE.	AMELITE.
Quand vous lomdriez à la Couronne de vos Vertus celle de ce Royaume, vous en ſeriez mieux parée:	Quand vous lomdriez à la Couronne de vos Vertus celle de ce Royaume, vous en seriez mieux parée:
Le Roy vous peut faire Reine quand il voudra.	Le Roi vous peut faire Reine quand il voudra.
ARTHENTCE.	ARTHENTCE.
Sa puiſſance ne s’eſtend pas ſi loin que ſes deſirs;	Sa puissance ne s'étend pas si loin que ses désirs;
& quand il auroit ce deſſein, ie n’ay pas cette penſée.	et quand il aurait ce dessein, je n'ai pas cette pensée.
1	1
DIEUD AMELITE.	DIEUD AMELITE.
d Si apres auoir repudié la Reine, il vous eſpouſe, que ſçauriez vous ſouhaitter?	 Si après avoir répudié la Reine, il vous épouse, que sçauriez vous souhaiter?
ARTHENICE.	ARTHENICE.
Et ſi en m’eſpouſant il ne me donne qu’vne Foy violée, que ne dois-ie pas craindre?	Et si en m'épousant il ne me donne qu'une Foi violée, que ne dois-je pas craindre?
AMELITE.	AMELITE.
Il faut hazarder quelque choſe pour eſtre Reine.	Il faut hasarder quelque chose pour être Reine.
ARTHENICE.	ARTHENICE.
On ne met iamais au hazard ce qu’on ne peut perdre qu’vne fois.	On ne met jamais au hasard ce qu'on ne peut perdre qu'une fois.
AMELITE.	AMELITE.
Le temps vous fera changer de langage;	Le temps vous fera changer de langage;
allons faire vne viſite dans le Palais.	allons faire une visite dans le Palais.
Alle lal anane Es Ie vous ſuiuray, Madame.	Alle lal ane Es Je vous suivrai, Madame.
SVETE A2 LE ROY, auec Polexandre ſon Fauory.	SUETE A2 LE ROI, avec Polexandre son Favori.
LE ROY.	LE ROY.
I 2 2 Es conſeils ſont ennemis de mon repos;	I 2 2 Es conseils sont ennemis de mon repos;
dois-ie refuſer à moy meſme le ſecours de mon pouuoir abſolu dans le miſerable eſtat où ie me treuue?	dois-je refuser à moi -même le secours de mon pouvoir absolu dans le misérable état où ie me trouve?
116	116
POLEXANDRE.	POLEXANDRE.
Vn Roy paſſe pour Tyran, quand il rend ſes paſſions auſſi abſoluës que ſa Puiſſance.	Un Roy passe pour Tyran, quand il rend ses passions aussi absolues que sa Puissance.
LE ROY.	LE ROY.
La Tyrannie & la cruauté ſont les ſeules armes dont ie me puis ſeruir, pour vaincre mon mal-heur, & ſoulager mes peines.	La Tyrannie et la cruauté sont les seules armes dont Elle me puis servir, pour vaincre mon malheur, et soulager mes peines.
YOLEAANDNE.	YOLEANDNE.
Quel ſoulagement peut trouuer voſtre Maieſté dans les Tunles de fon fomieur?	Quel soulagement peut trouver votre Majesté dans les Tunles de son fomieur?
LE ROY.	LE ROY.
Pabulidomie lon lomieur, où il va de l'intereſt de ma vie.	Pabulidomie lon lomieur, où il va de l'intérêt de ma vie.
POLEXANDRE.	POLEXANDRE.
L’vn & l’autre en cette rencontre courent vn meſme peril.	L'un et l'autre en cette rencontre courent un même péril.
LE ROY.	LE ROY.
Que me peut-il arriuer de plus inſupportable que les tourmens que i’endure?	Que me peut-il arriver de plus insupportable que les tourments que j'endure?
POLEXANDRE.	POLEXANDRE.
Les reproches d’vne vie honteuſe ſont beaucoup plus ſenſibles.	Les reproches d'une vie honteuse sont beaucoup plus sensibles.
LE ROY.	LE ROY.
Ne ſçais-tu pas que les traits de la Calomnie combene vamement aua pieus des Rois, tandis qu’ils portent la Couronne ſur la teſte?	Ne sçais-tu pas que les traits de la Calomnie combène vamement ava pieus des Rois, tandis qu'ils portent la Couronne sur la tête?
POLEXANDRE.	POLEXANDRE.
Ie ſçay bien que leurs Maieſtez ſont tellement eſleuées au deſſus du Commun, que les coups de la médiſance ne les peuuent atteindre.	Je sais bien que leurs Majestés sont tellement élevées au dessus du Commun, que les coups de la médisance ne les peuvent atteindre.
Mais quelques puiſſantes qu’elles ſoient ſur la la Terre, elles ne ſçauroient trouuer vn abry dans leurs crimes contre les foudres du Ciel.	Mais quelques puissantes qu'elles soient sur la la Terre, elles ne sauraient trouver un abri dans leurs crimes contre les foudres du Ciel.
LE ROY.	LE ROY.
Si le Ciel puniſſoit tous les crimes d’Amour, il auroit bien toſt dépeuple le monde par ſa Iuſtice.	Si le Ciel punissait tous les crimes d'Amour, il aurait bien tôt dépeuple le monde par sa Justice.
POLEAANDRE.	POLEANDRE.
Peut-il faire grace à ceux qui veulent reduire en cendre ſes Autels?	Peut-il faire grâce à ceux qui veulent réduire en cendre ses Autels?
LE ROY.	LE ROY.
Si ie ne le détruis, i’en ſeray la Victime.	Si ici ne le détruis, j'en serai la Victime.
POLEXANDRE.	POLEXANDRE.
Mais en les détruiſant, voſtre Maieſté en erigo virtouonouutau, & à ſa honte, & à ſa confuſion.	Mais en les détruisant, votre Majesté en erigo virtouonouutau, et à sa honte, et à sa confusion.
LE ROY.	LE ROY.
Que puis-ie apprehender?	Que puis-je appréhender?
POLEXANDRE.	POLEXANDRE.
Toutes choſes.	Toutes choses.
LE ROY.	LE ROY.
Quels ſont mes ennemis?	Quels sont mes ennemis?
POLEXANDRE.	POLEXANDRE.
Vos Subiets,	Vos Subiets,
LE RO 17 Qui tiendra leur party?	LE RO 17 Qui tiendra leur parti?
La Raiſon.	La Raison.
POLEXANDRE	POLEXANDRE
LE ROY.	LE ROY.
La Raiſon, mes Subiets, & toutes les choſes du monde, ne ſçauroient retarder d’vn moment mes entrepriſes:	La Raison, mes Subiets, et toutes les choses du monde, ne sauraient retarder d'un moment mes entreprises:
ie ſuis tout-puiſſant, quand il me plaiſt.	Je suis tout-puissant, quand il me plaît.
2 1	2 1
POLEXANDRE.	POLEXANDRE.
Arthenice eſt donc vaincuë.	Arthénice est donc vaincue.
LE	LE
LE ROY.	LE ROY.
Ie puis tout, rolexandie, lors que fléchir cette Inhumaine.	Je puis tout, rolexandie, lors que fléchir cette Inhumaine,
POLEXANDRE.	POLEXANDRE.
Ha!	Ha!
Sire, deſchirez le bandeau qui vous aueugle.	Sire, déchirez le bandeau qui vous aveugle.
LE ROY.	LE ROY.
Veux-tu que ie m’arrache les yeux, pour recouurer la veuë?	Veux-tu que Seigneur m'arrache les yeux, pour recouvrer la vue?
Il faut neceſſairement que ie meure, ou de regret, ou d’Amour.	Il faut nécessairement que ici meure, ou de regret, ou d'Amour.
POLEXANDRE.	POLEXANDRE.
Vn Roy a de puiſſans appas, pour tenter les FMRS,	Un Roi a de puissants appas, pour tenter les FRS,
LE ROY.	LE ROY.
Tu ne la cognois point:	Tu ne la connais point:
ſon Eſprit égale ſa Beauté;	son Esprit égale sa Beauté;
& pour mon mal-heur ſa Vertu eſt milſe fois plus adorable encore.	et pour mon malheur sa Vertu est milse fois plus adorable encore.
POLEXANDRE.	POLEXANDRE.
Il n’eſt point de Vertu à l’eſpreuue d’vne longue perſeuerance.	Il n'est point de Vertu à l'épreuve d'une longue persévérance.
Que V.	Que V.
M.	M.
me permette de luy parler:	me permette de belle parler:
ie la mettray à la raiſon, ſi elle en a tant ſoit peu.	Ne la mettrai à la raison, si elle en a tant soit peu.
LE ROY.	LE ROY.
Si tu l’attaques par raiſon, ie ne gaigneray iamais ma caule, punique la Iuitice eſt pour elle.	Si tu l'attaques par raison, Seigneur ne gaigneray jamais ma caule, punique la Juitice est pour elle.
POLEXANDRE.	POLEXANDRE.
La Iuſtice eſt aueugle, auſſi bien que l’Amour;	La Justice est aveugle, aussi bien que l'Amour;
& ſi ſa Balance ne peſe vos intereſts, voſtre Sceptre eſt plus redoutable que ſon Eſpée.	et si sa Balance ne pèse vos intérêts, votre Sceptre est plus redoutable que son Espée.
da Rorz Ie ſçay bien que tu perdras ton temps:	da Rorz Je sais bien que tu perdras ton temps:
mais ton zele ſoulagera mes peines.	mais ton zèle soulagera mes peines.
POLEXANDRE, ſeul.	POLEXANDRE, seul.
Que ie ſerois heureux, ſi par les charmes de mes diſcours ie pouuois calmer l’orage qui me vient accueillir!	Que était serais heureux, si par les charmes de mes discours après pouvais calmer l'orage qui me vient accueillir!
Mais il faudroit que ma langue euſt hatant de rertũ que le Trident de Neptune.	Mais il faudrait que ma langue eût hâtant de rertũ que le Trident de Neptune.
I’entreprens d’amolir vn Rocher, & d’enflammer d’Amour vne Ame de glace.	J'entreprends d'amolir un Rocher, et d'enflammer d'Amour une Âme de glace.
N’eſt-ce pas vn deſſein dont la temerité prepare mon ſupplice?	N'est-ce pas un dessein dont la témérité prépare mon supplice?
Si faut-il franchir cette carriere:	Si faut-il franchir cette carrière:
mon credit, ou mon zele, m’en feront euiter le peril.	mon crédit, ou mon zèle, m'en feront éviter le péril.
S 1 L III	S 1 L III
ARTHENICE, ſeule.	ARTHENICE, seule.
ne:	ne:
ſeruons-nous des chaines del’vn, pour l’attacher à la Rouë de l’autre;	servons-nous des chaines dél'un, pour l'attacher à la Roue de l'autre;
& triomphant de tous deux enſemble, faiſons voir à toutela Terre, qu’vne Sujette a donné la loy à ſon Souuerain.	et triomphant de tous deux ensemble, faisons voir à toutela Terre, qu'une Sujet a donné la loi à son Souverain.
DUEINET POLEXANDRE.	DUEINET POLEXANDRE.
Adame, ie viens me reſioüir auec vous de N ce que le Roy vous a choiſiepour ſa Maiſtreſſe.	Adame, Seigneur viens me réjouir ainsi vous de N ce que le Roi vous a choisiepour sa Maîtresse.
ARTHENICE.	ARTHENICE.
Monſieur, ie ne pretends point cette qualité:	Monsieur, Seigneur ne prétends point cette qualité:
