A MADAME DE BONNELLE.	À MADAME DE BONELLE.
Sauuez-lé, iuſtes Dieux, c’eſt vne ame hardie, Vn amy genereux, vn vieillard complaiſant, Et pour dire en vn mot, vn homme bienfaiſant:	Sauvez-lé, justes Dieux, c'est une âme hardie, Un ami généreux, un vieillard complaisant, Et pour dire en un mot, un homme bienfaisant:
S’il ne reuient bien toſt, ſa fortune eſt perduë, Ses biens ſont diſſipez, & ſa maiſon fonduë;	S'il ne revient bien tôt, sa fortune est perdue, Ses biens sont dissipés, et sa maison fondue;
Son Fils a conſommé depuis ſon partement Tout l’argent & tout l’or qu’il gardoit cherement, Et ne manquera pas de diſſiper le reſte, Sans vn viſible effet de la bonté celeſte.	Son Fils a consommé depuis son partement Tout l'argent et tout l'or qu'il gardait chèrement, Et ne manquera pas de dissiper le reste, Sans un visible effet de la bonté céleste.
Mais ſortons, le voicy, ie ne le ſçaurois voir, Depuis qu’il a quitté l’honneur & ſon deuoir.	Mais sortons, le voici, ie ne le saurais voir, Depuis qu'il a quitté l'honneur et son devoir.
SCENE II.	SCÈNE II.
LISTAN ſeul.	LISTAN seul.
’Ay long-temps medité d’vne entrepriſe vaine I Sur la condition de la Nature humaine;	ÇàAy longtemps médité d'une entreprise vaine I Sur la condition de la Nature humaine;
Mille penſers errans du deſtin des humains, Enfantez par l’eſprit, ont paſſé par mes mains:	Mille pensers errants du destin des humains, Enfantez par l'esprit, ont passé par mes mains:
I’ay fait mille argumens auec leurs conſequences, Pour chercher l’aſcendãt qui préſide aux naiſſances,	J'ai fait mille arguments était leurs conséquences, Pour chercher l'ascendent qui préside aux naissances,
Et i’ay fait maintesfois dans mon cœur abaiſſé (Si mes débordemens m’en ont encor laiſſé) Vne comparaiſon d’vn ieune homme ſans vice Auecque les beautez d’vn nouuel Edifice:	Et j'ai fait maintesfois dans mon cœur abaissé (Si mes débordements m'en ont encor laissé) Vé comparaison d'un jeune homme sans vice Avec les beautés d'être nouvel Édifice:
Alors qu’il eſt dreſſé ſur de bons fondemens, Et qu’il eſt accomply de tous ſes ornemens, Tout le monde le louë, on l’eſtime, on l’enuie, Chacun y veut vſer vne part de ſa vie, L’on en prend le modele afin de l’imiter:	Alors qu'il est dressé sur de bons fondements, Et qu'il est accompli de tous ses ornements, Tout le monde le loue, on l'estime, on l'envie, Chacun y veut user une part de sa vie, L'on en prend le modèle afin de l'imiter:
Mais ſi quelque maraut a droict de l’habiter.	Mais si quelque maraut a droit de l'habiter.
Quelque homme pareſſeux & de mauuais ménage, C’eſt vn vice important, vne tache en l’ouuragé.	Quelque homme paresseux et de mauvais ménage, C'est un vice important, une tache en l'ouvragé.
Faute de le ſoigner, l’on le voit déperir, Il neglige le temps qui le peut ſecourir:	Faute de le soigner, l'on le voit dépérir, Il néglige le temps qui le peut secourir:
Le vent fait-il tomber vne tuile du faiſte, Qui reſiſte d’abord aux coups de la tempeſte, Si le Maiſtre ſoigneux ne le fait recouurir, Les moindres accidens enfin le font perir:	Le vent fait-il tomber une tuile du faîte, Qui résiste d'abord aux coups de la tempête, Si le Maître soigneux ne le fait recouvrir, Les moindres accidents enfin le font périr:
Il pleut ſur les defauts, l’eau diſſout les murailles, Elle fond le ciment iuſques dans leurs entrailles;	Il pleut sur les défauts, l'eau dissout les murailles, Elle fond le ciment jusques dans leurs entrailles;
Cet éclatant trauail perit de la ſaçon, Et l’on n’en peut pourtant accuſer le Maçon, La pareſſe eſt vn mal, dans le tẽps où nous sõmes, Qui regne & qui cõmande à la p’uſpart des hõmes;	Cet éclatant travail périt de la saçon, Et l'on n'en peut pourtant accuser le Maçon, La paresse est un mal, dans le temps où nous soupmes, Qui règne et qui commande à la puspart des hommes;
Tout le monde auiourd’huy prẽd & boit ce poiſon, Mais il faut appliquer noſtre comparaiſon.	Tout le monde aujourd'hui prend et boit ce poison, Mais il faut appliquer notre comparaison.
Vn Enfant eſt-il né, ſon Pere le façonne, Il eſt ſon Directeur, il veille à ſa perſonne.	Un Enfant est-il né, son Père le façonne, Il est son Directeur, il veuille à sa personne.
Il dreſſe ſa ieuneſſe, il l’éleue, il l’inſtruit, C’eſt vn ieune arbriſſeau dont il attend le fruit, C’eſt ſon ſang, c’eſt ſon tout, & ſes cheres delices, Il luy met dans le cœur l’auerſion des vices,	Il dresse sa jeunesse, il l'éleue, il l'instruit, C'est un jeune arbrisseau dont il attend le fruit, C'est son sang, c'est son tout, et ses chères délices, Il avait met dans le cœur l'aversion des vices,
Et rien n’eſt épargné pour en faire vn ſujet Qui ſerue aux ieunes cœurs de modele & d’objet.	Et rien n'est épargné pour en faire un sujet Qui serve aux jeunes cœurs de modèle et d'objet.
Vn Pere tout rauy le met il hors de Page, Luy fait-il entreprendre vn illuſtre voyage Qui doit faire l’eſſay de ſes trauaux guerriers, L'on luy choiſit vn Chef vieilly dans les lauriers, C’eſt lors qu’on s’apperçolt des vertus ou du vice Qui doiuent embellir ou perdre l’Edifice:	Un Père tout ravi le met il hors de Page, Lui fait-il entreprendre un illustre voyage Qui doit faire l'essai de ses travaux guerriers, L'on avait choisit un Chef vieilly dans les lauriers, C'est lors qu'on s'apperçolt des vertus ou du vice Qui doivent embellir ou perdre l'Édifice:
Alors l’on peut iuger de ſa perfection.	Alors l'on peut juger de sa perfection.
Pour moy iuſqu’a ce temps ie fus ſans paſſion, Et ie pouuois ſeruir à toute la ieuneſſe D’vn modele accomply d’honneur & de ſageſſe:	Pour moi jusqu'a ce temps avoir fus sans passion, Et grands pouvais servir à toute la jeunesse D'un modèle accompli d'honneur et de sagesse:
Mais peu de temps apres ie changeay tout a fait, D’acheué que i’eſtois ie deuins imparfait;	Mais peu de temps après ie changeai tout a fait, D'achevé que j'étais apprenant devins imparfait;
Des ſentimens brutaux corrompirent mon ame, Qui receut les braſiers d’vne impudique flame;	Des sentiments brutaux corrompirent mon âme, Qui reçut les brasiers d'une impudique flamme;
I’oubliay l’artiſan, i’oubliay mon deuoir, Et i’embraſſay des maux que ie pouuois préuoir, Vne laſche pareſſe, ainſi qu’vne tempeſte, Entra dedans mon cœur, elle en fit ſa conqueſte, Et mina tellement tous mes ſens infectez, Qu’ils furent dés l’inſtant corrompus & gaſtez.	J'oubliai l'artisan, j'oubliai mon devoir, Et j'embrassai des maux que ie promouvais prévoir, lâche paresse, ainsi qu'une tempête, Entra dedans mon cœur, elle en fit sa conquête, Et mina tellement tous mes sens infectez, Qu'ils furent dès l'instant corrompus et gâtez.
I’eſtois lors découuert, & mon ame fut priſe;	J'étais lors découvert, et mon âme fut prise;
Amour, ce fier Tyran, aſſeruit ma franchiſe, Il détrempa mon cœur, il ſuborna mes ſens, Et n’y fit plus regner que des vœux languiſſans;	Amour, ce fier Tyran, asservit ma franchise, Il détrempa mon cœur, il suborna mes sens, Et n'y fit plus régner que des vœux languissants;
La Vertu du depuis fut ma fiere ennemie, I’abandonnay l’honneur pour ſuiure l’inſamie, I’abhorray les conſeils que l’on m’auoit donnez, Et mon cœur permit tout a mes ſens ſubornez, Ma generoſité fut toute corrompuë.	La Vertu du depuis fut ma fière ennemie, J'abandonnai l'honneur pour suivre l'insamie, J'abhorrai les conseils que l'on m'avait donnez, Et mon cœur permit tout à mes sens subornez, Ma générosité fut toute corrompue.
Mais las.	Mais las.
ce n’eſt pas tout, la douleur qui me tuë Vient de ma conſcience, & des reſſentimens Que mon eſprit conçoit de mes débordemens;	ce n'est pas tout, la douleur qui me tue Vient de ma conscience, et des ressentiments Que mon esprit conçoit de mes débordements;
Mais ce qui plus m’afflige au mal qui me poſſede, C’eſt qu’il eſt incurable, & qu’il eſt ſans remede:	Mais ce qui plus m'afflige au mal qui me possède, C'est qu'il est incurable, et qu'il est sans remède:
Ie fay de beaux deſſeins de vomir le poiſon, Mais mon cœur reſiſte, il fuit ſa gueriſon;	Je fais de beaux desseins de vomir le poison, Mais mon cœur résiste, il fuit sa guérison;
Et mon ame eſt au poinct, tant elle eſt aueuglée, Qu’elle ſuit laſchement mon ardeur déreglée.	Et mon âme est au point, tant elle est aveuglée, Qu'elle suit lâchement mon ardeur déréglée.
Dure condition de mon malheureux ſort!	Dure condition de mon malheureux sort!
Ie ſuis parmy l’orage, & ie ſuis pres du port.	Je suis parmi l'orage, et tu suis pres du port.
I’y voudrois aborder, mais i’ay trop de foibleſſe, Mon courage s’abat, le moindre effort me bleſſe, Ma paſſion le fuit, & ie dois auoüer Que l’Amour eſt l’eſcueil où ie vais échoüer.	J'y voudrais aborder, mais j'ai trop de faiblesse, Mon courage s'abat, le moindre effort me blesse, Ma passion le fuit, et Seigneur dois auoüer Que l'Amour est l'écueil où je vais échouer.
Hé bien, échoüons donc, faiſons vn beau naufrage, Philiſe veut de moy ce veritable hommage, Rendons luy ſans regrer, elle veut m’éprouuer;	Hé bien, échouons donc, faisons un beau naufrage, Philise veut de moi ce véritable hommage, Rendons lui sans regrer, elle veut m'éprouver;
Ie meurs éloigné d’elle, allons la retrouuer.	Je meurs éloigné d'elle, allons la retrouver.
SCENE III.	SCÈNE III.
PHILISE, IVSTINE, LISTAN.	PHILISE, IUSTINE, LISTAN.
PHILISEa IVSTINE, dans vne chambre où elle s’ajuſte.	PHILISEa IUSTINE, dans une chambre où elle s'ajuste.
Amais auec tant d’art ie n’ornay mon viſage, l Iamais l’ambition de plaire dauantoge Ne me fit employer les ſoins & l’agrément Qui peuuent reſveiller la flame d’vn Amant.	Amais sez tant d'art ie n'ornai mon visage, l Iamais 'ambition de plaire davantoge Ne me fit employer les soins et l'agrément Qui peuvent réveiller la flamme d'un Amant.
Que les eaux auiourd’huy m’ont eſté ſalutaires!	Que les eaux aujourd'hui m'ont été salutaires!
Et que le bain a crû mes graces ordinaires!	Et que le bain a cru mes grâces ordinaires!
Iuſtine, à ton aduis, mon teint eſt-il charmant?	Iustine, à ton avis, mon teint est-il charmant?
Et peut-on, ſans m’aimer, me ſouffrir vn moment Sçauroit-on reſiſter au trait que ie décoche.	Et peut-on, sans m'aimer, me souffrir un moment Saurait-on résister au trait que ie décoche.
IVSTINE.	IUSTINE.
Non pas, à moins d’vn cœur & d’vne ame de roche Pour moy i’ay grand regret de n’eſtre pas garçon, Ie vous ferois l’amour, mais de bonne façon:	Non pas, à moins d'un cœur et d'une âme de roche Pour moi j'ai grand regret de n'être pas garon, Je vous ferais l'amour, mais de bonne façon:
Quoy que ie ſois pour vous inutile à bien faire, Voſtre beauté m’émeut, ie ne m’en ſçaurois taire.	Quoi que ici sois pour vous inutile à bien faire, Votre beauté m'émeut, toujours ne m'en saurais taire.
Dieux!	Dieux!
peuſſay-je éprouuer le changement d’Iphis.	peussay-je prouver le changement d'Iphis.
PHILISE.	PHILISE.
Hé bien, que ferois-tu?	Hé bien, que ferais-tu?
IVSTINE.	IUSTINE.
Ie me ferois beau Fils:	Je me ferais beau Fils:
Quelque part qu’ait Liſtan dans voſtre bõne grace Ie me promettrois bien de luy ſouffler ſa place.	Quelque part qu'ait Listan dans votre bonne grâce Je me promettrais bien de mains souffler sa place.
PHILISE.	PHILISE.
Tu te trompe, Iuſtine, il eſt trop bien chez moy, Tu ſçis quelle eſt ſa flame, & ce que ie luy doy?	Tu te trompe, Justine, il est trop bien chez moi, Tu saisis quelle est sa flamme, et ce que ie luy dois?
Il m’a fait la faueur de m’auoir affranchie, Et c’eſt de ſes bienfaits que ie ſuis enrichie.	Il m'a fait la faveur de m'avoir affranchie, Et c'est de ses bienfaits que sans suis enrichie.
Me conſeillerois-tu d’eſtre ingrate à ce poincti	Me conseillerais-tu d'être ingrate à ce point
IVSTINE.	IUSTINE.
Non, vous eſtes fidele, & ie ne le ſuis point:	Non, vous êtes fidèle, et Seigneur ne le suis point:
Il m’eſt bien mal-ai é de refuſer perſonnę.	Il m'est bien malai ès de refuser personnête.
Quand on ſe dõne à moy, par ma foy ie me donne;	Quand on se dõne à moi, par ma fo ie me donne;
Mon cœur ſe rend bien toſt quand il eſt combatu, Erle ne Içay pourtant ſi c’eſt vice ou vertu.	Mon cœur se rend bien tôt quand il est combattu, Erle ne Içai pourtant si c'est vice ou vertu.
Pous vous, vous vous plaiſez à viure d’autre ſorte, Suiuez vos mouuemẽs, &moy les miẽs, n’importé, Ie ne controle rien.	Pous vous, vous vous plaisez à vivre d'autre sorte, Suivez vos mouvements, etmoi les miens, n'importé, Je ne controle rien.
PHILISE.	PHILISE.
C'eſt comme ie l’entens:	C'est comme tu l'entends:
Ainſi ſans conteſter nous paſſerons le temps.	Ainsi sans contester nous passerons le temps.
Mais dis-moy ſans mentir, ma fidele Iuſtine, Serois-je ſi parfaite?	Mais dis-moi sans mentir, ma fidèle Justine, Serais-je si parfaite?
ay-je ſi bonne mine?	ai-je si bonne mine?
Dis-noy la verité, parlons ſans compliment, Puis-je eſperer de plaire à mon fidele Amant?	Dis-noi la vérité, parlons sans compliment, Puis-je espérer de plaire à mon fidèle Amant?
Liſtan eſt vn objet que mon ame idolâtre, Le pourray-je charmer?	Listan est un objet que mon âme idolâtre, Le pourrai-je charmer?
IVSTINE.	IUSTINE.
Voſtre gorge eſt d’albâtre, Vos yeux ſont des brillãs, leurs traits ſont accõplis, Voſtre bouche de roſe, & voſtre teint de lis, Voſtre taille eſt charmante & parfaitement belle, Vous eſtes des beautez l’adorable modelle, Vous bleſſerez par tout où vous voudrez frapper, Apres cela, Philiſe, en peut-il échapper?	Votre gorge est d'allbattre, Vos yeux sont des brillants, leurs traits sont accõplis, Votre bouche de rose, et votre teint de lis, Votre taille est charmante et parfaitement belle, Vous êtes des beautés l'adorable modèle, Vous blesserez par tout où vous voudrez frapper, Après cela, Philise, en peut-il échapper?
PHILISE.	PHILISE.
Tout-beau, tout-beau, Iuſtine, on me raille.	Toutbeau, tout-beau, Justine, on me raille.
IVSTINE.	IUSTINE.
O ma Reine, Peut-on voir vos beaux yeux ſans adorer ſa chainet	Ô ma Reine, Peut-on voir vos beaux yeux sans adorer sa chainet
