A ROVEN, Chez THEODORE REINSART, pres le Palais, à l’Homme Aimé.	A ROUEN, Chez THEODORE REINSART, pres le Palais, à l'Homme Aimé.
Ele a ſouffert aſſez l’angoiſſe, & de martire, Quand te Barbare vint me, Zepides déruire, Et qu’au fort du combat ie termmindy mes iours Rouciſſart de mon ſang du Danube le cours, quand el e ſut menee auecques le baçage Pour luy eſtre barllec auſti toſt en partare, E ſoiffic entor de vorr (exe rable méchef De Coupe à ſon mari ſeruir l'os de mon chef.	Éle a souffert assez l'angoisse, et de martyre, Quand te Barbare vint me, Zépides déruire, Et qu'au fort du combat quelque termindi mes jours Roucissart de mon sang du Danube le cours, quand elle eût mène avec le baçage Pour lui être barllec austi plutôt en partare, E ouffic entar de Eorr (exe rable mèches De Coupe à son mari servir l'os de mon chef.
puis qu’elle a ià gouſté tant de dure triſteſſe, Et my paſſe le temes de ſa belle Ieun eſſe, Ne trouble plus ſes iours d’autre malheur, ſinon Que ic ſois ſatufait de ce Tygre felon, Fay luy ſentir l'effort de ton ire bourrelle Le plongeant auec moy dans la nuict eternelle:	puis qu'elle a jà goûté tant de dure tristesse, Et mi passe le temps de sa belle Jeun esse, Ne trouble plus ses jours d'autre malheur, sinon Que ic ois satufait de ce Tygré felon, Fa lui sentir l'effort de ton ire bourrelle Lé plongeant age moi dans la nuit éternelle:
Ma fille en ce faiſant veuue de luy ſera.	Ma fille en ce faisant veuve de même sera.
Tyſiphone.	Tysiphone.
Elle meſme bien tolf cet effet braſſera, Sans d’autres eſtre encor, & d’elle la meurtriere.	Elle même bien tolf cet effet brassera, Sans d'autres être encor, et d'elle la meurtrière.
Ombre.	Ombre.
Si le destin le veut on ne le peut forcer.	Si le destin le veut on ne le peut forcer,
Iyuphone.	Iyuphone.
Si de hazard tu vois ces phioles ſe caſſer Qui de noiraftre ſong ſont toutes quaire pleines, Ce ſeront des deſtins les volontez cert aines, Qu'Albouin Almachilde, & Roſemonde auſi Deualerone bien toſt au Royaame noirci.	Si de hasard tu vois ces phyoles se casser Qui de noirâtre song sont toutes quaire pleines, Ce seront des destins les volontés cert aines, Qu'Albouin Almachilde, et Rosemonde auxdi Dévalerone bien tôt au Royaâme noirci.
Car les fatales Sœurs Clotho, Iacheſe, Atrope Qui augmnentent d’Eſprits la palliſſinte trope, Leur vie ont atachée auec leur cruel ſort, A ces vmes l’arreſt de leur prodhaine mort :	Car les fatales Sœurs Clotho, Iachèse, Atrope Qui augmnentent d'Esprits la pallissinte trope, Leur vie ont atachée avec leur cruel sort, A ces vêmes l'arrêt de leur prodaine mort :
Prens cette-ci premieres & ſi elle te tonbe, En peu d’heure Albeuin ira deſſous la tombe.	Prends cette-cy premières et si elle te tonbe, En peu d'heure Albuin ira dessous la tombe.
L’ombre.	L'ombre.
Si ce ſang empourpré preſage ſon trépas, Il s'en viendri bien toſt auecque moy là bas, Car il eſt repandu, Tyſi pho.	Si ce sang empourpré présage son trépas, Il s'en viendri bien tôt apprenez moi là bas, Car il est répandu, Tissi pho.
Ces trou autres bouteilles Arbitres du destin de ſang toutes vermeilles, Sont fatales encor à ta fille, & à ceux Que par trompeurs apaſts elle aura teſt degeus Comme ſon Almaihilde, & ſon preux Peredés,	Ces trou autres bouteilles Arbitres du destin de sang toutes vermeilles, Sont fatales encor à ta fille, et à ceux Que par trompeurs apâts elle aura test dégeus Comme son Almaihilde, et son preux Peredés,
Ombre.	Ombre.
Or leur ane bien teſt ſera là bas guidée Par le Cyleuten, ſi t’im placable ſort O donne que ce ſoit l’augure de leur mort car les voila par terre cuſemblement caſſées.	Or leur ane bien test sera là bas guidée Par le Cyleuten, si t'im placable sort Ô donne que ce soit l'augure de leur mort car les voilà par terre cusemblement cassées.
Mau di moy, cemme ſont tes embuſihes dreſſees Peur les fare bien teſt d’Atrope le butin Et me conte en pareit qu'elle ſeraleur fin?	Mau di -moi, cème sont tes embusihes dresse Peur les sare bien test d'Atrope le butin Et me conte en pareit qu'elle seraleur fin?
Tyſiphone.	Tysiphone.
Alboüin ſe voiant paiſible eu l’Inſubrie Se promet enuahir le reſte d’Italie:	Albouin se voyant paisible eu l'Insubrie Se promet envahir le reste d'Italie:
Penſe deſiatenir ferme dedans ſamain Le ſceptre ou eſt perché l'Aigle beſſon Tomain D’aiſe il eſt tout raut pour voir que la fortune Est à ſes hauts proier (ce luy ſemble oportune, Pour ce, il fera dreſſer vn ſolennel f ſtm Source de ſon malheur enormement mutin, Ou toſt il ſentira de quelque violence Contre ceux qu’il me plaiſt ma colere i’élance.	Pense desiatenir ferme dedans samain Le sceptre ou est perché l'Aigle besson Tomte D' il est tout raut pour voir que la fortune Est à ses hauts proyer (ce avait semble oportune, Pour ce, il fera dresser un solennel stm Source de son malheur énormément mutin, Ou tôt il sentira de quelque violence Contre ceux qu'il me plut ma colère j'élance.
Vne Bacchique loie en ſon Ame vi endra, Qui plus que de couſtume inſolent le rendra, De façon qu’enyuré ta fille il fera boire Dedans l’os de con chef teſmoin de ſa victoire.	Une Bacchique loie en son Âme vi endra, Qui plus que de coutume insolent le rendra, De façon qu'enivré ta fille il fera boire Dedans l'os de con chef témoin de sa victoire.
Ce trait luy bleſſera ſi viuemnent le cœur Qu’elle conuertira ſon amour en rancœus, Mais afie qu’elle en face entiere la vengeance, Ce Peredce aura de ſon corps iouyſſance Auecques Almach lde, auſquels elle vſera De propos menſongers, & les abuſera Si bien que pour luy plare (execrable!	Ce trait été blessera si vivemnent le cœur Qu'elle convertira son amour en rancœus, Mais asie qu'elle en face entière la vengeance, Ce Peredce aura de son corps jouissance Auecques Almach ède, auxquels elle usera De propos mensongers, et les abusera Si bien que pour M adare (exrable!
perfides, Tous deux ils ſe rendront de leur maiſtre homicidet.	perfides, Tous deux ils se rendront de leur maître homicidet.
Cet acte ne ſera ſi tost exccuté	Cet acte ne sera si tôt excuté
Contre tous ces meurtrier, qui craintif, prendront fuite Vers Iongin ourdiſſant de ces malheurs la ſoite.	Contre tous ces meurtrier, qui craintif, prendront fuite Vers Jongin ourdissant de ces malheurs la soite.
Lors qu’il aurata fille en ſa poſſeßion:	Lors qu'il aurata fille en sa possession:
Il ſera ſurmonté de ſou affichon, Et la voudra pour femme, en faiſant qu'Almachilde Deſcendra miſer.	Il sera surmonté de sou affichon, Et la voudra pour femme, en faisant qu'Almachilde Descendra miser.
b ean nuiteux ſnernide, Mus elle le ſuiura d’vn precipité pas, Et deſcendront tous deux par vn ſentier là bas, Ou mei bourrelles Sœurs, les deux hideuſes rages, Aux ames des dœmu& ſont tonner mille orages, Puu la ſanglante fin de ces tragiques ieux, Peredee elorra de ſon ſort malheureux.	 ean nuiteux snernide, Mus elle le suivra d'un précipité pas, Et descendront tous deux par un sentier là bas, Ou mei bourrelles Sœurs, les deux hideuses rages, Aux âmes des dœmuet sont tonner mille orages, Pu la sanglante fin de ces tragiques jeux, Pèredée orra de son sort malheureux.
Maus c'est trop atendu vengereſſe ſurie Sui it paut tommmeti ionmnfre, & ta turie.	Maus c'est trop atendu vengeresse surie Sui it paut tomméti ionmnfre, et ta turie.
Mes ſæurs, prenez außi vos plus noires poiſons.	Mes sæurs, prenez aussi vos plus noires poisons.
Et l’horreur aportez de nos palles maiſons, Moy vostre Sœur maudite execrable Eumenide, Ie fay faire couler par tout le ſang humide, Ie vay, ie vay combler la maiſon d’Albouin, De feux, de ſer, de ſang, & de mort el venin.	Et l'horreur apportez de nos palles maisons, Moi votre Sœur maudite exécrable Eumenide, Je fais faire couler par tout le sang humide, Je vais, tu vais combler la maison d'Albouin, De feux, de ser, de sang, et de mort él venin.
Ià les Hydres, Py hors, les Sphynx, & les Gorgonnes Et les Peſtes d’Enfer horriblement felonnes Auecques mes deux Sœurs aux cheueux couleurins M'ont enfle l’eſtomach de leurs ſubiils venins:	Jà les Hydres, Py hors, les Sphynx, et les Gorgonnes Et les Pestes d'Enfer horriblement félonnes Avecques mes deux Sœurs aux cheveux couleurins M'ont enfle l'estomac de leurs subiils venins:
Ce fer, ce feu, ces fouets, ces Couleures ſiſtantes Atraineront ton gendre en nos caues relantes:	Ce fer, ce feu, ces fouets, ces Couleures sistantes Atraineront ton gendre en nos caves relantes:
Elles ont araché de mon cheſ vn Serpent Qui va deſſus le ſein de ta fille rampant, Et fait groſſir ſon cœur, qui rendra ſon courage Tout eſmeu de vengeance, & de haine, & de rage.	Elles ont arché de mon chez un Serpent Qui va dessus le sein de ta fille rampant, Et fait grossir son cœur, qui rendra son courage Tout ému de vengeance, et de haine, et de rage.
Ie retourneray lors ou les ombres des morts Errent palles d’effroy le long des tnstes bords Du ſicuue Leihean, & du ſanglant Cocyté Cherir ſoicncuſement vne Engeance maudite, Vn Monſtre Mahommet, que ma ſœur Alecton De Ceibere a couceu dans l’ardant Phlegeton.	Je retournerai lors ou les ombres des morts Errent palles d'effroi le long des tnstes bords Du sicue Lihéan, et du sanglant Cocyté Chérir soicncusement une Engeance maudite, Un Maudite Mahommet, que ma sœur Alecton De Ceibère a couceu dans l'ardant Phlégeton.
L’ombre.	L'ombre.
Dlus content ie ſeray dans l’Infernal abiſme Puis que tus puniras Albouin de ſon crime, Mais ie plams Roſemonde, helas.	Dlus content vertu serai dans l'Infernal abîme Puis que tus puniras Albouin de son crime, Mais ici plams Rosemonde, hélas.
las ie la plains?	las ici la plains?
Innoceute ſoufrir des tourmens tnhumains!	Innocute soufrir des tourments thumains!
Ma geniture helas!	Ma géniture hélas!
que ta chetiue vie D’étranges accidens ſe va voir pourſuiuie!	que ta chétive vie D'étranges accidents se va voir poursuivie!
Ie les vay tous aiendre aux Riuesd acheron Pour enſemble peſſer dans le barc de Charon.	Je les vais tous aiendre aux Rivesd acheron Pour ensemble pesser dans le barc de Charon.
ACTE I.	ACTE I.
Narcez.	Narcès.
E ſera donc torſiours que l’aueugle fonAux vertueux ſera contraire, & imponin Donc touſiours ceux qui ont par tant tant de fois Expoſé tout leur ſang à bien ſeruir les Rois Seront le vray ioüet de la blafarde enuie Et leur rare vertu de haine pourſuiuie!	E sera donc torsiours que l'aveugle fonAux vertueux sera contraire, et imponin Donc toujours ceux qui ont par tant tant de fois Exposé tout leur sang à bien servir les Rois Seront le vrai jet de la blafarde envie Et leur rare vertu de haine poursuivie!
O ſiecle malheureux!	Ô siècle malheureux!
ô destin inconstaut Qui parmy les humains vas le vice augmentant, Et fais que la vertu ſert ores de riſee Qui deuroit ô malheur de tous eſtre priſée.	ô destinons inconstaut Qui parmi les humains vas le vice augment, Et fais que la vertu sert ores de risée Qui devrait ô malheur de tous rendre prisée.
c'eſt vous, c'est vous, ô Rois qui mepriſez, touſigan Les vertueux lhonneus de vos Royalles cours, Et departez à ceux les honneurs, & Richeſſes, Qui conſument leurs ans entre toutos mol'ſſes.	c'est vous, c'est vous, ô Rois qui méprisez, tousigan Les vertueux lhonneus de vos Royalles cours, Et départez à ceux les honneurs, et Richesses, Qui consument leurs ans entre toutos molos molosses.
Tout ordre vous chargez en ce malheureux t'en	Tout ordre vous chargez en ce malheureux t'en
Preferant ſans raſon les hommes incouſtans d’iniquité pleins, aux parfauts perſonnages 03 Ignoraus hays pour auoir de tels gares.	Préférant sans rason les hommes incoutants d'inquité pleins, aux parfauts personnages 03 Ignoraus hais pour avoir de tels gares.
Celuy qui n’a ſinon que des biens a foiſon, e Iugement ſterile, & tout veuf de raiſon Lal-otru, ſamneant, médiſant plem d’andase, qne garſe en courage, & dextraction biſſe, a ce ſiecle de fec ſera ſeul reueri, Et plus qu’vn vertueux des Princes deſiré.	Celui qui n'a sinon que des biens a foison, e Éugement stérile, et tout veuf de raison Laloctru, samnant, médisant plem d'andase, qne garse en courage, et dextraction bisse, à ce siècle de sec sera seul reueri, Et plus qu'un vertueux des Princes désiré.
Il aura les eſtas, & les chages plus belles u’on acquiert vaillamment par ſeruices fidelles, Par mille beaux exploits au milieu des h.	Il aura les estas, et les chages plus belles u'on acquiert vaillamment par services fidèles, Par mille beaux exploits au milieu des h.
Ztes u’on roncontre en ſuiuant les ſanglaus ieux de Mars.	Ztes ôon roncontre en suivant les sanglaus yeux de Mars.
Mais celuy qui garuy d’vn genereux courgge l gurby les écueils du Martial orage, Et qui n’a iamuis eu la crainte ſar le front Comme le plus ſouuent ces tendres Muguets ont, e voit recompenſe de vent, & de fumée it ſa rare verta meſme deſest mér.	Mais celui qui garrui d'une généreux courgge l' Harbi les écueils du Martial orage, Et qui n'a jamuis eu la crainte sai le saint Comme le plus souvent ces tendres Muguets ont, eu voit récompense de vent, et de fumée it sa rare verta été des mér.
Ou ſont ces vieux Remains dont le renom faneux es Bactres a couru iuſqu’au leuant gemmeux, ſques ou le Soleil mouille ſa treſſe blonde Recreu de ſon trauail dedans l'Eſoggnolle onde?	Ou sont ces vieux Remains dont le renom faneux ès Bactres a couru jusqu'au luant gémeux, sauques ou le Soleil mouille sa tresse blonde Recreu de son travail dedans l'Esoggnolle onde?
Ou ſont ces Africains, & ces Aiheniens Qui aux plus vertueux, & non aux faineans Donnoient les beaux Estats pour vne recompenſe Du merite certain de leur meſte vaillance?	Ou sont ces Africains, et ces Ajhéniens Qui aux plus vertueux, et non aux faineans Donnaient les beaux États pour une récompense Du mérite certain de leur mette vaillance?
En leurs ſiecles d’honneur, l'honneur eu prix étoit, Les hommes vertueux tonſiours on reſpectoit Comme ces Scipions, ces Metels, ces Fabits, Et celus qui paſſa des campagnes rosties, Pur ces monts raboteux qui voiſinent les Cieux, Les honneurs ont receuz qu’ils meritoient le mieux Non en vain vn chacun s'aqueroit de la gloirs Pour grauer ſon renom au Temple de memoire.	En leurs siècles d'honneur, l'honneur eu prix était, Les hommes vertueux tonsjours on respectait Comme ces Scipions, ces Métels, ces Fabits, Et celus qui passa des campagnes rôties, Pur ces monts raboteux qui voisinent les Cieux, Les honneurs ont reçus qu'ils méritaient le mieux Non en vain un chacun s'aquerait de la gloirs Pour graver son renom au Temple de mémoire.
Et ne redoutoit on d'endurer mille maux, La fuigue de guerre, & tous autres trauaux, Per ce qu'on ne fraftroit vn homme magnanime Du merite loier dout on ſaiſoit eſt me, Il ne manquoit iamus de charges, ni d’estats Par ce que l’on faiſoit de la vertu grand cas, C’eſtoit farte florir les grandes Republiques Ou les Estais n’étoient lr gυεz par les pratiques,	Et ne redoutait on d'endurer mille maux, La fuigue de guerre, et tous autres travaux, Per ce qu'on ne fraftroit un homme magnanime Du érite lois dout on saisait est me, Il ne manquait jamus de charges, ni d'états Par ce que l'on faisait de la vertu grand cas, C'était farte florir les grandes Républiques Ou les Étais n'étaient l' étaient par l' à,
Mais en cette ſaiſon, ou la deloiauté, La trahiſon, l’enuie, & toute impieté Regne entre nous mortels & que l’mncontinence Cemme tout astre vice infemale ſemence Eſt des plus grands l’ebat, on ne void auancez Que ceux qui leurs iours ont oiſeuſement paſſez, Et qui n’ont fut ſinon que courtiſer les Danes Ou ſe perdent du tout les genereuſes anes.	Mais en cette saison, ou la déloyauté, La trahison, l'envie, et toute impiété Regne entre nous mortels et que l'émncontinence Cemme tout astre vice infémale semence Est des plus grands l'ébat, on ne voit avancez Que ceux qui leurs jours ont oiseusement passez, Et qui n'ont fut sinon que courtiser les Danes Ou se perdent du tout les généreuses ânes.
Comme ce beau Longin qu’en ma place luſtin A fait ſon Lieutenant dans le pais Latin, Superbe il contrefait vne arrogante mine, Iacoit qu’vn cœur de Cerf il porte en la poitrine.	Comme ce beau Longin qu'en ma place lûtin A fait son Lieutenant dans le pais Latin, Superbe il contrefait une arrogante mine, Jacait qu'un cœur de Cerf il porte en la poitrine.
,, Mau quoy?	, Mau quoi?
e et vn malheur qui ſuit ainſi le tem2, La malice s’augmente auec le cours des ans, » De nos premiers ayeux la nature estoit bonne.	e et un malheur qui suit ainsi le temps2, La malice s'augmente avec le cours des ans, " De nos premiers eux la nature était bonne.
