A MONSEIGNEVR 10 20 LE PRINCE.	À MONSEIGNEUR 10 20 LE PRINCE.
La choſe de ſoy-même apparente reſonne, Que ſans autre beſoin que plus on s’arraiſonne, Il faut fondre ſoudain ſur l’ennemy peureux, Et vaincœurs de tout point les rendre malheureux, Aene permtitre past e ayant repris haleine Tel delay nout le peril & la peine.	La chose de soi-même apparente résonne, Que sans autre besoin que plus on s'arraisonne, Il faut fondre soudain sur l'ennemi peureux, Et vaincœurs de tout point les rendre malheureux, Aène permitre past -elle ayant repris haleine Tel délai nout le péril et la peine.
Parmenion.	Parmenion.
Sa perte ne le fait que ſage à l’auenir, N’anime que les ſiens d’vn honteux ſouuenir, Qui font pluſieurs miliers, incomparable nombre, Deuant qui noſtre armée apparoiſt comme vne omere, Digne que ſon ſalut nous tienne ſoucieux, N’ayans reſſource aucune apres deſſous les cieux.	Sa perte ne le fait que sage à l'avenir, N'anime que les siens d'un honteux souvenir, Qui font plusieurs miliers, incomparable nombre, Deuant qui notre armée apparaît comme une omère, Digne que son salut nous tienne soucieux, N'ayant ressource aucune après dessous les cieux.
Perdice.	Perdice.
Telle confuſion de Barbares, reſſemble Aux thoreaux indomteZ, que même joug aſſemble, Diſcordans à tirer, le laboureur en vain Les flatte de la voix, les preſſe de la main, Sans en pouuoir iamais retirer de ſeruice A fendre les guerets de la terre nourrice:	Telle confusion de Barbares, ressemble Aux thoreaux indomtez, que même joug assemble, Discordans à tirer, le laboureur en vain Les flatte de la voix, les presse de la main, Sans en pouvoir jamais retirer de service A fendre les guérets de la terre nourrice:
Sa multitude ainſi difficile à regir, Dans le port de nos vœux nous fait plûtôt ſurgir, Elleleur facilite vne victoire belle, Erta demthic qice au tomoal noux appeut.	Sa multitude ainsi difficile à régir, Dans le port de nos vœux nous fait plutôt surgir, Elleleur facilite quelque victoire belle, Éta demthic qice au tomoal noux appeut.
Alexandre.	Alexandre.
Adiouſton que reduits en montagneux détroits, Auec vn embaras infini de charois, L’imprudence du chef ſes forces diminuë, Veu qu’à nous ioindre égaux, la pouciere menuë Ne s’écarte plûtôt des ſifflans tourbillons, Que nôtre premier choc fendra leurs bataillons, Libres, deuvere (y ſans trainté iue ie nomvre Nous puiſſe, enueloppeZ, apporter de l’encombre.	Adiouston que réduits en montagneux détroits, Avec un embarras infini de charts, L'imprudence du chef ses forces diminue, Veu qu'à nous joindre égaux, la poucière menue Ne s'écarte plutôt des sifflants tourbillons, Que notre premier choc ra leurs bataillons, Libres, deuvere (y sans trainté iue ie nvre Nous se, enueloppeZ, apporter de l'encombre.
Hepheſtion.	Héphestion.
Sire, outre ces raiſons, l’infructueux ſejour Renforce l’ennemy, croiſſant de iour en iour, Pareil à ces ruiſſeaux que las fortes rauines Großiſſent au Printans des montagnes voïſines.	Sire, outre ces raisons, l'infructueux séjour Renforce l'ennemi, croissant de jour en jour, Pareil à ces ruisseaux que las fortes ravines Grossent au Printant des montagnes voïsines.
Nous à qui l’eſpoir git en la ſeule valeur, Nous qu’vn chef immortel affranchit de malheur, Blâmables pour n’auoir jà mis en vau-de-route Ce reſte d’ennemis qui nôtre nom redoute, Puis le ſoldat languit, ſa martialle ardeur A la longue, en danger d’vne molle tiedeur, Latnon-ie jeutement, ne pius ne moins qu'on lache Sur le lieure peureux vn leurier d'attache, Et ce monde infini de barbares offerts, Repeuplera ſoudain les tenebreux enfers.	Nous à qui l'espoir gît en la seule valeur, Nous qu'un chef immortel affranchit de malheur, Blâmables pour n'avoir jà mis en vau-de-route Ce reste d'ennemis qui notre nom redoute, Puis le soldat languit, sa martialle ardeur A la longue, en danger d'une molle tiédeur, Latnon-je jeutement, ne pius ne moins qu'on la Sur le lièvre peureux un lévrier d'attache, Et ce monde infini de barbares offerts, Repeuplera soudain les ténébreux enfers.
Alexandre.	Alexandre.
Donc reſouts de donner au plûtôt la bataille, Comme auis approuué que ie veux qui preuaille, Faiſon qu’vn tans preſix & l’ordre du combat Range au deuoir chacun ſans tumulte ou debat, La preuoyance doit munir vn Capitaine Qui veut frayer aux ſiens la victoire certaine.	Donc résouts de donner au plûtôt la bataille, Comme avis approuvé que ie veux qui prévaille, Faison qu'un tans presix et l'ordre du combat Range au devoir chacun sans tumulte ou débat, La prévoyance doit munir un Capitaine Qui veut frayer aux siens la victoire certaine.
Parmenion.	Parmenion.
Aduoüon neantmoins que les plus aſſeurez Es ſcadrons ennemis, de l’œil remeſurez, Si ce monstrueux amas permet quelque meſure Font d’vn tres-grand haZard la ſaine coniecture, Qui n'accompagnera d’vne ruſe l’effort, Pour vaincre l’ennemy, quãd au nombre, plus fort.	Aduoüon néanmoins que les plus assurés Es scadrons ennemis, de l'œil remesurés, Si ce monstrueux amas permet quelque mesure Font d'être très-grand hasard la saine conjeture, Qui n'accompagnera d'une ruse l'effort, Pour vaincre l'ennemi, quand au nombre, plus fort.
Alexandre.	Alexandre.
Nos hommes bien conduits, quelle meilleure ruſe Qu’ouurir à coups d’épée vne maſſe confuſe, La battre, la charger à la tête & aux flanes, Daire meme choiſi à trauers de ſes rangs, (Esbat qui m’appartient) à fin qu’en ſa perſonne Tout le reste abbatu aisément on moiſſonne.	Nos hommes bien conduits, quelle meilleure ruse Qu'ouvrir à coups d'épée une masse confuse, La battre, la charger à la tête et aux fla, Daire mme choisi à travers de ses rangs, (Esbat qui m'appartient) à fin qu'en sa personne Tout le reste abattu aisément on moissonne.
Hepheſtion.	Héphestion.
O genereux oracle & digne qu’imparfait Nous t’allion de ce pas conuertir en effect.	Ô généreux oracle et digne qu'imparfait Nous t'allion de ce pas convertir en effet.
Perdice.	Perdice.
Quiconque ne l’approuue a la crainte dans l’âme, Et coüard ou perfide il merite du blâme.	Quiconque ne l'approuve a la crainte dans l'âme, Et coüard ou perfide il mérite du blâme.
Parmenion.	Parmenion.
La ieuneſſe boüillante approuue bien ſouuent De furieux proiects qu'elle va conçeuant.	La jeunesse boüillante approuve bien souvent De furieux proiects qu'elle va concevant.
Alexandre.	Alexandre.
Vn conſeil proposé qui ſoit plus ſalutaire, Le mien luy cedera de bon cœur volontaire.	Un conseil proposé qui soit plus salutaire, Le mien On cédera de bon cœur volontaire.
Parmenion.	Parmenion.
Sire, l’experience aquiſe à mes vieux ans, Bien qu’au pair du courage auec les plus ardans, Oſe dire qu’on deuſt, alors que la nuit ſombre Cache aux yeux tous obiets ſous l’horreur de ſon ombre, Surprendre l’ennemy, le rompre, le charger, Et aux nôtres ainſi la terreur étranger Qu’apporteroit l’aſpect d’vne flotte barbare, Plus nombreuſe en guerriers qu'en épics le Gargare, Qui reſſemble vne mer infinie à la voir, Et qui peut mieux le iour a ſon ſalut pouruoir, Moins la victoire coûte & de ſang & de peine, Plus à vn ſage Chef de loüange elle ameine.	Sire, l'expérience aquise à mes vieux ans, Bien qu'au pair du courage avec les plus ardans, Ose dire qu'on dût, alors que la nuit sombre Cache aux yeux tous objets sous l'horreur de son ombre, Surprendre l'ennemi, le rompre, le charger, Et aux nôtres ainsi la terreur étranger Qu'apporterait l'aspect d'une flotte barbare, Plus nombreuse en guerriers qu'en épics le Gargare, Qui ressemble une mer infinie à la voir, Et qui peut mieux le jour a son salut pourvoir, Moins la victoire coûte et de sang et de peine, Plus sage Chef de loüange elle ameine.
Alexandre.	Alexandre.
N’auienne que iamais Alexandre vaincœur Dérobe la victoire, acte d’vn lâche cœur, Qu’autrement qu’en lyon ſa vaillance procede, La fraude preſuppoſe vne crainte qui cede:	N'avienne que jamais Alexandre vaincœur Dérobe la victoire, acte d'un lâche cœur, Qu'autrement qu'en lyon sa vaillance procède, La fraude présuppose une crainte qui cède:
Ie veux que le Soleil témoigne à l’Vniuers Qu’à la forte vertu tous chemins ſont ouuers, Ie veux que l’ennemy ne trouue cauſe aucune Deſſus quoy reietter ſon ſuprême infortune, Peſſus quoy renoüer tel eſpoir qui feroit Que la guerre d’vn ſiecle éteinte ne ſeroit, Ie ne veux l’Orient ſubiuguer en tenebres, Tâche ignominieuſe à mes exploits celebres, Chez qui toujours l’honneur tiendra même compas, Au moins tant que Cloton les borne du treſpas.	Je veux que le Soleil témoigne à l'Univers Qu'à la forte vertu tous chemins sont ouvert, Je veux que l'ennemi ne trouve cause aucune Dessus quoi réjetter son suprême infortune, Pessus quoi renouver tel espoir qui ferait Que la guerre d'un siècle éteinte ne serait, Je ne veux l'Orient subiuguer en ténèbres, Tâche ignominieuse à mes exploits célèbres, Chez qui toujours l'honneur tiendra même compas, Au moins tant que Cloton les borne du trépas.
Hepheſtion.	Héphestion.
Prudence incomparable, vne ſi riche proye Anime le ſoldat plus qu'elle ne l’effroye:	Prudence incomparable, une si riche proie Anime le soldat plus qu'elle ne l'effroie:
Même nos Macedons qui marchent, vieux routiers, Où excede le nombre, aux coups plus volontiers, Qui, pourueu que leur Roy les conduiſe à la guerre, Luy peuuent aſſeruir le reste de la terre.	Même nos Macédons qui marchent, vieux routiers, Où excède le nombre, aux coups plus volontiers, Qui, pourvu que leur Roi les conduise à la guerre, Lui peuvent asservir le reste de la terre.
Alexandre.	Alexandre.
Le Soleil ne ſçauroit que ſon cercle mouuoir, Moy ſur autres ſujets exercer mon pouuoir, Ma gloire à vos valeurs ſympatiſe de ſorte, Qu'vne cauſe ſans l’autre aucun fruict ne rapporte, Que ma conduite ailleurs ne pouuoit preſperer, Ne vous ſous autre Chef de lauriers eſperer;	Le Soleil ne saurait que son cercle mouvoir, Moi sur autres sujets exercer mon pouvoir, Ma gloire à vos valeurs sympatise de sorte, Qu'une cause sans l'autre aucun fruit ne rapporte, Que ma conduite ailleurs ne pouvait prespérer, Ne vous sous autre Chef de lauriers espérer;
Heureux temperament:	Heureux tempérament:
mais i’aperçoy Menide Commis à découurir où le Perſe timide Sa retraite achemine:	mais j'aperçois Ménide Commis à découvrir où le Perse timide Sa retraite achemine:
Et bien qu’apportes-tu?	Et bien qu'apportes-tu?
Triomphons-nous premier que d’auoir combatu?	Triomphons-nous premier que d'avoir combattu?
Que font les ennemis?	Que font les ennemis?
quelle nouuelle appriſe Sur eux, par ton moyen, donnera quelque priſe.	quelle nouvelle apprise Sur eux, par ton moyen, donnera quelque prise.
Menide.	Ménide.
Sire, vn grand bruit confus nous a court arrêtez, Outre des feux qu’on voit luire de tous côtez Sur ces côtaux voiſins où campe le barbare, Qui ſelon l’apparence au combat ſe prepare, puuatt qu'umu fau ruuu puejjeiplus auant Ne ſe pouuoit, qu’en ſuite vn affront receuant.	Sire, un grand bruit confus nous a court arrêtez, Outre des feux qu'on voit luire de tous côtés Sur ces côtaux voisins où campe le barbare, Qui selon l'apparence au combat se prépare, puvatt qu'umu fau ru puejjeiplus avant Ne se pouvait, qu'en suite un affront recevant.
Alexandre.	Alexandre.
La nuit porte conſeil, que nos gardes aßiſes, Plus fortes & plus pres éuitent les ſurpriſes, Chacun au demeurant auerti que demain Onmet à ce chef-d’œuure vne derniere main.	La nuit porte conseil, que nos gardes assises, Plus fortes et plus près éuitent les surprises, Chacun au demeurant averti que demain Onmet à ce chef-d'œuvre une dernière main.
ACTE SECOND.	ACTE SECOND.
DAIRE, MASÆE,PARMENION SOLDAT, ALEXANDRE, HEPHESTION, ARISTANDRE.	DÁIRE, MASSE,PARMENION SOLDAT, ALEXANDRE, HEPHESTION, ARISTANDRE.
CHOEVR D’ARGYRASPI DES, BION.	CHOEUR D'ARGYRASPI DES, BION.
SCENE I.	SCÈNE I.
DAIRE, MASÆE.	DÁIRE, MASSE.
Daire.	Daire.
Agueres mes amis abſolu d'vn Empire, R Depuis où l’ocean fait ſes vagues re5C bruire Iuſques à l’Helleſpont, l’inconstance du ſort, Ores telle grandeur met en proye au plus fort, Nous auons autrefois combatu pour la gloire, Auiourd’huy le ſalut dépend de la victoire, Non le ſimple ſalut, mais bien la liberté Sans qui le iour n’a plus d’agreable clairté,	Aguère mes amis absolu d'Han Empire, R Depuis où l'ocean fait ses vagues re5C bruire Jusques à l'Hellespont, l'inconstance du sort, Ores telle grandeur met en proie au plus fort, Nous avons autrefois combattu pour la gloire, Auiourd’hui le salut dépend de la victoire, Non le simple salut, mais bien la liberté Sans qui le jour n'a plus d'agréable clairté,
Sans qui l’homme de bien doit negliger ſa vie Aux tirans oppreſſeurs remourante aſſeruie:	Sans qui l'homme de bien doit négliger sa vie Aux tyrans oppresseurs remourante asservie:
Bref ce même Soleil maintient ou détruira L’Empire le plus grand où ſa torche luira.	Bref ce même Soleil maintient ou détruira L'Empire le plus grand où sa torche luira.
Le Granique nous vit les ennemis combatré Auec foible puiſſance & qui ſe laiſſa batre;	Le Granique nous vit les ennemis combatré Avec faible puissance et qui se laissa battre;
Vaincus en Cilicie on auoit ſon recours Où le Tygre & l’Euphrate ainſi que fortes tours Deffendent la Syrie ( inacceßible terre) Icy le Dieu ſanglant qui preſide à la guerre En lieux nous a reduits qui ne permettent pas Qu'vne honteuſe fuite exente du treſpas, En lieux où la fureur de Bellone exercée, Vne horrible famine a par tout diſpersée, Non pas lieux, mais deſerts habitez de la mort:	Vaincus en Cilicie on avait son recours Où le Tibre et l'Euphrate ainsi que fortes tours Défendent la Syrie ( inaccessible terre) Ici le Dieu sanglant qui préside à la guerre En lieux nous à réduits qui ne permettent pas Qu'une honteuse fuite exente du trépas, En lieux où la fureur de Blone exercée, horrible famine a par tout dispersée, Non pas lieux, mais déserts habitez de la mort:
Or qui doit courageux vous animer plus fort, 2 Vos femmes, vos enfans, vos penates vous ſuyuent, Et dedans même barque à même port arriuent.	Or qui doit courageux vous animer plus fort, 2 Vos femmes, vos enfants, vos pénates vous suivent, Et dedans même barque à même port arrivent.
