A PARIS, 3 Chez C.	À PARIS, 3 Chez Ç.
mais ne ſçait-on pas qu’il eſt du caractere d’un Amant, quelque ſage qu’il ſoit, de s’emporter quelquefois pour les intereſts de ſon amour, & que c’eſt une de ces foibleſſes excuſables qu’on pardonne aux plus grands Héros.	mais ne sait-on pas qu'il est du caractère d'un Amant, quelque sage qu'il soit, de s'emporter quelquefois pour les intérêts de son amour, et que c'est une de ces faiblesses excusables qu'on pardonne aux plus grands Héros.
Il ſuffit qu’apres de grands combats qu’il rend contre ſa paſſion, il cede à cette genereuſe bonté, qui eſt comme ſa vertu dominante qui triomphe de ſon amour, & donne Aſpaſie à ſon Fils.	Il suffit qu'après de grands combats qu'il rend contre sa passion, il cède à cette généreuse bonté, qui est comme sa vertu dominante qui triomphe de son amour, et donne Aspasie à son Fils.
Mais la Critique ne s’eſt pas arreſtée aux objections qui peuvent avoir quelque fondement, & quelque vray-ſemblance;	Mais la Critique ne s'est pas arrêtée aux objections qui peuvent avoir quelque fondement, et quelque vraiisemblance;
elle a ſuppoſé ce qui n’eſtoit pas.	elle a supposé ce qui n'était pas.
Voyant qu’Artaxerce monttoit dans le ſecond Acte quelque legere tentation de quiter la Couronne, quoy qu’il prenne une réſolution toure contraire;	Voyant qu'Artaxerce monttait dans le second Acte quelque légère tentation de quitter la Couronne, quoi qu’il prenne une résolution toure contraire;
i- 1.	y' 1.
4 lis aiſent qu’il la cede à ſon Fils au meſme temps qu’il le choiſiſt pour ſon Succeſſeur.	4 lis aisent qu'il la cède à son Fils au même temps qu'il le choisît pour son Successeur.
Par cette ſupoſition artificieuſe, il leur eſt aiſé de faire voir qu’Artaxerce ſoûtient mal le caractere d’un grand Roy.	Par cette suposition artificieuse, il leur est aisé de faire voir qu'Artaxerce soutient mal le caractère d'un grand Roi.
C’eſt par là qu’on le peut accuſer de trop de foibleſſe, & Darius ſon Fils d’une dureté ingrate & condamnable, lors qu’en recevant la Couronne de ſon Pere, il oſe luy diſputer la poſſeſſion d’Aſpaſie, qui devoit eſtre la conſolation de ſa retraite, & le prix de l’Empire qu’il cedoit à ſon Fils.	C'est par là qu'on le peut accuser de trop de faiblesse, et Darius son Fils d'une dureté ingrate et condamnable, lors qu'en recevant la Couronne de son Père, il osefois disputer la possession d'Aspasie, qui devait être la consolation de sa retraite, et le prix de l'Empire qu'il cédait à son Fils.
Ceux qui eurent ſoin de décrier ma Piece quand elle fut joüée à Verſailles, ne manquerent point de répandre cette erreur.	Ceux qui eurent soin de décrier ma Pièce quand elle fut jouée à Versailles, ne manquèrent point de répandre cette erreur.
La prévention fut telle, que des Perſonnes équitables & bien intentionnées, en furent ébloüies, & ne trouverent plus dans le troiſiéme Acte qu’on leur avoit tant vanté, ce qui avoit merité dans Paris une approbation uni verſelle;	La prévention fut telle, que des Personnes équitables et bien intentionnées, en furent éblouies, et ne trouvèrent plus dans le troisième Acte qu'on leur avait tant vanté, ce qui avait mérité dans Paris une approbation uni verselle;
& c’eſt icy qu’il faut déplôrer le deſtin de ceux qui travaillent pour le Théatre.	et c'est ici qu'il faut déplôrer le destin de ceux qui travaillent pour le Théâtre.
Ils n’ont pas ſeulement à redouter les Cenleurs indiſcrets, chicaneurs & malins;	Ils n'ont pas seulement à redouter les Cenleurs indiscrets, chicaneurs et malins;
mais.	mais.
encore les Critiques impoſteurs & de mauvaiſe foy.	encore les Critiques imposteurs et de mauvaise foi.
Paſſons aux objections qu’on a faites contre le caractere de Darius.	Passons aux objections qu'on a faites contre le caractère de Darius.
On prétend qu’il ſe dément dans le quatriéme Acte, lors que ce Prince qui paroiſt ſi reſpectueux envers ſon Pere, & qui ne veut pas ſe ſervir de cette Loy ſi ancienne & ſi ſacrée dans la Perſe, qui vouloit que celuy qui eſtoit nommecuetttur an Souronne, pût demander la faveur qu’il ſouhaitoit, paſſe tout d’un coup à cette emportement qui va juſques à vouloir enle ver Aſpaſie à ſon Pere;	On prétend qu'il se dément dans le quatrième Acte, lors que ce Prince qui paraît si respectueux envers son Père, et qui ne veut pas se servir de cette Lois si ancienne et si sacrée dans la Perse, qui voulait que celui qui était nommecuettur an Souronne, pût demander la faveur qu'il souhait, passe tout d'un coup à cette emportement qui va jusques à vouloir enle ver Âme à son Père;
mais ceux qui me font cette objection, ignorent-ils cette regle de Théatre, que cette ſorte de changement & d’inégalité dans les Perſonnes qu’on repréſente ſur la Scene, n’eſt vicieuſe qu’alors qu’elle ſe fait ſans aucun évenement, & ſans aucune cauſe exterieure, & qu’un Perſonnage change de ſentiment & de caractere par ſon propre mouvement?	mais ceux qui me font cette objection, ignorent-ils cette règle de Théatre, que cette sorte de changement et d'inégalité dans les Personnes qu'on représente sur la Scène, n'est vicieuse qu'alors qu'elle se fait sans aucun événement, et sans aucune cause extérieure, et qu'un Personnage change de sentiment et de caractère par son propre mouvement?
Icy Darius quoy que jeune, ardent, impétueux, & qui veut mourir, s’il eſt obligé de ceder ſa Maîtreſſe, ne s’emporte contre ſon Pere, qu’alors qu’il voit que ce Pere, qui malgré ſa paſſion & ſon reſſentiment, fait voir tant de tendreſſe pour ſon Fils, prend tout d’un coup la réſolution de luy oſter Aſpaſie, & luy fait porter cette nouvelle par Tiribaze meſme, qui luy avoit donné un conſeil ſi violent.	Ici Darius quoi que jeune, ardent, impétueux, et qui veut mourir, s'il est obligé de céder sa Maîtresse, ne s'emporte contre son Père, qu'alors qu'il voit que ce Père, qui malgré sa passion et son ressentiment, fait voir tant de tendresse pour son Fils, prend tout d'un coup la résolution de tant ôter Aspasie, et même fait porter cette nouvelle par Tiribase même, qui lui avait donné un conseil h violent.
L’emportement & l’exemple du Pere ébranlent le reſpect du Fils, & d’autant plus que Tiribaze luy envoye des Amis infidelles, qui par un faux zele, & par des conſeils concertez, irritent la jalouſie de Darius.	L'emportement et l'exemple du Père ébranlent le respect du Fils, et d'autant plus que Tiribase lui envoie des Amis infidèles, qui par un faux zèle, et par des conseils concertés, irritent la jalousie de Darius.
Le retour de ce Prince & ſon repentir, qui le font trembler de reſpect à la veuë de ſon Pere, quand il veut enlever ſa Maîtreſſe, & qui luy font tomber les armes des mains, fait bien voir qu’il garde pour luy dans le fond de ſon cœur un reſpect qui ne ſe dément que par la violence de ſon Pere, par la force de ſa paſſion, & par l’inſpiration de ſes faux Amis.	Le retour de ce Prince et son repentir, qui le font trembler de respect à la vue de son Père, quand il veut enlever sa Maîtresse, et qui lui font tomber les armes des mains, fait bien voir qu'il garde pour lui dans le fond de son cœur un respect qui ne se dément que par la violence de son Père, par la force de sa passion, et par l'inspiration de ses faux Amis.
Pour finir cette Preface, qui peut-eſtre n’eſt déja que trop longue, je n’ay qu’à répondre à l’objection qu’on m’a faite touchant le Perſonnage de Nitocris.	Pour finir cette Préface, qui peut-être n'est déjà que trop longue, je n'ai qu'à répondre à l'objection qu'on m'a faite touchant le Personnage de Nitocrais.
Lec-uns diſent que c’eſt une Epiſode inutile, ſans laquelle l’action de ma Piece auroit ſon execution entiere, & que j’en devois faire un Perſonnage müet, comme de celuy d’Ariarathe, Frere de Darius;	Lec-uns disent que c'est une Épisode inutile, sans laquelle l'action de ma Pièce aurait son exécution entière, et que j'en devais faire un Personnage muet, comme de celui d'Ariarathe, Frère de Darius;
mais peut-on traiter d’inutile le Perſonnage de Nitocris, qui eſtant Fille unique de Tiribaze, oblige la tendreſſe de ſon Pere à appliquer tous ſes ſoins à la couronner par le Mariage d’un des Fils d’Artaxerce?	mais peut-on traiter d'inutile le Personnage de Nitocris, qui étant Fille unique de Tiribase, oblige la tendresse de son Père à appliquer tous ses soins à la couronner par le Mariage d'un des Fils d'Artaxerce?
N’eſt-ce pas elle, qui plus fiere & plus vindicative meſme que ſon Pere, voyant ſes eſpérances trompées, ſoûtient ſon reſſentiment, & combat les irréſolutions d’un Pere qui brûle de vanger par la perte de Darius, & par celle d’Artaxerce, les affrons qu’il a reçeus de l’un & del’autre, mais qui craint de faire périr ſa Fille par une entrepriſe ſi dangereuſe?	N'est-ce pas elle, qui plus fière et plus vindicative même que son Père, voyant ses espérances trompées, soutient son ressentiment, et combat les irrésolutions d'un Père qui brûle de venger par la perte de Darius, et par celle d'Artaxerce, les affrons qu'il a reçus de l'un et dél'autre, mais qui craint de faire périr sa Fille par une entreprise si dangereuse?
D’ailleurs, ne ſçait-on pas qu’il y a des Epiſodes qui n’eſtant pas d’une neceſſité abſoluë, font des beautez conſidérables dans une Piece, & cela ſuffit pourveu que ce ne ſoit pas un ornemeut étranger, & trop ambitieux.	D'ailleurs, ne sait-on pas qu'il y a des Épisodes qui n'étant pas d'une nécessité absolue, font des beautés considérables dans une Pièce, et cela suffit pourvu que ce ne soit pas un orneeut étranger, et trop ambitieux.
N’eſt-ce pas un grand plaiſir au Spectateur de voir confondre la vanité & la confiance de Nitocris qui ſe croit aimée de Darius, & qui ſe flate de ſe voir un jour ſur le Trône par le Marhage de ce Prince?	N'est-ce pas un grand plaisir au Spectateur de voir confondre la vanité et la confiance de Nitocris qui se croit aimée de Darius, et qui se flatte de se voir un jour sur le Trône par le Marhage de ce Prince?
N’eſt-ce pas auſſi un ornement bien naturel dans mon Ouvrage, d’y voir cette oppoſition de la fageſſe d’Aſpaſie qui ſacrifie ſa paſſion à ſon devoir, & de l’orguëil de Nitocris?	N'est-ce pas aussi un ornement bien naturel dans mon Ouvrage, d'y voir cette opposition de la sagesse d'Aspasie qui sacrifie sa passion à son devoir, et de l'orgueil de Nitocris?
D’autres trouvent érrange que j’introduiſe ſur la Scene une Fille ſans amour;	D'autres trouvent érrange que j'introduise sur la Scène une Fille sans amour;
mais ne voit-on pas que j’affecte de luy donner cette dureté, pour ne pas tomber dans ce caractere d’Amante vindicative, ſi rebatuſur la Scene Françoiſe.	mais ne voit-on pas que j'affecte de lui donner cette dureté, pour ne pas tomber dans ce caractère d'Amante vindicative, si rebattusur la Scène Française.
Voila ce que j’avois à dire pourla juſtification d’Artaxerce:	Voilà ce que j'avais à dire pourla justification d'Artaxerce:
& c’eſt de là que je tire une Réponſe invincible, contre ceux qui ont dit que ma Piece n’eſtoit pas aſſez touchante.	et c'est de là que je tire une Réponse invincible, contre ceux qui ont dit que ma Pièce n'était pas assez touchante.
Je ſçay bien qu’elle n’a pas ce Tragique qui eſt dans les horreurs d’Oedipe, & dans les fureurs de Caſſandre;	Je sais bien qu'elle n'a pas ce Tragique qui est dans les horreurs d'Oedipe, et dans les fureurs de Cassandre;
mais ne voit-on pas dans ma Piece de grands intereſts & de puiſſans mouvemens que font naiſtre les paſſions les plus violẽtes, l’amour, la haine, la jalouſie, l'orgueïl, l’ambition?	mais ne voit-on pas dans ma Pièce de grands intérêts et de puissants mouvements que font naître les passions les plus violentes, l'amour, la haine, la jalousie, l'orgueil, l'ambition?
N’y voit-on pas unPere Rival d’un Fils qu’il idoltâre, & qui voyant ce Fils criminel, ſe ſent déchirer par l’extréme deſir qu’il a de le ſauver, & par l’obligation qu’il a de l’immoler à la rigueur des Loix?	N'y voit-on pas unPère Rival d'un Fils qu'il idoltâre, et qui voyant ce Fils criminel, se sent déchirer par l'extrême désir qu'il a de le sauver, et par l'obligation qu'il a de l'immoler à la rigueur des Lois?
On y voit un Prince qui n’aime pas moins ſon Pere qu’il en eſt aimé, qui ne peut luy ceder, ny luy refuſer Aſpaſie;	On y voit un Prince qui n'aime pas moins son Père qu'il en est aimé, qui ne peut lui céder, ni luy refuser Aspasie;
qui ſe voit malheureux par la jalouſie d’un Pere qui eſt ſon Roy, & qui le choiſit pour ſon Succeſfeur, & par la réſiſtance d’une Maîtreſſe dont il eſt aimé.	qui se voit malheureux par la jalousie d'un Père qui est son Roi, et qui le choisit pour son Successeur, et par la résistance d'une Maîtresse dont il est aimé.
