A MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISELLE.	À MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISLE.
MAGDELON, Nous ſçauons qui nous ſommes, Monſieur, & c’eſt pouſſer pour nos eſprits peu fins Voſtre ciuilité, iuſqu’aux derniers confins De la galanterie.	MAGDELON, Nous sçauons qui nous sommes, Monsieur, et c'est pousser pour nos esprits peu fins Votre civilité, jusqu'aux derniers confins De la galanterie.
CATHOS.	CATHOS.
Ah!	Ah!
Dieux, cette iournée Doit eſtre comme grande, enſemble & fortunée, Marquée dans noſtre almanach.	Dieux, cette journée Doit être comme grande, ensemble et fortunée, Marquée dans notre almanach.
MAGDELON à Almanzor.	MAGDELON à Almanzor.
Petit garçon, Quoy vols faut-il touſiours faire voſtre leçon, Ne voyez-vous pas bien?	Petit garçon, Quoi vols faut-il toujours faire vôtre leçon, Ne voyez-vous pas bien?
ſurcroiſt de compagnie, Et qu’il faut vn fauteüil.	surcroît de compagnie, Et qu'il faut un fauteil.
IODELET s’aſſit.	JODELT s'assit.
C’eſt ſans ceremonie.	C'est sans cérémonie.
MASCARILLE.	MASCARILLE.
Ne vous eſtonnez pas, s’il eſt ſi déconfit, Ie ne fait que ſortir, d’vn mal qui la boufit, Comme vous le voyez, c’eſt pourquoy ſon viſage Eſt ſi maigre, & ſi paſle.	Ne vous étonnez pas, s'il est si déconfit, Je ne fait que sortir, d'un mal qui la bouffit, Comme vous le voyez, c'est pourquoi son visage Est si maigre, et si pâle.
IODELET.	JODELT.
Et c’eſt tout l’aduantage, te les fruicts qu’on reçoit des veilles de la Cour, ves trauaux de la guerre, & des ſoins de l’amour.	Et c'est tout l'avantage, te les fruits qu'on reçoit des veilles de la Cour, vez travaux de la guerre, et des soins de l'amour.
MASCARILLE.	MASCARILLE.
Mais dites cependant, ſçauez-vous bien mes Dames?	Mais dites cependant, savez-vous bien mes Dames?
Qu’on place le Vicomte, au rang des belles ames, qu'il eit de ces valllans, à qui ſe rer ned bien, C’eſt vn braue à trois poils.	Qu'on place le Vicomte, au rang des belles âmes, qu'il eit de ces valllants, à qui se rer ned bien, C'est un brave à trois poils.
IODELET.	JODELT.
Vous ne m’en deuez rien, Marquis, & nous ſçauons ce que vous ſçauez faire.	Vous ne m'en devez rien, Marquis, et nous savons ce que vous savez faire.
MASCARILLE.	MASCARILLE.
Ah!	Ah!
ma foy, ma ſcience, auprés vous doit ſe taire, l eſt vray que tous deux, nou snous ſommes ſouuent Veus dans l’occaſion.	ma foi, ma science, auprès vous doit se taire, l ' ai que tous deux, nou veau sommes souvent Veus dans l'occasion.
IODELET.	JODELT.
Queiqueivis tiop auant Et meſine en des endroits, où l’on auoit ſans doute bien du chaud à ſouffrir.	Queiqueivis tiop avant Et mesine en des endroits, où l'on avait sans doute bien du chaud à souffrir.
MASCARILLE.	MASCARILLE.
Oüy;	Oui;
mais Vicomte, écoute, Pas tant de chaud qu’icy, hay, hay, hay.	mais Vicomte, écoute, Pas tant de chaud qu'ici, haï, haï, haï.
IODELET.	JODELT.
Nous auons Fait noſtre connoiſſance à l’armée, & viuons Depuis en amitié.	Nous avons Fait notre connaissance à l'armée, et vivons Depuis en amitié.
Le iour que nous nous viſmes P'our la premiere fois, ma foy tous deux nous fiſmes Ce pacte d’eſtre amis.	Le jour que nous nous vîmes P'our la première fois, ma foi tous deux nous fîmes Ce pacte d'être amis.
Il commandoit alors Vn fort beau regiment de caualiers tres-forr 1 Sur, cy ie m’en ſouuiens, les galeres de Malthe.	Il commandait alors Un fort beau régiment de cavaliers très-forr 1 Sur, cy ie m'en souviens, les galères de Malthe.
MASCARILLE.	MASCARILLE.
Il eſt vray;	Il est vrai;
mais Vicomte, icy trop l’on m’exalte Vous eſtiez toutefois, dans l’employ deuant moy, Et ie me ſouuiens bien à preſent ſur ma foy, Que ie n’auois encor qu’vne charge aſſez baſſe, Que vous eſtiez deſia dans vne belle paſſe, Et que vous commandiez les deux mille cheuaux.	mais Vicomte, ici trop l'on m'exalte Vous étiez toutefois, dans l'emploi devant moi, Et ton me souviens bien à présent sur ma foi, Que quelque n'avais encor qu'une charge assez basse, Que vous étiez déjà dans une belle passe, Et que vous commandiez les deux mille chevaux.
IODELET.	JODELT.
nu guerre eſt belle;	nu guerre est belle;
mais on a trop de trauaux, Et la Cour auiourd’huy pour des gens de ſeruices Nous recompenſe mal.	mais on a trop de travaux, Et la Cour aujourd'hui pour des gens de services Nous récompense mal.
MASCARILLE.	MASCARILLE.
Ce ne ſont qu’injuſtices:	Ce ne sont qu'injustices:
C’eſt pourquoy, ie veux pendre auſſi l’eſpée au croc, Et ne plus m’expoſer du tout à pas vn choc.	C'est pourquoi, An veux pendre aussi l'épée au croc, Et ne plus m'exposer du tout à pas un choc.
CATHOS.	CATHOS.
Tay pour les gens d'eſpée, vn tres-furieux tendre,	Tais pour les gens d'épée, un très-furieux tendre,
MAGDELON.	MAGDELON.
Ils me plaiſent auſſi;	Ils me plaisent aussi;
mais il faut pour me prendre, Aſſaiſonner d’Eſprit, la brauoure & le cœur.	mais il faut pour me prendre, Assaisonner d'Esprit, la bravoure et le cœur.
MASCARILLE.	MASCARILLE.
Te ſouuient-il Vicomte, auec quelle vigueur Nous priſmes, toutefois ſuiuis de la fortune Deſſus nos ennemis, dis, cette demy-lune, Eſtant deuant Arras?	Te souvient-il Vicomte, avec quelle vigueur Nous prîmes, toutefois suivis de la fortune Dessus nos ennemis, dis, cette demi-lune, Étant devant Arras?
IODELET.	JODELT.
Que veux-tu dire toy?	Que veux-tu dire toi?
Auec ta demy-lune, & tu reſues, ie croy Penſes-y, c’eſtoit bien, toute vne l’vne entiere	Avec ta demi-lune, et tu rêves, Elle crois Penses-y, c'était bien, toute une l'une entière
MASCARILLE.	MASCARILLE.
la parbieu raiſon.	la parbieu raison.
IODELET.	JODELT.
I’y crûs mon Cimetiere» Il m’en ſouuient ma foy, car i’y fus fort bleſſé D’vn grand coup de grenade, à la jambe, & ie ſçay Que i’en porte la marque encore;	J'y crus mon Cimetiere» Il m'en souvient ma foi, car j'y fus fort blessé D'un grand coup de grenade, à la jambe, et Seigneur sais Que j'en porte la marque encore;
mais de grace Faijant lajier a ja janoe.	mais de grâce Faijant lajier a ja ne.
i aſtez vous ſentirez le coup, voila la place.	y jaltez -vous sentirez le coup, voilà la place.
CATHOS ayant porté la main.	CATHOS ayant porté la main.
La cicatrice eſt grande.	La cicatrice est grande.
MASCARILLE.	MASCARILLE.
Iip portin donc auſſi 'oſtre main, & taſtez juſtement celuy-cy là, là le trouuez-vous?	Jip portin donc aussi ' ôtre main, et tâtez justement celui-cy là, là le trouvez-vous?
la derriere la teſte.	la derrière la tête.
MAGDELON.	MAGDELON.
A pant la main derriere la teſte de Maſcarille.	À pant la main derrière la tête de Mascarille.
Ouy ie ſens quelque choſe.	Ou ie ici quelque chose.
Vn tel coup vous appreſte hunt loite ladhlero.	Un tel coup vous apprête hunt loite ladhlero.
MASCARILLE.	MASCARILLE.
Ma derniere campagne.	Ma dernière campagne.
Ie receus ce coup-là	Je reçus ce coup-là
IODELET à Cathos.	JODELT à Cathos.
Ah!	Ah!
tatez donc voila Encore vn autre coup, ie l’eus à Graueliue Et depuis i’ay ſouffert d’vne fieure maligne De fort aipres douicuis.	tâtez donc voilà Encore un autre coup, je l'eus à Gravelive Et depuis j'ai souffert d'une fièvre maligne De fort aipres douicuis.
MASCARILLE.	MASCARILLE.
Mettant la main ſur le bouton de ſon haut de chauſſe;	Mettant la main sur le bouton de son haut de chausse;
Moy ie vais vous monſtrer Vne effroyable playe.	Moi quelque vais vous montrer Oine effroyable plaie.
MAGDELON.	MAGDELON.
Ah!	Ah!
c’eſt trop folaſtrer Sans y voir on vous croit, & vos faits admirables.	c'est trop folâtrer Sans y voir on vous croit, et vos faits admirables.
MASCARILLE.	MASCARILLE.
Le ſont à dire vray des marques honnorables Qui font voir ce qu’on eſt.	Le sont à dire vrai des marques honorables Qui font voir ce qu'on est.
CATHOS.	CATHOS.
Ah!	Ah!
Monſieur, ſans cela Nous vous connoiſſons bien.	Monsieur, sans cela Nous vous connaissons bien.
MASCARILLE.	MASCARILLE.
Ton caroſſe?	Ton carosse?
Dis Vicomte, as-tu la	Dis Vicomte, as-tu la
IODELET.	JODELT.
Pourquoy ?	Pourquoi ?
MASCARILLE.	MASCARILLE.
Nous menerions ces Dames, Prendre hors des portes l’air, pour delecter leurs ames, Et puis leurs donnerions par apres vn cadeau, Le temps nous y conuie il eſt tout à fait beau.	Nous mènerions ces Dames, Prendre hors des portes l'air, pour délecter leurs âmes, Et puis leurs donnerions par après un cadeau, Le temps nous y convie il est tout à fait beau.
MAGDELON.	MAGDELON.
Nous ne ſçaurions ſortis d’auiourd’huy	Nous ne saurions sortis d'aujourd'hui
MASCARILLE.	MASCARILLE.
Faut remettre A quelques iours d’icy la partie, & promettre Auſſi que vous viendrez.	Faut remettre À quelques jours d'ici la partie, et promettre Aussi que vous viendrez.
CATHOS.	CATHOS.
He!	He!
bien nous le voulons	bien nous le voulons
MASCARILLE.	MASCARILLE.
Ayons donc pour dancer icy les violons.	Ayons donc pour dancer ici les violons.
IODELET.	JODELT.
C’eſt fort bien auiſé.	C'est fort bien avisé.
MAGDELON.	MAGDELON.
Pour cela, ceſt ſans peine Que nous y conſentons;	Pour cela, cest sans peine Que nous y consentons;
mais faut qu’on nous ameine Surcroiſt de compagnie.	mais faut qu'on nous âme Surcroît de compagnie.
MASCARILLE.	MASCARILLE.
Hola, ho Poiteuin Bourguignon, Prouençal, Champagne, Langeuin, La verdure, Lorrain, Baſque, la Violette, La Ramée, Picart, Caſcaret, la Valette, !	Holà, ho Poiteuin Bourguignon, Provençal, Champagne, Langeuin, La verdure, Lorrain, Basque, la Violette, La Ramée, Picart, Cascaret, la Valette, !
Diable les laquais, pour moy ie ne crois pas, Que ie ne rompe à tous les iambes, & les bras, Non, ie ne trouue point, de Gentilhomme en France Plus mal ſeruy que moy, de ces races ie pence;	Diable les laquais, pour moi -même ne crois pas, Que je ne rompe à tous les jambes, et les bras, Non, je ne trouve point, de Gentilhomme en France Plus mal servi que moi, de ces races ie pence;
Car ces canailles là, ne m’entendent iamais.	Car ces canailles -là, ne m'entendent jamais.
MAGDELON Allez viſte, Almanzor, là bas dire aux laquais De Monſieur, qu’à preſent icy l’on nous ameine Des violons;	MAGDELON Allez vite, Almanzor, là bas dire aux laquais De Monsieur, qu'à présent ici l'on nous âme Des violons;
à Marotie & vous prenez auſſi la peine;	à Marotie et vous prenez aussi la peine;
De nous faire venir ces Dames, & Meſſieurs D’icy prés, pour peupler auecque tous les leurs Ue noitre bal nprompt la tiitre iontude.	De nous faire venir ces Dames, et Messieurs D'ici prés, pour peupler avec tous les leurs Ue naître bal nprompt la tiitre jontude.
MASCARILLE.	MASCARILLE.
Ces yeux n’auroient-ils point détruit ta quietude.	Ces yeux n'auraient-ils point détruit ta quiétude.
Vicomte, qu’en dis-tu?	Vicomte, qu'en dis-tu?
IODELET.	JODELT.
Mais toy-meſme Marquis, Qu’en pourois-tu penſer?	Mais toi-même Marquis, Qu'en pourrais-tu penser?
MASCARILLE.	MASCARILLE.
Moy, par ma foy ie dis Qu’icy nos libertez, ſont à demy ſujettes, Qu’à peine elles pouront ſortir les brayes nettes, Au moins pour moy, ie ſens qu’en mon cœur ie reçois Vne eſtrange ſecouſſe, & meſme auſſi ie crois & Qu’il n’eſt plus retenu, que par fort peu de choſe;	Moi, par ma foi votre dis Qu'ici nos libertés, sont à demi sujettes, Qu'à peine elles pourront sortir les braies nettes, Au moins pour moi, je sens qu'en mon cœur était reçois V range secousse, et même aussi je crois et Qu'il n'est plus retenu, que par fort peu de chose;
Mais quand ie le perdrois i’en cherirois la cauſe.	Mais quand ici le perdrais j'en chérirais la cause.
MAGDELON.	MAGDELON.
Dieux que tout ce qu’il dit, eſt fort & naturel Qu'on voit bien qu’il n'a rien, qui loit materiel Et qu’il tourne à miracle vne douceur ma chere.	Dieux que tout ce qu'il dit, est fort et naturel Qu'on voit bien qu'il n'a rien, qui lait matériel Et qu'il tourne à miracle une douceur ma chère.
CATHOS.	CATHOS.
Il eſt vray qu’il eſt ſeul, ie croy qui puiſſe faire Vne telle deſpence, en eſprit & ſçauoir.	Il est vrai qu'il est seul, je crois qui puisse faire Vaine telle dépense, en esprit et savoir.
MASCARILLE.	MASCARILLE.
Meſdames, toutefois pour vous mieux faire voir Que ie ne vous ments pomt, ie pretends où ie meure Vous faire vn impromptu, là deſſus tout à l’heure	Mesdames, toutefois pour vous mieux faire voir Que je ne vous mens pompt, ici prétends où quelque meure Vous faire un impromptu, là dessus tout à l'heure
CATHOS.	CATHOS.
Et!	Et!
ie vous en coniure, auec toute l’ardeur De la deuotionememone denton cœur Que nous ayons au moins quelque choſe, qu’on ſçache Que l’on ait fait pour nous.	Que vous en conjure, avec toute l'ardeur De la deuotionememone denton cœur Que nous ayons au moins quelque chose, qu'on sache Que l'on ait fait pour nous.
IODELET.	JODELT.
Peſte cela me faſche I’aurois enuie auſſi d’en faire tout autant;	Peste cela me fâche J'aurais envie aussi d'en faire tout autant;
Mais faut que vous ſçachiez & teniez pour conſtant Que ie ſuis aujoura nuy, s'm faut que le m’explique, Beaucoup incommodé de la veine Poëtique Pour luy trop auoir fait de ſeignées ma foy, Ces iours paſſez.	Mais faut que vous sachiez et teniez pour constant Que je suis aujoura nui, s'm faut que le m'explique, Beaucoup incommodé de la veine Poétique Pour avait trop avoir fait de seignées ma foi, Ces jours passés.
CATHOS.	CATHOS.
Monſieur, ſans cela ie vous croy MASCA	Monsieur, sans cela cela vous crois MASCA
MASCARILLE.	MASCARILLE.
Que diable eſt donc cela?	Que diable est donc cela?
ie fais toufiours fans peine, Fort biẽ le premier vers;	Il fais toufiours sans peine, Fort bien le premier vers;
mais ie ſuis à la gehenne Pour pourſuiure.	mais ie suis à la géhenne Pour poursuivre.
Ma foy cecy preſſe trop fort:	Ma foi ceci presse trop fort:
A loiſir, ie feray pour vous ſans nul effort En vers vn Imnpromptu, qui Ians doute Ie gage Ne vous déplaira pas.	À loisir, Seigneur ferai pour vous sans nul effort En vers un Imnpromptu, qui Jans doute Je gage Ne vous déplaira pas.
IODELET.	JODELT.
Il a pour ſon partage A mon ſens, de l’eſprit en demon.	Il a pour son partage À mon sens, de l'esprit en démon.
ui ll au eno na Mais du grand, Du bien tourne, du nh, meſme du plus galand.	Oui l au eno na Mais du grand, Du bien tourne, du nh, même du plus galant.
MASCARILLE.	MASCARILLE.
Vicomte, depuis quand as-tu veu la Comteſſe?	Vicomte, depuis quand as-tu vu la Comtesse?
IODELET.	JODELT.
Elle auroit bien raiſon d’accuſer ma pareſſe 2 Car il s’eſt écoulé trois ſemaines & plus Depuis que ie lay veuë.	Elle aurait bien raison d'accuser ma paresse 2 Car il s'est écoulé trois semaines et plus Depuis que je la vue.
MASCARILLE.	MASCARILLE.
Ah Dieu i’en ſuis confus, Quoy l’aller voir ſi peu?	Ah Dieu j'en suis confus, Quoi l'aller voir si peu?
mais faut que ie te conte Que le Duc ce matin m’eſt venu voir Vicomte, Et ma voulu mener courir auecque luy Vn Ceir a Ra campagne.	mais faut que Seigneur te conte Que le Duc ce matin m'est venu voir Vicomte, Et ma voulu mener courir auecque lui ElQue a Un Campagne.
IODELET.	JODELT.
Et tu l’as econduy?	Et tu l'as econdui?
MASCARILLE.	MASCARILLE.
Quoy donc?	Quoi donc?
MAGDELON.	MAGDELON.
Meſſieurs, voi-cy nos amies qui viennent	Messieurs, voi-cy nos amies qui viennent
MASCARILLE.	MASCARILLE.
Nous ſõmes obligez aux peines qu’elles prennent.	Nous sommes obligés aux peines qu'elles prennent.
SCENE XII.	SCÈNE XII.
IODELET, MASCARILLE, CATHOS, MAGDELON, MAROTTE, LVCILE.	JODELT, MASCARILLE, CATHOS, MAGDELON, MAROTTE, LUCILE.
MAGDELON.	MAGDELON.
On Dieu, vous nous deuez mes cheres M pardonner, Ces Meſſieurs ayant eu deſſein de nous donner Chez nous l’ame des pieds, nous vous auons choiſies Pour pouuoir mieux repondre a telles fantaiſies, Et pour remplir auſſi les vuides incongrus.	On Dieu, vous nous devez mes chères M pardonner, Ces Sieurs ayant eu dessein de nous donner Chez nous l'âme des pieds, nous vous avons choisies Pour pouvoir mieux répondre a telles fantaisies, Et pour remplir aussi les vides incongrus.
, Qui ſont dans noſtre bal.	, Qui sont dans notre bal.
LVCILE.	LUCILE.
Ah!	Ah!
ne nous tenez plus De ſemblables diſcours.	ne nous tenez plus De semblables discours.
Nous ſommes obligées A voſtre ſouuenir, & ſerions affligées Si vous ne vouliez pas touſiours agir ainſi.	Nous sommes obligées A vôtre souvenir, et serions affligées Si vous ne vouliez pas toujours agir ainsi.
MASCARILLE.	MASCARILLE.
Ce n’eſt qu’vn bal preſſe que nous faiſons icy;	Ce n'est qu'un bal esse que nous faisons ici;
Mais quelqu’vn de ces iours nous auons bien enuie De vous en donner vn, au peril de la vie, Dans les formes:	Mais quelqu'un de ces jours nous avons bien envie De vous en donner vn, au péril de la vie, Dans les formes:
Mais quoy que les violons enfin, Sont-ils là?	Mais quoi que les violons enfin, Sont-ils là?
ALMANZOR:	ÀLMANZOR:
Oüy, Monſieur.	Oui, Monsieur.
CATHOS.	CATHOS.
C’eſt trop eſtre à la fin Sur ces pieds.	C'est trop être à la fin Sur ces pieds.
Allons donc, mes cheres, prenez place.	Allons donc, mes chères, prenez place.
MASCARILLE dunçãt luy ſeul comme La la la la la la.	MASCARILLE dunçãt yen seul comme La la la lalaère.
par preinue.	par preinue.
MAGDELON.	MAGDELON.
Dieux!	Dieux!
qu’il a bonne grace, Et la taille elegante.	qu'il a bonne grâce, Et la taille élégante.
ail aMuas De dancer proprement.	ail aUxMuas De dancer proprement.
Et la mine ie croy	Et la mine Je crois
MASCARILLE ayant pris Magdelon.	MASCARILLE ayant pris Magédelon.
Ma franchiſe auec moy, Auſſi bien que mes pieds va dancer la courante.	Ma franchise auecours, Aussi bien que mes pieds va dancer la courante.
Violons en cadence, ah!	Violons en cadence, ah!
cadence peſante.	cadence pesante.
O!	Ô!
qu’ils ſont ignorans?	qu'ils sont ignorants?
ma foy l’on ne peut pas Rien danſer auec eux, quel eſtrange fracas, L’on ne ſçait ce qu’on fait.	ma foi l'on ne peut pas Rien danser avec eux, quel étrange fracas, L'on ne sait ce qu'on fait.
Le Diable vous emporte, Quoy donc, ne ſçauriez-vous ioüer d’vne autre ſorte, Et de meſure la, la la la la la la.	Le Diable vous emporte, Quoi donc, ne sauriez-vous jouer d'une autre sorte, Et de mesure la, la la la la la la.
La leſme, ovioioſs de vinagc.	La lesme, ovioyoss de vinagc.
IODELET dançant en ſuite.	JODELT dançant en suite.
Oh!	Oh!
hola?	holà?
Meſſieurs, ne preſſez pas ſi fort voſtre cadence?	Messieurs, ne pressez pas si fort votre cadence?
Ie ne fais que ſortir de maladie.	Je ne fais que sortir de maladie.
Vicomte.	Vicomte.
MAS CARILLE.	MAS CARILLE.
Et dance, E ij	Et dance, E ij
SCENE XIII.	SCÈNE XIII.
DV CROISY, LA GRANGE, MASCARILLE.	DU CROISY, LA GRANGE, MASCARILLE.
LA GRANGE.	LA GRANGE.
A H, ah!	À H, ah!
coquins, que faites-vous ceans ?	coquins, que faites-vous céans ?
Trois heures ſont deſia paſſées, faineans, Depuis que nous cherchons de tous coſtez.	Trois heures sont déjà passées, faineans, Depuis que nous cherchons de tous côtés.
Ah!	Ah!
laſche?	lâche?
MASCARILLE ſe ſentant battre.	MASCARILLE se sentant battre.
Ahy, ahy, ahy, ie n’ay point ouy Monſieur que le Igacne Que les coups en ſeroient.	Ahi, ahi, ahi, on n'ai point oui Monsieur que le Jacne Que les coups en seraient.
IODELET.	JODELT.
Ahy, ahy.	Ahi, ahi.
LA GRANGE.	LA GRANGE.
C’eſt bien à vous, Infame, à vouloir faire en ce lieu les yeux doux, Et l’homme d’importance.	C'est bien à vous, Infâme, à vouloir faire en ce lieu les yeux doux, Et l'homme d'importance.
DV CROISY.	DU CROISY.
Ah!	Ah!
vous voulez paroiſtre, Cela vous apprendra certes, à vous connoiſtre.	vous voulez paraître, Cela vous apprendra certes, à vous connaître.
Ils ſortent.	Ils sortent.
SCENE XIV.	SCÈNE XIV.
MASCARILLE, IODELET, CATHOS, MAGDELON.	MASCARILLE, JODELT, CATHOS, MAGDELON.
MASCARILLE.	MASCARILLE.
Vne gageure.	Une gageure.
MAODELOR.	MAODELOR.
Non, Ou vous vous plaiſez fort à ſentir le baton.	Non, Ou Ou vous plaisez fort à sentir le bâton.
CATHOS.	CATHOS.
Vous laiſſer deuant nous battre de cette ſorte.	Vous laisser devant nous battre de cette sorte.
MASCARILLE.	MASCARILLE.
Mon Dieu, facilement ie ſçay que ie m’emporte, Et ie n’ay pas voulu faire ſemblant de rien.	Mon Dieu, facilement apprendre sais que je m'emporte, Et tu n'ai pas voulu faire semblant de rien.
MAGDELON.	MAGDELON.
Pour voſtre honneur pourtant cela ne va pas bien.	Pour votre honneur pourtant cela ne va pas bien.
Quoy?	Quoi?
tous deux;	tous deux;
qui l’euſt crû?	qui l'eût cru?
meſme en noſtre preſence Endurer vn affront, & de cette importance.	Les en notre présence Endurer un affront, et de cette importance.
MASCARILLE.	MASCARILLE.
N’importe, toutefois acheuons, ce n’eſt rien.	N'importe, toutefois achevons, ce n'est rien.
Depuis long-temps deſia nous nous connoiſſons bien:	Depuis longtemps déjà nous nous connaissons bien:
Vous ſçauez qu’entre amis, quoy qu’on faſſe & qu’on oſe, On ne ſe picque pas pour ſi petite choſe.	Vous savez qu'entre amis, quoi qu'on fasse et qu'on ose, On ne se picque pas pour si petite chose.
D SCENE XV.	D SCÈNE XV.
CROISY, LA GRANGE.	CROISY, LA GRANGE.
nisoiieranny IoLlET, MAGDELON, CATHOS.	nisoyieranni IoLET, MAGDELON, CATHOS.
LA GRANGE.	LA GRANGE.
A foy, c’eſt trop marauts, vous diuertir M de nous;	À foi, c'est trop marauds, vous divertir M de nous;
Et vous n’en rirez plus, ie vous iure entre vous.	Et vous n'en rirez plus, je vous jure entre vous.
MAGDELON.	MAGDELON.
Quoy?	Quoi?
dans noſtre logis voſtre audace redouble.	dans notre logis votre audace redouble.
Et qui vous y fait donc?	Et qui vous y fait donc?
venir mettre le trouble.	venir mettre le trouble.
DV CROISY.	DU CROISY.
Hé!	Hé!
mes Dames, comment deuons nous endurer Que nos laquais, icy ſe faſſent reuerer.	mes Dames, comment devons nous endurer Que nos laquais, ici se fassent révérer.
Que par des lâchetez que l’on peut dire extrêmes, Ils ſoient icy de vous, mieux receus que nousmeſmes, Qu'à nos ploples uerpens, paren trait tans égal, Ils vous monſtrent leur flame;	Que par des lâchetés que l'on peut dire extrêmes, Ils soient ici de vous, mieux reçus que nousmesmes, Qu'à nos ploples uerpens, paren trait tans égal, Ils vous montrent leur flamme;
& vous donnent Ie bal.	et vous donnent Je bal.
Vos laquais, MAGDELON,	Vos laquais, MAGDELON,
LA GRANGE.	LA GRANGE.
Nos laquais, ces tours ſont mal honneſtes, De nous les deſbaucher de meſme que vous faites.	Nos laquais, ces tours sont mal honnêtes, De nous les débaucher de même que vous faites.
MAGDELON.	MAGDELON.
Quelle haute inlolence?	Quelle haute inlolence?
ò Ciel:	 §:
LA GRANGE.	LA GRANGE.
Ils n’auront pas Le bien que nos habits leurs donnent des appas?	Ils n'auront pas Le bien que nos habits leurs donnent des appas?
Pour vous pouuoir par eux donner dedans la veuë.	Pour vous pouvoir par eux donner dedans la vue.
Si vous aimez leur peau, ſe ſera toute nuë, Et quand vous les verrez ſans veſtemẽs, & gueux, Vous les eſtimerez ma foy, pour leurs beaux yeux.	Si vous aimez leur peau, se sera toute nue, Et quand vous les verrez sans vêtements, et gueux, Vous les estimerez ma foi, pour leurs beaux yeux.
viſte?	vite?
qu’on ſe dépoüille, ou bien dans ma furie.	qu'on se dépouille, ou bien dans ma furie.
IODELET.	JODELT.
Et le ne imis pius lien, adieu la olaueile.	Et le ne imis pius lien, adieu la olaveile.
MASCARILLE.	MASCARILLE.
Adieu, le Marquiſat, adieu la Vicomté.	Adieu, le Marquisat, adieu la Vicomté.
DV CROISY.	DU CROISY.
Qu’eſt-ce?	Qu'est-ce?
qui vit iamais rien de plus effronté?	qui vit jamais rien de plus effronté?
Vos victoires coquins, ſeront plus mal-aiſées.	Vos victoires coquins, seront plus mal-aisées.
De vouone pourcepluouuerlar nes vnces, Ou vous irez ma foy chercher en d’autres lieux Dequoy paroiſtre beaux, & contenter les yeux De ces rares beautez, & ie vous en aſſeure.	De vouone pourcepluouuerlar nés unces, Ou vous irez ma foi chercher en d'autres lieux Dequoi paraître beaux, et contenter les yeux De ces rares beautés, et Seigneur vous en assure.
LA GRANGE.	LA GRANGE.
Auroit-on pû preuoir vne telle aduanture, Et qui plus iuſtement deuſt iamais s’emporter.	Aurait-on pu prévoir une telle aventure, Et qui plus justement dût jamais s'emporter.
mm e eſtont trop faquiis, que de nous ſupplanter Auecque nos habits?	même e estont trop faquiis, que de nous supplanter Auecque nos habits?
O ſort!	Ô sort!
MASCARILLE.	MASCARILLE.
Ta fureur eſt extreſme,	Ta fureur est extrême,
DV CROISY.	DU CROISY.
Que l’on leur oſte, & iuſque aux chauſſes meſme Qui ſont peu d’importance.	Que l'on leur ôte, et jusque aux chausses même Qui sont peu d'importance.
MASCARILLE.	MASCARILLE.
He.	He.
LA GRANGE.	LA GRANGE.
Sans raiſonnement, Que tous ces habits là, ſoient oſtez promptement.	Sans raisonnement, Que tous ces habits là, soient ôtés promptement.
Dedans l’eſtat qu’ils ſont, dés à preſent, mes Dames, Vous pouuez auec eux continuer vos flames:	Dedans l'état qu'ils sont, dès à présent, mes Dames, Vous pouvez avec eux continuer vos flammes:
Icy nous vous laiſſons en pleine liberté, Et nous vous proteſtons tous deux en verité, Que nous n'aurons faiuis aueune lurqune.	Ici nous vous laissons en pleine liberté, Et nous vous protestons tous deux en vérité, Que nous n'aurons faituis aveune lurquune.
CATHOS.	CATHOS.
Quelle confuſon.	Quelle confuson.
MAGDELON.	MAGDELON.
I'en ſuis toute ſaiſie!	J'en suis toute saisie!
LES VIOLONS au Marquis.	LES VIOLONS au Marquis.
Donnez-nous de l’argent, ie n’entends point cecy, Lequel donc de vous deux nous doit payer icy;	Donnez-nous de l'argent, Elle n'entends point ceci, Lequel donc de vous deux nous doit payer ici;
MASCARILLE le premier vers à part.	MASCARILLE le premier vers à part.
Quand ie voy ce reuers, pour moy, ie meurs de honte, Demandez ſi vous plaiſt à Monſieur le Vicomte.	Quand ie cy ce revers, pour moi, ainsi meurs de honte, Demandez si vous plaît à Monsieur le Vicomte.
LES VIOLONS ſe tournent vers Iodelet.	LES VIOLONS se tournent vers Iodelet.
IODELE Fle premur vers à part.	JODELE Fle premur vers à part.
D’vn ſemblable reuers mes ſens ſont ébaïs.	D'un semblable revers mes sens sont ébaïs.
Demandez ſi vous plaiſt à Monſieur le Marquis.	Demandez si vous plaît à Monsieur le Marquis.
SCENE XVI.	SCÈNE XVI.
GORGIBVS, IODELET, MASCARILLE, MAGDELON	GORGIBUS, JODELT, MASCARILLE, MAGDELON
GORGIBVS.	GORGIBUS.
Oquines, qu’ay-ie oüy?	Oquines, qu'ai-je oui?
vous nous venez de mettre Dedans de beaux draps blancs.	vous nous venez de mettre Dedans de beaux draps blancs.
On m’a ſans rien obmettre Dit toute voſtre affaire, & ces Meſſieurs auſſi Me l’ont trop fait ſçauoir, en s’en allant d’icy.	On m'a sans rien obmettre Dit toute votre affaire, et ces Messieurs aussi Me l'ont trop fait savoir, en s'en allant d'ici.
MAGDELON.	MAGDELON.
