AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
Carie iure le ſtix, ſerment irreuocable, Si i’allumevne fois mon courrous implacable, Qu’il ne ſouſtiendra pas mes efforts aiſement, Luy qu’vne voix de femme abat ſi promptement.	Carie jure le stix, serment irrévocable, Si j'allumevé fois mon courrous implacable, Qu'il ne soutiendra pas mes efforts aisément, Lui qu'une voix de femme abat si promptement.
Pais luy voir a quel point ſes foibleſſes mechoquẽt, Que les arreſts du Cieliamais ne ſe reuoquent, Que ce n’eſt pas ainſi qu’on reſpecte la foy, Ny que le Dieu des Dieux doit traitter auec moy.	Pais lui voir a quel point ses faiblesses mechoquẽt, Que les arrêts du Cieliamais ne se révoquent, Que ce n'est pas ainsi qu'on respecte la foi, Ni que le Dieu des Dieux doit traiter avec moi.
MERCVRE.	MERCURE.
Il n’euſt iamais deſſein, Majeſté ſouueraine, De tirer des enfers cette adorable Reine, Mais bien de vous en rendre abſolu poſſeſſeur, Changeant au nom d’eſpoux celuy de rauiſſeur;	Il n'eût jamais dessein, Majesté souveraine, De tirer des enfers cette adorable Reine, Mais bien de vous en rendre absolu possesseur, Changeant au nom d'époux celui de ravisseur;
S’il obtient dans le ciel que Ceres y conſente, Proſerpine en ce cas en ſera plus contente;	S'il obtient dans le ciel que Ceres y consente, Proserpine en ce cas en sera plus contente;
Vous luy ferez pouſſer des ſouſpirs amoureux, Auſſi-toſt que ſa mere approuuera ſes feux.	Vous avait ferez pousser des soupirs amoureux, Aussitôt que sa mère approuvera ses feux.
PLVTON.	PLUTON.
Mais s’il ne l’obtient pas, mais ſi ce laſche frere, Se laiſſe vaincre encore aux ſanglots d’vne mere, Haſarderay-ie ainſi le treſor que ie tiens?	Mais s'il ne l'obtient pas, mais si ce lâche frère, Se laisse vaincre encore aux sanglots d'une mère, Hasarderai-je ainsi le trésor que Elle tiens?
MERCVRE.	MERCURE.
Iamais l’arreſt du ciel ne rompra vos liens.	Jamais l'arrêt du ciel ne rompra vos liens.
PLVTON.	PLUTON.
Ie ne dois point ſouffrir que mon bon-heur depende mmoupauomocimmmd em Duon qui megourmande, Et dont le foible eſprit au ciel nous iugeroit, Selon la paſſion qui lors l’animeroit:	Je ne dois point souffrir que mon bonheur dépende mmoupauomocimmmd em Duon qui mégourmande, Et dont le faible esprit au ciel nous jugerait, Selon la passion qui lors l'animerait:
Ie n’iray point la haut ſolliciter mon frere.	Je n'irai point la haut solliciter mon frère.
PROSERPINE.	PROSERPINE.
Ah!	Ah!
ne me priuez point du bien de voir ma meAccordez, grand Monarque, à mon reſſentiment, Que ie l’aille embraſſer vne fois ſeulement, Meſlez dans mes ennuis ce moment d’alegreſſe.	ne me privez point du bien de voir ma meAccordez, grand Monarque, à mon ressentiment, Que ie l'aille embrasser une fois seulement, Mêlés dans mes ennuis ce moment d'allégresse.
– J.	§ J.
Ie n’y puis conſentir, adorable Deeſſe.	Je n'y puis consentir, adorable Déesse.
PROSERPINE.	PROSERPINE.
Vous le pourez, grand Dieu, quand vous l’aurez voulu, Aux cieux, comme aux enfers, Pluton eſt abſolu, Jl ne demande icy qu’vn bien dont il diſpoſe, Et ſon tout puiſſant frere eſt iuge de ſa cauſe.	Vous le pourrez, grand Dieu, quand vous l'aurez voulu, Aux cieux, comme aux enfers, Pluton est absolu, Jl ne demande ici qu'un bien dont il dispose, Et son tout puissant frère est juge de sa cause.
Helas!	Hélas!
deuez, vous craindre vn triſte euenement, Si le iuge eſt l’auteurde voſtre enleuement;	devez, vous craindre un triste événement, Si le juge est l'auteurde votre enlèvement;
Et que peuuent les cris d’vne mere eſpleurée, Contre le ſouuerain de la voute azurée, Luy, de qui tout dépend, par vn ordre fatal, Et dont le ſeul vouloir fait le bien & le mal.	Et que peuvent les cris d'une mère élevée, Contre le souverain de la voute azurée, Lui, de qui tout dépend, par un ordre fatal, Et dont le seul vouloir fait le bien et le mal.
Quelle impuiſſance, ô Dieux!	Quelle impuissance, ô Dieux!
où ie ſuis ſouueraine, Ie perds tout moncredit, alors qu’on me fait Reine, Ie n'ay pas, triſte mere, en ce couronnement, Le pouuoir ny l’honneur, de te voir ſeulement;	où tu suis souveraine, Je perds tout moncredit, alors qu'on me fait Reine, Je n'ai pas, triste mère, en ce couronnement, Le pouuoir ici l'honneur, de te voir seulement;
Ie veux ce que ie dois, mon ame te careſſe, Auec des ſentimens d’amour, & de t’endreſſe, Elle te ſuit par tout, elle pleure auec toy, Mais ſon corps eſt captif dans vn lieu plain deffroy D’où ne me permet pas de reuoir la lumiere, Ce Monarque inhumain qui me tient priſonniere.	Je veux ce que Dieu dois, mon âme te caresse, Avec des sentiments d'amour, et de t'endresse, Elle te suit par tout, elle pleure avec toi, Mais son corps est captif dans un lieu plain deffroi D'où ne me permet pas de revoir la lumière, Ce Monarque inhumain qui me tient prisonnière.
PLVTON.	PLUTON.
PLVTON.	PLUTON.
Que ce charmant rayon de la Diuinité Sçait penetrer vne ame auec autorité.	Que ce charmant rayon de la Divinité Sait pénétrer une âme a aptorité.
Beauté, preſent du ciel, que ta force eſt extreſme, D’aſſuietir vn Dieu des le moment qu’ilaime, Moment pernicieux, fatal à mon pouuoir, Cruel tyran des cœurs, qui me ſçeus eſmouuoir:	Beauté, présent du ciel, que ta force est extrême, D'assetir un Dieu des le moment qu'ilaime, Moment pernicieux, fatal à mon pouvoir, Cruel tyran des cœurs, qui me sus émouvoir:
Commencement ſi beau, ſi deplorable iſſuë, Fille aimee, & rauie, auſſi-toſt qu'aperceuë, Qui l’euſt dit qu’a ce point mes yeux te cheriroient.	Commencement sitôt beau, si déplorable issue, Fille aimée, et ravie, aussitôt qu'aperçue, Qui l'eût dit qu'a ce point mes yeux te chériraient.
PROSERPINE.	PROSERPINE.
Si vous m'aimiez, grand Dieu, mes pleurs vous toucheroient, Et i'aurois le plaiſir d'eſtre autrement rauie, Par les baiſers de celle à qui ie dois lavie, Helas!	Si vous m'aimiez, grand Dieu, mes pleurs vous toucheraient, Et j'aurais le plaisir d'être autrement ravie, Par les baisers de celle à qui personne dois lavie, Hélas!
pour l’eſtre ainſi, ſerois-ie moins à vous?	pour l'être ainsi, serais-je moins à vous?
Faut-il, pour vous flechir, embraſſer vos genoux, Et meriter ce bien par vn torrent de larmes?	Faut-il, pour vous fléchir, embrasser vos genoux, Et mériter ce bien par un torrent de larmes?
PLVTON.	PLUTON.
Non, ta beauté, ma Reine, à de trop puiſſans charmes;	Non, ta beauté, ma Reine, à de trop puissants charmes;
Ie ne puis m’oppoſer plus long-temps à tes vœux, Ie me rends, ie te cedde, & veux ce que tu veux:	Je ne puis m'opposer plus longtemps à tes vœux, Je me rends, pleins te cédède, et veux ce que tu veux:
Remonte donc, Mercure, en la maiſon diuine, On y verra tantoſt Pluton, & Proſerpine.	Remonte donc, Mercure, en la maison divine, On y verra tantôt Pluton, et Proserpine.
Vole, nous te ſuiuons.	Vole, nous te suivons.
Mais auant que partir, O vous, qui m'auez fait à mes maux conſentir, Vous, qui me poſſedez, triſte & charmante Reine, Conſentez, qu'Aſcalaphe apres moy vous amene, furez moy par Ceres de faire exactement, Tout ce qu’il vous dira par mon commandement, Et de n’aprocher point, s’il ne vous ſert de guide, L’auguſte & ſacré troſne où Iupiter preſide, Apres cela, ma Reine, à toutie me ſouſmets, Me le promettez vous?	Mais avant que partir, Ô vous, qui m'avez fait à mes maux consentir, Vous, qui me possédez, triste et charmante Reine, Consentez, qu'Ascalaphe après moi vous amène, furez moi par Ceres de faire exactement, Tout ce qu'il vous dira par mon commandement, Et de n'approcher point, s'il ne vous sert de guide, L'auguste et sacré trône où Jupiter préside, Après cela, ma Reine, à toutie me sousmets, à tout promettez -vous?
PROSERPINE.	PROSERPINE.
Ouy, ie vous le promers,	Oui, Seigneur vous le promers,
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
IVPITER, CERES,VENVS,DIANE,PALLAS, LATONE,MARS, MERCVRE,PLVTON, PROSERPINE, ASCALAPHE, ASTANAROT, &c.	IUPITER, CERES,VENUS,DIANE,PALLAS, LATONE,MARS, MERCURE,PLVTON, PROSERPINE, ASCALAPHE, ASTANAROT, etc.
IVPITER.	IUPITER.
Ien qu’entre mes ſuiets quelqu’vn aiteu l’auD dace, Nonobſtant ma deffenſe, & ma iuſte menace, De vous entretenir des amours de Pluton, Puiſque vous me priez d’enignorer le nom, Puiſque tant de raiſons prouuent ſon innocence Et qu’il ne puſt ſous terre entendre ma deffenſe, Quand mon courier aiſlé ſurce vaſte element, Commanda le ſecret de cet enleuement:	Jen qu'entre mes sujets quelqu'un aiteu l'avD dace, Nonobstant ma défense, et ma juste menace, De vous entretenir des amours de Pluton, Puisque vous me priez d'enignorer le nom, Puisque tant de raisons prouvent son innocence Et qu'il ne pût sous terre entendre ma défense, Quand mon courier aislé surce vaste élément, Commanda le secret de cet enlèvement:
Pource coup ma clemence eſpargnera ma foudre, Ie vous donne, ô Ceres, le pouuoir de l’abſoudre;	Pource coup ma clémence épargnera ma foudre, Je vous donne, ô Ceres, le pouvoir de l'absoudre;
Mais ie veux, en eſchange, obtenir pour iamais, Vn prompt oubly des maux que Venus vous a faits, Quand meſme ſon adreſſe auroit commis un crime;	Mais ie veux, en échange, obtenir pour jamais, Un prompt oubli des maux que Venus vous a faits, Quand même son adresse aurait commis un crime;
Car mon conſentement la rendu legitime.	Car mon consentement la rendu légitime.
CERES I'obey, mais, de grace, au nom de noſtre amour;	CERES J'obéi, mais, de grâce, au nom de notre amour;
R’amenez voſtre fille à la clarté du iour.	R'amenez votre fille à la clarté du jour.
ITER I'eus touſiours pour mon ſang les tendreſſes d’vn pere, Sur mes plus chers enfans Proſerpine m'eſt chere, Et les meſmes raiſons qui vous la fontaimer, Viennent ſecrettement la plaindre, & me charmer.	ITER J'eus toujours pour mon sang les tendresses d'un père, Sur mes plus chers enfants Proserpine m'est chère, Et les mêmes raisons qui vous la fontaimer, Viennent secrètement la plaindre, et me charmer.
Elle eſt de nos deux cœurs l’vnion, & la vie, Et ſi i'ay conſenty que Pluton l’ait rauie, I'aycreu vous obliger, luy donnant vn eſpoux, Apres Neptune & moy le plus puiſſant de tous.	Elle est de nos deux cœurs l'Hion, et la vie, Et si j'ai consenti que Pluton l'ait ravie, J'aicreu vous obliger, lui donnant un époux, Après Neptune et moi le plus puissant de tous.
Mais puiſque vos deſirs veulent vnautre gendre, Vous enchoiſirez vn, ſi Pluton la veut rendre, L’interprete des Dieux, vers ce Dieu deputé, Vous aprendra bien-toſt qu'elle eſt ſa volonté.	Mais puisque vos désirs veulent vnautre gendre, Vous enchaisirez , si Pluton la veut rendre, L'interprète des Dieux, vers ce Dieu député, Vous apprendra bientôt qu'elle est sa volonté.
Neſperez pas, pourtant, aigne ſang de Cibelle, Reuoir aupres de vous cette fille immortelle, Pour peu qu'elle ait mangé, depuis qu’elle eſt la bas, L’implacable deſtin n’y conſentira pas.	Nespérez pas, pourtant, aigne sang de Cibelle, Revoir auprès de vous cette fille immortelle, Pour peu qu'elle ait mangé, depuis qu'elle est la bas, L'implacable destin n'y consentira pas.
Si iamais des enfers quelque ame eſt reuenuë, Il faut qu’vn ieuſne exact ait ſa grace obtenuë, Les parquesm ont ſoumm a teite eſtroitte loy, Par l’accord ſolemnel fait entr'elles & moy.	Si jamais des enfers quelque âme est revenue, Il faut qu'un ieusne exact ait sa grâce obtenue, Les parques ont soumenu à teite est loi, Par l'accord solemnel fait entr'elles et moi.
CENES.	CÈNES.
O Dieux!	Ô Dieux!
que i’aprehende vn repas ſi funeſte.	que j'appréhende un repas si funeste.
PITER.	PITER.
Le retour de Mercure eſclaircira le 'reſte.	Le retour de Mercure éclaircira le ' reste.
CERES.	CERES.
Apres ce rude accord qu’on me vient d’obiecter, Que le te dois, retout, & tratnure, & ſouhaiter, Mon fidelle Mercure as tu veu Proſerpine, Poſſede telle encor cette beauté diuine, Et depuis qu'elle habite en ce royaume noir, Crois-tu qu’elle ait mangé, le puis-ie pas ſçauoir?	Après ce rude accord qu'on me vient d'obscter, Que le te dois, retout, et tratnure, et souhaiter, Mon fidèle Mercure as tu vu Proserpine, Possède telle encor cette beauté divine, Et depuis qu'elle habite en ce royaume noir, Crois-tu qu'elle ait mangé, le puis-je pas sçauoir?
MERCVRE.	MERCURE.
N'en doutez point, Deeſſe, ou voſtre fille eſt Reine, Rien ne luy peut manquer.	N'en doutez point, Déesse, ou votre fille est Reine, Rien ne le peut manquer.
CERES.	CERES.
Ah!	Ah!
faueurinhumaine	faveurinhumaine
MERCVRE.	MERCURE.
Elte meſme & Piuion vons reſouaront ce point:	Élte même et Pivon von resouaront ce point:
Ils me ſuiuent de pres.	Ils me suivent de pres.
CERES.	CERES.
Ie ne l’eſpere point.	Je ne l'espère point.
O Dieux?	Ô Dieux?
il vient tout ſeul, & laiſſe ainſi mon ame, Dans les cachots hydeux de ſon gouffre de flame, Pouuez vous, Iupiter, ſouffrir qu’vn Rauiſſeur Soit ainſi de mon bien abſolu poſſeſſeur?	il vient tout seul, et laisse ainsi mon âme, Dans les cachots hideux de son gouffre de flamme, Pouvez vous, Jupiter, souffrir qu'un Ravisseur Sait ainsi de mon bien absolu possesseur?
A t’il du de la ſorte, entraiſnant Proſerpine, Deshonorer vn ſang de celeſte origine, A t’il du ſe monſtrer au ſacré tribuual, Et releguer ma fille en labiſme infernal?	A -t-il du de la sorte, entraînant Proserpine, Déshonorer un sang de celeste origine, A t'il du se montrer au sacré tribual, Et reléguer ma fille en labîme infernal?
Pourcontenter ſa flame, & ſes forceneries, Na t’il pas dans l’enfer des parques, des furies?	Pourcontenter sa flamme, et ses forcénéries, Na -t-il pas dans l'enfer des parques, des furies?
Quoy, mon vnique enfant, mon vnique ſupport, Sera le ſeul obiet de ſon barbare effort, Ie verray, ſans regret, ſes graces profanees, Parce prince innumain, de tant u'ames damnees;	Quoi, mon unique enfant, mon unique support, Sera le seul objet de son barbare effort, Je verrai, sans regret, ses grâces profane, Parce prince innumain, de tant ames damnées;
I'auray ſi tendrement eſleué ſa beauté, Pourlavoir cxpoſce aiant de cruante:	J'aurai si tendrement élevé sa beauté, Pourlavoir cxposce ayant de cruante:
P LYTON.	 PITON.
Ma ton fait comparaiſtre au Palais de lumiere, Pour me voir meſpriſer par cette femme altiere, Parle ton de la ſorte en preſence d'vn Dieu, Ne reſpecte ton point la Maieſté du lieu?	Ma ton fait comparaître au Palais de lumière, Pour me voir mépriser par cette femme altière, Parle ton de la sorte en présence d'un Dieu, Ne respecte ton point la Majesté du lieu?
VPITER.	VPITER.
Ignorez vous, Ceres, que l’auguſte preſence Du ſouuerain du ciel vous oblige au ſilence?	Ignorez -vous, Ceres, que l'auguste présence Du souverain du ciel vous oblige au silence?
CERES.	CERES.
Ie le ſçay, mais, grand Dieu, puis-ie faire autrement, Mon extreſme douleur m’oſte le iugement, Dans l’excez des ennuis mon ame eſt trop plongee Et ie ſerois plus ſage, eſtant moins affligee.	Je le sais, mais, grand Dieu, puis-je faire autrement, Mon extrême douleur m'ôte le jugement, Dans l'excès des ennuis mon âme est trop plonge Et ie serais plus sage, étant moins afflige.
Ainſi, iuge cruel, apres cent maux ſoufferts, On deffend au captif de remuer ſes fers, Apres plus demal-heurs que ie:	Ainsi, juge cruel, après cent maux soufferts, On défend au captif de remuer ses fers, Apres plus demalheurs que ie:
n'en pouuois croindre, On me rauitencor le plaiſir de m'en plaindre;	n'en pouvais croindre, On me ravitencor le plaisir de m'en plaindre;
Si c’eſt plaiſir, helas, en l'eſtat ouie ſuis, D’accroiſtre, en me plaignann l'exces, de mes en I	Si c'est plaisir, hélas, en l'état ouïe suis, D'accroître, en me plaignann l'excès, de mes en I
L Si c’eſt plaiſir, helas!	 Si c'est plaisir, hélas!
par mes cris lamentables De vous rendre plus ſourds, tyrans inexorables.	par mes cris lamentables De vous rendre plus sourds, tyrans inexorables.
Proſerpine ſe noye, & ce pere inhumain, Quandie la veux ſauuer, vient retenir ma main:	Proserpine se noie, et ce père inhumain, Quandie la veux sauver, vient retenir ma main:
Sa fille eſt eſgaree, & ce pere farouche, Quand ie veux l’appeller, me vient fermer la bouche:	Sa fille est égarée, et ce père farouche, Quand tu veux l'appeler, me vient fermer la bouche:
Proſerpine eſt perduë, & ce cœur de rocher, Vient arreſter mes pas, quand ie la veux chercher.	Proserpine est perdue, et ce cœur de rocher, Vient arrêter mes pas, quand ie la veux chercher.
Puiſque mes iuſtes cris ſont des voix indiſcrettes, Pleurez, mes triſtes yeux, vos plaintes ſont muettes:	Puisque mes justes cris sont des voix indiscrettes, Pleurez, mes tristes yeux, vos plaintes sont muettes:
Le ſouuerain du ciel, regardant vos ruiſſeaux, Nes irritera point par le bruit de ces eaux;	Le souverain du ciel, regardant vos ruisseaux, Nes irritera point par le bruit de ces eaux;
Il ſe plaira, peut-eſtre, à vous voir fondre en larmes, Miroirs, dont autrefois il adora les charmes;	Il se plaira, peut-être, à vous voir fondre en larmes, Miroirs, dont autrefois il adora les charmes;
Il ſe peut faire, auſſi, qu’il plaindra mes malheurs, Voyant fon propre ſang detrempé dans mes pleurs, L’image de ſa fille aux enfers immolée, Son ame tant de fois à la mienne meflée, Et dont le ſouuenir le touche encor ſi fort, 113 Peuuent ſur fon eſpiu fanæ de famteffort.	Il se peut faire, aussi, qu'il plaindra mes malheurs, Voyant son propre sang detrempé dans mes pleurs, L'image de sa fille aux enfers immolée, Son âme tant de fois à la mienne mêlée, Et dont le souvenir le touche encor si fort, 113 Peuvent sur son espiu fanæ de famteffort.
.	.
TER.	TER.
TPITER.	TPITER.
Quelques ſeueritez, que teſmoigne ma bouche, Certe tatreme uouleur matienamni, & me touche;	Quelques seueritez, que témoigne ma bouche, Certe tatreme ouvleur matienni, et me touche;
Le torrent de ſes pleurs commence à m’emporter.	Le torrent de ses pleurs commence à m'emporter.
PLVTON.	PLUTON.
ut voſticeſprut sgrana Dieu, je pouuoit ſurmanter, J'aurois deuantce troſne amené ma Deeſſe.	ut vosticesprut sgrana Dieu, je pouvait surmanter, J'aurais devantce trône amené ma Déesse.
CERES.	CERES.
Ah!	Ah!
fille infortunée, obiet de ma triſteſſe, Puiſque par vn fatal & ſi funeſte amour, Ie te deuois donner la lumiere du iour;	fille infortunée, objet de ma tristesse, Puisque par un fatal et si funeste amour, Je te devais donner la lumière du jour;
Que n’eus-ie l'imprudence, & le ſort de Semele, Quand ton pere euſt pour moy cette ardeur mutuelle;	Que n'eus-je l'imprudence, et le sort de Sème, Quand ton père eût pour moi cette ardeur mutuelle;
Son foudre inopiné m’auroit miſe en eſtat, De ne me plaindre point de ce laſche attentat;	Son foudre inopiné m'aurait mise en état, De ne me plaindre point de ce lâche attentat;
Et tu ne ſerois pas honteuſement reduitte, A paſſer tes beaux iours ſur les bords du Cocite, Où, ſi l’on t’y forçoit, ie ne leſçaurois pas, Puiſque i’aurois ſenty la rigueur du trépas.	Et tu ne serais pas honteusement réduite, A passer tes beaux jours sur les bords du Cocite, Où, si l'on t'y forçait, je ne lesçaurois pas, Puisque j'aurais senti la rigueur du trépas.
Tranſports, rage, poiſons, deſeſpoirs, fer, & fla me, 1-22 Eſtes vous impuiſſans, lors que ie vous reclame?	Transports, rage, poisons, désespoirs, fer, et fla me, 1-2 Estes vous impuissants, lors que sans vous réclame?
Ne peus tu, madouleur, quand mon deſaſtre eſt tel, Me deſcharger enfin de mon eſtre immortel;	Ne peux tu, madouleur, quand mon désastre est tel, Me décharger enfin de mon être immortel;
Ne puis-ie fendre auſſi la terre qui me porte, Pour baiſer aux enfers ma fille viue, ou morte?	Ne puis-je fendre aussi la terre qui me porte, Pour baiser aux enfers ma fille vive, ou morte?
Ne peux-tu, pere ingrat, par mes pleurs teſmouuoir, Me peux-tu refuſer le plaiſir de la voir, Scachant auec quels ſoins i’ay formé ſon enfance, Et peſeus ucpioravic ou memet ſon abſence.	Ne peux-tu, père ingrat, par mes pleurs tesmouuoir, Me peux-tu refuser le plaisir de la voir, Scachant avec quels soins j'ai formé son enfance, Et peseus ucioravic ou mémet son absence.
IVPITER.	IUPITER.
Ie ne puis plus, mon frere, à ſes pleurs reſiſter.	Je ne puis plus, mon frère, à ses pleurs résister.
PLVTON.	PLUTON.
Me l’auez vous donnée, afin de me l’oſter?	Me l'avez -vous donnée, afin de me l'ôter?
VPIIER.	VPIER.
Accordez en la veuë aux douleurs de ſa mere, Ie vous l’ordonne en Roy, ie vous en prie en frere, Et iure par le ſtix à Pluton, à Ceres, Que le ciel ſera iuſte en donnant ſes arreſts.	Accordez en la vue aux douleurs de sa mère, Je vous l'ordonne en Roi, votre vous en prie en frère, Et jure par le stix à Pluton, à Ceres, Que le ciel sera juste en donnant ses arrêts.
a M.	à M.
dI Odes Qu'vne femme eſt ſur vous cõtre moy ſouneraine, Aſtanarot va viſte oui'aylaiſſé la Reine, Diluy que ie l’attents, & fais que promptement Aſcalaphe obeyſſe à mon commandement.	dI Odes Qu'une femme est sur vous montre moi souneraine, Astanarot va vite oui'ailaissé la Reine, Dilui que personne l'attents, et fais que promptement Ascalaphe obéisse à mon commandement.
pomromceruidonen upviomuoue uroſerpine, Elle n'eſt pas ſi loin que Ceres s’imagine.	pomromceruidonen upviomuoue uroserpine, Elle n'est pas si loin que Ceres s'imagine.
CERES.	CERES.
Ma iuſte impatience allonge aſſés le temps, Sans retarder encor le plaiſir que i’attens.	Ma juste impatience allonge assez le temps, Sans retarder encor le plaisir que j'attends.
PLVTON.	PLUTON.
Que l’ordre que ie donne à preſent vous conſole, Cette fille des cieux ne va pas, elle vole;	Que l'ordre que Rome donne à présent vous console, Cette fille des cieux ne va pas, elle vole;
Ainſi que voſtre char, le mien brillant d’eſclairs, Paſſe endépit des vents qui grondent dans les airs.	Ainsi que votre char, le mien brillant d'éclairs, Passe endépit des vents qui grondent dans les airs.
Mais de quelque façon que Ceres vous reclame, Souuenez-vous, grand Dieu, que ſa fille eſt ma fame, Et que c’eſt ſeulement par la loy de l’amour, Qu'elle à la liberté de reuoir cette Cour.	Mais de quelque façon que Ceres vous réclame, Souvenez-vous, grand Dieu, que sa fille est ma famé, Et que c'est seulement par la loi de l'amour, Qu'elle à la liberté de revoir cette Cour.
CERES.	CERES.
Helas!	Hélas!
de quelle amour peut elle eſtre cherie, Dans un lieu plein d’horreur, de pleurs, de barbarie;	de quelle amour peut elle être chérie, Dans un lieu plein d'horreur, de pleurs, de barbarie;
Quels plaiſirs gouſte t'elle au milieu de l'effroy, Seule parmy des morts, ha Dieux?	Quels plaisirs goûte t'elle au milieu de l'effroi, Seule parmi des morts, ha Dieux?
ie la perçoy.	On la perçoi.
Excuſez, grand Monarque, ou ma io ye eſt ſi grande, Si ie manque au reſpect qu’il faut que ie vous rẽde Eſt-ce toy Proſerpine, eſt-ce toy montreſor?	Excusez, grand Monarque, ou ma io si est Si grande, Si grande manque au respect qu'il faut que ie vous rendre Est-ce toi Proserpine, est-ce toi montresor?
Ie retreuue-ie icy, pour te reperdre encor?	Je retrue-je ici, pour te reperdre encor?
Puis-ie encor me flatterde ce doux nom de mere, En t'eſtât deploraote ou ie te conndère, Et tay-ie fait quitter la demeure des Cieux, Pour confiner ta vie en de funeſtes lieux?	Puis-je encor me flatterde ce doux nom de mère, En t'estât déplorate ou il te conndère, Et tai-je fait quitter la demeure des Cieux, Pour confiner ta vie en de funestes lieux?
VPITER.	VPITER.
C’eſt trop long-temps pleurer, ſcachons ſi Proſerpine, Amangé ſous la terre, ou mon frere domine, Songez y bien, ma fille, & ne pretendez point;	C'est trop longtemps pleurer, sachons si Proserpine, Amangé sous la terre, ou mon frère domine, Songez y bien, ma fille, et ne prétendez point;
Irahir la verité reſpondant ſur ce point.	Irahir la vérité répondant sur ce point.
PROSERPINE.	PROSERPINE.
Depuis ma deplorable & funeſte auenture, Mes larmes ont eſté ma ſeule nouriture.	Depuis ma déplorable et funeste aventure, Mes larmes ont été ma seule nouriture.
CERES.	CERES.
Apres vn ſi fidelle & ſi triſte raport, Rendez moy, iuſte Dieu, mon vnique ſupport, Et ne permettez point que ma fille retourne, Dãs vn gouffre, ou l’horeur, auec la faim ſeiourne C’eſt a quoy deſormais vous deuez conſentir, Puiſque ce ieune exactluypermet d’en ſortir.	Après un si fidèle et si triste rapport, Rendez moi, juste Dieu, mon unique support, Et ne permettez point que ma fille retourne, Dands un gouffre, ou l'horeur, avec la faim seiourne C'est a quoi désormais vous devez consentir, Puisque ce jeune exactluipermet d'en sortir.
PLVTON.	PLUTON.
Quand par ce ieune exact, dont encore ie doute, Elle pourroit rentrer ſur la celeſte voute, Aſſes d’autres raiſons, que chaqu’vn peut ſçauoir, L’empeſchent de ſortir de ce royaume noir.	Quand par ce jeune exact, dont encore un doute, Elle pourrait rentrer sur la céleste voute, Asses d'autres raisons, que chaqu'un peut savoir, L'empêchent de sortir de ce royaume noir.
Elle ne peut, Ceres, abandonner, ſans crime, Les iuſtes intereſts d’vn mary legitime, Ny la part quelle a priſe au ſceptre que ie tiens;	Elle ne peut, Ceres, abandonner, sans crime, Les justes intérêts d'un mari légitime, Ni la part quelle a prise au sceptre que tu tiens;
L’hymẽ nous ioint tous deux par de trop forts liẽs, Le moyen de deffaire vne ſi ſainte attache, Sans faire à ſon honneur vne eternelle tache;	L'hymend nous joint tous deux par de trop forts lions, Le moyen dé faire quelque si sainte attache, Sans faire à son honneur une éternelle tache;
Qui brillant, comme il’eſt, au troſne de Pluton, Donne vn nouuel eſclat a voſtre auguſte nom.	Qui brillant, comme il'est, au trône de Pluton, Donne un nouvel éclat a votre auguste nom.
C’eſt aſſes pour contraindre vne mere ſi ſage Ane deſnoüer point le nœud du mariage, C’eſt à ſa chere fille vn aſſés grand bon-heur, Et nul ne peut que moyconſeruer ſon honneur	C'est assez pour contraindre que mère si sage Âne dénouer point le nœud du mariage, C'est à sa chère fille un assez grand bonheur, Et nul ne peut que moiconserver son honneur
CERES, Vous n’auez pû ſouiller vne vertu ſi hauté, Puiſque ſa volonté n’a point part à ſa faute;	CERES, Vous n'avez pu souiller une vertu si hauté, Puisque sa volonté n'a point part à sa faute;
Et mon nom par moy-meſme eſt aſſés precieux,	Et mon nom par moi-même est assez précieux,
K iij Sans tirer de leſclat de vos funebres lieux.	K iij Sans tirer de lesclat de vos funebres lieux.
Ouy, mon aymable fille eſt entierement pure, La ſeule violence a fait ſon auenture, Et cet hymen forcé n'empeſche point ſon vœu, Puiſque d’elle (S de moy vous n’auez point l’aueus.	Oui, mon aimable fille est entièrement pure, La seule violence a fait son aventure, Et cet hymen forcé n'empêche point son vœu, Puisque d'elle (S de moi vous n'avez point l'aveus.
P LVTON.	P LUTON.
Pour accomplir l’hymen que le ciel deuoit faire, Ceſt aſſés d’auoir eu la volonté du pere, Que l’arbitre des Dieux l’ait ainſi reſolus.	Pour accomplir l'hymen que le ciel devait faire, Cest assez d'avoir eu la volonté du père, Que l'arbitre des Dieux l'ait ainsi résolus.
CERES.	CERES.
Il ma donné ſur elle vn pouuoir abſolu, Sans cette autorité, vous ne l’auriez, point veuë, Versce chaſteau fatal de ſecours dépourueuë, Là voſtre cruanté n’auroit pû s’aſſouuir, Il m'en falloit prier, & nonpas larauir, Rendez moy donc monbien, quand les Cieux vous l’ordonnent.	Il ma donné sur elle un pouvoir absolu, Sans cette autorité, vous ne l'auriez, point vue, Versce château fatal de secours dépourvue, Là votre cruanté n'aurait pu s'assouvir, Il m'en fallait prier, et nonpas laravir, Rendez moi donc monbien, quand les Cieux vous l'ordonnent.
ASCALAPHE.	ÀSCALAPHÉE.
