Suivant la Copie imprimée A PARIS,	Suivant la Copie imprimée A PARIS,
Puiſque dans cet accord le ſang vous intereſſe, Permettez qu’il aſſeure un Trône à la Princeſſe, Et que de cet hymuir les favorables nœuds Rempliſſent ſa naiſſance, & couronnent ſes vœux.	Puisque dans cet accord le sang vous intéresse, Permettez qu'il assure un Trône à la Princesse, Et que de cet hymuir les favorables nœuds Remplissent sa naissance, et couronnent ses vœux.
HONORIUS.	HONORIUS.
Ce Traité dont le bruit a ſuſpendu nos armes Pour ſon ambition ſans doute a quelques charmes, Et j’admire en ton cœur le genereux effort Qui t’en fait contre toy ſolliciter l’accord;	Ce Traité dont le bruit a suspendu nos armes Pour son ambition sans doute a quelques charmes, Et j'admire en ton cœur le généreux effort Qui t'en fait contre toi solliciter l'accord;
Mais plus de ta vertu ce grand effet m’eſtonne, Moins je puis conſentir à ce qu’elle t’ordonne, Viens embraſſer ton Prince, & quoy qu’on faſſe enfin, Laiſſe à mon amitié le ſoin de ton deſtin:	Mais plus de ta vertu ce grand effet m'étonne, Moins je puis consentir à ce qu'elle t'ordonne, Viens embrasser ton Prince, et quoi qu'on fasse enfin, Laisse à mon amitié le soin de ton destin:
EUCHERIUS.	EUCHÉRIUS.
Daignez ſonger, Seigneur, que la gloire où j’aſpire.	Daignez songer, Seigneur, que la gloire où j'aspire.
HONORIUS.	HONORIUS.
Va, laiſſe moy parler, te dis-je, & te retire, Ta voix dans ce deſſein n’eſt pas à conſulter.	Va, laisse -moi parler, te dis-je, et te retire, Ta voix dans ce dessein n'est pas à consulter.
EUCHERIUS à Thermantie.	EUCHÉRIUS à Thermantie.
Ah, Madame, empeſchez l'Empereur d’éclater.	Ah, Madame, empêchez l'Empereur d'éclater.
SCE	SCE
SCENE III.	SCÈNE III.
HONORIUS, THERMANTIE.	HONORIUS, THÉRMANTIE.
HONORIUS.	HONORIUS.
E ne le voy que trop;	ET ne le vois que trop;
l’Accord qu’on nous propoſe Y Du mépris qui nous brave eſt la ſecrete cauſe, Madame, & de ma ſœur l’ambitieux projet Court aprés ce faux charme, & n’a plus d’autre objet.	l'Accord qu'on nous propose Y Du mépris qui nous brave est la secrète cause, Madame, et de ma sœur l'ambitieux projet Court après ce faux charme, et n'a plus d'autre objet.
D'un Diadème offert l’eſperance conſuſe, La livre toute entiere à l’orgueil qui l’abuſe, Et laiſſe dédaigner à ſes ſens ébloüis Le merite du pere, & la vertu du fils;	D'un Diadème offert l'espérance consuse, La livre toute entière à l'orgueil qui l'abuse, Et laisse dédaigner à ses sens éblouis Le mérite du père, et la vertu du fils;
Puiſqu’il n’eſt point de prix trop haut pour leurs ſervices, De ſa rebellion ceſſons d’eſtre complices, Et rompans un Accord trop long-temps écoute, Par l’eſpoir qui l’anime abatons ſa fierté.	Puisqu'il n'est point de prix trop haut pour leurs services, De sa rébellion cessons d'être complices, Et rompants un Accord trop longtemps écoute, Par l'espoir qui l'anime abattons sa fierté.
THLRMANTIE.	THLRMANTIE.
Seigneur, j’en crains pour vous un ſuccez tout contraire, En penſant faire tout, gardez de ne rien faire, Le cœur de la Princeſſe eſt altier en un point, Qu’il pourra perdre un Trône, & ne ſe rendre point.	Seigneur, j'en crains pour vous un succès tout contraire, En pensant faire tout, gardez de ne rien faire, Le cœur de la Princesse est altier en un point, Qu'il pourra perdre un Trône, et ne se rendre point.
Puis qu’aux vœux d’Alaric Eucherius la cede Dun hymen qui l’éloigne eſſayez le remede, L’abſence ſur l’Amour a beaucoup de pouvoir, Et l’on ceſſe d’aimer quand on ceſſe de voir.	Puis qu'aux vœux d'Alaric Eucherius la cède Dun hymen qui l'éloigne essayez le remède, L'absence sur l'Amour a beaucoup de pouvoir, Et l'on cesse d'aimer quand on cesse de voir.
HONORIUS.	HONORIUS.
Ce remede eſt trop dur pour vous en oſer croire, Ii bleſle Eucherius comme il trahit ma gloire.	Ce remède est trop dur pour vous en oser croire, Ji blesle Eucherius comme il trahit ma gloire.
Quand l'effet pour ſa flame en ſeroit moins douteux, Voyez, ce que pour moy la paix a de honteux.	Quand l'effet pour sa flamme en serait moins douteux, Voyez, ce que pour moi la paix a de honteux.
Pouvez-vous m’y porter ſans vouloir qu’on declare Que ſous Honorius Rome a craint un Barbare, Et qu’un Got inſolent, qu’elle dût accabler, A touvé les moyens de la faire trembler?	Pouvez-vous m'y porter sans vouloir qu'on déclare Que sous Honorius Rome a craint un Barbare, Et qu'un Got insolent, qu'elle dût accabler, A touvé les moyens de la faire trembler?
Eſpargnons à ſa gloire une telle baſſeſſe, Rerecieere:	Épargnons à sa gloire une telle bassesse, Rerecieere:
THERMANTIE.	THÉRMANTIE.
Seigneur, j’apperçois la Princeſſe, Souffrez que je vous quitte;	Seigneur, j'aperçois la Princesse, Souffrez que je vous quitte;
en de tels intereſts Il faut pour s’expliquer des entretiens ſecrets.	en de tels intérêts Il faut pour s'expliquer des entretiens secrets.
SCENE IV.	SCÈNE IV.
HONORIUS, PLACIDIE.	HONORIUS, PLACIDIE.
HONORIUS.	HONORIUS.
A ſœur, juſques icy j’ay voulu me deffendre Des ſentimens d’aigreur que vous me faites prendre, Et veu ſans éclater qu’un indigne mépris Des ſoins d’Eucherius ait eſté le ſeul prix.	À sœur, jusques ici j'ai voulu me défendre Des sentiments d'aigreur que vous me faites prendre, Et vu sans éclater qu'un indigne mépris Des soins d'Eucherius ait été le seul prix.
Vous pouviez ignorer que dans cette entrepriſe Par un appuy ſecret mon adveu l’authoriſe, Que luy ſeul de ſa flame a fait naiſtre l’eſpoir;	Vous pouviez ignorer que dans cette entreprise Par un appui secret mon advu l'autorise, Que avait seul de sa flamme a fait naître l'espoir;
Mais enfin aujourd’huy qu’on vous l’a fait ſçavoir, Je ne ſçaurois ſouffrir qu’un refus temeraire Repouſſe avec audace un choix qui m’a ſçeu plaire, Et comme en le bravant c’eſt moy que vous bravez, I’epprens de voſtre orgueil ce que vous me devez.	Mais enfin aujourd'hui qu'on vous l'a fait savoir, Je ne saurais souffrir qu'un refus téméraire Repousse avec audace un choix qui m'a su plaire, Et comme en le bravant c'est moi que vous bravez, J'épprends de votre orgueil ce que vous me devez.
S’il ſoutient trop en vous la dignité ſuprème, Il expoſe à mes yéux les drois du Diadéme, Et me force de voir que rien ne doit borner Les ordres abſolus que je vous puis donner;	S'il soutient trop en vous la dignité suprême, Il expose à mes yéux les drais du Diadème, Et me force de voir que rien ne doit borner Les ordres absolus que je vous puis donner;
Que quoy qu’un meſme ſang nous ait tous deux ſait naiſtre, Qui ne parle qu’en frere a droit d’agir en maiſtre, Et que le rang Auguſte où je me vois monté Pour regles mes projets n’a que ma volonté.	Que quoi qu’un même sang nous ait tous deux sait naître, Qui ne parle qu'en frère a droit d'agir en maître, Et que le rang Auguste où je me vois monté Pour règles mes projets n'a que ma volonté.
PLACIDIE Ie ſçay ce qu’entre nous, quoy qu’égaux de naiſſance, L’avantage du Trône a mis de difference, Et je ne pui luy rendre un hommage plus grand Que d’aſſervir mõ cœur aux reſpecte qu’il vous rend;	PLACIDIE Je sais ce qu'entre nous, quoi qu'égaux de naissance, L'avantage du Trône a mis de différence, Et je ne puy épice rendre un hommage plus grand Que d'asservir mon cœur aux respecte qu'il vous rend;
Mais, Mais, Seigneur, s’il eſt vray que l’amour & la haine D'un aveugle panchant ſoient la ſuite certaine, Ces mouvements ſecrets qui naiſſent malgré nous Sont des droits dont ſans crime il peut eſtre jaloux:	Mais, Mais, Seigneur, s'il est vrai que l'amour et la haine D'un aveugle penchant soient la suite certaine, Ces mouvements secrets qui naissent malgré nous Sont des droits dont sans crime il peut être jaloux:
Comme voſtre adveu ſeul les doit laiſſer paroiſtre, Voſtre ordre ne peut rien pour les y faire naiſtre, Et ce cœur dont on cherche à confondre l’eſpoir, S’il ne ſe donne pas, a peine à ſe devoir.	Comme votre advu seul les doit laisser paraître, Votre ordre ne peut rien pour les y faire naître, Et ce cœur dont on cherche à confondre l'espoir, S'il ne se donne pas, a peine à se devoir.
HONORIUS.	HONORIUS.
Qu'a fait d’Eucherius la paſſion extréme Que de preſſer ce cœur de ſe donner ſoy-meſme, Et ſi de cet eſpoir il pouvoit ſe flater, Quels plus profonds reſpects l’auroient pû meriter?	Qu'a fait d'Eucherius la passion extrême Que de presser ce cœur de se donner soi-même, Et si de cet espoir il pouvait se flatter, Quels plus profonds respects l'auraient pu mériter?
Vous l’avez veu cent fois dans l’ardeur qui l’engage De ſa flame à vos pieds porter le pur hommage, Et n’oppoſer jamais à vos cruels refus Qu’une plainte eſtouffée, ou des ſoûpirs confus.	Vous l'avez vu cent fois dans l'ardeur qui l'engage De sa flamme à vos pieds porter le pur hommage, Et n'opposer jamais à vos cruels refus Qu'une plainte étouffée, ou des soupirs confus.
PLACIDIE.	PLACIDIE.
S’il n’avoit que mon cœur à ſon eſpoir contraire, Il pourroit obtenir le don que j’en puis faire, Mais ce cœur qu’en ſecret le vray merite émeut, Ne s’oſe pas toûjours permettre ce qu’il veut.	S'il n'avait que mon cœur à son espoir contraire, Il pourrait obtenir le don que j'en puis faire, Mais ce cœur qu'en secret le vrai mérite émut, Ne s'ose pas toujours permettre ce qu'il veut.
Quelque doux ſentiment qui tâche à le ſurprendre, Il conſulte ma gloire avant que de ſe rendre, Et quand ſon intereſt l’oblige à l’étouffer, Il la reſpecte aſſez pour n’en pas triompher.	Quelque doux sentiment qui tâche à le surprendre, Il consulte ma gloire avant que de se rendre, Et quand son intérêt l'oblige à l'étouffer, Il la respecte assez pour n'en pas triompher.
HONORIUS.	HONORIUS.
De voſtre gloire en vain le charme vous abuſe.	De votre gloire en vain le charme vous abuse.
Voſtre cœur fait le crime, elle preſte l’exuſe;	Votre cœur fait le crime, elle prête l'exuse;
L’éclat qu’elle en attend, & qu’il craint de trahir, Se hazarde-’il moins à me deſobeïr?	L'éclat qu'elle en attend, et qu'il craint de trahir, Se hasarde-’-il moins à me désobéir?
Quoy que dãs cet hymen vous crûſſiez voir de lâche, L'adveu que ie luy donne en purgeroit la tâche, Et pour un bon Sujet qui reſpecte les Dieux, L’ordre du Souverain eſt toûjours glorieux.	Quoi que dans cet hymen vous crussiez voir de lâche, L'aveu que ie ans donne en purgerait la tâche, Et pour un bon Sujet qui respecte les Dieux, L'ordre du Souverain est toujours glorieux.
Mais ſur quel plus beau choix auriez-vous pû me croire?	Mais sur quel plus beau choix auriez-vous pu me croire?
Iamais plus de vertu ne ſoſ̂tint plus de gloire, Stilicon que toûjours ont craint nos ennemis, Se verroit ſans égal s’il n’avoit point de fils.	Jamais plus de vertu ne soŝtint plus de gloire, Stilicon que toujours ont craint nos ennemis, Se verrait sans égal s'il n'avait point de fils.
De mille exploits fameux le ſuperbe avantage Et tous lieux à l’envy fait briller leur courage, Eſt-ce pour meriter vos indignes refus?	De mille exploits fameux le superbe avantage Et tous lieux à l'envi fait briller leur courage, Est-ce pour mériter vos indignes refus?
PLACIDIE.	PLACIDIE.
I’eſtime Stilicon, j’eſtime Eucherius, I’eſtime en tous les deux la vertu qu’on m’oppoſe, Mais j’eſtime encor plus le ſang de Theodoſe, Et perirois pluſtoſt qu’on me viſt conſentir Au moindre abaiſſement qui pûſt le démentir.	J'estime Stilicomon, j'estime Eucherius, J'estime en tous les deux la vertu qu'on m'oppose, Mais j'estime encor plus le sang de Théodose, Et périrais plutôt qu'on me vît consentir Au moindre abaissement qui pût le démentir.
HONORIUS.	HONORIUS.
Ie l’ay donc démenty, quand épouſant ſa fille I’ay mis par cet hymen le Trône en ſa famille, Et l’orgueil qui vous fait dédaigner un beau feu Eſt de ma lâcheté le ſecret deſadveu?	Je l'ai donc démenti, quand épousant sa fille J'ai mis par cet hymen le Trône en sa famille, Et l'orgueil qui vous fait dédaigner un beau feu Est de ma lâcheté le secret désaveu?
PLACIDIE.	PLACIDIE.
A qui que voſtre choix ſe fuſt rendu propice, Vous euſſiez pû, Seigneur, faire vne Imperatrice, Mais ſi d’Eucherius j’oſe flater l’erreur, Le faiſant mon Eſpoux, en fais-je un Empereur?	À qui que votre choix se fût rendu propice, Vous eussiez pu, Seigneur, faire Impératrice, Mais si d'Eucherius j'ose flatter l'erreur, Le faisant mon Époux, en fais-je un Empereur?
Aux honneurs de ſa ſœur il n’a rien à pretendre, Vous la faites monter quand il me ſait deſcendre, Et d’vn Auguſte hymen le different appuy, L'élevant juſqu'à vous, m’abaiſſe juſqu’à luy.	Aux honneurs de sa sœur il n'a rien à prétendre, Vous la faites monter quand il me sait descendre, Et d'un Auguste hymen le différent appui, L'élevant jusqu'à vous, m'abaisse jusqu'à lui.
HONORIUS.	HONORIUS.
Si l'eclat des grandeurs où le ſang vous appelle, Oppoſe à ſon merite une fierté rebelle, Ie le mettray ſi haut que de moy ſeul jaloux, Il baiſſera les yeux pour les jetter ſur vous:	Si l'éclat des grandeurs où le sang vous appelle, Oppose à son mérite une fierté rebelle, Je le mettrai si haut que de moi seul jaloux, Il baissera les yeux pour les jeter sur vous:
Alors de vos mépris l’injurieux caprice Luy vaudra la douceur de s’en faire juſtice, Et de voir que vos vœux à leuntour mépriſez Se flatent de l’eſpoir que vous luy refuſez.	Alors de vos mépris l'injurieux caprice Lui vaudra la douceur de s'en faire justice, Et de voir que vos vœux à leuntour méprisez Se flattent de l'espoir que vous lui -fusez.
PLACIDIE.	PLACIDIE.
Faites-le devenir ce que l’on m’a veu naiſtre, Pour eſtre prés du Trône aura-t’il moins un maiſtre, Et quand tout l’Vnivers trembleroit ſous ſa loy, Tant qu’il la prend d’un autre, eſt-il digne de moy?	Faites-le devenir ce que l'on m'a vu naître, Pour être près du Trône aura-t-il moins un maître, Et quand tout l'Univers tremblerait sous sa loi, Tant qu'il la prend d'un autre, est-il digne de moi?
Pour meriter ce cœur où je le voy pretendre, Il faudroit que ſon ſort de luy ſeul pûſt dépendre, Et que dù plus haut rang ſa foy prenant l’appuy, N'end	Pour mériter ce cœur où je le vois prétendre, Il faudrait que son sort de moi seul put dépendre, Et que dù plus haut rang sa foi prenant l'appui, N'end
