M IIATERE 196S	M MIATERE 196S
& ſi ie n’ay pas mis icy mon nom, ce n’eſt pas que ie me cache afin qu’on me cherche, mais c’eſt qu’auſsi bien ne ſe ſoucie t’on pas trop de ſçauoir celuy d’vn Traducteur.	et si ici n'ai pas mis ici mon nom, ce n'est pas que tu me cache afin qu'on me cherche, mais c'est qu'aussi bien ne se soucie t'on pas trop de savoir celui d'un Traducteur.
Cependant, à le bien conſiderer, ce n’eſt pas peu de choſe qu’vne bonne verſion:	Cependant, à le bien considérer, ce n'est pas peu de chose qu'une bonne version:
& de meſme qu’il faut plus d’addreſſe pour marcher ſur les meſmes pas qu’vn autre aura tracez, que pour ſe promener ſimplement, & en liberté:	et de même qu'il faut plus d'adresse pour marcher sur les mêmes pas qu'un autre aura tracés, que pour se promener simplement, et en liberté:
auſsi peut-on dire qu’il faut quaſi autant d’art & de jugement pour bien ſuyure dans vne Traduction les penſées d’vn Autheur, que pour en inuenter de nouuelles.	aussi peut-on dire qu'il faut quasi autant d'art et de jugement pour bien suivre dans une Traduction les pensées d'un Auteur, que pour en inventer de nouvelles.
Que ſi cela eſt vray, abſolument parlant, il le ſera encore plus dans les verſions qui ſont en vers, ou la neceſsité de la rime nous peut ſouuent deſtourner du droit chemin:	Que si cela est vrai, absolument parlant, il le sera encore plus dans les versions qui sont en vers, ou la nécessité de la rime nous peut souvent détourner du droit chemin:
Maïs bien que cecy fut à mon aduantage, ie ne le pren pas toutesfois pour moy, non que ie n’eſtime cette verſion aſſez bonne, mais ie croy qu’elle l’eſt pluſtoſt par défaut, que par bonté d’eſprit.	Maïs bien que ceci fut à mon avantage, je ne le pren pas toutefois pour moi, non que ie n'estime cette version assez bonne, mais sans crois qu'elle l'est plutôt par défaut, que par bonté d'esprit.
I’ay eſté trop groſsier pour n’eſtre pas fidelle;	J'ai été trop grossier pour n'être pas fidèle;
l’ay bien rendu, parce que ie n’ay pas eu l’inuention de changer;	l'ai bien rendu, parce que je n'ai pas eu l'invention de changer;
l’ay treuué fort peu de mes penſées aſſez belles pour en eſtre tenté, & corrompu:	l'ai trouvé fort peu de mes pensées assez belles pour en chang tenté, et corrompu:
ainſi mon malheur m’a fait rencontrer heureuſement, & ma foibleſſe m’a attaché à ma matiere, comme ces enfants qui ne pouuant ſe ſouſtenir d’eux meſmes, ſe tiennent aux pans de la robbe de cente qui les meine.	ainsi mon malheur m'a fait rencontrer heureusement, et ma faiblesse m'a attaché à ma matière, comme ces enfants qui ne pouvant se soutenir d'eux mêmes, se tiennent aux pans de la robe de cente qui les mène.
Que cecy donc me ſerue d’excuſe, Lecteur, pour les vers dont tu ne treuueras pas la cadence aſſez facile.	Que ceci donc me serve d'excuse, Lecteur, pour les vers dont tu ne trouveras pas la cadence assez facile.
Ne t’amuſe point à deſchirer l’habit dont i’ay reueſtu vn ſi grand Perſonnage.	Ne t'amuse point à déchirer l'habit dont j'ai revêtu un si grand Personnage.
Que ſa majeſté te ſoit venerable meſme ſous ſes haillons:	Que sa majesté te soit vénérable même sous ses haillons:
ſi la façon te déplaiſt, que l’eſtoffe, que le poids des choſes te contente:	si la façon te déplaît, que l'étoffe, que le poids des choses te contente:
ſi l’artifice manque aux vers, aymes y la naifueté du ſens:	si l'artifice manque aux vers, aimes y la naifueté du sens:
Enfin ſi tu t’eſtonnes comment ie n’ay peu donner vne meilleure forme ou la matiere eſtoit ſi bien diſpoſée, penſe que ſi mon imagination a failly, mon jugement ne s’eſtoit pas trompé au choix de ſon ſubjet, & que ſi ie te donne vne mauuaiſe Poëſie, au moins te fais-je preſent d’vn bon liure.	Enfin si tu t'étonnes comment on n'ai peu donner une meilleure forme ou la matière estoit si bien disposée, pense que si mon imagination à failly, mon jugement ne s'était pas trompé au choix de son sujet, et que si tu te donne une mauvaise Poésie, au moins te fais-je présent d'un bon livre.
Que veux-tu plus, au lieu de loüange ie te demande pardon, & me tiendray trop glorieux ſi ſeulement ie ne te ſuis point à dégouſt, & que tu treuues icy le diuertiſſement que i’y ay cherché.	Que veux-tu plus, au lieu de lange ie te demande pardon, et me tiendrai trop glorieux si seulement grande ne te suis point à dégoût, et que tu trouves ici le divertissement que j'y ai cherché.
ADIEV.	ADIEU.
compagnon d’Aminte.	compagnon d'Aminte.
amoureux de Syluie.	amoureux de Syluie.
LAMINTE	LAMINTE
L'AMERTE DY TASSE, PASTORALE.	L'AMERTE DY TASSE, PASTORALE.
ACTE PREMIER.	ACTE PREMIER.
OMMMMr L’Amour en habit de Berger.	OMMMr L'Amour en habit de Berger.
I	I
UI penſeroit jamais qu'vn Dieu e peuſt loger Sous la forme d’vn homme, & l’habit d’vn Berger?	VI penserait jamais qu'Hommes Dieu e peust loger Sous la forme d'Un homme, et l'habit d'un Berger?
peſtres, Nõ poĩt vn de ces Dieux du rãg des Dieux chã	pêtres, Nomme poĩt un de ces Dieux du rang des Dieux chien
Dont le pouuoir ſe borne auſſi biẽ que leurs eſtres;	Dont le pouvoir se borne aussi bien que leurs êtres;
Non quelque petit Dieu de la foule des Dieux.	Non quelque petit Dieu de la foule des Dieux.
Mais d'entre les plus grands, le plus grand Dieu des Cieux:	Mais d'entre les plus grands, le plus grand Dieu des Cieux:
Celuy qui trouuãt Mars au milieu des alarmes, De ſes sãglantes mains luy fait tomber les armes:	Celui qui trouuãt Mars au milieu des alarmes, De ses sangglantes mains lui fait tomber les armes:
Qui du bras de Neptune arrache ce Trident, Dont il va terre & mer enſemble confondant:	Qui du bras de Neptune arrache ce Trident, Dont il va terre et mer ensemble confondant:
Et deuant qui, ſi-toſt qu'vn traict il luy deſerre, Iuppiter malgré ſoy laiſſe cheoir ſon tonnerre:	Et devant qui, sitôt qu'un trait il avait déserre, Jupiter malgré soi laisse choir son tonnerre:
Certes je ne crains pas qu’en ce déguiſement Ma mere me dẽcouure elle-meſme aysément:	Certes je ne crains pas qu'en ce déguisement Ma mère me dẽcouure elle-même aisément:
Moy qui par ces doux nõs, d’Amour, de fils vniN’ayãt ſçeu ramollir ſon eſprit tyrãnique, (que, Qui voudroit de mes dards, & de moy diſpoſer, Et ne me permet pas de luy rien refuſer, A la fin me ſuis veu contraint de me ſouſtraire, D'vne humeur à la miẽne entierement cõtraire:	Moi qui par ces doux noms, d'Amour, de fils uniN'ayant su ramollir son esprit tyrannique, (que, Qui voudrait de mes dards, et de moi disposer, Et ne me permet pas de peine rien refuser, A la fin me suis vu contraint de me soustraire, D'une humeur à la mienne entièrement cõtraire:
Fême & vaine qu'elle eſt, elle veut que mes loix Regnẽt tant ſeulement ſur les ſceptres des Roys.	Fême et vaine qu'elle est, elle veut que mes lois Regnent tant seulement sur les sceptres des Rois.
Afin que mes ſujets ſoient autant de perſonnes Capables de ſouſmettre à ſes pieds des courõnes:	Afin que mes sujets soient autant de personnes Capables de sousmettre à ses pieds des cournes:
Cependant que bien loing de la foule des Cours, Les bois ſeront hantez par les moindres Amours:	Cependant que bien loing de la foule des Cours, Les bois seront hantez par les moindres Amours:
Mais moy qui d’vn enfat n’ay riẽ que le viſage, Qui cache de vieux ans ſous vn jeune corſage, J'entends me gouuerner comme j’ay reſolu, Et veux de mon carquois estre maistre abſolu, Dont jadis la puiſſance à moy ſeul fut donnee, Par l’immuable arreſt qu’en fit la destinee:	Mais moi qui d'un enfat n'ai rion que le visage, Qui cache de vieux ans sous un jeune corsage, J'entends me gouverner comme j'ai résolu, Et veux de mon carquois être maître absolu, Dont jadis la puissance à moi seul fut donnée, Par l'immuable arrêt qu'en fit la destinée:
Ainſi le plus ſouuent ie me viens heberger Dãs quelque bois paiſible, et chez quelque berger:	Ainsi le plus souvent ainsi me viens héberger Dans quelque bois paisible, et chez quelque berger:
C’eſt en ces lieux heureux que libre je reſpire, Et que je ſuis exempt (non pas de ſon Empire, Car elle n’en a point deſſus mes volontez:	C'est en ces lieux heureux que libre je respire, Et que je suis exempt (non pas de son Empire, Car elle n'en a point dessus mes volontés:
Mais bien tant ſeulement des importunitez 1 Dont nous geſne l’eſprit auecque ſa demande, Vne mere de qui la priere commande:	Mais bien tant seulement des importunités 1 Dont nous gêne l'esprit avec sa demande, Une mère de qui la prière commande:
Tandis elle me cherche, & promet au premier Qui pourra dans ſes mains me rendre priſonnier, Ou quelques doux baiſers collez deſſus la bouche, Ou ce qui plus encor que des baiſers le touche:	Tandis elle me cherche, et promet au premier Qui pourra dans ses mains me rendre prisonnier, Ou quelques doux baisers collez dessus la bouche, Ou ce qui plus encor que des baisers le touche:
Comme ſi d’autre part je ne donnerois pas A qui fidelemens luy cachera mes pas,	Comme si d'autre part je ne donnerais pas A qui fidèlements tu cachera mes pas,
Ou quelques doux baiſers collezdeſſus la bouche, Ou ce qui plus encor que des baiſers le touche:	Ou quelques doux baisers collésdessus la bouche, Ou ce qui plus encor que des baisers le touche:
Pour le moins mes baiſers (s’il eſt vray toutefois Que moy qui ſuis Amour, en amour me connois) Seront touſiours plus doux à la jeune pucelle, De ſorte que jamais aucun ne me decelle:	Pour le moins mes baisers (s'il est vrai toutefois Que moi qui suis Amour, en amour me connais) Seront toujours plus doux à la jeune pucelle, De sorte que jamais aucun ne me décelle:
Mais afin que je ſois caché ſi ſeurement Que je ne ſois connu que de moy ſeulement, J'ay delaißé mon arc, j’ay quitté mes deux aiſles, Et desfait mon carquois de deſſous mes aiſſeles, Et ſi je ne viens pas icy tout des-armé, Car j’ay ſubtilement mon flambeau transformé En ceſte verge-cy, qu’on ne croit pas nuiſible, Mais qui bruſle pourtant d’vne flame inuiſible:	Mais afin que je sois caché si sûrement Que je ne sois connu que de moi seulement, J'ai delaissé mon arc, j'ai quitté mes deux ailes, Et défait mon carquois de dessous mes aisseles, Et si je ne viens pas ici tout désarmé, Car j'ai subtilement mon flambeau transformé En cette verge-cy, qu'on ne croit pas nuisible, Mais qui brûle pourtant d'une flamme invisible:
De meſme que ce dard pour n'estre pas doré Ne laiſſe toutesfois d’eſtre bien aceré, Et quoy qu’il ne ſoit pas d’vne trempe diuine, Son coup ne reçoit point pourtant de medecine:	De même que ce dard pour n'être pas doré Ne laisse toutefois d'être bien aceré, Et quoi qu’il ne soit pas d'une trempe divine, Son coup ne reçoit point pourtant de médecine:
Or c’eſt auecques luy qu’aujourd’huy j’ay deſſein D’entamer puiſſamment la dureté du ſein D'vne qui de fierté toutes celles ſurpaſſe, Qui ſuiuirent jamais les plaiſirs de la chaſſe,	Or c'est toujours avoir qu'aujourd'hui j'ai dessein D'entamer puissamment la dureté du sein D'une qui de fierté toutes celles surpasse, Qui suivirent jamais les plaisirs de la chasse,
Et je veux que Syluie ait vne playe au cœur, Pareille à celle-là que ſon bel œil vainqueur Armé des propres traits de ma toute-puiſſance, Fit dãs le cœur d’Aminte en ſa plus tẽdre enface, Lors que n’ayãt tous deux que les meſmes eſbas, A la chaſſe, & par tout il ſuiuoit ſes appas:	Et je veux que Syluie ait avoir plaie au cœur, Pareille à celle-là que son bel œil vainqueur Armé des propres traits de ma toute-puissance, Fit dans le cœur d'Aminte en sa plus tendre enface, Lors que n'ayant tous deux que les mêmes ébas, A la chasse, et par tout il suivait ses appas:
Mais afin que mon coup penetre dauantage, I'attens que la pitié detrempe ſon courage, Tient par trop reſſerreZ à l’entour de ſon cœur:	Mais afin que mon coup pénètre davantage, J'attends que la pitié de son courage, Tient par trop resserrés à l'entour de son cœur:
Et quand je le verray deuenu plus docile, Alors que l’ouuerture en ſera plus facile, J'y lanceray mon dard:	Et quand je le verrai devenu plus docile, Alors que l'ouverture en sera plus facile, J'y lancerai mon dard:
Et pour plus aisément, Conduire ce chef-d’œuure à mon contentement, Ie m'en vay me meſler ainſi qu'vn de la feste Parmy ceux qui de fleurs ſe couronnent la teſte, Pour s’en aller aux lieux où les Bergers contens, Coulent de pareils jours en mille paſſe-temps:	Et pour plus aisément, Conduire ce chef-d'œuvre à mon contentement, Je m'en vais me mêler ainsi qu'un de la fête Parmi ceux qui de fleurs se couronnent la tête, Pour s'en aller aux lieux où les Bergers contents, Coulent de pareils jours en mille passe-temps:
La ſans aucun ſubject de craindre la ſurpriſe, Je mettray dextrement à bout mon entrepriſe:	La sans aucun sujet de craindre la surprise, Je mettrai dextrement à bout mon entreprise:
Aujourd’huy ces foreſts, ces mõts, & ces buißõs, Oyront parler d’amour en nouuelles façons,	Aujourd'hui ces forêts, ces mons, et ces buissõs, Iront parler d'amour en nouvelles façons,
Et chacun connoistra, remply de ma ſcience, Les effects merueilleux que produit ma preſence, Et que mes compagnons n’entẽdent rien au pris, A toucher viuement les cœurs & les eſprits:	Et chacun connaîtra, rempli de ma science, Les effets merveilleux que produit ma présence, Et que mes compagnons n'entendent rien au pris, A toucher vivement les cœurs et les esprits:
