Iouxte la copie Imgrlede	Jette la copie Imgrède
ANGELIQVE Hé bien ſi vous me reduiſez au deſeſpoir, ie vous auertis qu’vne femme en cet eſtar eſt capable de tout, & que ie feray quelque choſe icy dont vous vous repentirez.	ANGELIQUE Hé bien si vous me réduisez au désespoir, je vous avertis qu'une femme en cet étar est capable de tout, et que je ferai quelque chose ici dont vous vous repentirez.
G.	G.
DANDIN Et que ferez-vous, s’il vous plaiſt?	DANDIN Et que ferez-vous, s'il vous plaît?
A NGELIQVE Aon cœur ſe portera iuſqu’au &trémes refolutions;	À NGELIQUE Aon cœur se portera jusqu'au ettrémes résolutions;
d ne te conteau que voicy ie me tuerey ſur la plâce	d ne te conteau que voic ie me tuerrei sur la plâce
*.	*.
DANDIN Ah ah à la bonne heure.	DANDIN Ah ah à la bonne heure.
ANGEIIQVE Pas tant à la bonne heure pour vous, que vous vous imaginez On ſçait de tous coſtez nos differens, & les chagtins perpetuels que vous conceuez cõtre moy!	ANGEIQUE Pas tant à la bonne heure pour vous, que vous vous imaginez On sait de tous côtés nos différents, et les chagtins perpétuels que vous concevez comptre moi!
Lors qu’on me trouuera morte, il n’y aura perſonne qui mette en doute que ce ne ſoit vous qui m’aurez tuées & mes parens ne ſont pas gens aſſurément à laiſſer cette mort impunie, & ils en feront ſur voſtre perſonne toute la punition que leur pourront offrir, & les pourſuites de la Iuſtice & la chaleur de leur reſſentiment:	Lors qu'on me trouvera morte, il n'y aura personne qui mette en doute que ce ne soit vous qui m'aurez tuées et mes parents ne sont pas gens assurément à laisser cette mort impunie, et ils en feront sur votre personne toute la punition que leur pourront offrir, et les poursuites de la Justice et la chaleur de leur ressentiment:
C’eſt par là que is trouueray moyen de me vanger de vous, & ie ne ſuis pas la premiere qui ait ſçù recourir à de pareilles vangeances qui n’ait pas fait difficulté de ſe donner la mert, pour perdre ceux qui ont la cruauté de nous pouſſer a la demhiere extremité.	C'est par là que is trouverai moyen de me venger de vous, et personne ne suis pas la première qui ait su recourir à de pareilles vengeances qui n'ait pas fait difficulté de se donner la mert, pour perdre ceux qui ont la cruauté de nous pousser a la demhiere té.
G.	G.
DANDIN Ie ſuis voſtre valet On ne s’auiſe plus de ſe tuer ſoymeſme, & la mode en eſt paſſée il y a long-temps.	DANDIN Je suis votre valet On ne s'avise plus de se tuer soymesme, et la mode en est passée il y a longtemps.
ANGELIQVE ’eſt vne choſe dont vous pouuez vous tenir ſeur, & ſi vous perſiſtez dans voſtre refus, ſi vous ne me lalttobuurle, no tourlure que toat à l'heure ie vais vous faire voir iuſques où peut aller la reſolution d’vne perſonne qu’on met au deſeſpoir:	ANGELIQUE est une chose dont vous pouvez vous tenir sûr, et si vous persistez dans votre refus, si vous ne me lalttobuurle, nô tourlure que toût à l'heure femme vais vous faire voir jusques où peut aller la résolution d'une personne qu'on met au désespoir:
G.	G.
DANDIN Bagatelles, bagatelles.	DANDIN Bagatelles, bagatelles.
C'eſt pour me faire peur:	C'est pour me faire peur:
ANGEIIQVE He bien, puis qu’il le faut voicy qui nous contentera tous aeux & montrera ſi ie me moque Ah!	ANGEIIQUE He bien, puis qu'il le faut voici qui nous contentera tous à et montrera si belle me moque Ah!
c’en eſt fait;	c'en est fait;
Faſte le Ciel que ma mort ſoit vangée comme ie le ſouhaite & que celuy qui en eſt cauſe, reçoine vn juite chaſtiment de la dureté qu’il a euë pour moy.	Faste le Ciel que ma mort soit vengée comme ie un souhaite et que celui qui en est cause, reçoine un juite châtiment de la dureté qu'il a eue pour moi.
G.	G.
DANDIN.	DANDIN.
Qüais!	Quais!
ſeroit-elle bien ſi malicieuſe que de s'eſtre tuée pour me faire pendre?	serait-elle bien si malicieuse que de s'être tuée pour me faire pendre?
Prenons vn bout de chaddelle pour aller voir:	Prenons un bout de chadelle pour aller voir:
ANGELIQVE Ot parni Rtangeons-nous chacune immediatement contre vn des coſtez de la porte.	ANGELIQUE Ot parni Rtangeons-nous chacune immédiatement contre un des côtés de la porte.
G.	G.
DANDIN La meſchauceté d’vne femme iroit-elle bien juſques-là?	DANDIN La meschauceté d'une femme irait-elle bien jusques-là?
Il ſort auec un bout de chaudelle ſans les apperceuoir elles entrent auſſi toſt & ferment la porte	Il sort avec un bout de chaudelle sans les apercevoir elles entrent aussi tôt et ferment la porte
Il n’y a perſonne.	Il n'y a personne.
Eh ie m’en eſtois bien douté & la pendar le s’eſt retirée, voyant qu’elle ne gagnoit rien aprés moy ni par prieres, ni par menaces Tant mieux cela rendra ſes affaires encore plus mauuaiſes & le pere & la mere qui vont venir en verrot mieux ſon crime.	Ehmmes m'en étais bien douté et la pendar le s'est retirée, voyant qu'elle ne gagnait rien après moi ni par prières, ni par menaces Tant mieux cela rendra ses affaires encore plus mauvaises et le père et la mère qui vont venir en verrot mieux son crime.
Ah ah la porte s’eſt fermée hola ho quelqu’vn, qu’on m’ouure promptement;	Ah ah la porte s'est fermée holà ho quelqu'un, qu'on m'ouvre promptement;
ANGELIQVE à la feneſtre auec Claudine conuleat ceit toy :	ANGELIQUE à la fenêtre avec Claudine convleat ce toi :
auu viuna ta bunpendart?	auu viuna ta bunpendard?
eſt-il l’heure de reuenir chez ſoy, quand le iour eſt preſt de paroiſtre, & cette maniere de vie eſt-elle celle que doit ſuiure vn honneſte mary?	est-il l'heure de revenir chez soi, quand le jour est prêt de paraître, et cette manière de vie est-elle celle que doit suivre un honnête mari?
CLITANDRE Cela eſt-il beau d’aller yurogner toute la nuit?	CLITANDRE Cela est-il beau d'aller ivrogner toute la nuit?
& de laiſſer ainſi toute ſeule vne pauure ieune femms dans la maiſon?	et de laisser ainsi toute seule fauvre jeune femms dans la maison?
G.	G.
DANDIN Comment vous auez.	DANDIN Comment vous avez.
ANGELIQVE Va, va traiſtre, ie ſuis laſſe de tes déportemens, & ie m’en veux plaindre ſans plus tarder à mon pere ec à ma mere:	ANGELIQUE Va, va traître, je suis lasse de tes déportements, et Seigneur m'en veux plaindre sans plus tarder à mon père ec à ma mère:
G.	G.
DANDIN Quoy c’eſt auiſ que rous oſcz.	DANDIN Quoi c'est avis que rous oscés.
2 GEORGE DANDIN, SCENE VII.	2 GEORGE DANDIN, SCÈNE VII.
Mr & Me DE SOTENVILLE, COLIN CLAVDINE.	Mr et Me DE SOTENVILLE, COLIN CLAUDINE.
ANGELIQVE, GEORGE DANDIN ANGELIQVE Mr & Me de Sotenuil le ſont en des habits de nuit, & conduits par Colin qui porte v ne lanterne.	ANGELIQUE, GEORGE DANDIN ANGELIQVE Mr et Me de Sotenvil le sont en des habits de nuit, et conduits par Colin qui porte v ne lanterne.
Pprochez de grace & venez me faire raïſon de H l'inſolence la plus grande du monde, d’vn mary à qui le vip & la jaſouſie ont troublé de telle ſorte la ceruelle, qu’il ne ſçait plus ny ce qu’il dit, ny ce qu’il fait & vous a luy-meſme enuoyé querir pour vous faire témoin de l’extrauagance la plus étrange dont on ait iamais ouy parler.	Pprochez de grâce et venez me faire raïson de H pour vous faire témoin grande le monde, d'un mari à qui le vip et la jasousie ont troublé de telle sorte la cervelle, qu'il ne sait plus ainsi ce qu'il dit, ni ce qu'il fait et vous a lui-même envoyé quérir pour vous faire témoin de l'extravagance la plus étrange dont on ait jamais ouï parler.
Le voila qui reuient comme vous voyez, apres s’eſtre fait attendre toute la nuit & ſi vous voulez l’écoutet, il vous dira qu’il a les plus grandes plaintes du monde à vous faire de moy;	Le voilà qui revient comme vous voyez, après s'être fait attendre toute la nuit et si vous voulez l'écoutet, il vous dira qu'il a les plus grandes plaintes du monde à vous faire de moi;
que durant qu’il dormoit, ie me ſuis dérobée d’aupres de luj pourm en aſler courir & cent autres contes de meſme nature qu’il eſt allé réuer.	que durant qu'il dormait, je me suis dérobée d'auprès de luj pour en asler courir et cent autres contes de même nature qu'il est allé réuer.
G DANDIN Voila vne meſchante carogne.	G GANDIN Voilà une méchante carogne.
CLAVDINE Ouy il nous a voulu faire accroire qu’il eſtoit dans Ia maiſon, & que nous en eſtions dehors, & d’eſt vne ione qu'il n'y a pas mojen de luy oſter de la teſtei	CLAUDINE Oui il nous a voulu faire accroire qu'il était dans Ia maison, et que nous en étions dehors, et d'est une ione qu'il n'y a pas molen de même ôter de la tête
Mr DE SOTENVILLE Comment qu’eſt-ce à dire cela?	Mr DE SOTENVILLE Comment qu'est-ce à dire cela?
Me DE SOTENVILLE Voila vne furiéuſe impudence que de nous enuoyer	Me DE SOTENVILLE Voilà une furiéuse impudence que de nous envoyer
querir:	quérir:
Iamais.	Jamais.
G.	G.
DANDIN ANGELIQVE Ton, mon pere ie ne puis plus ſouffrir vn mary de la ſorte ma patieme eſt pouſſee à bout, & ll vient de me dire cent paroles iniurieuſes.	DANDIN ANGELIQUE Ton, mon père ici ne puis plus souffrir un mari de la sorte ma patième est poussée à bout, et l vient de me dire cent paroles injurieuses.
Mr DE SOTENVILLE Corbleu vous eſtes vn mal honnente noinme.	Mr DE SOTENVILLE Corbleu vous êtes un mal honnente noinme.
CLAVDINE C’eſt vne confcience de voir vne pauure jeune femme traitée de la façon & cela crie vangeance au	CLAUDINE C'est une conscience de voir une pauvre jeune femme traitée de la façon et cela crie vengeance au
Ciel.	Ciel.
G DANDIN Teuteon.	G GANDIN Teuteon.
M D1 SOTENVILLE Aillez, vous deueriez mourir de honte.	M MI1 SOTENVILLE Aillez, vous deveriez mourir de honte.
U.	V.
DANDIN Laiſſez moy vous dire deux mots,	DANDIN Laissez -moi vous dire deux mots,
ANGELIQVE Vous n’auez qu’à l’écouter, il-va vous en contes de belles.	ANGELIQUE Vous n'avez qu'à l'écouter, il-va vous en contes de belles.
G DANDIN	G GANDIN
tée iuſqu’à nous.	tée jusqu'à nous.
G.	G.
DANDIN Monſieur mon beau pere, ie vous conjure.	DANDIN Monsieur mon beau père, je vous conjure.
I.	I.
DE SOTENVILLE Retirez-vous.	DE SOTENVILLE Retirez-vous.
Vous puez le vin à pleine bouche.	Vous puez le vin à pleine bouche.
O DANDIN Madame, ie vous prie.	Ô DANDIN Madame, je vous prie.
Me DE DOTENVILLE Fy ne m’approchez-pas Voſtre haleine eſt empeſtée.	Me DE DOTENVILLE Fi ne m'approchez-pas Votre haleine est empestée.
G DANDIN duunlen quelu vuuns.	G GANDIN duunlen quelu vuuns.
Mr DE SOTENVILLE Retnen vous, vous uis je.	Mr DE SOTENVILLE Rétnen vous, vous uis je.
On ne peut vens ſoulfrir.	On ne peut vens soulir.
G.	G.
DANDIN	DANDIN
Permetrez de grace que.	Permetrez de grâce que.
Me DE SOTENVILLE Poüas, vous m’engloutiſſez le cœur.	Me DE SOTENVILLE Poüas, vous m'engloutissez le cœur.
Parlez de loin ſi vous voulez.	Parlez de loin si vous voulez.
G.	G.
DANDIN	DANDIN
Hé bien oüy, ie parle de loin Ie vous jure que ie n’ay bougé de cliez moy, & que c’eſt elle qui eſt ſottie.	Hé bien oui, je parle de loin Je vous jure que Elle n'ai bougé de cliez moi, et que c'est elle qui est sottie.
1 ANGELIQVE Na voila pas ce que ie vous ay dit.	1 1NGELIQUE Na voilà pas ce que je vous ai dit.
CLAVDINE Vous voyez quelle apparence il y a.	CLAUDINE Vous voyez quelle apparence il y a.
Mr DE SOTENVILLE Allez vous vous mocquez des gens Deſcendez, alia mie d veuenrr.	Mr DE SOTENVILLE Allez -vous vous moquez des gens Descendez, alia mie d veuenr.
DDITIN I'atteſte le Ciel.	DDITIN J'atteste le Ciel.
que i’eſtois dans la maiſon & que.	que j'étais dans la maison et que.
Me DE SOTANVILLE Taiſez vous, c’eſt vne extrauagance qui n’eſt pas ſuportable G DANDIN Que la foudre m’eſcraſe tout à l’heure, ſi.	Me DE SOTANVILLE Taisez -vous, c'est une extravagance qui n'est pas suportable G ANDIN Que la foudre m'écrase tout à l'heure, si.
AT DE SOTENVILLE Ne nous rompez pas dauantage la teſte, & ſongez 2 demander pardon a voſtie remme.	AT DE SOTENVILLE Ne nous rompez pas davantage la tête, et songez 2 demander pardon à vostie remme.
G.	G.
DANDIN Moy demander pardont	DANDIN Moi demander pardont
Mr DE SOTENVILLE Ouy pardon, & ſur le champ	Mr DE SOTENVILLE Oui pardon, et sur le champ
Quoy ie.	Quo ie.
GEORGE DANDIN.	GEORGE DANDIN.
Mr DE SOTENVILLE Corbleu ſi vous me repliquez ie vous apprendray ce que c’eſt que de vous joüer à nous.	Mr DE SOTENVILLE Corbleu si vous me répliquez votre vous apprendrai ce que c'est que de vous jouer à nous.
G.	G.
DANDIN Ah George Dandin!	DANDIN Ah George Dandin!
Mr DE SOTENVILLE Allons, venez ma fille, que voſtre mary vous demande pardon,	Mr DE SOTENVILLE Allons, venez ma fille, que votre mari vous demande pardon,
ANGELIQVE Deſcenduë Moy?	ANGELIQUE Descendue Moi?
luy pardonner tout ce qu’il m'adie?	Ne pardonner tout ce qu'il m'adie?
Non, non mon pere, il m’eſt impoſſible de m’y reſoudre, & ie vous prie de me ſeparer d’vn mary auec lequel ie ne ſçaurois plus viure.	Non, non mon père, il m'est impossible de m'y résoudre, et un vous prie de me séparer d'un mar auec lequel Ne ne saurais plus vivre.
CLAVDINE, Le moyen d’y reſiſter?	CLAUDINE, Le moyen d'y résister?
Mr DE SOTENVILLE Ma fille, de ſemblables leparation le le tont point ſans guand ſcandale, & vous deuez vous montrez plus ſage que luy, & patienter encore cêtte fois,	Mr DE SOTENVILLE Ma fille, de semblables leparation le le tont point sans guand scandale, et vous devez vous montrez plus sage que lui, et patienter encore cet fois,
tir.	tir.
Mr DE-SOTENVILLE Il le faut, ma fille, & c’eſt moy qui vous le com	Mr DE-SOTENVILLE Il le faut, ma fille, et c'est moi qui vous le com
mande, ANGELIQVE Ce mot me ferine la boucne, a vous ancz lur moy vne puiſſance abſoluë,	mande, ANGELIQUE Ce mot me ferine la boucne, à vous ancz lur moi une puissance absolue,
CLAVDINE Quelle douceur, ANGELIQVE Il eſt facheux d’eſtre contrainte d’oublier de telles injures mais quelle violence que ie me faſſe, c’eſt à doy de vous obelr,	CLAUDINE Quelle douceur, ANGELIQUE Il est fâcheux d'être contrainte d'oublier de telles injures mais quelle violence que je me fasse, c'est à dois de vous obelr,
L’auure mouton!	L'auvre mouton!
CLAVDINE	CLAUDINE
Mr DE SOTENVILLE Approchez,	Mr DE SOTENVILLE Approchez,
ANGELIQVE Tout es que vourme faites faire ne ſeruira de rien & vous verrez que ce ſera des demain à recõmencet	ANGELIQUE Tout es que vourme faites faire ne servira de rien et vous verrez que ce sera des demain à recommencet
Mr DA SOTENVILLE Nous y donnerons ordre.	Mr DA SOTENVILLE Nous y donnerons ordre.
Allons, mertez vous genoux.	Allons, mértez -vous genoux.
A genoux?	A genoux?
G.	G.
DANDIN	DANDIN
Mr DE SOTENVILLE.	Mr DE SOTENVILLE.
Oüy, à genoux & ſans tarder.	Oui, à genoux et sans tarder.
d.	d.
DANVIN Il ſe met à genoux O Ciel:	DANVIN Il se met à genoux Ô Ciel:
Que faut-il dire?	Que faut-il dire?
Mr DE SOTENVILLE Madame, ie vous prie de me patdonner	Mr DE SOTENVILLE Madame, je vous prie de me patdonner
G.	G.
DANDIR Madame ie veus prie de me pardonner.	DANDIR Madame belle vus prie de me pardonner.
Mr DE SOTENVILLE L’extrauagance que i’ay faite,	Mr DE SOTENVILLE L'extravagance que j'ai faite,
G.	G.
DANDIN L’extrauagance que i’ay faite.	DANDIN L'extravagance que j'ai faite.
aa part De vous épouſer.	àa part De vous épouser.
Mr DE SOTENVILLE It ie vous promets de mieux viure à l'auenir;	Mr DE SOTENVILLE It ici vous promets de mieux vivre à l'avenir;
Cralinutle Et ie vous promets de mieux viure à l’auenir.	Cralinutle Et ici vous promets de mieux vivre à l'avenir.
Mr DE SOTENVILLE Prenez-y garde et ſçachez que c’eſt icy la derniere de vos impertinences que nous ſouffrirons,	Mr DE SOTENVILLE Prenez-y garde et sachez que c'est ici la dernière de vos impertinences que nous souffrirons,
Me DE SOTENVILLE.	Me DE SOTENVILLE.
Iour de Dieu ſi vous y retournez, on vous apprendra le reſpect que vous deuez à voſtre femme, & à ceux de qui elle ſort:	Jour de Dieu si vous y retournez, on vous apprendra le respect que vous devez à votre femme, et à ceux de qui elle sort:
Mr DE SOTENVILLE Voila le jour qui va paroiſtre.	Mr DE SOTENVILLE Voila le jour qui va paraître.
Adicu.	Adicu.
Rentrez hez vous, & ſongez bien à eſtre ſage, Et nous, mamour, allons nous mettre au lit.	Rentrez hé vous, et songez bien à être sage, Et nous, mamour, allons nous mettre au lit.
SCENE VIII.	SCÈNE VIII.
GEORGE DANDIN.	GEORGE DANDIN.
Hl ie le quitte maintenant, & ie n’y voy plus A I de remede, lors qu’on à comme moy épouſé vne mechante femme, le meilleur party qu’on puiſſe prendre, c’eſt de s’aller i’etter dans l’çau la teſte la premiere,	Hlau ie le quitte maintenant, et ainsi n'y vois plus A I de remède, lors qu'on à comme moi épousé une méchante femme, le meilleur parti qu'on puisse prendre, c'est de s'aller j'éter dans l'au la tête la première,
IN  32	IN 32
rance	rance
Frãnce	Frence
Frãnce	Frence
