MADAME,	MADAME,
Il penſe donc que l’action puiſſe croiſtre, & eſtre continuée, iulques à ce qu’il ioit abſolument neceſſaire, ſelon l’ordre des choſes que l’on repreſente, d’y apporter le changement qui en eſt le dernier terme:	Il pense donc que l'action puisse croître, et être continuée, julques à ce qu'il jait absolument nécessaire, selon l'ordre des choses que l'on représente, d'y apporter le changement qui en est le dernier terme:
comme lors que la bonne fortune ſe change en mal-heur, ou que le mal-heur ſe change en felieité.	comme lors que la bonne fortune se change en malheur, ou que le malheur se change en felieité.
Il ne faut point d’autre exemple que l’Amour Tyrannique, pour eſclaircir ceſte doctrine, & pour faire voir par là combien il eſt regulier.	Il ne faut point d'autre exemple que l'Amour Tyrannique, pour éclaircir cette doctrine, et pour faire voir par là combien il est régulier.
Tyridate ayant reduit Tygrane & Polyxene dans Amaſie, l’emporte d’aſſaut.	Tiridate ayant réduit Tygrane et Polyxène dans Amasie, l'emporte d'assaut.
Ce n’eſt pas aſſez, il faut qu’il ait ceſte femme & ce mary, qui ſont les obiects de ſa haine & de ſon amour, & les cauſes de la guerre.	Ce n'est pas assez, il faut qu'il ait cette femme et ce mari, qui sont les objets de sa haine et de son amour, et les causes de la guerre.
Au meſme inſtant le mal-heur de ces fidelles Amans les fait tomber entre ſes mains;	Au même instant le malheur de ces fidèles Amants les fait tomber entre ses mains;
ce n’eſt pas encore aſſez pour ſa felicité, s’il ne poſſede Polyxene, & s’il ne fait mourir ſon mary;	ce n'est pas encore assez pour sa félicité, s'il ne possède Polyxène, et s'il ne fait mourir son mari;
de ſorte qu’il ſe reſout à ces violences, & ces deux Amans à la mort:	de sorte qu'il se résout à ces violences, et ces deux Amants à la mort:
Tygrane demande du poiſon à ſa femme, elle luy en enuoye, Tyridate le ſurprend, & par vn billet mal expliqué, croyant que c’eſt à ſa vie que l’on en veut, & changeant ſon amour en haine, il delibere de les faire mourir;	Tygrane demande du poison à sa femme, elle avait en envoie, Tyridate le surprend, et par un billet mal expliqué, croyant que c'est à sa vie que l'on en veut, et changeant son amour en haine, il délibère de les faire mourir;
Il s’y reſout;	Il s'y résout;
Il en prononce l’Arreſt;	Il en prononce l'Arrêt;
Voila ce me ſemble le dernier periode de l’action, au deça duquel elle ne deuoit pas s’arreſter;	Voila ce me semble le dernier période de l'action, au deça duquel elle ne devait pas s'arrêter;
& au delà duquel elle ne pouuoit pas croiſtre ſans eſtre changée, & c’eſt là auſſi que le Poëte la termine, & que le frere de Polyxene qui ſurprend le Tyran, change le mal-heur de ces Amans en vn ſupréme bon-heur, & la felicité de Tyridaté en vn mal-heur ineſperé, d’où pourtant il ſort, par la recognoiſſance de ſes fautes, & par la bonté de ceux qu’il aiton imuntement onemiez.	et au delà duquel elle ne pouvait pas croître sans être changée, et c'est là aussi que le Poète la termine, et que le frère de Polyxène qui surprend le Tyran, change le malheur de ces Amants en un suprême bonheur, et la félicité de Tyridaté en un malheur inespéré, d'où pourtant il sort, par la reconnaissance de ses fautes, et par la bonté de ceux qu'il aiton imuntement onemiez.
Ie ne parle point icy d’Oroſmane, ny d’Ormene, quoy que ces deux perſonnes ſeruent beaucoup à rendre la grandeur de ceſte Tragedie plus complette, & qu’ils facenit vle paitie principale de ſon dénoüement, & de ſa connexion;	Je ne parle point ici d'Orômane, ni d'Ormène, quoi que ces deux personnes servent beaucoup à rendre la grandeur de cette Tragédie plus complète, et qu'ils facénit vle paitie principale de son dénouement, et de sa connexion;
c’eſt vn plaiſir que ie reſerue aux Lecteurs ſans y toucher, & qui leur fera remarquer combien ſont ingenieux, l’arrifice & la conduitte du Poëte.	c'est un plaisir que ainsi réserve aux Lecteurs sans y toucher, et qui leur fera remarquer combien sont ingénieux, l'arrifice et la conduite du Poète.
Certes quand ie conſidere la regularité auec laquelle ceſte action eſt portée iuſques à ſon dernier periode, il faut que ie confeſſe que i’en ſuis rauy, & que ie die qu’Ariſtote n’a pas mieux enſeigné, que Monſieur de Scudery a ſuiuy exactement ſes preceptes.	Certes quand grande considère la régularité avec laquelle cette action est portée jusqu' à son dernier période, il faut que que confesse que j'en suis ravi, et que sans die qu'Aristote n'a pas mieux enseigné, que Monsieur de Scuderi a suivi exactement ses préceptes.
La ſeconde regle que le Philoſophe laiſſe, pour la grandeur de la Tragedie, eſt celle que nos Dramatiques appeilent des vingt-quatre heures, d’autant que l’action ſe paſſe dans le temps, & que ſelon le temps qu’il luy faut pour s’acheuer, elle peut eſtre appellée, ou grande, ou petite, ou exceſſiue;	La seconde règle que le Philosophe laisse, pour la grandeur de la Tragédie, est celle que nos Dramatiques appeilent des vingt-quatre heures, d'autant que l'action se passe dans le temps, et que selon le temps qu'il lui faut pour s'achever, elle peut être appelée, ou grande, ou petite, ou excesive;
ceſte regle à ce que veut Ariſtote, a eſte trouuée, pour ſoulager la memoire des Spectateurs, & comme les actions de pluſieurs années, ou de pluſieurs iours, auroient eu trop d’eſtendue, de ſorte que la memoire ne les euſt pas peû retenir ſans effort, & qu’au contraire celles de quelques heures ne l’auroient pas aſſez oceupée;	cette règle à ce que veut Aristote, a este trouvée, pour soulager la mémoire des Spectateurs, et comme les actions de plusieurs années, ou de plusieurs jours, auraient eu trop d'étendue, de sorte que la mémoire ne les eût pas pu retenir sans effort, et qu'au contraire celles de quelques heures ne l'auraient pas assez oceupée;
le Philoſophe a iugé à propos d’enfermer la grandeur de l’action dans l’eſpace d’vne iournée, & voulu que les éuenemens qui pourroient arriuer entre deux Soleils, fuſſent les limites de la Tragedie.	le Philosophe a jugé à propos d'enfermer la grandeur de l'action dans l'espace d'une journée, et voulu que les événements qui pourraient arriver entre deux Soleils, fussent les limites de la Tragédie.
Et certes, outre le trauail & l’attention qu’il euſt fallu apporter, à voir repreſenter les actions de pluſieurs années, qui euſſent troublé la memoire des Auditeurs & laſſé leur patience, ce n’auroit plus eſté vn Art que de compoſer des Tragedies.	Et certes, outre le travail et l'attention qu'il eût fallu apporter, à voir représenter les actions de plusieurs années, qui eussent troublé la mémoire des Auditeurs et lassé leur patience, ce n'aurait plus été Art que de composer des Tragédies.
Les Epiſodes qu’Ariſtote conſeille ſi fort, & qu’il faut traitter ſi delicatemenr, en auroient eſté banois, il n’auroit plus eſté neceſſaire de choiſir des Fables, oude les diſpoſer.	Les Épisodes qu'Aristote conseille si fort, et qu'il faut traiter si délicatemenr, en auraient été banais, il n'aurait plus été nécessaire de choisir des Fables, oude les disposer.
De l’hiſtoired’vn ſiecle on euit peu raire vne leule I'ragedle, le-cher d’œuure des meilleurs Poëtes euſt eſté expoſé en proye aux moindres verſificateurs.	De l'histoired'vn siècle on évit peu raire une leule J'ragédle, le-cher d'œuvre des meilleurs Poètes eût été exposé en proie aux moindres versificateurs.
Ce deffaut, pour eſtre ſi groſſier, & ſi contraire au bon ſens, n’a pas eſté éuité de tous les Poëtes Latins.	Ce défaut, pour être si grossier, et si contraire au bon sens, n'a pas été évité de tous les Poètes Latins.
Il ſe trouue de leurs ouurages que ceſte irregularité rend difformes:	Il se trouve de leurs ouvrages que cette irrégularité rend difformes:
le ſeul periode de l’Amphitruon de Plaute eſt de neuf mois tous entiers;	le seul période de l'Amphitruon de Plaute est de neuf mois tous entiers;
il contient les Amours de Iupiter, & les couches d’Aſcmene, la failſance d’Hercule aum bien que ſa conception, tant ce bon Comique a eu de haſte de donner à l’Vniuers cét exterminateur de monſtres, & creû faire vn crime de conclure ſon ouurage auparauant que ce demy-Dieu fuſt né.	il contient les Amours de Jupiter, et les couches d'Ascène, la failsance d'Hercule auparavant bien que sa conception, tant ce bon Comique a eu de hâte de donner à l'Univers cet exterminateur de monstres, et cru faire un crime de conclure son ouvrage auparavant que ce demi-Dieu fut né.
L’Autheur Tragique qui a mis ſa mort ſur la Scene, & duquel l’ouurage ſe lit parmy ceux des Seneques, quoy qu’il n’en ſoit pas au ſentiment d’Heinſius, eſt tombe dans la meme faute;	L'Auteur Tragique qui a mis sa mort sur la Scène, et duquel l'ouvrage se lit parmi ceux des Sénèques, quoi qu'il n'en soit pas au sentiment d'Heinsius, est tombe dans la même faute;
ſa Scene eſt partagée en pluſieurs lieux, & ſon action dure pluſieurs iours.	sa Scène est partagée en plusieurs lieux, et son action dure plusieurs jours.
Au commencement il introuun riereuie en Eupoce ;	Au commencement il introuun rièreuie en Eupoce ;
apies il le fait facier ſur le Promontoire Cenéen;	apies il le fait facier sur le Promontoire Cenéen;
c’eſt là qu’il prend ceſte chemiſe teinte du ſang de Neſſe;	c'est là qu'il prend cette chemise teinte du sang de Nesse;
là que le poiſon commence à faite ſon effet, c’eſt en ce lieu qu’il s’eſtonne de gemir.	là que le poison commence à faite son effet, c'est en ce lieu qu'il s'étonne de gémir.
–Hic cœlam horrido clamore complet	–Hic cœlam horrido clamore complet
Il me ſemble qu’en cét endroit auſſi, il euſt eltt à propos que le Poëts euſt finy ſes tourmens, & que du feu de ſon ſacrifice il en pouuoit faire aiſément celuy de ſon bûcher.	Il me semble qu'en cet endroit aussi, il eût élût à propos que le Poîts eût fini ses tourments, et que du feu de son sacrifice il en pouvait faire aisément celui de son bûcher.
Il deuoit ſe ſouuenir, que du Promontoire Cenéen iuſques ſur le mont Oeta, où il le fait mourir, il y a preſque quatre iournées de chemin, qu’il n’eſtoit pas de la bienſeance de bruſler ce Heros à petit feu, ny du vray ſemblable, qu’vn venin duquel il auoit dit,	Il devait se souvenir, que du Promontoire Cenéen jusqu' où le mont Oeta, où il le fait mourir, il y a presque quatre journées de chemin, qu'il n'était pas de la bienséance de brûler ce Héros à petit feu, ni du vrai semblable, qu'un venin duquel il avait dit,
Quidquid illa tabe contactum eſtlabat.	Quidquid illa tabe contactum estlabat.
euſt agi ſi lentement, & operé ſeulement en ce long eſpace de temps.	eût agi si lentement, et opéré seulement en ce long espace de temps.
Nos Modernes, qui pour la pluſpart ont violé la regle de laquelle nous parlons, ne l’ont pas voulu fane un con maiene que les Anciens.	Nos Modernes, qui pour la plupart ont violé la règle de laquelle nous parlons, ne l'ont pas voulu fane un con maiène que les Anciens.
Ils ont quelquefois enfermé vne ſuitte de pluſieurs années dans vne meſme Tragedie, ils ne ſe ſont pas contentez de pecher pour les Doctes, leurs fautes ſe ſont renduës publiques, & le peuple s’eſt eſtonné de voir que les meſmes Acteurs deuenoient vieux dans la meſme Tragedie, & que ceux qui auoient fait l’amour au premier Acte, paroiſſoient au cinquieſme en figure decrepite.	Ils ont quelquefois enfermé une suitte de plusieurs années dans de même Tragédie, ils ne se sont pas contentez de pécher pour les Doctes, leurs fautes se sont renduës publiques, et le peuple s'est estonné de voir que les mêmes Acteurs devenaient vieux dans la même Tragédie, et que ceux qui avaient fait l'amour au premier Acte, paraissaient au cinquième en figure decrepite.
Sans doute le deſir de mettre quantité de beaux incidens dans leurs Poëmes, & la crainte que l’eſpace de vingt-quatre heures ne leur en fourniſt pas aſſez, les auoit iettez dans ce deſordre:	Sans doute le désir de mettre quantité de beaux incidents dans leurs Poèmes, et la crainte que l'espace de vingt-quatre heures ne leur en fournît pas assez, les avait jetés dans ce désordre:
l’agréement du ſpectacle les auoit ſouſleuez contre la ſeuerité des preceptes, & ce grand nombre d’euenemens que la longueur du temps leur fourniſſoit facilement, les aubn porten a meiprher ceux quns croyient moins aiſez, parce qu’ils eſtoient plus reſſerrez, & plus reguliers.	l'agrément du spectacle les avait soulevés contre la seuerité des préceptes, et ce grand nombre d'événements que la longueur du temps leur fournissait facilement, les aubn porten a miprher ceux quns croient moins aisé, parce qu'ils étaient plus resserrez, et plus réguliers.
Ils me pardonneront bien ſi ie leur dis, qu’ils ſe ſont informez auec peu de ſoin, des choſes qui peuuent arriuer en vn iour;	Ils me pardonneront bien si on leur dis, qu'ils se sont informés avec peu de soin, des choses qui peuvent arriver en un jour;
