LE TAIIINIL D’ALEXANDRE 22444 A HARDY, PARISIEN.	LE -TAIINIL D'ALEXANDRE 22444 A HARDY, PARISIEN.
M’oſent emanciper de vouloir enquerir La verité d’vn bruit qui commence à courir, Mais conforme à ce front qui langoureux & pale Semble deshonorer ſa vigueur martiale;	M'osent émanciper de vouloir enquérir La vérité d'un bruit qui commence courir, m conforme à ce front qui langoureux et pale Semble déshonorer sa vigueur martiale;
Seroit-il aduenu que le ſecret appas D'vne œillade liuraſt vostre los au trespas?	Serait-il avenu que le secret appas D'une œillade livrât votre los au trépas?
Que l’aspect impourueu d’vne fille ennemie Obſcurciſt vos exploicts d’eternelle infamie?	Que l'aspect impourvu d'une fille ennemie Obscurcist vos exploits d'éternelle infamie?
Veritable à grand peine y donneroy-je foy, Lors principalement que ie me ramentoy Quel fut iuſques icy cet indomptable Achille En aucune façon aux volupteZ labile, Athlete que le vice onc ne pût ébranler De cheute pour le moins qui valuſt le parler, De cheute qui ne fuſt plus ſoudain releuée, Et qu'ores de loger ſon ame captiuée Sous les myrthes d’amour abaifsât ſes lauriers?	Véritable à grand peine y donnerais-je foi, Lors principalement que je me ramentoi Quel fut jusques ici cet indomptable Achille En aucune façon aux voluptés labile, Athlète que le vice onc ne pût ébranler De chute pour le moins qui valût le parler, De chute qui ne fût plus soudain releuée, Et qu'ores de loger son âme captivée Sous les myrte d'amour abaifsât ses lauriers?
Non la peur du futur emprainte en nos guerriers Iuge ſiniſtrement, & Neſtor vous conjure D'eſclaircir ſon eſprit ſur le cõmun murmure.	Non la peur du futur emprainte en nos guerriers Juge sinistrement, et Nestor vous conjure D'éclaircir son esprit sur le commun murmure.
Achille.	Achille.
Mes libres actions n’admettent de cenſeur, Suffit qu'à mon ſujet chacun ſe tienne ſeur De ne ſouffrir iamais ny dommage ny honte, etquen tets acciueis ie ſp̧ay come on ſedonte.	Mes libres actions n'admettent de censeur, Suffit qu'à mon sujet chacun se tienne sûr De ne souffrir jamais rien dommage ni honte, etquen tets acciueis ie sp̧ay come on sédonte.
Neſtor.	Nestor.
Admirable ſçauoir de peu d’hommnes apris, Ou du moins pratiqué bien qu’ils l’euſſent compris!	Admirable savoir de peu d'hommnes apris, Ou du moins pratiqué bien qu'ils l'eussent compris!
Tant vne infirmité de la race mortelle Malgré ſa reſiſtance à ce gouffre l’appelle!	Tant une infirmité de la race mortelle Malgré sa résistance à ce gouffre l'appelle!
Tant l’eſguillõ ſenſible & poignãt de la chair Nous peut d’vn voile eſpais la prudence boucher!	Tant l'esguillõ sensible et poignant de la chair Nous peut d'Un voile voile la prudence boucher!
Bref amour a vaincu le vaincueur des Pergames, Dedãs voſtre poitrine il reueille ſes flammes.	Bref amour a vaincu le vaincueur des Pergames, Dédans votre poitrine il réveille ses flammes.
Achille.	Achille.
Flãmes en mon endroit de glace auparauant Ce miracle apperceu mes voluptez mouuant, Ame de mes deſirs, butte de mes penſées, Mais qui prõptes à naiſtre auſſi-toſt eclipſées, Eſteintes plus ſoudain par la difficulté Deffendent le public d’aucun mal reſulté.	Flammes en mon endroit de glace auparavant Ce miracle aperçu mes voluptés mouvant, Âme de mes désirs, butte de mes pensées, Mais qui promptes à naître aussitôt eclipsées, Éteintes plus soudain par la difficulté Défendent le public d'aucun mal résulté.
Neſtor.	Nestor.
L'hameçon deuoré de ce peſcheur volage Rarement ſe démort funereux au plus ſage;	L'hameçon dévoré de ce pêcheur volage Rarement se démort funreux au plus sage;
Maxime qu'vne fois dedans ſa naſſe entre L’homme ſans reſortir y demeure empêtré, Une fois aſſeruis deſſous ſa felonnie Il produit des effets eſtranges de manie, GardeZ vous de ſa trappe, il eſt encore temps;	Maxime qu'une fois dedans sa nasse entre L'homme sans résortir y demeure empêtré, Une fois asservis dessous sa félonnie Il produit des effets étranges de manie, Gardés vous de sa trappe, il est encore temps;
Ou que ſi les boüillons d’vn auancé printemps Deſirent s'arreſter ſous le joug d’Hymenée, Mainte fille Royalle, & ſous meſme Ciel née Treureuſe ſe viendra ranger en voſtre liet, Uous incoupable adõc de blâme, & de delict.	Ou que si les boüillons d'un avancé printemps Désirent s'arrêter sous le joug d'Hyménée, Mainte fille Royalle, et sous même Ciel née Treureuse se viendra ranger en votre liét, Uous incoupable adõc de blâme, et dé lict.
Achille.	Achille.
Polixene exceptée, vne Deeſſe offerte Ie voudrois repouſſer de ma couche deſerte.	Polixène exceptée, une Deesse offerte Je voudrais repousser de ma couche déserte.
n aencaro Un lien conjugal de vous deux reuſſi, L'Aigle s’appariroit a la Colombe auſſi.	n aencaro Un lien conjugal de vous deux réussi, L'Aigle s'apparirait à la Colombe aussi.
Achille.	Achille.
Pourquoy?	Pourquoi?
veu que mortels, journaliers, & ſans heure?	vu que mortels, journaliers, et sans heure?
Cela monſtre qu’il faut que toute haine meure.	Cela montre qu'il faut que toute haine meure.
Neſtor.	Nestor.
Seul vous ne pouuez pas le diſcord compoſer Qui touche vn general, ce ſeroit trop oſer.	Seul vous ne pouvez pas le discord composer Qui touche un général, ce serait trop oser.
Achille.	Achille.
Non, mais prendre mon mieux où mon mieux ſe renconire.	Non, mais prendre mon mieux où mon mieux se renconire.
Neſtor.	Nestor.
Nous preſerue le Ciel de pareil malencontre.	Nous preserve le Ciel de pareil malencontre.
Achille.	Achille.
I'excuſe vne vieilleſſe inepte à ſouhaitter, Ce qu'à l’option mis opteroit Iupiter.	J'excuse une vieillesse inepte à souhaiter, Ce qu'à l'option mis opterait Jupiter.
Neſtor.	Nestor.
O frenetique erreur, perilleuſe folie, Croire que l’ennemy pur ſe reconcilie, Pumuououeuo beuly puuvunſé ſes douleurs, Qui plus qu'vn monde armé ſeul luy ſource de pleurs!	Ô frénétique erreur, périlleuse folie, Croire que l'ennemi pur se réconcilie, Pumuououeuo li puvunsé ses douleurs, Qui plus qu'un monde armé seul seul source de pleurs!
Achille.	Achille.
Origine des maux leur produire vn remede, Ou ranger deners cenx que ta foriuncexcede, Me promet regaigner des courages perdus, La premiere franchiſe a l’Empire rendus.	Origine des maux leur produire int remède, Ou ranger deners cenx que ta foriuncexède, Me promet regagner des courages perdus, La première franchise a l'Empire rendus.
Neſtor.	Nestor.
Vous y pouuez beaucoup, mais tout paſſe la borne, Fait à des Rois eſgaux vn remarquable eſcorne :	Vous y pouvez beaucoup, mais tout passe la borne, Fait à des Rois égaux un remarquable écorne :
Se cognoiſtre ſoy-meſme eſt vn don ſouuer ain, n oonnettuxoeneye qun ſurpuſſe enumain.	Se connaître soi-même est un don souver ain, n oonnettuxoeneye qun surpusse enumain.
Achille.	Achille.
tuy porte ta piuſpurt au faix de teſte guerre,	tui porte ta piuspurt au faix de tête guerre,
Neſtor.	Nestor.
La pluspart de l’honneur au ciel & en la terre Eterniſe le nom d’Achille noſtre appuy.	La plupart de l'honneur au ciel et en la terre Éternise le nom d'Achille notre appui.
Achille.	Achille.
Mes trauaux n’ont receu que moleſte, qu'ennuy, Qu'affront deſſur affront, ingrate recompenſe.	Mes travaux n'ont reçu que moleste, qu'ennui, Qu'affront dessur affront, ingrate récompense.
Neltor.	Neltor.
De mon conſentement cela n'eſt que ie penſe.	De mon consentement cela n'est que venir pense.
Achille.	Achille.
Auſſi voſtre reſpect a retenu des coups.	Aussi votre respect a retenu des coups.
Neſtor.	Nestor.
QQecemeſmie neſpeei fe comfarue aastre nouls, M'oblige n’attenter choſe du tour indigne, Choſe qui vous cauſaſt vn repentir inſigne.	QQecemesmie nespeei se comfarue aâtre nouvls, M'oblige n'attenter chose du tour indigne, Chose qui vous causât un repentir insigne.
Achille.	Achille.
Tenez-le indubitable, Adieu, ie vay penſer Du moyen de complaire à tous, & me forcer.	Tenez-le indubitable, Adieu, je vais penser Du moyen de complaire à tous, et me forcer.
Neſtor.	Nestor.
Son eſprit agité de contraires, reſſemble Loiſeau ſur le ſommet de la branche qui tremble, Il volete douteux, faſché de le quitter, Faſché qu'il ne pût plus deſſous luy reſiſter:	Son esprit agité de contraires, ressemble Loiseau sur le sommet de la branche qui tremble, Il voleté douteux, fâché de le quitter, Fâché qu'il ne pût plus dessous était résister:
Ainſi ce grand Heros ſauue ſa renommée, Uolontiers ſeruiroit ceſte eſtrangere aimée.	Ainsi ce grand Héros sauve sa renommée, Uolontiers servirait cette étrangère aimée.
Dieu!	Dieu!
détourneZ l’encombre, enuoyeZ aux Gregeois, Tout autre mal plustoſt, flechiſſez à ma voix;	détournez l'encombre, envoyez aux Grégeois, Tout autre mal plutôt, fléchissez à ma voix;
Si vay-ie de ce pas trouuer nos chefs, & dire Quel chemin nous deuõs tenir pour le reduire.	Si vais-je de ce pas trouver nos chefs, et dire Quel chemin nous devons tenir pour le réduire.
SCENE II.	SCÈNE II.
AGAMEMNON, MENELAS, AIAX, NESTOR.	AGAMEMNON, MENELAS, AIAX, NESTOR.
AGAMEMNON.	AGAMEMNON.
Epuis l’ennuieux cours d’vn ſiege de dix ans, Où Mars fit remarquer ſes tours plus inconſtants;	Epuis l'ennuyeux cours d'un siège de dix ans, Où Mars fit remarquer ses tours plus inconstants;
Siege fatal à plus de belliqueuſes ames, Qu'au firmament la nuict n'eſtincellent de flames, Que Sigee en hyuer n’a de grands flots tortus Par l’orage grondant ſes riuages battus;	Siège fatal à plus de belliqueuses âmes, Qu'au firmament la nuit n'étincellent de flammes, Que Sige en hiver n'a de grands flots tortus Par l'orage grondant ses rivages battus;
Depuis ie ne croy point que le camp Argolide Ait de faute commis à ſon los plus perfide, Plus vtile au reſpit de l’ennemy deffait, Qu'vne trefue auec luy que derniere on a fait;	Depuis ici ne crois point que le camp Argolide Ait de faute commis à son los plus perfide, Plus utile au répit de l'ennemi défait, Qu'une trouve auec lui que dernière on a fait.
Impudens nous laiſſons reprendre à vn Anthée Du baiſer maternel vne force indomptée:	Impudents nous laissons reprendre à un Anthée Du baiser maternel une force indomptée:
Nous laiſſons eſchapper le Lion de nos rets, Pour brigand retourner en l’horreur des forests, Nous permettõs, charmeZ, que Troye ſubjuguée, Amene à ſon ſecours l’aſsistance briguée De cent peuples voiſins de ſon or allecheZ;	Nous laissons échapper le Lion de nos rets, Pour brigand retourner en l'horreur des forêts, Nous permettons, charmés, que Troie subjuguée, à son secours l'assistance briguée De cent peuples voisins de son or allez;
Nous faiſons que les cœurs des ſoldats reboucheZ, Au lieu d’vne fureur vangereſſe, n’aspirent Qu'à l’aiſe du repos, qu'vne paix ne respirent, Outre l’amour eſpris au ſein d’vn inſolent, Dés le premier regard de luxure brulant, Capable de ruer d’vn coup de ſa folie Par terranos labeurs, l’entrepriſe faillieAh!	Nous faisons que les cœurs des soldats rebouchés, Au lieu d'une fureur vengeresse, n'aspirent Qu'à l'aise du repos, qu'une paix ne respirent, Outre l'amour épris au sein d'un insolent, Dès le premier regard de luxure brûlant, Capable de ruer d'un coup de sa folie Par terranos labeurs, l'entreprise faillieAh!
ce doute me tuë, il trouble apprehendé Mon eſprit qui ſans ceſſe y demeure bandé.	ce doute me tue, il trouble appréhendé Mon esprit qui sans cesse y demeure bandé.
Menelas.	Ménélas.
D’ordinaire le bruit la verité ſurpaſſe, Qu'au deceu de nous tous vne alliance il braſſe, Repugnante à l’honneur;	D'ordinaire le bruit la vérité surpasse, Qu'au déçu de nous tous une alliance il brasse, Répugnante à l'honneur;
ſi loing de la raiſon, Qu'il prenne ſa moitié d’vne hoſtile maiſon;	si loin de la raison, Qu'il prenne sa moitié d'une hostile maison;
Ie ne croirois iamais la choſe qu'auenue, L'eſtrangere à ſes yeux paſſant comme vne nue, De quelque foible atteinte aura bleſsé le cœur, Mais non pas vn enfant ſurmõté ce vaincueur, Uaincueur qui de plus pres à ſa gloire regarde.	Je ne croirais jamais la chose qu'auenue, L'étrangère à ses yeux passant comme une nue, De quelque faible atteinte aura blessé le cœur, Mais non pas un enfant surmonté ce vaincueur, Uaincueur qui de plus près à sa gloire regarde.
L’honneur auec la vie ainſi ne ſe haZarde, On recule trois fois auant que ſe jetter dx Juiaa aparle, & jeprecipiie.	L'honneur avec la vie ainsi ne se hasarde, On recule trois fois avant que se jeter dx Juia apparle, et jeprecipiie.
Aiax.	Ajàx.
Partiſan de l’auis que donnez, ie n'eſtime L'amere volupté d’vn que la gloire anime Triompher à l’abord, le mettre ſous ſes pieds:	Partisan de l'avis que donnez, Elle n'estime L'âme volupté d'un que la gloire anime Triompher à l'abord, le mettre sous ses pieds:
Ioint que de longue-main de courage liez, Qu'vnis d’affection, freres d’armes fidelles, Les paſſions quaſi deuiennent mutuelles, Il lit dans mes ſecrets, ie lis dedans les ſiens, Compagnons de fortune, ainſi que d’autres biens, Iuſqu'à ce neantmoins prouoqué de paroles, Il ſe mocque entre nous de ces raiſons friuoles, Parle indifferemment de l’amour eſtranger;	Joint que de longue-main de courage liés, Qu'unis d'affection, frères d'armes fidèles, Les passions quasi deviennent mutuelles, Il lit dans mes secrets, ainsi lis dedans les siens, Compagnons de fortune, ainsi que d'autres biens, Jusqu'à ce néanmoins provoqué de paroles, Il se môle entre nous Il se mo les, Parle indifféremment de l'amour étranger;
Mais Neſtor l’aura veu qui nous vient ſoulaQui du charmeur appas de ſa bouche faconde Tireroit les ſecrets du Monarque du monde.	Mais Nestor l'aura vu qui nous vient soulaQui du charmeur appas de sa bouche faconde Tirerait les secrets du Monarque du monde.
A gamemnon.	À gamnon.
En fin, qu'a reſolu ce nouuel amoureux, Ce Mars d’vne Cythere à preſent langoureux?	En fin, qu'a résolu ce nouvel amoureux, Ce Mars d'une Cythère à présent langoureux?
D'ennemy capital en vn moment ſe rendre D'vn vieillard ruiné le deplorable gendre?	D'ennemi capital en un moment se rendre D'un vieillard ruiné le déplorable gendre?
Neſtor.	Nestor.
L’ame & le corps en luy paroiſſent diuiſez L’ame tend aux ſentiers de la vertu briſez, Le corps panche rebelle au vice qui le flatte, Mais, qu'vſans de moien le pire ne s’abatte, Que ce beau naturel à la gloire esleué, Le voile de l’erreur incontinent leué Deuers ſon elément ne reprenne ſa route, Pour mon particulier ie n'en fay point de doute;	L'âme et le corps en était paraissent divisés L'âme tend aux sentiers de la vertu brisés, Le corps penche rebelle au vice qui le flatte, Mais, qu'usant de moyen le pire ne s'abatte, Que ce beau naturel à la gloire élevé, Le voile de l'erreur incontinent luve Deuers son élement ne reprenne sa route, Pour mon particulier Seigneur n'en fais point de doute;
Medecins appellez l’vlcere guerira Par vn medicament qui doux ne l’aigrira, S’entend que la priere aura plus d’efficate, Qu'vn ſcandaleux reproche, vne rogue menace.	Medecins appelez l'vlcere guérira Par un médicament qui doux ne l'aigrira, S'entend que la prière aura plus d'efficate, Qu'Un scandaleux reproche, une rogue menace.
Menelas.	Ménélas.
Prudence merueilleuſe!	Prudence merveilleuse!
ô ſage Pylien Puiſſent les immortels pour noſtre cõmun bien Trois âges adjouſter à la tienne chenue, Ton oracle me plaist, & mon ſoin diminue.	ô sage Pylien Puissent les immortels pour notre commun bien Trois âges ajouter à la tienne chenue, Ton oracle me plaît, et mon soin diminue.
