A MONSIEUR MONSIEUR HOURLIER.	À MONSIEUR MONSIEUR HOURLIER.
Si j’oſois vous monſtrer une preuve aſſeurée.	Si j'osais vous montrer une preuve assurée.
Que ſon cœur.	Que son cœur.
Non;	Non;
voſtre ame en ſeroit alterée.	votre âme en serait altérée.
VALERE.	VALÈRE.
Si je vous oſois moy deſcouvrir en ſecret.	Si je vous osais moi découvrir en secret.
Mais, je vousfaſerierois, ce veux eſtre diſcret.	Mais, je vousfaserierois, ce veux être discret.
ERASTE.	ERASTE.
Vrayment, vous me pouſſez;	Vraiment, vous me poussez;
& contre mon envie Voſtre preſomption veut que je l’humilie.	et contre mon envie Votre présomption veut que je l'humilie,
Liſez.	Lisez.
VALERE.	VALÈRE.
Ces mots ſont doux.	Ces mots sont doux.
ERASTE.	ERASTE.
Vous connoiſſez la main?	Vous connaissez la main?
VA	VA
Oui, de Lucile.	Oui, de Lucile.
VALERE.	VALÈRE.
ERASTE.	ERASTE.
Hé bien?	Hé bien?
cet eſpoir ſi certain.	cet espoir si certain.
VA LERE riant.	VA LERE riant.
Adieu, Seigneur Eraſte.	Adieu, Seigneur Eraste.
R O S-RENE’.	R Ô SUIS-RENE.
Hent lout le bonMe.	Hent lout le bonMe.
Où vient-il donc, pour luy de voir le mot pour rire?	Où vient-il donc, pour venir de voir le mot pour rire?
ERASTE.	ERASTE.
Certes;	Certes;
il me ſurprend, & j’ignore, entre nous, Quel diable de miſtere eſt caché la deſſous.	il me surprend, et j'ignore, entre nous, Quel diable de mystère est caché la dessous.
ROS-RENE'.	ROS-RENE.
Son valet vient, je penſe.	Son valet vient, je pense.
ERASTE.	ERASTE.
Oui, je le voy paroiſtre.	Oui, je le vois paraître.
Feignons, pour le jetter ſur l’amour de ſon maiſtre.	Feignons, pour le jeter sur l'amour de son maître.
SCENE IV.	SCÈNE IV.
MASCARILLE, ERASTE, GROS-RENE’.	MASCARILLE, ERASTE, GROS-RENE.
MASCARILLE.	MASCARILLE.
On, je ne trouve point d’eſtat plus mal-heureux, Que d’avoir un patron jeune & fort amoureux.	On, je ne trouve point d'état plus malheureux, Que d'avoir un patron jeune et fort amoureux.
Bon jour.	Bon jour.
GROSRENE'.	GROSRENE.
MASCARTLLE.	MASCARTLLE.
Bon jour.	Bon jour.
GROS-RENE'.	GROS-RENE'.
Ou tend Maſcarille à cette heure?	Ou tend Mascarille à cette heure?
Que fait-il?	Que fait-il?
revient-il?	revient-il?
va-t-il?	va-t-il?
ou s’il demeure?	ou s'il demeure?
MASCARILLE.	MASCARILLE.
Non, je ne reviens pas;	Non, je ne reviens pas;
car je n’ay pas eſté:	car je n'ai pas été:
Je ne vais pas auſſi;	Je ne vais pas aussi;
car je ſuis arreſté:	car je suis arrêté:
Et ne demeure point;	Et ne demeure point;
car, tout de ce pas meſme, je pletels m en aler.	car, tout de ce pas même, je plels m en aler.
La rigueur eſt extreme!	La rigueur est extrême!
Doucement, Maſcarille.	Doucement, Mascarille.
MASCARILLE.	MASCARILLE.
Ha!	Ha!
Monſieur, Serviteur.	Monsieur, Serviteur.
ERASTE.	ERASTE.
vous nous iuyez bien vilte?	vous nous juyez bien vilte?
ne quoy!	ne quoi!
vous fay-je peur?	vous fais-je peur?
MASCARILLE.	MASCARILLE.
Je ne croy pas cela de voſtre courtoiſie.	Je ne crois pas cela de votre courtoisie.
ERASTE.	ERASTE.
rouenei nous iavonis plus lujet de jalouſie;	rouenei nous javonis plus lujet de jalousie;
Nous devenons amis, & mes feux que j’éteins Laiſſent la place libre a vos heureux deſſeins.	Nous devenons amis, et mes feux que j'éteins Laissent la place libre à vos heureux desseins.
MASCARILLE.	MASCARILLE.
Pleuſt à Dieu !	Plût à Dieu !
ERASTE.	ERASTE.
Gros-René ſçait qu’ailleurs je me jette.	Gros-René sais qu'ailleurs je me jette.
GROSRENE'.	GROSRENE.
Sans doute:	Sans doute:
& je te cede auſſi la Marinette.	et je te cède aussi la Marinette.
MASCARILLE.	MASCARILLE.
Paſſons ſur ce point là;	Passons sur ce point là;
noſtre rivalité N’eſt pas pour en venir à grande extremité:	notre rivalité N'est pas pour en venir à grande extrémité:
Mais;	Mais;
eſt-ce un coup bien ſeur que voſtre Seigneurie Soit deſ-énamourée, ou ſi c’eſt raillerie?	est-ce un coup bien sûr que votre Seigneurie Soit des-énamourée, ou si c'est raillerie?
ERASIE.	ERASIE.
J’ay ſceu qu’en ſes amours ton maiſtre eſtoit trop bien;	J'ai su qu'en ses amours ton maître était trop bien;
Et je ſerois un foû de pretendre plus rien Aux eſtroites faveurs qu’il a de cette belle.	Et je serais un foû de prétendre plus rien Aux étroites faveurs qu'il a de cette belle.
MASCARILLE.	MASCARILLE.
Certes, vous me plaiſez avec cette nouvelle;	Certes, vous me plaisez avec cette nouvelle;
Outre qu’en nos projets je vous craignois un peu, Vous tirez ſagement voſtre épingle du jeu.	Outre qu'en nos projets je vous craignais un peu, Vous tirez sagement votre épingli du jeu.
Ouy, vous avez bien fait de quitter une place, Où l’on vous careſſoit pour la ſeule grimace;	Oui, vous avez bien fait de quitter une place, Où l'on vous caressait pour la seule grimace;
Et mille fois, ſçachant tout ce qui ſe paſſoit, J’ay plaint le faux eſpoir dont on vous repaiſſoit.	Et mille fois, sachant tout ce qui se passait, J'ai plaint le faux espoir dont on vous répaissait.
On offence un brave homme alors que l’on l’abuſe.	On offense un brave homme alors que l'on l'abuse.
Mais, d’où, diantre, apres tout, avez-vous ſceu la ruſe?	Mais, d'où, diantre, après tout, avez-vous su la ruse?
Car cet engagement mutuel de leur foy N’eut, pour témoins, la nuit, que deux autres & moy;	Car cet engagement mutuel de leur foi N'eut, pour témoins, la nuit, que deux autres et moi;
Et l’on croit juſqu’icy la chaine fort ſecrette Qui rend de nos amans la flame ſatisfaite.	Et l'on croit jusqu'ici la chaine fort secrète Qui rend de nos amants la flamme satisfaite.
Hé!	Hé!
que dis-tu?	que dis-tu?
ERASTE.	ERASTE.
MASCARTLLE.	MASCARTLLE.
Je dis que je ſuis interdit:	Je dis que je suis interdit:
Et ne ſçay pas, Monſieur, qui peut vous avoir dit, Que, ſous ce faux ſemblant qui trompe tout le monde, En vous trompant auſſi, leur ardeur ſans ſeconde D’un ſecret mariage a ſerré le lien.	Et ne sais pas, Monsieur, qui peut vous avoir dit, Que, sous ce faux semblant qui trompe tout le monde, En vous trompant aussi, leur ardeur sans seconde D'un secret mariage a serré le lien.
ERASTE.	ERASTE.
Vous en avez menty.	Vous en avez menti.
MASCARILLE.	MASCARILLE.
Monſieur, je le veux bien	Monsieur, je le veux bien
ERASTE.	ERASTE.
Vous eſtes un coquin.	Vous êtes un coquin.
MASCARILLE.	MASCARILLE.
D'aco.	D'aco.
DRADIE.	DRADIE.
Et cette audace Meriteroit cent coups de baſton ſur la place.	Et cette audace Mériterait cent coups de bâton sur la place.
MASCARILLE.	MASCARILLE.
Vous avez tout pouvoir.	Vous avez tout pouvoir.
ERASTE.	ERASTE.
Ha!	Ha!
Gros-René.	Gros-René.
GROSRENE'.	GROSRENE.
Monſieur.	Monsieur.
ERASTE.	ERASTE.
ERASTE.	ERASTE.
Je demens un diſcours dont je n’ay que trop peur.	Je dépens un discours dont je n'ai que trop peur.
Tu penſe fuir?	Tu pense fuir?
à Maſcarille.	à Mascarille.
MASCARILLE.	MASCARILLE.
Nenny.	Nenni.
ERASTE.	ERASTE.
Quoy!	Quoi!
Lucile eſt la femme.	Lucile est la femme.
MASu ARiDD2.	MASu ARiD2.
Non, Monſieur, je raillois.	Non, Monsieur, je raillais.
ERASTE.	ERASTE.
Ha!	Ha!
vous raillez!	vous raillez!
infame.	infâme.
MASCARILLE.	MASCARILLE.
Non, je ne raillois point.	Non, je ne raillais point.
E RASTE.	E RASTE.
Il eſt donc vray?	Il est donc vrai?
MASCARILLE.	MASCARILLE.
Je ne dis pas cela.	Je ne dis pas cela.
Non pas;	Non pas;
ERASTE.	ERASTE.
Qe dis-tu donc?	Que dis-tu donc?
MASCARILLE.	MASCARILLE.
Je ne dy fien, de peur de mal parler.	Je ne dis sien, de peur de mal parler.
Helas!	Hélas!
ERASTE.	ERASTE.
Ou ſi c’eſt choſe vraye, ou ſi c’eſt impoſture.	Ou si c'est chose vraie, ou si c'est imposture.
Aſſure,	Assure,
MASCARILLE.	MASCARILLE.
Quleedantoua piana, feue la paatey Pour vous rien conteſter.	Qulédantoua piana, fève la patein Pour vous rien contester.
ERASTE.	ERASTE.
Veux tu dire?	Veux -tu dire?
voicy, Sans marchander, de quoy te delier la langue.	voici, Sans marchander, de quoi te délier la langue.
MASCARILLE.	MASCARILLE.
Elle ira faire encor quelque ſotte harangue.	Elle ira faire encor quelque sotte harangue.
Hé, de grace, pluſtoſt, ſi vous le trouvez bon, Donnez-moy viſtement quelques coups de baſton, Et ine laniez ther ines cnattnles fans murmure.	Hé, de grâce, plutôt, si vous le trouvez bon, Donnez-moi vite quelques coups de bâton, Et ine laniez ther ines cnattnles fans murmure.
ERASTE.	ERASTE.
Tu mourras, ou je veux que la verité pure S’exprime par ta bouche.	Tu mourras, ou je veux que la vérité pure S'exprime par ta bouche.
MASCARILLE.	MASCARILLE.
Helas!	Hélas!
je la diray:	je la dirai:
Mais, peut-eſtre, Monſieur, que je vous faſcheray.	Mais, peut-être, Monsieur, que je vous fâcherai.
ERASTE.	ERASTE.
Parle:	Parle:
mais prend bien garde à ce que tu vas faire;	mais prend bien garde à ce que tu vas faire;
A ma juſte fureur rien ne te peut louitraire, Si tu mens d’un ſeul mot en ce que tu diras.	À ma juste fureur rien ne te peut louitraire, Si tu mens d'un seul mot en ce que tu diras.
MASCARILLE.	MASCARILLE.
y conſens, rompez moy les jambes & les bras;	y consens, rompez moi les jambes et les bras;
Faites moy pis encore, tuez moy ſi j’impoſe En tout ce quej ay ditiey la momdie choie.	Faites -moi pis encore, tuez moi si j'impose En tout ce quej ai ditie la momdie choie.
ERASTE.	ERASTE.
Ce mariage eſt vray?	Ce mariage est vrai?
MASCARILLE.	MASCARILLE.
Ma langue, en cet endroit, A fait un pas de clerc dont elle s’aperçoit :	Ma langue, en cet endroit, A fait un pas de clerc dont elle s'aperçoit :
Mais, enfin, cette affaire eſt comme vous la dites;	Mais, enfin, cette affaire est comme vous la dites;
Et c’eſt apres cinq jours de nocturnes viſites, Tandis que vous ſerviez à mieux couvrir leur jeu, Que depuis avant-hier ils ſont joints de ce nœu;	Et c'est après cinq jours de nocturnes visites, Tandis que vous serviez à mieux couvrir leur jeu, Que depuis avant-hier ils sont joints de ce nœu;
Et Lucile depuis fait encor moins paroiſtre La violente amour qu’elle porte à mon maiſtre, Et veut abſolument que tout ce qu’il verra, Et qu’en votre faveur ſon cœur témoignera, Il l’impute a l’effet d’une haute prudence, Qui veut de leurs ſecrets oſter la connoiſſance.	Et Lucile depuis fait encor moins paraître La violente amour qu'elle porte à mon maître, Et veut absolument que tout ce qu'il verra, Et qu'en votre faveur son cœur témoignera, Il l'impute a l'effet d'une haute prudence, Qui veut de leurs secrets ôter la connaissance.
Si, malgré mes ſermens, vous doutez de ma foy, Gros-René peut venir une nuit avec moy;	Si, malgré mes serments, vous doutez de ma foi, Gros-René peut venir une nuit avec moi;
Et je luy feray voir eſtant en ſentinelle Que nous avons dans l’ombre un libre accez chez elle.	Et je était ferai voir étant en sentinelle Que nous avons dans l'ombre un libre accès chez elle.
ERASTE	ERASTE
ERASTE.	ERASTE.
olte toy de mes yeua, malaut.	olte toi de mes iva, malaut.
MASCARILLE.	MASCARILLE.
C’eſt ce que je demande.	C'est ce que je demande.
Et de grand cœur;	Et de grand cœur;
ERASTE.	ERASTE.
Hé bien !	Hé bien !
GROSRENE'.	GROSRENE.
Tle bieit!	Tle bieit!
Monſieur:	Monsieur:
Nous en tenons tous deux, ſi l’autre eſt veritable.	Nous en tenons tous deux, si l'autre est véritable.
ERASTE.	ERASTE.
Las!	Las!
il ne l’eſt que trop, le bourreau deteſtable.	il ne l'est que trop, le bourreau détestable.
Je voy trop d’aparence à tout ce qu’il a dit:	Je vois trop d'apparence à tout ce qu'il a dit:
Drte juurait Valere, en voyant cet écrit, Marque bien leur concert, & que c’eſt une baye Qui ſert ſans doute aux feux dont l’ingrate le paye.	Drte juvrait Valère, en voyant cet écrit, Marque bien leur concert, et que c'est une baie Qui sert sans doute aux feux dont l'ingrate le paie.
SCENEV.	SCENEU.
MARINETTE, GROS-RENE', ERASTE,	MARINETTTE, GROS-RENE, ERASTE,
MARINETTE.	MARINETTTE.
JE viens vous avertir que tantoſt ſur le ſoir l'Ma maiſtreſſe au jardin vous permet de la voir.	JE viens vous avertir que tantôt sur le soir l'Ma maîtresse au jardin vous permet de la voir.
ERASTE.	ERASTE.
Oſes-tu me parler, ame double, & traiſtreſſe?	Oses-tu me parler, âme double, et traîtresse?
Va, ſors de ma preſence, & dis à ta maiſtreſſe, Qu’avecque ſes écrits elle me laiſſe en paix, Et que voila l’état, infame, que j’en fais.	Va, sors de ma présence, et dis à ta maîtresse, Qu'avec ses écrits elle me laisse en paix, Et que voilà l'état, infâme, que j'en fais.
MARINETTE.	MARINETTTE.
Gros-René, dy-moy donc, quelle mouche le pique.	Gros-René, dis-moi donc, quelle mouche le pique.
GROS-RENE’.	GROS-RENE'.
M’oſes tu bien encor parler?	M'oses -tu bien encor parler?
femelle inique?	femelle inique?
Crocodile trompeur, de qui le cœur felon Eſt pire qu’un Satrape, ou bien qu’un Leſtrigon.	Crocodile trompeur, de qui le cœur felon Est pire qu'un Satrape, ou bien qu'un Létrigon.
Va, va, rendre réponſe à ta bonne maiſtreſſe, Et luy dy bien & beau que, malgré ſa ſoupleſſe, Nous Nous ne ſommes plus ſots, ny mon maiſtre, ny moy, Et delomais qu'ene amſle au Dlable avecque toy.	Va, va, rendre réponse à ta bonne maîtresse, Et tu demi bien et beau que, malgré sa souplesse, Nous Nous ne sommes plus sots, ni mon maître, ni moy, Et délomais qu'ène amisle au Dlable avec toi.
MARINETTE.	MARINETTTE.
Ma pauvre Marinette, es tu bien éveillée ?	Ma pauvre Marinette, es tu bien éveillée ?
De quel démon eſt donc leur ame travaillée?	De quel démon est donc leur âme travaillée?
Quoy faire un tel accueil à nos ſoins obligeans!	Quoi faire un tel accueil à nos soins obligeants!
O!	Ô!
que cecy enez nous va lurprendre les gens!	que ceci enez nous va lurprendre les gens!
Fin du Premier Acte.	Fin du Premier Acte.
ACTE II.	ACTE II.
SCENE I.	SCÈNE I.
ASCAGNE, FROSINE.	ASCAGNE, FROSINE.
FROSINE.	FROSINE.
SCAGNE, je ſuis fille à ſecret, Dieu mercy.	SACGNE, je suis fille à secret, Dieu merci.
ASCAGNE.	ÀSCAGNE.
Mais, pour un tel diſcours, ſommes nous bien icy ?	Mais, pour un tel discours, sommes nous bien ici ?
Prenons garde qu’aucun ne nous vienne ſurprendre, Ou que de quelque endroit on ne nous puiſſe entendler	Prenons garde qu'aucun ne nous vienne surprendre, Ou que de quelque endroit on ne nous puisse entendler
FROSINE.	FROSINE.
Nous lenons au Iogis beaticoup mois leurement:	Nous lenons au Jogis béaticoup mois leurement:
Icy de tous coſtez on découvre ayſément, Et nous pouvons parler avec toute aſſeurance.	Ici de tous côtés on découvre aisément, Et nous pouvons parler avec toute assurance.
ASCAGNE.	ÀSCAGNE.
HelasA que j’ay de peine à rompre mon ſilence!	Hélas que j'ai de peine à rompre mon silence!
ROSINE.	ROSINE.
Quay!	Quais!
cecy doit donc eſtre un important ſecret.	ceci doit donc être un important secret.
ASCAUNE.	ÀSCAUNE.
ASCAGNE.	ÀSCAGNE.
Trop, puiſque je le fie à vous meſme à regret, Et que ſi je pouvois le cacher davantage, Vous ne le ſçauriez point.	Trop, puisque je le fie à vous -même à regret, Et que si je pouvais le cacher davantage, Vous ne le sauriez point.
FROSIN-E.	FROSINE.
Ha!	Ha!
c’eſt me faire outrage Feindre à s’ouvrir à moy!	c'est me faire outrage Feindre à s'ouvrir à moi!
dont vous avez connu Dans tous vos interets l’eſprit ſi retenu.	dont vous avez connu Dans tous vos intérêts l'esprit si retenu.
Moy nourrie avec vous!	Moi nourrie avec vous!
& qui tiens ſous ſilence Des choles qui vous ſont de ſi grande importance!	et qui tiens sous silence Des choles qui vous sont de si grande importance!
Qui ſçais.	Qui sais.
ASCAGNE.	ÀSCAGNE.
Oui, vous ſçavez la ſecrette raiſon Qui cache aux yeux de tous mon ſexe & ma maiſon;	Oui, vous savez la secrète raison Qui cache aux yeux de tous mon sexe et ma maison;
Vous ſçavez que dans celle où paſſa mon bas âge Je ſuis, pour y pouvoir retenir l’heritage Que relaſchoit ailleurs le jeune Aſcagne mort, Dont mon déguiſement fait revivre le ſort, Et c’eſt auſſi pourquoy ma bouche ſe diſpenſe A vous ouvrir mon cœur avec plus d’aſſeurance.	Vous savez que dans celle où passa mon bas âge Je suis, pour y pouvoir retenir l'héritage Que relâchait ailleurs le jeune Ascagne mort, Dont mon déguisement fait revivre le sort, Et c'est aussi pourquoi ma bouche se dispense À vous ouvrir mon cœur avec plus d'assurance.
Mais, avait que paller, Tiomle, a ce diſcours, Eclairciſſez un doute où je tombe tousjours.	Mais, avait que paller, Tiomle, à ce discours, Éclaircissez un doute où je tombe toujours.
Se pourtoit-il qu’Albert ne ſceut rien du miſtere Qui maſque ainſi mon ſexe & l’a rendu mon pere?	Se pourrtait-il qu'Albert ne sut rien du mystère Qui masque ainsi mon sexe et l'a rendu mon père?
