A MONSIEVR, RVTSTCOIEVT DE BELIN.	À MONSIEUR, RUTSTCOIEUT DE BELIN.
Cette mortelle peur dont mon ame eſt ſaiſie Fait que ie croy la voir dans les bras d’vn brutal, Qui luy tient vn diſcours à ſon honneur fatal, La traitte indignement, & d’vnbaiſer prophane Souille cette beauté plus chaſte que Diane, Et qui poßible encor s'efforce d’arracher Cette fleur que iamais ie n'ay voulu toucher;	Cette mortelle peur dont mon âme est saisie Fait que je crois la voir dans les bras d'un brutal, Qui lui tient un discours à son honneur fatal, La traite indignement, et d'Ha ne Ouille cette beauté plus chaste que Diane, Et qui pouvible encor s'efforce d'arracher Cette fleur que jamais été n'ai voulu toucher;
Cette fleur dont l’eſpoir a couſté tant de vies, Et pour qui tant de Roys ont conceu tant d’enuies;	Cette fleur dont l'espoir a coûté tant de vies, Et pour qui tant de Rois ont conçu tant d'envies;
Cette fleur dont le prix gardera de vieillir La gloire de l’Amant qui la pourra cueillir;	Cette fleur dont le prix gardera de vieillir La gloire de l'Amant qui la pourra cueillir;
Deſolé que ie ſuis, ſi cette crainte eſt vraye, Mon ame pour ſortir ne veut point d’autre playe:	Désolé que Seigneur suis, si cette crainte est vraie, Mon âme pour sortir ne veut point d'autre plaie:
Ce coup, ſans le ſecours du feu ny du poiſon, Ne ſuffira que trop à rompre ſa priſon.	Ce coup, sans le secours du feu Seigneur du poison, Ne suffira que trop à rompre sa prison.
O Ciel iuſte & clement!	Ô Ciel juste et clément!
pluſtoſt que cette perte, I'accepte volontiers toute autre peine offerte:	plutôt que cette perte, J'accepte volontiers toute autre peine offerte:
Mais pour t’oſter du cœur ces penſers ennuyeux, Obſerue la beauté de ces aymables lieux;	Mais pour t'ôter du cœur ces pensers ennuyeux, Observe la beauté de ces aimables lieux;
Vrayment cette prairie eſt vn charmant Theatre Que Flore & le Zephire ont choiſi pour s’esbatre, Et ce petit ruiſſeau ſemble vn criſtal fondu, Qu'à trauers cét eſmail nature a reſpandu, Afin d’entretenir deſſus ſes riues molles Vn ombrage eternel d'AliZiers & de Saulles;	Vraiment cette prairie est un charmant Théâtre Que Flore et le Zéphire ont choisi pour s'ébatre, Et ce petit ruisseau semble un cristal fondu, Qu'à travers cet émail nature a répandu, Afin d'entretenir dessus ses rives molles Un ombrage éternel d'AliZiers et de Saulles;
Cét arbre a quelques noms grauez toût à l’entour, Auec des doubles nœuds & des chiffres d’amour, Liſons;	Cet arbre à quelques noms gravés toût à l'entour, Avec des doubles nœuds et des chiffres d'amour, Lisons;
le beau Medor & la belle Angelique:	le beau Médor et la belle Angélique:
Suis-ie point abusé d’vn objet fantaſtique, Voyons à l’autre eſcorce, ô ciel!	Suis-je point abusé d'une objet fantastique, Voyons à l'autre écorce, ô ciel!
i’y treuue encor Comme par tout ailleurs, Angelique & Medor.	j'y trouve encor Comme par tout ailleurs, Angélique et Médor.
Ce ſont ieux de Bergers & de ieunes Bergeres;	Ce sont jeux de Bergers et de jeunes Bergères;
Mais ces noms ſont écrits enteitres eſtrangeres.	Mais ces noms sont écrits entitres étrangères.
Ce caractere Arabe aux Bergers non commun, Teſmoigne aſſeurément que ce n'en est pas vn:	Ce caractère Arabe aux Bergers non commun, Témoigne assurément que ce n'en est pas un:
Dieu ſur le front voüte de cette grotte ſombre Qui reçoit les Paſteurs & leurs troupeaux à l’ombre.	Dieu sur le front vite de cette grotte sombre Qui reçoit les Pasteurs et leurs troupeaux à l'ombre.
t ----O-------- Iſ-----u-eidQuelque nouuel écrit ſe laiſſe encore voir Fait auec du crayon en caractere noir.	toi --Ô- Is-là-eidQuelque nôtre écrit se laisse encore voir Fait avec un crayon en caractère noir.
Angelique & Medor.	Angélique et Médor.
–O ciel!	–O ciel!
le cœur me tremble, Plus i’obſerue ces mots, plus ie les lis de prés, Plus i’y voyd’Angelique, & la main & les traits:	le cœur me tremble, Plus j'observe ces mots, plus ie promis de près, Plus j'y voyd’Angélique, et la main et les traits:
Mais pourquoy me troubler peut-eſtre en cette ſorte, Elle a ſoinde couurir l’amour qu'elle me porte, Et par diſcretion cét eſprit excellent Sous ce nom de MMedor, veut parler de Roland.	Mais pourquoi me troubler peut-être en cette sorte, Elle a soinde couvrir l'amour qu'elle me porte, Et par discrétion cet esprit excellent Sous ce nom de MÉdor, veut parler de Roland.
Cette façon d’aymer ne m'eſt pas deſplaiſante:	Cette façon d'aimer ne m'est pas déplaisante:
Mais vne autre écriture à mes yeux ſe preſente.	Mais quelque autre écriture à mes yeux se présente.
STANCES DE MEDOR.	STANCES DE MEDOR.
O beau riuage!	Ô beau rivage!
ò viues fleurs!	Elle vives fleurs!
Beaux Aſtres de tant de couleurs, Herbes, plantes, fontaine, & toy grotteruſtique Où moy pauure Medor dans les bras d’Angelique, Temperant doucement du feu de ſes beaux yeux L’humide fraiſcheur de ton ombre, Ay gouſté des plaiſirs ſans nombre Que l’on ne gouſte point à la table des Dieux.	Beaux Astres de tant de couleurs, Herbes, plantes, fontaine, et toi grotterustique Où moi pauure Médor dans les bras d'Angélique, Tempérant doucement du feu de ses beaux yeux L'humide fraîcheur de ton ombre, Ay goûté des plaisirs sans nombre Que l'on ne goûte point à la table des Dieux.
O doux teſmoins de mes plaiſirs!	Ô doux témoins de mes plaisirs!
Ie ne puis qu'auec des deſirs, Des prieres, des vœux, des vers & des loüanges, Vous rendre les faueurs & les bienfaits eſtranges	Je ne puis qu'avec des désirs, Des prières, des vœux, des vers et des louanges, Vous rendre les faveurs et les bienfaits étranges
Que i’ay receus de vous par les mains de l’Amour:	Que j'ai reçus de vous par les mains de l'Amour:
Ie ſouhaitte donc que Zephire Iamais de vous ne ſe retire, Et que la ſeule Nymphe ayt icy ſon ſejour.	Je souhaite donc que Zéphire Jamais de vous ne se retire, Et que la seule Nymphe ait ici son séjour.
O funeſte écriture!	Ô funeste écriture!
ô malheureuſe veuë!	ô malheureuse vue!
O curioſité qui me bleſſe & me tuë!	Ô curiosité qui me blesse et me tue!
Ie ſens auec friſſon comme vne froide main Qui me preſſe le cœur, & me glacé le ſein:	Je sens était frisson comme une froide main Qui me presse le cœur, et me glacé le sein:
Vn riual toutesfois pour diffamer ma Dame, Ou me ietter la peſte & le venin dans l’ame, Pourroit auoir ourdy cette meſchanceté:	Un rival toutefois pour diffamer ma Dame, Ou me jeter la peste et le venin dans l'âme, Pourrait avoir ourdi cette méchanceté:
Mais quiconque l’a faite a ſi bien imité Et la main d’Angelique, & ſa façond’écrire, Q ue moy qui la connois n'y trouue rienà dire.	Mais quiconque l'a faite a si bien imité Et la main d'Angélique, et sa façond'écrire, Q ue moi qui la connais n'y trouve rienà -dire.
Voicy quelques Païſans qui m'eſclairciront bien La nuict de ce ſoubçon qui poßible n’eſt rien;	Voici quelques Païsans qui m'éclairciront bien La nuit de ce soubon qui pouvible n'est rien;
Hola, ho bonnes gens:	Hola, ho bonnes gens:
SCLIVEIE ROLAND, BERTRAND, BERENICE.	SCLIVEIE ROLAND, BERTRAND, BERENICE.
Bertrand, BERENICE.	Bertrand, BERENICE.
E E Guerrier nous appelle, BERTRAND.	 E Guerrier nous appelle, BERTRAND.
Allons à luy.	Allons à Seigneur.
ROLAND.	ROLAND.
Ma conſtance chancelle, de ctna à meſme temps, & noje menquerir D'vn mal dont le ſoubçon me fait deſia mourir.	Ma constance chancelle, de ctna à même temps, et nô quérir D'un mal dont le soubçon me fait déjà mourir.
BERENICE.	BERENICE.
Seigneur, que vous plaiſt-il?	Seigneur, que vous plaît-il?
BERTRAND.	BERTRAND.
Me ſçaurieZ-vous apprendre Qui n'aguere a graué ſur cette eſcorce tendre Ce nom de beau Medor, que nous voyons icy, Auez-vous des Bergers qui s'appellent ainſi?	Me sauriez-vous apprendre Qui n'aguère a gravé sur cette écorce tendre Ce nom de beau Médor, que nous voyons ici, Avez-vous des Bergers qui s'appellent ainsi?
BERTRAND.	BERTRAND.
Non, Seigneur, c’eſt le nom du Cheualier du mõnde En qui plus de bon-heur & plus de gloire abonde, C’eſt le nom d’vn ieune homme en beauté nompareil, Qui paſſant en ce lieu les ardeurs du Soleil, A mis auec ſon nom celuy de ſon Eſpouſe.	Non, Seigneur, c'est le nom du Chevalier du mournde En qui plus de bonheur et plus de gloire abonde, C'est le nom d'un jeune homme en beauté nompareil, Qui passant en ce lieu les ardeurs du Soleil, A mis auec son nom celui de son Espouse.
ROLAND.	ROLAND.
O Dieu!	Ô Dieu!
quelle tourmente a mon ame ialouſe.	quelle tourmente à mon âme jalouse.
Il eſt donc marié?	Il est donc marié?
BERTRAND.	BERTRAND.
Son hymen s’accomplit Dum impropre maiſon & dans mon propre lict:	Son hymen s'accomplit Dum impropre maison et dans mon propre lit:
Il eſt ſimple ſoldat, à ce qu’il dit luy-meſme;	Il est simple soldat, à ce qu'il dit M-même;
Mais ſa femme en Catay luy garde vn diadeſme, Elle eſt fille du Roy, comment l’appelle-t'on?	Mais sa femme en Catai homme garde un diadème, Elle est fille du Roi, comment l'appelle-t'-on?
Berenice, ayde-moy:	Berenice, aide-moi:
BERENICE.	BERENICE.
Corle Roy Galaffron.	Corle Roi Galaffron.
BERTRAND.	BERTRAND.
Iuſtement, c'eſt luy-meſme.	Justement, c'est lui-même.
ROLAND.	ROLAND.
O rage inſupportable!	Ô rage insupportable!
BERTRAND.	BERTRAND.
Et pour vous teſmoigner que ie ſuis veritable, Monſtre le bracelet qu'’à faute d’autre bien Elle s’oſta du bras pour l'attacher au tien.	Et pour vous témoigner que je suis véritable, Montre le bracelet qu'à faute d'autre bien Elle s'ôta du bras pour l'attacher au tien.
BERENICE.	BERENICE.
Il regarde le ciel, & change de viſage:	Il regarde le ciel, et change de visage:
O fureur!	Ô fureur!
ROLAND.	ROLAND.
BERENICE.	BERENICE.
Curbie (erenus enture enuantage.	Curbie (érenus enture envantage.
BERTRAND.	BERTRAND.
Suffit, i'y prendray garde.	Suffit, j'y prendrai garde.
ROLAND.	ROLAND.
Et ces nouueaux Eſpoux Sont-ils encor icy?	Et ces nouveaux Époux Sont-ils encor ici?
ſont-ils encor chez vous?	sont-ils encor chez vous?
BERTRAND.	BERTRAND.
Cette toute Angelique & celeſte merueille A pris depuis ſix iours la route de Marſeille, Et c’eſt en nous quittant qu’elle nous a donné Ce bracelet ſi riche & ſi bien façonné;	Cette toute Angélique et celeste merveille A pris depuis six jours la route de Marseille, Et c'est en nous quittant qu'elle nous a donné Ce bracelet si riche et si bien façonné;
BERENICE.	BERENICE.
Il n'eſt pas mal adroit:	Il n'est pas mal adroit:
BERTRAND.	BERTRAND.
Mais, Seigneur, ie vous pris D’accepter le couuert dans noſtre meſtairie, Cependant que ma femme ou mon petit garçon Prendra voſtre cheual qui paiſt dans ce buiſſon, Et le fera venir par deſſus la chaußée Repaſſer la meſme eau que vous auez paßée;	Mais, Seigneur, je vous pris D'accepter le couvert dans notre métairie, Cependant que ma femme ou mon petit garon Prendra votre cheval qui paît dans ce buisson, Et le fera venir par -dessus la chaussée Repasser la même eau que vous avez passée;
Car nos prezfleuriſſans ſont comme vous voyez Du coſté du chemin tous clos & foſſoyez, Pour ſauuer noſtre herbage autant qu’il eſt poßible.	Car nos prezfleurissans sont comme vous voyez Du côté du chemin tous clos et fossoyez, Pour sauver votre herbage autant qu'il est posible.
Et le rendre aux paſſans d’autant moins acceßible;	Et le rendre aux passants d'autant moins accesible;
Sans cela les cheuaux des Cheualiers errans Nous feroient tous les iours des dõmages tres-grans, Et ne trouueroient pas dedans nos eſcuries Ce que nous meſnageons en fermant nos prairies.	Sans cela les chevaux des Chevaliers errants Nous feraient tous les jours des donnages très-grans, Et ne trouveraient pas dedans nos écuries Ce que nous ménageons en fermant nos prairies.
BERENICE.	BERENICE.
Il ſonge ailleurs, Bertrand.	Il songe ailleurs, Bertrand.
BERTRAND.	BERTRAND.
Vous plaiſt-il donc, Seigneur, Laiſſer à mon logis cette marque d’honneur?	Vous plaît-il donc, Seigneur, Laisser à mon logis cette marque d'honneur?
ROLAND.	ROLAND.
Ie vous ſuis obligé de voſtre courtoiſie;	Je vous suis obligé de votre courtoisie;
Mais vn ſi grand chagrin trouble ma fantaiſie, Qu'abhorrant le repos autant que le repas, Ie tourne où la fortune adreſſera mes pas;	Mais un si grand chagrin trouble ma fantaisie, Qu'abhorrant le repos autant que le repas, Je tourne où la fortune adressera mes pas;
Adieu:	Adieu:
cette foreſt iuſqu’à tant que ie meure Sera ma noire hoſteſſe & ma triſte demeure.	cette forêt jusqu'à tant que demeure meure Sera ma noire hôtesse et ma triste demeure.
SCNENXIT.	SCNENXIT.
BERTRAND, BERENICE.	BERTRAND, BERENICE.
BERENICE.	BERENICE.
EThomme aſſeurément s’en va deſeſperé, On lit la ialouſie à ſon œil eſgaré:	EThomme assurément s'en va désespéré, On lit la jalousie à son œil égaré:
Et vous auez bien fait, remarquãt ſa triſteſſe, D'inuenter le depart de noſtre belle hoſteſſe, De tant d’Amans qu'elle a, ſans doute c’en eſt vn:	Et vous avez bien fait, remarquant sa tristesse, D'inventer le départ de notre belle hôtesse, De tant d'Amants qu'elle a, sans doute c'en est un:
Mais que voſtre diſcours me ſembloit importun, Quand vous luy preſeutiez la maiſon pour retraite.	Mais que votre discours me semblait importun, Quand vous lui presçutiez la maison pour retraite.
BERTRAND.	BERTRAND.
Ie luy faiſois exprés cette offre aſſez adroite, Afin qu'à ma franchiſe adiouſtant plus de foy, Il creust que nos Amans ne logeoient plus chez moy;	Je lui faisais exprès cette offre assez adroite, Afin qu'à ma franchise ajoutant plus de foi, Il crût que nos Amants ne logeaient plus chez moi;
