A PHILISTE	À PHILISTE
& comme ie laiſſe aux Praticiens & aux Notaires, à ſe laſſer les doigts ſur le papier.	et comme ici laisse aux Praticiens et aux Notaires, à se lasser les doigts sur le papier.
Pour moy i’aduouë franchement que ſi i’auois dix mileſcus de rente, i'en donnerois la moitié à vn Secretaire, pour m’exempter de mettre la main à la plume, auſſi il n’apartient qu’à vous à faire des lettres, que la poſterité lira apres nous;	Pour moi j'avoue franchement que si j'avais dix milescus de rente, j'en donnerais la moitié à un Secrétaire, pour m'exempter de mettre la main à la plume, aussi il n'appartient qu'à vous à faire des lettres, que la postérité lira après nous;
& dans leſquelles ſe trouuent des Panegyriques, des Apologies des accuſations, & des diſcours de polytique.	et dans lesquelles se trouvent des Panégyriques, des Apologies des accusations, et des discours de polytique.
LE DOCTEVR.	LE DOCTEUR.
Tout beau Monſieur, tout beau le ſerois fort heureux ſi tout le monde auoit la meſme opinion que vous, i’ay pourtant grand peur que vous ne ferez point pour cette fois de party qui ſoit ſoit ſuiuy de tant de gens que la ligue, & ſi tous ceux qui ne ſeront pas de c’eſt aduis eſtoient declarez criminels, il n’y auroit gueres d’innocens en ce Royaume, en tout cas ie vous ay beaucoup d’obligation de me donner ſi liberalement ce que vous ſçauez qui me manque, & d’employer toutes vos couleurs, & tout voſtre fard, pour me faire trouuer beau, ie n’ay garde de m’offenſer iamais d’vn homme qui me flatte, & puis qu’vn Gentil homme en Almagne prend plaiſir qu’on luy die qu’il eſt Prince de l’Empire, & que ceux qui n’ont pas les veritables biens ſe con–– ſolent auec des tiltres, & des armoiries;	Tout beau Monsieur, tout beau le serais fort heureux si tout le monde avait la même opinion que vous, j'ai pourtant grand peur que vous ne ferez point pour cette fois de parti qui soit soit uivi de tant de gens que la ligue, et si tous ceux qui ne seront pas de c'est avis étaient déclarez criminels, il n'y aurait guère d'innocents en ce Royaume, en tout cas ie vous ay beaucoup obligation de me donner si libéralement ce que vous savez qui me manque, et d'employer toutes vos couleurs, et tout vôtre couleurs, pour monde faire trouver beau, je n'ai garde de m'offenser jamais d'un homme qui me flatte, et puis qu Gentil homme en Almagne prend plaisir on lui die 'il est Prince de Empire, et que ceux qui ont pas les véritables bien se con–– solent a des tiltres, et des armoiries;
par la meſme raiſon, ie puis m’imaginer d’eſtre celuy que vous voulez,	par la même raison, je puis m'imaginer d'être celui que vous voulez,
Mais laiſſons tout cela, prenés vous bien la peine de faire tenir les lettres que ie vous adreſſois pour ma maiſtreſſe, le ſeul & vnique moyen qui me reſtoit de m’aprocher de ſa perſonne:	Mais laissons tout cela, prenezez vous bien la peine de faire tenir les lettres que je vous adressais pour ma maîtresse, le seul et unique moyen qui me restait de m'approcher de sa personne:
HYDASPE.	HYDASPE.
Et quoy ceſt amour dure-il encores.	Et quoi cest amour dure-il encore.
LE DOCTEVR.	LE DOCTEUR.
Plus que iamais cher Hydaſpe.	Plus que jamais cher Hydaspe.
OIU CHO HYDASPE.	OI CHO HYDASPE.
14161 12005 lmII.	14161 12005 lmII.
Eſt-il poſſible que cent lieuës de neige, & pour le moins deux cens villes entr’elle, & vous, n’ayent point ſçeu vous en faire perdre la memoire, & vos ſouſpirs ne ſe laſſoient-il point de faire quatre cens lieux tous les iours.	Est-il possible que cent lieues de neige, et pour le moins deux cens villes entr'elle, et vous, n'aient point su vous en faire perdre la mémoire, et vos soupirs ne se lassaient-il point de faire quatre cens lieux tous les jours.
uindoli Iame.	uindoli Iame.
LE DOCTEVR.	LE DOCTEUR.
{or MHd Quand bien la moitié du monde, voire ces hautes montagnes au deſſous deſquelles ſe forment les orages & le Tonnerre, nous euſſent ſeparez l’vn de l’autre, ie veux que tu croye qu'elle eſtoit touſiours auſſi preſente à mon eſprit, que les onioutomelmes qui touchoient à mes yeux, les riuieres, les campagnes & les villes auoient beau s’oppoſer au paſſage de mes ſouſpits, & de mes plaintes, elles ne ſçauroient m’empeſcher de m’entretenir auec elle, pour le moins de l’eſprit & de la pẽſee:	 Quand bien la moitié du monde, voire ces hautes montagnes au dessous desquelles se forment les orages et le Tonnerre, nous eussent séparés l'Un de l'autre, je veux que tu croie qu'elle était toujours aussi présente à mon esprit, que les onioutomelmes qui touchaient à mes yeux, les rivières, les campagnes et les villes avaient beau s'opposer au passage de mes souspits, et de mes plaintes, elles ne sauraient m'empêcher de m'entretenir auec elle, pour le moins de l'esprit et de la pensée:
mais crois-tu qu’elle en face de meſme pour mon regard.	mais crois-tu qu'elle en face de même pour mon regard.
16	16
41 HYDASPE.	41 HYDASPE.
1100 Ie vous aduouë bien la verité que ie n’y ay peu rien reconnoiſtre;	1100 Je vous avoue bien la vérité que ici n'y ai pu rien reconnaître;
vous ſçauez que les filles de ce pays ne ſçauent dire, que ouy & non, & ſont trop grolſieres pour eſtre trompees par vn habille homme, au reſte ie ne crains que le Paladin.	vous savez que les filles de ce pays ne savent dire, que oui et non, et sont trop grolières pour être trompe par un habille homme, au reste rien ne crains que le Paladin.
Ce Capitan que vous connoiſſez ne ſe ſoit gliſſé trop auant dans les bonnes graces de voſtre maiſtreſſe, voire plus que de raiſon, il eſt bien vray que poſſible l’intention des filles de ceſte ſorte n’eſt autre en faiſant l’amour que de faire des ſeruiteurs, a Dieu.	Ce Capitan que vous connaissez ne se soit glissé trop avant dans les bonnes grâces de votre maîtresse, voire plus que de raison, il est bien vrai que possible l'intention des filles de cette sorte n'est autre en faisant l'amour que de faire des serviteurs, à Dieu.
281	281
LE DOCTEVR.	LE DOCTEUR.
A propos du Paladin, leſne-il touſiours ſi genereuſement qu’il ſouloit, prend il touſiours des villes à table, ne fait il plus des deſſeins d’outre mer en en la ruelle de ſon lict, il eſt vray que i’ay fait vne partie du voyage auec lui, la compagnie duquel ie mettray toute ma vie au nombre de mes mauuaiſes fortunes, il vouloit reformer toutes les fortifications des places qui ſe trou.	À propos du Paladin, lesne-il toujours si généreusement qu'il soûlait, prend il toujours des villes à table, ne fait il plus des desseins d'outre mer en en la ruelle de son lit, il est vrai que j'ai fait un partie du voyage auec lui, la compagnie duquel Ne mettrai toute ma vie au nombre de mes mauvaises fortunes, il voulait réformer toutes les fortifications des places qui se trou.
uoient en chemin, il ne voyoit point de terre qu’il ne remuaſt, ny de montagnes ſur laquelle il ne baſtiſt quelque deſſein, il attaqua toutes les villes de Florence, il ne voulut que tant de temps pour prendre celle de l’Eſtat de Parme, de Modene, & d'Vrbin, & i’eus biẽ de la peine à l’ẽpeſcher de toucher aux terres de l’Egliſe & au patrimoine de S.	Çuaient en chemin, il ne voyait point de terre qu'il ne remuât, Seigneur de montagnes sur laquelle il ne bât quelque dessein, il attaqua toutes les villes de Florence, il ne voulut que tant de temps pour prendre celle de l'État de Parme, de Modene, et d'Vrbin, et j'eus bien de la peine à l'ẽpescher de toucher aux terres de l'Église et au patrimoine de S.
Pierre, apres tout cela pendant que les autres ſont à la guerre, il paſſe ſon temps auec les Dames, s’il continuë de la ſorte, il prendroit pluſtoſt la verolle que Montaubad, ſi me faſcheroit-il bien pourtant que c’eſt homme quel qu’il fuſt, me trauerſaſt en mes amours, & qu’il me derobaſt les bonnes graces de ma maiſtreſſe.	Pierre, après tout cela pendant que les autres sont à la guerre, il passe son temps avec les Dames, s'il continue de la sorte, il prendrait plutôt la vérole que Montaubad, si me fâcherait-il bien tôt que c'est homme quel qu'il fût, me traversât en mes amours, et qu'il me dérobât les bonnes graces les ma maîtresse.
HYDASPE.	HYDASPE.
Il eſt vray que vous faites de ſi bonnes & belles eſlections en vos amours que vous n’y ſçauriez faire de petites pertes, mais ie vous veux bien aduertir d’vne choſe, c’eſt que pendant voſtre abſence, i’ay eu de grands combats & de fortes querelles pour vous defendre, & voſtre eloquẽce qui a eſté comme cette belle Heleine, la cauſe de beaucoup de ligues & de diſſentions entre les eſprits de ce temps.	Il est vrai que vous faites de si bonnes et belles élections en vos amours que vous n'y sauriez faire de petites pertes, mais encore vous veux bien avertir d'une chose, c'est que pendant votre absence, j'ai eu de grands combats et de fortes querelles pour vous défendre, et votre éloquence qui a été comme cette belle Hèleine, la cause de beaucoup de ligues et de disentions entre les esprits de ce temps.
LE DOCTEVR.	LE DOCTEUR.
2 *Puis qu’il y a eu des hommes qui ont veu des taches dans le Soleil, apres cela que peut il y auoir au monde de ſi beau & bon contre qui il n’y ait à diſputer & de mauuaiſes raiſons à dire, mais encores que remaquoient-ils parriculierement.	2 *Puis qu'il y a eu des hommes qui ont vu des taches dans le Soleil, après cela que peut il y avoir au monde de si beau et bon contre qui il n'y ait à disputer et de mauvaises raisons à dire, mais encore que remaquaient-ils parriculièrement.
HYCASPE.	HYCASPE.
Que vous tiriez les choſes vn peu NURPANO	Que vous tiriez les choses un peu NURPANO
LEDOCTEVR.	LÉDOCTEUR.
A Il faut bien faire deux mille lieuës pour amener en Eſpagne les threſors de l’Amerique, & les perles laiſſentelles pour cela d’eſtre belles, pour ce qu’elles ne naiſſent pas au bord de la Seyne, & qu’il les faut aller querir aux Indes:	A À faut bien faire deux mille lieues pour amener en Espagne les trésors de l'Amérique, et les perles laissentelles pour cela d'être belles, pour ce qu'elles ne naissent pas au bord de la Seyne, et qu'il les faut aller quérir aux Indes:
que ſi quelqu’vn me condamne pour ce que ie fais, il me ſuffit de n’eſtre pas de ſo aduis, qui eſt ſi contraire au bon, & au pis aller, ie m’en remets à ce que m’en vient de dire mon Philandre, il y a long-temps que i’ay apris de luy que iauois paſſé tous les autres qui s’en ſont meſlez, & ie veux auoir la meſme opinion de peur de luy contredire, pluſtoſt que d’adiouſter foy aux fables de trois ou quatre faiſeurs de Romans, mais apres tout, i'’ay bien des remercimens à vous faire, le ſoing que vous auez de m’obliger, va au deuant de tout ce que ie pourrois deſirer, vous auez tenu mon party en vn temps ou tout le monde m’eſtoit contraire, & il ſembloit que vous preniez plaiſir devous perdre en ma compagnie vous rendant compagnon de ma mauuaiſe fortune, & puis ne doitie pas à voſtre teſmoignage toute l’opinion que ma Maiſtreſſe peut auoir de moy, & ſi elle s’imagine que ievaux quelque choſe;	que si quelqu'amour me condamne pour ce que je fais, il me suffit de n'être pas de so aduis, qui est si contraire au bon, et au pis aller, je m'en remets à ce que m'en vient de dire mon Philandre, il y a longtemps que j'ai apis de jours que iauois passé tous les autres qui s'en sont mêlés, et et fait avoir la vôtre opinion de peur de même contredire, plutôt que d'ajouter foi et pleins de trois ou quatre faiseurs de Romans, mais après tout, j'ai bien des remerciments à vous faire, le soin que vous avez que vou, avez au devant de tout ce que ie pourrois désirer, vous avez ave mon avez a temps ou a le monde estoit ave, et a vez a vous preniez plaisir au perdre en ma a vous rendant a de ma ave fortune, et puis ne doitie pas a vôtre témoignage toute opinion que ma Maistresse peut a de moi, et si elle imagine que au quelque chose;
N’eſt ce pas vous qui donnez du prix à mes defauts, & qui m’aydez à la tromper, mais de quelque façon que vous me peuſſiez auoir gaigné ſes bonnes graces, ſoit qu’en cela vous ayez fait vn larcin ou vne acquiſition ie veux tenir de vous tout mon bien & mon bon heur.	N'est ce pas vous qui donnez du prix à mes défauts, et qui m'aidez à la tromper, mais de quelque façon que vous me pussiez avoir gagné ses bonnes grâces, soit qu'en cela vous ayez fait larcin ou une acquisition ieveux tenir de vous tout mon bien et mon bon heur.
Adieu voyla la cloche du Sermon qui nous appelle il faut que noſtre contentement cede à noſtre deuoir, adieu Hydaſpe.	Adieu voilà la cloche du Sermon qui nous appelle il faut que notre contentement cède à notre devoir, adieu Hydaspe.
110	110
HYDASPE.	HYDASPE.
Adieu Monſieur.	Adieu Monsieur.
ECOND ACTE.	ECOND ACTE.
.	.
1o 2 71972 2 1 SCENE PREMIERE.	1o 2 71972 2 1 SCÈNE PREMIÈRE.
n19 cu soni oi q 14.	n19 cv soni oi q 14.
te Patauen, & atanure jon camarade.	te Pataven, et atanure jon camarade.
L1	L1
1101 LE PALADIN.	1101 LE PALADIN.
ah un i or HHEGH luoj 2u al nliema Ea ’En eſt fait (cher Alcandre) i'ay perdu cette liberté que les Venitiens ont ſi chere, & pour laquelle il y a cinquante ans que les Hollandois font la guerre au Roy d’Eſpagne.	ah un y or HHEGH luoj al nu aliema Ea 2uEn est fait (cher Alcandre) j'ai perdu cette liberté que les Venitiens ont si chère, et pour laquelle il y a cinquante ans que les Hollandais font la guerre au Roi d'Espagne.
