ALANCuENERe	ALANCuENERée
ſi i’ay merité la mienne, luy dis-je, ie ſerois injuſte de m’en plaindre, & ſi ie n’en ſuis pas coulpable, ie ſuis aſſez ſage pour la meſpriſer, ne croy point que la ioye qui me reſte en cét accident, ſoit d’aucũ eſtourdiſſemẽt, ie cognois bien que ie ſuis ſorty de Paris, que le Roy le veut, que mes ennemis en ſont aiſes, que ie pers la preſence de mes amis, & qu’en ſuitte leur affection ne me durera guere, car ils ſont hõmes & courtiſans, à cela voicy mon remede.	si j'ai mérité la mienne, lui dis-je, que serois injuste de m'en plaindre, et si ie n'en suis pas coulpable, ils suis assez sage pour la mépriser, ne crois point que la joie qui me reste en cet accident, soit d'aucu estourdissemẽt, ie connais bien que tu suis sorti de Paris, que le Roi le veut, que mes ennemis en sont aises, que ie pers la présence de mes Amis, et qu'en suitte leur affection ne me durera guère, car ils sont hõmes ils courtisans, à cela voici mon remède.
Ie ne taſcheray point de reuenir à la Cour:	Je ne tâcherai point de revenir à la Cour:
mais a m’en paſſer, & au lieu de rẽtrer dãs la grace du Roy, ie penſeray a m’oſter de ſa memoire, ie m’efforceray d’oublier mes amis, car s’ils ſont fideles, ils me le pardonneront, & s’ils ne m’ai20 ment guere i’auray le plaiſir d’auoir preuenu leur infidelité, & ſeray bien-ayſe, d’autant que ie les ayme de me rendre coulpable pour les ſauuer de ce blaſme.	mais a m'en passer, et au lieu de rẽtrer dans la grâce du Roi, Seigneur penserai a m'ôter de sa mémoire, je m'efforcerai d'oublier mes amis, car s'ils sont fidèles, ils me le pardonneront, et s'ils ne m'ai20 ment guère j'aurai le plaisir d'avoir prévenu leur infidélité, et serai biense, d'autant que ie les aime de me rendre couvlpable pour les sauver de ce blâme.
Il me de bonne ſorte, il faut auoir de la paſſion non ſeulement pour les hommes de vertu, pour les belles femmes:	Il me de bonne sorte, il faut avoir de la passion non seulement pour les hommes de vertu, pour les belles femmes:
mais auſſi pour toute ſorte de belles choſes.	mais aussi pour toute sorte de belles choses.
I’ayme vn beau iour, des fontaines claires, l’aſpect des montaignes, l’eſtenduë d’vne grande plaine, de belles foreſts, l’Ocean, ſes vagues, ſon calme, ſes riuages:	J'aime un beau jour, des fontaines claires, l'aspect des montagnes, l'étendue d'une grande plaine, de belles forêts, l'Océan, ses vagues, son calme, ses rivages:
l’ayme encore tout ce qui touche plus particulierement les ſens, la Muſique, les fleurs, les beaux habits, la chaſſe, les beaux cheuaux, les bonnes odeurs, la bonne chere:	l'aime encore tout ce qui touche plus particulièrement les sens, la Musique, les fleurs, les beaux habits, la chasse, les beaux chevaux, les bonnes odeurs, la bonne chère:
mais à tout cela mon deſir ne s’attache que pour ſe plaire, & non point pour ſe trauailler, lors que l’vn ou l’autre de ces diuertiſſements occupent entierement vne ame, cela paſſe d’affection en fureur & brutalité;	mais à tout cela mon désir ne s'attache que pour se plaire, et non point pour se travailler, lors que l'un ou l'autre de ces divertissements occupent entièrement une âme, cela passe d'affection en fureur et brutalité;
la paſſion la plus forte que ie puiſſe auoir ne m’engage iamais au point de ne la pouuoir quitter dans vn iour, ſi i’ayme, c’eſt autant que ie ſuis aymé, & comme la Nature, ny la Fortune ne m’ont pas donné beaucoup de parties à plaire, ceſte paſſion ne m’a iamais gueres continué ny ſon plaiſir ny ſa peine.	la passion la plus forte que je puisse avoir ne m'engage jamais au point de ne la pouvoir quitter dans un jour, si j'aime, c'est autant que je suis aimé, et comme la Nature, ni la Fortune ne m'ont pas donné beaucoup de parties à plaire, cette passion ne m'a jamais guère continué ni son plaisir quelque peine.
Ie me tiens plus aſprement à l’eſtude & à la bõne chere qu’à tout le reſte.	Je me tiens plus âprement à l'étude et à la bonne chère qu'à tout le reste.
Les Liures m’õt laſſé quelquesfois:	Les Livres m'ont lassé quelquefois:
mais ils ne m’õt iamais eſtourdi, & le vin m’a ſouuent reſiouy:	mais ils ne m'ont jamais étourdi, et le vin m'a souvent réjoui:
mais iamais enyuré, la deſbauche des fẽmes & du vin faillit à m’ẽpieter auſortir des eſcholes:	mais jamais enivré, la débauche des femmes et du vin faillit à m'enpiéter aussiortir des écholes:
car mon eſprit vn peu precipité auoit franchi la ſubiection des precepteurs, lors que mes mœurs auoient encore beſoin de diſcipline.	car mon esprit un peu précipité avait franchi la subiection des précepteurs, lors que mes mœurs avaient encore besoin de discipline.
Mes compagnons auoient plus d’âge que moy:	Mes compagnons avaient plus d'âge que moi:
mais non pas tant de liberté.	mais non pas tant de liberté.
Ce fut vn pas bien dangereux à mon ame que ceſte premiere licence qu’elle trouua apres les contraintes de l’eſtude.	Ce fut un pas bien dangereux à mon âme que cette première licence qu'elle trouva après les contraintes de l'étude.
Là ie m’allois plonger dans le vice qui s’ouuroit aſſez fauorablement à mes jeunes fantaiſies:	Là grande m'allais plonger dans le vice qui s'ouvrait assez favorablement à mes jeunes fantaisies:
mais les empeſchements de ma Fortune deſtournerent mon inclination, & les trauerſes de ma vie ne donnerent pas le loiſir à la volupté de me perdre, depuis inſenſiblement mes deſirs les plus libertins ſe ſont attiedis auecques le ſang, & leur violence s’eſuanouïſſant tous les iours auecques l’âge me promet d’oreſnauant vne trãquilité bien aſſeurée, ie n’ayme plus tant ny te aux voluptés les plus ſecrettes auec beaucoup de mediocrité.	mais les empêchements de ma Fortune détournèrent mon inclination, et les traverses de ma vie ne donnèrent pas le loisir à la volupté de me perdre, depuis insensiblement mes désirs les plus libertins se sont attiédis après le sang, et leur violence s'esuanouïssant tous les jours avec l'âge me promet d'oresnauant une trãquilité bien assurée, pleins n'aime plus tant rien te aux voluptés les plus secrètes avec beaucoup de médiocrité.
Tout à coup Sydias à qui le moindre bruit interrompoit le ſommeil nous chanta tout haut ce Vers de Virgile, Nec Veneris, nec tu vini capiaris amore.	Tout à coup Sydias à qui le moindre bruit interrompait le sommeil nous chanta tout haut ce Vers de Irgile, Néc Enceris, ne t' ini capiaris amore.
Il croit, dict Clitiphon, auoir tresbien rencontré, C’eſt le plus orgueilleux Pedan qui ſoit en ſon meſtier, nous allaſmes à luy & le trouuaſmes encore dans ſon lict:	Il croit, dit Clitiphon, avoir tresbien rencontré, C'est le plus orgueilleux Pedan qui soit en son métier, nous allâmes à lui et le trouvâmes encore dans son lit:
Nunquid ( nous dit-il ) excepistis quem in tranſuerſum parietem vobis vibraui verſum, potuitne opportuniùs laudari, fort bien, luy dit Clitiphon:	Nunquid ( nous dit-il ) excepîtis quem in transuers pariétem vobis vibravi vers, potuitne opportuniùs laudari, fort bien, ainsi dit Clitiphon:
mais habillez-vous donc & nous allons vn peu promener dans ce iardin attendant à desjeuner.	mais habillez-vous donc et nous allons un peu promener dans ce jardin attendant à déjeuner.
Sydias reſpondit qu’il s’habilleroit, & des-jeuneroit quand nous voudrions:	Sydias répondit qu'il s'habillerait, et déjeûnerait quand nous voudrions:
mais qu’il ne ſe promeneroit point, & que non poterat ſatis laudari Turcarum mos, penes quos ambulationes huiuſmodi ſine conſilio pro ridiculis habebantur, & en ſuitte de cela il nous eut eſtourdis de ſon Latin:	mais qu'il ne se promènerait point, et que non poterat satî laudari Turcarum mos, pênes quos ambulationes huiusmodi sine consilio pro ridiculis habebentur, et en suite de cela il nous eut étourdis de son Latin:
mais nous ſortiſmes de là Clitiphon & moy pour aller voir ce iardin que l’hoſte entretenoit aſſez curieuſement.	mais nous sortîmes de là Clitiphon et moi pour aller voir ce jardin que l'hôte entretenait assez curieusement.
CHAP.	CHAP.
III.	III.
2 4 ’Abord Clitiphõ faillit à paſmer de l’odeur des Rozes que l nous trouuaſmes en abondance dés l’entrée du jardin, & ſe 33 & ſe portant la main au viſage le nez bouché, & les yeux clos, il fit cinq ou ſix pas fort viſte pour s’oſter d’aupres du rozier, ie croyois que c’eſtoit vne feinte, ou quelque fantaiſie delicate d’vn eſprit foible, iuſqu’à ce que l’ayant veu paſle & preſque deffaillant, ie cogneus que c’eſtoit vne tache en ſon naturel, comme ilſe trouue en des choſes sẽblables, quelques ames ombrageuſes en beaucoup d’obiects, il y en a quiſont malades à voir des ceriſes, d’autres pour regarder du vin.	2 4 ABord Clitiphõ faillit à pâmer de l'odeur des Rozes que l' était âmes en abondance dès l'entrée du jardin, et se 33 et se portant la main au visage le nez bouché, et les yeux clos, il fit cinq ou six pas fort vite pour s'ôter d'auprès du rozier, je croyais que c'était une feinte, ou quelque fantaisie délicate d'un esprit faible, jusqu'à ce que l'ayant veu le et presque défaillant, ie cogneus et prestoit dé tachelan son naturel, comme 'était un des yeux tache, en son ombrageuses en son nature, il omme il quisont malades en des choses, autres pourmme du à.
Ie n’ay Dieu mercy aucune de ces mignardiſes en mon appétit, comme auſſi ie me trouue touſiours auec antipathio & horreur aux ſerpens, aux rats, aux vers, & à toute ſorte de ſaleté & de pourriture.	Je n'ai Dieu merci aucune de ces mignardises en mon appétit, comme aussi mis me trouve toujours avec antipathio et horreur aux serpens, aux rats, aux vers, et à toute sorte de saleté et de pourriture.
Ie ne repaſſerois point par là, dit Clitiphon 14 deuſſe-je ſauter ces paliſſades, ſuisje pas malheureux d’vne ſi ſotte debilité de cerueau, il n’y a point de poiſon pour moy comme celuy-là, i’ayme bien les œillets, les violettes, ie ſouffre toute ſorte de parfums, mais ſi i’approche des rozes, tous mes ſentimens me quittent à coup, ceſte fleur, luy dis-je, c’eſt l'haleine de voſtre mauuais Ange qui vous enſorcele, & vous donne des conuulſions d’vn Demoniaque, les yeux vous ont torné, vous auez grincé les dents & ouuert les leures, auec des grimaſſes toutes pareilles à celles de la fille Obſedée que ie vis dernierement.	Je ne repasserais point par là, dit Clitiphon 14 dusse-je sauter ces palissades, suisje pas malheureux d'une si sotte de de cerveau, il n'y a point de poison pour moi comme celui-là, j'aime bien les œillets, les violettes, Seigneur souffre toute sorte de parfums, mais si j'approche des rozes, tous mes sentiments me quittent à coup, cette fleur, mais dis-je, c'est l'haleine de votre mauvais Ange qui vous ensorcelé, et vous donne des convulsions d'vn Demoniaque, les yeux vous ont torné, vous auez on les dents et ouuert les lèvres, auec des grimasses toutes pareilles celles de la fille Obsedée que ie vis dernièrement,
Ie n’ay point d’autre diable que ceſte odeur là, dit Clitiphon, mais ſi vous m’aymez faictes moy le conte de ceſt' aduanture:	Je n'ai point d'autre diable que cette odeur là, dit Clitiphon, mais si vous m'aimez faites moi le conte de cet aventure:
car on dit qu’elle fut plaiſante, ie ne m’en ſuis pas bien ozè reſiouïr de peur qu’elle ne fut fauſſe, & puis que vous auez la reputation d’eſtre exactement veritable iuſques aux moindres choſes, apprenez moy côment tout s’eſt paſſé, afin que ie m’oſe aſſeurer de le bien ſçauoir.	car on dit qu'elle fut plaisante, Seigneur ne m'en suis pas bien ozè réjouir de peur qu'elle ne fut fausse, et puis que vous avez la réputation d'être exactement véritable jusques aux moindres choses, apprenez moi côment tout s'est passé, afin que Dieu m'ose assurer de le bien sçauoir.
Voicy, luy diſ-je tout ce qui en eſt.	Voici, Seigneur dis-je tout ce qui en est.
Le bruit de ceſt accident alarmoit deſ-ja tout le pays, & les plus incredules ſe laiſſoient vaincre au raport d’vne infinité de gens de bien, qui croyoient auoir veu veritablement des effects par deſſus les forces de la nature en la perſonne de ceſte fille là.	Le bruit de cet accident alarmait des-jà tout le pays, et les plus incrédules se laissaient vaincre au rapport d'une infinité de gens de bien, qui croyaient avoir vu véritablement des effets par -dessus les forces de la nature en la personne de cette fille là.
Ie me trouuay par occaſion dans lã ville, où deſ-ja long temps auparauant elle faiſoit ſon ieu, & comme on me tient d’vn naturel à ne croire pas facilement les impoſſibilitez, deux de mes amis pour conuaincre les doutes que i’auois la deſſus, me preſſerent de l’aller voir auec promeſſe de ſe deſabuſer ſi au ſortir de là, ie ne me trouuois de leur opinion, elle eſtoit logée aſſez pres des murailles de la ville dans vne meſchante maiſon où vn Preſtre la venoit exorcizer reglement deux fois la ſepmaine.	Je me trouvai par occasion dans l' ville, où déjà long temps auparavant elle faisait son jeu, et comme on me tient d'un naturel à ne croire pas facilement les impossibilités, deux de mes amis pour convaincre les doutes que j'avais la dessus, me pressèrent de l'aller voir auec promesse de se désabuser si au sortir de là, je ne me trouvais de leur opinion, elle était logée assez pres des murailles de la ville dans une ma maison vn Prêtre la venait exorciéser règlement deux fois la semaine.
Vne femme fort vieille & deux petits enfans eſtoient inſeparablement aupres d’elle, ce qui me donna la premiere coniecture de la tromperie:	Une femme fort vieille et deux petits enfants étaient inséparablement auprès d'elle, ce qui me donna la première conjeture de la tromperie:
car d’abord que ie vis dans ſa chambre que le ſexe & l’âge le plus foible & le plus timide viuoient en ſeureté aupres de ce diable, ie iugeay qu’il n’eſtoit pas des plus mauuais.	car d'abord que je vis dans sa chambre que le sexe et l'âge le plus faible et le plus timide vivaient en sûreté auprès de ce diable, je veugeai qu'il n'était pas des plus mauvais.
