A PARIS,	À PARIS,
Raconte-moy, Soſie vn tel euenement.	Raconte-moi, Sosie un tel événement.
Ie le veux bien, Madame, & ſans m’enfler de gloire, Du détail de cette victoire Ie puis parler tres-ſçauamment.	Je le veux bien, Madame, et sans m'enfler de gloire, Du détail de cette victoire Je puis parler très-sçauamment.
Figurez-vous donc que Telebe, Madame, eſt de ce coſté C’eſt vne Ville en verité, Il marque les lieux Auſſi grande quaſi que Thebe.	Figurez-vous donc que Télèbe, Madame, est de ce côté C'est une Ville en vérité, Il marque les lieux Aussi grande quasi que Thebe.
ſur ſa main, La Riuiere eſt comme là.	sur sa main, La Rivière est comme là.
Icy nos gens ſe comparent :	Ici nos gens se comparent :
Et l’eſpace que voilà, Nos ennemis l’occuperent.	Et l'espace que voilà, Nos ennemis l'occupèrent.
Sur vn haut, vers cét endroit, Eſtoit leur Infanterie;	Sur un haut, vers cet endroit, Était leur Infanterie;
Et plus bas du coſté droit Eſtoit la Caualerie.	Et plus bas du côté droit Était la Cavalerie.
ou à terre.	ou à terre.
Aprés auoir aux Dieux adreſſé les prieres Tous les Ordres donnez on donne le ſignal.	Après avoir aux Dieux adressé les prières Tous les Ordres donnés on donne le signal.
Les Ennemis penſant nous tailler des croupieres, Firent trois pelotons de leurs gens à chctial;	Les Ennemis pensant nous tailler des croupières, Firent trois pelotons de leurs gens à chtial;
Et vous allez voir comme quoy.	Et vous allez voir comme quoi.
Voilà noſtre auant-garde, à bien faire animée;	Voilà votre avant-garde, à bien faire animée;
Là les Archers de Creon noſtre Roy;	Là les Archers de Creon notre Roi;
Et Voicy le Corps d’Armée, Qui d’abord.	Et Voici le Corps d'Armée, Qui d'abord.
Attendez le Corps d’Armée 2 peur.	Attendez le Corps d'Armée 2 peur.
I’entens quelque bruit ce me ſemble.	J'entends quelque bruit ce me semble.
On fait vn peu de bruit.	On fait un peu de bruit.
MERCVRE, ſous la forme de Soſie.	MERCURE, sous la forme de Sosie.
Ous ce mi nois, qui luy reſſemble, O Chaſſons de ces lieux ce cauſeur;	Ous ce mi nois, qui lui ressemble, Ô Chassons de ces lieux ce causeur;
Dont l’abord importun troubleroit la douceur Que nos Amans goûtent enſemble.	Dont l'abord importun troublerait la douceur Que nos Amans goûtent ensemble.
SOSIE.	SOSIE.
Mon Cœur tant ſoit peu ſe raſſure;	Mon Cœur tant soit peu se rassure;
Et je penſe que ce n’eſt rien.	Et je pense que ce n'est rien.
Crainte pourtant de ſiniſtre auanture, Allons chez nous acheuer l’entretien.	Crainte pourtant de sinistre aventure, Allons chez nous achever l'entretien.
MERCVRE.	MERCURE.
Tu ſeras plus fort que Mercure, Ou je t’en empecheray bien.	Tu seras plus fort que Mercure, Ou je t'en empêcherai bien.
SOSIE.	SOSIE.
Cette nuit, en longueur, me ſemble ſans pareille:	Cette nuit, en longueur, me semble sans pareille:
Il faut depuis le temps que je ſuis en chemin, Ou que mon Maiſtre ait pris le ſoir pour le mitin ----- ------ Ou que trop tard au lict le blond Phebus ſommeille, Pour auoir trop pris de lon vin.	Il faut depuis le temps que je suis en chemin, Ou que mon Maître ait pris le soir pour le mitin -à- --Dix -dix -vis -lard au lit le blond Phebus sommeille, Pour avoir trop pris de lon vin.
MERCVRE.	MERCURE.
Comme auec irreuerence Parle des Dieux ce Maraut?	Comme a irreuerence Parle des Dieux ce Maraud?
Mon bras ſçaura bien tantoſt Châtier cetté inſolence;	Mon bras Saura bien tôt Châtier cetté insolence;
Et je vais m'egayer auec Iuy comme nfaut, En luy volant ſon nom, auec ſa reſſemblance.	Et je vais m'égayer avec Jui comme nfaut, En tu volant son nom, avec sa ressemblance.
SOSIE.	SOSIE.
Ah!	Ah!
par ma foy, j’auois raiſon !	par ma foi, j'avais raison !
C’eſt fait de moy, chetiue creature.	C'est fait de moi, chétive créature.
Ie voy deuant noſtre maiſon, Certain homme dont l’encolure Ne me preſage rien de bon.	Je vois devant notre maison, Certain homme dont l'encolure Ne me présage rien de bon.
Pour faire ſemblant d’aſſurance Ie veux chanter vn peu icy.	Pour faire semblant d'assurance Je veux chanter un peu ici.
Jl chante;	Il chante;
& lors que Mercure parle, ſa voix s’affoiblit peu à peu.	et lors que Mercure parle, sa voix s'affaiblit peu à peu.
MERCVRE.	MERCURE.
Qui uone ent-ce Coquin, qui prenu tant de licence, Que de chanter, & m’etourdir ainſi?	Qui Que ent-ce Coquin, qui prenu tant de licence, Que de chanter, et m'étourdir ainsi?
Veut-il qu’à l’étriller, ma main vn peus’aplique?	Veut-il qu'à l'étriller, ma main un pus'applique?
SOSIE.	SOSIE.
Cét homme, aſſurement n’ayme pas la Muſique,	Cet homme, assurément n'aime pas la Musique,
MERCVRE.	MERCURE.
Depurs plus d’vne femaine, Ie n’ay trouué perſonne à qui rompre les os.	Dépurs plus d'une semaine, Je n'ai trouvé personne à qui rompre les os.
La vertu de mon bras ſe perd dans le repos;	La vertu de mon bras se perd dans le repos;
Et je cherche quelque dos, Pour me remettre en haleine.	Et je cherche quelque dos, Pour me remettre en haleine.
SOSIE.	SOSIE.
Quel Diable d’homme eſt cacy?	Quel Diable d'homme est caci?
De mortelles frayeurs je ſens mon ame atteinte.	De mortelles frayeurs je sens mon âme atteinte.
Mais pourquoy trembler tant auſſi?	Mais pourquoi trembler tant aussi?
Peut-eſtre a-t’il dans l’Ame autant que moy de crainte, Et que le drolle parle ainſi, Pour me cacher ſa peur, ſoue vne audace feinte.	Peut-être a-t-il dans l'Âme autant que moi de crainte, Et que le drolle parle ainsi, Pour me cacher sa peur, soue une audace feinte.
Ouy, ouy, ne ſouffrons point qu’on nous croye vn Oyſon, Si je ne ſuis hardy, tâchons de le parêtre, Faiſons-nous du cœur par raiſon.	Oui, oui, ne souffrons point qu'on nous croie un Oison, Si je ne suis hardi, tâchons de le parêtre, Faisons-nous du cœur par raison.
fruuleul comme moy, je ſuis fort, j’ay bon maiſtre, Et vorta hontle mahlon.	fruuleul comme moi, je suis fort, j'ai bon maître, Et vorta hontle mahlon.
Qui va-la?	Qui va-la?
MERCVRE.	MERCURE.
SOSTE.	SOSTE.
Moy.	Moi.
MERCVRE.	MERCURE.
Qui, moy.	Qui, moi.
SOSIE.	SOSIE.
–*- Moy.	–*- Moi.
Courage, Soſie.	Courage, Sosie.
MEACV RE.	MEACV RE.
Quel eſt ton ſort, dis-moy?	Quel est ton sort, dis-moi?
SOSIE.	SOSIE.
D’eſtre homme & de parler.	D'être homme et de parler.
MERCVRE.	MERCURE.
Es-tu Maiſtre ou Valet?	Es-tu Maître ou Valet?
SOSIE.	SOSIE.
Comme il me prend enuie.	Comme il me prend envie.
MERCVRE.	MERCURE.
Où s’adreſſent tes pas?	Où s'adressent tes pas?
SOSIE.	SOSIE.
Ou j'ay dencan d'uncis	Ou j'ai dencan d'uncis
MERCVRE.	MERCURE.
Ah!	Ah!
cecy me deplait.	ceci me déplaît.
SOSIE.	SOSIE.
I’en ay l’ame rauie.	J'en ai l'âme ravie.
MERCVRE.	MERCURE.
Reſolument par force ou par amour, Ie veux ſçauoir de toy, traiſtre.	Résolument par force ou par amour, Je veux savoir de toi, traître.
Ce quulmluio, dontu riens auuuejour;	Ce quulmluio, dontu riens auuuejour;
Où tu vas, à qui tu peux eſtre.	Où tu vas, à qui tu peux-même.
SOSIE.	SOSIE.
Ie fais le bien, & le mal tour à tour?	Je fais le bien, et le mal tour à tour?
Ie viens de la, vais là, j’appartiens à mon Maiſtre.	Je viens de la, vais là, j'appartiens à mon Maître.
MERCVRE.	MERCURE.
Tu montres de l’eſprit, & je te vois en train De trancher auec moy de l’homme d’impor tance , Il me prend vn deſir, pour faire connoiſſance, De te donner vn foufflet de ma main.	Tu montres de l'esprit, et je te vois en train De trancher avec moi de l'homme d'impor tance , Il me prend un désir, pour faire connaissance, De te donner un soufflet de ma main.
A moy-meſme?	À moi-même?
SOSIE.	SOSIE.
MERCVRE.	MERCURE.
.	.
A toyememe, a t’en volla certaine Il luy donne vn ſoufflet.	À toyememe, a -t-en vola certaine Il lui donne un soufflet.
SOSIE.	SOSIE.
Ah, ah, c’eſt tout de bon!	Ah, ah, c'est tout de bon!
MERCVRE.	MERCURE.
Non, ce n’eſt que pour rire, Et repondre à tes quolibets.	Non, ce n'est que pour rire, Et répondre à tes quolibets.
SOSIE.	SOSIE.
Tu Dieu, l’Amy, ians vous rien dire, Comme vous baillez des ſoufflets?	Tu Dieu, l'Ami, jant vous rien dire, Comme vous baillez des soufflets?
MERCVRE.	MERCURE.
Ce ſont là de mes moindres coups;	Ce sont là de mes moindres coups;
Des petite ſoufflets ordinaires.	Des petite soufflets ordinaires.
SOSIE.	SOSIE.
Si j’eſtois auſſi prompt que vous, Nous Ierrons de benes anaires,	Si j'étais aussi prompt que vous, Nous Jerrons de benes aires,
MERCVRE.	MERCURE.
Tout cela n’eſt encore rien, Pour y faire quelque pauſe:	Tout cela n'est encore rien, Pour y faire quelque pause:
Nous verrons bien autre choſe;	Nous verrons bien autre chose;
Pourſuiuons noſtre entretien.	Poursuivons notre entretien.
SOSIE.	SOSIE.
Jl veut s’en aller.	Il veut s'en aller.
Ie quitte la partie.	Je quitte la partie.
MERCVRE.	MERCURE.
Oü vas-tu ?	Oui vas-tu ?
SOSIE.	SOSIE.
Que t’importe?	Que t'importe?
MERCVRE.	MERCURE.
Ie veux ſçauoir où tu vas,	Je veux sais où tu vas,
b olſ.	 bls.
Me faire ouurir cette porte?	Me faire ouvrir cette porte?
Pourquoy retiens-tu mes pas?	Pourquoi retiens-tu mes pas?
MERCVRE.	MERCURE.
Si juſqu’à l’approcher tu pouſſes ton audace, Ie fais ſur toy pleuuoir vn orugo de coups.	Si jusqu'à l'approcher tu pousses ton audace, Je fais sur toi pleuvoir un orugo de coups.
OSIE.	OSIE.
Quoy!	Quoi!
tu veux s par ta menace M’empecher d’entrer chez-nous?	tu veux s ' a menace M'empêcher d'entrer chez-nous?
MEREVRE.	MEREURE.
Comment, chez-nous?	Comment, chez-nous?
SOSIE.	SOSIE.
Ouy, chez-nous.	Oui, chez-nous.
MERCVRE.	MERCURE.
O le Traitre !	Ô le Taitre !
Tu te dis de cette maiſon?	Tu te dis de cette maison?
OSIE.	OSIE.
Fort bien, Amphitryon n’en eſt-il pas le Maiſtre?	Fort bien, Amphitryon n'en est-il pas le Maître?
MERCVRE.	MERCURE.
Hé bien que fait cette raiſon?	Hé bien que fait cette raison?
le ſuis ſon valet.	le suis son valet.
SOSIE.	SOSIE.
MERCVRE.	MERCURE.
To y?	To y?
SOSIE.	SOSIE.
Moy.	Moi.
MEROIREZ Son Valet?	MEROIREZ Son Valet?
SOSTE.	SOSTE.
Sans doute.	Sans doute.
MERCVRE.	MERCURE.
Valet d’Amphitryon?	Valet d'Amphitryon?
SOSIE.	SOSIE.
D’Amphitryon;	D'Amphitryon;
de luy.	de notre.
Ton nom eſt.	Ton nom est.
MERCVRE.	MERCURE.
SOSIE.	SOSIE.
Soſie.	Sosie.
hil d deav daus Heu?	hil d au daus Heu?
Comment?	Comment?
SOSIE.	SOSIE.
Soſie.	Sosie.
MERCVRE.	MERCURE.
Ecoute.	Écoute.
Sçais tu que de ma main je t’aſſomme aujourd’huy?	Sais -tu que de ma main je t'assomme aujourd'hui?
o a aa Pourquoy, de quelle rage eſt ton ame ſaiſie?	ô a la Pourquoi, de quelle rage est ton âme saisie?
MERCVNES Qui te donne, diſ-moy cette temerité, De prendre le nom de Soſie?	MERCUNES Qui te donne, dis-moi cette témérité, De prendre le nom de Sosie?
SOSIE.	SOSIE.
Moy, je ne le prens point, je l’ay toûjours porté.	Moi, je ne le prends point, je l'ai toujours porté.
MERCVRE.	MERCURE.
O le menſonge horrible!	Ô le mensonge horrible!
& l’impudence extreme!	et l'impudence extrême!
Tu M’oles loutend que soncun tonnon a	Tu M'oles loutend que soncun tonnon a
OSIE.	OSIE.
Fort bien je le ſoûtiens, par la grande raiſon, Qu’ainſi l’a fait des Dieux la puiſſance ſuprême:	Fort bien je le soutiens, par la grande raison, Qu'ainsi l'a fait des Dieux la puissance suprême:
Le quiin eit pas en moy de pouuoir dire non, Et d’eſtre vn autre que moy-méme.	Le quiin eit pas en moi de pouvoir dire non, Et d'être un autre que moi-même.
Mercure le bat.	Mercure le bat.
MERCVRE.	MERCURE.
pilile coups de baiton doident eſtre le prix D’vne pareille effronterie.	pilile coups de baiton doident être le prix D'une pareille effronterie.
SOSTE.	SOSTE.
Iuſtice, Citoyens, au ſecours je vous prie?	Justice, Citoyens, au secours je vous prie?
MERCVRE.	MERCURE.
Comment, Bourreau, tu fais de cris?	Comment, Bourreau, tu fais de cris?
BOSTE.	BÔTE.
De mille coups tu me meurtris, Et tu ne veux pas que je crie ?	De mille coups tu me meurtris, Et tu ne veux pas que je crie ?
MERCVRE.	MERCURE.
C’eſt ainſi que mon Bras.	C'est ainsi que mon Bras.
SOSIE.	SOSIE.
L’action ne vaut rien, Tu triomphes de l’auantage Que te donne ſur moy mon mãque de courage, Et ce n’eſt pas en vſer bien;	L'action ne vaut rien, Tu triomphes de l'avantage Que te donne sur moi mon manque de courage, Et ce n'est pas en user bien;
C’eſt pure fanfaronnerie, De vouloir profiter de la Poltronnerie, me evan da danaquenansccraa y Battre vn homme à jeu ſeur, n’eſt pas d’vne ugild aide, Et le cœur eſt digne de blame, Contre les gens qui n’en ont pas.	C'est pure fanfaronnerie, De vouloir profiter de la Poltronnerie, me evan da danaquenansccraa y Battre un homme à jeu sûr, n'est pas d'une ugild aide, Et le cœur est digne de blâme, Contre les gens qui n'en ont pas.
MERCVRE.	MERCURE.
Hé bien, es tu Soſie à preſent?	Hé bien, es tu Sosie à présent?
qu’en dis-tu'	qu'en dis-tu'
SOSIE.	SOSIE.
Tes coups n’ont point en moy fait de metamotphoſe, Et tout le changement qui ſe trouue à la choſe e el d’eſtre Sone bartu.	Tes coups n'ont point en moi fait de métamotphose, Et tout le changement qui se trouve à la chose é el d'être Sone bartu.
MERCVRE.	MERCURE.
Encor cent autres coups pour cette autre impudence.	Encor cent autres coups pour cette autre impudence.
SOSIE.	SOSIE.
De grace fais tréue à tes coups.	De grâce fais trêve à tes coups.
MRERCVNE.	MRERCUNE.
Fais donc tréue à ton inſolenee.	Fais donc trêve à ton insolence.
OSIE.	OSIE.
Tout ce qu’il te plairra, je garde le ſilence, La diſpute eſt par trop inégale entre nous.	Tout ce qu'il te plaira, je garde le silence, La dispute est par trop inégale entre nous.
MERCVRE.	MERCURE.
Es-tu Soſie encor?	Es-tu Sosie encor?
d’y, Traiſtre !	d'y, Traître !
OSIE.	OSIE.
Heras -je luis ce que tu veux, Diſpoſe de mon ſort tout au gré de tes vœux, Ton bras t’en a fait le maiſtre.	Heras je luis ce que tu veux, Dispose de mon sort tout au gré de tes vœux, Ton bras t'en a fait le maître.
MERCVRE.	MERCURE.
Ton Nom eſtoit Soſie, à ce que tu diſois.	Ton Nom était Sosie, à ce que tu disais.
doore.	doore.
Il eſt vray, juſqu’icy j’ay cru la choſe claire:	Il est vrai, jusqu'ici j'ai cru la chose claire:
Mais ton Baſton ſur cette affaire, Ma fait voit que ie m’abuſois.	Mais ton Bâton sur cette affaire, Ma fait voit que sans m'abusais.
MERCVRE.	MERCURE.
C’eſt moy qui ſuis Soſie, & tout Thebe l’auoüe, Amphitryon jamais n’en eut d’autre que moy.	C'est moi qui suis Sosie, et tout Thebe l'auoüe, Amphitryon jamais n'en eut d'autre que moi.
Toy Soſie?	Toi Sosie?
S Culu.	 Sulu.
MERCVRE.	MERCURE.
Ouy Soſie, & ſi quelqu’vn s’y joüe, Il peut bien prendre garde à ſoy.	Oui Sosie, et si quelqu'un s'y joie, Il peut bien prendre garde à soi.
SOSIE.	SOSIE.
Ciel!	Ciel!
me faut-il ainſi renoncet à moy-méme;	me faut-il ainsi renoncet à moi-même;
Et par vn impoſteur me voir volet mon nom!	Et par un imposteur me voir volet mon nom!
Que ſon bon-heur eſt extréme, De ce que je ſuis poltron !	Que son bonheur est extrême, De ce que je suis poltron !
Sans cela par la mort.	Sans cela par la mort.
MERCVRE.	MERCURE.
Entre les dents, je penſe, Tu murmures, je ne ſçay quoy?	Entre les dents, je pense, Tu murmures, je ne sais quoi?
OSIE.	OSIE.
Non, mais au Nom des Dieux, donne moy la licence Fis.	Non, mais au Nom des Dieux, donne -moi la licence Fis.
L.	L.
De parler vn moment à toy.	De parler un moment à toi.
Parle.	Parle.
MERCVRE.	MERCURE.
SOSIE.	SOSIE.
hluro promees mo y de grace, Que les coups n’en ſeront point.	hluro promées mo y de grâce, Que les coups n'en seront point.
