des Aydes.	des Aides.
L’honneur que ie vous porte a pris toute la place.	L'honneur que je vous porte a pris toute la place.
*--	*-
L’EMPEREVR.	L'EMPEREUR.
Nous y trouuerons bien encore vn peu deſpace Puis le Prince Anaxandre a des perfections Qui treuueront paſſage en vos affections:	Nous y trouverons bien encore un peu dépace Puis le Prince Anaxandre a des perfections Qui trouveront passage en vos affections:
Il eſt plain de merite, & Prince tres aimable P'ourquoy d'fferez vous puis qu’il m'eſt agreable?	Il est plain de mérite, et Prince très aimable Pourquoi d'serez -vous puis quoil m'est agréable?
	
PHILINTE.	PHILINTE.
Ceſt ſonmenie jeut qui me fait differer:	Cest sonménie jeut qui me fait différer:
Car il faut bien du temps à le conſiderer.	Car il faut bien du temps à le considérer.
L’EMPEREVR.	L'EMPEREUR.
Tant de ſubtilitez font que ie vous accuſe D’auoir dit vn menſonge.	Tant de subtilités font que je vous accuse D'avoir dit un mensonge.
	
PHILINTE.	PHILINTE.
Ou pluſtoſt vne excuſe.	Ou plutôt une excuse.
L’EMPEREVR.	L'EMPEREUR.
Mats en fin dites moy, voulez vous l’espouſer?	Mats -en fin dites -moi, voulez -vous l'épouser?
PHILINTE.	PHILINTE.
Ie croy que peu de gens le voudroient refuſer.	Je crois que peu de gens le voudraient refuser.
L’EMPEREVR.	L'EMPEREUR.
Il eſt vray, ſa valeur le rend cenfuitr able, Ie l’aime car chacun doit aimer ſon ſemblable.	Il est vrai, sa valeur le rend cenfuitr able, Je l'aime car chacun doit aimer son semblable.
PHILINTE.	PHILINTE.
Monſieur cette raiſon me monſtre que ie doy:	Monsieur cette raison me montre que ici dois:
Pailiter dene feicinene tos jerex conmue moy.	Pailiter dene feicinène tos jerex conmue moi.
L’EMPfREVR.	L'EMPREUR.
Qui vous prendroit au mot vous ſeriez eſtonnee Sans vous laiſſer gouſter aux douceurs d’hymenee:	Qui vous prendrait au mot vous seriez étonne Sans vous laisser goûter aux douceurs d'hyménée:
Ie cognois voſtre ſexe.	Je connais votre sexe.
PHILINTE.	PHILINTE.
Ot moy ie voudrois bien N’en cognoiſtre iamais point d’autre que le mnien.	Ot moi ici voudrais bien N'en connaître jamais point d'autre que le mennien.
L’EMPEREVR.	L'EMPEREUR.
Les filles bien ſouuent font cette repartie:	Les filles bien souvent font cette répartie:
Ie ne l’improuue pas, c'eſt vne modeſtie, Et ne font de l’amour des mespris euidens, Que pour en teſmoigner les deſirs plus ardens:	Je ne l'improuvé pas, c'est une modestie, Et ne font de l'amour des mépris évidents, Que pour en témoigner les désirs plus ardents:
Il n'eſt pas auec moy be ſoin de vous contraindre:	Il n'est pas auecours be soin de vous contraindre:
Al ab ſongea qu'Athaaanurt en tonsteux ſe fair craindre, (mains.	Al ab songea qu'Athaanurt en tonsteux se fair craindre, (mains.
Chacun treuue aux combats des pleas deuant ſes	Chacun trouve aux combats des pleas devant ses
PHILINTE.	PHILINTE.
Il eſt trop valeureux, c’eſt pourquoy ie le crains.	Il est trop valeureux, c'est pourquoi ie le crains.
L’EMPERERV.	L'EMPERERV.
Mais aimez le pluſtoſt ſans faire tant de fainte.	Mais aimez le plustost sans faire tant de feinte.
PHILINTE.	PHILINTE.
Ie l’aime, mais l’amour ne fut iamais ſans crainte,  - .	Je l'aime, mais l'amour ne fut jamais sans crainte, - .
2	2
L’EMPEREVR.	L'EMPEREUR.
On diroit à la fin, entendant vos diſcours Que vous eſtes ſçauante en matiere d’amours Mais à mes volontez ne faites plus d’obſtacles, On vous peut à bon droict comparer aux Oracles.	On dirait à la fin, entendant vos discours Que vous êtes savante en matière d'amours Mais à mes volontés ne faites plus d'obstacles, On vous peut à bon droit comparer aux Oracles.
Car apres vous auoir long temps entretenu Ie ſuis außi ſçauant comme i’eſtois venu.	Car après vous avoir long temps entretenu Je suis aussi sçauant comme j'étais venu.
Vous ne faites iamais qu’vne réponce obſcure, Dans vous la verité n'eſt iamais toute pure;	Vous ne faites jamais qu'une réponce obscure, Dans vous la vérité n'est jamais toute pure;
Il faut changer d’humeur, allez, preparez vous A ſouffrir dans trois iours les baiſers d’vn eſpoux, De ce pas i’en veux faire aduertir Anaxandre A force de bruſler, i'ay peur quit rieme en cendre, Il ne fait pas au lit comme dans les combats, Allez ie vous promets que vous n'en mourrez pas.	Il faut changer d'humeur, allez, préparez -vous A souffrir dans trois jours les baisers d' Houx, De ce pas j'en veux faire avertir Anaxandre À force de brûler, j'ai peur quit rième en cendre, Il ne fait pas au lit comme dans les combats, Allez -je vous promets que vous n'en mourrez pas.
L-c---  ---- –	LIS-ce- -elle-ce
SCENE II.	SCÈNE II.
ANAXANDRE.	ANAXANDRE.
LYSTMAN.	LYSTMAN.
DAMMIS	DAMIS
ANAXANDRE.	ANAXANDRE.
Mour eſt le plus ieune & le plus vieil des TI Dieux, Dans ſa diuinité tout eſt miſterieux:	Mour est le plus jeune et le plus vieil des TY Dieux, Dans sa divinité tout est mystérieux:
Mais ceux qui l'ont depeint ſans ſortir de l’enfance N'ont iamais meſuré ſon corps à ſa puiſſance:	Mais ceux qui l'ont dépeint sans sortir de l'enfance N'ont jamais mesuré son corps à sa puissance:
Dés le iour qu'à ſes loix ſon traict m'aſſajetit Ie me creus offencé de le voir ſi petit, Et depuis ayant veu les longueurs de Philinte, Qui paroiſt à m'aimer auoir de la contrainté:	Dès le jour qu'à ses lois son trait m'assajetit à me crus offensé de le voir si petit, Et depuis ayant vu les longueurs de Philinte, Qui paraît à m'aimer avoir de la contrainté:
Aiors l’experience a fait voir à mes yeux, Qu’amour eſt le plus long de tous les autres Dieux:	Ajors l'expérience a fait voir à mes yeux, Qu'amour est le plus long de tous les autres Dieux:
Mais eſtant l’abregé des puiſſances celeſtes Peut eſtre il eſt petit par raiſons manifeſtes, uetUn luy fait ainſi le corps expreſſement, Afin qu’il puiſſe entrer dans nous plus aiſement;	Mais étant l'abrégé des puissances célestes Peut être il est petit par raisons manifestes, uetUn lui oint ainsi le corps expressément, Afin qu'il puisse entrer dans nous plus aisément;
Eneffect quand ie voy qu'en ſa rigueur extreme Philinte ne ſçauroit empeſcher que ie l’aime ----	Elleffect quand on vois qu'en sa rigueur extrême Philinte ne saurait empêcher que ie aime -.
Puis que l’amour pour elle occupe tout mon cœut Ie croy qu'amour & luy ſont de meſme grandeur;	Puis que l'amour pour elle occupe tout mon cœut Je crois qu'amour et et même de même grandeur;
Mais en quelque façon qu'on nous le face croire, Tant de diuerſitez font paroiſtre ſa gloire;	Mais en quelque façon qu'on nous le face croire, Tant de diversités font paraître sa gloire;
Il fait du bien à l’vn, à l’autre il n'en fait pas, Il donne à l’vn la vie, à l’autre le trepas, Ainſi par les effects qu’il produit en mon ame:	Il fait du bien à l'un, à l'autre il n'en fait pas, Il donne à l'Un la vie, à l'autre le trépas, Ainsi par les effets qu'il produit en mon âme:
Tantoſt ie le reuere, & tantoſt ie le blaſme, Et crains m’ayant randu de Philinte amoureux, Qu'il m’ait donné de l’heur pour estre mal-heureux La Lune à quatre fois deſia fait ſon année Que prest d’estre eſclairé du flambeau d’hymenée, La cruelle me fait esperer chaque iour Les dernieres faueurs qu’on recherche en amour.	Tantost Seigneur le reuere, et tantôt iele me, Et crains m'ayant randu de Philinte amoureux, Qu'il m'ait donné de l'heur pour être malheureux La Lune à quatre fois déjà fait son année Que prêt d'être éclairé du flambeau d'hyménée, La cruelle me fait espérer chaque jour Les dernières faveurs qu'on recherche en amour.
Mais alors que ie penſe estre au poinct ou iespere, Auec inuention touſiours elle differe, Que ſi de cruauté ie la veux accuſer Par le moindre ſouris elle vient m’apaiſer, Et me ſnage ſi bien ſes yeux & ſa parole, L vn me faiſant du mal que lamit ma tonfole, Et pour la poſſeder employant tout mon ſoing:	Mais alors que ie pense avoir au point ou jespère, Avec invention toujours elle diffère, Que si de cruauté nous la veux accuser Par le moindre souris elle vient m'apaiser, Et me snage si bien ses yeux et sa parole, L endre me faisant du mal que lamit ma tonfole, Et pour la posséder employant tout mon soin:
Plus ie m'en penſe pres, plus ie m'en treuuë loing:	Plus ie m'en pense pres, plus grands m'en trouve loing:
Ie veux à l'Empereur faire ſçauoir ma plaincte:	Je veux à l'Empereur faire sçauoir ma plainte:
1{4C-	14C-
–– -- 1y mai preuin cantte de A pruue,	–– -- 1y mai preuin cantte de A pruue,
LYSIMAN.	LYSIMAN.
Les filles ont l’esprit trop artificieux Faignans de n’aimer pas ce qui leur plaist le mieux:	Les filles ont l'esprit trop artificieux Faignants de n'aimer pas ce qui leur plaît le mieux:
Mais ſi tous les deſirs de ce ſexe volage, Se pouuoient en effect voir deſſus leur viſage, Sans doute auec plaiſir nous ſerions estonnez, – D’y voir ie ne ſçay quoy bien plus lõg que leûr nez Pour dire librement tout ce que i'ay dans l’ame:	Mais si tous les désirs de ce sexe volage, Se pouvaient en effet voir dessus leur visage, Sans doute avec plaisir nous serions étonné, y voir ie ne sçay quoi bien plus lõg que leûr nez Pour dire librement tout ce que ay dans âme,
Cest que ie ne ſers point de matiere à leur flamme:	Cest que ici ne sers point de matière à leur flamme:
Dans leurs perfections tout est plain de defaut, Parce que nous portons le meilleur qu'il leur faut.	Dans leurs perfections tout est plain de défaut, Parce que nous portons le meilleur qu'il leur faut.
Ie paye auec mespris leur plus grand artifice, Et quand on veut pretandre auun juire jernice:	Je paye avec mépris leur plus grand artifice, Et quand on veut prétandre au juire jernice:
Si toſt que les deſſeins en ſont dans nous conceüs:	Si tôt que les desseins en sont dans nous conçus:
Ils en faut rendre maistre, & prendre le deſſus.	Ils en faut rendre maître, et prendre le dessus.
–	
ANAXANDRE.	ANAXANDRE.
Ce n'est pas comme on vit auec vne Princeſſe, Et ſi toſt que ie ſuis aupres de ma maiſtreſſe:	Ce n'est pas comme on vit avec une Princesse, Et si tôt que je suis auprès de ma maîtresse:
Vn eternel respect me retient arresté, Et me fait ſeulement adorer ſa beauté:	Un éternel respect me retient arrêté, Et me fait seulement adorer sa beauté:
LYSIMAN.	LYSIMAN.
Cte, Mais dãs vn grãd reſpect, vous l'auez trop ſouffer– – -1 oqſe tons qui ta tenez trop tong temps deſcouuerte	Cette, Mais dans vn grand respect, vous l'avez trop souffer oqse tons qui ta tenez trop tong temps descouuerte
ANAXANDRE.	ANAXANDRE.
Tu fpais bien que ie ſuis abbattu de ſes coups	Tu fpais bien que ici suis abattu de ses coups
LYSIMAN.	LYSIMAN.
Faites-en tout de meſme & la mettez deſſouz Quand vous l’imiterez que vous peut-elle dire?	Faites-en tout de même et la mettez dessouz Quand vous l'imiterez que vous peut-elle dire?
Vous prendriez vn conſeil qui pourroit eſtre pire	Vous prendriez un conseil qui pourrait être pire
ANAXANDRE.	ANAXANDRE.
Tay toy, car tes diſcours me pourroient importer Si quelqu’vn par hazard nous venoit eſcouter.	Tais -toi, car tes discours me pourraient importer Si quelqu'amour par hasard nous venait écouter.
Ne vois tu pas Damis qui deuers nous s’aduance;	Ne vois tu pas Damis qui devers nous s'avance;
On le tient à la Cour pour homme d’importance.	On le tient à la Cour pour homme d'importance.
L’Empereur le cherit, & ie ne penſe pas Que ſans deſſein vers nous il addreſſe ſes pas.	L'Empereur le chérit, et ainsi ne pense pas Que sans dessein vers nous il adresse ses pas.
ANAAANDRE.	ANANANDRE.
parlant a DAMIS.	parlant a DAMIS.
Ie croy que vous auez des affaires preſſees, Que vous haſtez vos pas pour ſuiure vos penſees?	Je crois que vous avez des affaires presse, Que vous hâtez vos pas pour suivre vos pensées?
DAMIS.	DAMIS.
Mais bien pour arreſter celles que vous auez.	Mais bien pour arrêter celles que vous avez.
ANAXANDRE.	ANAXANDRE.
Mes deſirs trop auant dans mon ame grauez:	Mes désirs trop avant dans mon âme gravés:
Malgre tant de rigueurs que ie ſouffre ſans plainté N’efloigneront iamais mes penſers de Philinte.	Malgre tant de rigueurs que je souffre sans plainté N'éloigneront jamais mes pensers de Philinte.
*-- 1o--	*- 1o-
DAMIS.	DAMIS.
DAMIS.	DAMIS.
L'Empereur toutefois qui cognoiſt bien vos feux, Dtsi auioura nuy ſaine de vous voir amoureux,	L'Empereur toutefois qui connaît bien vos feux, Dtsi auioura nui saine de vous voir amoureux,
ANAXANDRE.	ANAXANDRE.
Vn'Prince comme luy ſe voudroit-il deſdire?	Un Prince comme lu se voudrait-il dédire?
DAMIS.	DAMIS.
Ie n'entends pas ainſi ce que ie viens de dire:	Je n'entends pas ainsi ce que tu viens de dire:
Monſeigneur, pardonnez à mon libre diſcours Au contraire, ie viens où bien plus toſt i’accours Vous dire de ſa part que dedans trois iournées Les longueurs de Philinte en fin ſeront bornées, Et que lors vous aurez auec contentement Le nom de cher espoux, non plus celuy d’amant, Deſia de ſon coſté la nopce preparée, Vous pumuſaud ieu mapuroa aſſeuree.	Monseigneur, pardonnez à mon libre discours Au contraire, tu viens où bien plu tôt j'accours Vous dire de sa part que dedans trois journées Les longueurs de Philinte en fin seront bornées, Et que lors vous aurez avec contentement Le nom de cher époux, non plus celui d'amant, Désia de son côté la nopce préparée, Vous pumaud jeu mapuro assure.
C’eſt pourquoy de ce pas il m'en faut retourner:	C'est pourquoi de ce pas il m'en faut retourner:
Car mon trop long ſeiour le pourroit eſtonner.	Car mon trop long séjour le pourrait étonner.
ANAXANDRE.	ANAXANDRE.
Cher Damis que tu viens de ſoulager ma flamme, Ie te veux embraſſer moins du corps que de l’ame, Va dire à l’Empereur que ie te ſuy de prez:	Cher Damis que tu viens de soulager ma flamme, Je te veux embrasser moins du corps que de l'âme, Va dire à l'Empereur que tu te suis de prés:
Ie m'en vais dõner ordre à faire mes appreſts (paiſe, Mais dy luy qu'auiourd huy tous mes maux il ap–2 – Que deſia mort d’amour i’ay penſé mourir d’aiſe Que pour dire le bien qu’il me fait cette fois.	Je m'en vais donner ordre à faire mes apprêts (paise, Mais dis sent qu'aujourd' huy en vous maux il ap–2 Que déjà mort d'amour j'ai pensé mourir d' Que pour dire le bien qu'il me fait cette fois.
Mon cœur eſt beaucoup plus eloquent que ma voix.	Mon cœur est beaucoup plus éloquent que ma voix.
ANAXANDRE apres le depart de DAMIS.	ANAXANDRE après le départ de DAMIS.
I'iray voir toutefois Philinte la premiere:	J'irai voir toutefois Philinte la première:
Car ie veux aller prendre en ſes yeux m'a lumiere.	Car ie veux aller prendre en ses yeux m'a lumière.
SCENE III CHILIN LE.	SCÈNE III CHILIN LE.
L'ICASTE.	L'ICASTE.
CALIANTE, ANAXANDRE.	CALIANTE, ANAXANDRE.
L’EMPEREVR.	L'EMPEREUR.
PHILINTE.	PHILINTE.
Riſte en l’excez du mal qui me rend ſolitaire I Qui me pourra blaſmer ſi te ne me puis taire.	Riste en l'excès du mal qui me rend solitaire I Qui me pourra blâmer si te ne me puis taire.
I’ay taſché mille fois de cacher mon tourment, Mais à la fin ie cede à mon reſſentiment:	J'ai tâché mille fois de cacher mon tourment, Mais à la fin tu cede à mon ressentiment:
