A PARIS, FRANÇOIS POMERAY.	À PARIS, FRANÇOIS POMERAY.
Ma compagne, mon tout, ma Nymphe, mon bon DChely Ie m’en vay donc querir mon carquois & mes fleches.	Ma compagne, mon tout, ma Nymphe, mon bon DChely Je m'en vais donc quérir mon carquois et mes flèches.
DELPHISE.	DELPHISE.
nanen,tmmpumnut puent aſſez debreches:	nanen,tmmpumnut puent assez deatreches:
Tu n’auras point affaire aux monſtres des foreſts:	Tu n'auras point affaire aux monstres des forêts:
Tes beaux yeux ont les dards, tes cheueux ont les rets npables d’arreſter tous ceux que tu dois prendre.	Tes beaux yeux ont les dards, tes cheveux ont les rets nables d'arrêter tous ceux que tu dois prendre.
AMARANTHE.	AMARANTHÉE.
Puqtit queinmen?	Puqtit queinmen?
DELPHISE.	DELPHISE.
Tu ne veux pas m’entendre.	Tu ne veux pas m'entendre.
Ie te dis que Diane approuue tes ſouhaits, Et qu’ils ſont ſurpaſſeZ des dons qu’elle t’a faits.	Je te dis que Diane approuve tes souhaits, Et qu'ils sont surpassés des dons qu'elle t'a faits.
Mais elle ne peut pas forcer ta deſtinee, Qui te ſoumet aux loix d’vn heureux Hymenee.	Mais elle ne peut pas forcer ta destinée, Qui te soumet aux lois d'Un heureux Hymène.
AMARANTHS.	AMARANTHS.
O Diane!	Ô Diane!
ô Deſtins!	ô Destins!
à quoy m’obligez vous?	à quoi m'obligez -vous?
DELPHISE.	DELPHISE.
Crain les Dieux Amarãthe, ils ſont iuſtes & doux.	Crain les Dieux Amarãthe, ils sont justes et doux.
Regarde les honneurs de ton illuſtre tige;	Regarde les honneurs de ton illustre tige;
Et de quelles faueurs la Deeſſe t’oblige.	Et de quelles faveurs la Déesse t'oblige,
Qui ne t'ordonne pas ſeulement de choiſir Vn amant dont la foy ſuccede à ton deſir.	Qui ne t'ordonne pas seulement de choisir Un amant dont la foi succède à ton désir.
Mais qui te veut orner d’vne race feconde De Bergers, qui de Rois doiuent peupler le monde.	Mais qui te veut orner d'une race féconde De Bergers, qui de Rois doivent peupler le monde.
Le premier de tes fils, le plus grand des Bergers, Sera l’amour des ſiens, la peur des eſtrangers, Clement, victorieux, aux labeurs indomptable, Auxcrimes inflexible, aux monſtres redoutable.	Le premier de tes fils, le plus grand des Bergers, Sera l'amour des siens, la peur des étrangers, Clément, victorieux, aux labeurs indomptable, Auxcrimes inflexible, aux monstres redoutable.
Il aitra pour compagne, en beautez vn Soleil, Qui ſans luy n'auroit ſçeu rencontrer de pareil.	Il aitra pour compagne, en beautés un Soleil, Qui sans lui n'aurait su rencontrer de pareil.
Du ſecond la ſplendeur ſera bien-toſt rauie, Et les Dieux aux mortels en porteront enuie.	Du second la splendeur sera bientôt ravie, Et les Dieux aux mortels en porteront envie.
Mais vn autre en ſa place, ira de toutes pars Faire eſclater les dons de Minerue & de Mars.	Mais un autre en sa place, ira de toutes pars Faire éclater les dons de Minerve et de Mars.
Elle adiouſte a tes fils, trois filles, trois merueilles, Des plus grands demy dieux les flames nõpareilles:	Elle ajoute à tes fils, trois filles, trois merveilles, Des plus grands demi dieux les flammes nompareilles:
Qui rempliront de gloire, & d’vn luſtre eminent, Les mers de l’Aquilon, de l’Aube & du Ponent.	Qui rempliront de gloire, et d'un lustre éminent, Les mers de l'Aquilon, de l'Aube et du Ponent.
Elle donne à tes ans vne fleur immortelle, Qui nes efface point, qui touſiours eſt nouuelle, Qui regne abſolument ſur toutes les beautez, Du quiuepemnopuuuuumie aux DeiteZ.	Elle donne à tes ans notre fleur immortelle, Qui nés efface point, qui toujours est nouvelle, Qui règne absolument sur toutes les beautés, Du quiuepemnopuuuuumie aux DeiteZ.
Voyla dequoy, mon cœeur, viure heureuſe e contente.	Voilà dequoy, mon cœur, vivre heureuse e contente.
MELITE.	MELITE.
Me voyla de retour.	Me voilà de retour.
DELPHISE.	DELPHISE.
A Dieu belle Amaranthe.	À Dieu belle Amaranthe.
AMARANTHE.	AMARANTHÉE.
Adieu Delphiſe, adieu;	Adieu Delphise, adieu;
pardonne à mes douleurs, Qui font, que ie te rens pour des graces, des pleurs.	pardonne à mes douleurs, Qui font, que sans te rens pour des grâces, des pleurs.
ACTE PREMIER.	ACTE PREMIER.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
MIELIIS AIMARARIAE	MIELIS AIMARARIAE
MELITE.	MELITE.
N fin à ton exemple à moy-meſme cruelle, LI’aimeray la douleur;	N fin à ton exemple à moi-même cruelle, L'aimerai la douleur;
cartu la rens ſi belle, Que i'en ay l’ame atteinte, & n'en veux point guerir.	cartu la rends si belle, Que j'en ai l'âme atteinte, et n'en veux point guérir.
Si l’on meurt de la ſorte, ô qu’il fait beau mourir!	Si l'on meurt de la sorte, ô qu'il fait beau mourir!
AMARANTHE.	AMARANTHÉE.
O papues ueſſeuis, iecrouuu iu, Melite, Que Diane ſi grande, (& pour moy ſi petite) T roue en cet accident ſon pouuoir limite:	Ô papues uesseuis, iecrouuu ju, Melite, Que Diane si grande, (3 pour moi si petite) T roue en cet accident son pouvoir limite:
Vne vierge eſt contraire à la virginité?	Une vierge est contraire à la virginité?
A MARANTHE.	À MARANTHÉE.
Non, mais il faut changer d’humeur & de nature.	Non, mais il faut changer d'humeur et de nature.
Il faut ceder au ſort, dont l’eſtrange aduenture Trompe mon eſperance, & mes vœux innocens.	Il faut céder au sort, dont l'étrange aventure Trompe mon espérance, et mes vœux innocents.
O Dieux!	Ô Dieux!
pardonnez moy, ie vous doibs de l'encens.	pardonnez -moi, je vous dois de l'encens.
Mais pourquoytant de vœux contre ma deſtinee?	Mais pourquoitant de vœux contre ma destinée?
,Quelle eſt ceſte beauté que vous m’auez donnees ,Qui ſans faire du mal ne peut voir la clarté;	Ç ,Quelle est cette beauté que vous m'avez données ,Qui sans faire du mal ne peut voir la clarté;
