LRAREE C2 DEGVISE TRAGI-COMEDIE.	LRARE C2 DÉGUISÉ -THRAGI-COMÉDIE.
Malgré vous, amitié, dedans ceſte aduenture, L’honneur ſe trouuera plus fort que la nature;	Malgré vous, amitié, dedans cette aventure, L'honneur se trouvera plus fort que la nature;
Icy mon intereſt le cede à mon deuoir.	Ici mon intérêt le cède à mon devoir.
MELANIRE.	MELANIRE.
Madame voicy l’heure où vous les pourrez voir.	Madame voici l'heure où vous les pourrez voir.
ROSEMONDE.	ROSEMONDE.
Si ton diſcours eſt faux, vois où tu te hazardes:	Si ton discours est faux, vois où tu te hasardes:
Faites venir Ariſte, & quatre de mes gardes, Iiij e nombre ſuffira pour les ſaiſir la nuict, Mais que cela ſe faſſe auecque peu de bruict:	Faites venir Ariste, et quatre de mes gardes, Jij à nombre suffira pour les saisir la nuit, Mais que cela se fasse auecque peu de bruit:
Reuenez dans ma chambre, où ie vay vous attendre:	Revenez dans ma chambre, où tu vais vous attendre:
Suy moy, tu ſeras priſe, ou tu les feras prendre.	Sui -moi, tu seras prise, ou tu les feras prendre.
DCENETROTDIESME,	DCENETROTDIESME,
CLEARQVE.	CLÉARQUE.
Eureux & doux moment, auance ton retour, Ramene quand & toy l’obiect de mon amour.	Eureux et doux moment, avance ton retour, Ramène quand et toi l'object de mon amour.
Fais reuoir à mes yeux la beauté qu’ils adorent, Et t’en viens deuorer les ſoins qui me deuorent:	Fais revoir à mes yeux la beauté qu'ils adorent, Et t'en viens dévorer les soins qui me dévorent:
Si la belle.	Si la belle.
Argenie oſe encor ſommeiller, Toy qui m’as eſueillé va t'en la reſueiller:	Argénie ose encor sommeiller, Toi qui m'as éveillé va t'en la réveiller:
Volle de grace Amour vers ma belle ennemie, Reproche luy pour moy qu'elle eſt trop endormie,	Volle de grâce Amour vers ma belle ennemie, Reproche lui pour moi qu'elle est trop endormie,
Et luy dis qu’vn repos ſi profond, & ſi doux, Sied mal à des esprits que font languir tes coups.	Et petit dis qu'un repos si profond, et si doux, Sied mal à des esprits que font languir tes coups.
Fais la reſſouuenir qu'elle s’eſt engagée:	Fais la ressouvenir qu'elle s'est engagée:
Mais non, demeure icy, ma peine eſt ſoulatée?	Mais non, demeure ici, ma peine est soulatée?
I'apperçoyma Deeſſe;	J'apperçoyma Deesse;
ô Ciel en ce tranſport, Vnexcés de plaiſir me donnera la mort:	ô Ciel en ce transport, Vnexcés de plaisir me donnera la mort:
Sa couleur eſt deſia ſur mon viſage peinte;	Sa couleur est déjà sur mon visage peinte;
Le veritable amour ne va iamais ſans crainte;	Le véritable amour ne va jamais sans crainte;
Elle ſuit ſon eſpoir;	Elle suit son espoir;
& touſiours le reſpect, S'imprime dans mon cœur, à ſon aimable aſpect.	et toujours le respect, S'imprime dans mon cœur, à son aimable aspect.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
ARGENIE, PHILISE, CLEARQVE.	ARGENIE, PHILISE, CLEARQUE.
H Etremble,	H Hêtremble,
PHILISE.	PHILISE.
O quel danger!	Ô quel danger!
la valeur ſignalee!	la valeur signalée!
ARGENIE.	ARGENIE.
Ouy;	Oui;
ne t’eſloigne point;	ne t'éloigne point;
reſte dans ceſte allée, Le deſtin a voulu vous ouurir mon ſecret, diauixnenaouſe apus, jopea tonſomis aiſeret;	reste dans cette allée, Le destin a voulu vous ouvrir mon secret, diauixnenaouse apus, jopea tonsomis aiseret;
Et m'aſſurez encor, puiſque ie ſuis ſortie, Comme de voſtre amour, de voſtre modeſtie.	Et m'assurez encor, puisque je suis sortie, Comme de votre amour, de votre modestie.
CLEARQVE.	CLÉARQUE.
Apres ce que ie dois Madame, à vos bontez, Ie n'agiray iamais que par vos volontez Et ſi i’ay des deſirs ence lieu ſolitaire, Ie ſçauray par reſpect, les ſouffrir, & les taire:	Après ce que Dieu dois Madame, à vos bontés, Je n'agirai jamais que par vos volontés Et si j'ai des désirs ence lieu solitaire, Je saurai par respect, les souffrir, et les taire:
Et ſans que vous vſiez d’vn ab ſolu pouuoir, Ie reſteray touſiours aux termes du deuoir.	Et sans que vous usiez d'âme ab olu pouvoir, Je resterai toujours aux termes du devoir.
Außi bien i’ay deſia trop d’heur, & trop de gloire, D’occuper quelque lieu dedans voſtre memoire, Apres vn bienſi grand, où pourrois-ie aſpirer?	Aussi bien j'ai déjà trop d'heur, et trop de gloire, D'occuper quelque lieu dedans votre mémoire, Après un biensi grand, où pourrais-je aspirer?
Qui poſſede cet heur n’a rienà deſirer.	Qui possède cet heur n'a rienà désirer.
	
ARGENIE.	ARGENIE.
Suiuant de la vertu les traces adorables, La raiſon & l’amour ſeront inſeparables;	Suivant de la vertu les traces adorables, La raison et l'amour seront inséparables;
Et ie ſeray rauit;	Et ici serai ravit;
& von ſerez charme, Sy vous vous contentez d’aimer, & d’eſtre aimé.	et von se charme, Sy vous vous contentez d'aimer, et d'être aimé.
CLEARQVE.	CLÉARQUE.
Ma flante tient du lieu dont elle eſt animée;	Ma flante tient du lieu dont elle est animée;
Ie noniiis on giund ſen, mun iteſt jans ſumée.	Je noniis on giun sen, mun itest jans sumée.
Et loing de me donner vn ſentiment abiect, Il eſt pur & diuin, ainſi que ſon obiect.	Et loing de me donner un sentiment abject, Il est pur et divin, ainsi que son objet.
ARGENIE.	ARGENIE.
Ha!	Ha!
certes, ce propos eſt digne d’vn grand Prince, Qui ſçait regir ſon cœur ainſi que ſaprouince;	certes, ce propos est digne d'un grand Prince, Qui sait régir son cœur ainsi que saprovince;
Qui ſçait donner des loix aux iniuſtes deſirs;	Qui sais donner des lois aux injustes désirs;
Moderer ſa puiſſance, & reigler ſes plaiſirs.	Modérer sa puissance, et rigler ses plaisirs.
CLEAR E.	CLÉAR E.
Ien en ay pas t'eprii, man ten aypien le grade:	Jen en ai pas t'épri, man ten aipien le grade:
ARGENIE.	ARGENIE.
Tants'en faut, c’eſt l’eſprit qui me le perſuade:	Tants'en faut, c'est l'esprit qui me le persuade:
Mais dites voſtre nom:	Mais dites votre nom:
CLEARQVE.	CLÉARQUE.
ie ne puis reculer, Il faut viure ou mourir, ſe reſoudre, & parler:	Ne ne puis reculer, Il faut vivre ou mourir, se résoudre, et parler:
Princeſſe, vous ſçaurez.	Princesse, vous saurez.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
ROSEMONDE, ANTHENOR, ARISTE, MELANIRE, CHŒVR DE GARDES, ARGENTE, CLEARQVE, PHILISE.	ROSEMONDE, ANTHENOR, ARISTE, MELANIRE, CHÉVR DE GARDES, ARGENTE, CLÉARQUE, PHISE.
ROSEMONDE.	ROSEMONDE.
V'eſt-ce que tu regardes?	V'est-ce que tu regardes?
Dieux!	Dieux!
tu n'as que trop veu;	tu n'as que trop vu;
prenez-les tous deux, Gardes.	prenez-les tous deux, Gardes.
ARGENIE.	ARGENIE.
Nous ſommes deſcouuerts:	Nous sommes découverts:
CLEARQVE.	CLÉARQUE.
pourquoy la prenez-vous?	pourquoi la prenez-vous?
Moy ſeul dois reſſentir l’effect de ce courrous.	Moi seul dois ressentir l'effet de ce courrous.
ROSEMONDE.	ROSEMONDE.
Qu'on les meine à ſa chambre:	Qu'on les mène à sa chambre:
ô douleur exceßitte!	ô douleur excègitte!
Faut-il que ie te ſouffre, & que ie reſte viue?	Faut-il que Seigneur te souffre, et que ie reste vive?
MELANIRE.	MELANIRE.
L’aiſe de la vangeance occuppe tous mes ſens, Ie ne ſçaurois la dire ainſi que ie la ſens;	L'aise de la vengeance occuppe tous mes sens, Je ne saurais la dire ainsi que ie la sens;
Orgueilleux, tu ſçauras qu'vne femme en colere, Eff capabie de iont, muandeue ne pent plaire.	Orgueilleux, tu sauras qu'une femme en colère, Eff capabie de jont, muandeue ne pent plaire.
PHILISE.	PHILISE.
Ha Ciel, quel accident!	Ha Ciel, quel accident!
ô bons Dieux quel malheur!	ô bons Dieux quel malheur!
Mais Philiſe, tais-toy;	Mais Philise, tais-toi;
reſiſte à la douleur, Et ſauue ton esprit de l’ennuy qui le preſſe, Puis qu'on ne te void point, pour ſauuer ta Maiſtreſſe,	résiste à la douleur, Et sauve ton esprit de l'ennui qui le presse, Puis qu'on ne te voit point, pour sauver ta Maîtresse,
SCENE SIXIESME.	SCÈNE SIXIÈME.
LISANDRE, FLORESTOR.	LISANDRE, FLORÊTOR.
LISANDRE.	LISANDRE.
ã E ſignal faict en vain me donne de l’effroy:	Où E signal fait en vain me donne de l'effroi:
21 FLORESTOR.	21 FLORESTOR.
Paſſant en voſtre cœur, il vient iuſques à moy.	Passant en votre cœur, il vient jusques à moi.
LISANDRE.	LISANDRE.
Certain bruict entendu, forme vne conjecture, Qui me dit que le Prince eſt dans quelque aduenture, Où ie tiens qu’auiourd’huy ce grand cœur ſe perdra:	Certain bruit entendu, forme un conjecture, Qui me dit que le Prince est dans quelque aventure, Où ie tiens qu'aujourd'hui ce grand cœur se perdra:
Frappez encore vn coup, pour voir s’il reſpondra.	Frappez encore un coup, pour voir s'il répondra.
Voicy la meſme place, & le temps ordinaire:	Voici la même place, et le temps ordinaire:
Sans doute mon ſoupçon n'eſt point imaginaire;	Sans doute mon soupçon n'est point imaginaire;
On l’aura deſcouuert.	On l'aura découvert.
FLORESTOR.	FLORÊTOR.
ie le crois aſſeuré:	Hé le crois assuré:
Mais qu’auecque le Ciel, l’enfer ſoit coniuré, Que pour noſtre malheur l’vn & l’autre conspire, Il fautque ie me perde, ou que ie le retire.	Mais qu'avec le Ciel, l'enfer soit conjuré, Que pour notre malheur l'un et l'autre conspire, Il fautque personne me perde, ou que ie le retire.
Sautons dans le iardin, & ſans plus diſcourir, Ayons l’honneur de vaincre, ou celuy de mourir.	Sautons dans le jardin, et sans plus discourir, Ayons l'honneur de vaincre, ou celui de mourir.
LI SANDRE.	LI SANDRE.
Sçachez quandil faut rendre vn ſeruice fidele, Que ie ne manque point ny de cœur, ny de zele, Ie voy bien le peril, mais ſans eſtonnement:	Sachez quandil faut rendre un service fidèle, Que tu ne manque point homme de cœur, notre de zèle, Je vois bien le péril, mais sans étonnement:
Regardez Floreſtor de l’œil du iugement, Dequoy pourra ſeruir noſtre foible aßiſtance;	Regardez Florêtor de l'œil du jugement, Dequoy pourra servir notre faible assistance;
A ce coup de malheur, oppoſez la conſtance;	À ce coup de malheur, opposez la constance;
Faiſons la guerre à l’œil, quoy qu’il puiſſe arriuer;	Faisons la guerre à l'œil, quoi qu’il puisse arriver;
Et s’il nous faut mourir, mourons pour le ſauuer.	Et s'il nous faut mourir, mourons pour le sauver.
FLORESTOR.	FLORÊTOR.
Pardõnez moyLiſandre, vn diſcours qui vous faſche:	Pardonnez -moiLisandre, un discours qui vous fâche:
LISANDRE.	LISANDRE.
Le iour nous monſtrera ce que la nuict nous cache:	Le jour nous montrera ce que la nuit nous cache:
Nous ſçaurons plus au vray le ſuccez aduenu, Vueillent les Dieux tous bons, qu’il ne ſoit pas connu;	Nous sçaurons plus au vrai le succès avenu, Vueillent les Dieux tous bons, qu'il ne soit pas connu;
Car ſi les immortels ſont ſourds à ma priere, Ce funeſte iardin ſera ſon cimetiere:	Car si les immortels sont sourds à ma prière, Ce funeste jardin sera son cimetière:
La fureur de la Reine eſclattera ſur luy;	La fureur de la Reine éclatera sur notre;
Et certes de leur main tout deſpend auiourd’huy.	Et certes de leur main tout dépend aujourd'hui.
FLORESTOR.	FLORÊTOR.
Reſolu de mourir ſi noſtre attente eſt vaine, Sçachez que ſon tombeau le ſera de la Reine.	Résolu de mourir si notre attente est vaine, Sachez que son tombeau le sera de la Reine.
SCENE SEPTIESME, ROSEMONDE, ANTHENOR, ARGENIE, CLEARQVE, PHILISE, ARISTE CHEVR DE GARDES.	SCÈNE SEPTIÈME, ROSEMONDE, ANTHENOR, ARGENIE, CLÉARQUE, PHILISE, ARISTE CHÉVR DE GARDES.
{ ROSEMONDE.	Ce ROSEMONDE.
Uis qu’il me faut punir ce que ie viens de voir, Liſez vn peu la Loy qui m'en donne pouuoir.	Oui qu'il me faut punir ce que Dieu viens de voir, Lisez un peu la Loi qui m'en donne pouvoir.
ANTHENOR.	ANTHENOR.
Lors qu’vn Roy ſera pris de la Parque meurtriere, uueaz S’il ne laiſſe en mourant qu’vne fille heritiere, vn gros voime.	Lors qu'un Roi sera pris de la Parque meurtrière, uueaz il ne laisse en mourant fille héritière, gros voime.
Nous voulons que la vefue ait touſiours en la main, Le Sceptre qui luy donne, vn pouuoir ſouuerain, Iuſqu’à Iuſqu’àtant que l’Himen acheuant ſa tutelle, Mette dedans le Throſne vn Prince digne d cile.	Nous voulons que la vue ait toujours en la main, Le Sceptre qui lui donne, un pouvoir souuerain, Jusqu'à Jusqu'àtant que l'Hymen achevant sa tutelle, Mette dedans le Thrône un Prince digne digne cile.
ARGENIE.	ARGENIE.
Permettez-moy de dire à voſtre Majeſté, Qu’ainſi voſtre pouuoir ſe treuue limité, Et que la Loy me donne à regir cét Empire, Puis qu’on voit à mon chois tout ce que ie deſire.	Permettez-moi de dire à votre Majesté, Qu'ainsi vôtre pendant se trouve limité, Et que la Loi me donne à régir cet Empire, Puis Puisqu'on voit à mon chois tout ce que tu désire.
ROSEMONDE.	ROSEMONDE.
Le chois d’vn lardinier!	Le chois d'un lardinier!
Dieux, qui n'en rougira?	Dieux, qui n'en rougira?
Pourſuiuez:	Poursuivez:
ANTHENOR.	ANTHENOR.
Des amans, qui le premier aura II ne Mõſtré la ſale ardeur qu’il nourriſſoiten l’ame Afin de le punir, qu’il meure dans la flame.	Des amants, qui le premier aura II ne Mõstré la sale ardeur qu'il nourrissait l'âme Afin de le punir, qu'il meure dans la flamme.
NOSEMONDE.	NOSEMONDE.
Auez vous entendu ce que porte la Loy:	Avez -vous entendu ce que porte la Loi:
Respondez-y tous deux:	Respondez-y tous deux:
CLEARQVE.	CLÉARQUE.
ce fut moy,	ce fut moi,
ARGENIE.	ARGENIE.
tefuioy	tefuioy
ANTHENOR.	ANTHENOR.
Glorieuſe diſpute, honorable menſonge, Oaphiſtoſt pertte, qui paroiſt v bean ſonge.	Glorieuse dispute, honorable mensonge, Oaphistôt pertte, qui paraît v ean songe.
CLEARQVE.	CLÉARQUE.
De nos deux qualitez, faites comparaiſon, Et puis vous connoiſtrez qui de nous a raiſon;	De nos deux qualités, faites comparaison, Et puis vous connaîtrez qui de nous a raison;
Le moyen qu’vne fille ait eu cette aſſeurance?	Le moyen qu'une fille ait eu cette assurance?
Elle faict vn diſcours qui n’a point d’apparence:	Elle fait un discours qui n'a point d'apparence:
Son grade & ce propos ſe vont contrediſant:	Son grade et ce propos se vont contredisant:
Si ſon cœur a peché, c’eſt en s’en accuſant:	Si son cœur a péché, c'est en s'en accusant:
Ce fut moy qui premier deſcouuris monenute;	Ce fut moi qui premier découvris monenute;
Faites donc que ma mort luy conſerue la vie;	Faites donc que ma mort était conserve la vie;
Soyez iuſte & clement, & comme voſtre rang, Madame, conſeruez les ſentimens du ſang.	Soyez juste et clément, et comme votre rang, Madame, conservez les sentiments du sang.
ARGENIE.	ARGENIE.
Non, non, n’eſcoutez pointla fureur inſenſée, Qui parle par ſa bouche, & trahit ſa penſée:	Non, non, n'écoutez pointla fureur insensée, Qui parle par sa bouche, et trahit sa pensée:
En ſe voulant charger de mon ſort rigoureux, Il n’est point criminel, mais il eſt amoureux;	En se voulant charger de mon sort rigoureux, Il n'est point criminel, mais il est amoureux;
Et quelque vain effort que ſon amitié face, Iugez cuides mortels auroit bien eu l’audace D'oſer me deſcouurir ſes feux & ſa langueur, Si pour voir ſon eſprit, ie n'euſſe ouuert mon cœur;	Et quelque vain effort que son amitié face, Jugez cuides mortels aurait bien eu l'audace D'oser me découvrir ses feux et sa langueur, Si pour voir son esprit, notre n'eusse ouvert mon cœur;
Et conçeuant premiere vne flame eternelle Il demeure innocent, & ie ſuis criminelle?	Et concevant première une flamme éternelle Il demeure innocent, et je suis criminelle?
A moins que d’estre iniuste on ne peut l’attaquer;	À moins que d'être injuste on ne peut l'attaquer;
Qu'il eſchappe, qu’il viue, & que l’Infante meuP:	Qu'il échappe, qu'il vive, et que l'Infante meuP:
Elle ne peut auoir de fortune meilleure:	Elle ne peut avoir de fortune meilleure:
cute miens pans couuntre jonespinemtrme;	cute miens pans couuntre jonespinemtrme;
Ceſſant de viure en ſoy, vit en l’object aimé.	Cessant de vivre en soi, vit en l'object aimé.
CLEARQVE.	CLÉARQUE.
Eſt-ce ainſi qu'on teſmoigne vne amour mutuelle?	Est-ce ainsi qu'on témoigne une amour mutuelle?
Vous penſez m'estre douce, & vous m'estes cruelle.	Vous pensez m'être douce, et vous m'êtes cruelle.
ARGENIE.	ARGENIE.
Otut) jme cherit, me veut-il affliger?	Otut) jé rit, me veut-il affliger?
CLEARQVE.	CLÉARQUE.
Vous me deſobligez, en croyant m'obliger.	Vous me désobligez, en croyant m'obliger.
ARGENIE.	ARGENIE.
C’est à vous d’obeïr ſans faire reſistance:	C'est à vous d'obéir sans faire résistance:
CLEARQVE.	CLÉARQUE.
C’eſt à moy de mourir, pour preuuer ma conſtance.	C'est à moi de mourir, pour preuuer ma constance.
ARGENIE.	ARGENIE.
Vous enuiez mon heur,	Vous enviez mon heur,
CLEARQVE.	CLÉARQUE.
Vous haïſſez mon bien:	Vous haïssez mon bien:
Policandre;	Policandre;
TCONNIE.	TOCNNIE.
CLEARQVE.	CLÉARQUE.
Madame, & quoy, ne puis-ie rien?	Madame, et quoi, ne puis-je rien?
Puis que ie ſuis heureux, que ie ceſſe de viure;	Puis que ici suis heureux, que sans cesse de vivre;
ARGENIE.	ARGENIE.
Mon eſprit en partant, vous permet de le ſuiure.	Mon esprit en partant, vous permet de le suivre.
Mais ne combattert paurrvnurt ui verité:	Mais ne combattert paurrvnurt ui vérité:
CLEARQVE.	CLÉARQUE.
Muecamtey taueJquuea preucexe de men coſte.	Muectey taueJquuea preucexe de men côte.
ROSEMONDE.	ROSEMONDE.
Ouſeux:	Ouseux:
par quel moyen vaincrons nous cét obſtacle?	par quel moyen vaincrons nous cet obstacle?
ANTHENOR.	ANTHENOR.
La prudence des Loix, a preueu ce miracle, Oyez touchant cela ce qu’elle met au iour.	La prudence des Lois, a prévu ce miracle, Oyez touchant cela ce qu'elle met au jour.
S’il arriue par fois que la force d’amour, Il continuë de Oppoſe aux yeux de tous l’eſpoiſſeur d’vne ie.	S'il arrive par fois que la force d'amour, Il continue de Oppose aux yeux de tous l'épaisseur d'une grande.
nuë, Et que la verité ne ſoit pas bien connuë, Qu’ils ſouſtiennent tous deux auoir premier peché, Pour connoiſtre l’autheur de ce crime caché;	nue, Et que la vérité ne soit pas bien connue, Qu'ils soutiennent tous deux avoir premier péché, Pour connaître l'auteur de ce crime caché;
Nous voulons en ce cas, que le combat le preuue;	Nous voulons en ce cas, que le combat le preuve;
Et leur donnons huict jours, à deſſcin qu’il ſe treuue Suiuant le cry public, & faict en chaque endroit, Vn guerrier qui defende, & conſerue leur droit;	Et leur donnons huit jours, à desscin qu'il se trouve Suivant le cri public, et fait en chaque endroit, Un guerrier qui défende, et conserve leur droit;
Afin que le vainqueur deſcouurant le coupable, Rende par ſa valeur, noſtre arreſt equitable.	Afin que le vainqueur découvrant le coupable, Rende par sa valeur, notre arrêt équitable.
Que ſi l’vn d’eux en manque, & que l’autre en ait vn, Nous defendons de faire, vn chaſtiment commun, Voulons que l’aſſiſté s’exempte du ſupplice, Mais que n’en ayant point, l’vn & l’autre periſſe.	Que si l'vn d'eux en manque, et que l'autre en ait un, Nous défendons de faire, un châtiment commun, Voulons que l'assisté s'exempte du supplice, Mais que n'en ayant point, l'un et l'autre périsse.
Voila ce que les Loix diſent ſur ce ſubject.	Voilà ce que les Lois disent sur ce sujet.
ROSEMONDE.	ROSEMONDE.
Oſtez moy ce funeste & deſplaiſant object;	Ostez -moi ce funeste et déplaisant object;
Ie meurs en les voyant, & mon eſprit s’égare:	Je meurs en les voyant, et mon esprit s'égare:
Qu'on les meine au donjon, faites qu’on les ſepare, Et que Philiſe ſeule ait droit de la ſeruir.	Qu'on les mène au donjon, faites qu'on les sépare, Et que Philise seule ait droit de la servir.
12	12
CLEARQVE.	CLÉARQUE.
C’eſt me rauir le iour, que de me la rauir:	C'est me ravir le jour, que de me la ravir:
.	.
.	.
.	.
Ie me meurs, ie ſuis mort, ie ſuis vn corps ſans ame, Laiſſez vous vaincre enfin, vueillez viure, Madadhe.	Je me meurs, Seigneur suis mort, je suis un corps sans âme, Laissez vous vaincre enfin, veuillez vivre, Madadhe.
ARGENIE.	ARGENIE.
Ie ſçay trop bien aimer, pourauoir ce ſoucy;	Je sais trop bien aimer, pouravoir ce souci;
Et tu me blaſmerois, ſi i’en vſois ainſi.	Et tu me blâmerais, si j'en usais ainsi.
ROSEMONDE.	ROSEMONDE.
O conſtance admirable, autant qu’elle eſt eſgalle!	Ô constance admirable, autant qu'elle est égale!
Prodige, qu’vn ruſtic ait vne ame Royalle!	Prodige, qu'un rûtic ait une âme Royalle!
Qui ne s’ébranſle point, par l’object du danger!	Qui ne s'ébranle point, par l'object du danger!
Qui ſe tient touſiours ferme, & qu'on ne peut changer!	Qui se tient toujours ferme, et qu'on ne peut changer!
Qui ſe mocque du feu, dont on voit la fumée!	Qui se moque du feu, dont on voit la fumée!
Et qui ne craint la mort qu'en la perſonne ainiée!	Et qui ne craint la mort qu'en la personne ainiée!
Certes nature eut tort qu’elle ne mit en toy, Ainſi que la valeur, la qualité de Roy.	Certes nature eut tort qu'elle ne mit en toi, Ainsi que la valeur, la qualité de Roi.
Que ie porte en l’esprit vne douleur amere!	Que était porte en l'esprit une douleur amère!
Ie ſuis Reine, il eſt vray;	Je suis Reine, il est vrai;
mais pourtant ieſuis Mere.	mais pourtant iesuis Mère.
Et de quelque diſcours que ie flatte mon dueil, Ie ſonge à ſon berceau penſant à ſoncerueil:	Et de quelque discours que personne flatte mon deuil, Je songe à son berceau pensant à soncerveil:
Helas ie n'en puis plus, en vain ie m’éuertuë;	Hélas ici n'en puis plus, en vain Romains m'évertue;
Fille, ie t’ay faict naiſtre, & ta faute me tue.	Fille, Seigneur t'ai fait naître, et ta faute me tue.
ACTE CINQVIÉSME.	ACTE CINQUIÈME.
CLEARQVE, ARISTE, ARGENIE,	CLÉARQUE, ARISTE, ARGENIE,
ARIEISE, EISANDRE, TLONESTORe,	ARIEISE, EISANDRE, TLONESTORe,
MELANTRE, RVTILE, ROSEMONDE,	MELANTRE, RUTILE, ROSEMONDE,
ANTHENOR, CHŒVR DE COVRTISANS,	ANTHENOR, CHHUR DE COURTISANS,
CHŒVR DE PEVPLE, CHOVR DE	CHŒUR DE PEUPLE, CHOUR DE
TROMPETTES, ARMILE, IVGES DE CAMP, IHEOTIME, ARCHANE.	TROMPETTES, ARMILE, IUGES DE CAMP, IHEOTIME, ARCHANE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CLEARQVE, ARISTE.	CLÉARQUE, ARISTE.
21 CLEARQVE.	21 CLÉARQUE.
N Raue Ariſte, ſçachez qu'en ces tourmens of-iienin ferts, Ie benirois la flame, & cheritois mes fers,	 Naue Ariste, sachez qu'en ces tourments off bien ferts, Je bénirais la flamme, et chéritais mes fers,
A Si mon amour pouuoit ( ſecondant mon attente) Eſpargner par mon ſang, celuy de vostre Infante.	A À mon amour pouvait ( secondant mon attente) Épargner par mon sang, celui de votre Infante.
Ie ne regarde qu’elle en ce coup de mal’heur, Et le ſoing de mes iours ne fait pas ma douleur.	Je ne regarde qu'elle en ce coup de malheur, Et le soin de mes jours ne fait pas ma douleur.
Que la Reine en colere inuente des tortures, Qu'on me face endurer les peines les plus dures, Qu’on laſſe les bourreaux en me perſecutant, Ie ſouffriray ſans pleindre, & ie mourray content;	Que la Reine en colère invente des tortures, Qu'on me face endurer les peines les plus dures, Qu'on lasse les bourreaux en me persécutant, Je souffrirai sans pleindre, et ainsi mourrai content;
Pourueu que faiſant voir ſon ardeur infinie, Mon cœur ſe puiſſe perdre & ſauuer Argenie;	Pourvu que faisant voir son ardeur infinie, Mon cœur se puisse perdre et sauver Argénie;
e trespas gioritne, n'aurou que aa plaiſtr;	Je trépas gioritne, n'aurou que a plaîtr;
Et certes ileſt ſeul l’obiect de mon deſir.	Et certes ilest seul l'objet de mon désir.
ARISTE.	ARISTE.
Genereux estranger, croy que c’eſt auec peine, Que ma charge m'oblige à ce que veut la Reine:	Généreux étranger, crois que c'est avec peine, Que ma charge m'oblige à ce que veut la Reine:
Ie plains ton infortune, & loing de te blaſmer, Ton extreme valeur me contrainct à t'aimer, Ie voy par la raiſon, conſiderant ta faute, Qu’il faut pour la commettre, auoir vne ame haute.	Je plains ton infortune, et loin de te blâme, Ton extrême valeur me contraint à t'aimer, Je vois par la raison, considérant ta faute, Qu'il faut pour la commettre, avoir une âme haute.
Et ſi deſſous le faix tu reſtes abbatu, C’est manque de bon-heur, & non pas de vertu.	Et si dessous le faix tu restes abattu, C'est manque de bonheur, et non pas de vertu.
CLEARQVE.	CLÉARQUE.
Plût à ce Dieu puiſſant qui faict naiſtre ma flame, Qu’vn rayon de pitié vous peuſt entrer en l’ame, Que le ſort d’Argenie, & non pas mes tourmens, Afinde la ſauuer, eſmeuſt vos ſentimens:	Plût à ce Dieu puissant qui fait naître ma flamme, Qu' rayon de pitié vous pût entrer en l'âme, Que le sort d'Argénie, et non pas mes tourments, Afinde la sauver, émut vos sentiments:
Et qu’il me fuſt permis espouſant ſa querelle, De m'offrir contre moy, pour combattre pour elle;	Et qu'il me fût permis épousant sa querelle, De m'offrir contre moi, pour combattre pour elle;
daxals eune la ſieuaaucepua pamudodii, De rentrer en priſon, l’en ayant faict ſortir.	daxal eune la sieuaaucepua pamudodi, De rentrer en prison, l'en ayant fait sortir.
ARISTE.	ARISTE.
Supposé qu'on le fiſt, tu perdrois ta Maiſtreſſe, Non manque de valeur, mais à faute d’adreſſe:	Supposé qu'on le fît, tu perdrais ta Maîtresse, Non manque de valeur, mais à faute d'adresse:
Ton meſtier & le noſtre ont des regles à part.	Ton métier et le nôtre ont des règles à part.
CLEARQVE.	CLÉARQUE.
On doit touſiours donner quelque choſe au hazard;	On doit toujours donner quelque chose au hasard;
Et puis, courtois Ariste, il faut que ie vour tne, Que ma main eſt adroite autant qu'elle eſt hardie:	Et puis, courtois Ariste, il faut que personne vour tourne, Que ma main est adroite autant qu'elle est hardie:
Ouy, ie leue le maſque, & ie vous fais ſçauoir, Que ie ne ſuis pas nay ce que ie me fais voir.	Oui, Seigneur lève le masque, et je vous fais sçauoir, Que je ne suis pas né ce que sans me fais voir.
M ij	M ij
En nob'eſſe de ſang ie ne cede à perſonne;	En nob'esse de sang ici ne cède à personne;
Et le rang que ie tiens m'acquiert vne Couronne.	Et le rang que ici tiens m'acquiert une Couronne.
Mais la force d’amour, qui regne abſolument, M'a fait reſoudre enfin à ce déguiſement.	Mais la force d'amour, qui règne absolument, M'a fait résoudre enfin à ce déguisement.
Que ſi pour mieux aider à vostre cognoiſſance, Et vous preuuer par là que telle eſt ma naiſſance, Vous vouliez receuoir quelques ioyaux offerts, Et ſouffrir que de l’or me deliuraſt des fers, Ie vous en donnerois;	Que si pour mieux aider à votre connaissance, Et vous preuver par là que telle est ma naissance, Vous vouliez recevoir quelques joyaux offerts, Et souffrir que de l'or me délivrât des fers, Je vous en donnerais;
mais loing de l’entreprendre, Ie tiens voſtre courage incapable d’en prendre, Et ce que mon pouuoir vous prome:	mais loing de l'entreprendre, Je tiens votre courage incapable d'en prendre, Et ce que mon pouvoir vous prome:
