A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC DE NICIELIEC.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DE NE NICIELIC.
Albe & Rome demain prendront vne autre face, Tes vœux ſont exaucés, elles auront la paix Et tu ſeras unie auec ton Curiace Sans qu’aucun mauuais ſort t’en ſepare iamais.	Albe et Rome demain prendront une autre face, Tes vœux sont exaucés, elles auront la paix Et tu seras unie était ton Curiace Sans qu'aucun mauvais sort t'en sépare jamais.
Ie pris ſur cet Oracle vne entiere aſſeurance, Et comme le ſuccés paſſoit mon eſperance, I’abandonnay mon ame à des rauiſſemens Qui paſſoiẽt les tranſports des plus heureux amãts.	Je pris sur cet Oracle un entière assurance, Et comme le succès passait mon espérance, J'abandonnai mon âme à des ravissements Qui passaient les transports des plus heureux amants.
Iugez de leut excés.	Jugez de leut excès.
Ie renconttay Valere Et contre ſa couſtume il ne me pût déplaire, Il me parla d’amour ſans me donnere d’ennuy, Ie ne m’apperceus pas que ie parlois à luy, Ie ne luy pûs monſtrer de meſpris ny de glace.	Je rencontaitai Valère Et contre sa coutume il ne me put déplaire, Il me parla d'amour sans me donne d'ennui, Je ne m'aperçus pas que sans parlais à Seigneur, Je ne lui pûs montrer de mépris ni de glace.
Tout ce que ie voyois me ſembloit Curiace, Tout ce qu’on me diſoit me parloit de ſes feux, Tout ce que ie diſois l’aſſeuroit de mes vœux.	Tout ce que ici voyais me semblait Curiace, Tout ce qu'on me disait me parlait de ses feux, Tout ce que jour disais l'assurait de mes vœux.
Le combat general auiourd’huy ſe hazarde, I’en ſceus hier la nouuelle, & ie n’y pris pas garde, Mon eſprit reiettoit ces funeſtes obiets Charmè des doux penſers d’Hymen & de la paix.	Le combat général aujourd'hui se hasarde, J'en sceus hier la nouvelle, et autre n'y pris pas garde, Mon esprit rejettait ces funestes objets Charmèrent des doux pensers d'Hymen et de la paix.
La nuict a diſſipé des erreurs ſi charmantes, Mille ſonges affreux, mille images ſanglantes, Ou pluſtoſt mille amas de carnage & d’horreur M’ont atraché ma ioye & renduma terreur.	La nuit a dissipé des erreurs si charmantes, Mille songes affreux, mille images sanglantes, Ou plutôt mille amas de carnage et d'horreur M'ont atraché ma joie et renduma terreur.
I'ay veu du ſang, des morts, & n’ay rien veu de.	J'ai vu du sang, des morts, et n'ai rien vu de.
iuite, Vn ſpectre en paroiſſant prenoit ſoudain la fuite, Ils s’effaçoient I’vn l’autre, & chaque illuſion Redoubloit mon effroy par ſa confuſion.	juite, Un spectre en paraissant prenait soudain la fuite, Ils s'effaçaient J'un l'autre, et chaque illusion Rédoublait mon effroi par sa confusion.
IVLIE.	IVLIE.
C’eſt en contraire ſens qu’vn ſonge s’interprete.	C'est en contraire sens qu'un songe s'interprète.
CAMILLE.	CAMILLE.
Ie le auis eronc am puis que le le Iounaite, Mais ie me trouue en fin malgré tous me ſouhaits Au jour d’vne bataille & non pas d’vne paix.	Je le avis eronc am puis que le le Jounaite, Mais tu me trouve en fin malgré tous me souhaits Au jour d'une bataille et non pas d'une paix.
IVLIE.	IVLIE.
Par là finit la guerre, & la paix luy ſuccede.	Par là finit la guerre, et la paix Seigneur succède.
CAMILLE.	CAMILLE.
Dure à iamais le mal s’il y faut ce reméde!	Dure à jamais le mal s'il y faut ce reméde!
Soit que Rome y ſuccombe, ou qu’Albe ait le deſſous, Cher Cher amant n’attend plus d’eſtre vn iour mon eſpous, (ſomne) Mon cœur (quelque grand feu qui pour toy le conNe veut ny le vainqueur, ny l’eſclaue de Rome.	Soit que Rome y succombe, ou qu'Albe ait le dessous, Cher Cher amant n'attend plus d'être un jour mon épous, (somne) Mon cœur (quelque grand feu qui pour toi le conNe veutgez le vainqueur, ni l'esclave de Rome.
Mais quel obiet nouueau ſe preſente en ces lieux?	Mais quel objet nouveau se présente en ces lieux?
Ele ce toy curiace:	Éle ce toi curiace:
en croray le mles yeux?	en crorai le mles yeux?
SCENE III.	SCÈNE III.
CVRIACE, CAMILLE, IVLIE.	CURICE, CAMILLE, IVLIE.
CVRIACE.	CURICE.
’En doutés point, Camille, & renuoyés vn homme Qui n’eſt ny le vainqueur, ny l’eſclaue de Rome:	Ç'En doutés point, Camille, et renvoyez un homme Qui n'est ni le vainqueur, Seigneur l'esclaue de Rome:
Ceſſés d’aprehendet de voir rougir mes mains Du poids honteux des fers ou du ſang des Romains, I’ay creu que vous aymiez aſſés Rome & la gloire Pour meſpriſer ma chaiſne & hayr ma victoire, Et comme eſgalement en cette extremité Ie craignois la victoire & la capriuité.	Cessez d'appréhendet de voir rougir mes mains Du poids honteux des fers ou du sang des Romains, J'ai cru que vous aimiez assez Rome et la gloire Pour mépriser ma chaîne et haïr ma victoire, Et comme également en cette extrémité Je craignais la victoire et la caprivité.
CAMILLE.	CAMILLE.
Curiace, il ſuffit, ie deuine le reſte, Tu fuis vne bataille à tes vœus ſi funeſte.	Curiace, il suffit, Seigneur devine le reste, Tu fuis quelque bataille à tes vœus si funeste.
Et ton cœur tout à moy pour ne me perdre pas Deſiobe à ton pays le ſecours de ton bras Qu’vn autre conſidere icy ta renommée, Et te blaſme s’il veut de m’auoir trop aymée, Ce n’eſt point à Camille à t’en meſeſtimer, Plus ton amour paroiſt, plus elle doit t’aymer, Et ſi tu dois beaucoup aux lieux qui t’ont veu naiſtre, d.	Et ton cœur tout à moi pour ne me perdre pas Désiobe à ton pays le secours de ton bras Qu'un autre considère ici ta renommée, Et te blâme s'il veut de m'avoir trop aimée, Ce n'est point à Camille à t'en mésestimer, Plus ton amour paraît, plus elle doit t'aimer, Et si tu dois beaucoup aux lieux qui t'ont veu naître, d.
211 Plus tu quittes pour moy, plus tu le fais paroiſtre, Mais as-tu veu mon pere, & peut- il endurer Qu’ainſi dans ſa maiſon tu t’oſes retiter?	211 Plus tu quittes pour moi, plus tu le fais paraître, Mais as-tu vu mon père, et peut- il endurer Qu'ainsi dans sa maison tu t'oses retiter?
Ne prefere-t’il point l’Eſtat à ſa famille?	Ne préfère-t-il point l'État à sa famille?
Ne regarde t’il point Rome plus que ſa fille?	Ne regarde t'il point Rome plus que sa fille?
En fin noſtre bon heur eſt-il bien affermy?	En fin notre bon heur est-il bien affermi?
my?	mi?
I’a t’il veu comme gelldle ou oien comme enne	J'a t'il vu comme gellèdle ou oyen comme enne
CVRIACE.	CURICE.
Il m’a veu comme gendre auec vne tendreſſe, Qui teſmoignoit aſſez vne entiere allegreſſe:	Il m'a vu comme gendre auectaît tendresse, Qui témoignait assez entière allégresse:
Mais il ne m’a point veu par vne trahiſon Indigne de l’honneur d’entrer dans ſa maiſon.	Mais il ne m'a point vu par une trahison Indigne de l'honneur d'entrer dans sa maison.
Ie n’abandonne point l’intereſt de ma ville, I’ayme encor mon honneur en adorant Camille;	Je n'abandonne point l'intérêt de ma ville, J'aime encor mon honneur en adorant Camille;
Tant qu’a duré la guerre on m’a veu conſtamment Auſſi bon citoyen comme fidelle amant.	Tant qu'a duré la guerre on m'a vu constamment Aussi bon citoyen comme fidèle amant.
D’Albe auec mon amour i’accordois la querelle, le ſouſpirois pour vous en combatant pour elle;	D'Albe avec mon amour j'accordais la querelle, le soupirais pour vous en combattant pour elle;
Et s’il falloit encor que l’on en vint aux coups Ie combatrois pour elle en ſouſpirant pour vous.	Et s'il fallait encor que l'on en vint aux coups Je combatrais pour elle en soupirant pour vous.
Oüy, malgré les deſirs de mon ame charmée, Si la guerre duroit ie ſerois dans l’armée:	Oui, malgré les désirs de mon âme charmée, Si la guerre durait apprendre serais dans l'armée:
ces, C’eſt la paix qui chez vous me donne vn libre acLa paix à qui nos feux doiuent ce beau ſuccés.	ces, C'est la paix qui chez vous me donne un libre acLa paix à qui nos feux doivent ce beau succès.
CAMILLE.	CAMILLE.
La paix!	La paix!
& le moyen de croire vn tel miracle?	et le moyen de croire un tel miracle?
IVLIE.	IVLIE.
Camille pour le moins croyez en voſtre oracle.	Camille pour le moins croyez en votre oracle.
Et ſçachons pleinement par quels heureux effets L’heure d’vne bataille a produit cette paix.	Et sachons pleinement par quels heureux effets L'heure d'une bataille a produit cette paix.
CVRIACE.	CURICE.
mées Dieux, qui l’euſt iamais creu!	mens Dieux, qui l'eût jamais cru!
Deſia les deux arD’vne eſgale chaleur au combat animées Se menaçoient des yeux, & marchant fierement N’attendoient pour donner que le cõmandement, Quand noſtre Dictateur deuant les rangs s’avance, Demande à voſtre Prince vn moment de ſilence, Et l’ayant obtenu.	Déjà les deux arD'une égale chaleur au combat animées Se menaçaient des yeux, et marchant fièrement N'attendaient pour donner que le commandement, Quand notre Dictateur devant les rangs s'avance, Demande à votre Prince un moment de silence, Et l'ayant obtenu.
Que faiſons-nous, Romains, Dit-il, & quel Demon nous fait venir aux mains?	Que faisons-nous, Romains, Dit-il, et quel Démon nous fait venir aux mains?
Souffions que la raiſon eſclaire en fin nos ames, Nous	Souffions que la raison éclaire en fin nos âmes, Nous
ANAGEDIL.	ANAGEDIL.
11 Nous ſommes vos voiſins, nos filles ſont vos femmes.	11 Nous sommes vos voisins, nos filles sont vos femmes.
nœuds Et l’Hymen nous a ioints par tant & tant de Qu’il eſt peu de nos fils qui ne ſoient vos neueux, Nous ne ſommes qu’vn ſang, & qu’vn peuple en deux villes, Pourquoy nous deſchirer par des guerres civiles, Où la mort des vaincus affoiblit les vainqueuts, Et le plus beau triomphe eſt arrouſé de pleurs?	nœuds Et l'Hymen nous a joints par tant et tant de Qu'il est peu de nos fils qui ne soient vos neueux, Nous ne sommes qu'un sang, et qu'un peuple en deux villes, Pourquoi nous déchirer par des guerres civiles, Où la mort des vaincus affaiblit les vainqueuts, Et le plus beau triomphe est arrousé de pleurs?
Nos ennemis communs attendent auec joye Qu’vn des partis deffait leur dõne l’autre en proye, Laſſé, demy rõpu, vainqueur, mais pour tout fruit Deſnué d’vn ſecours par luy-meſme deſtruit.	Nos Ennemis communs attendent avec joie Qu'un des partis défait leur donné l'autre en proie, Lassé, demi répu, vainqueur, mais pour tout fruit Desnué d'autre secours par un-même détruit.
Ils ont aſſés long temps iouy de nos diuorces, Cõtre eux doreſnauant ioignons toutes nos forces Et noyons dans l’oubly ces petits differents Qui de ſi bons guerriers font de mauuais parents.	Ils ont assez long temps joui de nos divorces, Constre eux dorénavant joignons toutes nos forces Et noyons dans l'oubli ces petits différents Qui de si bons guerriers font de mauvais parents.
Que ſi l’ambition de commander aux autres (ſtres, Fait marcher auiourd’huy vos troupes & les noPourueu qu’à moins de fang nous voulions l’appaiſer, Elle nous vnira loin de nous diuiſer, Nommons des combatans pour la cauſe cõmune, Que chaque peuple aux ſiens attache ſa fortune, Et ſuiuant ce que d’eux ordonnera le ſort, Que le party plus foible obeiſſe au plus fort:	Que si l'ambition de commander aux autres (stres, Fait marcher aujourd'hui vos troupes et les noPourvu qu'à moins de sang nous voulions l'apaiser, Elle nous unira loin de nous diviser, Nommons des combattants pour la cause commune, Que chaque peuple aux siens attache sa fortune, Et suivant ce que d'eux ordonnera le sort, Que le parti plus faible obéisse au plus fort:
Mais ſans indignité pour des guerriers ſi braues, Qu’ils deuiennent ſuiets ſans deuenir eſclaués, Sans honte, ſans tribut & ſans autre rigeur, (queur.	Mais sans indignité pour des guerriers si braves, Qu'ils deviennent sujets sans devenir esclaués, Sans honte, sans tribut et sans autre rigeur, (queur.
Que de ſuiure en tous lieux les drapeaux du vainriintr lios cieur Eitats le feront qu’vn Empire.	Que de suivre en tous lieux les drapeaux du vainriintr ios cieur Eitats le feront qu'un Empire.
A ces mots il ſe taiſt, d’aiſe chacun ſouſpire, Chacun iettant les yeux dans vn rang ennemy Recognoiſt vn beaufrere, vn couſin, vn amy, Ils s’eſtonnent comment leurs mains de ſang aui	À ces mots il se taît, d'aie chacun soupire, Chacun jetant les yeux dans un rang ennemi Recognoist un beauffre, un cousin, un ami, Ils s'étonnent comment leurs mains de sang aujun
vOVoloient ſans y penſer à tant de parricides, Et font paroiſtre vn front couuert tout à la fois D’horteur pour la bataille, & d’ardeur pour ce choix.	vOUolaient sans y penser à tant de parricides, Et font paraître un front couvert tout à la fois D'horteur pour la bataille, et d'ardeur pour ce choix.
En fin l’offre s’accepte, & la paix deſirée Sous ces conditionis eſt auſſi-toſtiurée, (choiſir Trois combatront pour tous, mais pour les mieux Nos chefs ont voulu prendre vn peu plus de loiſir, Le voſtre eſt au Senat, le noſtre dans ſa tente.	En fin l'offre s'accepte, et la paix désirée Sous ces conditionis est aussi-tostiurée, (choisir Trois combatront pour tous, mais pour les mieux Nos chefs ont voulu prendre un peu plus de loisir, Le vôtre est au Sénat, le vôtre dans sa tente.
CAMILLE.	CAMILLE.
O Dieux, que ce diſcours rend mon ame contenté!	Ô Dieux, que ce discours rend mon âme contenté!
CVRIACE.	CURICE.
Dans deux heures au plus par vn commun accord Le ſort de nos guerriers reglera noſtre ſort, Cependant tout eſt libre attendant qu’on les nomme, (Rome, Rome eſt dans noſtre camp, & noſtre camp dans D’vn & d’autre coſté l’accés eſtant permis Chacun va renouër auec ſes vieux amis Pour moy, ma Paſſion m’a fait ſuiure vos freres, Et mes deſirs ont eu des ſuccés ſi proſperes, Que l’autheur de vos iours m’a promis à demain Le bon-neur lans paren de vous domiet la main.	Dans deux heures au plus par un commun accord Le sort de nos guerriers réglera notre sort, Cependant tout est libre attendant qu'on les nomme, (Rome, Rome est dans notre camp, et notre camp dans D'un et d'autre côté l'accès étant permis Chacun va renouer avec ses vieux amis Pour moi, ma Passion m'a fait suivre vos frères, Et mes désirs ont eu des succès si prospères, Que l'auteur de vos jours m'a promis à demain Le bon-neur lans paren de vous domiet la main.
Vous ne deuiendrez pas rebelle à ſa puiſſance?	Vous ne deviendrez pas rebelle à sa puissance?
CAMILLE.	CAMILLE.
Le deuoir d’vne fille eſt en l’obeiſſance.	Le devoir d'une fille est en l'obéissance.
CVRIACE.	CURICE.
Venes donc receuoir ce doux commandement Qui doit mettre le comble à mon contentement.	Venes donc recevoir ce doux commandement Qui doit mettre le comble à mon contentement.
CAMILLE.	CAMILLE.
Ie vay ſuiure vos pas, mais pour reuoir mes freres, Et ſçavoir d’eux encor la fin de nos miſeres.	Je vais suivre vos pas, mais pour revoir mes frères, Et savoir d'eux encor la fin de nos misères.
IVLIE.	IVLIE.
Allés, & cependant au pied de nos autels l’iray rendre pour vous graces aux immortels.	Allz, et cependant au pied de nos autels l'irai rendre pour vous grâces aux immortels.
