SL T ND LI MONSIEVR D.	SL T ND LI MONSIEUR D.
fortpra MMais helas aujourd’huy ſur le tombeau pãchant, vne nDeuant que ma lumiere arriue à ſon Couchant, ſcauon l'e veux bien que ta voix, dont les chanſons diuines, ſouuẽt Attirent les écueils, & les Nymphes marines, orme ronu Raconte en nos foreſts quel object glorieux Imond Du Berger Lucilys fut ſi victorieux:	fortpra MMais hélas aujourd'hui sur le tombeau passant, une nDeuant que ma lumière arrive à son Couchant, scavon l'e veux bien que ta voix, dont les chansons divines, souvent Attirent les écueils, et les Nymphes marines, orme ronu Raconte en nos forêts quel object orieux Imond Du Berger Lucily fut si victorieux:
dleſerte, Apprends donc le ſujet d’vn rigoureux martire ente, Afin qu'à l’auenir tu le puiſſes redire.	dleserte, Apprends donc le sujet d'un rigoureux martyre ente, Afin qu'à l'avenir tu le puisses redire.
ergere, En la ſaiſon qui bruſle à l’eſclat violant ten que produit le Soleil de flame eſtincelant, is, Tous Puuurt quand les épics dorez que le moiſſonneur cueille Tombent cõme en Automne on voit tõber la fueille, I’auois mis mon troupeau ſous le creux d’vn rocher Où l’ardeur du Soleil ne le pouuoit toucher,	ergère, En la saison qui brûle à l'éclat violant ten que produit le Soleil de flamme étincelant, is, Tous Puchurt quand les épics dorés que le moissonneur cueille Tombent comme en Automne on voit tomber la fueille, J'avais mis mon troupeau sous le creux d'un rocher Où l'ardeur du Soleil ne le pouvait toucher,
En ſuiuant ſans deſſein mon humeur ſolitaire Deſſus noſtre ruiſſeau dont l’onde eſt fraiſche & claire, Et cherchant les doux vents dont ce bois reſonnoit, Aucun ſuject d’ennuy mon cœur ne ſoupçonnoit, Quand i’apperceus de loin tant de rares merueilles Que iamais Adonis n’en connut de pareilles.	En suivant sans dessein mon humeur solitaire Dessus notre ruisseau dont l'onde est fraîche et claire, Et cherchant les doux vents dont ce bois résonnait, Aucun sujet d'ennui mon cœur ne soupçonnait, Quand j'aperçus de loin tant de rares merveilles Que jamais Adonis n'en connut de pareilles.
Car i’apperceus Cloris qui mourut en aimant, Lycoris qui rauit d’vn viſage animant, Et Cythere aux beaux yeux ſa chere confidante, Auec Amaryllis cette Nymphe inconſtante, qui leur diſoit alors, ſans m’auoir entendu, Car ſans faire aucun bruit ie m’eſtois là rendu:	Car j'aperçus Cloris qui mourut en aimant, Lycoris qui ravit d'un visage animant, Et Cythere aux beaux yeux sa chère confidante, Avec Amaryllis cette Nymphe inconstante, qui leur disait alors, sans m'avoir entendu, Car sans faire aucun bruit grande m'étais là rendu:
Nymphes de ces foreſts, quel demon nous empeſche D’eſteindre noſtre ardeur dans vne onde ſi fraiſche, Voyez que la lumiere & l’ombre s’endurant Ne brãlent qu’aux ſouſpirs du Zephir murmurãt;	Nymphes de ces forêts, quel démon nous empêche D'éteindre notre ardeur dans une onde si fraîche, Voyez que la lumière et l'ombre s'endurant Ne branlent qu'aux soupirs du Zéphir murmurant;
Zephir accorde icy le bruit de ſon haleine mnmimuimure puvonue efuiaut ueſſus l'arene;	Zéphir accorde ici le bruit de son haleine ménimuimure puvonue éfuiaut us l'arène;
Icy quitte le Ciel vne trouppe d’oiſeaux Pour ſe plonger das l'onat at'omvrt ues rameaux;	Ici quitte le Ciel une troupe d'oiseaux Pour se plonger das l'onat atm e aux;
Ne craignez point qu’icy nul Amãt nous regarde, Car Melampe eſt icy, noſtre fidelle garde.	Ne craignez point qu'ici nul Amant nous regarde, Car Melampe est ici, notre fidèle garde.
Sohtar Fraij Moy connu de Melampe autant que ſes brebis Ie les vis conſentir à laiſſer leurs habits, Et ſe mettre en l’eſtat, où d’vn regard prophane Dans vn cryſtal coulant ſe courrouça Diane.	Soutar Fraij à connu de Melampe autant que ses brebis Je les vis consentir à laisser leurs habits, Et se mettre en l'état, où d'un regard prophane Dans crystal coulant se courrouça Diane.
Elles furent long-temps que la fraiſcheur de l’eau Les empeſchoit d’entrer au profond du ruiſſeau:	Elles furent longtemps que la fraîcheur de l'eau Les empêchait d'entrer au profond du ruisseau:
Mais quoy?	Mais quoi?
leur dit Cithere, & quoy troupe craintiN’oſez-vous pas encor abandonner la riue?	leur dit Cithère, et quoi troupe craintiN osez-vous pas encor abandonner la rive?
ue, Et ſans crainte s’élance au plus viſte courant vfidan Où ſon teint de frayeur deuint paſle & mourant, inte, , Car l’onde l’emportoit d’vne courſe vn peu forte:	ue, Et sans crainte s'élance au plus vite courant vidan Où son teint de frayeur devint pâle et mourant, inte, , Car onde emportoit course peu forte:
Alors elle s’eſcrie, ô mes Sœurs ie ſuis morte, rendu:	Alors elle s'écrie, ô mes Sœurs où suis morte, rendu:
Le fleuue me ſurmonte en ſon furieux cours, fio ant Tent Si quelque puiſſant Dieu ne vient à mon ſecours.	Le fleuve me surmonte en son furieux cours, fio ant Tent Si quelque puissant Dieu ne vient à mon secours.
Moy conduit par ſa plainte abordant le riuage Pour luy donner ſecours ie m'eſlance à la nage;	Moi conduit par sa plainte abordant le rivage Pour vain donner secours après m'élance à la nage;
Au Dieu du petit fleuue adreſſant quelques vœux Ie l’approche, & d’abord ie l’attrappe aux cheueux:	Au Dieu du petit fleuve adressant quelques vœux Je l'approche, et d'abord quelque l'attrape aux cheveux:
Elle me prend les bras, ſon cœur ſouspire & trẽble, Et nous fuſmes bien pres de ſubmerger enſemble.	Elle me prend les bras, son cœur soupire et tremble, Et nous fûmes bien prend de submerger ensemble.
Mais lors qu’en ce danger ie m’allois hazardant, I’eus touſiours du plaiſir touchant & regardant Sa peau qui reſſembloit, d’vne frayeur ſubite,	Mais lors qu'en ce danger ra m'allais hasardant, J'eus toujours du plaisir touchant et regardant Sa peau qui ressemblait, d'une frayeur subite,
Aux neiges de nos Monts qu’vn doux Zephire agite.	Aux neiges de nos Monts qu'un doux Zéphire agite.
Ie l’oſtay du danger, mais quand elle en fut hors, Tout aueuglé d’amour ie connus bien deſlors Que les Cieux m’engageoient dans vne ſeruitude qui menaçoit mes vœux d’eſtrange ingratitude.	Je l'ôtai du danger, mais quand elle en fut hors, Tout aveuglé d'amour ie connus bien délors Que les Cieux m'engageaient dans une servitude qui menaçait mes vœux d'étrange ingratitude.
Car la paſleur encor alteroit ſon beau teint, De la frayeur encore eſtoit ſon cœur atteint;	Car la pâleur encor altterait son beau teint, De la frayeur encore était son cœur atteint;
Encor en ſon viſage on voyoit tomber l’onde, qui noirciſſoit vn peu ſa cheuelure blonde, qu'elle dit d’vn orgueil plein de ſeuerité:	Encor en son visage on voyait tomber l'onde, qui noircissait un peu sa chevelure blonde, qu'elle dit d'un orgueil plein de seuérité:
Prophane, quel ſupplice auez-vous merité, De vous oſer meſler parmy des filles nuës, Pour Nymphes de Diane en ces bois reconnuës?	Prophane, quel supplice avez-vous mérité, De vous oser mêler parmi des filles nues, Pour Nymphes de Diane en ces bois reconnues?
Fuyez d’icy, Berger, alleZ, retirez-vous Sans nous regarder plus, ny ſans penſer en nous.	Fuyez d'ici, Berger, allez, retirez-vous Sans nous regarder plus, ton sans penser en nous.
Lors dit Amaryllis, auec vn doux ſous-rire, Si tu gardes l’humeur que Diane t’inſpire, c Omphe ingratte & farouche, on te pourra vâter D’eſtre außi chaſte qu'elle, ou de la ſurmonter.	Lors dit Amaryllis, avec un doux sous-rire, Si tu gardes l'humeur que Diane t'inspire, ç Ymphe ingrate et farouche, on te pourra vâter D'être aussi chaste qu'elle, ou de la surmonter.
Or des ce iour fatat mu rurſon fut contrainte A ſouffrir dãs mon cœur vne amoureuſe emprainte, Et deuant ſes regards l’ayant bien témoigné, Thermodon comme alors ie demeure éloigné De penetrer ſon cœur d’vne atteinte amoureuſe:	Or des ce jour fat mu resson fut contrainte A souffrir dans mon cœur atteinte amoureuse emprainte, Et devant ses regards l'ayant bien témoigné, Thermodon comme alors ie demeure éloigné De pénétrer son cœur d'une atteinte amoureuse:
Ie la trouue touſiours farouche & rigoureuſe, Soit qu'entre nos parens vn long diſcord mutin M’empeſche de gaigner ce precieux butin:	Je la trouve toujours farouche et rigoureuse, Soit qu'entre nos parents un long discord mutin M'empêche de gagner ce précieux butin:
Oon qu'a mes vaux aruens fon amt inexorable Attende pour aimer vn Amant plus aimable.	Oon qu'a mes vaux arruents son amt inexorable Attende pour aimer un Amant plus aimable.
THERMODON.	THÉRMODON.
Peut-eſtre Lucilys que l’amour luy deſplaiſt Se voyant ieune encore, & ſi ieune qu'elle eſt.	Peut-être Lucilys que l'amour lui déplaît Se voyant jeune encore, et si jeune qu'elle est.
LVCILYS.	LUCILYS.
Deuant cette auanture elle eut bien l’ame espriſe De l’amour d’vn Berger qui meſme la mespriſe, connue.	Devant cette aventure elle eut bien l'âme éprise De l'amour d'un Berger qui était la méprise, connue.
Aumoins en fait ſemblant, peut-on n'adorer pas Vn ſi diuin threſor de beautez & d’appas?	Aumoins en fait semblant, peut-on n'adorer pas Un si divin trésor de beautés et d'appas?
er ennos Melindor dont la voix charme l’ame & l’oreille	er ennos Mélindor dont la voix charme l'âme et l'oreille
THERMODON.	THÉRMODON.
Son abſence a rendu Cydippe moins vermeille:	Son absence a rendu Cydipe moins vermeille:
Luy chantant ſes yeux noirs, ou ſa gorge de lis, Moy la bouche ou l’eſclat de ma belle Phylis, Souuent tous deux enſemble inspirez du genie Nous auons accordé noſtre douce harmonie, Mais Melindor me paſſe en ſes rares chanſons Comme les Roßsignols ſurmontent les Pinçons.	Lui chant ses yeux noirs, ou sa gorge de lis, Moi la bouche ou l'éclat de ma belle Phylis, Souvent tous deux ensemble inspirez du génie Nous avons accordé notre douce harmonie, Mais Melindor me passe en ses rares chansons Comme les Rocesignols surmontent les Pinons.
LVCILYS.	LUCILYS.
Ce Melindor me laiſſe vne eternelle preuue Du plus fidelle amy que parmy nous on treuue.	Ce Mélindor me laisse une éternelle preuve Du plus Duelle ami que parmi nous on trouve.
Car comme i'apperceus le triſte éuenement, Que ie deuois attendre en mon embraſement, Deſolé que i’eſtois ie racontay ma peine A l’heureux fauory de la belle inhumaine, Meſme luy deſcouuris que tout mon reconfort Eſtoit de me reſoudre au ſecours de la mort.	Car comme j'aperçus le triste événement, Que tu devais attendre en mon embrasement, Désolé que j'étais ie racontai ma peine A l'heureux favori de la belle inhumaine, Même lui découvris que tout mon réconfort Était de me résoudre au secours de la mort.
Melindor tout confus ſentant ſon ame atteinte D’amour & d’amitié fut vaincu par ma plainte;	Melindor tout confus sentant son âme atteinte D'amour et d'amitié fut vaincu par ma plainte;
S’offrit de la quitter contre ſon iurement, De perdre ſon plaiſir pour mon contentement, Et contraignant ſon cœur à m'eſtre fauorable Témoigna du meſpris à ſa Nymphe adorable, Afin que cét orgueil venant à l’offenſer Le peuſt incontinent bannir de ſon penſer, Brurturendre l’accés plus doux & plus facile;	S'offrit de la quitter contre son jurement, De perdre son plaisir pour mon contentement, Et contraignant son cœur à m'être favorable Témoigna du mépris à sa Nymphe adorable, Afin que cet orgueil venant à l'offenser Le pût incontinent bannir de son penser, Brturturendre l'accès plus doux et plus facile;
Mais pour vn ſi grand mal tout me ſemble inutile, De façon qu’y treuuant tout moyen ſuperflus Mon bien le plus parfait c’eſt de ne viure plus.	Mais pour un si grand mal tout me semble inutile, De façon qu'y trouvant tout moyen superflus Mon bien le plus parfait c'est de ne vivre plus.
THERMODON.	THÉRMODON.
Qui te pouſſe au tombeau?	Qui te pousse au tombeau?
quelle humeur inſenſee?	quelle humeur insensée?
LVCILYS.	LUCILYS.
Rien que le mouuement de ma triſte penſee.	Rien que le mouvement de ma triste pensée.
AAERMODON.	AARMODON.
Sçais-tu ſi la cruelle en ſentira du dueil?	Sais-tu si la cruelle en sentira du il?
LVCILTS.	LUCILTS.
C’eſt l’vnique regret que i’emporte au cercueil.	C'est l'unique regret que j'emporte au cercueil.
THERMODON.	THÉRMODON.
Enu pomttte ſguuon, & fatts ecancoup attendre.	Enu pomptte séguon, et fatts ecancoup endre.
LVCIEYS.	LUCIEYS.
I plain Qui voudroit dans l’enfer me le venir apprendre?	I plain Qui voudrait dans l'enfer me le venir apprendre?
THERMODON.	THÉRMODON.
Berger en ce diſcours n’entrons pas plus duant, Sans deſcendre aux enfers ie t'en rendray ſçauant;	Berger en ce discours n'entrons pas plus duant, Sans descendre aux enfers te mpen rendrai après;
I’iray trouuer Cythere, & d’vne adroite feinte Luy diray qu'en ta mort i’ay veu ta flamé eſteinte, Pour la faſcheuſe abſence où ſon commandement Depuis cinq ou ſix iours t’arreſte injuſtement, Et ie prendray bien garde en tenant ce langage Quels ſubits mouuemens changeront ſon viſage, Mais pourueu, Lucilys, qu'apres cette action Tu changes ton deſſein ſelon ſa paßion.	J'irai trouver Cythere, et d'une adroite feinte Luy dirai qu'en ta mort j'ai vu ta flammes éteinte, Pour la fâcheuse absence où son commandement Depuis cinq ou six jours t'arrête injustement, Et ie prendrai bien garde en tenant ce langage Quels subits mouvements changeront son visage, Mais pourvu, Lucilys, qu'après cette action Tu antes ton dessein où son passion.
LVCILYS.	LUCILYS.
Le Ciel pour mon ſalut veut que tu me gouuernes.	Le Ciel pour mon salut veut que tu me gouvernes.
THERMODON.	THÉRMODON.
Allons donc en ces bois au long de ces cauernes, Et conſultons enſemble, & d’vn ſage conſeil, Iuſqu'à tant que l’Aurore éclatte à ſon reueil.	Allons donc en ces bois au long de ces cavernes, Et consultons ensemble, et d'un sage conseil, Jusqu'à tant que l'Aurore éclatte à son réveil.
CYDIPPE ſeule.	CYDIPE seule.
SCENE II.	SCÈNE II.
LVI Aintenant que l’Aurore efface les eſtoiles Que les Cieux iauniſſans quittent leurs ſombres voiles, Que les champs d’alentour ſont couuerts de trouppeaux, Et que ce bois reſonne au doux bruit des oiſeaux;	LVI Aintenant que l'Aurore efface les étoiles Que les Cieux jaunissants quittent leurs sombres voiles, Que les champs d'alentour sont couverts de troupeaux, Et que ce bois résonne au doux bruit des oiseaux;
Rappellant ma raiſon ma crainte la refuſe, Rien ne calme ce trouble où mon ame eſt confuſe.	Rappelant ma raison ma crainte la refuse, Rien ne calme ce trouble où mon âme est confuse.
Triſte & faſcheuſe mier que taurant mon repos Les ſonges m'ont tenu de funeſtes propos.	Triste et fâcheuse mier que taurant mon repos Les songes m'ont tenu de funestes propos.
