A MADEMOISELLE	À MADEMOISELLE
Aux jeux trop de bergers ont eu pout ma douleur Trop long-tẽps ton oreille, & peut eſtre ton cœur:	Aux jeux trop de bergers ont eu pout ma douleur Trop longtemps ton oreille, et peut -être ton cœur:
Hier ue toy trop de monde, & ſe preſſe & s’aſſemble, Dorylas ta parlé trop long-temps ce me ſemble, I’ay veu tant de Bergers aſſis à tes genoux.	Hier ue toi trop de monde, et se presse et s'assemble, Dorilas ta parlé trop longtemps ce me semble, J'ai vu tant de Bergers assis à tes genoux.
ISMENE.	ISMENE.
Que Thimante en vn mot eſt deuenu jaloux.	Que Thymante en un mot est devenu jaloux.
Puiſque tu veux m'aimer, apprens à me connoiſtre, Ie ſuis libre, Thimante, & ne veux point de Maiſtre, Ie ne pretens iamais dependre que de moy, Et t’auois-je promis de ne parler qu’à toy?	Puisque tu veux m'aimer, apprends à me connaître, Je suis libre, Thymante, et ne veux point de Maître, Je ne prétends jamais dépendre que de moi, Et t'avais-je promis de ne parler qu'à toi?
Penſes tu que tu ſois l’amant ſeul qui me ſerue?	Penses -tu que tu sois l'amant seul qui me serve?
N'en ay-je pas encor qu’il faut que ie conſerue?	N'en ai-je pas encor qu'il faut que . conserve?
Et de tous les Bergets dont i’ay receu la foy, Si ie n’ouure la bouche, & les yeux que pour toy, Et que l’vn de ces iours ie ceſſe de te plaire, Ou que ie change auſſi, comme tout ſe peut faire, Tous les autres jaloux de ces bons traittemens, Quand ie t’aurois perdu ſeroient ils mes amans?	Et de tous les Bergets dont j'ai reçu la foi, Si tu n'ouvre la bouche, et les yeux que pour toi, Et que l'un de ces jours avoir cesse de te plaire, Ou que je change aussi, comme tout se peut faire, Tous les autres jaloux de ces bons traitements, Quand tu t'aurais perdu seraient ils mes amants?
Et ſi ma liberté pour tous n’eſtoit ſoufferte, Qui d’entr’eux me voudroit conſoler de ta perte?	Et si ma liberté pour tous n'était soufferte, Qui d'entrer'eux me voudrait consoler de ta perte?
Ie ſonge à l’aduenit dont tu n’es pas garaud, Du moins ſi l’vn me quitte, vn autre me reprend.	Je songe à l'avenit dont tu n'es pas garaud, Du moins si l'un me quitte, un autre me reprend.
Voy ſi l’humeur te plaiſt, voy ſi ſans jalouſie Tu pourras me ſeruir ainſi toute ta vie, Et ſi cela ſe peut, eſpere quelque iour, Et la bouche, & la main, pour flater ton amout, Et peut-eſtre le cœur, ſi mon humeur me change.	Vois si cela humeur pour flatte, ton si sans jalousie Tu pourras me servir ainsi toute ta vie, Et si cela se peut, espère quelque jour, Et la bouche, et la main, pour flatter ton amout, Et peut-être le cœur, si mon humeur me changée.
THIMANTE.	THIMANTE.
Cette façon d’agir me ſemble fork eſtrange;	Cette façon d'agir me semble fork étrange;
Mais preſque tous les ſoirs quelque aſſignation comore ches ni afeurer de ton affection, Et ne me flater pas d’eſperances friuolles.	Mais presque tous les soirs quelque assignation comore chez ni afeurer de ton affection, Et ne me flatter pas d'espérances frivoles.
ISMENE.	ISMENE.
Iuſqu’icy toutesfois ce ne ſont que parolles.	Jusqu'ici toutefois ce ne sont que paroles.
THIMANTE.	THIMANTE.
I’eſpere tout du temps, en attendant ce iour, Nos noms gtauez par tout marqueront mon amour, iſmene ie promets.	J'espère tout du temps, en attendant ce jour, Nos noms gtavez par tout marqueront mon amour, ismene ie promets.
ISMENE.	ISMENE.
Mais i’apperçoy Therſandre, Ce Berger dont tes yeux ont mis le cœur en cendre.	Mais j'aperçois Thersandre, Ce Berger dont tes yeux ont mis le cœur en cendre.
DIANE.	DIANE.
DIANE.	DIANE.
Mlideme s le de dile.	Mlideme s le de dile.
ISMENE.	ISMENE.
Hà!	Hà!
c'eſt trop de rigueur, uome au moi le vhage eu fetuſant le cœlt.	c'est trop de rigueur, ome au moi le vhage eu fétusant le cœlt.
SCENE IV.	SCÈNE IV.
THERSANDRE.	THÉRSANDRE.
DIANE.	DIANE.
THIMANTE.	THIMANTE.
ISMENE.	ISMENE.
THERSANDRE à Diane.	THÉRSANDRE à Diane.
Rreſte, cher object, qui cauſe mon martyre.	Rreste, cher object, qui cause mon martyre.
HAuant que de moutit ie n’ay qu’in mot à dire, La Nymphe a de ces prir couronné ma valeur, Ie les mets à tes pieds, i'y mets de plus mon cœur.	HAvant que de moutit a pprès qu'in mot à dire, La Nymphe a de ces prir couronné ma valeur, Je les mets à tes pieds, j'y mets de plus mon cœur.
Reconnois ton captif, ſi dans ce iour de Feſte Au n’en veux triomphet, ſoufte au moins ta conqueſte, Et ſans rien accorder à cét ambitieux, A le voir ſeulement accouſtume tes yeux,	Reconnais ton captif, si dans ce jour de Fête Au n'en veux triomphet, soute au moins ta conquête, Et sans rien accorder à cet ambitieux, À le voir seulement accoutume tes yeux,
STANE.	STANE.
oquoy, ton cœur, mon captif?	oquoi, ton cœur, mon captif?
ie ne ſuis par ſi vaine, Fais le changer de maiſtre, ou bien briſe ſa chaiſne, Romps, ou change ſes fers, ſi tu n’as le deſſein De le voit tout à l’heure affranchy de ma main.	Ne ne suis par si vaine, Fais le changer de maître, ou bien brise sa chaîne, Romps, ou change ses fers, si tu n'as le dessein De le voit tout à l'heure affranchi de ma main.
THERSANDRE.	THÉRSANDRE.
Helas!	Hélas!
ſa liberté, n'eſt pas ce qu’il deſire.	sa liberté, n'est pas ce qu'il désire.
DIANE.	DIANE.
Qu’il viue donc touſieurs eſclaue, & qu’il ſoùpire	Qu'il vive donc toujours esclaue, et qu'il soùpire
THERSANDRE.	THÉRSANDRE.
Quoy!	Quoi!
refuſer vn cœut, ce preſent precieux, Qu ſe vit touſiours digne, & du Temple, & des Dieux.	refuser un cœut, ce présent précieux, Qu se vit toujours digne, et du Temple, et des Dieux.
Penſes y bien, Bergere, il eſt de ta iuſtice De ne pas mépriſer ce noble ſacrifice, Puis qu'enfin ie ne donne à nos Dieux tous puiſſans Que la meſine victime, & les meſmes encens;	Penses y bien, Bergère, il est de ta justice De ne pas mépriser ce noble sacrifice, Puis qu'enfin rien ne donne à nos Dieux tous puissants Que la mine victime, et les mêmes encens;
Noitre Deeſſe au Temple à mes yeux eſt moins belle, Et tu portes le nom de Diane comme elle.	Noître Deesse au Temple à mes yeux est moins belle, Et tu portes le nom de Diane comme elle.
DIANE.	DIANE.
Puis qu'il eſt d'vn tel prix, ce preſent precieux, Qu’il ſe vit touſiours digne, & du Temple & des Dieux;	Puis qu'il est d'un tel prix, ce présent précieux, Qu'il se vit toujours digne, et du Temple et des Dieux;
I'y penſe bien Berger, il eſt de ma iuſtice De ne pas accepter ce noble ſacrifice, Et ie ferois injute à nos Dieux tous puiſſans De partager leur gloire, & les meſmes encens:	J'y pense bien Berger, il est de ma justice De ne pas accepter ce noble sacrifice, Et ton ferais injute à nos Dieux tous puissants De partager leur gloire, et les mêmes encens:
I’ay le nom de Diane, à tes yeux ie ſuis belle, Mais ie n’ay pas le tang de Deeſſe comme elle:	J'ai le nom de Diane, à tes yeux ils suis belle, Mais tu n'ai pas le tang de Déesesse comme elle:
THERSANDRE.	THÉRSANDRE.
Sans Temple & ſans Autels tu te fais adorer, C’eſt ta Feſte aujourd’huy qu’on m’a veu celebrer;	Sans Temple et sans Autels tu te fais adorer, C'est ta Fête aujourd'hui qu'on m'a veu célébrer;
Ie n’ay point d’autre culte, & point d’autte Diane, Le feu de mon amour n’eſt point vn ſeu profane, Et ſi quelque rayon ne t’en eſchauffe vn peu, Il faudra que le cede à lardeur de ce feu.	Je n'ai point d'autre culte, et point d'autte Diane, Le feu de mon amour n'est point un profane, Et si quelque rayon ne t'en échauffe un peu, Il faudra que le cède à lardeur de ce feu.
DIANE.	DIANE.
Auecques mes meſpris ne ſçautois-tu l’eſtelndre, Sets toy de ce remede, & ceſſe de te plaindte.	Avec mes mépris ne sautais-tu l'estelndre, Sets toi de ce remède, et cesse de te plaindte.
THERSANDRE.	THÉRSANDRE.
Quel temede, bons Dieux!	Quel temède, bons Dieux!
viens-tu m’offrir icy, Bergere, il faut mourir ſi tu gueris ainſi, Flatte au moins d’vn ſeul mot l'amour que tu fis naiſtre, Si ie ne ſuis heureux fais que ie penſe l'eſtre.	viens-tu m'offrir ici, Bergère, il faut mourir si tu guéris ainsi, Flatte au moins d'un seul mot l'amour que tu fis naître, Si grands ne suis heureux fais que tu pense l'être.
Helas!	Hélas!
pas vn ſeul mot ne me vient ſecourir, Ouy, n tu gueris ainſi, betgere il faut mourir.	pas un seul mot ne me vient secourir, Oui, n tu guéris ainsi, betgère il faut mourir.
ISMENE.	ISMENE.
!	!
Pourquoy porter vn cœur à l’amour ſi rebelle?	Pourquoi porter un cœur à l'amour si rebelle?
d as ssts as de a de Pourquoy meſpriſes-tu ce Berger ſi fidele?	d as ssts as de a de Pourquoi méprises-tu ce Berger si fidèle?
DIAns.	DIÂns.
Il vaut mieux m’en aller.	Il vaut mieux m'en aller.
THERSANDRE.	THÉRSANDRE.
Pouſſe encor ton deſdain Si tu veux eſpargner mon treſpas à ma main, Acheue de former le glaiue qui me tuë:	Pousse encor ton dédain Si tu veux épargner mon trépas à ma main, Achève de former le glaiue qui me tue:
Encor vn mot de haine, & ie meurs à ta veuës Parles donc?	Encor un mot de haine, et Seigneur meurs à ta vues Parles donc?
reſpons moy.	réponds moi.
ISMENE.	ISMENE.
La Nmphe afnide Iey.	La Nmphe afnide Jei.
DIANE.	DIANE.
Qu'elle me vient tirer d'vn penible ſoucy.	Qu'elle me vient tirer d'un pénible souci.
THARSANDRE.	THARSANDRE.
Et moy ie vais toucher ces rochers & ces marbres.	Et moi ici vais toucher ces rochers et ces marbres.
Et puis mourit au pied de quelqu’vn de ces atbres.	Et puis mourit au pied de quelqu'un de ces atbres.
SCENE V.	SCÈNE V.
FELICIE.	FELICIE.
PARTHENIE.	PARTHENIE.
DIANE.	DIANE.
ISMENE.	ISMENE.
THIMANTE.	THIMANTE.
CLIDAMANT.	CLIDAMANT.
EMILINIE.	EMILINIE.
FELICIE.	FELICIE.
Epuis vn luſtre & plus, qu’au droict de mes ayeux, Pat la mort de ma ſœur ie gouuerne ces lieux, Et qu’icy de Diane on celebre les Feſtes;	Epuis un lustre et plus, qu'au droit de mes aïeux, Pat la mort de ma sœur ie gouuerne ces lieux, Et qu'ici de Diane on célèbre les Fêtes;
Iamais tant de lautiers n’ont couronné vos teſtes, Et iamais dans vn iour de diuet tiſſement Ie n’occu pé mes yenx plus agreablement, Chacun pour emporter le prix qu’on luy diſpute, A fait voir ſon ac ene à la courſe, à la lute Que Therſandre a bien fait dans ce commun effort, gu il agnt noblement, que ne grace, querport, Et s’il faut, dite icy ce que i’en imagine, Ou des Roys, ou des Dieux, il a ſon origine, Que Thimante eſt heureux d’eſtte de ſes amis,	Jamais tant de lautiers n'ont couronné vos têtes, Et jamais dans un jour de divet tissement Je n'occu pé mes yenx plus agréablement, Chacun pour emporter le prix qu'on tu dispute, A fait voir son acte à la course, à la lute Que Thersandre a bien fait dans ce commun effort, gu il agnt noblement, que ne grâce, querport, Et s'il faut, dite ici ce que j'en imagine, à des Rois, ou des Dieux, il a son origine, Que Thimante est heureux d'estte de ses amis,
THIMANTE.	THIMANTE.
Ce n’eſt pas d’aujourd'huy que cét heur m'eſt permis, Ce nom m'eſt precieux, & pour mon aduantage, I'en eus la connoiſſance à mon dernier voyage, Ie le vis artiuet de ſon païs natal Dans la fameuſe Cour du Roy de Portugal.	Ce n'est pas d'aujourd'hui que cet heur m'est permis, Ce nom m'est précieux, et pour mon avantage, J'en eus la connaissance à mon dernier voyage, Je le vis artivet de son pays natal Dans la fameuse Cour du Roi de Portugal.
La rencontre d’humeurs qui l’homme à l’homme aſſemble, D'vne telle amitié nous vint lier enſemble, ( te l’ayant rencontté triſte & plein de ſoucy, Ie his tant qu’à la fin il me ſuiuit icy Dans l'eſpoir, qu'en ces lieux où regne Felicie, Il perdroir ſa douleur & ſa melancolie.	La rencontre d'humeurs qui l'homme à l'homme assemble, D'une telle amitié nous vint lier ensemble, ( te l'ayant renconté triste et plein de souci, Je his tant qu'à la fin il me suiuit ic Dans l'espoir, qu'en ces lieux où règne Félicie, Il perdrait sa douleur et sa mélancolie.
FELICIE.	FELICIE.
En effet, quoy qu’icy ce Berger fortuné Ait receu tous les prix dont il eſt couronné.	En effet, quoi qu'ici ce Berger fortuné Ait reçu tous les prix dont il est couronné.
Ie le trouue pourtant touſiours mélancolique, N’eſt ce point quelque ſoin d’vn amour qui le picHeureuſe la Bergere, & trois & quatre fois En qui cét eſtranger auroit borné ſon choix:	Je le trouve pourtant toujours mélancolique, N'est ce point quelque soin d'un amour qui le picHeureuse la Bergère, et trois et quatre fois En qui cet étranger auroit borné son choix:
Il a tant de merite au deſſus du vulgaire, Qu’vne Nymphe en l’aimant ne s’abbaiſſeroit guere.	Il a tant de mérite au dessus du vulgaire, Qu'une Nymphe en l'aimant ne s'abaisserait guère.
CLIDAMANT.	CLIDAMANT.
Il merite beaucoup, & nous l’eſtimons tous, Nous aymons ſes vertus ſans en eſtre jaloux.	Il mérite beaucoup, et nous l'estimons tous, Nous aimons ses vertus sans en être jaloux.
PARTHENIE.	PARTHENIE.
Clidamant ne doit rien, ce me ſemble à vherſandre.	Clidamant ne doit rien, ce me semble à vhersandre.
ISMENE.	ISMENE.
Amnante aeneue pien ce qu’A veur enteprendré,	Amnante aeneue pien ce qu'A veut entprendré,
DIANE.	DIANE.
Philinte vne autre fois ſans doute feta mieux.	Philinte une autre fois sans doute fêta mieux.
PHILINTE.	PHILINTE.
Oily, quand de mon coſté vous tournerez les yeux	Oili, quand de mon côté vous tournerez les yeux
FELICIE.	FELICIE.
Bergets prepatez vous, ehcore le vous prie, Pour l’Hymen de Thyrſis auecques Parthenie;	Bergets prépattez -vous, estcore le vous prie, Pour l'Hymen de Thyrsis avec Parthénie;
Ma niepce ce Berger eſt bien digne de vous, Et vous n’ignorez pas que i’en fais voſtre eſpoux, Si toſt que ſon retour nous rendra ſa preſence.	Ma Niepce ce Berger est bien digne de vous, Et vous n'ignorez pas que j'en fais votre époux, Si tôt que son retour nous rendra sa présence.
PARTHENIE, bas.	PARTHENIE, bas.
Ouy, ſi mon cœur enfin peut ſouffrir violence:	Oui, si mon cœur enfin peut souffrir violence:
P ar.	P ar.
FELICIE.	FELICIE.
Cependant dans le Temple en ce iour glorieux, Allons tous de ce pas rendre graces aux Dieux.	Cependant dans le Temple en ce jour glorieux, Allons tous de ce pas rendre grâces aux Dieux.
ACTE II.	ACTE II.
V 13 ISMENETHE RSANDRE.	V 13 ISMENETHÉ RANDRE.
THIMANTE.	THIMANTE.
ISMENE.	ISMENE.
Vy, Therſandre, i’ay fait ce que i’ay pû pour toy, ſ'ay fait voir tes ſoûpirs, ta conſtance, ta Tour la perldanaine egemit cout mon pomole, Mais i'ay perdu mon temps, Diane eſt inſenſible, Et ſon cœur que l’amour ne ſçauroit plus toucher, Parmy tant de rochets eſt deuenu rocher.	Vi, Thersandre, j'ai fait ce que j'ai pu pour toi, s'ai fait voir tes soupirs, ta constance, ta Tour la perldanaine égémit coût mon pomole, Mais j'ai perdu mon temps, Diane est insensible, Et son cœur que l'amour ne saurait plus toucher, Parmi tant de rochets est devenu rocher.
THERSANDRE.	THÉRSANDRE.
Que feray je, Thimante?	Que ferai -je, Thymante?
hà!	hà!
que ma peine eſt rude.	que ma peine est rude.
THIMANTE.	THIMANTE.
Quitte là cette ingratte, & ſors de ſeruitude.	Quitte là cette ingrate, et sors de servitude.
THERSANDRE.	THÉRSANDRE.
Le moyen d'en ſottir, ie ſuis né mal-heuteux Sous le funeſte aſpect d’vn aſtre rigoureux, Qui malgré tous mes ſoins, afin de m’en deffendre Pourſuit Cleagenor ſous le nom de Theiſandié.	Le moyen d'en sottir, je suis né mal-heuteux Sous le funeste aspect d'un astre rigoureux, Qui malgré tous mes soins, afin de m'en défendre Poursuit Cléagenor sous le nom de Théisandié.
ISMENE, bas.	ISMENE, bas.
dey juemceucaycens muns	dey juemceucaycens muns
THIMANTE.	THIMANTE.
Therſandre, qu'as-tu fait?	Thersandre, qu'as-tu fait?
Eſt-ce ainſi que ta bouche a trahy ton ſecret, Regarde en quel peril te met ton imprudence, Ne redoute tu plus Nearque & ſa puiſſance?	Est-ce ainsi que ta bouche a trahi ton secret, Regarde en quel péril te met ton imprudence, Ne redoute tu plus Nearque et sa puissance?
THERSANDRE.	THÉRSANDRE.
Non, ie ne crains plus rion, ie cherche le treſpas, Et puis qu’il faut mourir, qu’importe de quel bras, Icy de tout conſeil mon ame eſt dépourueuë, Qu’importe que Nearque, ou Diane me tuë.	Non, Seigneur ne crains plus rion, une cherche le trépas, Et puis qu'il faut mourir, qu'importe de quel bras, Ici de tout conseil mon âme est dépourueuë, Qu'importe que Nearque, ou Diane me tue.
