Avmndremire o	Avmndremire ô
Cux qu’elle ait du rang:	Cux qu'elle ait du rang:
ſi cela vous conſole;	si cela vous console;
Mais ne vous fiez point ſur ce que vous croyez, Fiez vous ſeulement ſur ce que vous voyez.	Mais ne vous fiez point sur ce que vous croyez, Fiez -vous seulement sur ce que vous voyez.
Il eſt plus d’une voye à gaigner une place;	Il est plus d'une voie à gagner une place;
On la prend par fineſſe, eula prend par audace, n la prend par amour, & c’eſt par oú ie veux onquerir cette place en vous rendant heureux.	On la prend par finesse, eula prend par audace, n la prend par amour, et c'est par ôie veux onquérir cette place en vous rendant heureux.
4 'eſt par ce chemin ſeul qu’il faut que l’on s’appreſte pretendre á l’honneur de faire une conqueſte, tnon pas avoir honte á dire hautement, aime, je ſuis aimée, & voila mon Amant.	4 'est par ce chemin seul qu'il faut que l'on s'apprête prétendre hhonneur de faire une conquête, tenon pas avoir honte dire hautement, aime, je suis aimée, et voila mon Amant.
ie ne puis avoir ce cœur pour mon partage, me pourray flater du moins de l’avantage, ue quoy que mon amour ne m’ait point fait aimer, ue i’ay des qualitez pour plaire, & pour charmer, ue i’ay le cœur tropbon pour avoir la malice, cionidre à monumour raureſſe & l’artifice.	leurs ne puis avoir ce cœur pour mon partage, me pourrai flatter du moins de l'avantage, ue quoi que mon amour ne m'ait point fait aimer, ue j'ai des qualités pour plaire, et pour charmer, Que j'ai le cœur tropbon pour avoir la malice, cionidre à monumour ravresse et l'artifice.
eſpondez, Dom Carlos, ceſſez d’eſtre ſurpris, t dittes hautement ſi i’emporte le prix.	épondez, Dom Carlos, cessez d'être surpris, t dites hautement si j'emporte le prix.
DOM CARLOS.	DOM CARLOS.
à part.	à part.
elas!	Ell!
pourquoy faut il que mon ame inſenſible, le puiſſe s’émouvoir que pour une In viſible, t d’ou vient que l’amour de qui ie suis la loy 'eut que j’aime ſans voir, & non ce que ie voy?	pourquoi faut -il que mon âme insensible, le puisse s'émouvoir que pour une In visible, t 'ou vient que l'amour de qui ie suis la loi 'eut que j'aime sans voir, et non ce que je vois?
GUSMAN.	GUSMAN.
uoy vous refuſeriez encor ce qu’on vous offre?	uoy vous refuseriez encor ce qu’on vous offre?
lle eſt belle par tout, Monſieur, iuſques au coffre:	Ille est belle par tout, Monsieur, jusques au coffre:
le plus conſiderez qu’elle eſt de qualité, it ſi vous ne l’aimez, que vous eſtes gaſté.	le plus considérez qu'elle est de qualité, it si vous ne l'aimez, que vous êtes gâté.
h!	h!
mon pauvre Guſman, ſonge à ta conſcienee:	mon pauvre Gusman, songe à ta conscience:
ongez que c’eſt pour vous que ie fais penitence, Que ie ne trempe point du tout dans voſtre amour, et que ſi vous mourez, Monſieur, i’auray mon tour.	ongez que c'est pour vous que ie fais pénitence, Que ie ne trempe point du tout dans votre amour, et que si vous mourez, Monsieur, j'aurai mon tour.
DOM CARLOS.	DOM CARLOS.
Madame c’eſt en vain que ie voudrois vous taire, ue je m’eſtimerois trop heureux de vous plaire, Si ie l’eſtois aſſez pour vous pouvoir aimer, Lors qu’avec tant d’appas vous pouvez tout charme le vois bien que ie quitte une belle perſonne, Pour avoir au hazard ce que l’amour me donne, Dont la beauté ſera ſelon ma paſſion, Et que me donnera l’imagination:	Madame c'est en vain que ainsi voudrais vous taire, ue je m'estimerais trop heureux de vous plaire, Si grande l'étais assez pour vous pouvoir aimer, Lors qu'avec tant d'appas vous pouvez tout charme le vois bien que ie quitte une belle personne, Pour avoir au hasard ce que l'amour me donne, Dont la beauté sera selon ma passion, Et que me donnera l'imagination:
Mais qui pourroit enfin meriter voſtre eſtimeSi l’infidelité par malheur eſt ſon crime:	Mais qui pourrait enfin mériter votre estimeSi l'infidélité par malheur est son crime:
Qui pourroit ſe nommer digne de voſtre amour, Si par une inconſtance il paroiſſoit au jour?	Qui pourrait se montre digne de votre amour, Si par une inconstance il paraissait au jour?
Et ne ſerois-ie pas cet amant infidelle, Si i’allois vous promettre une ardeur immortelle?	Et ne serais-je pas cet amant infidèle, Si j'allais vous promettre une ardeur immortelle?
Et ſi ie vous iurois une conſtante foyPourois ie vous donner ce qui n’eſt plus á moy?	Et si ici vous jurais une constante foiPourais après vous donner ce qui n'est plus moi?
Ce procedé ne peut m’attirer aucun blameC’eſt pourquoy par pitié plaignez moy donc, Madam La raiſon vous dira que je n’ay point de tort:	Ce procédé ne peut m'attirer aucun blâmeC'est pourquoi par pitié plaignez moi donc, Madam La raison vous dira que je n'ai point de tort:
Ou pluſtoſt plaignons nous de la rigueur du ſort:	Ou plutôt plaignons -nous de la rigueur du sort:
Vous de n’obtenir point de moy que ie vous aime;	Vous de n'obtenir point de moi que je vous aime;
Et moy de ne pouvoir le prononcer de meſme.	Et moi de ne pouvoir le prononcer de même.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Cet aveu me ſurprend, ie veux, bien l’avoûer, Je ne vous parlois pas pour m’entendre loûer, Et pour avoir de vous un refus dans la suitte, Mais ſongez, Dom Carlos, oú vous m’avez redüitte:	Cet aveu me surprend, je veux, bien l'avouer, Je ne vous parlais pas pour m'entendre louer, Et pour avoir de vous un refus dans la suitte, Mais songez, Dom Carlos, ou vous m'avez réduite:
Que ie ne pretens pas avoir fait un aveu, Qui me couvre de honte, & vous touche ſi peu,	Que personne ne prétends pas avoir fait un aveu, Qui me couvre de honte, et vous touche si peu,
DOM CARLOS.	DOM CARLOS.
Il me touche beaucoup, mais ie ne puis Madame Sans infidelité reſpondre á voſtre flame.	Il me touche beaucoup, mais ici ne puis Madame Sans infidélité répondre â vôtre me.
GUSMAN.	GUSMAN.
Monſieur, que faittes vous?	Monsieur, que faites -vous?
daignez conſiderer ue cette dame eſt belle, & qu’on doit l’admirer, u’elle peut tout icy, qu’une femme en furle, ui ſe voit meſpriſer va d’abord a la vie, t pour vous obliger d’appaiſer ſon courroux, oyez pour vous fléchir que ie ſuis á genoux.	daignez considérer ue cette dame est belle, et qu'on doit l'admirer, elle peut tout , une femme en furle, se voit mépriser va abord a la vie, pour vous obliger appaiser son courroux, oyez pour vous fléchir que ie suis genoux.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
renez garde ſur tout d’eſprouver ma colere.	rené garde sur tout d'éprouver ma colère.
dieu.	dieu.
DCLINE QYIIIIOLRID.	DCLINE QYIIIOLRID.
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
GUSMAN.	GUSMAN.
C'eſt à ce coup queie me deſeſpere;	C'est à ce coup queie me désespère;
Enfin ie ſuis perdu ;	Enfin ici suis perdu ;
parlez donc promptement;	parlez donc promptement;
C’en eſt fait, elle ſort de cet appartement.	C'en est fait, elle sort de cet appartement.
Helas !	Hélas !
Miſericorde--- ó Ciel!	Miséricorde- „ Ciel!
que deviendray-ie Tachons de nous ſauver;	que deviendrai-je Tachons de nous sauver;
mais par oú ſortiray-ie?	mais par oú sortirai-je?
Tout eſt ſi bien gardé que i’ay lieu de juger Que l’on a le deſſein de nous faire enrager.	Tout est si bien gardé que j'ai lieu de juger Que l'on a le dessein de nous faire enrager.
lar voſtre Iaute leule ſiaut que le peimio.	lar votre Jaute leeule siaut que le peimio.
Mais ce qui plus encor redouble mon ſupplice, C’eſt de voir que ie ſuis á la fleur de mes ans, Et qu’avec moy finit la race des Guſmans.	Mais ce qui plus encor redouble mon supplice, C'est de voir que je suis âme la fleur de mes ans, Et qu'avec moi finit la race des Gusmants.
DOM CARLOS.	DOM CARLOS.
Si tu pretens aller de folie en folie, Avant qu’il ſoit deux iours il faudra qu’on te lie.	Si tu prétends aller de folie en folie, Avant qu'il soit deux jours il faudra qu'on te lie.
Voicy quelque nouvelle.	Voici quelque nouvelle.
SC.	SCC.
SCENE CINQUIEME DOM CARLOS GHSMIIT LEONOR, maſque	SCÈNE CINQUIÈME DOM CARLOS GHÊMIIT LEONOR, masque
cu dilcooo Ay-ie la liberté?	cv dilco Ai-je la liberté?
LEONOR.	LEONOR.
Ouy, de vous promener en toute ſeureté.	Oui, de vous promener en toute sûreté.
Vous ne deuez rien craindre, & ie viens vous le dire.	Vous ne devez rien craindre, et ainsi viens vous le dire.
Entens-tu?	Entends-tu?
DOM CARLOS,	DOM CARLOS,
GUSMAN.	GUSMAN.
Vous avez dil granidiuiet de rire.	Vous avez dil granidiviet de rire.
DOM CARLOS.	DOM CARLOS.
Mai que teuton de moy;	Ma que teuton de moi;
LEONOR.	LEONOR.
Je ne le puis ſçavoir.	Je ne le puis savoir.
DOMCARLOS.	DOMCARLOS.
Obligez moy du moins que ie vous puiſſe voir.	Obligez -moi du moins que ie Vous puisse voir.
Cela ne ſe peut pas.	Cela ne se peut pas.
LEONOR	LEONOR
DOM CARLOS Quoy!	DOM CARLOS Quoi!
me fuïr de la ſorte?	me fuir de la sorte?
EEONOR.	ÉÉONOR.
Si vous voulez ſortir, paſſez par l’autre porte.	Si vous voulez sortir, passez par l'autre porte.
SCENE SIXIEME DOM CARLOS.	SCÈNE SIXIÈME DOM CARLOS.
GVSMAN.	GUSMAN.
GUSMAN.	GUSMAN.
Nous voila bien chanceux d’avoir la liberté, D’aller nous promener en toute ſeureté?	Nous voilà bien chanceux d'avoir la liberté, D'aller nous promener en toute sûreté?
e maudit ſoit l’amour, & toute ſa ſequelle, pretent malgré moy me broüiller la cervelle:	eu maudit soit l'amour, et toute sa séquelle, prêtent malgré moi me brouiller la cervelle:
ſortons point d’icy iuſqu’a l’heureux moment on nous déli vrera de cet appartement:	sortons point d'ici jusqu'a l'heureux moment on nous déli vrera de cet appartement:
ceſt pour nous remettre oú l’on nous a ſçeu prendre, eſt le plus grand bonheur que je puiſſe pretendre, ſi l’on veut d’icy nous conduire á la mort, nous faudra tous deux regretter noſtre ſort.	cest pour nous remettre oú l'on nous a su prendre, est le plus grand bonheur que je puisse prétendre, si l'on veut d'ici nous conduire U re mort, nous faudra tous deux regretter notre sort.
uandje ſonge qu’ainſy vous vouiez que je meure, e ſouvenir m’en tüe, & malgré moy i’en pleure.	uandje songe qu'ainsi vous vouiez que je meure, e souvenir m'en tue, et malgré moi j'en pleure.
DOM CARLOS.	DOM CARLOS.
as-tu tousiours foû pour me faire enrager?	as-tu toujours sou pour me faire enrager?
ui te dit maſſieureux que ie luio en dangere l'eſt-ce?	Oui te dit massieureux que sans luio en dangère l'est-ce?
SCENE SEPTIEMEOM CARLOS.	SCÈNE SEPTIEMEOM CARLOS.
GUSMAN Un valet maſqué de La PRINCESSE PORCIE.	GUSMAN Un valet masqué de La PRINCESSE PORCIE.
Le valet.	Le valet.
Ne dittes rien, & liſez cette lettre, Qu’vn vieillard en mes mains á preſent vient de mettre:	Ne dittes rien, et lisez cette lettre, Qu'un vieillard en mes mains ès présent vient de mettre:
si i’eſtois découvert, ce ſeroit fait de moy, Et je ne parle à vous, Monſieur, qu’avéc elfoy.	si j'étais découvert, ce serait fait de moi, Et je ne parle à vous, Monsieur, qu'avéc elfoy.
Moyennant vingt ducats que i’ay reçeu d’avance, ’ay promis de la rendre en toute diligence.	Moyennant vingt ducats que j'ai reçu d'avance, 'ai promis de la rendre en toute diligence.
lia vie eit en vos mains, conſervez moy, monſieur,	lia vie eit en vos mains, conservez moi, monsieur,
DOM CARLOS.	DOM CARLOS.
C’eſt de mon Inviſible:	C'est de mon Invisible:
Ah!	Ah!
N’ayez point de peur, Je vous ſuis obligé d’avoir pris cette peine.	N'ayez point de peur, Je vous suis obligé d'avoir pris cette peine.
Allez retirez vous de peur qu’on vous ſurpreme Oen	Allez retirez -vous de peur qu'on vous surprême Oen
SCENE HUITIEME DOM CARLOS.	SCÈNE HUITIÈME DOM CARLOS.
GUSMAN.	GUSMAN.
DOM CARLOS- liſant la lettre.	DOM CARLOS- lisant la lettre.
Depuis le temps fatal que je vous ay perdu, Vous avez dû juger de l’excez de ma peine;	Depuis le temps fatal que je vous ai perdu, Vous avez dû juger de l'excès de ma peine;
J’ay découuert les lieux oú l’on vous a rendu, Mais craignez d’èprouver une mortelle haine.	J'ai découvert les lieux ô ccès vous a rendu, Mais craignez d'éprouver une mortelle haine.
La Princeſſe Porcie a fait l’enlevement;	La Princesse Porcie a fait l'enlèvement;
Elle ne connoit rien que ſon ardeur extreme, Et ſi toſt qu’il s’agiſt de ſon contentement, Elle n’eſpargne rien pour avoir ce qu’elle aime.	Elle ne connaît rien que son ardeur extrême, Et si tôt qu'il s'agît de son contentement, Elle n'épargne rien pour avoir ce qu'elle aime.
Feignez pour quelque temps, ſi vous ne l’aimez pas, Evitez lesfureurs de cette fiere Armide:	Feignez pour quelque temps, si vous ne l'aimez pas, Evitez lesfureurs de cette fière Armide:
Car vous eſtes certain de trouver le treſpas, Si vous ne suivez point le tranſport qui la guide.	Car vous êtes certain de trouver le trépas, Si vous ne suivez point le transport qui la guide.
Je ſçauray reprimer des feux ſi vehemens, Pour reconnoiſtre en vous une ardeur ſi parfaitte, Et je rompray bientoſt tous ſes enchantemens, Si vous eſtes conſtant, onne je le ioullaitte.	Je saurai réprimer des feux si véhéments, Pour reconnaître en vous une ardeur si parfaite, Et je romprai bientôt tous ses enchantements, Si vous êtes constant, onne je le joullaitte.
DOM CARLOS.	DOM CARLOS.
aprés avoir leu.	après avoir leu.
Trop aimable Inviſible, Ah!	Trop aimable Invisible, Ah!
que vous m’obligez!	que vous m'obligez!
C’eſt aſſez, c’eſt aſſez que vous me protegez.	C'est assez, c'est assez que vous me protégez.
GUSMAN.	GUSMAN.
Cette protection, Monſieur, ne ſert de guere;	Cette protection, Monsieur, ne sert de guère;
Vous avez veu ſortir cette Dame en colere?	Vous avez vu sortir cette Dame en colère?
Ah que ſi le billet eſtoit venu pluſtoſt!	Ah que si le billet était venu plutôt!
Mais quelqu’un vient á nous, voila ce qu’il nous faut;	Mais quelqu'un vient nous, Ça ce qu'il nous faut;
Eſcoutez ſeulement, Monſieur, voicy le maſque Qui vient nous dire encor quelque conte fantaſque.	Écoutez seulement, Monsieur, voici le masque Qui vient nous dire encor quelque conte fantasque.
SCENE NEUFIEME.	SCÈNE NEUFIEME.
OM CARLOS.	OM CARLOS.
GUSMAN.	GUSMAN.
LEONOR.	LEONOR.
maſquée.	masquée.
LEONOR.	LEONOR.
ladame vient vous voir pour la derniere fois	ladame vient vous voir pour la dernière fois
GUSMAN.	GUSMAN.
luf, ie tremble á ce coup juſques au bout des doits, lonſieur, conſiderez qu’elle eſt dedans ſon centre, t nous;	lus, Seigneur tremble § ce coup jusques au bout des doits, lonsieur, considérez qu'elle est dedans son centre, t nous;
vous ſçavez trop	vous savez trop
DOM CARLOS.	DOM CARLOS.
Tay toy, maraut.	Tais -toi, maraud.
LEONOR.	LEONOR.
Elie entre.	Élie entre.
tremble.	tremble.
GUSMAN.	GUSMAN.
SCENE DIXIESME.	SCÈNE DIXIÈME.
CI CIHILES LA PRINCESSE PORCIE.	CY CIHILES LA PRINCESSE PORCIE.
BEATRIX.	BEATRIX.
demaſquées.	demasquées.
GUSMAN.	GUSMAN.
En IMMCESDS PORGII.	En JMCESDS PORGI.
Dom Carlos, qu’avez vous reſolu?	Dom Carlos, qu'avez -vous résolu?
GUSMAN.	GUSMAN.
llallepeſte, elle prend un ton bien ablolu.	lallepeste, elle prend un ton bien ablolu.
DOM CARLOS.	DOM CARLOS.
Madame, vous devez perdre toute eſperance, Que ie faſſe un ſeul pas qui tende a l’inconſtance,	Madame, vous devez perdre toute espérance, Que ie fasse un seul pas qui tende a l'inconstance,
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
De ſi beaux ſentimens ne me ſatisfont plus, Et ie ne puis de vous ſouffrir tant de refus.	De si beaux sentiments ne me satisfont plus, Et ici ne puis de vous souffrir tant de refus.
l eſt temps de reſoudre, affin que dans mon ame, e cherche des raiſons pour combatre ma flame:	l est temps de résoudre, afin que dans mon âme, é cherche des raisons pour combattre ma flamme:
Si ie n’en puis trouver ie ſçay bien le chemin omhomicrer que iamais ie ne lais Iien en vaiii,	Si ici n'en puis trouver ici sais bien le chemin omhomicrer que jamais été ne lais Jien en vaii,
GUSMAN.	GUSMAN.
Monſieur c’eſt à ce coup qu’il faut vuider d’affaire:	Monsieur c'est à ce coup qu'il faut vider d'affaire:
Dittes que vous l’aimez, pourquoy tant de myſtere:	Dittes que vous l'aimez, pourquoi tant de mystère:
Il y va de la vie, & ie ne comprens pas Pour ce qu’on ne voit point qu’on cherche le treſpas D’ailleurs vous voyez bien que cette dame eſt belle, Et pour mille beautez ie ſerois infidelle, oi pour prendre ou laiſſer il me falloit perir, Et ie promettrois tout pluſtoſt que de mourir.	Il y va de la vie, et ainsi ne comprends pas Pour ce qu'on ne voit point qu'on cherche le trépas D'ailleurs vous voyez bien que cette dame est belle, Et pour mille beauté ie serais infidèle, oi pour prendre ou laisser il me fallait périr, Et ie promettrais tout plutôt que de mourir.
DOM CARLOS.	DOM CARLOS.
Si l’infidelité fait voir qu’vn homme eſt lache, Me pouriez vous aimer ſi i’avois cette tache?	Si l'infidélité fait voir qu'un homme est lache, Me pouriez -vous aimer si j'avais cette tache?
Et n’auriez vous pas droit de croire a tout moment Que ie pourois changer pour vous de ſentiment.	Et n'auriez vous pas droit de croire à tout moment Que je pourrais changer pour vous de sentiment.
Ne vous y fiez pas;	Ne vous y fiez pas;
quand on aime un volage, On n’a pas à l’aimer un fort grand avantage:	quand on aime un volage, On n'a pas à l'aimer un fort grand avantage:
Si pour vous il a pû d’ailleurs ſe dégager, Vne autre au meſme temps le peut faire changer.	Si pour vous il a pu d'ailleurs se dégager, Une autre au même temps le peut faire changer.
Pour moy que la vertu tousiouis a igeu conduire, Je ne veux point donner ma foy pour la détruire:	Pour moi que la vertu tousiouis a igeu conduire, Je ne veux point donner ma foi pour la détruire:
Qui donne ſa parole, & qui ne la tient pas, Fait un crime odieux & digne du treſpas.	Qui donne sa parole, et qui ne la tient pas, Fait un crime odieux et digne du trépas.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Bien que ie perde en vous toute mon eſperance, Je ne puis admirer aſſez voſtre conſtance:	Bien que je perde en vous toute mon espérance, Je ne puis admirer assez votre constance:
Quoy quelle ſoit contraire à mon contentement Vos qualitez me font vous loüer hautement:	Quoi quelle soit contraire à mon contentement Vos qualités me font vous louer hautement:
Je viens d’en faire icy la haute experience;	Je viens d'en faire ici la haute expérience;
Mais donnez vous encor un peu de patience:	Mais donnez -vous encor un peu de patience:
Tenez vous aſſeuré de voſtre liberté, Je vous feray conduire en toute ſeüreté, Quand vous pourrez ſortir on viendra vous le dire, y voulu vous connoiſtre, & puis executer;	Tenez vous assuré de votre liberté, Je vous ferai conduire en toute sûreté, Quand vous pourrez sortir on viendra vous le dire, y voulu vous connaître, et puis exécuter;
vous ſeriez encor dans la meſme balance, je n’avois pas vû toute voſtre conſtance, ar mon cœur vainement auroit dû s’enflamer, je n’euſſe pas crû que vous ſçaviez aimer.	vous seriez encor dans la même balance, je n'avais pas vu toute votre constance, art -on cœur vainement aurait dû s'enflammer, je n'eusse pas crû que vous saviez aimer.
n homme moins conſtant que vous le pouvez eſtre uroit perdu ſa peine à me vouloir connoiſtre, ts’il vous faut parſef avec fncente, ous ne de vez mon cœur qu’a la fidelité.	n homme moins constant que vous le pouvez être urait perdu sa peine à me vouloir connaître, ts'il vous faut parsef avec fncente, ous ne de vez mon cœur qu'a la fidélité.
DOM CARLOS.	DOM CARLOS.
ue je ſuis redevable à voſtre ame ſincere ui vient de me monſtrer par où j’ay ſçeu vous plaire!	Que je suis redevable à votre âme sincère U vient de me montrer par où j'ai su vous plaire!
ar quels ſoins deſormais, par quels remercîmens le pourray-je acquitter de ces bons ſentimens?	ar quels soins désormais, par quels remercîmens le pourrai-je acquitter de ces bons sentiments?
ma fidelité monſtre que je vous aime, os bontez me font voir que vous m’aimez de meſme.	ma fidélité montre que je vous aime, ô bonté voir que vous que de maimez de même.
ma felicité je dois m’abahdonner, t qui donne ſon cœur n’a plus rien à donner.	ma félicité je dois m'abahdonner, qui donne son cœur n'a plus rien à donner.
DOM FERNAND.	DOM FERNAND.
Charmante Leonor, vous oubliez mon crime, ous me rendez encor ma place en voſtre eſtime, it comme c’eſt beaucoup de vouloir m’eſtilnel, e n’oſe point icy vous prier de m’aymer, aſpire à voſtre grace en m’avoüant coupable, Et le crime d’amour eſt touſiours pardonnable.	Charmante Leonor, vous oubliez mon crime, ous me rendez encor ma place en votre estime, it comme c'est beaucoup de vouloir m'estilnel, eu n'ose point ici vous prier de m'aimer, aspire à votre grâce en m'avouant coupable, Et le crime d'amour est toujours pardonnable.
LLONOR.	LLONOR.
I n’a jamais reſté dedans mon ſouvenir.	I J'a jamais resté dedans mon souvenir.
ay fait la faute ſeule, & l'on m’en doit punir:	ai fait la faute seule, et l'on m'en doit punir:
Le ſoupçon, Dom Fernand, n’eſtoit que mon ouvrage, et l’erreur ſeulement eſtoit voſtre partage.	Le soupçon, Dom Fernand, n'était que mon ouvrage, et l'erreur seulement était votre partage.
DOM EERNAND.	DOM EERNAND.
Quoy!	Quoi!
juſqu’a m’excuſer employer tous vos ſoins!	jusqu'a m'excuser employer tous vos soins!
ſh!	sh!
pour tant de bontez--	pour tant de bontés-
LEONOR.	LEONOR.
Je ne vous dois pas moins Et ce n’eſt que me rendre à moy-meſme juſtice, juſqu’a l’heureux moment que l'Hymen nous uniſſe	Je ne vous dois pas moins Et ce n'est que me rendre à moi-même justice, jusqu'a l'heureux moment que l'Hymen nous unisse
DOM FERNAND.	DOM FERNAND.
Que ne vous dois-ie point?	Que ne vous dois-je point?
LEONOR.	LEONOR.
Vous ne me devez rien.	Vous ne me devez rien.
Je vous fais un preſent de voſtre propre bien.	Je vous fais un présent de votre propre bien.
GUSMAN.	GUSMAN.
Qui ne ſeroit ſurpris d’une telle auanture?	Qui ne serait surpris d'une telle aventure?
Qu’en dis tu, mon ſoucy?	Qu'en dis tu, mon souci?
pour moy je me figure Quil faut à noſtre tour nous marier icy, Les vona tous pourvus, pourvoyons nous auſsy;	pour moi je me figure Quil faut à notre tour nous marier ici, Les vona tous pourvus, pourvoyons nous aussi;
J’en ay démangeaiſon, pour veu que ta magie Ne s’exerce jamais deſſus ma friperie.	J'en ai démangeaison, pour vu que ta magie Ne s'exerce jamais dessus ma friperie.
J'y conſens, touche là.	J'y consens, touche là.
BEATRIX.	BEATRIX.
GUSMANMe voila marié:	GUSMANMe voilà marié:
Quandj’y penſois le moins, & ſans eſtre prié!	Quandj'y pensais le moins, et sans être prié!
Ah!	Ah!
ce que c’eſt que l’homme, & quand il delibere Qu’il n’eſt pas aſsûré de conclure une affaire.	ce que c'est que l'homme, et quand il délibère Qu'il n'est pas assuré de conclure une affaire.
Des hier je me croyois à la fin de mon ſort, J'eſtois enſorcelé bref je me croyois mort:	Des hier je me croyais à la fin de mon sort, J'étais ensorcelé bref je me croyais mort:
Et je ſuis marié.	Et je suis marié.
Rien n’eſt ſtable que l'ondeEt je m’en reſioüis, puis qu’ainſy va le monde.	Rien n'est stable que l'ondeEt je m'en resioüis, puis qu'ainsi va le monde.
FIN du cinquieſme & dernier Hele.	FIN du cinquième et dernier Hèle.
GUSMAN.	GUSMAN.
Elle me renuia vies à preient ie reipire.	Elle me renvia vies à préient Seigneur réjpire.
SCENE UNZIEME DOM CARLOS.	SCÈNE UNZIEME DOM CARLOS.
GUSMAN.	GUSMAN.
GUSMAN.	GUSMAN.
Vous avez de l’eſprit:	Vous avez de l'esprit:
Il faut nous reſioüir, la fortune nous rit.	Il faut nous réjouir, la fortune nous rit.
Puis que nous ſortirons ie vay mourir de joye:	Puis que nous sortirons toujours vais mourir de joie:
man Conpaanouene tey qu'en nous ehtoye.	man Conpanouène tey qu'en nous eûtoie.
DOM CARLOS L’eſt pour noſtre retraite.	DOM CARLOS L'est pour notre retraite.
GHSMAN.	GHÊMAN.
Ouy, ces gens me font voir Qu’ils viennent nous tirer de ce charmant manoir.	Oui, ces gens me font voir Qu'ils viennent nous tirer de ce charmant manoir.
SCEND DOULIENIE LEONOR maſquée.	SCEND DOULIENIE LEONOR masquée.
Les valets de La PRINCESSE PORCIE maſquez.	Les valets de La PRINCESSE PORCIE masquez.
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
LEONOR.	LEONOR.
Lors que vous le voudrez, vous avez la licence De ſortir de ce lieu.	Lors que vous le voudrez, vous avez la licence De sortir de ce lieu.
GUSMAN.	GUSMAN.
tuonslerlie diuaciade.	tuonslerlie divaciade.
DOM CARLOS.	DOM CARLOS.
temerciez pour moy la dame du palais.	témerciez pour moi la dame du palais.
Duy Monſieur.	Dui Monsieur.
LEONOR.	LEONOR.
GUISMAN.	GUISMAN.
Et ſortons pour n’y rentrer iamais.	Et sortons pour n'y rentrer jamais.
E2 SCE	E2 SCE
SCENE TREZIEME La PRINCESSE PORCIE.	SCÈNE TREZIEME La PRINCESSE PORCIE.
LEONOR.	LEONOR.
BEATRI demaſquées.	BEATRI demasquées.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Enfin, il eſt ſorty.	Enfin, il est sorti.
LEONOR.	LEONOR.
Son amour eſt extreme.	Son amour est extrême.
Il eſt conſtant.	Il est constant.
BEATRIX.	BEATRIX.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Sans doute, & i’ay connu qu’il m’ain Comme du Viceroy ie ſçay l’intention, Il doit pour Dom Carlos ſçavoir ma paſſion :	Sans doute, et j'ai connu qu'il m'ain Comme du Vicerais était sais l'intention, Il doit pour Dom Carlos sçavoir ma passion :
Allons donc conſulter ce que nous devons faire inidenavon lleua nos dems couctaner	Allons donc consulter ce que nous devons faire inidénavon lua nos dems couctaner
Fin du Quatrieme Acte.	Fin du Quatrième Acte.
DOM CARLOS.	DOM CARLOS.
Je ne ſçay, Dom Fernand, par quels remercimens ſe pouray m’aquiter de ces bons ſentimens.	Je ne sais, Dom Fernand, par quels remerciments se pourrai m'aquititer de ces bons sentiments.
DOMI FERNAND.	DOMI FERNAND.
aiſſons ces complimens & me dittes de gracs Ce que dans ce logis vous voulez que ie faſſe, it qu’elle eſt le deſſein que vous avez encor Je me vouloir conduire auprés de Leonor.	aissons ces compliments et me dites de grâces Ce que dans ce logis vous voulez que ieclasse, it qu'elle est le dessein que vous avez encor Je me vouloir conduire auprès de Leonor.
DOM CARLOS.	DOM CARLOS.
Jeux raiſons;	Jeux raisons;
ie dois voir mon amante Inviſible, Qui ceſſe en mon endroit de paroiſtre inflexible, Comme chez Leonor elle ſe doit trouver, 'ay voulu vous y voir, quoy qu’il puſt arriver, our le ver le ſoupçon que vous fiſtes paroiſtre uand vous cruſtes l’ouïr parler á la feneſtre.	ie dois voir mon amante Invisible, Qui cesse en mon endroit de paraître inflexible, Comme chez Leonor elle se doit trouver, ' ais voulu vous y voir, quoi qu’il pût arriver, our le ver le soupçon que vous fîtes paraître uand vous crûtes l'ouïr parler la fenestre.
’obiet de mon amour en faveur de ma ſoy l’a permis d’amener un teſmoin avec moy, n amy dont ie puſſe eſtre aſſuré du zele:	’obiet de mon amour en faveur de ma soy l’a permis d’amener un tesmoin avec moy, n amy dont ie pusse estre assuré du zele:
lomme je vous connois pour cet amy fidelle, t que ie ne dois point la voir qu’avecque vous, ay voulu vous oſter tout lieu d’eſtre ialoux:	lomme je vous connais pour cet ami fidèle, t que je ne dois point la voir qu'avec vous, ai voulu vous ôter tout lieu d'être jaloux:
