De Voſtre Majeſté,	De Votre Majesté,
Car connoiſſant qu'Alcandre eſtimoit tes appas, Quoy qu'il ſoit de naiſſance à ne l’eſpouſer pas, Deuions nous pas, ma ſœur, redouter l’inſolence D'vn qui peut employer iuſqu'à la violence, Qui peut effectuer d'vn empire abſolu, Eſtant frere du Roy, quoy qu’il ait reſolu:	Car connaissant qu'Alcandre estimait tes appas, Quoi qu'il soit de naissance à ne l'épouser pas, Deuions nous pas, ma sœur, redouter l'insolence D'un qui peut employer jusqu'à la violence, Qui peut effectuer d'un empire absolu, Étant frère du Roi, quoi qu’il ait résolu:
Mais ce mal eſt ſuiuy de la pire infortune, Qui pouuoit iamais eſtre à nos iours importune:	Mais ce mal est suivi de la pire infortune, Qui pouvait jamais été à nos jours importune:
Ie craïns de ſuccomber au ſoin que ie te doy, Taſchant de reſiſter aux paßions du Roy;	Je craïns de succomber au soin que votre te dois, Tâchant de résister aux passions du Roy;
Eſperer que l’Hymen t’honore de ſa couche, Ce diſcours ſeulement meßied à noſtre bouche:	Espérer que l'Hymen t'honore de sa couche, Ce discours seulement messied à notre bouche:
Außi qu’aucun reſpect le puiſſe moderer, C’eſt ce que ſonhumeur me deffend d’eſperer;	Aussi qu'aucun respect le puisse modérer, C'est ce que sonhumeur me défend d'espérer;
Il faut que tout ſuccede à cette ame hautaine, Le Ciel ne rendroit pas ſon entrepriſe vaine;	Il faut que tout succède à cette âme hautaine, Le Ciel ne rendrait pas son entreprise vaine;
La force ou la cholere eſteindront ſes amours, Il n'eſpargnera pas ton honneur, ou nos iours.	La force ou la colère éteindront ses amours, Il n'épargnera pas ton honneur, ou nos jours.
B u	 Bu
ROSELIE.	ROSELIE.
I'apprens de ce diſcours ma derniere aduanture.	J'apprends de ce discours ma dernière aventure.
C’eſt que l’on me prepare vne eſtroite cloſture:	C'est que l'on me prépare une étroite clôture:
Ie vy pour eſtre eſclaue, & l'on s’eſt irrité Qu'il me reſtaſt encore vn peude liberté.	Je vis pour être esclave, et l'on s'est irrité Qu'il me restât encore un peude liberté.
Et bien que l’on diſpoſe à ſon gré de ma vie, Sans de ces vains diſcours pallier cette enuie, Ne feignez point qu'vn Roy treuue en moy des appas:	Et bien que l'on dispose à son gré de ma vie, Sans de ces vains discours pallier cette envie, Ne feignez point qu'un Roi trouve en moi des appas:
Mais dites ſeulement que ie ne vous plais pas.	Mais dites seulement que vertu ne vous plais pas.
Pourquoy reiettez vous auecques tant de peine Sur ſon affection l'effect de voſtre haine;	Pourquoi rejettez -vous avec tant de peine Sur son affection l'effet de votre haine;
Uous faites vainement agir tant de reſſorts;	Uous faites vainement agir tant de ressorts;
Dites de quels habits il faut couurir ce corps;	Dites de quels habits il faut couvrir ce corps;
Declarez quelle reigle à mes iours eſt preſcrite, Quel enclos à mes pas doit ſeruir de limite.	Declarez quelle règle à mes jours est prescrite, Quel enclos à mes pas doit servir de limite.
TIMANDRE.	TIMANDRE.
Ha!	Ha!
ne m'accuſez point de cette intention, Ma ſœur, vous iugez, mal de mon affection;	ne m'accusez point de cette intention, Ma sœur, vous jugez, mal de mon affection;
Le Roy m'enuoye icy, ſon amour eſtextreme;	Le Roi m'envoie ici, son amour étextreme;
Et ie n'auance rien que la yerité meſme;	Et ici n'avance rien que la yérité même;
Ne vous connoiſſant pas ie voulois vous trahir, Et vous faire approuuer ce qu’il vous faut bair;	Ne vous connaissant pas mieux voulais vous trahir, Et vous faire approuver ce qu'il vous faut bair;
Mais quittons ce diſcours, & deſtournons t'orage Qui menace ma ſœur, voſtre honneur du naufrage.	Mais quittons ce discours, et détournons t'orage Qui menace ma sœur, votre honneur du naufrage.
Si ie treuue à l’Hymen voſtre cœur preparé, Ce moyen, ce me ſemble, eſt le plus aſſeuré.	Si ici trouve à l'Hymen votre cœur préparé, Ce moyen, ce me semble, est le plus assuré.
Paris, depuis long-temps idolatre vos charmes, Vous ſçauez ſes deſirs, vous auez veu ſes larmes, Nous ioindrons voſtre ſort à ſa condition, Si vous eſtes ſenſible à ſon affection.	Paris, depuis longtemps idolâtre vos charmes, Vous savez ses désirs, vous avez vu ses larmes, Nous joindrons votre sort à sa condition, Si vous êtes sensible à son affection.
Auiourd’huy ce Seigneur arriue auec la Reine, Eſtes vous diſpoſee à ſoulager ſa peine, Ce remede, ma ſœur, eſt le ſeul que ie voy Dont on puiſſe arrester les paßions du Roy.	Aujourd'hui ce Seigneur arrive avec la Reine, Estes vous dispose à soulager sa peine, Ce remède, ma sœur, est le seul que je vois Dont on puisse arrêter les passions du Roi.
ROSELIE.	ROSELIE.
Selon voſtre deſir, diſpoſez de mon ame, Vous ſeul la pouueZ rendre, ou de glace, ou de flame, Puiſque l’obeiſſance eſt aueugle, & ſans voix.	Selon votre désir, disposez de mon âme, Vous seul la pouvez rendre, ou de glace, ou de flamme, Puisque l'obéissance est aveugle, et sans voix.
TIMANDRE.	TIMANDRE.
I'eſpere ainſi de vous, & ce remede vnique Peut détourner du Roy le pouuoir tyrannique:	J'espère ainsi de vous, et ce remède unique Peut détourner du Roi le pouvoir tyrannique:
Mais il vous faut, ma ſœur, retirer de ces lieux, I’apprehende pour vous, les Rois ont beaucoup d’yeux.	Mais il vous faut, ma sœur, retirer de ces lieux, J'appréhende pour vous, les Rois ont beaucoup d'yeux.
La Reine vienne ou non, que vous ſert ſa venuë, Allez changer d’habits, & craignez, d’eſtre veuë.	La Reine vienne ou non, que vous sert sa venue, Allez changer d'habits, et craignez, d'être vue.
Il s’en va	Il s'en va
ROSELIE, parlant à Floris.	ROSELIE, parlant à Floris.
Le vain reſpect d’vn frere a retenu ma voix Dans les termes honteux de celer qui i’aimois;	Le vain respect d'être frère a retenu ma voix Dans les termes honteux de celer qui j'aimais;
Ie cherche les deſerts, i'y parle de mes peines;	Je cherche les déserts, j'y parle de mes peines;
I'entretiens de mes feux les bois & les fonteines;	J'entretiens de mes feux les bois et les fonteines;
Ie conte à des rochers ce qu'Alcandre a d’appas, D’autant que ie ſçay bien qu’ils ne m'entendent pas;	Je conte à des rochers ce qu'Alcandre a d'appas, D'autant que ie éclai bien qu'ils ne m'entendent pas;
Ailleurs, ie n'oſe vſer de licences pareilles, Et ie n’ay point de bouche où ie voy des oreilles;	Ailleurs, Seigneur n'ose user de licences pareilles, Et notre n'ai point de bouche où ie rs des oreilles;
Ie crains de publier mon amoureux tourment Aux lieux, où ie puis voir vn oiſeau ſeulement.	Je crains de publier mon amoureux tourment Aux lieux, où tu puis voir un oiseau seulement.
Triomphe mon amour de cette humeur craintiue, Confeſſons, puouons qu'Aitanttre nons captiue, Quelque effort qu’on oppoſe au bon-heur que ie veux, Iamais vn autre obiect n’obtiendra de mes vœux.	Triomphe mon amour de cette humeur craintive, Confessons, puouons qu'Aitanttre nons captive, Quelque effort qu'on oppose au bonheur que tu veux, Jamais un autre objet n'obtiendra de mes vœux.
LORIS.	LORIS.
Ha!	Ha!
ce diſcours me plaiſt, c'eſt parler en amante, Remediez vous meſme au mal qui vous tourmente;	ce discours me plaît, c'est parler en amante, Remediez -vous même au mal qui vous tourmente;
La repentance eſt deuë à ces foibles eſprits Qui traictent par vn autre vne affaire de prix;	La repentance est due à ces faibles esprits Qui traitent par un autre une affaire de prix;
Vous eſtes amoureuſe, & non pas vostre frere, Ce qui ſe paſſera, c'est à vous à le faire;	Vous êtes amoureuse, et non pas votre frère, Ce qui se passera, c'est à vous à le faire;
S’il deſire à ſon gré vous choiſir vn espoux, Faiſant l'amour pour vous, qu'il l'eſpouſe pour vous.	S'il désire à son gré vous choisir un époux, Faisant l'amour pour vous, qu'il l'épouse pour vous.
ACTE	ACTE
IOIEUEIO SCENE PREMTERE.	JOIEUEIO SCÈNE PREMTERE.
PARIS, TIMANDRE.	PARIS, TIMANDRE.
292 ARIS.	292 ARIS.
Ous allez à la Cour, & veſtu de la ſorte!	Ous allez à la Cour, et vêtu de la sorte!
Sont-ce-là deſormais les habits qu'on porte?	Sont-ce-là désormais les habits qu'on porte?
TIMANDRE.	TIMANDRE.
Le Roy meſme auoit pris vn pareil veſtement:	Le Roi même avait pris un pareil vêtement:
Nous voulions voir la Reine en ce déguiſement:	Nous voulions voir la Reine en ce déguisement:
Mais eſtans arriuez, certaine inquietude L'a fait changer d’auis, & retourner à Bude.	Mais étant arrivés, certaine inquiétude L'a fait changer d'avis, et retourner à Bude.
ARIS.	ARIS.
Et bien vous auez veu ce miracle d’amour, Croyez vous qu'vn pareil ait iamais veu le iour?	Et bien vous avez vu ce miracle d'amour, Croyez -vous qu'un pareil ait jamais vu le jour?
Et d’abord auiez vous la veue aſſez puiſſante, Pour ſouſtenir l’eſclat de ſa beauté naiſſante;	Et d'abord aviez -vous la vue assez puissante, Pour soutenir l'éclat de sa beauté naissante;
Cét obiect adorable entre les beaux obiets, Pour conter ſes amants, contera ſes ſujets, Mais n’eſteindra que d’vn les ardeurs amoureuſes, A qui ie vay porter ces nouuelles heureuſes.	Cet objet adorable entre les beaux objets, Pour conter ses amants, contera ses sujets, Mais n'éteindra que d'un les ardeurs amoureuses, À qui tu vais porter ces nouvelles heureuses.
Ivtonarque atme au Ciet par deſſus ious les Rois, De voir ceſte beauté ſe ranger ſous tes loix.	Iutonarque atme au Ciét par -dessus jous les Rois, De voir cette beauté se ranger sous tes lois.
TIMANDRE.	TIMANDRE.
Quelque ſage conſeil que la raiſon nous donne, Ses yeux pourront autant ſur nous que ſa Couronne;	Quelque sage conseil que la raison nous donne, Ses yeux pourront autant sur nous que sa Couronne;
Ce voyage a changé voſtre inclination, Ma ſœur n'est plus l’obiect de voſtre affection.	Ce voyage a changé votre inclination, Ma sœur n'est plus l'object de votre affection.
S Ha Timandre!	 Sa Timandre!
eſpargné la plus rare conſtance Qui iamais combattit contre la reſiſtance, Auec la plus aimable & diuine beauté Qui iamais ait taché ſon nom de cruauté;	épargné la plus rare constance Qui jamais combattit contre la résistance, Avec la plus aimable et divine beauté Qui jamais ait taché son nom de cruauté;
Le temps ne peut briſer la chaine qui me lie, Et mal-gré vos refus i'adore Roſelie;	Le temps ne peut briser la chaine qui me lie, Et mal-gré vos refus j'adore Roselie;
Que cette Deité ſi contraire à mes vœus N’ouure iamais la bouche à l’oüy que ie veux?	Que cette Déité si contraire à mes vœus N'ouvre jamais la bouche à l'oui que ie veux?
Qu'elle euite mes pas, tâche de me déplaire, Accuſe mes deſirs, me nomme temeraire, Auant que mon esprit ſoit las de l’adorer, Eleſe laſſerademe deeir jouſpirer.	Qu'elle évite mes pas, tâche de me déplaire, Accuse mes désirs, me nomme téméraire, Avant que mon esprit soit las de l'adorer, Élèse lasserade deeir joupirer.
IMANDRE.	JMANDRE.
Voila nous teſmoigner des ardeurs trop parfaites, Elle merite peu l’honneur que vous luy faites, Et vous en obtiendrés ce que vous ſouhaittez.	Voilà nous témoigner des ardeurs trop parfaites, Elle mérite peu l'honneur que vous avez faites, Et vous en obtiendrez ce que vous souhaitez.
Pourueu que mon conſeil reigle ſes volontez;	Pourvu que mon conseil règle ses volontés;
N'en doutez, plus, Paris, Timandre eſt voſtre freré, Ranimez voſtre eſpoir, & preſſons cét affaire, Arreſtons cét Hymen, & ſans plus differer, Si vous auez deſſein de nous tant honorer;	N'en doutez, plus, Paris, Timandre est votre freré, Ranimez votre espoir, et pressons cet affaire, Arrétons cet Hymen, et sans plus différer, Si vous avez dessein de nous tant honorer;
S Serois-ie encor Paris, refuſant cette gloire, Monſieur, demandez vous ſi Tantale veut boire, Ie meurs d’impatience, en des accés ſi forts, Quand i’auray veu le Roy, traictons ces doux accords.	 Serais-je encor Paris, refusant cette gloire, Monsieur, demandez -vous si Tantale veut boire, Je meurs d'impatience, en des accès si forts, Quand j'aurai vu le Roi, traitons ces doux accords.
SENDIT LE ROY, ALCANDRE, LYSANOR.	SENDIT LE ROY, ALCANDRE, LYSANOR.
LE ROY.	LE ROY.
L ſuffit, brize là ce diſcours inutile, Ie le croy comme toy, que ſa naiſſance est vile:	L suffit, brize là ce discours inutile, Je le crois comme toi, que sa naissance est vile:
D Mais i'aime ſa beauté toute ignoble qu'elle eſt, Et ie hay tes diſcours autant qu’elle me plaiſt, Prens tes aduis pour toy, ſouffre que ie ſouſpire, Ma raiſon ne veut point r'eſtablir ſon empire.	D Mais j'aime sa beauté toute ignoble qu'elle est, Et ie haï tes discours autant qu'elle me plaît, Prends tes avis pour toi, souffre que veut souspire, Ma raison ne veut point rétablir son empire.
Il parle à Timandre, & l’embraſſe.	Il parle à Timandre, et l'embrasse.
Mnt.	Mnt.
Ha Timandre!	Ha Timandre!
eſt-ce toy?	est-ce toi?
i’attendois ton retour;	j'attendais ton retour;
As-tu pris le ſoucy de ſeruir mon amour;	As-tu pris le souci de servir mon amour;
Viens tu ſur ma bleſſeure apporter le dictame;	Viens tu sur ma blessure apporter le dictame;
As-tu reueu l’obiect de ma naiſſante flame?	As-tu revu l'objet de ma naissante flamme?
TIi leNDre ne Paris vient s’acquitter d'vn ſoing plus important, Quand il aura parlé, ie vous rendray content.	TIi leNDre ne Paris vient s'acquitter d'un soing plus important, Quand il aura parlé, je vous rendrai content.
ARIS.	ARIS.
Tout vous ſuccede, Sire, en la gloire où vous eſtes, On reçoit dans le Ciel tous les veux que vous faites;	Tout vous succède, Sire, en la gloire où vous êtes, On reçoit dans le Ciel tous les veux que vous faites;
La Reine dans Petronne exerce ſes deſirs, Pour rendre vostre eſpoir moindre que vos plaiſirs, Elle prefere aux Cieux cette heureuſe contree, Et ie viens receuoir l’ordre de ſon entree;	La Reine dans Pétronne exerce ses désirs, Pour rendre votre espoir moindre que vos plaisirs, Elle préfère aux Cieux cette heureuse contrée, Et apprendre viens recevoir l'ordre de son entrée;
LE ROY.	LE ROY.
Est-elle ſi charmante, eſt-ce vn obiect ſi beau?	Est-elle si charmante, est-ce un objet si beau?
Peux-tu par tes diſcours m'en faire le tableau?	Peux-tu par tes discours m'en faire le tableau?
PARIS.	PARIS.
Ie ne l’egale point à l’Aurore, à la Lune, Cette comparaiſon me ſemble trop commune;	Je ne l'égale point à l'Aurore, à la Lune, Cette comparaison me semble trop commune;
Et pour vous figurer que ſes attraits ſont doux, Il ſuffit, ſi ie dy qu'elle eſt digne de vous;	Et pour vous figurer que ses attraits sont doux, Il suffit, si ici dis qu'elle est digne de vous;
Iuger des qualitez, dont le Ciel l’a pourueuë.	Juger des qualités, dont le Ciel l'a pourvue.
Sire, cette action n'appartient qu'à la veuë, Et quelques inuentifs que ſoient les iugemens, Ils ne conceuroient pas ſes moindres ornemens;	Sire, cette action n'appartient qu'à la vue, Et quelques inventifs que soient les jugements, Ils ne concevraient pas ses moindres ornements;
Faites vous vn tableau de mille belles choſes, Imaginez des lys, figurez vous des roſes, Songez à ce qu'on voit de rare en Orient, Liſez ce qu'on a dit des merueilles d’Helene, C'eſt là que mille esprits ont eſpuisé leur veine:	Faites -vous un tableau de mille belles choses, Imaginez des lys, figurez vous des roses, Songez à ce qu'on voit de rare en Orient, Lisez ce qu'on a dit des merveilles d'Helene, C'est là que mille esprits ont épuisé leur veine:
u Voyez tout ce qui peut obliger à l’amour;	Ou Voyez tout ce qui peut obliger à l'amour;
Allez cent fois au cours, voyez toute la Cour;	Allez cent fois au cours, voyez toute la Cour;
Conſiderez les traits des plus rares viſages De toutes qualitez, de tous noms, de tous aages, Sçachez ce que Uenus auoit de plus charmant, Paris vous en deuſt-il dire ſon ſentiment:	Considérez les traits des plus rares visages De toutes qualités, de tous noms, de tous aages, Sachez ce que Uenus avait de plus charmant, Paris vous en dût-il dire son sentiment:
