LES AGTEVRS.	LES AGTEURS.
Ie ſonge à m’en aller & à prendre la fuite Pour euiter le mal dont me va pourſuiuant La femme dont l’eſprit eſt ſubtil & meſchant.	Je songe à m'en aller et à prendre la fuite Pour éviter le mal dont me va poursuivant La femme dont l'esprit est subtil et méchant.
ODEBERT.	ODEBERT.
mproitmujire que dedans ce Conuent Vous eußiez, acheué voſtre vie content:	mproitmujire que dedans ce Convent Vous eussiez, achevé votre vie content:
Mais puiſque vous voulez, ſortir de cette place, AlleZoù vous voudrez Dieu vous donne ſa grace.	Mais puisque vous voulez, sortir de cette place, Allezoù vous voudrez Dieu vous donne sa grâce.
CLAIR parlant à CIRIN.	CLAIR parlant à CIRIN.
Puiſque de noſtre Abbé i’ay la permißion, VeneZ auecque moy fidelle Compagnon, Allons ioyeuſement où le Ciel nous conuie Acheuer auec Dieu nos ans & noſtre vie.	Puisque de notre Abbé j'ai la permission, VeneZ avec moi fidèle Compagnon, Allons joyeusement où le Ciel nous convie Achever ainsi Dieu nos ans et notre vie.
Eſprit qui as guidé iuſqu’icy tous mes pas Dans cette anxieté ne m’abandonne pas, Monſtre-moy le chemin & la voye qu’il faut ſuiure, Et deſſouz quel climat ie dois encore viure, Ainſi guidé de toyie mets le voile au vent De ma chetiue nef	Esprit qui as guidé jusqu'ici tous mes pas Dans cette anxiété ne m'abandonne pas, Montre-moi le chemin et la voie qu'il faut suivre, Et dessouz quel climat où étais encore vivre, Ainsi ère de toiie mets le voile au vent De ma chétive nef
CIRIN.	CIRIN.
Partons preſentement, Il ne faut vos deſſeins deſcouurir à perſonne, De crainte que quelqu’vn ne vous nuiſe ou deſtourne.	Partons présentement, Il ne faut vos desseins découvrir à personne, De crainte que quelqu'un ne vous nuise ou détourne.
AAVE DERNIENL.	AAUE DERNIENL.
CLAIR, CIRIN, Les Satellites, & trois Cœurs d’Anges.	CLAIR, CIRIN, Les Satellites, et trois Cœurs d'Anges.
CLAIR.	CLAIR.
NEſt dedans ce iardin, mon bien aimé Cirin, A Que doiuent mes trauaux, & mes maux prẽdre Arreſtons-nous icy preZ ce petit boccage, Je ſçay que les Soldats pour aſſouuir la rage De leur Dame, viendront me trouuer en ce lieu C’eſt-là la volonté & le plaiſir de Dieu:	NEst dedans ce jardin, mon bien aimé Cyrin, À Que doivent mes travaux, et mes maux prendre Arrêtons-nous ici près ce petit bocage, Je sais que les Soldats pour assouvir la rage De leur Dame, viendront me trouver en ce lieu C'est-là la volonté et le plaisir de Dieu:
Reſiouis-toi mon cœur, voicy l’heure venuë Que tu as ſouhaitée, & longtemps attenduë:	Réjouis-toi mon cœur, voici l'heure venue Que tu as souhaitée, et longtemps attendue:
fin, Mon ame Dieu t’attend, pour iouïr dans les Cieux De la gloire promiſe à tous les bienheureux, Quitte ce corps mortel, laiſſe-là cette vie Pour retourner là-haut en ta chere Patrie.	fin, Mon âme Dieu t'attend, pour jouir dans les Cieux De la gloire promise à tous les bienheureux, Quitte ce corps mortel, laisse-là cette vie Pour retourner là-haut en ta chère Patrie.
Les Satellites.	Les Satellites.
Vous Pere, dites-nous, ſi auez veu paſſer Quelque Religieux inconnu, eſtranger, Qui porte voſtre habit;	Vous Père, dites-nous, si avez vu passer Quelque Religieux inconnu, étranger, Qui porte votre habit;
Depuis pluſieurs annees Nous ſommes à chercher par monts & par vallees Sans l’auoir peu trouuer, nous ſommes ſi recreus Et laſſeZ du chemin, que nous n'en pouuons plus.	Depuis plusieurs années Nous sommes à chercher par monts et par vallées Sans l'avoir peu trouver, nous sommes si recréus Et se du min, que nous n'en pouvons plus.
CLAIR.	CLAIR.
Quel eſt voſtre deſſein, que deſireZ-vous faire, Il ſemble à vous oüyr que ſoyeZ en colere.	Quel est votre dessein, que désirez-vous faire, Il semble à vous ouïr que soyeZ en colère.
ses Satellites.	ses Satellites.
Noſtre Dame qui est la plus grande beauté De tout nostre païs, auoit la volonté D’aimer vn certain Clair, pour paſſer ſa ieuneſſe En amoureux plaiſirs, en ioye & en lieſſe:	Notre Dame qui est la plus grande beauté De tout notre pays, avait la volonté D'aimer un certain Clair, pour passer sa jeunesse En amoureux plaisirs, en joie et en liesse:
Ce mal aduisé Moine au lieu de l’estouffer, In ſolent la quitta ſans luy vouloir parler:	Ce mal avisé Moine au lieu de l'étouffer, In solent la quitta sans lui mouroir parler:
Elle ſe faſcha tant d’eſtre ainſi meſpriſee, Qu'elle nous enuoya par toute la contree Et par tous le païs, afin de le trouuer Pour l’emmener cheZ elle, ou bien pour le tuer.	Elle se fâcha tant d'être ainsi méprise, Qu'elle nous envoya par toute la contrée Et par tous le pays, afin de le trouver Pour l'emmener chez elle, ou bien pour le tuer.
CLAIR.	CLAIR.
Le mal-heureux Demon ſuſcite vostre Dame Pour faire, s'il pouuoit, perdre le corps & l’ame A Clair que vous cherchez, qui dans la pauurete Aime mieux mille fois garder la chaſtété Qu’il a promiſe à Dieu?	Le malheureux Démon suscite votre Dame Pour faire, s'il pouuoit, perdre le corps et l'âme À Clair que vous cherchez, qui dans la pauvre Aime mieux mille fois garder la chastété Qu'il a promise à Dieu?
que de ſouïller, infame S'on corps pudique & chaſte auecque cêtte Dame.	que de souller, infâme S'on corps pudique et chaste auecque cette Dame.
N'eſpereiS pus iamuus pur vne impurete De luy faire quitter cette pudicité.	N'espereiS pus jamus pur une impureté De deux faire quitter cette pudicité.
Les Satellites.	Les Satellites.
Ne ſeroit-ce point toy qui parle de la ſorte, Qui le deffends ainſi, nous blaſme, & le ſupporte.	Ne serait-ce point toi qui parle de la sorte, Qui le défends ainsi, nous blâme, et le supporte.
CLAIR.	CLAIR.
Ouy ie ſuis ce Clair que vous pourſuiuez, tant:	Ou ie suis ce Clair que vous poursuivez, tant:
Helas!	Hélas!
ne plaiſe à Dieu que ie ſois ſi meſchant De quiter mon Sauueur pour plaire à vne femme, Et commettre auec elle vn peché ſi infame.	ne plaise à Dieu que je sois si méchant De quit mon Sauveur pour plaire à une femme, Et commettre avec elle un péché si infâme.
J'ai quité mon pais, mes biens & ma maiſon, Pour viure hors du monde en la Religion.	J'ai quité mon pais, mes biens et ma maison, Pour vivre hors du monde en la Religion.
J'ay promis à mon Dieu de lui eſtre fidelle, De garder à iamais plus cher que la prunelle De mes yeux, les trois vœux, de la pudicité, De ſainte obedience & tis iu puuureté:	J'ai promis à mon Dieu de lui être fidèle, De garder à jamais plus cher que la prunelle De mes yeux, les trois vœux, de la pudicité, De sainte obédience et tis ju puuureté:
Ie fuyray les plaiſirs & les grandeurs du monde Tout le temps de ma vie & juſques dans la tombe,	Je fuirai les plaisirs et les grandeurs du monde Tout le temps de ma vie et jusque dans la tombe,
2es Satellites.	2es Satellites.
Malheureux il te faut tout à l'heure mourir Puiſque tu ne veux pas nous croire, & obeyr da nis commanucenenes	Malheureux il te faut tout à l'heure mourir Puisque tu ne veux pas nous croire, et obéir da nis commanucenes
CLAIR.	CLAIR.
Mon Dieu ie recommande Mon esprit en tes mains, humble ie demande capitent Que ia ponte paruonne uvons mus enmemis, Et conduiſe mon ame en ton ſainct Paradis.	Mon Dieu femme recommande Mon esprit en tes mains, humble Roi demande capitent Que ja ponte parvonne uvons mus enmis, Et conduise mon âme en ton saint Paradis.
Les Satellites.	Les Satellites.
Qu’auons-nous fait meſchans, quelle crime, quelle ofla Fon- D’auoir tué vn S.	Qu'avons-nous fait méchants, quelle crime, quelle offla Fon- D'avoir tué un S.
Dieu en preara vengeance:	Dieu en prépara vengeance:
fence, Fuyons & nous ſauuons, noſtre énorme peché Ne peut eſtre iamais aux yeux de Dieu caché.	sence, Fuyons et nous sauvons, notre énorme péché Ne peut être jamais aux yeux de Dieu caché.
Premier Cœur des Anges.	Premier Cœur des Anges.
Voſtre Eſtolle a eſté lauée Dedans le ſang du Sainct Agneau, Vous auez la vie acheuée, Venez à ce Monde nouueau Pour eſtre touſiours à la Feſte De la Ieruſalem Celeſte.	Votre Estolle a été lauée Dedans le sang du Saint Agneau, Vous avez la vie achevée, Venez à ce Monde nouveau Pour être toujours à la Fête De la Jérusalem Céleste.
Dedans ce grand Liure de Vie Que l’Agneau tient entre ſes mains, Nous voyons vostre ame choiſie Parmy le reſte des humains, Pour venir pleine de victoire Auec nous iouyr de ſa gloire.	Dedans ce grand Livre de Vie Que l'Agneau tient entre ses mains, Nous voyons votre âme choisie Parmi le reste des humains, Pour venir pleine de victoire Avec nous jouir de sa gloire.
Auprés des Vieillards venerables Qui ſont à costé de l’Agneau, Chanterez des chants delectables En regardant ce beau tableau, Oipurotsz ta Diuine eſſence, Sa Grandeur, ſa Toute-Puiſſance.	Auprès des Vieillards vénérables Qui sont à côté de l'Agneau, Chanterez des chants délectables En regardant ce beau tableau, Ojurotso ta Divine essence, Sa Grandeur, sa Toute-Puissance.
Second Cœur des Anges.	Second Cœur des Anges.
Venez, cherCompagnon des Anges Iouir de leurs felicitez, Entonner ſans fin les loüanges De Dieu dans des eternitez, Puiſque voſtre ame eſt deſtinee Pour venir au Ciel Empiree.	Venez, cherCompagnon des Anges Jouir de leurs félicités, Entonner sans fin les louanges De Dieu dans des éternités, Puisque votre âme est destine Pour venir au Ciel Empirée.
Dedans cette ſainte demeure Où ſont placeZ les bien-heureux, L’on n’y voit perſonne qui meure, N’y qui ſente aucunes douleurs, La faim, la ſoif la maladie, Ne trauerſent iamais leur vie.	Dedans cette sainte demeure Où sont placés les bienheureux, L'on n'y voit personne qui meure, N'y qui sente aucunes douleurs, La faim, la soif la maladie, Ne traversent jamais leur vie.
Tro ſieſme & dernier Cœur des Anges.	Tro siesme et dernier Cœur des Anges.
Ce grand Palais où Dieu habite, Qu'on appelle le Paradis Eſt baſty des pierres d’Elite Des Martyrs qui furent jadis, VeneZ, vous aiderez à faire Ce qui reſte pour le parfaire.	Ce grand Palais où Dieu habite, Qu'on appelle le Paradis Est bâti des pierres d'Élite Des Martyrs qui furent jadis, VeneZ, vous aiderez à faire Ce qui reste pour le parfaire.
Il n'eſt construit d’autre matiere Que des Saincts & des Bienheureux, Il n’y a point d’autre lumiere Qui ſans ceſſe eſclaire leurs yeux, Que la gloire majestueuſe Du grand Dieu touſiours lumineuſe.	Il n'est construit d'autre matière Que des Saints et des Bienheureux, Il n'y a point d'autre lumière Qui sans cesse éclaire leurs yeux, Que la gloire majestueuse Du grand Dieu toujours lumineuse.
De ces beauteZ ineffaçables.	De ces beautés ineffaçables.
DeDuu O tiipneau Tout Puiſſant, Et ces bontez ineſtimables Uoſtre eſprit ſera ioüiſſant, Conteni de voir Dien fatt u jace, Remply des effets de ſa grace.	DeDu Ô uipipneau Tout Puissant, Et ces bontés inestimables Uotre esprit sera jouissant, Conteni de voir Dien fatt jace, Remply des effets de sa grace.
I.	I.
PERMISSION D’IMPRIMER.	PERMISSION D'IMPRIMER.
L eſt permis à CH.	L est permis à CH.
CHENAVLT, Imprimeur ã Paris, I d’Imprimer La Tragi-Comedie du Martyre de Saint Clair:	CHÉNAULT, Imprimeur ans Paris, I J'Imprimer La Tragi-Comédie du Martyre de Saint Clair:
& deffences ſont faites à tous autres Imprimeurs & Libraires de l’Imprimer ſur les peines en tel cas requiſes.	et défenses sont faites à tous autres Imprimeurs et Libraires de l'Imprimer sur les peines en tel cas requises.
Faictce31.	Faitce31.
Ianuier 1647.	Janvier 1647.
Signè DAVBRAY.	Signé DAVBRAY.
