ARGVMENT DE LITAIEOM	ARGUMENT DE LITAIEOM
Et crû qu’à mes appas c’eſtoit trop inſulter Que d’vn pareil orgueil à mes yeux ſe vanter.	Et cru qu'à mes appas c'était trop insulter Que d'un pareil orgueil à mes yeux se vanter.
Ie ſongeay donc deſlors par vne pure gloire De ſoûmettre ce cœur, d’en avoir la victoire, Et le percer de traits ſi puiſſants & ſi forts, Que pour me reſiſter il fiſt de vains efforts.	Je songeai donc délors par une pure gloire De soumettre ce cœur, d'en avoir la victoire, Et le percer de traits si puissants et si forts, Que pour me résister il fît de vains efforts.
Ce n’eſt pas que pour luy mon ame fut atteinte, Si je ſemblois aimer, ce n’eſtoit que par feinte;	Ce n'est pas que pour avoir mon âme fut atteinte, Si je semblais aimer, ce n'était que par feinte;
, (Mais qui peut bien de ſoy juſques là preſumer, ,De vouloir eſtre aimée & de ne point aimer.	, (Mais qui peut bien de soi jusques là présumer, DE vouloir être aimée et de ne point aimer.
Ainſi donc je pourſuis mon aimable adverſaire, Et par de petits ſoins je m’efforce à luy plaire;	Ainsi donc je poursuis mon aimable adversaire, Et par de petits soins je m'efforce à lui plaire;
Quand il eſt dans le bois, quelquefois tout vn jour, Ie garde ſon troupeau juſques à ſon retour, Ie careſſe ſes chiens, je vante leur courage, Et luy cueille des fruits des plus beaux du village:	Quand il est dans le bois, quelquefois tout un jour, Je garde son troupeau jusques à son retour, Je caresse ses chiens, je vante leur courage, Et lui cueille des fruits des plus beaux du village:
Mais bien loin de toucher ce ſauvage Berger, Il a ſçû ſous ſes Loix luy-meſme me ranger;	Mais bien loin de toucher ce sauvage Berger, Il a su sous ses Lois h-même me ranger;
Il a contre mon ſein tourné mes propres armes, Et de mes vains appas triomphé par ſes charmes:	Il a contre mon sein tourné mes propres armes, Et de mes vains appas triomphé par ses charmes:
Cependant l’inſenſible errant par ſes foreſts Ignore que mon cœur ſoit bleſſé de ſes traits.	Cependant l'insensible errant par ses forêts Ignore que mon cœur soit blessé de ses traits.
Tout autre remarquant mon extréme triſteſſe, Me voyant le chercher & ſouſpirer ſans ceſſe, Sans doute, auroit-il dit, dans le fond de ſon cœur Cette fille pour moy cache beaucoup d’ardeur.	Tout autre remarquant mon extrême tristesse, Me voyant le chercher et soupirer sans cesse, Sans doute, aurait-il dit, dans le fond de son cœur Cette fille pour moi cache beaucoup d'ardeur.
Mais il ne comprend rien à l’amoureux langage, Et des tendres ſoûpirs ne connoiſt point l’vſage.	Mais il ne comprend rien à l'amoureux langage, Et des tendres soupirs ne connaît point l'usage.
Cent fois j’ay balancé d’embraſſer ſes genoux, Et luy dire, Alexis, j’expire de tes coups;	Cent fois j'ai balancé d'embrasser ses genoux, Et tu dire, Alexis, j'expire de tes coups;
D’vn regard de pitié ſoulage ta captive, Et retien ſur le bord mon ame fugitive:	D'un regard de pitié soulage ta captive, Et retien sur le bord mon âme fugitive:
Mais ma bouche timide a refuſé toujours D’accorder à mon cœur cét indigne ſecours.	Mais ma bouche timide a refusé toujours D'accorder à mon cœur cet indigne secours.
Connoiſſant de mes maux la fatale origine, Iuge, ſi j’ay raiſon de paroiſtre chagrine.	Connaissant de mes maux la fatale origine, Juge, si j'ai raison de paraître chagrine.
ORANTE.	ORANTE.
„ Vos maux pour grands qu’ils ſoient auront vn meilleur ſort, Aucun amour jamais ne fut content d’abord;	„ Vos maux pour grands qu'ils soient auront un meilleur sort, Aucun amour jamais ne fut content d'abord;
Le comble des malheurs ſouvent ſe change en feſte, Et la bonnace ſuit de bien prés la tempeſte, Lors que voſtre Berger ſçaura voſtre langueur, Fut-il dur comme vn marbre, & la meſme froideur, Il changera bien-toſt ſa farouche maniere, Pour vous abandonner ſon ame toute entiere.	Le comble des malheurs souvent se change en fête, Et la bonnace suit de bien près la tempête, Lors que votre Berger saura votre langueur, Fut-il dur comme un marbre, et la même froideur, Il changera bientôt sa farouche manière, Pour vous abandonner son âme toute entière.
Eut	Eût
MELISSE.	MÉLISSE.
Que tu ſçais bien flatter mes amoureux ſoucis, Mais que tu connois mal l’inſenſible Alexis;	Que tu sais bien flatter mes amoureux soucis, Mais que tu connais mal l'insensible Alexis;
Vn Rocher eſt plus tendre, & le fils de Theſée Eut palupres deluy Pameteute embrasee.	Un Rocher est plus tendre, et le fils de Thesée Eut palupres délui Pamette embrase.
ORANTE.	ORANTE.
Mais voy-je pas Philene à vos pieds chaque jour?	Mais vois-je pas Philène à vos pieds chaque jour?
Il me paroiſt pour vous tout enflammé d’amour;	Il me paraît pour vous tout enflammé d'amour;
comment donc préferer au Berger qui vous aime Vn autre, dont pour vous le mépris eſt extréme?	comment donc préférer au Berger qui vous aime Un autre, dont pour vous le mépris est extrême?
MELISSE.	MÉLISSE.
Il eſt vray que Philene adore mes appas, Et que ſes ſoins pour moy ne ſe conçoivent pas;	Il est vrai que Philène adore mes appas, Et que ses soins pour moi ne se conçoivent pas;
Qu’il eſt jeune, bien-fait, doux, diſcret, agreable, Et s’il faut l’avoüer, meſme qu’il eſt aimable;	Qu'il est jeune, bienfait, doux, discret, agréable, Et s'il faut l'avouer, même qu'il est aimable;
Cependant de mon cœur la forte averſion S’eſt toujours oppoſée à ſon affection, Et le ſeul Alexis en mon cœur a fait naiſtre Vne amour qu’il ignore, ou mépriſe peut-eſtre.	Cependant de mon cœur la forte aversion S'est toujours opposée à son affection, Et le seul Alexis en mon cœur a fait naître Une amour qu'il ignore, ou méprise peut-être.
Mais ne le voy-je pas cét aimable ennemi?	Mais ne le vois-je pas cet aimable ennemi?
Au pied de cét ormeau n’eſt-il pas endormi?	Au pied de cet ormeau n'est-il pas endormi?
C’eſt luy-meſme ſans doute:	C'est notre-même sans doute:
Orante, à cette veuë Que mon cœur eſt troublé, que mon ame eſt émuë!	Orante, à cette vue Que mon cœur est troublé, que mon âme est émue!
Voy, voy qu’il eſt bien fait, & comme ſes beaux yeux Dans l’ombre de la mort ſont meſme radieux:	Vois, vois qu'il est bien fait, et comme ses beaux yeux Dans l'ombre de la mort sont rendre radieux:
Voy ſon teint, voy ſa bouche, & ſa perruque blonde, Comparable au Soleil quand il renaiſt de l’onde.	Vois son teint, vois sa bouche, et sa perruque blonde, Comparable au Soleil quand il renaît de l'onde.
Orante, oblige-moy, parlons vn peu plus bas, Ou plûtoſt, ſi tu veux, reculons quelques pas, De peur que le berger, qui doûcement ſommeille, Au bruit que nous ferions en ſurſaut ne s’éveilles Cependallt llous pounons,	Orante, oblige-moi, parlons un peu plus bas, Ou plutôt, si tu veux, reculons quelques pas, De peur que le berger, qui doucement sommeille, Au bruit que nous ferions en sursaut ne s'éveilles Cependallt llous pounons,
ORANTE.	ORANTE.
Mel ſſe,	Mel sse,
MELISSE.	MÉLISSE.
Qu’avez-vous?	Qu'avez-vous?
ORANTE.	ORANTE.
Ie friſſonne de peur, Meliſſe, eſloignons-nous:	Je frissonne de peur, Mélisse, éloignons-nous:
Vn affreux Sanglier vers le Berger s’avance, Et plepale deja la lhortene deneme.	Un affreux Sanglier vers le Berger s'avance, Et plepale déjà la lhortène deneme.
MELISSE.	MÉLISSE.
Orante, je ne puis en ce preſſant danger Abandonner ainſi mon aimable Berger:	Orante, je ne puis en ce pressant danger Abandonner ainsi mon aimable Berger:
I’apperçoy ſon eſpieu, ie vai viſte le prendre.	J'aperçois son épieu, Seigneur vay vite le prendre.
Et de ce foible bras taſcher à le deffendre.	Et de ce faible bras tâcher à le défendre.
Va rentre dans tes bois, monſtre affamé de ſang, Qui veux de mon Berger percer le jeune flanc, Ou's il faut que ta fage ennn ſoit aſſouvie, Appaiſe dans le mien ta ſanguinaire envie.	Va rentre dans tes bois, montre affamé de sang, Qui veux de mon Berger percer le jeune flanc, Ou's il faut que ta sage enn soit assouvie, Apaise dans le mien ta sanguinaire envie.
ORANTE.	ORANTE.
O prodige d’amour à nul autre pareil.	Ô prodige d'amour à nul autre pareil.
DClRasPile MELISSE, ORANTE, ALEXIS.	DClasPile MÉLISSE, ORANTE, ALEXIS.
ALEXIS.	ALEXIS.
V’EST-ce donc que j’entends qui trouble mon ſommeil ?	V'EST-ce donc que j'entends qui trouble mon sommeil ?
Quoy l’horrible animal qu’avecque ſoin j’eſpie, Luy-meſme juſqu’ici me brave, & me défie?	Quoi l'horrible animal qu'avec soin j'épie, Lui-même jusqu'ici me brave, et me défie?
Ah!	Ah!
c’eſt trop m’outrager, il ſentira bien-toſt Si je ſçay de ſon flanc prendre bien le defaut.	c'est trop m'outrager, il sentira bientôt Si je sais de son flanc prendre bien le défaut.
Mais depuis quand, Meliſſe, eſtes-vous ſi vaillante, Et le diſputez-vous à la fiere Atalante?	Mais depuis quand, Mélisse, êtes-vous si vaillante, Et le disputez-vous à la fière Atalante?
Si vous n’eſtes pourtant vne des Deïtez Qui de cette Bergere a les traits empruntez.	Si vous n'êtes pourtant une des Déités Qui de cette Bergère a les traits empruntés.
	
MELISSE.	MÉLISSE.
Berger, je ne ſuis point du nombre des Deeſſes:	Berger, je ne suis point du nombre des Déesses:
Helas:	Hélas:
elles n’ont point de ſemblables triſteſſes.	elles n'ont point de semblables tristesses.
A LEXIS.	À LEXIS.
Ou Deeſſe, ou Bergere, il me faut éprouver Contre l’audacieux qui m’eſt venu braver;	Ou Déesse, ou Bergère, il me faut éprouver Contre l'audacieux qui m'est venu braver;
Ie vous veux faire don de ſa hure ſanglante:	Je vous veux faire don de sa hure sanglante:
Mais Philene à propos en ce lieu ſe preſente, Sans doute à la vengeance il voudra prendre part.	Mais Philène à propos en ce lieu se présente, Sans doute à la vengeance il voudra prendre part.
SCENE IV.	SCÈNE IV.
MELISSE, ORANTE, ALEXIS, PHILENE	MÉLISSE, ORANTE, ALEXIS, PHILENE
PHILENE.	PHILENE.
V haut de ce coſtau j’ay vû le grand hazard DQue vous a fait courir la beſte heriſſée, Quand elle s’eſt ſur vous avec rage élancée.	V Vaut de ce côtau j'ai vu le grand hasard DÉes vous a fait courir la bête hérissée, Quand elle s'est sur vous avec rage élancée.
Ie ſuis viſte accouru vous parer de les coups, Souſtenir ſa fureur, ou mourir avec vous.	Je suis vite accouru vous parer de les coups, Soutenir sa fureur, ou mourir avec vous.
Mais de ce beau combat apprenez-moy l’iſſuë.	Mais de ce beau combat apprenez-moi l'issue.
ALEXIS.	ALEXIS.
Ie dormois, quand la beſte eſt tout à coup venuë:	Je dormais, quand la bête est tout à coup venue:
I’eſtois ſur ſon paſſage, & ſans doute ma mort Alloit eſtre le fruit de ſon premier effort:	J'étais sur son passage, et sans doute ma mort Allait être le fruit de son premier effort:
Quand d’vn bras vigoureux cette Nymphe viſible A fait tourner le dos à l’animal terrible.	Quand d' bras vigoureux cette Nymphe visible A fait tourner le dos à l'animal terrible.
Mais ne voulez-vous pas que juſques en ſon fort Nous le ſuivions tous deux, & luy portions la mort?	Mais ne voulez-vous pas que jusques en son fort Nous le suivions tous deux, et même portions la mort?
I’eſpere qu’ici prés nous pourrons le ſurprendre, La piſte eſt toute fraiche, allons ſans plus attendre, Tandis que le Soleil eſt à-peine levé, Et que l’air eſt encor de roſée abbreuvé.	J'espère qu'ici prés nous pourrons le surprendre, La piste est toute fraîche, allons sans plus attendre, Tandis que le Soleil est à-peine levé, Et que l'air est encor de rosée abreuvé.
Nous pourrons repaſſer par ce meſme boccage Dans vne heure au plus tard, & gagner le village.	Nous pourrons repasser par ce même bocage Dans quelque heure au plus tard, et gagner le village.
Alexis, j’y conſens, & j’ay pris à propos Entre tous mes eſpieux aujourd’huy le plus gros.	Alexis, j'y consens, et j'ai pris à propos Entre tous mes épieux aujourd'hui le plus gros.
Adieu, Meliſſe, adieu, pour venger voſtre offence Iequitte avec regret voſtre chere preſence.	Adieu, Mélisse, adieu, pour venger votre offense Jequitte avec regret votre chère présence.
Cét honneur eſt acquis juſtement à mon bras, Et je veux l’obtenir au prix de mon treſpas.	Cet honneur est acquis justement à mon bras, Et je veux l'obtenir au prix de mon trépas.
Mais quelque grand que ſoit le peril que j’embraſſe, Vn autre plus faſcheux prés de vous me menace, Puil qu’ainſi qu'vn veneur, arme de traits cruels, Vous me percez le cœur de mille coups mortels.	Mais quelque grand que soit le péril que j'embrasse, Un autre plus fâcheux près de vous me menace, Puil qu'ainsi qu'un veneur, arme de traits cruels, Vous me percez le cœur de mille coups mortels.
MELISSE.	MÉLISSE.
Berger, à tes diſcours je ne puis rien comprendre;	Berger, à tes discours je ne puis rien comprendre;
PHILENE.	PHILENE.
C’eſt que tu ne veux pas, ingrute, ies entendre.	C'est que tu ne veux pas, ingute, jes entendre.
Alexis, Alexis.	Alexis, Alexis.
MELISSE.	MÉLISSE.
ALEXIS.	ALEXIS.
Qu’eſt-ce donc qu’elles ont.	Qu'est-ce donc qu'elles ont.
MELISSE.	MÉLISSE.
Où courez-vous ſi viſte, & que vous eſtes prompt?	Où courez-vous si vite, et que vous êtes prompt?
Avez-vous bien compris qu’ennemi de vous-meſme Vous vous precipitez en vn danger extréme?	Avez-vous bien compris qu'ennemi de vous-même Vous vous précipitez en un danger extrême?
Combien dans cette chaſſe ont peri de chaſſeurs, Que ne craignez-vous donc de ſemblables malheurs?	Combien dans cette chasse ont péri de chasseurs, Que ne craignez-vous donc de semblables malheurs?
La beſte qui ſe voit vivement pourſuivie, Redouble ſa fureur, abandonne ſa vie, Brize le fort eſpieu de ſa cruelle dent, Renverſe le Chaſſeur, le deſchire & le fend.	La bête qui se voit vivement poursuivie, Redouble sa fureur, abandonne sa vie, Brise le fort épieu de sa cruelle dent, Renverse le Chasseur, lé déchire et le fend.
Adonis qu’aima tant vne belle Deeſſe, Qu'elle ſuivoit par tout, & careſſoit ſans ceſſe, Ce Berger aux yeux bleus, au teint vermeil & frais, Aux cheveux de pur or, aux ſouris pleins d’attraits, Entreprenant jadis vne ſemblable guerre, Dans les foreſts de Cypre enſanglanta la terre, Et fit pour vn mortel reſpandre mille pleurs A la mere des Ris, des Ieux, & des Douceurs.	Adonis qu'aima tant semme Déesse, Qu'elle suivait par tout, et caressait sans cesse, Ce Berger aux yeux bleus, au te vermeil et frais, Aux cheveux de pur or, aux souris pleins d'attraits, Entreprenant jadis une semblable guerre, Dans les forêts de Cypre ensanglanta la terre, Et fit pour un mortel répandre mille pleurs À la mère des Ris, des Ieux, et des Douceurs.
Que ſi pour me venger du Sanglier farouche Vn beau feu vous anime, vn beau deſir vous touche, Laiſſez vivre plûtoſt qui j’ay ſçû repouſſer, Pour aller en tous lieux mon renom annoncer.	Que si pour me venger du Sanglier farouche Un beau feu vous anime, un beau désir vous touche, Laissez vivre plutôt qui j'ai su repousser, Pour aller en tous lieux mon renom annoncer.
Nuittes done, llleais, vne entreplle vumle y Où le peril eſt ſeur, & l’iſſuë incertaine.	Nuittes donc, llleais, une entreplle vumle y Où le péril est sûr, et l'issue incertaine.
