M BimN	M MimN
Tu m’as fait égoſiller, Carogne.	Tu m'as fait égosiller, Carogne.
TOINETTE.	TOINETTE.
Et vous i'avez fait, vous, caſſer la teſte.	Et vous j'avez fait, vous, casser la tête.
L’un vaut bien l’autre.	L'un vaut bien l'autre.
Quitte à quitte, ſi vous voulez.	Quitte à quitte, si vous voulez.
ARGAN.	ARGAN.
Quoy, Coquine.	Quoi, Coquine.
TOINETTE.	TOINETTE.
ontode queremuu, ja preureray.	ont queremu, ja prévrerai.
RGAN.	RGAN.
Mc lallier, Plaiſtrenc.	Mc lallier, Plaîtrenc.
Ha.	Ha.
TOINETTE.	TOINETTE.
ARGIN.	ARGIN.
Chienne, tu veux.	Chienne, tu veux.
lia.	lia.
TOINETTE.	TOINETTE.
ARGAN.	ARGAN.
Quoy, il faudra encore que je n’aye pas le plaiſir de la quereller!	Quoi, il faudra encore que je n'aie pas le plaisir de la quereller!
TOINETTE.	TOINETTE.
Qerellez tout voſtre ſoù, je le veux bien.	Qerellez tout votre soù, je le veux bien.
GAN.	GAN.
Tu m’en empeſches, Chienne, en m’interrompant à tous coups.	Tu m'en empêches, Chienne, en m'interrompant à tous coups.
TOINETTE.	TOINETTE.
Si vous avez le plaiſir de quereller, il faut bien que de mon coſté j’aye le plaiſir de pleurer.	Si vous avez le plaisir de quereller, il faut bien que de mon côté j'aie le plaisir de pleurer.
Chacun le ſien ce n’eſt pas trop.	Chacun le sien ce n'est pas trop.
Ha !	Ha !
ARGAN.	ARGAN.
Allons, il faut en paſſer par là.	Allons, il faut en passer par là.
Oſte-moy cecy, B ii Coquine, oſte-moy cecy.	Oste-moi ceci, B y Coquine, ôte-moi ceci.
Mon Lavement d’aujourd’huy a-t-il bien opere ?	Mon Lavement d'aujourd'hui a-t-il bien opère ?
TOINETTE.	TOINETTE.
Voſtre Lavement?	Votre Lavement?
ARGAN.	ARGAN.
Oüy.	Oui.
Ay-je bien fait de la bile?	Ai-je bien fait de la bile?
TOINETTE.	TOINETTE.
Ma foy, je ne me meſle point de ces affaires-là.	Ma foi, je ne me mêle point de ces affaires-là.
C’eſt à Monſieur Fleurant à y mettre le nez, puis qu’il en a le profit.	C'est à Monsieur Fleurant à y mettre le nez, puis qu'il en a le profit.
ARGAN.	ARGAN.
Qu’on ait ſoin de me tenir un Boüillon preſt pour l’autre que je dois tantoſt prendre.	Qu'on ait soin de me tenir un Boüillon prêt pour l'autre que je dois tantôt prendre.
TOINETTE.	TOINETTE.
Ce Monſieur Fleurant-là, & ce Monſieur Purgon, s’égayent bien ſur voſtre Corps!	Ce Monsieur Fleurant-là, et ce Monsieur Purgon, s'égaient bien sur votre Corps!
Ils ont en vous une bonne Vache à lait;	Ils ont de vous une bonne Vache à lait;
& je voudrois bien leur demander quel mal vous avez, pour vous faire tant de remedes.	et je voudrais bien leur demander quel mal vous avez, pour vous faire tant de remèdes.
ARGAN.	ARGAN.
l'aiſez-vous, Ignofante, ce n'eit pas à vous à controller les Ordonnances de la Medecine.	l'ayez-vous, Ignofante, ce n'éit pas à vous à contrôler les Ordonnances de la Médecine.
Qu’on me faſſe venir ma Fille Angelique, j’ay à luy dire quelque choſe.	Qu'on me fasse venir ma Fille Angélique, j'ai à lui dire quelque chose.
TOINETTE.	TOINETTE.
La voicy qui vient d’elle-meſme;	La voici qui vient d'elle-même;
Elle a deviné voſtre penſée.	Elle a deviné votre pensée.
SCENE III.	SCÈNE III.
ARODENOIIDTLTTE, ARGAN.	ARODENOIIDTLTE, ARGAN.
ARGAN.	ARGAN.
Pprochez, Angelique, vous venez à proEXros;	Prochez, Angélique, vous venez à proEXros;
Je voulois vous parler.	Je voulais vous parler.
ANGELIQUE.	ANGELIQUE.
Me voila preſte à vous oüyr.	Me voilà prête à vous ouïr.
ARGAN.	ARGAN.
revenir tout-à-l’heure.	revenir tout-à-l’heure.
TOINEIIE.	TOINEIIE.
Allez viſte, Monſieur, allez.	Allez vite, Monsieur, allez.
Monſieur Fleurant nous donne des affaires.	Monsieur Fleurant nous donne des affaires.
SCENE IV.	SCÈNE IV.
ANGELIQUE, TbINETTE.	ANGELIQUE, TbINETTTE.
T Oinette.	 Tinette.
Quey?	Quei?
ANGELIQUE.	ANGELIQUE.
TOINETTE.	TOINETTE.
GELIQUE.	GELIQUE.
Regarde-moy un peu.	Regarde-moi un peu.
TOINETTE.	TOINETTE.
Hé bien je vous regarde.	Hé bien je vous regarde.
Toinette.	Toinette.
ANGELIQUE.	ANGELIQUE.
TOINETTE.	TOINETTE.
He bien, quoy, Toinette.	He bien, quoi, Toinette.
ANGELIQUE.	ANGELIQUE.
Ne devines-tu point dequoy je veux parler?	Ne devines-tu point dequoy je veux parler?
TOINETTE.	TOINETTE.
Je m’en doute aſſez, de voſtre jeune Amant;	Je m'en doute assez, de votre jeune Amant;
car c’eſt ſur luy depuis ſix jours que roulent tous vos entretiens;	car c'est sur venir depuis six jours que roulent tous vos entretiens;
& vous n’eſtes point bien, ſi vous n’en parlez à toute heure.	et vous n'êtes point bien, si vous n'en parlez à toute heure.
ANGELIQUE.	ANGELIQUE.
Puis que tu connois cela, que n’es-tu done la premiere à m’en entretenir, & ne m’épargnes-tu la peine de te jetter ſur ce diſcours?	Puis que tu connais cela, que n'es-tu donce la première à m'en entretenir, et ne m'épargnes-tu la peine de te jeter sur ce discours?
TOINETIE.	TOINETIE.
Vous ne m’en donnez pas le temps, & vous avez des ſoins là-deſſus, qu’il eſt difficile de prévenir.	Vous ne m'en donnez pas le temps, et vous avez des soins là-dessus, qu'il est difficile de prévenir.
ANGELIQUE.	ANGELIQUE.
Je t’avouë, que je ne ſçaurois me laſſer de te purienuonuj,de que mon tœur profite avec chaleur de tous les momens de s’ouvrir à toy.	Je t'avoue, que je ne saurais me lasser de te purienvonuj, que mon tœur profite avec chaleur de tous les moments de s'ouvrir à toi.
Mais dy-moy, condamnes-tu, Toinlette, ſes ientimens que j’ay pour luy?	Mais dis-moi, condamnes-tu, Toinlette, ses jentiments que j'ai pour lui?
TOINETTE.	TOINETTE.
Je n’ay garde.	Je n'ai garde.
AI GELIQUE.	AI GÉLIQUE.
Ay-je tort de m’abandonner à ces douces impreſſions?	Ai-je tort de m'abandonner à ces douces impressions?
TOINETTE.	TOINETTE.
Je ne dis pas cela.	Je ne dis pas cela.
ANGELIQUE.	ANGELIQUE.
Et voudrois-tu que je fuſſe inſenſible aux tendres proteſtations de cette paſſion ardente qu’il témoigne pour moy?	Et voudrais-tu que je fusse insensible aux tendres protestations de cette passion ardente qu'il témoigne pour moi?
TOINETTE.	TOINETTE.
A Dieu ne plaiſe.	À Dieu ne plaise.
Dy-moy un peu, ne trouves-tu pas comme moy.	Dis-moi un peu, ne trouvez-tu pas comme moi.
quelque choſe du Ciel, quelque effet du Deſtin, dans l’avanture inopinéede noſtre connoiſſance?	quelque chose du Ciel, quelque effet du Destin, dans l'aventure inopinée notre connaissance?
Oüy.	Oui.
TOINETTE.	TOINETTE.
ANGELIQUE.	ANGELIQUE.
Ne trouves-tu pas que cette action d’embraſſer ma défenſe ſans me connoiſtre, eſt tout-à-fait d’un honneſte Homme?	Ne trouvez-tu pas que cette action d'embrasser ma défense sans me connaître, est tout-à-fait d'un honnête Homme?
Oüy.	Oui.
TOINETTE.	TOINETTE.
ANGEENQUE.	ANGENQUE.
Que l’on ne peut pas en uſer plus genereuſement?	Que l'on ne peut pas en user plus généreusement?
D’accord.	D'accord.
TOINETTE.	TOINETTE.
ANGELIQUE.	ANGELIQUE.
nt qu'il lait tout cem de la meilleure grace du monde?	naît qu'il lait tout cème de la meilleure grâce du monde?
Oh ouy.	Oh oui.
TOINETTE.	TOINETTE.
ANGELIQUE.	ANGELIQUE.
Ne trouves-tu pas, Toinette, qu’il eſt bien fait de la perſonne?	Ne trouvez-tu pas, Toinette, qu'il est bien fait de la personne?
TOINETTE.	TOINETTE.
Allulement.	Allulement.
ANGELIQUE.	ANGELIQUE.
Qu’il a l’air le meilleur du monde?	Qu'il a l'air le meilleur du monde?
TOINETIE.	TOINETIE.
Sans-doute.	Sans-doute.
AITGELIQUE.	AITGELIQUE.
Que ſes diſcours, comme ſes actions, ont quelque choſe de noble?	Que ses discours, comme ses actions, ont quelque chose de noble?
TOINETTE.	TOINETTE.
Cela eſt ſeûr.	Cela est sûr.
Bnij	Bnijà
ANGELIQUE.	ANGELIQUE.
Qu'on ne peut rien entendre de plus paſſionné que tout ce qu’il me dit?	Qu'on ne peut rien entendre de plus passionné que tout ce qu'il me dit?
Il eſt vray.	Il est vrai.
TOINETTE.	TOINETTE.
ANGELIQUE.	ANGELIQUE.
Et qu’il n’eſt rien de plus fâcheux, que la contrainte où l’on me tient, qui bouche tout commerce aux doux empreſſemens de cette mutuelle ardeur que le Ciel nous inſpire?	Et qu'il n'est rien de plus fâcheux, que la contrainte où l'on me tient, qui bouche tout commerce aux doux empressements de cette mutuelle ardeur que le Ciel nous inspire?
TOINETTE.	TOINETTE.
Vous avez raiſon.	Vous avez raison.
ANGEERVE, Mais, ma pauvre Toinette, crois-tu qu’il m’aime autant qu’il me le dit?	ANGERUE, Mais, ma pauvre Toinette, crois-tu qu'il m'aime autant qu'il me le dit?
TOINETTE.	TOINETTE.
Eh, eh, ces choſes-là par fois ſont un peu ſujettes à caution.	Eh, euh, ces choses-là par fois sont un peu sujettes à caution.
Les grimaces d’amour reſſemblent fort à la verité;	Les grimaces d'amour ressemblent fort à la vérité;
& j’ay veû de grands Comediens là-deſſus.	et j'ai vu de grands Comédients là-dessus.
ANGELIROS.	ANGELIROS.
Ah, Toinette, que dis-tu la?	Ah, Toinette, que dis-tu la?
Helas!	Hélas!
de la façon qu’il parle, ſeroit-il bien poſſible qu’il ne me diſt pas vray?	de la façon qu'il parle, ferait-il bien possible qu'il ne me dît pas vrai?
TOINETTE.	TOINETTE.
En tout cas pous en feres biei-toſt éclaircie;	En tout cas pous en ferez bye-tôt éclaircie;
& la reſolution où il vous écrivit hier qu’il eſtoit de vous faire demander en mariage, eſt uno prompte marque de vous faire connoiſtre s’il dit vray, ou non.	et la résolution où il vous écrivit hier qu'il était de vous faire demander en mariage, est un prote marque de vous faire connaître s'il dit vrai, ou non.
C’en ſera là la bonne preuve.	C'en sera là la bonne preuve.
ANGELIQUE.	ANGELIQUE.
Ah, Toinette, ſi celuy-là me trompe, je ne croiray de ma vie aucun Homme.	Ah, Toinette, si celui-là me trompe, je ne croirai de ma vie aucun Homme.
TOINETTE.	TOINETTE.
Voila voſtre Pere qui revient.	Voilà votre Père qui revient.
SCENE V.	SCÈNE V.
ARGAN, ANGELIQVE, TOINETTE.	ARGAN, ANGELIQUE, TOINETTE.
ARGAN.	ARGAN.
ça, ma Fille, je vay vous dire une nouvelle, ( Joù peut-eſtre ne vous attendez-vous pas.	Ça, ma Fille, je vais vous dire une nouvelle, ( Joù peut-être ne vous attendez-vous pas.
On vous demande en mariage.	On vous demande en mariage.
Qu’eſt-ce que cela?	Qu'est-ce que cela?
vous riez.	vous riez.
Cela eſt plaiſant, oüy, ce mot de mariage.	Cela est plaisant, oui, ce mot de mariage.
Il n’y a rien de plus drôle pour les jeunes Filles.	Il n'y a rien de plus drôle pour les jeunes Filles.
Ah, Nature, Nature!	Ah, Nature, Nature!
A ce que je puis voir, ma Fille, je n’ay que faire de vous deHanider il pous vouren bren vous marier.	À ce que je puis voir, ma Fille, je n'ai que faire de vous deHanider il pous vouren bren vous marier.
ANGELIQUE.	ANGELIQUE.
Je dois faire, mon Pere, tout ce qu’il vous plaira de m’ordonner.	Je dois faire, mon Père, tout ce qu'il vous plaira de m'ordonner.
ARGAN.	ARGAN.
Je ſuis bien aiſe d’avoir une Fille ſi obeïſſante.	Je suis bien aise d'avoir une Fille si obéissante.
La choſe eſt donc concluë, & je vous ay promiſe.	La chose est donc conclue, et je vous ai promise.
ANGELIQUE.	ANGELIQUE.
C’eſt à moy, mon Pere, à ſuivre aveuglement toutes vos volontez.	C'est à moi, mon Père, à suivre aveuglement toutes vos volontés.
ARGAN.	ARGAN.
Ma Femme, voſtre Belle-Mere, avoit envie que je vous fiſſe Religieuſe, & voſtre petite Sœur Loüyſon auſſi, & de tout temps elle a eſté aheurtée à cela.	Ma Femme, votre Belle-Mère, avait envie que je vous fisse Religieuse, et votre petite Sœur Louison aussi, et de tout temps elle a été aheurtée à cela.
TOINETTE.	TOINETTE.
La bonne Beſte a ſes raiſons.	La bonne Bête a ses raisons.
ARGAN.	ARGAN.
Elle ne vouloit point conſentir à ce mariage.	Elle ne voulait point consentir à ce mariage.
mais je l’ay emporte, & ma parole eſt donnée.	mais je l'ai emporte, et ma parole est donnée.
ANGELIQUE.	ANGELIQUE.
niimon Pere, que je vous ſuis obligée de toutes vos bontez.	niimon Père, que je vous suis obligée de toutes vos bontés.
TOINETTE.	TOINETTE.
En verité je vous ſçay bon gré de cela, & voila l'action la plus lage que vous ayez faite de voſtre vie.	En vérité je vous sais bon gré de cela, et voilà l'action la plus lage que vous ayez faite de votre vie.
ARGAN.	ARGAN.
Je n’ay point encore veu la Perſonne;	Je n'ai point encore vu la Personne;
mais on ni a uit que j enierois tontent, & toy auſſy.	mais on ni a uit que j enierais tontent, et toi aussi.
ANGELIQUE.	ANGELIQUE.
Aflurement, monPelc.	Aflurement, monPelc.
ARGAN.	ARGAN.
Comment l’as-tu veu?	Comment l'as-tu vu?
ANGELIQUE.	ANGELIQUE.
Puis que voſtre conſentement m’autoriſe à vous pouvoir ouvrir mon cœur, je ne feindray point de vous dile que le llazaid nous à fait connoiſtre il y a ſix jours;	Puis que votre consentement m'autorise à vous pouvoir ouvrir mon cœur, je ne feindrai point de vous dile que le llazaid nous à fait connaître il y a six jours;
& que la demande qu’on vous a faite, eſt un effet de l’inclination que dés cette premiere veuë nous avõs priſe l’un pour l’autre.	et que la demande qu'on vous a faite, est un effet de l'inclination que dès cette première vue nous avons prise l'un pour l'autre.
ARGAN.	ARGAN.
Ils ne m’ont pas dit cela, mais j’en ſuis bien afle;	Ils ne m'ont pas dit cela, mais j'en suis bien afle;
ce c eit tant mieux que les choſes ſoient de la ſorte.	ce ç it tant mieux que les choses soient de la sorte.
Ils diſent que c’eſt un grand jeune Garçon bien fait.	Ils disent que c'est un grand jeune Garçon bien fait.
ANGELIQUE.	ANGELIQUE.
Oüy, mon Pere.	Oui, mon Père.
ARGAN.	ARGAN.
De belle taille.	De belle taille.
ANGELIQUE.	ANGELIQUE.
Sans-doute.	Sans-doute.
ARGAN.	ARGAN.
Agreable de ſa perſonne.	Agréable de sa personne.
ANGELIQUE.	ANGELIQUE.
Aſſurément.	Assurément.
ARGAN.	ARGAN.
De bonne phiſionomie.	De bonne physionomie.
ANGEEIQUE.	ANGEIQUE.
Tres-bonne.	Très-bonne.
ARGAN.	ARGAN.
Sage & bien né.	Sage et bien né.
ANGELIQUE.	ANGELIQUE.
doat a lale.	doat a lale.
Tort nonnente.	Tort nonnente.
ARGAN.	ARGAN.
ANGELIQUE.	ANGELIQUE.
Le plus honneſte Homme du monde.	Le plus honnête Homme du monde.
ARGAN.	ARGAN.
Qui parle bien Latin & Grec.	Qui parle bien Latin et Grec.
ANGELIQUE.	ANGELIQUE.
C’eſt ce que je ne ſçay pas.	C'est ce que je ne sais pas.
ANCAIV.	ANCAIV.
Et qui ſera reçeu Medecin dans trois jours.	Et qui sera reçu Médecin dans trois jours.
ANGELIQUE.	ANGELIQUE.
Luy, mon Pere?	Lui, mon Père?
ARGAN.	ARGAN.
Ouj;	Ouj;
uie ce quir ne te l’a pas dit?	Oui ce qui ne te l'a pas dit?
ANGELIQUE.	ANGELIQUE.
Nonvrayment.	Nonvraiment.
Qui vous paulcavouor	Qui vous paulcavouor
ARGAN.	ARGAN.
Monſieur Purgon.	Monsieur Purgon.
ANGELIQUE.	ANGELIQUE.
Eſt-ce que Monſieur Purgon le connoiſt?	Est-ce que Monsieur Purgon le connaît?
ARGAN.	ARGAN.
La belle demande!	La belle demande!
Il faut bien qu’il le connoiſſe, puis que c’eſt ſon Neveu.	Il faut bien qu'il le connaisse, puis que c'est son Neveu.
ANGELIQUE.	ANGELIQUE.
Cleante Neveu de Monneul Purgon?	Cléante Neveu de Monnul Purgon?
ARGAN.	ARGAN.
Quel Cleante?	Quel Cléante?
Nous parlons de celuy pour qui I’on t’a demandée en mariage.	Nous parlons de celui pour qui J'on t'a demandée en mariage.
Hé oüy.	Hé oui.
ANTEIQUE.	ANTEIQUE.
ARGAN.	ARGAN.
Hé bien, c’eſt le Neveu de Monſieur Purgon, qui eſt le Fils de ſon Beaufrere le Medecin Monſieur Dyafoirus;	Hé bien, c'est le Neveu de Monsieur Purgon, qui est le Fils de son Beaufre le Médecin Monsieur Dyafoirus;
& ce Fils s’appelle Thomas Dyafoirus, & non pas Cleante, & nous avons conclu ce mariage-là ce matin, Monſieur Purgon, Monneur Rieurant, ce moy;	et ce Fils s'appelle Thomas Dyafoirus, et non pas Cléante, et nous avons conclu ce mariage-là ce matin, Monsieur Purgon, Monneur Rieurant, ce moi;
ee demain ce Gendre prétendu doit m’eſtre amené par ſon Pere.	Je demain ce Gendre prétendu doit m'être amené par son Père.
Qu’eſt-ce?	Qu'est-ce?
vous voila toute ébaubie.	vous voilà toute ébaubie.
ANGELIQUE.	ANGELIQUE.
C’eſt, mon Pere, que je connois que vous avez parlé d’une Perſonne, & que j’ay entendu une autre.	C'est, mon Père, que je connais que vous avez parlé d'une Personne, et que j'ai entendu une autre.
TOINHIEE.	TOINHIEE.
Quoy, Monſieur, vous auriez fait ce deſſein burleſque?	Quoi, Monsieur, vous auriez fait ce dessein burlesque?
& avec tout le bien que vous avez, vous voudriez marier voſtre Fille avec un Medecin?	et avec tout le bien que vous avez, vous voudriez marier votre Fille avec un Médecin?
ARGAN.	ARGAN.
Oüy.	Oui.
Dequoy te meſles-tu, Coquine, Impudente que tu es?	Dequoy te mêles-tu, Coquine, Impudente que tu es?
TOINETTE.	TOINETTE.
Mon Dieu, tout-doux.	Mon Dieu, tout-doux.
Vous aliez u'abord aux invectives.	Vous aliez abord aux invectives.
Eſt-ce que nous ne pouvons pas raifonfier emembre lans hous emporter?	Est-ce que nous ne pouvons pas raifonfier emembre lans hous emporter?
Là, parlons de ſang froid.	Là, parlons de sang froid.
Quelle eſt voſtre raiſon, s’il vous plaiſt, pour un tel mariage?	Quelle est notre raison, s'il vous plaît, pour un tel mariage?
